gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210102.0,2022-09-11T13:00:00,1,2022,1,ATL,NO,HOME,26.0,27.0,53.0,Mercedes-Benz Stadium,3.0,13.0,7.0,3.0,0.0,,,33:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,3.0,17.0,0.0,,,26:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003122,2,22,,-1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210232.0,2022-09-18T16:05:00,1,2022,2,ATL,LAR,AWAY,27.0,31.0,58.0,SoFi Stadium,0.0,3.0,7.0,17.0,0.0,33.0,44.0,29:36,26.0,13.0,8.0,5.0,71.0,416.0,5.9,2.0,38.0,201.0,5.3,2.0,33.0,20.0,215.0,0.0,0.0,6.5,10.8,60.6,79.73,13.0,5.0,38.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,55.0,3.0,2.0,0.0,0.0,8.0,4.0,4.0,180.0,45.0,2.0,1.0,-1.0,7.0,14.0,7.0,3.0,0.0,26.0,16.0,30:24,18.0,5.0,12.0,1.0,57.0,385.0,6.8,3.0,19.0,151.0,7.9,1.0,34.0,23.0,234.0,2.0,0.0,6.9,10.2,67.6,106.74,13.0,4.0,30.8,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,99.0,1.0,1.0,4.0,35.0,1.0,2.0,5.0,272.0,54.4,1.0,2.0,1.0,50.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,31.0,27.0,4.0,35.0,2.0,1.0,1.0,50.0,16.0,0.0,0.0,2.0,2.0,2.0,Sunday,993003157,2,32,18007.0,-4.0,0,-1.0,0.385,0.0,0.0119052717739028,0.4795918367346938,0.0459382038664195,-0.0455769663892818,0.0410132851470605,0.4545454545454545,0.0057127455542814,0.3862533923200282,26.0,27.0,-1.0,416.0,385.0,-1.0,0.385,0.0,26.0,27.0,0.0,0.0119052717739028,0.4795918367346938,0.0459382038664195,-0.0455769663892818,0.0410132851470605,0.4545454545454545,0.0057127455542814,0.3862533923200282,0.0119052717739028,0.0410132851470605
202210330.0,2022-09-25T16:25:00,1,2022,3,ATL,SEA,AWAY,27.0,23.0,50.0,Lumen Field,10.0,7.0,10.0,0.0,0.0,29.0,36.0,28:14,17.0,4.0,11.0,2.0,56.0,261.0,4.7,3.0,27.0,90.0,3.3,0.0,26.0,17.0,171.0,2.0,2.0,6.6,10.1,65.4,77.56,10.0,3.0,30.0,2.0,1.0,50.0,4.0,2.0,0.0,0.0,5.0,29.0,2.0,1.0,3.0,25.0,2.0,3.0,1.0,44.0,44.0,3.0,3.0,0.0,10.0,10.0,3.0,0.0,0.0,30.0,24.0,31:46,24.0,6.0,16.0,2.0,63.0,337.0,5.3,4.0,26.0,65.0,2.5,1.0,36.0,27.0,272.0,3.0,2.0,7.6,10.1,75.0,100.69,10.0,6.0,60.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,3.0,61.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,50.0,0.0,80.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,33.0,1.0,0.0,3.0,1.0,1.0,37.0,24.0,3.0,25.0,3.0,1.0,1.0,Sunday,993003199,2,30,18243.0,4.0,1,0.0,0.3,0.0,-0.136669077404216,0.4266666666666667,0.1458365965266499,-0.4168630829349589,-0.086990536428657,0.5263157894736842,0.0372759872707705,-0.0254632369100222,26.5,29.0,-2.5,338.5,361.0,-0.5,0.342,0.0,53.0,58.0,0.0,-0.0623819028151566,0.45312925170068025,0.0958874001965347,-0.23122002466212033,-0.022988625640798253,0.49043062200956933,0.021494366412525952,0.180395077705003,-0.0623819028151566,-0.022988625640798253
202210402.0,2022-10-02T13:00:00,1,2022,4,ATL,CLE,HOME,23.0,20.0,43.0,Mercedes-Benz Stadium,10.0,0.0,0.0,13.0,0.0,28.0,14.0,24:16,24.0,8.0,13.0,3.0,54.0,386.0,7.1,3.0,31.0,179.0,5.8,2.0,20.0,13.0,207.0,1.0,1.0,10.4,15.9,65.0,95.21,7.0,4.0,57.1,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,15.0,2.0,1.0,3.0,22.0,5.0,5.0,1.0,73.0,73.0,2.0,1.0,-1.0,0.0,10.0,3.0,7.0,0.0,31.0,46.0,35:44,23.0,8.0,15.0,0.0,69.0,420.0,6.1,2.0,23.0,112.0,4.9,0.0,44.0,32.0,308.0,2.0,1.0,7.0,9.6,72.7,97.54,17.0,9.0,52.9,3.0,2.0,66.7,5.0,2.0,0.0,0.0,6.0,47.0,0.0,0.0,2.0,17.0,6.0,2.0,2.0,102.0,51.0,1.0,2.0,1.0,75.0,0.0,40.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,49.0,14.0,2.0,17.0,8.0,0.0,0.0,36.0,17.0,3.0,22.0,2.0,1.0,1.0,Sunday,993003226,2,8,18060.0,3.0,1,-1.0,0.571,0.0,0.2842597868324936,0.5,0.5441715914397209,0.0672428712822256,0.1455592560610755,0.5517241379310345,0.2252966873323692,0.020124656635744,26.7,27.0,-0.3,354.3333333333333,380.6666666666667,-0.667,0.419,0.333,80.0,81.0,1.0,0.053165327067393464,0.4687528344671201,0.24531546394426343,-0.1317323926806717,0.03319400159315967,0.510861793983391,0.08942847338580705,0.12697160401525,0.053165327067393464,0.03319400159315967
202210533.0,2022-10-09T13:00:00,1,2022,5,ATL,TB,AWAY,15.0,21.0,36.0,Raymond James Stadium,0.0,0.0,0.0,15.0,0.0,24.0,16.0,30:34,19.0,11.0,6.0,2.0,55.0,333.0,6.1,2.0,35.0,202.0,5.8,2.0,19.0,7.0,131.0,0.0,1.0,6.9,18.7,36.8,39.58,9.0,3.0,33.3,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,15.0,1.0,0.0,1.0,8.0,7.0,3.0,3.0,153.0,51.0,1.0,2.0,1.0,0.0,13.0,8.0,0.0,0.0,35.0,44.0,29:26,22.0,13.0,9.0,0.0,71.0,403.0,5.7,2.0,35.0,177.0,5.1,2.0,35.0,21.0,226.0,0.0,1.0,6.5,10.8,60.0,67.08,14.0,5.0,35.7,3.0,2.0,66.7,3.0,1.0,0.0,0.0,7.0,51.0,1.0,1.0,1.0,8.0,5.0,5.0,3.0,144.0,48.0,2.0,1.0,-1.0,50.0,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,30.0,1.0,8.0,4.0,1.0,1.0,34.0,12.0,1.0,8.0,5.0,0.0,0.0,Sunday,993003255,2,33,18262.0,-6.0,0,1.0,0.333,0.0,0.0541878447404045,0.463768115942029,-0.2567152904637469,0.2200702203320086,-0.0039992687831238,0.4269662921348314,-0.1596934568874083,0.2245986870865718,25.7,24.7,1.0,326.6666666666667,386.6666666666667,0.0,0.402,0.5,103.0,101.0,2.0,0.06725951805622736,0.4634782608695652,0.14443096583420797,-0.043183330440241564,0.0181898169497649,0.5016687398465167,0.034293072571910464,0.07308670227076454,0.05342095648564622,0.0238956839990888
202210602.0,2022-10-16T13:00:00,1,2022,6,ATL,SF,HOME,28.0,14.0,42.0,Mercedes-Benz Stadium,14.0,7.0,7.0,0.0,0.0,30.0,34.0,33:25,19.0,10.0,7.0,2.0,61.0,261.0,4.3,2.0,31.0,151.0,4.9,1.0,25.0,14.0,110.0,1.0,0.0,4.4,7.9,56.0,80.42,14.0,6.0,42.9,1.0,1.0,100.0,2.0,2.0,0.0,0.0,6.0,55.0,1.0,0.0,5.0,37.0,4.0,2.0,6.0,290.0,48.3,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,29.0,26.0,26:35,26.0,7.0,17.0,2.0,75.0,420.0,5.6,2.0,23.0,69.0,3.0,1.0,52.0,35.0,351.0,1.0,0.0,6.8,10.0,67.3,92.71,16.0,9.0,56.2,1.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,45.0,0.0,0.0,0.0,0.0,10.0,8.0,4.0,197.0,49.2,0.0,0.0,0.0,100.0,0.0,40.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,45.0,21.0,0.0,0.0,3.0,0.0,0.0,42.0,19.0,5.0,37.0,2.0,1.0,0.0,Sunday,993003280,2,31,18171.0,14.0,1,0.0,0.429,0.0,0.0011323939404876,0.4146341463414634,-0.04025466154602,0.1517275000665465,0.0745659171128329,0.5,0.3051613088989228,-0.2100640611357189,21.7,21.3,0.3,326.6666666666667,414.3333333333333,0.0,0.444,0.4,118.0,122.0,2.0,0.11319334183779522,0.45946742076116415,0.08240054647665132,0.14634686389359355,0.07204196813026154,0.4928968100219553,0.12358817978129456,0.011553094195532299,0.042963243976614496,0.03402973062183762
202210707.0,2022-10-23T13:00:00,1,2022,7,ATL,CIN,AWAY,17.0,35.0,52.0,Paycor Stadium,0.0,17.0,0.0,0.0,0.0,33.0,25.0,26:55,18.0,10.0,7.0,1.0,56.0,289.0,5.2,4.0,40.0,168.0,4.2,1.0,14.0,13.0,121.0,2.0,0.0,8.6,9.3,92.9,142.26,14.0,9.0,64.3,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,40.0,1.0,0.0,2.0,8.0,4.0,2.0,5.0,215.0,43.0,0.0,3.0,3.0,14.0,14.0,7.0,0.0,0.0,26.0,35.0,33:05,21.0,4.0,15.0,2.0,57.0,346.0,6.1,2.0,16.0,50.0,3.1,0.0,41.0,29.0,296.0,2.0,2.0,7.2,10.2,70.7,87.04,8.0,3.0,37.5,1.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,30.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,158.0,52.7,3.0,0.0,-3.0,100.0,0.0,66.7,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,28.0,0.0,0.0,8.0,1.0,1.0,49.0,26.0,2.0,8.0,0.0,1.0,0.0,Sunday,993003303,2,7,18180.0,-18.0,0,3.0,0.643,0.0,0.0596534677593778,0.5277777777777778,0.3751032263083431,-0.0155834280288754,-0.1392623116425783,0.5,0.0267884108781193,-0.6874258496798575,22.0,18.3,3.7,294.3333333333333,389.6666666666667,1.333,0.468,0.6,146.0,136.0,3.0,0.0383245688134233,0.46872668002042345,0.026044424766192047,0.11873809745655989,-0.022898554437623064,0.4756554307116105,0.057418754296544604,-0.22429707457633488,0.0525128831737095,-0.002025388736090139
202210802.0,2022-10-30T13:00:00,1,2022,8,ATL,CAR,HOME,37.0,34.0,71.0,Mercedes-Benz Stadium,0.0,14.0,7.0,13.0,3.0,26.0,55.0,36:34,13.0,7.0,5.0,1.0,45.0,214.0,4.8,2.0,29.0,107.0,3.7,1.0,13.0,8.0,107.0,1.0,0.0,8.2,13.4,61.5,113.3,10.0,4.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,22.0,1.0,0.0,3.0,17.0,6.0,4.0,6.0,282.0,47.0,0.0,0.0,0.0,3.0,7.0,3.0,21.0,0.0,33.0,5.0,31:31,29.0,5.0,22.0,2.0,66.0,537.0,8.1,5.0,21.0,78.0,3.7,2.0,42.0,34.0,459.0,3.0,0.0,10.9,13.5,81.0,136.01,11.0,7.0,63.6,1.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,17.0,0.0,0.0,3.0,22.0,5.0,5.0,2.0,93.0,46.5,0.0,0.0,0.0,100.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,26.0,3.0,22.0,4.0,0.0,0.0,33.0,16.0,3.0,17.0,2.0,0.0,0.0,Sunday,993003338,2,5,18036.0,3.0,1,0.0,0.4,0.0,-0.0062760779239621,0.3870967741935484,0.0568217570558078,0.0014214326499942,0.2405609687497817,0.5421686746987951,0.5688711336654104,0.017966962326318,20.0,23.3,-3.3,254.66666666666666,434.3333333333333,1.0,0.49,0.6,163.0,171.0,3.0,0.0181699279253011,0.44316956610426317,0.13055677393937695,0.045855168229221775,0.05862152474001211,0.5140562248995985,0.30027361781415085,-0.29317431616308615,0.07859148306976027,0.0634849122995976
202210902.0,2022-11-06T13:00:00,1,2022,9,ATL,LAC,HOME,17.0,20.0,37.0,Mercedes-Benz Stadium,10.0,0.0,7.0,0.0,0.0,36.0,34.0,31:49,21.0,7.0,14.0,0.0,67.0,406.0,6.1,4.0,37.0,167.0,4.5,0.0,28.0,20.0,239.0,3.0,2.0,8.5,12.0,71.4,103.12,12.0,6.0,50.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,64.0,1.0,0.0,2.0,14.0,2.0,4.0,4.0,210.0,52.5,2.0,1.0,-1.0,0.0,14.0,0.0,6.0,0.0,31.0,31.0,28:11,23.0,10.0,12.0,1.0,73.0,478.0,6.5,4.0,36.0,169.0,4.7,3.0,36.0,19.0,309.0,1.0,1.0,8.6,16.3,52.8,79.51,13.0,5.0,38.5,2.0,1.0,50.0,5.0,3.0,0.0,0.0,9.0,74.0,0.0,0.0,1.0,8.0,8.0,6.0,3.0,141.0,47.0,1.0,2.0,1.0,33.3,0.0,60.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,43.0,24.0,1.0,8.0,7.0,0.0,0.0,47.0,28.0,2.0,14.0,6.0,1.0,0.0,Sunday,993003358,2,29,18120.0,-3.0,0,-1.0,0.5,0.0,0.0014501649239107,0.4444444444444444,0.2023218210809168,-0.1131167239738857,0.0038536598375629,0.404040404040404,0.0024256060036369,0.1248058186148697,27.3,27.7,-0.3,303.0,453.6666666666667,0.667,0.514,0.6,200.0,205.0,4.0,0.018275851586442134,0.4531063321385902,0.21141560148168922,-0.04242623978425564,0.035050772314922096,0.4820696929130664,0.19936171684905557,-0.18155102291288994,0.022029558688043703,0.03514379305489508
202211005.0,2022-11-10T20:15:00,1,2022,10,ATL,CAR,AWAY,15.0,25.0,40.0,Bank of America Stadium,0.0,3.0,6.0,6.0,0.0,31.0,49.0,25:48,19.0,12.0,7.0,0.0,60.0,315.0,5.2,2.0,35.0,201.0,5.7,2.0,23.0,12.0,114.0,0.0,0.0,5.0,9.5,52.2,66.21,11.0,5.0,45.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,15.0,2.0,2.0,2.0,15.0,2.0,3.0,4.0,204.0,51.0,2.0,2.0,0.0,3.0,10.0,6.0,6.0,0.0,28.0,11.0,34:12,19.0,3.0,16.0,0.0,67.0,336.0,5.0,2.0,24.0,91.0,3.8,1.0,43.0,30.0,245.0,1.0,1.0,5.7,8.2,69.8,82.03,16.0,8.0,50.0,1.0,1.0,100.0,4.0,2.0,0.0,0.0,5.0,45.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,168.0,42.0,2.0,2.0,0.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,37.0,0.0,0.0,5.0,1.0,1.0,40.0,22.0,2.0,15.0,1.0,1.0,2.0,Thursday,993003381,2,5,18134.0,-10.0,0,0.0,0.455,0.0,-0.0565786868145917,0.4933333333333333,-0.3124313626198306,0.2194619305270915,-0.0154829622105991,0.4096385542168674,0.0854738226942467,-0.1431087712011833,23.7,29.7,-6.0,311.6666666666667,450.3333333333333,-0.333,0.452,0.4,217.0,225.0,4.0,-0.020468199938214367,0.4416248506571087,-0.01776259482770202,0.035922213067733334,0.07631055545891516,0.4519492109853555,0.21892352078776467,-0.00011199675333186294,-0.00012374762295553482,0.03284705436940002
