gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210124.0,2022-09-11T13:00:00,1,2022,1,BAL,NYJ,AWAY,24.0,9.0,33.0,MetLife Stadium,3.0,7.0,14.0,0.0,0.0,,,27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,6.0,0.0,,,32:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003127,3,24,,15.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210203.0,2022-09-18T13:00:00,1,2022,2,BAL,MIA,HOME,38.0,42.0,80.0,M&T Bank Stadium,7.0,21.0,7.0,3.0,0.0,27.0,30.0,25:13,13.0,4.0,8.0,1.0,53.0,274.0,5.2,3.0,21.0,63.0,3.0,0.0,30.0,17.0,211.0,3.0,1.0,7.0,12.4,56.7,98.06,13.0,5.0,38.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,29.0,1.0,0.0,2.0,2.0,10.0,3.0,6.0,291.0,48.5,1.0,2.0,1.0,0.0,7.0,7.0,28.0,0.0,32.0,30.0,34:47,24.0,3.0,18.0,3.0,79.0,380.0,4.8,1.0,17.0,83.0,4.9,0.0,59.0,37.0,297.0,1.0,1.0,5.0,8.0,62.7,73.91,14.0,2.0,14.3,4.0,3.0,75.0,2.0,1.0,0.0,0.0,6.0,81.0,2.0,1.0,3.0,12.0,4.0,2.0,6.0,253.0,42.2,2.0,1.0,-1.0,50.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,48.0,21.0,3.0,12.0,4.0,2.0,1.0,31.0,16.0,2.0,2.0,4.0,1.0,0.0,Sunday,993003154,3,19,18012.0,-4.0,0,1.0,0.385,0.0,0.0166427528679216,0.4142857142857143,0.2236159818544975,-0.2727495804030792,-0.1953902337789738,0.3636363636363636,-0.1209600276522342,-0.2906231945930308,24.0,9.0,15.0,274.0,380.0,1.0,0.385,1.0,24.0,9.0,1.0,0.0166427528679216,0.4142857142857143,0.2236159818544975,-0.2727495804030792,-0.1953902337789738,0.3636363636363636,-0.1209600276522342,-0.2906231945930308,0.0166427528679216,-0.1953902337789738
202210321.0,2022-09-25T13:00:00,1,2022,3,BAL,NE,AWAY,37.0,26.0,63.0,Gillette Stadium,7.0,7.0,17.0,6.0,0.0,25.0,13.0,30:36,23.0,6.0,13.0,4.0,54.0,473.0,8.8,5.0,25.0,155.0,6.2,1.0,29.0,21.0,318.0,3.0,0.0,11.0,15.1,72.4,142.6,10.0,3.0,30.0,3.0,1.0,33.3,3.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,81.0,40.5,0.0,2.0,2.0,0.0,13.0,7.0,6.0,0.0,34.0,47.0,29:24,27.0,5.0,22.0,0.0,69.0,547.0,7.9,6.0,18.0,86.0,4.8,0.0,50.0,36.0,461.0,6.0,2.0,9.2,12.8,72.0,123.42,11.0,7.0,63.6,2.0,2.0,100.0,4.0,4.0,0.0,0.0,8.0,51.0,0.0,0.0,1.0,8.0,0.0,4.0,2.0,82.0,41.0,2.0,0.0,-2.0,66.7,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,21.0,1.0,8.0,7.0,0.0,0.0,33.0,21.0,0.0,0.0,2.0,0.0,0.0,Sunday,993003187,3,21,18027.0,11.0,1,2.0,0.3,0.0,0.2964070068270942,0.4736842105263157,0.6646073285809312,-0.2574865778284826,0.3416804262124848,0.5172413793103449,0.472888316474262,0.2244122524457957,31.0,25.5,5.5,373.5,463.5,1.5,0.342,0.5,62.0,51.0,1.0,0.1565248798475079,0.44398496240601504,0.44411165521771434,-0.2651180791157809,0.0731450962167555,0.44043887147335425,0.1759641444110139,-0.033105471073617554,0.1565248798475079,0.0731450962167555
202210403.0,2022-10-02T13:00:00,1,2022,4,BAL,BUF,HOME,20.0,23.0,43.0,M&T Bank Stadium,14.0,6.0,0.0,0.0,0.0,30.0,36.0,38:10,19.0,8.0,11.0,0.0,59.0,394.0,6.7,5.0,26.0,188.0,7.2,1.0,29.0,18.0,206.0,4.0,1.0,7.1,11.4,62.1,108.62,11.0,5.0,45.5,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,10.0,1.0,1.0,4.0,12.0,4.0,5.0,3.0,133.0,44.3,2.0,4.0,2.0,3.0,7.0,10.0,3.0,0.0,29.0,24.0,21:50,22.0,10.0,12.0,0.0,63.0,447.0,7.1,3.0,28.0,145.0,5.2,3.0,32.0,22.0,302.0,0.0,3.0,9.4,13.7,68.8,59.64,9.0,2.0,22.2,2.0,1.0,50.0,5.0,3.0,0.0,0.0,3.0,16.0,3.0,1.0,3.0,19.0,5.0,4.0,2.0,100.0,50.0,4.0,2.0,-2.0,100.0,0.0,60.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,44.0,13.0,3.0,19.0,6.0,2.0,1.0,34.0,18.0,4.0,12.0,2.0,1.0,2.0,Sunday,993003210,3,4,18033.0,-3.0,0,2.0,0.455,0.0,0.172649758693906,0.4605263157894737,0.0888670244301976,0.4283380098376338,-0.0408145902161901,0.4074074074074074,-0.0772824709713278,0.0689623106275879,33.0,25.7,7.3,380.3333333333333,458.0,1.667,0.38,0.667,99.0,77.0,2.0,0.16189983946297393,0.4494987468671679,0.3256967782885421,-0.033966049464642656,0.035158534072440295,0.4294283834513719,0.09154860595023334,0.0009171228267842632,0.16189983946297393,0.035158534072440295
202210503.0,2022-10-09T20:20:00,1,2022,5,BAL,CIN,HOME,19.0,17.0,36.0,M&T Bank Stadium,3.0,7.0,3.0,6.0,0.0,38.0,10.0,29:59,22.0,13.0,7.0,2.0,64.0,296.0,4.6,2.0,33.0,162.0,4.9,1.0,29.0,20.0,134.0,1.0,2.0,4.6,6.7,69.0,61.57,13.0,6.0,46.2,2.0,1.0,50.0,4.0,2.0,0.0,0.0,9.0,70.0,0.0,0.0,2.0,10.0,5.0,3.0,3.0,152.0,50.7,2.0,2.0,0.0,0.0,10.0,0.0,7.0,0.0,21.0,50.0,30:01,22.0,7.0,14.0,1.0,62.0,326.0,5.3,2.0,25.0,125.0,5.0,1.0,36.0,19.0,201.0,1.0,1.0,5.6,10.6,52.8,67.01,11.0,4.0,36.4,1.0,1.0,100.0,3.0,2.0,0.0,0.0,4.0,31.0,2.0,1.0,1.0,12.0,5.0,5.0,3.0,136.0,45.3,2.0,2.0,0.0,50.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,30.0,16.0,1.0,12.0,8.0,1.0,1.0,42.0,22.0,2.0,10.0,4.0,0.0,0.0,Sunday,993003266,3,7,18269.0,2.0,1,0.0,0.462,0.0,-0.0350914168269812,0.4482758620689655,-0.160292987745135,0.1075078855042542,0.0159533009801093,0.5,0.1910468208561718,-0.3006956016098329,31.7,30.3,1.3,387.6666666666667,440.0,1.333,0.405,0.5,119.0,100.0,2.0,0.14465511623133967,0.4608287961282516,0.19772712175533128,0.09278643917113515,0.10560637899213467,0.4748829289059174,0.1955508887863687,-0.002440346178816425,0.11265202539048515,0.030357225799357547
202210623.0,2022-10-16T13:00:00,1,2022,6,BAL,NYG,AWAY,20.0,24.0,44.0,MetLife Stadium,0.0,10.0,3.0,7.0,0.0,29.0,59.0,28:08,22.0,13.0,7.0,2.0,61.0,325.0,5.3,1.0,28.0,155.0,5.5,0.0,32.0,19.0,170.0,1.0,1.0,5.3,8.9,59.4,71.09,11.0,5.0,45.5,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,48.0,1.0,0.0,1.0,4.0,5.0,5.0,2.0,79.0,39.5,1.0,1.0,0.0,0.0,7.0,3.0,14.0,0.0,30.0,1.0,31:52,20.0,7.0,10.0,3.0,59.0,291.0,4.9,2.0,21.0,101.0,4.8,1.0,35.0,24.0,190.0,1.0,1.0,5.4,7.9,68.6,79.46,10.0,4.0,40.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,20.0,0.0,0.0,3.0,27.0,4.0,2.0,4.0,154.0,38.5,1.0,1.0,0.0,33.3,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39.0,17.0,3.0,27.0,5.0,0.0,0.0,41.0,21.0,1.0,4.0,3.0,0.0,0.0,Sunday,993003271,3,23,18177.0,-4.0,0,0.0,0.455,0.0,0.0260885164708694,0.4683544303797468,-0.139689185583804,0.1162798949200366,-0.0174305300138903,0.4666666666666667,-0.0641000964798695,0.1473643400919779,25.3,22.0,3.3,338.3333333333333,354.6666666666667,0.667,0.457,0.6,138.0,117.0,3.0,0.05454895277926474,0.45905220274606195,-0.07037171629958046,0.21737526342064153,-0.014097273083323697,0.4580246913580246,0.016554751134991507,-0.028122983630089027,0.095339323606562,0.02079967463670798
202210703.0,2022-10-23T13:00:00,1,2022,7,BAL,CLE,HOME,23.0,20.0,43.0,M&T Bank Stadium,3.0,10.0,7.0,3.0,0.0,28.0,8.0,34:04,23.0,10.0,13.0,0.0,58.0,406.0,7.0,2.0,24.0,211.0,8.8,1.0,32.0,17.0,195.0,1.0,1.0,6.1,11.5,53.1,69.14,10.0,4.0,40.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,74.0,2.0,1.0,2.0,15.0,5.0,6.0,2.0,95.0,47.5,2.0,1.0,-1.0,10.0,0.0,3.0,7.0,0.0,31.0,52.0,25:56,18.0,5.0,11.0,2.0,62.0,238.0,3.8,3.0,31.0,83.0,2.7,1.0,27.0,19.0,155.0,2.0,0.0,5.7,8.2,70.4,109.34,14.0,7.0,50.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,25.0,1.0,1.0,4.0,18.0,2.0,4.0,4.0,185.0,46.2,1.0,2.0,1.0,33.3,0.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,44.0,17.0,4.0,18.0,2.0,1.0,1.0,37.0,13.0,2.0,15.0,5.0,1.0,1.0,Sunday,993003306,3,8,18186.0,3.0,1,-1.0,0.4,0.0,0.0071961650798103,0.4210526315789473,0.0213938242696826,0.2430612364816782,0.0395282244769534,0.4567901234567901,0.3149338238999322,-0.0981424176231182,19.7,21.3,-1.7,342.3333333333333,285.0,-0.333,0.439,0.4,158.0,141.0,3.0,-0.0006022450921004992,0.44589430800921986,-0.09286278301975213,0.15561633896865634,0.012683665147724133,0.4744855967078188,0.14729351609207816,-0.08382455971365772,0.09345000604893974,0.06778336628789342
202210833.0,2022-10-27T20:15:00,1,2022,8,BAL,TB,AWAY,27.0,22.0,49.0,Raymond James Stadium,3.0,0.0,14.0,10.0,0.0,34.0,4.0,38:23,17.0,11.0,5.0,1.0,63.0,254.0,4.0,2.0,44.0,160.0,3.6,2.0,16.0,9.0,94.0,0.0,0.0,5.9,10.4,56.2,73.44,15.0,7.0,46.7,2.0,2.0,100.0,4.0,2.0,0.0,0.0,3.0,53.0,1.0,1.0,3.0,26.0,5.0,5.0,3.0,181.0,60.3,1.0,2.0,1.0,10.0,0.0,0.0,12.0,0.0,25.0,56.0,21:37,18.0,8.0,8.0,2.0,56.0,336.0,6.0,2.0,24.0,113.0,4.7,2.0,27.0,22.0,223.0,0.0,0.0,8.3,10.1,81.5,101.08,11.0,2.0,18.2,1.0,1.0,100.0,4.0,2.0,0.0,0.0,6.0,45.0,3.0,2.0,5.0,35.0,5.0,8.0,3.0,173.0,57.7,2.0,1.0,-1.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,40.0,23.0,5.0,35.0,1.0,3.0,2.0,47.0,17.0,3.0,26.0,4.0,1.0,1.0,Thursday,993003325,3,33,18042.0,5.0,1,1.0,0.467,0.0,0.0294646109772033,0.4430379746835443,-0.1186428707293393,-0.0143243696202705,0.0146573547355964,0.4473684210526316,0.0359393406944266,0.1813777593567713,20.7,20.3,0.3,328.3333333333333,288.3333333333333,0.0,0.44,0.6,181.0,161.0,4.0,0.020916430842627665,0.4441483455474127,-0.07897941068115356,0.11500558726048143,0.012251683066219834,0.45694173705869606,0.09559102270482978,0.07686656060854367,0.04006152687896156,0.0023787519925157373
202210922.0,2022-11-07T20:15:00,1,2022,9,BAL,NO,AWAY,27.0,13.0,40.0,Caesars Superdome,7.0,7.0,3.0,10.0,0.0,38.0,23.0,37:47,27.0,11.0,15.0,1.0,74.0,453.0,6.1,3.0,33.0,231.0,7.0,1.0,38.0,27.0,222.0,2.0,0.0,5.8,8.2,71.1,103.18,13.0,6.0,46.2,1.0,0.0,0.0,6.0,3.0,0.0,0.0,7.0,101.0,0.0,0.0,3.0,16.0,6.0,5.0,4.0,210.0,52.5,0.0,1.0,1.0,0.0,3.0,3.0,7.0,0.0,21.0,37.0,22:13,20.0,4.0,13.0,3.0,62.0,349.0,5.6,2.0,15.0,44.0,2.9,1.0,44.0,26.0,305.0,1.0,0.0,6.9,11.7,59.1,87.78,13.0,4.0,30.8,1.0,1.0,100.0,5.0,2.0,0.0,0.0,4.0,35.0,1.0,1.0,3.0,20.0,3.0,7.0,5.0,267.0,53.4,1.0,0.0,-1.0,50.0,0.0,40.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,36.0,13.0,3.0,20.0,7.0,0.0,1.0,52.0,24.0,3.0,16.0,3.0,0.0,0.0,Monday,993003379,3,22,18119.0,14.0,1,1.0,0.462,0.0,0.1595647368170006,0.5161290322580645,0.022655633757219,0.3019731109901558,0.0803582435565248,0.4302325581395348,0.1508076463801594,-0.0137626115048304,23.3,22.0,1.3,371.0,307.6666666666667,0.333,0.443,0.6,208.0,183.0,5.0,0.06540850429133806,0.4600732128401854,-0.024864470900812563,0.17690332595052116,0.04484794092302486,0.4447970342163188,0.16722693699150604,0.0231575767429409,0.03744452250358048,0.026613318747058717
202211103.0,2022-11-20T13:00:00,1,2022,11,BAL,CAR,HOME,13.0,3.0,16.0,M&T Bank Stadium,0.0,3.0,0.0,10.0,0.0,37.0,47.0,33:14,23.0,14.0,7.0,2.0,65.0,319.0,4.9,3.0,40.0,188.0,4.7,2.0,22.0,12.0,131.0,1.0,0.0,6.0,10.9,54.5,87.5,15.0,9.0,60.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,31.0,1.0,0.0,3.0,2.0,7.0,5.0,4.0,193.0,48.2,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,22.0,13.0,26:46,13.0,2.0,10.0,1.0,49.0,243.0,5.0,1.0,15.0,48.0,3.2,0.0,30.0,20.0,195.0,1.0,1.0,6.5,9.8,66.7,81.94,11.0,3.0,27.3,1.0,1.0,100.0,2.0,0.0,0.0,0.0,5.0,40.0,0.0,0.0,4.0,28.0,2.0,5.0,5.0,232.0,46.4,1.0,0.0,-1.0,50.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,34.0,12.0,4.0,28.0,6.0,0.0,0.0,46.0,16.0,3.0,2.0,1.0,0.0,0.0,Sunday,993003420,3,5,18145.0,10.0,1,1.0,0.6,0.0,0.1212007044275765,0.4878048780487805,0.1685128313348118,0.1206352036842429,-0.1520810208917456,0.391304347826087,-0.1042703958338724,-0.3411226427919852,25.7,18.3,7.3,342.0,309.3333333333333,1.0,0.509,0.8,235.0,196.0,6.0,0.10341001740726012,0.4823239616634631,0.024175198120897166,0.13609464835137605,-0.019021807533208136,0.4229684423394177,0.027492197080237857,-0.05783583164668143,0.06870294675449203,-0.006993545627312264
