gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202210132,2022-09-08T20:20:00,1,2022,1,BUF,LAR,AWAY,31,10,41,SoFi Stadium,7,3,7,14,0,31,14,31:14,23,7,15,1,58,413,7.1,4,25,121,4.8,1,31,26,292,3,2,9.4,11.2,83.9,111.29,10,9,90.0,0,0,0.0,2,2,0,0,5,35,2,2,2,5,16,7,0,0,0.0,4,3,-1,0,10,0,0,0,28,46,28:46,19,3,14,2,66,243,3.7,1,18,52,2.9,0,41,29,191,1,3,4.7,6.6,70.7,58.08,13,6,46.2,3,2,66.7,2,1,0,0,4,30,1,0,7,49,2,2,4,180,45.0,3,4,1,100.0,0,50.0,0,4,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,45,21,7,49,6,0,0,42,19,2,5,3,2,2,Thursday,993003109,4,32,18006,21,1,-1,0.9,0,,,,,,,,,,,,34.0
202210204,2022-09-19T19:15:00,1,2022,2,BUF,TEN,HOME,41,7,48,Highmark Stadium,7,10,24,0,0,31,34,31:34,23,6,13,4,65,414,6.4,5,24,101,4.2,0,40,26,313,4,0,7.8,12.0,65.0,122.19,13,5,38.5,3,2,66.7,5,3,0,0,8,49,0,0,1,4,3,8,3,145,48.3,0,4,4,7,0,0,0,0,28,26,28:26,12,5,6,1,53,187,3.5,1,27,80,3.0,1,24,12,107,0,2,4.5,8.9,50.0,27.6,12,4,33.3,1,1,100.0,1,1,0,0,9,87,3,2,2,16,3,2,6,333,55.5,4,0,-4,60.0,0,100.0,0,5,5,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,36,11,2,16,7,0,2,42,11,1,4,4,0,1,Monday,993003170,4,34,18001,34,1,4,0.385,0,,,,,,,,,31.0,10.0,1.0,-2.0
202210319,2022-09-25T13:00:00,1,2022,3,BUF,MIA,AWAY,19,21,40,Hard Rock Stadium,7,7,3,2,0,40,40,40:40,31,9,21,1,90,497,5.5,2,23,115,5.0,0,63,42,382,2,0,6.1,9.1,66.7,93.49,18,11,61.1,3,2,66.7,4,2,0,0,7,52,4,1,4,18,3,3,1,31,31.0,1,0,-1,7,7,0,7,0,19,20,19:20,15,4,8,3,39,212,5.4,3,17,41,2.4,2,20,13,171,1,0,8.6,13.2,65.0,108.54,8,3,37.5,0,0,0.0,3,3,0,0,4,20,0,0,2,15,11,4,5,218,43.6,0,1,1,50.0,0,100.0,0,2,2,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,22,17,2,15,3,0,0,57,26,4,18,9,2,1,Sunday,993003175,4,19,18052,-2,0,-1,0.611,0,,,,,,,,,72.0,17.0,2.0,3.0
202210403,2022-10-02T13:00:00,1,2022,4,BUF,BAL,AWAY,23,20,43,M&T Bank Stadium,3,7,10,3,0,21,50,21:50,22,7,14,1,62,326,5.3,2,25,125,5.0,1,36,19,201,1,1,5.6,10.6,52.8,67.01,11,4,36.4,1,1,100.0,3,2,0,0,4,31,2,1,1,12,5,5,3,136,45.3,2,2,0,14,6,0,0,0,38,10,38:10,22,13,7,2,64,296,4.6,2,33,162,4.9,1,29,20,134,1,2,4.6,6.7,69.0,61.57,13,6,46.2,2,1,50.0,4,2,0,0,9,70,0,0,2,10,5,3,3,152,50.7,2,2,0,66.7,0,50.0,0,2,2,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,42,22,2,10,4,0,0,30,16,1,12,8,1,1,Sunday,993003209,4,3,18269,3,1,0,0.364,0,30.3,12.7,17.7,441.3333333333333,214.0,0.667,0.632,,91.0,38.0,2.0,35.0
202210504,2022-10-09T13:00:00,1,2022,5,BUF,PIT,HOME,38,3,41,Highmark Stadium,10,21,0,7,0,23,52,23:52,21,4,15,2,54,552,10.2,5,18,120,6.7,1,36,22,432,4,1,12.0,19.6,61.1,128.47,9,5,55.6,0,0,0.0,4,1,0,0,5,28,2,1,0,0,7,5,2,110,55.0,2,2,0,3,0,0,0,0,36,8,36:08,23,2,19,2,72,364,5.1,0,17,54,3.2,0,52,34,310,0,1,6.0,9.1,65.4,73.4,15,5,33.3,3,0,0.0,4,0,0,0,6,54,1,1,3,17,1,2,4,163,40.8,2,2,0,25.0,0,0.0,0,5,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,1,49,20,3,17,10,0,1,28,12,0,0,7,1,1,Sunday,993003250,4,28,18165,35,1,0,0.556,0,27.7,16.0,11.7,412.3333333333333,231.66666666666666,1.0,0.453,,114.0,58.0,3.0,4.0
202210616,2022-10-16T16:25:00,1,2022,6,BUF,KC,AWAY,24,20,44,Arrowhead Stadium,0,10,7,7,0,31,28,31:28,26,7,18,1,72,443,6.2,3,31,125,4.0,0,40,27,318,3,0,8.0,11.8,67.5,116.46,11,4,36.4,3,1,33.3,4,2,0,0,7,35,1,1,1,11,9,4,2,108,54.0,1,2,1,0,10,7,3,0,28,32,28:32,23,4,16,3,61,387,6.3,2,18,68,3.8,0,40,25,319,2,2,8.0,12.8,62.5,83.23,11,4,36.4,1,1,100.0,2,1,0,0,5,58,1,0,3,19,4,6,3,173,57.7,2,1,-1,50.0,0,50.0,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,2,41,10,3,19,5,0,0,42,26,1,11,5,0,1,Sunday,993003291,4,16,18190,4,1,1,0.364,0,26.7,14.7,12.0,458.3333333333333,290.6666666666667,-0.333,0.51,0.8,152.0,61.0,4.0,10.0
202210804,2022-10-30T20:20:00,1,2022,8,BUF,GB,HOME,27,17,44,Highmark Stadium,7,17,3,0,0,26,12,26:12,20,9,8,3,54,369,6.8,3,27,153,5.7,1,25,13,216,2,2,8.6,16.6,52.0,74.75,7,2,28.6,0,0,0.0,4,2,0,0,4,35,1,0,2,2,4,4,2,73,36.5,2,1,-1,0,7,3,7,0,33,48,33:48,21,12,8,1,63,398,6.3,2,31,208,6.7,0,30,19,190,2,1,6.3,10.0,63.3,89.58,12,6,50.0,2,0,0.0,2,1,0,0,8,58,0,0,2,13,3,4,2,89,44.5,1,2,1,50.0,0,50.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,1,48,22,2,13,6,0,0,36,15,2,2,6,1,0,Sunday,993003352,4,12,18131,10,1,-1,0.286,0,28.3,14.3,14.0,440.3333333333333,349.0,0.333,0.428,0.8,176.0,81.0,5.0,-3.0
202210924,2022-11-06T13:00:00,1,2022,9,BUF,NYJ,AWAY,17,20,37,MetLife Stadium,7,7,0,3,0,27,16,27:16,19,9,10,0,61,317,5.2,2,22,134,6.1,2,34,18,183,0,2,5.4,10.2,52.9,44.12,13,8,61.5,1,0,0.0,2,1,0,0,3,30,2,0,5,22,3,3,2,111,55.5,2,1,-1,3,7,7,3,0,32,44,32:44,21,11,9,1,61,310,5.1,2,34,174,5.1,1,25,18,136,1,0,5.4,7.6,72.0,98.08,13,5,38.5,2,2,100.0,5,2,0,0,3,30,2,1,2,18,8,3,3,147,49.0,1,2,1,50.0,0,40.0,0,2,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,35,35,2,18,1,1,1,35,21,5,22,6,2,0,Sunday,993003371,4,24,18139,-3,0,-1,0.615,0,29.7,13.3,16.3,454.6666666666667,383.0,0.0,0.402,0.8,203.0,98.0,6.0,-3.0
202211004,2022-11-13T13:00:00,1,2022,10,BUF,MIN,HOME,30,33,63,Highmark Stadium,14,10,3,3,0,33,46,33:46,29,9,17,3,72,486,6.8,3,27,175,6.5,2,43,29,311,1,2,7.2,10.7,67.4,76.79,13,7,53.8,1,0,0.0,6,3,0,0,7,64,3,2,2,19,10,10,3,152,50.7,4,2,-2,7,3,7,13,3,35,2,35:02,24,8,14,2,79,481,6.1,4,25,147,5.9,2,50,30,334,1,2,6.7,11.1,60.0,69.92,17,7,41.2,5,3,60.0,4,1,0,0,7,64,2,0,4,23,4,7,3,149,49.7,2,4,2,50.0,0,25.0,0,3,3,0,0,0,0,0,3,3,4,3,0,0,0,0,0,2,2,48,20,4,23,9,1,0,52,18,2,19,8,1,2,Sunday,993003390,4,20,18064,-3,0,-2,0.538,0,22.7,19.0,3.7,376.3333333333333,365.0,-0.333,0.422,0.8,220.0,118.0,6.0,8.0
202211104,2022-11-20T13:00:00,1,2022,11,BUF,CLE,HOME,31,23,54,Ford Field,3,10,9,9,0,28,38,28:38,22,12,9,1,62,357,5.8,2,33,171,5.2,1,27,18,186,1,0,6.9,10.3,66.7,98.69,11,3,27.3,0,0,0.0,5,2,0,0,8,89,0,0,2,11,5,8,2,99,49.5,0,1,1,7,3,0,13,0,31,22,31:22,27,5,19,3,68,396,5.8,3,26,80,3.1,0,41,28,316,3,0,7.7,11.3,68.3,115.5,11,4,36.4,2,1,50.0,4,2,0,0,6,42,1,1,1,8,4,5,3,127,42.3,1,0,-1,40.0,0,50.0,0,1,1,0,1,0,0,0,6,6,2,2,0,2,0,0,0,2,1,42,27,1,8,5,0,1,42,27,2,11,0,0,0,Sunday,993003422,4,8,18077,8,1,1,0.273,0,24.7,23.3,1.3,390.6666666666667,396.3333333333333,-1.333,0.48,0.6,250.0,151.0,6.0,3.0
