gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210106.0,2022-09-11T13:00:00,,2022,1,CHI,SF,HOME,19.0,10.0,29.0,Soldier Field,0.0,0.0,7.0,12.0,0.0,,,26:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,3.0,0.0,0.0,,,33:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003126,6,31,,9.0,1,,,,,,,,,,,,,,
202210212.0,2022-09-18T20:20:00,1.0,2022,2,CHI,GB,AWAY,10.0,27.0,37.0,Lambeau Field,7.0,0.0,3.0,0.0,0.0,26.0,32.0,22:45,15.0,6.0,4.0,5.0,56.0,204.0,3.6,3.0,37.0,99.0,2.7,1.0,17.0,8.0,105.0,2.0,1.0,6.2,13.1,47.1,81.74,14.0,5.0,35.7,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,24.0,0.0,0.0,2.0,16.0,4.0,4.0,6.0,277.0,46.2,1.0,2.0,1.0,3.0,21.0,0.0,3.0,0.0,33.0,28.0,37:15,17.0,11.0,5.0,1.0,67.0,331.0,4.9,1.0,37.0,176.0,4.8,1.0,28.0,13.0,155.0,0.0,1.0,5.5,11.9,46.4,48.96,17.0,8.0,47.1,2.0,0.0,0.0,3.0,1.0,0.0,0.0,12.0,99.0,2.0,1.0,2.0,9.0,3.0,6.0,4.0,161.0,40.2,2.0,1.0,-1.0,100.0,0.0,33.3,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,12.0,2.0,9.0,3.0,1.0,1.0,34.0,14.0,2.0,16.0,2.0,0.0,0.0,Sunday,993003167,6,12,18008.0,-17.0,0,1.0,0.357,0.0,,,,,,,,,19.0,10.0,1.0
202210306.0,2022-09-25T13:00:00,1.0,2022,3,CHI,HOU,HOME,23.0,20.0,43.0,Soldier Field,10.0,3.0,7.0,3.0,0.0,22.0,45.0,31:22,11.0,9.0,2.0,0.0,41.0,228.0,5.6,1.0,27.0,180.0,6.7,1.0,11.0,7.0,48.0,0.0,1.0,4.4,6.9,63.6,35.42,7.0,1.0,14.3,1.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,50.0,1.0,0.0,3.0,22.0,4.0,8.0,4.0,198.0,49.5,1.0,1.0,0.0,7.0,7.0,6.0,0.0,0.0,37.0,15.0,28:38,26.0,13.0,10.0,3.0,66.0,414.0,6.3,3.0,38.0,203.0,5.3,1.0,25.0,19.0,211.0,2.0,0.0,8.4,11.1,76.0,127.25,9.0,5.0,55.6,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,25.0,3.0,1.0,3.0,23.0,5.0,6.0,2.0,122.0,61.0,1.0,1.0,0.0,50.0,0.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,44.0,29.0,3.0,23.0,1.0,0.0,1.0,31.0,14.0,3.0,22.0,2.0,0.0,0.0,Sunday,993003180,6,13,18031.0,3.0,1,0.0,0.143,0.0,,,,,,,,,29.0,37.0,1.0
202210423.0,2022-10-02T13:00:00,1.0,2022,4,CHI,NYG,AWAY,12.0,20.0,32.0,MetLife Stadium,6.0,3.0,3.0,0.0,0.0,31.0,22.0,28:43,17.0,12.0,5.0,0.0,62.0,363.0,5.9,2.0,40.0,281.0,7.0,2.0,17.0,8.0,82.0,0.0,2.0,4.8,10.2,47.1,21.81,14.0,6.0,42.9,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,32.0,2.0,0.0,5.0,24.0,3.0,5.0,4.0,182.0,45.5,2.0,2.0,0.0,7.0,7.0,3.0,3.0,0.0,28.0,38.0,31:17,17.0,6.0,9.0,2.0,57.0,329.0,5.8,2.0,24.0,92.0,3.8,1.0,32.0,20.0,237.0,1.0,2.0,7.4,11.8,62.5,69.4,12.0,3.0,25.0,1.0,1.0,100.0,4.0,2.0,0.0,0.0,3.0,25.0,3.0,0.0,1.0,8.0,9.0,6.0,5.0,242.0,48.4,2.0,2.0,0.0,66.7,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,33.0,1.0,8.0,6.0,3.0,0.0,41.0,21.0,5.0,24.0,3.0,0.0,1.0,Sunday,993003223,6,23,18050.0,-8.0,0,0.0,0.429,0.0,17.3,19.0,-1.7,265.0,358.0,0.333,0.31,,52.0,57.0,2.0
202210520.0,2022-10-09T13:00:00,1.0,2022,5,CHI,MIN,AWAY,22.0,29.0,51.0,U.S. Bank Stadium,3.0,7.0,9.0,3.0,0.0,28.0,43.0,23:16,16.0,7.0,6.0,3.0,60.0,304.0,5.1,0.0,32.0,149.0,4.7,0.0,22.0,11.0,155.0,0.0,0.0,7.0,14.1,50.0,73.11,15.0,5.0,33.3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,65.0,6.0,3.0,6.0,19.0,2.0,3.0,5.0,264.0,52.8,3.0,2.0,-1.0,7.0,14.0,0.0,8.0,0.0,31.0,17.0,36:44,21.0,14.0,5.0,2.0,61.0,333.0,5.5,2.0,44.0,262.0,6.0,2.0,16.0,9.0,71.0,0.0,1.0,4.4,7.9,56.2,41.41,14.0,6.0,42.9,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,55.0,2.0,1.0,1.0,11.0,9.0,6.0,5.0,273.0,54.6,2.0,3.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,41.0,31.0,1.0,11.0,1.0,2.0,1.0,37.0,27.0,6.0,19.0,3.0,3.0,3.0,Sunday,993003247,6,20,18266.0,-7.0,0,-1.0,0.333,0.0,15.0,22.3,-7.3,298.3333333333333,358.6666666666667,-0.333,0.302,,64.0,77.0,2.0
202210606.0,2022-10-13T20:15:00,1.0,2022,6,CHI,WAS,HOME,7.0,12.0,19.0,Soldier Field,0.0,0.0,7.0,0.0,0.0,23.0,16.0,32:12,14.0,4.0,9.0,1.0,47.0,271.0,5.8,2.0,24.0,78.0,3.2,1.0,21.0,15.0,193.0,1.0,0.0,9.2,12.9,71.4,115.77,10.0,4.0,40.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,6.0,40.0,3.0,1.0,2.0,15.0,3.0,4.0,2.0,112.0,56.0,1.0,1.0,0.0,0.0,3.0,0.0,9.0,0.0,36.0,44.0,27:48,29.0,10.0,18.0,1.0,74.0,429.0,5.8,4.0,31.0,117.0,3.8,3.0,42.0,33.0,312.0,1.0,1.0,7.4,9.5,78.6,95.63,15.0,12.0,80.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,70.0,1.0,0.0,1.0,7.0,3.0,5.0,1.0,15.0,15.0,1.0,1.0,0.0,100.0,0.0,100.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,51.0,25.0,1.0,7.0,3.0,1.0,0.0,31.0,19.0,2.0,15.0,2.0,2.0,1.0,Thursday,993003270,6,35,18167.0,-5.0,0,0.0,0.4,0.0,19.0,23.0,-4.0,312.6666666666667,363.6666666666667,-0.333,0.387,0.4,86.0,106.0,2.0
202210721.0,2022-10-24T20:15:00,1.0,2022,7,CHI,NE,AWAY,33.0,14.0,47.0,Gillette Stadium,10.0,10.0,6.0,7.0,0.0,32.0,12.0,37:14,20.0,9.0,9.0,2.0,69.0,392.0,5.7,1.0,37.0,238.0,6.4,0.0,27.0,14.0,154.0,1.0,1.0,5.7,11.0,51.9,65.97,13.0,5.0,38.5,4.0,1.0,25.0,3.0,0.0,0.0,0.0,4.0,42.0,2.0,1.0,5.0,36.0,3.0,3.0,4.0,185.0,46.2,2.0,0.0,-2.0,0.0,14.0,0.0,0.0,0.0,27.0,48.0,22:46,14.0,7.0,5.0,2.0,53.0,214.0,4.0,1.0,28.0,128.0,4.6,1.0,22.0,12.0,86.0,0.0,0.0,3.9,7.2,54.5,63.83,11.0,2.0,18.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,36.0,1.0,0.0,3.0,13.0,12.0,4.0,6.0,307.0,51.2,0.0,2.0,2.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,37.0,21.0,3.0,13.0,4.0,1.0,0.0,45.0,22.0,5.0,36.0,5.0,1.0,1.0,Monday,993003323,6,21,18179.0,19.0,1,-2.0,0.385,0.0,13.7,20.3,-6.7,322.3333333333333,325.3333333333333,-1.0,0.373,0.2,93.0,118.0,2.0
202210809.0,2022-10-30T13:00:00,1.0,2022,8,CHI,DAL,AWAY,29.0,49.0,78.0,AT&T Stadium,0.0,17.0,6.0,6.0,0.0,37.0,14.0,36:04,24.0,13.0,10.0,1.0,70.0,390.0,5.6,3.0,45.0,243.0,5.4,2.0,21.0,13.0,147.0,1.0,1.0,7.0,11.3,61.9,78.87,18.0,11.0,61.1,1.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,35.0,5.0,0.0,4.0,32.0,3.0,2.0,2.0,81.0,40.5,1.0,4.0,3.0,14.0,14.0,14.0,7.0,0.0,22.0,46.0,23:56,12.0,3.0,9.0,0.0,48.0,260.0,5.4,2.0,19.0,70.0,3.7,1.0,28.0,17.0,190.0,1.0,3.0,6.8,11.2,60.7,53.27,10.0,5.0,50.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,30.0,1.0,1.0,1.0,8.0,4.0,4.0,4.0,160.0,40.0,4.0,1.0,-3.0,50.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,1.0,8.0,7.0,0.0,1.0,44.0,40.0,4.0,32.0,4.0,2.0,0.0,Sunday,993003339,6,9,18048.0,-20.0,0,3.0,0.611,0.0,20.7,18.3,2.3,351.0,301.0,0.333,0.465,0.4,126.0,132.0,3.0
202210906.0,2022-11-06T13:00:00,1.0,2022,9,CHI,MIA,HOME,32.0,35.0,67.0,Soldier Field,3.0,14.0,8.0,7.0,0.0,36.0,4.0,34:46,22.0,15.0,4.0,3.0,71.0,371.0,5.2,4.0,43.0,240.0,5.6,2.0,24.0,18.0,131.0,2.0,0.0,5.5,7.3,75.0,115.1,15.0,6.0,40.0,3.0,2.0,66.7,6.0,4.0,0.0,0.0,6.0,45.0,1.0,1.0,4.0,25.0,2.0,2.0,4.0,203.0,50.8,1.0,1.0,0.0,7.0,14.0,14.0,0.0,0.0,23.0,56.0,25:14,24.0,9.0,15.0,0.0,57.0,442.0,7.8,7.0,29.0,200.0,6.9,4.0,27.0,21.0,242.0,2.0,1.0,9.0,11.5,77.8,113.27,11.0,9.0,81.8,0.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,41.0,0.0,0.0,1.0,8.0,5.0,7.0,2.0,142.0,71.0,1.0,1.0,0.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,1.0,8.0,3.0,0.0,0.0,48.0,28.0,4.0,25.0,3.0,1.0,1.0,Sunday,993003370,6,19,18121.0,-3.0,0,0.0,0.4,0.0,23.0,25.0,-2.0,384.3333333333333,305.3333333333333,0.333,0.465,0.2,155.0,181.0,3.0
202211006.0,2022-11-13T13:00:00,1.0,2022,10,CHI,DET,HOME,30.0,31.0,61.0,Soldier Field,3.0,7.0,14.0,6.0,0.0,34.0,46.0,29:12,23.0,15.0,7.0,1.0,70.0,368.0,5.3,4.0,40.0,252.0,6.3,1.0,28.0,17.0,116.0,3.0,0.0,4.1,6.8,60.7,105.65,16.0,10.0,62.5,2.0,1.0,50.0,4.0,3.0,0.0,0.0,4.0,92.0,0.0,0.0,2.0,7.0,3.0,1.0,2.0,83.0,41.5,0.0,0.0,0.0,3.0,7.0,0.0,21.0,0.0,25.0,14.0,30:48,21.0,3.0,15.0,3.0,53.0,379.0,7.2,5.0,23.0,77.0,3.3,1.0,30.0,21.0,302.0,3.0,0.0,10.1,14.4,70.0,135.69,10.0,5.0,50.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,3.0,38.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,51.0,51.0,0.0,0.0,0.0,75.0,0.0,66.7,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,7.0,0.0,0.0,2.0,0.0,0.0,46.0,23.0,2.0,7.0,1.0,0.0,0.0,Sunday,993003388,6,11,18135.0,-1.0,0,0.0,0.625,0.0,31.3,32.7,-1.3,376.3333333333333,360.3333333333333,1.0,0.545,0.2,187.0,216.0,3.0
