gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210113,2022-09-11T13:00:00,,2022,1,IND,HOU,AWAY,20,20,40,NRG Stadium,,,,,,,,39:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003119,14,13,,0,0,,,,,,,,,,,,,,
202210215,2022-09-18T13:00:00,1.0,2022,2,IND,JAX,AWAY,0,24,24,TIAA Bank Field,3.0,0.0,0.0,17.0,0.0,39.0,37.0,21:45,33.0,11.0,20.0,2.0,90.0,517.0,5.7,2.0,38.0,177.0,4.7,1.0,50.0,32.0,340.0,1.0,1.0,6.8,10.6,64.0,82.08,15.0,6.0,40.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,89.0,5.0,1.0,2.0,12.0,5.0,5.0,4.0,179.0,44.8,2.0,1.0,-1.0,0.0,10.0,10.0,0.0,0.0,30.0,23.0,38:15,20.0,4.0,12.0,4.0,68.0,299.0,4.4,2.0,28.0,77.0,2.8,0.0,37.0,23.0,222.0,2.0,0.0,6.0,9.7,62.2,96.9,15.0,5.0,33.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,40.0,1.0,1.0,3.0,18.0,7.0,6.0,7.0,318.0,45.4,1.0,2.0,1.0,40.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,48.0,11.0,3.0,18.0,2.0,1.0,2.0,53.0,37.0,2.0,12.0,11.0,2.0,1.0,Sunday,993003145,14,15,18015.0,-24,0,-1.0,0.4,0.0,,,,,,,,,20.0,20.0,0.0
202210314,2022-09-25T13:00:00,1.0,2022,3,IND,KC,HOME,20,17,37,Lucas Oil Stadium,0.0,0.0,0.0,0.0,0.0,21.0,45.0,33:32,9.0,3.0,6.0,0.0,48.0,218.0,4.5,0.0,13.0,54.0,4.2,0.0,30.0,16.0,164.0,0.0,3.0,5.5,10.2,53.3,29.72,10.0,2.0,20.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,30.0,2.0,0.0,5.0,31.0,2.0,8.0,5.0,227.0,45.4,3.0,0.0,-3.0,7.0,10.0,7.0,0.0,0.0,38.0,15.0,26:28,21.0,6.0,14.0,1.0,67.0,331.0,4.9,3.0,37.0,96.0,2.6,1.0,30.0,25.0,235.0,2.0,0.0,7.8,9.4,83.3,121.53,15.0,6.0,40.0,3.0,2.0,66.7,2.0,2.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,11.0,5.0,5.0,228.0,45.6,0.0,3.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,15.0,0.0,0.0,3.0,0.0,0.0,30.0,11.0,5.0,31.0,11.0,1.0,0.0,Sunday,993003190,14,16,18026.0,3,1,-3.0,0.2,0.0,,,,,,,,,20.0,44.0,0.0
202210414,2022-10-02T13:00:00,1.0,2022,4,IND,TEN,HOME,17,24,41,Lucas Oil Stadium,7.0,3.0,3.0,7.0,0.0,33.0,32.0,33:57,19.0,5.0,12.0,2.0,69.0,259.0,3.8,2.0,27.0,82.0,3.0,0.0,37.0,27.0,177.0,2.0,0.0,4.8,6.6,73.0,100.84,15.0,6.0,40.0,3.0,1.0,33.3,3.0,2.0,0.0,0.0,4.0,34.0,2.0,1.0,5.0,45.0,5.0,4.0,3.0,154.0,51.3,1.0,2.0,1.0,6.0,8.0,3.0,0.0,0.0,26.0,28.0,26:03,20.0,6.0,12.0,2.0,60.0,315.0,5.2,2.0,23.0,58.0,2.5,1.0,36.0,20.0,257.0,1.0,1.0,7.1,12.8,55.6,75.81,10.0,3.0,30.0,2.0,1.0,50.0,4.0,2.0,0.0,0.0,6.0,45.0,2.0,1.0,1.0,5.0,10.0,6.0,3.0,170.0,56.7,2.0,1.0,-1.0,66.7,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,36.0,15.0,1.0,5.0,6.0,0.0,1.0,41.0,39.0,5.0,45.0,1.0,2.0,1.0,Sunday,993003214,14,34,18032.0,-7,0,1.0,0.4,0.0,13.3,20.3,-7.0,331.3333333333333,315.0,-1.0,0.333,,40.0,61.0,1.0
202210510,2022-10-06T20:15:00,1.0,2022,5,IND,DEN,AWAY,12,9,21,Empower Field at Mile High,0.0,10.0,7.0,0.0,0.0,33.0,57.0,34:36,21.0,3.0,17.0,1.0,63.0,365.0,5.8,2.0,23.0,38.0,1.7,0.0,37.0,27.0,327.0,2.0,1.0,8.8,12.1,73.0,106.48,13.0,7.0,53.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,50.0,3.0,2.0,3.0,29.0,5.0,3.0,2.0,67.0,33.5,3.0,0.0,-3.0,14.0,10.0,0.0,0.0,0.0,26.0,3.0,32:51,19.0,6.0,9.0,4.0,52.0,243.0,4.7,3.0,28.0,127.0,4.5,1.0,21.0,17.0,116.0,2.0,0.0,5.5,6.8,81.0,121.43,12.0,5.0,41.7,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,40.0,0.0,0.0,3.0,21.0,5.0,5.0,4.0,211.0,52.8,0.0,3.0,3.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,23.0,3.0,21.0,0.0,0.0,0.0,40.0,27.0,3.0,29.0,3.0,3.0,2.0,Thursday,993003237,14,10,18265.0,3,1,-3.0,0.538,0.0,12.3,21.7,-9.3,280.6666666666667,296.3333333333333,-1.667,0.379,,57.0,85.0,1.0
202210614,2022-10-16T13:00:00,1.0,2022,6,IND,JAX,HOME,34,27,61,Lucas Oil Stadium,0.0,3.0,3.0,3.0,3.0,34.0,36.0,28:49,19.0,4.0,14.0,1.0,73.0,306.0,4.2,0.0,26.0,106.0,4.1,0.0,41.0,26.0,200.0,0.0,2.0,4.9,7.7,63.4,54.93,16.0,4.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,64.0,4.0,0.0,6.0,51.0,8.0,4.0,7.0,310.0,44.3,2.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,32.0,51.0,31:11,18.0,6.0,11.0,1.0,71.0,375.0,5.3,0.0,28.0,125.0,4.5,0.0,39.0,21.0,250.0,0.0,2.0,6.4,11.9,53.8,52.3,15.0,2.0,13.3,2.0,1.0,50.0,4.0,0.0,0.0,0.0,7.0,49.0,2.0,0.0,4.0,24.0,12.0,7.0,5.0,229.0,45.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,40.0,25.0,4.0,24.0,7.0,2.0,1.0,38.0,40.0,6.0,51.0,5.0,3.0,0.0,Sunday,993003278,14,15,18164.0,7,1,0.0,0.25,0.0,16.3,16.7,-0.3,310.0,311.0,-0.667,0.396,0.4,69.0,94.0,2.0
202210734,2022-10-23T13:00:00,1.0,2022,7,IND,TEN,AWAY,10,19,29,Nissan Stadium,0.0,13.0,6.0,15.0,0.0,28.0,49.0,28:27,29.0,4.0,22.0,3.0,74.0,434.0,5.9,4.0,16.0,45.0,2.8,1.0,58.0,42.0,389.0,3.0,0.0,6.7,9.3,72.4,107.61,15.0,10.0,66.7,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,52.0,2.0,0.0,0.0,0.0,4.0,9.0,3.0,110.0,36.7,0.0,1.0,1.0,7.0,7.0,7.0,6.0,0.0,31.0,11.0,31:33,25.0,13.0,8.0,4.0,59.0,379.0,6.4,4.0,33.0,243.0,7.4,3.0,22.0,20.0,136.0,1.0,0.0,6.2,6.8,90.9,107.58,10.0,5.0,50.0,2.0,1.0,50.0,3.0,3.0,0.0,0.0,4.0,44.0,2.0,1.0,4.0,29.0,6.0,3.0,3.0,151.0,50.3,1.0,0.0,-1.0,75.0,0.0,100.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0,4.0,29.0,0.0,1.0,1.0,45.0,25.0,0.0,0.0,7.0,1.0,0.0,Sunday,993003311,14,34,18183.0,-9,0,1.0,0.667,0.0,21.0,20.0,1.0,368.3333333333333,332.3333333333333,-0.667,0.485,0.6,103.0,121.0,3.0
202210814,2022-10-30T16:25:00,1.0,2022,8,IND,WAS,HOME,16,17,33,Lucas Oil Stadium,0.0,0.0,7.0,3.0,0.0,28.0,27.0,29:20,17.0,5.0,12.0,0.0,64.0,292.0,4.6,1.0,17.0,65.0,3.8,0.0,44.0,33.0,227.0,1.0,2.0,5.2,6.9,75.0,74.72,13.0,4.0,30.8,1.0,1.0,100.0,1.0,1.0,0.0,0.0,4.0,28.0,1.0,1.0,3.0,16.0,7.0,6.0,5.0,176.0,35.2,3.0,1.0,-2.0,3.0,10.0,0.0,6.0,0.0,31.0,33.0,30:40,16.0,8.0,6.0,2.0,57.0,254.0,4.5,1.0,35.0,138.0,3.9,0.0,20.0,13.0,116.0,0.0,0.0,5.8,8.9,65.0,80.42,12.0,5.0,41.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,1.0,1.0,2.0,16.0,10.0,5.0,3.0,164.0,54.7,1.0,3.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,41.0,23.0,2.0,16.0,3.0,0.0,1.0,47.0,24.0,3.0,16.0,5.0,1.0,1.0,Sunday,993003346,14,35,18038.0,-1,0,-2.0,0.308,0.0,18.7,18.3,0.3,344.0,336.0,-0.333,0.408,0.6,113.0,140.0,3.0
202210921,2022-11-06T13:00:00,1.0,2022,9,IND,NE,AWAY,3,26,29,Gillette Stadium,0.0,3.0,3.0,10.0,0.0,29.0,20.0,28:54,15.0,5.0,8.0,2.0,54.0,324.0,6.0,1.0,29.0,135.0,4.7,1.0,23.0,17.0,189.0,0.0,0.0,8.2,11.1,73.9,97.92,12.0,5.0,41.7,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,25.0,2.0,2.0,2.0,12.0,8.0,5.0,4.0,227.0,56.8,2.0,1.0,-1.0,0.0,7.0,0.0,10.0,0.0,30.0,40.0,31:06,20.0,7.0,13.0,0.0,61.0,362.0,5.9,2.0,28.0,96.0,3.4,1.0,31.0,23.0,266.0,1.0,1.0,8.6,11.6,74.2,96.98,12.0,2.0,16.7,3.0,2.0,66.7,3.0,2.0,0.0,0.0,3.0,52.0,0.0,0.0,2.0,13.0,7.0,5.0,6.0,294.0,49.0,1.0,2.0,1.0,33.3,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,28.0,2.0,13.0,4.0,0.0,0.0,41.0,16.0,2.0,12.0,2.0,1.0,2.0,Sunday,993003361,14,21,18128.0,-23,0,-1.0,0.417,0.0,20.0,21.0,-1.0,350.0,331.6666666666667,-0.667,0.464,0.4,129.0,157.0,3.0
202211025,2022-11-13T16:05:00,1.0,2022,10,IND,LV,AWAY,25,20,45,Allegiant Stadium,0.0,0.0,3.0,0.0,0.0,28.0,54.0,29:01,8.0,4.0,3.0,1.0,60.0,121.0,2.0,0.0,22.0,78.0,3.5,0.0,29.0,15.0,43.0,0.0,1.0,1.5,2.9,51.7,43.32,14.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,9.0,60.0,7.0,8.0,8.0,348.0,43.5,1.0,1.0,0.0,0.0,13.0,3.0,10.0,0.0,31.0,6.0,30:59,11.0,5.0,6.0,0.0,62.0,203.0,3.3,2.0,28.0,70.0,2.5,0.0,30.0,20.0,133.0,1.0,0.0,4.4,6.6,66.7,87.22,17.0,6.0,35.3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,35.0,2.0,1.0,4.0,14.0,12.0,8.0,7.0,271.0,38.7,1.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,45.0,13.0,4.0,14.0,0.0,2.0,1.0,39.0,27.0,9.0,60.0,8.0,0.0,0.0,Sunday,993003399,14,25,18138.0,5,1,0.0,0.0,0.0,9.7,20.7,-11.0,245.66666666666666,273.0,-1.0,0.241,0.4,132.0,183.0,3.0
