gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210129.0,2022-09-11T16:25:00,,2022,1,LAC,LV,HOME,24.0,19.0,43.0,SoFi Stadium,3.0,14.0,7.0,0.0,0.0,,,32:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,10.0,6.0,0.0,,,27:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003134,29,25,,5.0,1,,,,,,,,,,,,,,
202210216.0,2022-09-15T20:15:00,1.0,2022,2,LAC,KC,AWAY,24.0,27.0,51.0,Arrowhead Stadium,3.0,7.0,7.0,7.0,0.0,32.0,32.0,33:37,18.0,5.0,12.0,1.0,65.0,355.0,5.5,3.0,31.0,76.0,2.5,0.0,34.0,26.0,279.0,3.0,0.0,8.2,10.7,76.5,129.41,14.0,6.0,42.9,1.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,21.0,1.0,0.0,0.0,0.0,9.0,5.0,4.0,196.0,49.0,0.0,3.0,3.0,0.0,7.0,7.0,13.0,0.0,27.0,28.0,26:23,18.0,1.0,17.0,0.0,56.0,320.0,5.7,2.0,13.0,64.0,4.9,0.0,37.0,22.0,256.0,2.0,3.0,6.9,11.6,59.5,64.7,11.0,5.0,45.5,2.0,1.0,50.0,3.0,2.0,0.0,0.0,3.0,11.0,3.0,0.0,6.0,39.0,3.0,5.0,2.0,106.0,53.0,3.0,0.0,-3.0,66.7,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,37.0,12.0,6.0,39.0,6.0,3.0,0.0,50.0,21.0,0.0,0.0,1.0,1.0,0.0,Thursday,993003141,29,16,18019.0,-3.0,0,3.0,0.429,0.0,,,,,,,,,24.0,19.0,1.0
202210329.0,2022-09-25T16:05:00,1.0,2022,3,LAC,JAX,HOME,10.0,38.0,48.0,SoFi Stadium,0.0,7.0,3.0,0.0,0.0,33.0,37.0,21:33,21.0,5.0,15.0,1.0,74.0,401.0,5.4,3.0,24.0,75.0,3.1,0.0,48.0,33.0,326.0,3.0,1.0,6.8,9.9,68.8,99.83,16.0,5.0,31.2,4.0,4.0,100.0,5.0,3.0,0.0,0.0,3.0,25.0,0.0,0.0,2.0,8.0,5.0,2.0,6.0,243.0,40.5,1.0,0.0,-1.0,0.0,16.0,15.0,7.0,0.0,26.0,23.0,38:27,15.0,2.0,11.0,2.0,54.0,319.0,5.9,3.0,18.0,93.0,5.2,0.0,35.0,24.0,226.0,2.0,0.0,6.5,9.4,68.6,105.18,12.0,4.0,33.3,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,54.0,0.0,0.0,1.0,9.0,8.0,4.0,6.0,333.0,55.5,0.0,1.0,1.0,60.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,16.0,1.0,9.0,3.0,0.0,0.0,43.0,25.0,2.0,8.0,6.0,0.0,0.0,Sunday,993003194,29,15,17995.0,-28.0,0,-1.0,0.312,0.0,,,,,,,,,48.0,46.0,1.0
202210413.0,2022-10-02T13:00:00,1.0,2022,4,LAC,HOU,AWAY,34.0,24.0,58.0,NRG Stadium,7.0,20.0,0.0,7.0,0.0,21.0,33.0,31:39,16.0,2.0,13.0,1.0,58.0,312.0,5.4,1.0,12.0,26.0,2.2,0.0,45.0,25.0,286.0,1.0,1.0,6.4,11.4,55.6,73.01,13.0,5.0,38.5,2.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,54.0,1.0,1.0,1.0,11.0,2.0,6.0,4.0,175.0,43.8,2.0,0.0,-2.0,0.0,7.0,7.0,10.0,0.0,38.0,27.0,28:21,25.0,8.0,16.0,1.0,75.0,413.0,5.5,4.0,36.0,151.0,4.2,1.0,39.0,28.0,262.0,3.0,0.0,6.7,9.4,71.8,115.54,15.0,8.0,53.3,3.0,2.0,66.7,6.0,3.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,56.0,56.0,0.0,2.0,2.0,33.3,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,50.0,23.0,0.0,0.0,4.0,0.0,0.0,35.0,11.0,1.0,11.0,9.0,1.0,1.0,Sunday,993003221,29,13,18058.0,10.0,1,-2.0,0.385,0.0,19.3,28.0,-8.7,356.0,350.6666666666667,0.0,0.375,,58.0,84.0,1.0
202210508.0,2022-10-09T13:00:00,1.0,2022,5,LAC,CLE,AWAY,30.0,28.0,58.0,FirstEnergy Stadium,3.0,14.0,10.0,3.0,0.0,31.0,39.0,29:58,22.0,5.0,15.0,2.0,67.0,419.0,6.3,4.0,27.0,81.0,3.0,2.0,39.0,27.0,338.0,2.0,0.0,8.7,12.5,69.2,112.98,16.0,8.0,50.0,2.0,1.0,50.0,5.0,3.0,0.0,0.0,6.0,61.0,2.0,1.0,1.0,2.0,10.0,6.0,4.0,185.0,46.2,1.0,2.0,1.0,14.0,7.0,7.0,0.0,0.0,28.0,21.0,30:02,16.0,2.0,11.0,3.0,53.0,346.0,6.5,3.0,14.0,131.0,9.4,1.0,35.0,26.0,215.0,2.0,2.0,6.1,8.3,74.3,84.82,12.0,4.0,33.3,2.0,0.0,0.0,3.0,2.0,0.0,0.0,9.0,67.0,1.0,0.0,4.0,31.0,2.0,6.0,3.0,156.0,52.0,2.0,1.0,-1.0,60.0,0.0,66.7,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,34.0,20.0,4.0,31.0,5.0,1.0,0.0,40.0,24.0,1.0,2.0,2.0,1.0,1.0,Sunday,993003241,29,8,18270.0,2.0,1,1.0,0.5,0.0,22.7,29.7,-7.0,377.3333333333333,359.3333333333333,-0.667,0.399,,92.0,108.0,2.0
202210629.0,2022-10-17T20:15:00,1.0,2022,6,LAC,DEN,HOME,19.0,16.0,35.0,SoFi Stadium,0.0,10.0,3.0,3.0,3.0,29.0,58.0,38:49,26.0,9.0,13.0,4.0,69.0,465.0,6.7,3.0,34.0,238.0,7.0,2.0,34.0,22.0,227.0,1.0,0.0,6.7,10.3,64.7,93.63,10.0,3.0,30.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,17.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,37.0,37.0,0.0,1.0,1.0,10.0,3.0,0.0,3.0,0.0,30.0,2.0,28:33,27.0,11.0,15.0,1.0,65.0,443.0,6.8,4.0,31.0,213.0,6.9,3.0,34.0,21.0,230.0,1.0,1.0,6.8,11.0,61.8,79.29,10.0,4.0,40.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,65.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,119.0,59.5,1.0,0.0,-1.0,40.0,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,42.0,21.0,0.0,0.0,2.0,0.0,0.0,46.0,21.0,1.0,1.0,4.0,0.0,0.0,Monday,993003296,29,10,18166.0,3.0,1,1.0,0.3,0.0,24.7,30.0,-5.3,398.6666666666667,400.6666666666667,0.0,0.395,0.6,122.0,136.0,3.0
202210729.0,2022-10-23T16:25:00,1.0,2022,7,LAC,SEA,HOME,23.0,37.0,60.0,SoFi Stadium,0.0,14.0,0.0,9.0,0.0,38.0,49.0,26:03,24.0,7.0,10.0,7.0,83.0,297.0,3.6,1.0,24.0,73.0,3.0,1.0,57.0,37.0,224.0,0.0,1.0,3.9,6.1,64.9,65.24,22.0,11.0,50.0,3.0,1.0,33.3,4.0,1.0,0.0,0.0,9.0,89.0,0.0,0.0,2.0,14.0,6.0,7.0,4.0,176.0,44.0,1.0,1.0,0.0,17.0,7.0,3.0,10.0,0.0,28.0,33.0,33:57,13.0,3.0,8.0,2.0,55.0,258.0,4.7,1.0,23.0,98.0,4.3,0.0,28.0,15.0,160.0,1.0,0.0,5.7,10.7,53.6,82.44,14.0,4.0,28.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,151.0,3.0,1.0,4.0,28.0,8.0,6.0,7.0,323.0,46.1,1.0,1.0,0.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,16.0,4.0,28.0,3.0,1.0,1.0,57.0,22.0,2.0,14.0,9.0,0.0,0.0,Sunday,993003320,29,30,18192.0,-14.0,0,0.0,0.5,0.0,27.7,22.7,5.0,393.6666666666667,349.0,0.667,0.433,0.6,141.0,152.0,4.0
202210902.0,2022-11-06T13:00:00,1.0,2022,9,LAC,ATL,AWAY,20.0,17.0,37.0,Mercedes-Benz Stadium,0.0,14.0,0.0,6.0,0.0,26.0,3.0,28:11,21.0,3.0,17.0,1.0,69.0,329.0,4.8,3.0,15.0,53.0,3.5,1.0,51.0,33.0,276.0,2.0,1.0,5.4,8.4,64.7,83.46,15.0,5.0,33.3,3.0,1.0,33.3,3.0,3.0,0.0,0.0,7.0,70.0,2.0,1.0,3.0,17.0,4.0,6.0,5.0,228.0,45.6,2.0,2.0,0.0,10.0,0.0,7.0,0.0,0.0,33.0,57.0,31:49,24.0,10.0,10.0,4.0,63.0,404.0,6.4,4.0,34.0,213.0,6.3,2.0,27.0,20.0,191.0,2.0,1.0,7.1,9.6,74.1,102.55,9.0,5.0,55.6,0.0,0.0,0.0,4.0,2.0,0.0,0.0,7.0,68.0,1.0,1.0,2.0,19.0,8.0,4.0,1.0,46.0,46.0,2.0,2.0,0.0,100.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,49.0,13.0,2.0,19.0,5.0,0.0,1.0,46.0,10.0,3.0,17.0,9.0,2.0,1.0,Sunday,993003357,29,2,18045.0,3.0,1,0.0,0.333,0.0,24.0,27.0,-3.0,363.6666666666667,368.3333333333333,0.333,0.378,0.6,164.0,189.0,4.0
202211031.0,2022-11-13T20:20:00,1.0,2022,10,LAC,SF,AWAY,16.0,22.0,38.0,Levi's Stadium,7.0,9.0,0.0,0.0,0.0,28.0,11.0,23:01,19.0,3.0,16.0,0.0,67.0,336.0,5.0,2.0,24.0,91.0,3.8,1.0,43.0,30.0,245.0,1.0,1.0,5.7,8.2,69.8,82.03,16.0,8.0,50.0,1.0,1.0,100.0,4.0,2.0,0.0,0.0,5.0,45.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,168.0,42.0,2.0,2.0,0.0,3.0,7.0,3.0,9.0,0.0,31.0,49.0,36:59,19.0,12.0,7.0,0.0,60.0,315.0,5.2,2.0,35.0,201.0,5.7,2.0,23.0,12.0,114.0,0.0,0.0,5.0,9.5,52.2,66.21,11.0,5.0,45.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,15.0,2.0,2.0,2.0,15.0,2.0,3.0,4.0,204.0,51.0,2.0,2.0,0.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,22.0,2.0,15.0,1.0,1.0,2.0,40.0,37.0,0.0,0.0,5.0,1.0,1.0,Sunday,993003405,29,31,18134.0,-6.0,0,0.0,0.5,0.0,20.7,23.3,-2.7,320.6666666666667,325.6666666666667,0.0,0.444,0.8,184.0,206.0,5.0
202211129.0,2022-11-20T20:20:00,1.0,2022,11,LAC,KC,HOME,27.0,30.0,57.0,SoFi Stadium,10.0,10.0,0.0,7.0,0.0,23.0,1.0,32:19,12.0,3.0,7.0,2.0,56.0,238.0,4.2,1.0,16.0,51.0,3.2,0.0,37.0,21.0,187.0,1.0,1.0,5.1,8.9,56.8,68.19,16.0,6.0,37.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,9.0,1.0,6.0,5.0,200.0,40.0,1.0,1.0,0.0,6.0,7.0,3.0,14.0,0.0,36.0,59.0,27:41,22.0,12.0,10.0,0.0,70.0,387.0,5.5,2.0,41.0,157.0,3.8,2.0,28.0,19.0,230.0,0.0,0.0,8.2,12.1,67.9,92.86,17.0,9.0,52.9,1.0,1.0,100.0,5.0,2.0,0.0,0.0,5.0,52.0,1.0,1.0,1.0,10.0,9.0,5.0,4.0,132.0,33.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,42.0,40.0,1.0,10.0,0.0,1.0,1.0,33.0,18.0,3.0,9.0,7.0,1.0,0.0,Sunday,993003434,29,16,18073.0,-3.0,0,0.0,0.375,0.0,19.7,25.3,-5.7,301.0,368.6666666666667,0.0,0.403,0.6,200.0,228.0,5.0
202211201.0,2022-11-27T16:05:00,1.0,2022,12,LAC,ARI,AWAY,25.0,24.0,49.0,State Farm Stadium,0.0,14.0,3.0,8.0,0.0,32.0,19.0,29:25,22.0,9.0,12.0,1.0,65.0,365.0,5.6,3.0,30.0,115.0,3.8,1.0,30.0,23.0,250.0,2.0,1.0,8.3,10.9,76.7,109.03,14.0,8.0,57.1,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,25.0,1.0,1.0,5.0,30.0,6.0,2.0,3.0,147.0,49.0,2.0,1.0,-1.0,7.0,10.0,0.0,7.0,0.0,27.0,41.0,30:35,23.0,7.0,15.0,1.0,62.0,485.0,7.8,3.0,27.0,163.0,6.0,0.0,34.0,20.0,322.0,3.0,0.0,9.5,16.1,58.8,119.98,10.0,5.0,50.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,54.0,2.0,1.0,1.0,7.0,10.0,9.0,2.0,92.0,46.0,1.0,2.0,1.0,66.7,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,39.0,16.0,1.0,7.0,1.0,2.0,1.0,51.0,20.0,5.0,30.0,5.0,1.0,1.0,Sunday,993003457,29,1,18086.0,1.0,1,-1.0,0.571,0.0,21.0,23.0,-2.0,313.0,395.6666666666667,-0.333,0.482,0.4,227.0,258.0,5.0
202211325.0,2022-12-04T16:25:00,1.0,2022,13,LAC,LV,AWAY,20.0,27.0,47.0,Allegiant Stadium,7.0,6.0,0.0,7.0,0.0,29.0,25.0,30:44,22.0,4.0,18.0,0.0,64.0,311.0,4.9,3.0,13.0,65.0,5.0,0.0,47.0,35.0,246.0,3.0,0.0,5.2,7.0,74.5,107.23,13.0,6.0,46.2,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,30.0,1.0,0.0,4.0,28.0,1.0,3.0,6.0,234.0,39.0,0.0,2.0,2.0,0.0,10.0,14.0,3.0,0.0,30.0,35.0,29:16,20.0,9.0,10.0,1.0,64.0,366.0,5.7,3.0,34.0,181.0,5.3,1.0,29.0,18.0,185.0,2.0,1.0,6.4,10.3,62.1,89.01,13.0,7.0,53.8,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0,1.0,1.0,1.0,6.0,13.0,8.0,3.0,150.0,50.0,2.0,0.0,-2.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,45.0,19.0,1.0,6.0,5.0,1.0,1.0,45.0,10.0,4.0,28.0,6.0,1.0,0.0,Sunday,993003491,29,25,18098.0,-7.0,0,2.0,0.462,0.0,22.7,25.3,-2.7,304.6666666666667,412.6666666666667,0.333,0.469,0.4,252.0,282.0,6.0
202211429.0,2022-12-11T20:20:00,1.0,2022,14,LAC,MIA,HOME,23.0,17.0,40.0,SoFi Stadium,0.0,17.0,3.0,3.0,0.0,30.0,44.0,39:38,22.0,4.0,16.0,2.0,74.0,386.0,5.2,2.0,22.0,72.0,3.3,0.0,47.0,28.0,314.0,1.0,0.0,6.7,11.2,59.6,86.66,16.0,5.0,31.2,5.0,3.0,60.0,3.0,0.0,0.0,0.0,4.0,20.0,3.0,1.0,5.0,21.0,0.0,0.0,3.0,137.0,45.7,1.0,2.0,1.0,0.0,7.0,7.0,3.0,0.0,29.0,16.0,20:22,21.0,7.0,11.0,3.0,59.0,404.0,6.8,3.0,29.0,154.0,5.3,1.0,30.0,16.0,250.0,2.0,1.0,8.3,15.6,53.3,89.58,10.0,3.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,181.0,45.2,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,30.0,24.0,0.0,0.0,6.0,1.0,1.0,46.0,22.0,5.0,21.0,4.0,2.0,1.0,Sunday,993003522,29,19,18116.0,6.0,1,1.0,0.312,0.0,24.0,27.0,-3.0,354.0,418.3333333333333,0.667,0.448,0.4,272.0,309.0,6.0
202211529.0,2022-12-18T16:25:00,1.0,2022,15,LAC,TEN,HOME,17.0,14.0,31.0,SoFi Stadium,7.0,0.0,0.0,10.0,0.0,39.0,38.0,29:48,24.0,6.0,16.0,2.0,78.0,432.0,5.5,2.0,23.0,82.0,3.6,1.0,51.0,39.0,350.0,1.0,0.0,6.9,9.0,76.5,100.94,18.0,9.0,50.0,2.0,1.0,50.0,6.0,2.0,0.0,0.0,6.0,40.0,1.0,0.0,4.0,17.0,4.0,3.0,4.0,176.0,44.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,20.0,22.0,30:12,14.0,6.0,6.0,2.0,49.0,219.0,4.5,2.0,19.0,92.0,4.8,1.0,28.0,10.0,127.0,1.0,0.0,4.5,12.7,35.7,62.65,11.0,3.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,1.0,0.0,2.0,18.0,7.0,9.0,7.0,327.0,46.7,0.0,0.0,0.0,33.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,11.0,2.0,18.0,6.0,1.0,0.0,50.0,22.0,4.0,17.0,0.0,0.0,0.0,Sunday,993003552,29,34,18201.0,3.0,1,0.0,0.5,0.0,22.7,22.7,0.0,376.3333333333333,329.6666666666667,1.0,0.425,0.4,295.0,326.0,7.0
