gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210132.0,2022-09-08T20:20:00,1,2022,1,LAR,BUF,HOME,10.0,31.0,41.0,SoFi Stadium,0.0,10.0,0.0,0.0,0.0,,,28:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,7.0,14.0,0.0,,,31:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,993003110,32,4,,-21.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210232.0,2022-09-18T16:05:00,1,2022,2,LAR,ATL,HOME,31.0,27.0,58.0,SoFi Stadium,7.0,14.0,7.0,3.0,0.0,28.0,46.0,30:24,19.0,3.0,14.0,2.0,66.0,243.0,3.7,1.0,18.0,52.0,2.9,0.0,41.0,29.0,191.0,1.0,3.0,4.7,6.6,70.7,58.08,13.0,6.0,46.2,3.0,2.0,66.7,2.0,1.0,0.0,0.0,4.0,30.0,1.0,0.0,7.0,49.0,2.0,2.0,4.0,180.0,45.0,3.0,4.0,1.0,0.0,3.0,7.0,17.0,0.0,31.0,14.0,29:36,23.0,7.0,15.0,1.0,58.0,413.0,7.1,4.0,25.0,121.0,4.8,1.0,31.0,26.0,292.0,3.0,2.0,9.4,11.2,83.9,111.29,10.0,9.0,90.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,35.0,2.0,2.0,2.0,5.0,16.0,7.0,0.0,0.0,0.0,4.0,3.0,-1.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,19.0,2.0,5.0,3.0,2.0,2.0,45.0,21.0,7.0,49.0,6.0,0.0,0.0,Sunday,993003158,32,2,18006.0,4.0,1,1.0,0.462,0.0,-0.2323647647259641,0.3902439024390244,-0.3083286265297969,-0.0839360532802803,0.137511896622563,0.5217391304347826,0.5296341536589432,-0.5332257784198431,10.0,31.0,-21.0,243.0,413.0,1.0,0.462,0.0,10.0,31.0,0.0,-0.2323647647259641,0.3902439024390244,-0.3083286265297969,-0.0839360532802803,0.137511896622563,0.5217391304347826,0.5296341536589432,-0.5332257784198431,-0.2323647647259641,0.137511896622563
202210301.0,2022-09-25T16:25:00,1,2022,3,LAR,ARI,AWAY,20.0,12.0,32.0,State Farm Stadium,10.0,3.0,7.0,0.0,0.0,30.0,24.0,26:04,24.0,6.0,16.0,2.0,63.0,337.0,5.3,4.0,26.0,65.0,2.5,1.0,36.0,27.0,272.0,3.0,2.0,7.6,10.1,75.0,100.69,10.0,6.0,60.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,3.0,61.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,3.0,3.0,0.0,29.0,36.0,33:56,17.0,4.0,11.0,2.0,56.0,261.0,4.7,3.0,27.0,90.0,3.3,0.0,26.0,17.0,171.0,2.0,2.0,6.6,10.1,65.4,77.56,10.0,3.0,30.0,2.0,1.0,50.0,4.0,2.0,0.0,0.0,5.0,29.0,2.0,1.0,3.0,25.0,2.0,3.0,1.0,44.0,44.0,3.0,3.0,0.0,80.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,37.0,24.0,3.0,25.0,3.0,1.0,1.0,36.0,33.0,1.0,0.0,3.0,1.0,1.0,Sunday,993003197,32,1,18243.0,8.0,1,0.0,0.6,0.0,-0.086990536428657,0.5263157894736842,0.0372759872707705,-0.0254632369100222,-0.136669077404216,0.4266666666666667,0.1458365965266499,-0.4168630829349589,20.5,29.0,-8.5,290.0,337.0,0.5,0.531,0.5,41.0,58.0,1.0,-0.15967765057731054,0.4582798459563543,-0.13552631962951323,-0.054699645095151246,0.0004214096091735009,0.4742028985507246,0.33773537509279655,-0.475044430677401,-0.15967765057731054,0.0004214096091735009
202210431.0,2022-10-03T20:15:00,1,2022,4,LAR,SF,AWAY,9.0,24.0,33.0,Levi's Stadium,3.0,3.0,3.0,0.0,0.0,26.0,4.0,34:34,15.0,5.0,10.0,0.0,46.0,339.0,7.4,2.0,20.0,100.0,5.0,2.0,25.0,18.0,239.0,0.0,0.0,9.6,13.3,72.0,101.92,8.0,3.0,37.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,35.0,1.0,1.0,1.0,10.0,5.0,5.0,3.0,135.0,45.0,1.0,0.0,-1.0,7.0,7.0,0.0,10.0,0.0,33.0,56.0,25:26,23.0,8.0,15.0,0.0,81.0,365.0,4.5,0.0,21.0,70.0,3.3,0.0,58.0,37.0,295.0,0.0,0.0,5.1,8.0,63.8,76.44,18.0,6.0,33.3,5.0,4.0,80.0,2.0,0.0,0.0,0.0,6.0,50.0,1.0,0.0,2.0,19.0,5.0,3.0,4.0,160.0,40.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,55.0,16.0,2.0,19.0,3.0,0.0,0.0,28.0,16.0,1.0,10.0,0.0,1.0,1.0,Monday,993003235,32,31,18059.0,-15.0,0,-1.0,0.375,0.0,0.0658116854321729,0.453125,0.4056915716533633,-0.1694792926795536,-0.0774381541825757,0.3737373737373737,-0.1102472569665319,0.104732304882782,20.3,23.3,-3.0,306.3333333333333,346.3333333333333,0.0,0.479,0.667,61.0,70.0,2.0,-0.08451453857414941,0.45656156397090286,0.04487964413144563,-0.09295952762328537,-0.025531778321409567,0.4407143902796076,0.1884078310730204,-0.28178551882400665,-0.08451453857414941,-0.025531778321409567
202210532.0,2022-10-09T16:25:00,1,2022,5,LAR,DAL,HOME,10.0,22.0,32.0,SoFi Stadium,3.0,7.0,0.0,0.0,0.0,34.0,34.0,30:30,21.0,3.0,16.0,2.0,73.0,257.0,3.5,0.0,18.0,57.0,3.2,0.0,48.0,32.0,200.0,0.0,1.0,4.2,6.2,66.7,66.32,15.0,5.0,33.3,2.0,2.0,100.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,7.0,54.0,1.0,3.0,4.0,229.0,57.2,2.0,0.0,-2.0,9.0,7.0,3.0,3.0,0.0,25.0,26.0,29:30,13.0,4.0,9.0,0.0,49.0,327.0,6.7,3.0,22.0,88.0,4.0,1.0,27.0,16.0,239.0,1.0,0.0,8.9,14.9,59.3,100.69,12.0,5.0,41.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,25.0,1.0,0.0,0.0,0.0,11.0,9.0,4.0,158.0,39.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,29.0,21.0,0.0,0.0,3.0,1.0,0.0,48.0,16.0,7.0,54.0,5.0,1.0,1.0,Sunday,993003262,32,9,18274.0,-12.0,0,-2.0,0.333,0.0,-0.1500959243911148,0.4431818181818182,-0.2092697336494366,-0.1805938236705001,0.0273300362162439,0.3484848484848485,0.41120690910544,-0.132749612242068,20.0,21.0,-1.0,311.0,317.6666666666667,-1.0,0.436,0.5,70.0,94.0,2.0,-0.05709159179586631,0.47420753588516745,0.07789927509156573,-0.12517878442002528,-0.06225906512351592,0.38296296296296295,0.14893208288851933,-0.14829346343141495,-0.10090988502839075,-0.0123163246869962
202210632.0,2022-10-16T16:05:00,1,2022,6,LAR,CAR,HOME,24.0,10.0,34.0,SoFi Stadium,0.0,7.0,10.0,7.0,0.0,30.0,30.0,37:05,14.0,2.0,10.0,2.0,64.0,323.0,5.0,1.0,15.0,38.0,2.5,0.0,44.0,29.0,285.0,1.0,1.0,6.5,9.8,65.9,82.1,17.0,6.0,35.3,1.0,1.0,100.0,2.0,0.0,0.0,0.0,3.0,25.0,2.0,2.0,5.0,35.0,6.0,3.0,5.0,223.0,44.6,3.0,0.0,-3.0,3.0,7.0,0.0,0.0,0.0,29.0,30.0,22:55,10.0,6.0,4.0,0.0,53.0,239.0,4.5,2.0,34.0,163.0,4.8,1.0,16.0,10.0,76.0,0.0,0.0,4.8,7.6,62.5,73.96,15.0,5.0,33.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,42.0,2.0,0.0,3.0,26.0,11.0,6.0,6.0,288.0,48.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,31.0,27.0,3.0,26.0,3.0,2.0,0.0,42.0,14.0,5.0,35.0,2.0,2.0,2.0,Sunday,993003288,32,5,18175.0,14.0,1,-3.0,0.353,0.0,-0.3421716362381503,0.3294117647058823,-0.2740595928103085,-0.4097836222572368,-0.1457647091147365,0.3623188405797101,-0.3509265533855147,-0.0506412424819051,13.0,19.3,-6.3,306.3333333333333,310.3333333333333,-2.0,0.354,0.4,80.0,116.0,2.0,-0.14215195839903072,0.4085728609625668,-0.025879251602127267,-0.2532855795357635,-0.0652909423603561,0.3615136876006441,-0.016655633748868876,-0.02621951661373036,-0.14916223527034264,-0.03900600157254426
202210832.0,2022-10-30T16:25:00,1,2022,8,LAR,SF,HOME,14.0,31.0,45.0,SoFi Stadium,7.0,7.0,0.0,0.0,0.0,37.0,5.0,30:04,22.0,5.0,16.0,1.0,63.0,360.0,5.7,3.0,29.0,111.0,3.8,2.0,33.0,26.0,249.0,1.0,1.0,7.5,9.6,78.8,95.58,12.0,6.0,50.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,49.0,0.0,0.0,1.0,4.0,3.0,2.0,5.0,240.0,48.0,1.0,1.0,0.0,0.0,10.0,7.0,14.0,0.0,22.0,55.0,29:56,8.0,3.0,5.0,0.0,44.0,203.0,4.6,1.0,21.0,93.0,4.4,0.0,21.0,13.0,110.0,0.0,1.0,5.2,8.5,61.9,55.65,10.0,2.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,2.0,9.0,3.0,3.0,7.0,362.0,51.7,1.0,1.0,0.0,75.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,28.0,2.0,9.0,4.0,0.0,0.0,43.0,25.0,1.0,4.0,3.0,0.0,0.0,Sunday,993003350,32,31,18188.0,-17.0,0,0.0,0.5,0.0,-0.0192011926903109,0.4268292682926829,0.0864559122639752,-0.1265086721208977,-0.2813714003277379,0.3166666666666666,-0.5629362244995187,-0.1087469472899101,14.3,18.7,-4.3,313.3333333333333,256.3333333333333,-1.667,0.395,0.6,104.0,126.0,3.0,-0.17048958443985865,0.39980761706012774,-0.13229113806525664,-0.23896203934954485,-0.13326869107541015,0.342490118577075,-0.1675519562598645,-0.09737926733796105,-0.10652952086321202,-0.12278266096260444
202210933.0,2022-11-06T16:25:00,1,2022,9,LAR,TB,AWAY,13.0,16.0,29.0,Raymond James Stadium,0.0,7.0,6.0,0.0,0.0,30.0,4.0,28:44,16.0,3.0,11.0,2.0,56.0,223.0,4.0,2.0,21.0,56.0,2.7,1.0,33.0,22.0,167.0,1.0,0.0,5.1,7.6,66.7,88.83,13.0,8.0,61.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,50.0,0.0,0.0,2.0,20.0,4.0,6.0,5.0,253.0,50.6,0.0,0.0,0.0,3.0,3.0,0.0,10.0,0.0,29.0,56.0,31:16,22.0,8.0,12.0,2.0,52.0,368.0,7.1,4.0,23.0,111.0,4.8,1.0,26.0,22.0,257.0,3.0,0.0,9.9,11.7,84.6,146.31,9.0,5.0,55.6,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,8.0,1.0,0.0,3.0,12.0,6.0,2.0,3.0,123.0,41.0,0.0,0.0,0.0,100.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,30.0,3.0,12.0,4.0,1.0,0.0,31.0,25.0,2.0,20.0,2.0,0.0,0.0,Sunday,993003375,32,33,18129.0,-3.0,0,0.0,0.615,0.0,-0.0618280477667143,0.3661971830985915,0.0895654108546869,-0.3171874483630649,0.2633374737604631,0.5373134328358209,0.6317568607169124,0.0004401547072727386,16.0,21.0,-5.0,302.0,270.0,-1.0,0.489,0.4,118.0,157.0,3.0,-0.14106695889839183,0.37414607203238565,-0.032679423230548794,-0.2844932475803998,-0.054599545227337086,0.4054329800273992,-0.09403530572270702,-0.05298267835484749,-0.10149702313082347,-0.04278135072966861
202211032.0,2022-11-13T16:25:00,1,2022,10,LAR,ARI,HOME,17.0,27.0,44.0,SoFi Stadium,3.0,0.0,7.0,7.0,0.0,28.0,44.0,27:59,9.0,3.0,6.0,0.0,55.0,206.0,3.7,1.0,24.0,68.0,2.8,0.0,27.0,13.0,138.0,1.0,0.0,5.1,10.6,48.1,75.85,15.0,4.0,26.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,53.0,3.0,0.0,4.0,27.0,3.0,5.0,9.0,477.0,53.0,0.0,0.0,0.0,3.0,14.0,0.0,10.0,0.0,31.0,16.0,32:01,18.0,1.0,15.0,2.0,79.0,323.0,4.1,1.0,20.0,51.0,2.6,0.0,58.0,36.0,272.0,1.0,0.0,4.7,7.6,62.1,79.09,21.0,9.0,42.9,2.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,55.0,0.0,0.0,1.0,8.0,8.0,8.0,6.0,357.0,59.5,0.0,0.0,0.0,0.0,0.0,33.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,43.0,30.0,1.0,8.0,7.0,0.0,0.0,31.0,18.0,4.0,27.0,2.0,0.0,0.0,Sunday,993003402,32,1,18143.0,-10.0,0,0.0,0.267,0.0,-0.1356556972741052,0.2631578947368421,-0.0976734862101438,-0.2392973853743009,-0.0996640249272109,0.4019607843137255,-0.0538173586281394,-0.445942762588072,17.0,19.0,-2.0,263.0,298.0,0.0,0.461,0.2,131.0,173.0,3.0,-0.07222831257704347,0.3520614487093722,0.026115945636172783,-0.22766450195275448,-0.03923265049816189,0.41864696127207096,0.005001092529751418,-0.1847498517235698,-0.14179049967207907,-0.047226524878595647
202211122.0,2022-11-20T13:00:00,1,2022,11,LAR,NO,AWAY,20.0,27.0,47.0,Caesars Superdome,7.0,7.0,0.0,6.0,0.0,27.0,59.0,28:53,18.0,6.0,12.0,0.0,60.0,256.0,4.3,2.0,20.0,66.0,3.3,1.0,37.0,25.0,190.0,1.0,1.0,5.1,7.6,67.6,77.53,11.0,3.0,27.3,2.0,2.0,100.0,3.0,2.0,0.0,0.0,5.0,29.0,2.0,1.0,3.0,19.0,7.0,3.0,5.0,252.0,50.4,2.0,0.0,-2.0,3.0,7.0,14.0,3.0,0.0,32.0,1.0,31:07,18.0,6.0,11.0,1.0,65.0,298.0,4.6,3.0,26.0,78.0,3.0,2.0,37.0,26.0,220.0,1.0,0.0,5.9,8.5,70.3,94.43,15.0,5.0,33.3,3.0,3.0,100.0,4.0,3.0,0.0,0.0,10.0,67.0,3.0,0.0,2.0,18.0,12.0,5.0,5.0,237.0,47.4,0.0,2.0,2.0,66.7,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,45.0,24.0,2.0,18.0,1.0,1.0,0.0,40.0,16.0,3.0,19.0,6.0,1.0,1.0,Sunday,993003423,32,22,18072.0,-7.0,0,-2.0,0.273,0.0,-0.1882522003861217,0.3950617283950617,-0.3400832911251997,0.0697452519870018,-0.0157103891986676,0.388235294117647,0.129920261963326,-0.1146654144417721,14.7,24.7,-10.0,228.33333333333334,329.6666666666667,-0.667,0.385,0.2,148.0,200.0,3.0,-0.12857864847564707,0.3414722687434984,-0.1160637888268855,-0.16224652725012134,0.04932101987819488,0.44250317042239784,0.23595325468403297,-0.18672267410752377,-0.14942175487108048,-0.05583460996157795
