gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210129,2022-09-11T16:25:00,,2022,1,LV,LAC,AWAY,19,24,43,SoFi Stadium,,,,,,,,27:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003133,25,29,,-5,0,,,,,,,,,,,,,,
202210225,2022-09-18T16:25:00,1.0,2022,2,LV,ARI,HOME,23,29,52,Allegiant Stadium,3.0,0.0,10.0,6.0,0.0,27.0,28.0,29:47,18.0,1.0,17.0,0.0,56.0,320.0,5.7,2.0,13.0,64.0,4.9,0.0,37.0,22.0,256.0,2.0,3.0,6.9,11.6,59.5,64.7,11.0,5.0,45.5,2.0,1.0,50.0,3.0,2.0,0.0,0.0,3.0,11.0,3.0,0.0,6.0,39.0,3.0,5.0,2.0,106.0,53.0,3.0,0.0,-3.0,3.0,14.0,7.0,0.0,0.0,32.0,32.0,36:22,18.0,5.0,12.0,1.0,65.0,355.0,5.5,3.0,31.0,76.0,2.5,0.0,34.0,26.0,279.0,3.0,0.0,8.2,10.7,76.5,129.41,14.0,6.0,42.9,1.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,21.0,1.0,0.0,0.0,0.0,9.0,5.0,4.0,196.0,49.0,0.0,3.0,3.0,66.7,0.0,66.7,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,21.0,0.0,0.0,1.0,1.0,0.0,37.0,12.0,6.0,39.0,6.0,3.0,0.0,Sunday,993003162,25,1,18019.0,-6,0,-3.0,0.455,0.0,,,,,,,,,19.0,24.0,0.0
202210334,2022-09-25T13:00:00,1.0,2022,3,LV,TEN,AWAY,22,24,46,Nissan Stadium,7.0,13.0,3.0,0.0,0.0,29.0,47.0,30:45,20.0,4.0,14.0,2.0,61.0,324.0,5.3,2.0,21.0,80.0,3.8,0.0,39.0,25.0,244.0,2.0,0.0,6.3,9.8,64.1,98.66,11.0,6.0,54.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,10.0,68.0,2.0,1.0,1.0,8.0,5.0,1.0,3.0,161.0,53.7,1.0,1.0,0.0,0.0,0.0,7.0,16.0,6.0,36.0,22.0,29:15,28.0,11.0,13.0,4.0,78.0,413.0,5.3,4.0,28.0,143.0,5.1,2.0,49.0,31.0,270.0,1.0,1.0,5.5,8.7,63.3,76.06,13.0,3.0,23.1,5.0,3.0,60.0,4.0,3.0,0.0,0.0,12.0,120.0,0.0,0.0,1.0,7.0,5.0,3.0,3.0,136.0,45.3,1.0,1.0,0.0,50.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,41.0,33.0,1.0,7.0,7.0,0.0,0.0,35.0,22.0,1.0,8.0,4.0,2.0,1.0,Sunday,993003183,25,34,18030.0,-2,0,0.0,0.545,0.0,,,,,,,,,42.0,53.0,0.0
202210425,2022-10-02T16:25:00,1.0,2022,4,LV,DEN,HOME,32,23,55,Allegiant Stadium,3.0,7.0,3.0,9.0,0.0,30.0,45.0,34:52,24.0,7.0,14.0,3.0,65.0,396.0,6.1,2.0,19.0,96.0,5.1,0.0,45.0,27.0,300.0,2.0,1.0,6.7,11.1,60.0,85.42,12.0,1.0,8.3,3.0,3.0,100.0,6.0,2.0,0.0,0.0,6.0,44.0,2.0,0.0,1.0,7.0,5.0,2.0,3.0,144.0,48.0,1.0,1.0,0.0,7.0,17.0,0.0,0.0,0.0,29.0,15.0,25:08,19.0,6.0,13.0,0.0,55.0,361.0,6.6,3.0,27.0,109.0,4.0,2.0,27.0,19.0,252.0,1.0,1.0,9.3,13.3,70.4,96.53,10.0,5.0,50.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,85.0,1.0,0.0,1.0,12.0,5.0,4.0,3.0,181.0,60.3,1.0,1.0,0.0,33.3,0.0,100.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,18.0,1.0,12.0,5.0,1.0,0.0,37.0,22.0,1.0,7.0,6.0,1.0,0.0,Sunday,993003232,25,10,18051.0,9,1,0.0,0.083,0.0,21.3,25.7,-4.3,346.6666666666667,376.3333333333333,-1.0,0.361,,64.0,77.0,0.0
202210516,2022-10-10T20:15:00,1.0,2022,5,LV,KC,AWAY,29,30,59,Arrowhead Stadium,3.0,16.0,3.0,10.0,0.0,34.0,52.0,28:53,25.0,14.0,11.0,0.0,74.0,385.0,5.2,3.0,38.0,212.0,5.6,2.0,34.0,21.0,173.0,0.0,0.0,5.1,8.2,61.8,74.75,14.0,7.0,50.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,25.0,0.0,0.0,2.0,15.0,4.0,7.0,4.0,215.0,53.8,0.0,1.0,1.0,7.0,9.0,0.0,7.0,0.0,25.0,8.0,31:07,12.0,5.0,7.0,0.0,48.0,299.0,6.2,3.0,20.0,85.0,4.2,1.0,25.0,17.0,214.0,2.0,0.0,8.6,12.6,68.0,121.08,11.0,3.0,27.3,2.0,1.0,50.0,3.0,2.0,0.0,0.0,7.0,50.0,1.0,1.0,3.0,23.0,5.0,7.0,5.0,241.0,48.2,1.0,0.0,-1.0,40.0,0.0,66.7,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,19.0,3.0,23.0,1.0,1.0,1.0,48.0,23.0,2.0,15.0,4.0,0.0,0.0,Monday,993003267,25,16,18273.0,-1,0,1.0,0.5,0.0,25.7,25.3,0.3,368.3333333333333,357.6666666666667,0.333,0.376,,96.0,100.0,1.0
202210725,2022-10-23T16:05:00,1.0,2022,7,LV,HOU,HOME,38,20,58,Allegiant Stadium,7.0,13.0,0.0,9.0,0.0,28.0,53.0,30:43,18.0,9.0,6.0,3.0,56.0,378.0,6.8,3.0,24.0,155.0,6.5,1.0,30.0,19.0,223.0,2.0,0.0,7.4,11.7,63.3,108.06,12.0,5.0,41.7,2.0,1.0,50.0,1.0,1.0,0.0,0.0,11.0,99.0,1.0,0.0,2.0,18.0,6.0,5.0,2.0,104.0,52.0,0.0,0.0,0.0,0.0,10.0,14.0,6.0,0.0,31.0,7.0,29:17,29.0,7.0,18.0,4.0,69.0,368.0,5.3,4.0,23.0,103.0,4.5,0.0,43.0,29.0,265.0,4.0,0.0,6.2,9.1,67.4,114.97,12.0,7.0,58.3,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,72.0,0.0,0.0,3.0,27.0,7.0,2.0,3.0,145.0,48.3,0.0,0.0,0.0,100.0,0.0,100.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,43.0,17.0,3.0,27.0,2.0,0.0,0.0,35.0,17.0,2.0,18.0,1.0,1.0,0.0,Sunday,993003316,25,13,18178.0,18,1,0.0,0.417,0.0,27.7,25.7,2.0,386.3333333333333,342.6666666666667,0.333,0.333,0.2,125.0,130.0,1.0
202210822,2022-10-30T13:00:00,1.0,2022,8,LV,NO,AWAY,0,24,24,Caesars Superdome,3.0,7.0,7.0,21.0,0.0,30.0,43.0,25:09,25.0,11.0,13.0,1.0,55.0,400.0,7.3,5.0,27.0,164.0,6.1,3.0,27.0,21.0,236.0,1.0,0.0,8.7,11.2,77.8,115.43,9.0,4.0,44.4,1.0,1.0,100.0,3.0,3.0,0.0,0.0,5.0,44.0,2.0,0.0,1.0,5.0,9.0,3.0,2.0,93.0,46.5,0.0,1.0,1.0,0.0,10.0,10.0,0.0,0.0,29.0,17.0,34:51,21.0,9.0,12.0,0.0,65.0,404.0,6.2,2.0,23.0,108.0,4.7,0.0,41.0,28.0,296.0,2.0,1.0,7.2,10.6,68.3,95.17,15.0,9.0,60.0,2.0,1.0,50.0,3.0,1.0,0.0,0.0,3.0,14.0,0.0,0.0,1.0,6.0,3.0,4.0,1.0,55.0,55.0,1.0,0.0,-1.0,100.0,0.0,33.3,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,40.0,28.0,1.0,6.0,3.0,0.0,0.0,41.0,7.0,1.0,5.0,1.0,0.0,0.0,Sunday,993003333,25,22,18044.0,-24,0,1.0,0.444,0.0,33.0,24.3,8.7,387.6666666666667,357.0,0.667,0.454,0.4,163.0,150.0,2.0
202210915,2022-11-06T13:00:00,1.0,2022,9,LV,JAX,AWAY,20,27,47,TIAA Bank Field,0.0,0.0,0.0,0.0,0.0,25.0,9.0,27:35,13.0,2.0,9.0,2.0,56.0,183.0,3.3,0.0,13.0,38.0,2.9,0.0,39.0,23.0,145.0,0.0,1.0,3.7,6.3,59.0,56.04,14.0,5.0,35.7,3.0,2.0,66.7,1.0,0.0,0.0,0.0,6.0,59.0,0.0,0.0,4.0,28.0,0.0,2.0,5.0,229.0,45.8,1.0,0.0,-1.0,7.0,10.0,7.0,0.0,0.0,34.0,51.0,32:25,22.0,9.0,12.0,1.0,63.0,367.0,5.8,3.0,32.0,136.0,4.2,1.0,31.0,23.0,231.0,2.0,0.0,7.5,10.0,74.2,116.47,12.0,7.0,58.3,1.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,80.0,40.0,0.0,1.0,1.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,43.0,27.0,0.0,0.0,2.0,0.0,0.0,30.0,18.0,4.0,28.0,7.0,0.0,0.0,Sunday,993003359,25,15,18124.0,-7,0,-1.0,0.357,0.0,22.3,24.7,-2.3,320.3333333333333,379.6666666666667,0.0,0.406,0.4,163.0,174.0,2.0
202211025,2022-11-13T16:05:00,1.0,2022,10,LV,IND,HOME,20,25,45,Allegiant Stadium,7.0,13.0,0.0,0.0,0.0,27.0,35.0,30:59,16.0,5.0,11.0,0.0,57.0,321.0,5.6,2.0,19.0,73.0,3.8,0.0,36.0,21.0,248.0,2.0,0.0,6.9,11.8,58.3,97.92,12.0,3.0,25.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,5.0,45.0,1.0,1.0,2.0,11.0,4.0,3.0,4.0,196.0,49.0,1.0,1.0,0.0,0.0,10.0,7.0,10.0,0.0,32.0,25.0,29:01,22.0,10.0,12.0,0.0,68.0,403.0,5.9,3.0,37.0,168.0,4.5,2.0,31.0,25.0,235.0,1.0,0.0,7.6,9.4,80.6,109.01,15.0,9.0,60.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,30.0,1.0,1.0,0.0,0.0,3.0,7.0,3.0,163.0,54.3,1.0,1.0,0.0,0.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,47.0,30.0,0.0,0.0,2.0,0.0,1.0,33.0,19.0,2.0,11.0,6.0,1.0,1.0,Sunday,993003400,25,14,18141.0,-5,0,0.0,0.25,0.0,19.3,23.7,-4.3,301.3333333333333,391.3333333333333,0.0,0.351,0.4,183.0,201.0,2.0
202211110,2022-11-20T16:05:00,1.0,2022,11,LV,DEN,AWAY,22,16,38,Empower Field at Mile High,0.0,7.0,7.0,6.0,0.0,30.0,59.0,32:39,18.0,7.0,10.0,1.0,64.0,309.0,4.8,3.0,24.0,77.0,3.2,1.0,38.0,24.0,232.0,2.0,0.0,6.1,9.7,63.2,97.7,13.0,5.0,38.5,3.0,1.0,33.3,3.0,2.0,0.0,0.0,10.0,74.0,1.0,0.0,2.0,16.0,1.0,2.0,5.0,294.0,58.8,0.0,1.0,1.0,7.0,6.0,6.0,6.0,0.0,29.0,1.0,28:57,20.0,8.0,10.0,2.0,59.0,415.0,7.0,3.0,30.0,207.0,6.9,2.0,28.0,21.0,208.0,1.0,0.0,7.4,9.9,75.0,107.44,11.0,6.0,54.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,25.0,2.0,1.0,1.0,14.0,5.0,4.0,3.0,143.0,47.7,1.0,0.0,-1.0,66.7,0.0,50.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,35.0,31.0,1.0,14.0,4.0,2.0,1.0,37.0,21.0,2.0,16.0,8.0,0.0,0.0,Sunday,993003427,25,10,18071.0,6,1,1.0,0.385,0.0,13.3,25.3,-12.0,271.0,395.0,0.0,0.331,0.2,203.0,226.0,2.0
