gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202210120,2022-09-11T16:25:00,1,2022,1,MIN,GB,HOME,23,7,30,U.S. Bank Stadium,7,10,3,3,0,31,23,31:23,19,7,12,0,61,395,6.5,2,28,126,4.5,0,32,23,269,2,0,8.4,11.7,71.9,117.84,13,4,30.8,1,1,100.0,3,1,0,0,3,20,0,0,1,8,5,3,5,232,46.4,0,2,2,0,0,7,0,0,28,37,28:37,21,8,13,0,61,338,5.5,1,18,111,6.2,1,39,26,227,0,1,5.8,8.7,66.7,71.21,9,3,33.3,2,0,0.0,3,1,0,0,2,10,1,1,4,33,8,4,4,179,44.8,2,0,-2,33.3,0,33.3,0,2,2,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,37,24,4,33,3,1,1,44,20,1,8,1,0,0,Sunday,993003130,20,12,18017,16,1,2,0.308,0,,,,,,,,,,,,-17.0
202210226,2022-09-19T20:30:00,1,2022,2,MIN,PHI,AWAY,7,24,31,Lincoln Financial Field,0,7,0,0,0,23,46,23:46,20,3,16,1,59,264,4.5,1,11,62,5.6,0,46,27,202,1,3,4.4,7.5,58.7,49.37,12,4,33.3,0,0,0.0,4,1,0,0,5,25,1,0,2,19,6,7,5,246,49.2,3,1,-2,7,17,0,0,0,36,14,36:14,25,10,13,2,68,486,7.1,3,34,163,4.8,2,31,26,323,1,1,10.4,12.4,83.9,107.39,13,7,53.8,0,0,0.0,2,1,0,0,8,60,1,0,3,10,7,4,4,179,44.8,1,3,2,25.0,0,50.0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,56,15,3,10,2,0,0,28,20,2,19,11,1,0,Monday,993003171,20,26,18002,-17,0,-2,0.333,0,,,,,,,,,23.0,7.0,1.0,4.0
202210320,2022-09-25T13:00:00,1,2022,3,MIN,DET,HOME,28,24,52,U.S. Bank Stadium,0,14,0,14,0,25,56,25:56,30,9,16,5,67,373,5.6,4,25,123,4.9,2,41,24,250,2,0,6.1,10.4,58.5,92.53,9,2,22.2,2,1,50.0,3,3,0,0,3,15,2,1,1,10,2,4,3,156,52.0,1,1,0,7,7,10,0,0,34,4,34:04,23,6,14,3,76,416,5.5,3,35,139,4.0,2,41,25,277,1,1,6.8,11.1,61.0,79.01,16,3,18.8,6,4,66.7,3,3,0,0,7,59,0,0,0,0,7,3,3,134,44.7,1,1,0,100.0,0,100.0,0,4,4,0,0,0,0,0,2,0,3,3,0,0,0,0,0,3,1,53,22,0,0,7,0,0,42,15,1,10,3,0,1,Sunday,993003186,20,11,18053,4,1,0,0.222,0,,,,,,,,,30.0,31.0,1.0,3.0
202210422,2022-10-02T09:30:00,1,2022,4,MIN,NO,AWAY,28,25,53,Tottenham Hotspur Stadium,7,6,3,12,0,32,13,32:13,23,3,15,5,67,344,5.1,2,25,81,3.2,1,39,26,263,1,1,6.7,10.1,66.7,83.6,14,5,35.7,1,1,100.0,5,2,0,0,5,35,0,0,3,23,3,3,3,126,42.0,1,2,1,0,7,7,11,0,27,47,27:47,19,8,11,0,57,338,5.9,3,27,111,4.1,2,28,20,227,1,0,8.1,11.4,71.4,107.29,10,4,40.0,1,1,100.0,3,3,0,0,10,102,2,2,2,9,8,3,4,194,48.5,2,1,-1,40.0,0,100.0,0,2,1,0,0,0,0,0,5,5,2,2,0,2,1,0,0,2,1,35,26,2,9,5,2,2,41,20,3,23,2,0,0,Sunday,993003207,20,22,17996,3,1,1,0.357,0,19.3,18.3,1.0,344.0,413.3333333333333,0.0,0.288,,58.0,55.0,2.0,7.0
202210520,2022-10-09T13:00:00,1,2022,5,MIN,CHI,HOME,29,22,51,U.S. Bank Stadium,7,14,0,8,0,36,44,36:44,29,10,18,1,74,429,5.8,4,31,117,3.8,3,42,33,312,1,1,7.4,9.5,78.6,95.63,15,12,80.0,0,0,0.0,4,4,0,0,7,70,1,0,1,7,3,5,1,15,15.0,1,1,0,3,7,9,3,0,23,16,23:16,14,4,9,1,47,271,5.8,2,24,78,3.2,1,21,15,193,1,0,9.2,12.9,71.4,115.77,10,4,40.0,1,1,100.0,2,2,0,0,6,40,3,1,2,15,3,4,2,112,56.0,1,1,0,100.0,0,100.0,0,3,3,0,2,1,0,0,2,0,1,1,0,2,0,0,0,3,3,31,19,2,15,2,2,1,51,25,1,7,3,1,0,Sunday,993003248,20,6,18167,7,1,0,0.8,0,21.0,24.3,-3.3,327.0,413.3333333333333,-0.333,0.304,,86.0,80.0,3.0,8.0
202210619,2022-10-16T13:00:00,1,2022,6,MIN,MIA,AWAY,24,16,40,Hard Rock Stadium,0,10,0,14,0,24,31,24:31,11,2,7,2,50,234,4.7,3,17,78,4.6,1,30,20,156,2,0,5.2,7.8,66.7,101.53,12,2,16.7,0,0,0.0,3,2,0,0,2,20,1,0,3,19,13,8,10,441,44.1,0,3,3,0,3,0,13,0,35,29,35:29,23,5,18,0,73,458,6.3,2,20,73,3.6,0,47,30,385,2,2,8.2,12.8,63.8,85.86,14,4,28.6,2,1,50.0,2,2,0,0,10,97,2,1,6,33,7,4,6,307,51.2,3,0,-3,66.7,0,100.0,0,2,1,0,2,1,0,0,1,1,1,1,0,2,0,0,0,2,1,47,18,6,33,9,1,1,29,22,3,19,5,1,0,Sunday,993003283,20,19,18184,8,1,3,0.167,0,28.3,23.7,4.7,382.0,341.6666666666667,0.333,0.46,0.8,115.0,102.0,4.0,8.0
202210820,2022-10-30T13:00:00,1,2022,8,MIN,ARI,HOME,34,26,60,U.S. Bank Stadium,7,7,14,6,0,29,27,29:27,25,11,11,3,68,381,5.6,5,29,173,6.0,3,36,24,208,2,0,5.8,8.7,66.7,100.23,13,6,46.2,1,0,0.0,5,5,0,0,10,86,1,1,3,24,6,8,5,233,46.6,1,3,2,3,7,13,3,0,30,33,30:33,25,5,17,3,70,375,5.4,3,22,78,3.5,0,44,31,297,3,2,6.8,9.6,70.5,92.71,11,4,36.4,1,0,0.0,3,2,0,0,10,67,2,1,4,29,9,4,3,139,46.3,3,1,-2,100.0,0,66.7,0,5,4,0,0,0,0,0,1,0,2,2,0,2,0,0,0,2,2,54,6,4,29,9,0,1,49,15,3,24,3,1,1,Sunday,993003332,20,1,18123,8,1,2,0.462,0,27.0,21.0,6.0,335.6666666666667,355.6666666666667,1.333,0.441,0.8,139.0,118.0,5.0,3.0
202210935,2022-11-06T13:00:00,1,2022,9,MIN,WAS,AWAY,20,17,37,FedEx Field,7,0,0,13,0,29,13,29:13,17,3,12,2,65,301,4.6,2,22,56,2.5,0,41,23,245,2,1,6.0,10.7,56.1,79.83,16,7,43.8,0,0,0.0,4,2,0,0,5,42,0,0,2,17,7,6,6,310,51.7,1,1,0,0,3,7,7,0,30,47,30:47,18,6,9,3,61,263,4.3,2,30,137,4.6,0,28,15,126,2,1,4.5,8.4,53.6,74.4,10,3,30.0,1,0,0.0,1,1,0,0,3,26,0,0,3,23,11,13,5,240,48.0,1,1,0,50.0,0,100.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,40,19,3,23,7,0,0,41,21,2,17,7,0,0,Sunday,993003363,20,35,18140,3,1,0,0.438,0,29.0,21.3,7.7,348.0,368.0,1.667,0.476,1.0,173.0,144.0,6.0,3.0
202211004,2022-11-13T13:00:00,1,2022,10,MIN,BUF,AWAY,33,30,63,Highmark Stadium,7,3,7,13,3,35,2,35:02,24,8,14,2,79,481,6.1,4,25,147,5.9,2,50,30,334,1,2,6.7,11.1,60.0,69.92,17,7,41.2,5,3,60.0,4,1,0,0,7,64,2,0,4,23,4,7,3,149,49.7,2,4,2,14,10,3,3,0,33,46,33:46,29,9,17,3,72,486,6.8,3,27,175,6.5,2,43,29,311,1,2,7.2,10.7,67.4,76.79,13,7,53.8,1,0,0.0,6,3,0,0,7,64,3,2,2,19,10,10,3,152,50.7,4,2,-2,25.0,0,50.0,0,4,3,0,0,0,0,0,2,2,3,3,0,0,0,0,0,3,3,52,18,2,19,8,1,2,48,20,4,23,9,1,0,Sunday,993003389,20,4,18064,3,1,2,0.412,0,26.0,19.7,6.3,305.3333333333333,365.3333333333333,1.667,0.355,1.0,193.0,161.0,7.0,-37.0
202211120,2022-11-20T16:25:00,1,2022,11,MIN,DAL,HOME,3,40,43,U.S. Bank Stadium,3,0,0,0,0,22,36,22:36,16,3,10,3,54,183,3.4,0,17,73,4.3,0,30,17,110,0,0,3.7,6.5,56.7,64.58,11,1,9.1,0,0,0.0,1,0,0,0,7,59,2,1,7,49,1,8,7,338,48.3,1,0,-1,10,13,14,3,0,37,24,37:24,23,12,11,0,70,458,6.5,4,40,151,3.8,2,30,26,307,2,0,10.2,11.8,86.7,131.53,17,12,70.6,0,0,0.0,3,2,0,0,6,39,1,0,0,0,13,8,2,101,50.5,0,1,1,0.0,0,66.7,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,4,4,55,17,0,0,1,0,0,37,8,7,49,4,2,1,Sunday,993003430,20,9,18085,-37,0,-1,0.091,0,29.0,24.3,4.7,387.6666666666667,374.6666666666667,1.333,0.437,1.0,226.0,191.0,8.0,7.0
