gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210119.0,2022-09-11T13:00:00,,2022,1,NE,MIA,AWAY,7.0,20.0,27.0,Hard Rock Stadium,0.0,0.0,7.0,0.0,0.0,,,27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,14.0,3.0,0.0,0.0,,,32:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003113,21,19,,-13.0,0,,,,,,,,,,,,,,
202210228.0,2022-09-18T13:00:00,1.0,2022,2,NE,PIT,AWAY,17.0,14.0,31.0,Acrisure Stadium,3.0,7.0,7.0,0.0,0.0,27.0,30.0,33:36,17.0,5.0,10.0,2.0,54.0,271.0,5.0,1.0,22.0,78.0,3.5,0.0,30.0,21.0,193.0,1.0,1.0,6.4,9.2,70.0,84.44,9.0,4.0,44.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,15.0,2.0,2.0,2.0,20.0,7.0,6.0,3.0,118.0,39.3,3.0,0.0,-3.0,0.0,3.0,3.0,8.0,0.0,32.0,30.0,26:24,18.0,3.0,13.0,2.0,59.0,307.0,5.2,2.0,23.0,65.0,2.8,0.0,33.0,23.0,242.0,1.0,0.0,7.3,10.5,69.7,100.82,14.0,6.0,42.9,1.0,1.0,100.0,2.0,0.0,0.0,0.0,4.0,20.0,2.0,0.0,3.0,28.0,3.0,4.0,4.0,183.0,45.8,0.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,38.0,15.0,3.0,28.0,0.0,2.0,0.0,37.0,22.0,2.0,20.0,6.0,2.0,2.0,Sunday,993003143,21,28,18011.0,3.0,1,-3.0,0.444,0.0,,,,,,,,,7.0,20.0,0.0
202210321.0,2022-09-25T13:00:00,1.0,2022,3,NE,BAL,HOME,26.0,37.0,63.0,Gillette Stadium,0.0,13.0,7.0,6.0,0.0,33.0,36.0,29:24,18.0,8.0,10.0,0.0,66.0,376.0,5.7,2.0,31.0,124.0,4.0,1.0,35.0,21.0,252.0,1.0,1.0,7.2,12.0,60.0,79.7,17.0,9.0,52.9,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,55.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,166.0,41.5,1.0,2.0,1.0,7.0,7.0,17.0,6.0,0.0,26.0,24.0,30:36,16.0,5.0,11.0,0.0,58.0,243.0,4.2,1.0,22.0,91.0,4.1,0.0,33.0,21.0,152.0,1.0,1.0,4.6,7.2,63.6,71.78,15.0,8.0,53.3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,20.0,1.0,1.0,3.0,16.0,3.0,1.0,4.0,206.0,51.5,2.0,1.0,-1.0,33.3,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,31.0,29.0,3.0,16.0,7.0,0.0,1.0,34.0,31.0,0.0,0.0,5.0,0.0,0.0,Sunday,993003188,21,3,18025.0,-11.0,0,1.0,0.529,0.0,,,,,,,,,24.0,34.0,1.0
202210412.0,2022-10-02T16:25:00,1.0,2022,4,NE,GB,AWAY,24.0,27.0,51.0,Lambeau Field,3.0,7.0,7.0,7.0,0.0,29.0,24.0,33:11,22.0,10.0,12.0,0.0,63.0,447.0,7.1,3.0,28.0,145.0,5.2,3.0,32.0,22.0,302.0,0.0,3.0,9.4,13.7,68.8,59.64,9.0,2.0,22.2,2.0,1.0,50.0,5.0,3.0,0.0,0.0,3.0,16.0,3.0,1.0,3.0,19.0,5.0,4.0,2.0,100.0,50.0,4.0,2.0,-2.0,0.0,7.0,10.0,7.0,3.0,30.0,36.0,36:49,19.0,8.0,11.0,0.0,59.0,394.0,6.7,5.0,26.0,188.0,7.2,1.0,29.0,18.0,206.0,4.0,1.0,7.1,11.4,62.1,108.62,11.0,5.0,45.5,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,10.0,1.0,1.0,4.0,12.0,4.0,5.0,3.0,133.0,44.3,2.0,4.0,2.0,60.0,0.0,100.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,18.0,4.0,12.0,2.0,1.0,2.0,44.0,13.0,3.0,19.0,6.0,2.0,1.0,Sunday,993003229,21,12,18033.0,-3.0,0,-2.0,0.222,0.0,16.7,23.7,-7.0,364.6666666666667,314.6666666666667,-1.333,0.399,,50.0,71.0,1.0
202210521.0,2022-10-09T13:00:00,1.0,2022,5,NE,DET,HOME,29.0,0.0,29.0,Gillette Stadium,3.0,13.0,10.0,3.0,0.0,33.0,11.0,31:29,17.0,10.0,6.0,1.0,58.0,271.0,4.7,3.0,33.0,167.0,5.1,1.0,21.0,15.0,104.0,1.0,0.0,5.0,6.9,71.4,98.12,11.0,3.0,27.3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,75.0,1.0,1.0,4.0,32.0,3.0,1.0,7.0,314.0,44.9,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,49.0,28:31,24.0,10.0,12.0,2.0,71.0,443.0,6.2,3.0,35.0,199.0,5.7,1.0,35.0,21.0,244.0,2.0,1.0,7.0,11.6,60.0,88.27,14.0,6.0,42.9,1.0,1.0,100.0,4.0,3.0,0.0,0.0,4.0,40.0,2.0,1.0,1.0,7.0,6.0,6.0,5.0,210.0,42.0,2.0,1.0,-1.0,50.0,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,34.0,1.0,7.0,2.0,1.0,1.0,42.0,23.0,4.0,32.0,0.0,1.0,1.0,Sunday,993003252,21,11,18272.0,29.0,1,1.0,0.273,0.0,22.3,26.0,-3.7,364.6666666666667,360.0,0.0,0.341,,74.0,98.0,1.0
202210608.0,2022-10-16T13:00:00,1.0,2022,6,NE,CLE,AWAY,38.0,15.0,53.0,FirstEnergy Stadium,3.0,7.0,14.0,14.0,0.0,31.0,29.0,35:05,22.0,7.0,11.0,4.0,56.0,364.0,6.5,2.0,35.0,176.0,5.0,0.0,21.0,17.0,188.0,1.0,1.0,9.0,11.1,81.0,100.0,9.0,3.0,33.3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,46.0,1.0,0.0,0.0,0.0,6.0,3.0,2.0,101.0,50.5,1.0,2.0,1.0,3.0,3.0,0.0,9.0,0.0,28.0,31.0,24:55,17.0,6.0,9.0,2.0,64.0,312.0,4.9,0.0,27.0,101.0,3.7,0.0,35.0,19.0,211.0,0.0,1.0,6.0,11.1,54.3,60.54,12.0,4.0,33.3,6.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,82.0,1.0,1.0,2.0,18.0,0.0,6.0,2.0,88.0,44.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,25.0,2.0,18.0,3.0,1.0,1.0,44.0,18.0,0.0,0.0,2.0,0.0,0.0,Sunday,993003281,21,8,18168.0,23.0,1,1.0,0.333,0.0,26.3,21.3,5.0,360.6666666666667,383.0,0.0,0.276,0.4,103.0,98.0,2.0
202210721.0,2022-10-24T20:15:00,1.0,2022,7,NE,CHI,HOME,14.0,33.0,47.0,Gillette Stadium,0.0,14.0,0.0,0.0,0.0,35.0,5.0,22:46,20.0,3.0,14.0,3.0,65.0,399.0,6.1,5.0,29.0,98.0,3.4,3.0,34.0,24.0,301.0,2.0,0.0,8.9,12.5,70.6,117.4,14.0,7.0,50.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,12.0,92.0,1.0,1.0,2.0,8.0,9.0,2.0,4.0,164.0,41.0,1.0,4.0,3.0,10.0,10.0,6.0,7.0,0.0,24.0,55.0,37:14,16.0,2.0,12.0,2.0,67.0,328.0,4.9,1.0,18.0,70.0,3.9,0.0,45.0,21.0,258.0,1.0,2.0,5.7,12.3,46.7,53.75,15.0,4.0,26.7,5.0,3.0,60.0,2.0,1.0,0.0,0.0,7.0,63.0,3.0,2.0,4.0,8.0,2.0,5.0,3.0,133.0,44.3,4.0,1.0,-3.0,60.0,0.0,50.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,36.0,15.0,4.0,8.0,8.0,1.0,2.0,39.0,26.0,2.0,8.0,3.0,1.0,1.0,Monday,993003324,21,6,18181.0,-19.0,0,3.0,0.5,0.0,30.3,14.0,16.3,344.6666666666667,361.0,1.667,0.369,0.6,141.0,113.0,3.0
202210824.0,2022-10-30T13:00:00,1.0,2022,8,NE,NYJ,AWAY,22.0,17.0,39.0,MetLife Stadium,3.0,3.0,13.0,3.0,0.0,22.0,46.0,35:34,12.0,3.0,9.0,0.0,48.0,260.0,5.4,2.0,19.0,70.0,3.7,1.0,28.0,17.0,190.0,1.0,3.0,6.8,11.2,60.7,53.27,10.0,5.0,50.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,30.0,1.0,1.0,1.0,8.0,4.0,4.0,4.0,160.0,40.0,4.0,1.0,-3.0,3.0,7.0,0.0,7.0,0.0,37.0,14.0,24:26,24.0,13.0,10.0,1.0,70.0,390.0,5.6,3.0,45.0,243.0,5.4,2.0,21.0,13.0,147.0,1.0,1.0,7.0,11.3,61.9,78.87,18.0,11.0,61.1,1.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,35.0,5.0,0.0,4.0,32.0,3.0,2.0,2.0,81.0,40.5,1.0,4.0,3.0,100.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,44.0,40.0,4.0,32.0,4.0,2.0,0.0,30.0,11.0,1.0,8.0,7.0,0.0,1.0,Sunday,993003341,21,24,18048.0,5.0,1,-3.0,0.5,0.0,27.0,16.0,11.0,341.0,343.3333333333333,0.333,0.444,0.4,155.0,146.0,3.0
202210921.0,2022-11-06T13:00:00,1.0,2022,9,NE,IND,HOME,26.0,3.0,29.0,Gillette Stadium,0.0,13.0,3.0,10.0,0.0,35.0,34.0,31:06,19.0,8.0,9.0,2.0,75.0,288.0,3.8,1.0,34.0,127.0,3.7,0.0,35.0,24.0,161.0,1.0,1.0,4.6,6.7,68.6,76.01,19.0,6.0,31.6,2.0,1.0,50.0,3.0,1.0,0.0,0.0,6.0,54.0,1.0,0.0,6.0,33.0,2.0,3.0,4.0,163.0,40.8,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,24.0,26.0,28:54,17.0,1.0,15.0,1.0,58.0,387.0,6.7,2.0,15.0,51.0,3.4,0.0,41.0,20.0,336.0,2.0,3.0,8.2,16.8,48.8,62.65,14.0,5.0,35.7,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,41.0,0.0,0.0,2.0,19.0,8.0,13.0,4.0,188.0,47.0,3.0,1.0,-2.0,33.3,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,31.0,19.0,2.0,19.0,6.0,0.0,0.0,52.0,23.0,6.0,33.0,4.0,1.0,0.0,Sunday,993003362,21,14,18125.0,23.0,1,2.0,0.316,0.0,24.7,21.7,3.0,315.6666666666667,368.3333333333333,0.667,0.439,0.6,177.0,163.0,4.0
202211121.0,2022-11-20T13:00:00,1.0,2022,11,NE,NYJ,HOME,10.0,3.0,13.0,Gillette Stadium,0.0,3.0,0.0,7.0,0.0,31.0,6.0,35:30,11.0,5.0,6.0,0.0,62.0,203.0,3.3,2.0,28.0,70.0,2.5,0.0,30.0,20.0,133.0,1.0,0.0,4.4,6.6,66.7,87.22,17.0,6.0,35.3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,35.0,2.0,1.0,4.0,14.0,12.0,8.0,7.0,271.0,38.7,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,54.0,24:30,8.0,4.0,3.0,1.0,60.0,121.0,2.0,0.0,22.0,78.0,3.5,0.0,29.0,15.0,43.0,0.0,1.0,1.5,2.9,51.7,43.32,14.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,9.0,60.0,7.0,8.0,8.0,348.0,43.5,1.0,1.0,0.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,39.0,27.0,9.0,60.0,8.0,0.0,0.0,45.0,13.0,4.0,14.0,0.0,2.0,1.0,Sunday,993003426,21,24,18138.0,7.0,1,0.0,0.353,0.0,20.7,17.7,3.0,250.33333333333334,299.3333333333333,-0.333,0.39,0.8,203.0,166.0,5.0
