gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210134.0,2022-09-11T16:25:00,1,2022,1,NYG,TEN,AWAY,21.0,20.0,41.0,Nissan Stadium,0.0,0.0,13.0,8.0,0.0,,,28:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,7.0,0.0,0.0,,,31:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003135,23,34,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210223.0,2022-09-18T13:00:00,1,2022,2,NYG,CAR,HOME,19.0,16.0,35.0,MetLife Stadium,6.0,0.0,7.0,6.0,0.0,28.0,54.0,35:57,19.0,11.0,7.0,1.0,58.0,394.0,6.8,3.0,32.0,238.0,7.4,1.0,21.0,17.0,156.0,2.0,1.0,7.4,9.2,81.0,109.52,10.0,2.0,20.0,1.0,1.0,100.0,3.0,2.0,0.0,0.0,8.0,45.0,2.0,1.0,5.0,32.0,5.0,3.0,6.0,309.0,51.5,2.0,1.0,-1.0,0.0,6.0,7.0,3.0,0.0,31.0,6.0,24:03,19.0,2.0,13.0,4.0,60.0,359.0,6.0,2.0,26.0,93.0,3.6,0.0,33.0,20.0,266.0,2.0,0.0,8.1,13.3,60.6,106.38,11.0,3.0,27.3,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,50.0,2.0,1.0,1.0,0.0,8.0,6.0,6.0,342.0,57.0,1.0,2.0,1.0,66.7,0.0,66.7,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,41.0,17.0,1.0,0.0,2.0,0.0,1.0,46.0,20.0,5.0,32.0,2.0,2.0,1.0,Sunday,993003156,23,5,18016.0,3.0,1,-1.0,0.2,0.0,0.0412477708943678,0.4266666666666667,-0.2138213120292638,0.2628609185736337,0.0187016233291793,0.4352941176470588,0.3357328591991983,-0.3407169093686836,21.0,20.0,1.0,394.0,359.0,-1.0,0.2,1.0,21.0,20.0,1.0,0.0412477708943678,0.4266666666666667,-0.2138213120292638,0.2628609185736337,0.0187016233291793,0.4352941176470588,0.3357328591991983,-0.3407169093686836,0.0412477708943678,0.0187016233291793
202210323.0,2022-09-26T20:15:00,1,2022,3,NYG,DAL,HOME,16.0,23.0,39.0,MetLife Stadium,0.0,3.0,10.0,3.0,0.0,35.0,57.0,27:18,18.0,8.0,8.0,2.0,70.0,265.0,3.8,1.0,33.0,103.0,3.1,0.0,34.0,22.0,162.0,1.0,0.0,4.8,7.4,64.7,85.66,18.0,6.0,33.3,1.0,1.0,100.0,3.0,1.0,0.0,0.0,8.0,62.0,0.0,0.0,3.0,14.0,4.0,5.0,5.0,253.0,50.6,0.0,2.0,2.0,3.0,3.0,7.0,10.0,0.0,24.0,3.0,32:42,18.0,7.0,7.0,4.0,54.0,275.0,5.1,1.0,23.0,146.0,6.3,0.0,29.0,14.0,129.0,1.0,0.0,4.4,9.2,48.3,72.34,12.0,2.0,16.7,1.0,1.0,100.0,4.0,1.0,0.0,0.0,5.0,38.0,3.0,2.0,2.0,16.0,9.0,9.0,5.0,212.0,42.4,2.0,0.0,-2.0,33.3,0.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,32.0,15.0,2.0,16.0,4.0,3.0,2.0,45.0,28.0,3.0,14.0,2.0,0.0,0.0,Monday,993003204,23,9,18024.0,-7.0,0,2.0,0.333,0.0,-0.0618797440114077,0.3626373626373626,-0.0293276117202007,-0.3206052171858028,-0.1014343299454705,0.4666666666666667,-0.3020524714501086,0.4782439830693571,20.0,18.0,2.0,329.5,317.0,0.5,0.267,1.0,40.0,36.0,2.0,-0.010315986558519952,0.39465201465201466,-0.12157446187473225,-0.02887214930608456,-0.0413663533081456,0.4509803921568627,0.016840193874544857,0.06876353685033676,-0.010315986558519952,-0.0413663533081456
202210423.0,2022-10-02T13:00:00,1,2022,4,NYG,CHI,HOME,20.0,12.0,32.0,MetLife Stadium,7.0,7.0,3.0,3.0,0.0,27.0,18.0,31:17,22.0,10.0,8.0,4.0,67.0,336.0,5.0,1.0,25.0,167.0,6.7,1.0,37.0,20.0,169.0,0.0,1.0,4.6,8.4,54.1,54.9,11.0,3.0,27.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,57.0,0.0,0.0,5.0,27.0,2.0,1.0,3.0,135.0,45.0,1.0,0.0,-1.0,6.0,3.0,3.0,0.0,0.0,32.0,42.0,28:43,23.0,9.0,12.0,2.0,61.0,391.0,6.4,2.0,30.0,176.0,5.9,1.0,31.0,21.0,215.0,1.0,0.0,6.9,10.2,67.7,98.19,13.0,5.0,38.5,1.0,1.0,100.0,4.0,2.0,0.0,0.0,8.0,70.0,0.0,0.0,0.0,0.0,12.0,7.0,4.0,178.0,44.5,0.0,1.0,1.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,35.0,37.0,0.0,0.0,3.0,0.0,0.0,46.0,8.0,5.0,27.0,5.0,0.0,0.0,Sunday,993003224,23,6,18062.0,8.0,1,-1.0,0.273,0.0,-0.0228319239927098,0.4333333333333333,-0.0662260386113097,0.1241816154732886,0.0915378951116328,0.4634146341463415,0.1092611154149672,0.2002749341735315,18.7,19.7,-1.0,331.6666666666667,341.6666666666667,0.0,0.269,0.667,56.0,59.0,2.0,-0.014487965703249901,0.4075457875457875,-0.1031249874535914,0.022145772287039827,0.0029350628317805307,0.4551251394866889,0.0476471677213523,0.11260066929140167,-0.014487965703249901,0.0029350628317805307
202210512.0,2022-10-09T09:30:00,1,2022,5,NYG,GB,AWAY,27.0,22.0,49.0,Tottenham Hotspur Stadium,3.0,7.0,3.0,14.0,0.0,31.0,17.0,32:11,21.0,14.0,5.0,2.0,61.0,333.0,5.5,2.0,44.0,262.0,6.0,2.0,16.0,9.0,71.0,0.0,1.0,4.4,7.9,56.2,41.41,14.0,6.0,42.9,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,55.0,2.0,1.0,1.0,11.0,9.0,6.0,5.0,273.0,54.6,2.0,3.0,1.0,10.0,10.0,0.0,2.0,0.0,28.0,43.0,27:49,16.0,7.0,6.0,3.0,60.0,304.0,5.1,0.0,32.0,149.0,4.7,0.0,22.0,11.0,155.0,0.0,0.0,7.0,14.1,50.0,73.11,15.0,5.0,33.3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,65.0,6.0,3.0,6.0,19.0,2.0,3.0,5.0,264.0,52.8,3.0,2.0,-1.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,37.0,27.0,6.0,19.0,3.0,3.0,3.0,41.0,31.0,1.0,11.0,1.0,2.0,1.0,Sunday,993003239,23,12,18266.0,5.0,1,1.0,0.429,0.0,0.0954454364833809,0.4047619047619047,0.2608140231839989,-0.0280133739074072,0.0244025613752785,0.3766233766233766,0.0385330789500275,-0.2501990099444061,18.3,17.0,1.3,311.3333333333333,323.3333333333333,0.667,0.345,0.75,76.0,71.0,3.0,0.0035779228264211324,0.40024420024420015,0.0550867909508295,-0.07481232520664048,0.004835375513813598,0.43556822581212823,-0.05141942569503797,0.14277330243282751,0.012995384843407799,0.008301937467655023
202210623.0,2022-10-16T13:00:00,1,2022,6,NYG,BAL,HOME,24.0,20.0,44.0,MetLife Stadium,0.0,7.0,3.0,14.0,0.0,32.0,11.0,31:52,24.0,8.0,12.0,4.0,59.0,338.0,5.7,3.0,31.0,125.0,4.0,3.0,27.0,21.0,213.0,0.0,0.0,7.9,10.1,77.8,99.54,11.0,6.0,54.5,1.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,63.0,1.0,0.0,1.0,4.0,6.0,5.0,2.0,100.0,50.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,0.0,27.0,49.0,28:08,22.0,5.0,15.0,2.0,61.0,301.0,4.9,2.0,20.0,94.0,4.7,0.0,39.0,25.0,207.0,2.0,0.0,5.3,8.3,64.1,94.71,10.0,4.0,40.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,37.0,2.0,0.0,2.0,15.0,4.0,5.0,3.0,124.0,41.3,0.0,0.0,0.0,75.0,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,37.0,22.0,2.0,15.0,7.0,2.0,0.0,42.0,11.0,1.0,4.0,1.0,0.0,0.0,Sunday,993003272,23,3,17997.0,4.0,1,0.0,0.545,0.0,0.2094576202425473,0.5,0.4827567854141769,-0.0020289624305476,0.1219546853539347,0.5,0.1631869209869365,0.0575755429512355,21.0,19.0,2.0,335.6666666666667,332.0,0.0,0.416,0.8,103.0,93.0,4.0,0.0940237109110728,0.446031746031746,0.22578158999562203,0.03137975971177793,0.07929838061361533,0.44667933692323936,0.10366037178397706,0.0025504890601203193,0.052287831923235696,0.031032487044910954
202210715.0,2022-10-23T13:00:00,1,2022,7,NYG,JAX,AWAY,23.0,17.0,40.0,TIAA Bank Field,7.0,6.0,0.0,10.0,0.0,31.0,52.0,34:10,18.0,5.0,11.0,2.0,62.0,238.0,3.8,3.0,31.0,83.0,2.7,1.0,27.0,19.0,155.0,2.0,0.0,5.7,8.2,70.4,109.34,14.0,7.0,50.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,25.0,1.0,1.0,4.0,18.0,2.0,4.0,4.0,185.0,46.2,1.0,2.0,1.0,8.0,3.0,6.0,0.0,0.0,28.0,8.0,25:50,23.0,10.0,13.0,0.0,58.0,406.0,7.0,2.0,24.0,211.0,8.8,1.0,32.0,17.0,195.0,1.0,1.0,6.1,11.5,53.1,69.14,10.0,4.0,40.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,74.0,2.0,1.0,2.0,15.0,5.0,6.0,2.0,95.0,47.5,2.0,1.0,-1.0,60.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,37.0,13.0,2.0,15.0,5.0,1.0,1.0,44.0,17.0,4.0,18.0,2.0,1.0,1.0,Sunday,993003307,23,15,18186.0,6.0,1,1.0,0.5,0.0,0.0395282244769534,0.4567901234567901,0.3149338238999322,-0.0981424176231182,0.0071961650798103,0.4210526315789473,0.0213938242696826,0.2430612364816782,23.7,18.0,5.7,303.0,337.0,0.667,0.491,0.8,127.0,113.0,5.0,0.11481042706762719,0.45385067607289825,0.3528348774993693,-0.04272825132035767,0.05118447060300783,0.4325586694007746,0.07437127473554887,0.01681258982950255,0.051943922639752824,0.028731395395037156
202210830.0,2022-10-30T16:25:00,1,2022,8,NYG,SEA,AWAY,13.0,27.0,40.0,Lumen Field,0.0,7.0,3.0,3.0,0.0,34.0,10.0,33:34,27.0,13.0,11.0,3.0,70.0,436.0,6.2,2.0,39.0,236.0,6.1,1.0,30.0,19.0,200.0,1.0,0.0,6.7,10.5,63.3,93.75,12.0,6.0,50.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,8.0,67.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,80.0,40.0,0.0,1.0,1.0,0.0,10.0,3.0,14.0,0.0,25.0,50.0,26:26,27.0,7.0,15.0,5.0,65.0,452.0,7.0,2.0,21.0,142.0,6.8,2.0,44.0,22.0,310.0,0.0,0.0,7.0,14.1,50.0,73.11,13.0,6.0,46.2,4.0,2.0,50.0,5.0,2.0,0.0,0.0,13.0,81.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,106.0,53.0,1.0,0.0,-1.0,20.0,0.0,40.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,32.0,19.0,0.0,0.0,7.0,1.0,1.0,42.0,32.0,1.0,2.0,8.0,0.0,0.0,Sunday,993003347,23,30,18041.0,-14.0,0,1.0,0.5,0.0,0.1570949562314594,0.5168539325842697,0.189382565061153,0.1808751324843217,0.0661109928288515,0.425287356321839,0.2259476366468332,-0.1652185880939166,24.7,19.7,5.0,337.3333333333333,386.3333333333333,0.667,0.515,0.8,150.0,130.0,6.0,0.13536026698365336,0.4912146853470199,0.3290243914584207,0.026901250810218626,0.06508728108753216,0.44877999596692875,0.13684279396781743,0.04513939711299906,0.09573886268832624,0.06224045994990155
202211023.0,2022-11-13T13:00:00,1,2022,10,NYG,HOU,HOME,24.0,16.0,40.0,MetLife Stadium,7.0,0.0,14.0,3.0,0.0,33.0,34.0,33:20,14.0,4.0,9.0,1.0,64.0,225.0,3.5,1.0,28.0,78.0,2.8,1.0,31.0,17.0,147.0,0.0,0.0,4.7,8.6,54.8,67.54,16.0,6.0,37.5,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,53.0,3.0,2.0,5.0,29.0,10.0,5.0,6.0,322.0,53.7,2.0,1.0,-1.0,0.0,3.0,7.0,6.0,0.0,26.0,26.0,26:40,19.0,4.0,14.0,1.0,62.0,277.0,4.5,3.0,25.0,87.0,3.5,1.0,34.0,23.0,190.0,2.0,0.0,5.6,8.3,67.6,101.35,13.0,3.0,23.1,2.0,2.0,100.0,3.0,2.0,0.0,0.0,3.0,25.0,1.0,1.0,3.0,22.0,8.0,8.0,6.0,291.0,48.5,1.0,2.0,1.0,50.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,17.0,3.0,22.0,3.0,1.0,1.0,49.0,15.0,5.0,29.0,6.0,3.0,2.0,Sunday,993003394,23,13,18130.0,8.0,1,-1.0,0.375,0.0,-0.0816336232762363,0.3333333333333333,0.0101303012825588,-0.231141262933379,0.0902488625024691,0.4125,-0.0779688709175841,-0.0818042386487253,20.0,21.3,-1.3,299.6666666666667,378.3333333333333,0.333,0.458,0.8,163.0,157.0,6.0,0.03832985247739216,0.4356591297914643,0.17148223008121466,-0.0494695160240585,0.054518673470376956,0.419613329300262,0.05645752999964391,-0.001320530086987871,0.08397852283162094,0.061982653428068815
202211123.0,2022-11-20T13:00:00,1,2022,11,NYG,DET,HOME,18.0,31.0,49.0,MetLife Stadium,6.0,0.0,0.0,12.0,0.0,33.0,20.0,28:12,19.0,10.0,8.0,1.0,67.0,367.0,5.5,3.0,47.0,191.0,4.1,1.0,17.0,13.0,176.0,2.0,0.0,10.4,13.5,76.5,148.16,14.0,7.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,24.0,0.0,0.0,3.0,21.0,12.0,5.0,6.0,242.0,40.3,0.0,2.0,2.0,3.0,14.0,7.0,7.0,0.0,26.0,40.0,31:48,22.0,6.0,15.0,1.0,60.0,387.0,6.4,1.0,19.0,101.0,5.3,0.0,37.0,22.0,286.0,1.0,1.0,7.7,13.0,59.5,81.59,10.0,3.0,30.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,7.0,40.0,2.0,1.0,4.0,33.0,6.0,7.0,5.0,229.0,45.8,2.0,0.0,-2.0,100.0,0.0,16.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,35.0,24.0,4.0,33.0,6.0,1.0,1.0,51.0,33.0,3.0,21.0,1.0,0.0,0.0,Sunday,993003418,23,11,18069.0,-13.0,0,2.0,0.5,0.0,0.0850049479646772,0.4431818181818182,0.5671491150424117,-0.0969096943656084,0.0043896960371661,0.4444444444444444,0.0899155610049865,-0.2441100880264696,20.0,20.0,0.0,342.6666666666667,372.0,0.667,0.458,0.8,187.0,173.0,7.0,0.05348876030663343,0.43112302803314034,0.2555539937953745,-0.04905860827155523,0.05358318378949556,0.4274106002554278,0.07929810891141187,-0.1637109715897038,0.08189042512788018,0.05798008036044633
