gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210124.0,2022-09-11T13:00:00,1,2022,1,NYJ,BAL,HOME,9.0,24.0,33.0,MetLife Stadium,0.0,3.0,0.0,6.0,0.0,,,32:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,14.0,0.0,0.0,,,27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003128,24,3,,-15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210208.0,2022-09-18T13:00:00,1,2022,2,NYJ,CLE,AWAY,31.0,30.0,61.0,FirstEnergy Stadium,0.0,14.0,0.0,17.0,0.0,32.0,30.0,27:46,24.0,3.0,18.0,3.0,79.0,380.0,4.8,1.0,17.0,83.0,4.9,0.0,59.0,37.0,297.0,1.0,1.0,5.0,8.0,62.7,73.91,14.0,2.0,14.3,4.0,3.0,75.0,2.0,1.0,0.0,0.0,6.0,81.0,2.0,1.0,3.0,12.0,4.0,2.0,6.0,253.0,42.2,2.0,1.0,-1.0,7.0,7.0,3.0,13.0,0.0,27.0,30.0,32:14,13.0,4.0,8.0,1.0,53.0,274.0,5.2,3.0,21.0,63.0,3.0,0.0,30.0,17.0,211.0,3.0,1.0,7.0,12.4,56.7,98.06,13.0,5.0,38.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,29.0,1.0,0.0,2.0,2.0,10.0,3.0,6.0,291.0,48.5,1.0,2.0,1.0,50.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,16.0,2.0,2.0,4.0,1.0,0.0,48.0,21.0,3.0,12.0,4.0,2.0,1.0,Sunday,993003149,24,8,18012.0,1.0,1,-1.0,0.143,0.0,-0.1953902337789738,0.3636363636363636,-0.1209600276522342,-0.2906231945930308,0.0166427528679216,0.4142857142857143,0.2236159818544975,-0.2727495804030792,9.0,24.0,-15.0,380.0,274.0,-1.0,0.143,0.0,9.0,24.0,0.0,-0.1953902337789738,0.3636363636363636,-0.1209600276522342,-0.2906231945930308,0.0166427528679216,0.4142857142857143,0.2236159818544975,-0.2727495804030792,-0.1953902337789738,0.0166427528679216
202210324.0,2022-09-25T13:00:00,1,2022,3,NYJ,CIN,HOME,12.0,27.0,39.0,MetLife Stadium,6.0,3.0,3.0,0.0,0.0,27.0,46.0,27:36,20.0,3.0,16.0,1.0,67.0,402.0,6.0,4.0,20.0,93.0,4.6,0.0,45.0,27.0,309.0,4.0,0.0,6.9,11.4,60.0,110.32,15.0,8.0,53.3,1.0,1.0,100.0,4.0,3.0,0.0,0.0,8.0,57.0,2.0,1.0,2.0,15.0,5.0,4.0,4.0,189.0,47.2,1.0,1.0,0.0,14.0,6.0,7.0,0.0,0.0,32.0,14.0,32:24,29.0,12.0,15.0,2.0,65.0,405.0,6.2,4.0,37.0,184.0,5.0,3.0,27.0,22.0,221.0,1.0,1.0,8.2,10.0,81.5,97.69,12.0,8.0,66.7,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,38.0,0.0,0.0,1.0,8.0,5.0,5.0,3.0,156.0,52.0,1.0,1.0,0.0,75.0,0.0,80.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,44.0,27.0,1.0,8.0,3.0,0.0,0.0,39.0,7.0,2.0,15.0,5.0,2.0,1.0,Sunday,993003182,24,7,18022.0,-15.0,0,0.0,0.533,0.0,0.1852809692641116,0.4505494505494505,0.3240876695034063,-0.0810110803489806,0.1943442720214517,0.4878048780487805,0.4929399322870542,0.0908519113224676,20.0,27.0,-7.0,391.0,339.5,-0.5,0.338,0.5,40.0,54.0,1.0,-0.005054632257431094,0.407092907092907,0.10156382092558605,-0.1858171374710057,0.10549351244468666,0.4510452961672474,0.3582779570707758,-0.09094883454030578,-0.005054632257431094,0.10549351244468666
202210428.0,2022-10-02T13:00:00,1,2022,4,NYJ,PIT,AWAY,24.0,20.0,44.0,Acrisure Stadium,3.0,7.0,0.0,14.0,0.0,27.0,36.0,29:59,19.0,4.0,13.0,2.0,76.0,328.0,4.3,0.0,20.0,76.0,3.8,0.0,52.0,28.0,252.0,0.0,2.0,4.8,9.0,53.8,51.12,18.0,7.0,38.9,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,55.0,3.0,2.0,4.0,33.0,9.0,7.0,3.0,146.0,48.7,4.0,1.0,-3.0,0.0,6.0,7.0,7.0,0.0,32.0,24.0,30:01,20.0,6.0,12.0,2.0,66.0,330.0,5.0,3.0,28.0,69.0,2.5,0.0,36.0,23.0,261.0,3.0,0.0,7.2,11.3,63.9,113.31,14.0,7.0,50.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,30.0,2.0,1.0,2.0,14.0,10.0,6.0,3.0,142.0,47.3,1.0,4.0,3.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,41.0,20.0,2.0,14.0,4.0,1.0,1.0,42.0,23.0,4.0,33.0,8.0,3.0,3.0,Sunday,993003211,24,28,18054.0,4.0,1,-3.0,0.389,0.0,-0.2313010926856962,0.3695652173913043,-0.4078061966325105,-0.0484539074328494,-0.0008696009288005489,0.4166666666666667,0.3180590278723599,-0.3348656792781767,17.3,27.0,-9.7,370.0,336.3333333333333,-1.333,0.355,0.333,52.0,81.0,1.0,-0.0804701190668528,0.3945836771923728,-0.0682261849271128,-0.1400293941249536,0.07003914132019091,0.4395857530003872,0.34487164733797054,-0.17225444945292942,-0.0804701190668528,0.07003914132019091
202210524.0,2022-10-09T13:00:00,1,2022,5,NYJ,MIA,HOME,40.0,17.0,57.0,MetLife Stadium,5.0,14.0,0.0,21.0,0.0,29.0,59.0,30:58,19.0,5.0,12.0,2.0,67.0,348.0,5.2,3.0,29.0,98.0,3.4,1.0,37.0,19.0,250.0,2.0,2.0,6.8,13.2,51.4,68.52,15.0,6.0,40.0,1.0,1.0,100.0,3.0,3.0,0.0,0.0,7.0,64.0,1.0,0.0,1.0,4.0,7.0,3.0,5.0,235.0,47.0,2.0,4.0,2.0,0.0,14.0,3.0,0.0,0.0,30.0,1.0,29:02,20.0,7.0,11.0,2.0,60.0,297.0,5.0,2.0,31.0,119.0,3.8,2.0,26.0,17.0,178.0,0.0,4.0,6.8,10.5,65.4,45.51,12.0,6.0,50.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,8.0,55.0,2.0,0.0,3.0,26.0,6.0,5.0,4.0,158.0,39.5,4.0,2.0,-2.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,36.0,3.0,26.0,8.0,1.0,1.0,35.0,28.0,1.0,4.0,4.0,0.0,1.0,Sunday,993003246,24,19,18268.0,23.0,1,2.0,0.4,0.0,0.0194475392638254,0.3953488372093023,0.0162875196361494,0.0172073286041806,-0.0506182822249133,0.4177215189873418,-0.1564900694649136,0.00028938725288890014,22.3,25.7,-3.3,359.3333333333333,344.0,-0.333,0.441,0.5,76.0,101.0,2.0,-0.008857528052586399,0.4051545017166857,-0.0224770024976516,-0.03741921972588313,0.04761879628924596,0.44073102123426294,0.21816963023150016,-0.08124146023427338,-0.05549070448418325,0.03987478543391487
202210612.0,2022-10-16T13:00:00,1,2022,6,NYJ,GB,AWAY,27.0,10.0,37.0,Lambeau Field,0.0,3.0,14.0,10.0,0.0,30.0,58.0,28:48,21.0,8.0,9.0,4.0,56.0,322.0,5.8,5.0,33.0,135.0,4.1,5.0,21.0,14.0,187.0,0.0,0.0,8.9,13.4,66.7,94.74,11.0,5.0,45.5,1.0,0.0,0.0,6.0,5.0,0.0,0.0,5.0,105.0,0.0,0.0,2.0,23.0,16.0,2.0,4.0,185.0,46.2,0.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,29.0,2.0,31:12,19.0,8.0,8.0,3.0,62.0,295.0,4.8,2.0,26.0,137.0,5.3,2.0,34.0,19.0,158.0,0.0,1.0,4.6,8.3,55.9,55.76,11.0,4.0,36.4,2.0,0.0,0.0,3.0,2.0,0.0,0.0,11.0,102.0,1.0,1.0,2.0,8.0,3.0,5.0,3.0,131.0,43.7,2.0,0.0,-2.0,83.3,0.0,66.7,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,37.0,20.0,2.0,8.0,4.0,1.0,1.0,33.0,20.0,2.0,23.0,2.0,0.0,0.0,Sunday,993003273,24,12,18170.0,17.0,1,2.0,0.455,0.0,0.1588934281425119,0.4935064935064935,0.2183431953006439,0.1450258174348467,-0.123331729158777,0.4523809523809524,-0.2786282766904644,0.1450261359870501,25.3,21.3,4.0,332.6666666666667,307.3333333333333,0.333,0.414,0.6,116.0,118.0,3.0,-0.01765337509311964,0.4194735160357001,-0.057725160565239075,0.037926412868725966,-0.05827320410416362,0.4289230460116536,-0.039019772761006044,-0.06318338534607922,-0.012613877958844222,0.0072334825153764935
202210710.0,2022-10-23T16:05:00,1,2022,7,NYJ,DEN,AWAY,16.0,9.0,25.0,Empower Field at Mile High,7.0,3.0,0.0,6.0,0.0,28.0,48.0,27:37,14.0,9.0,4.0,1.0,53.0,278.0,5.2,3.0,33.0,179.0,5.4,2.0,18.0,10.0,99.0,0.0,0.0,5.5,9.9,55.6,71.3,11.0,1.0,9.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,79.0,0.0,0.0,2.0,11.0,9.0,5.0,6.0,268.0,44.7,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,31.0,12.0,32:23,15.0,3.0,9.0,3.0,69.0,278.0,4.0,1.0,20.0,60.0,3.0,0.0,45.0,28.0,218.0,1.0,0.0,4.8,7.8,62.2,81.53,16.0,4.0,25.0,4.0,1.0,25.0,1.0,0.0,0.0,0.0,7.0,42.0,2.0,1.0,4.0,36.0,2.0,4.0,5.0,244.0,48.8,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,42.0,22.0,4.0,36.0,6.0,1.0,1.0,36.0,17.0,2.0,11.0,5.0,0.0,0.0,Sunday,993003313,24,10,18182.0,7.0,1,1.0,0.091,0.0,-0.0687902195321115,0.4225352112676056,-0.2764790720006464,0.2108133640664163,-0.3088198259383559,0.4285714285714285,-0.2425647495925081,-0.3618071616810787,30.3,15.7,14.7,316.0,290.0,1.667,0.315,0.8,143.0,128.0,4.0,0.03651691595807526,0.4371301806611338,-0.013949452354617716,0.12434883670181451,-0.16092327910734872,0.43289129997990755,-0.22589436524929538,-0.07216387948037989,0.012706124890528239,-0.057859033245879
202210824.0,2022-10-30T13:00:00,1,2022,8,NYJ,NE,HOME,17.0,22.0,39.0,MetLife Stadium,3.0,7.0,0.0,7.0,0.0,27.0,37.0,24:26,10.0,4.0,5.0,1.0,53.0,260.0,4.9,1.0,24.0,155.0,6.5,1.0,26.0,16.0,105.0,0.0,0.0,4.0,6.6,61.5,70.19,14.0,3.0,21.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,85.0,0.0,0.0,3.0,16.0,7.0,1.0,8.0,438.0,54.8,0.0,1.0,1.0,3.0,3.0,13.0,3.0,0.0,32.0,23.0,35:34,21.0,7.0,10.0,4.0,75.0,324.0,4.3,1.0,28.0,105.0,3.8,1.0,46.0,24.0,219.0,0.0,1.0,4.8,9.1,52.2,56.34,16.0,5.0,31.2,3.0,1.0,33.3,2.0,1.0,0.0,0.0,4.0,34.0,1.0,0.0,1.0,6.0,5.0,2.0,6.0,240.0,40.0,1.0,0.0,-1.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,42.0,21.0,1.0,6.0,9.0,0.0,0.0,31.0,24.0,3.0,16.0,1.0,0.0,0.0,Sunday,993003342,24,21,18043.0,-5.0,0,1.0,0.214,0.0,-0.0727164042272457,0.3544303797468354,-0.2264620983886972,-0.0010328152906311,-0.162772296612572,0.3225806451612903,-0.1941962403712767,0.0298416950751963,27.7,12.0,15.7,286.6666666666667,299.0,1.333,0.253,0.8,159.0,137.0,5.0,0.00579560146105156,0.4234906948403115,-0.09486599169623326,0.1182687887368773,-0.1983079505699016,0.40117767537122373,-0.23846308888474974,-0.062313110206277424,-0.03889334980774323,-0.12928234697268376
202210924.0,2022-11-06T13:00:00,1,2022,9,NYJ,BUF,HOME,20.0,17.0,37.0,MetLife Stadium,3.0,7.0,7.0,3.0,0.0,24.0,26.0,32:44,17.0,1.0,15.0,1.0,58.0,387.0,6.7,2.0,15.0,51.0,3.4,0.0,41.0,20.0,336.0,2.0,3.0,8.2,16.8,48.8,62.65,14.0,5.0,35.7,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,41.0,0.0,0.0,2.0,19.0,8.0,13.0,4.0,188.0,47.0,3.0,1.0,-2.0,7.0,7.0,0.0,3.0,0.0,35.0,34.0,27:16,19.0,8.0,9.0,2.0,75.0,288.0,3.8,1.0,34.0,127.0,3.7,0.0,35.0,24.0,161.0,1.0,1.0,4.6,6.7,68.6,76.01,19.0,6.0,31.6,2.0,1.0,50.0,3.0,1.0,0.0,0.0,6.0,54.0,1.0,0.0,6.0,33.0,2.0,3.0,4.0,163.0,40.8,1.0,3.0,2.0,66.7,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,52.0,23.0,6.0,33.0,4.0,1.0,0.0,31.0,19.0,2.0,19.0,6.0,0.0,0.0,Sunday,993003372,24,4,18125.0,3.0,1,-2.0,0.357,0.0,-0.1921266492923987,0.3376623376623376,-0.053722497017373,-0.3374347587232478,-0.0511066459630793,0.4130434782608695,-0.0374145317128967,-0.2693845266029169,20.0,13.7,6.3,308.3333333333333,296.6666666666667,0.0,0.221,0.8,176.0,159.0,5.0,-0.11121109101725198,0.3715426428922595,-0.18555455580223887,-0.04255140331582088,-0.1742329228380024,0.38806518399786283,-0.1580585072255605,-0.20044999773626646,-0.031058461129083725,-0.1393297559795395
202211121.0,2022-11-20T13:00:00,1,2022,11,NYJ,NE,AWAY,3.0,10.0,13.0,Gillette Stadium,0.0,3.0,0.0,0.0,0.0,32.0,44.0,24:30,21.0,11.0,9.0,1.0,61.0,310.0,5.1,2.0,34.0,174.0,5.1,1.0,25.0,18.0,136.0,1.0,0.0,5.4,7.6,72.0,98.08,13.0,5.0,38.5,2.0,2.0,100.0,5.0,2.0,0.0,0.0,3.0,30.0,2.0,1.0,2.0,18.0,8.0,3.0,3.0,147.0,49.0,1.0,2.0,1.0,0.0,3.0,0.0,7.0,0.0,27.0,16.0,35:30,19.0,9.0,10.0,0.0,61.0,317.0,5.2,2.0,22.0,134.0,6.1,2.0,34.0,18.0,183.0,0.0,2.0,5.4,10.2,52.9,44.12,13.0,8.0,61.5,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,30.0,2.0,0.0,5.0,22.0,3.0,3.0,2.0,111.0,55.5,2.0,1.0,-1.0,40.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,35.0,21.0,5.0,22.0,6.0,2.0,0.0,35.0,35.0,2.0,18.0,1.0,1.0,1.0,Sunday,993003425,24,21,18139.0,-7.0,0,1.0,0.385,0.0,0.0263902550493353,0.5675675675675675,0.0526281668345776,0.0775804137435531,0.00335099859281,0.4666666666666667,-0.2079993946340051,0.3622444058393199,17.7,16.0,1.7,319.0,309.6666666666667,0.0,0.319,0.8,196.0,176.0,6.0,-0.07948426615676969,0.4198867616589135,-0.0758521428571642,-0.0869623867567753,-0.07017598132761377,0.4007635966962755,-0.14653672223939285,0.040900524770533096,-0.029669917971981742,-0.12853589981599484
