gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210111.0,2022-09-11T13:00:00,1,2022,1,PHI,DET,AWAY,38.0,35.0,73.0,Ford Field,0.0,24.0,14.0,0.0,0.0,,,31:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,14.0,0.0,,,28:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003117,26,11,,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210226.0,2022-09-19T20:30:00,1,2022,2,PHI,MIN,HOME,24.0,7.0,31.0,Lincoln Financial Field,7.0,17.0,0.0,0.0,0.0,31.0,34.0,36:14,27.0,13.0,12.0,2.0,72.0,455.0,6.3,5.0,39.0,216.0,5.5,4.0,32.0,18.0,239.0,0.0,0.0,7.5,13.3,56.2,80.08,17.0,10.0,58.8,3.0,2.0,66.7,5.0,4.0,0.0,0.0,10.0,61.0,0.0,0.0,1.0,4.0,6.0,3.0,3.0,137.0,45.7,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,28.0,26.0,23:46,23.0,9.0,12.0,2.0,66.0,386.0,5.8,5.0,28.0,181.0,6.5,3.0,37.0,21.0,205.0,2.0,1.0,5.5,9.8,56.8,79.22,14.0,9.0,64.3,1.0,1.0,100.0,4.0,4.0,0.0,0.0,7.0,65.0,1.0,0.0,1.0,10.0,5.0,4.0,4.0,185.0,46.2,1.0,0.0,-1.0,80.0,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,1.0,10.0,4.0,0.0,0.0,48.0,18.0,1.0,4.0,5.0,0.0,0.0,Monday,993003172,26,20,18010.0,17.0,1,1.0,0.588,0.0,0.1323627219482423,0.4742268041237113,0.2917892407385165,0.2295988636511278,0.0830439572835804,0.4044943820224719,0.0368104399850581,0.2706058886283749,38.0,35.0,3.0,455.0,386.0,1.0,0.588,1.0,38.0,35.0,1.0,0.1323627219482423,0.4742268041237113,0.2917892407385165,0.2295988636511278,0.0830439572835804,0.4044943820224719,0.0368104399850581,0.2706058886283749,0.1323627219482423,0.0830439572835804
202210335.0,2022-09-25T13:00:00,1,2022,3,PHI,WAS,AWAY,24.0,8.0,32.0,FedEx Field,0.0,24.0,0.0,0.0,0.0,36.0,14.0,27:06,25.0,10.0,13.0,2.0,68.0,486.0,7.1,3.0,34.0,163.0,4.8,2.0,31.0,26.0,323.0,1.0,1.0,10.4,12.4,83.9,107.39,13.0,7.0,53.8,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,60.0,1.0,0.0,3.0,10.0,7.0,4.0,4.0,179.0,44.8,1.0,3.0,2.0,0.0,0.0,0.0,8.0,0.0,23.0,46.0,32:54,20.0,3.0,16.0,1.0,59.0,264.0,4.5,1.0,11.0,62.0,5.6,0.0,46.0,27.0,202.0,1.0,3.0,4.4,7.5,58.7,49.37,12.0,4.0,33.3,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,25.0,1.0,0.0,2.0,19.0,6.0,7.0,5.0,246.0,49.2,3.0,1.0,-2.0,50.0,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,2.0,19.0,11.0,1.0,0.0,56.0,15.0,3.0,10.0,2.0,0.0,0.0,Sunday,993003177,26,35,18002.0,16.0,1,2.0,0.538,0.0,0.0474293405841492,0.4659090909090909,0.1701761259331002,0.1542373220533288,-0.1892204240367418,0.4583333333333333,-0.2403976286575645,0.0036895887007833,31.0,21.0,10.0,470.5,325.0,1.5,0.563,1.0,62.0,42.0,2.0,0.08989603126619575,0.47006794751640113,0.23098268333580835,0.1919180928522283,-0.0530882333765807,0.43141385767790263,-0.10179359433625321,0.1371477386645791,0.08989603126619575,-0.0530882333765807
202210426.0,2022-10-02T13:00:00,1,2022,4,PHI,JAX,HOME,29.0,21.0,50.0,Lincoln Financial Field,0.0,20.0,0.0,9.0,0.0,27.0,6.0,39:51,21.0,3.0,16.0,2.0,68.0,400.0,5.9,3.0,30.0,72.0,2.4,0.0,35.0,22.0,328.0,3.0,0.0,9.4,14.9,62.9,122.08,15.0,5.0,33.3,3.0,2.0,66.7,4.0,2.0,0.0,0.0,5.0,52.0,1.0,0.0,3.0,12.0,17.0,8.0,6.0,277.0,46.2,0.0,1.0,1.0,14.0,0.0,0.0,7.0,0.0,32.0,54.0,20:09,20.0,5.0,11.0,4.0,74.0,240.0,3.2,1.0,22.0,87.0,4.0,1.0,43.0,25.0,153.0,0.0,0.0,3.6,6.1,58.1,65.36,17.0,6.0,35.3,2.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,48.0,2.0,1.0,9.0,58.0,6.0,7.0,8.0,420.0,52.5,1.0,0.0,-1.0,50.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,20.0,9.0,58.0,4.0,2.0,1.0,43.0,17.0,3.0,12.0,7.0,0.0,0.0,Sunday,993003220,26,15,18055.0,8.0,1,1.0,0.333,0.0,0.0666319214879707,0.4216867469879518,0.4239104330365744,-0.5230491508974228,-0.1600859008199693,0.4042553191489361,-0.3121248809402437,-0.1612730950490866,28.7,16.7,12.0,447.0,296.6666666666667,1.333,0.487,1.0,86.0,50.0,3.0,0.0821413280067874,0.4539408806735847,0.2952919332360637,-0.04640432173098872,-0.08875412252437691,0.4223610115015804,-0.17190402320425005,0.03767412742669054,0.0821413280067874,-0.08875412252437691
202210501.0,2022-10-09T16:25:00,1,2022,5,PHI,ARI,AWAY,20.0,17.0,37.0,State Farm Stadium,7.0,7.0,3.0,3.0,0.0,39.0,51.0,34:39,25.0,14.0,8.0,3.0,77.0,401.0,5.2,4.0,50.0,210.0,4.2,4.0,25.0,16.0,191.0,0.0,1.0,7.6,11.9,64.0,70.58,15.0,4.0,26.7,5.0,3.0,60.0,6.0,4.0,0.0,0.0,3.0,20.0,1.0,0.0,2.0,13.0,3.0,3.0,3.0,134.0,44.7,1.0,5.0,4.0,0.0,10.0,0.0,7.0,0.0,20.0,9.0,25:21,13.0,3.0,9.0,1.0,46.0,219.0,4.8,3.0,19.0,71.0,3.7,0.0,23.0,11.0,148.0,2.0,1.0,6.4,13.5,47.8,79.62,7.0,2.0,28.6,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,38.0,5.0,4.0,4.0,26.0,5.0,6.0,3.0,160.0,53.3,5.0,1.0,-4.0,66.7,0.0,66.7,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,4.0,26.0,4.0,3.0,4.0,42.0,41.0,2.0,13.0,5.0,0.0,0.0,Sunday,993003263,26,1,18267.0,3.0,1,4.0,0.267,0.0,-0.0540862274920083,0.4329896907216495,-0.2568794391091614,0.1189472681268097,-0.2111660423812016,0.4333333333333333,-0.294090326636381,-0.332854617243069,25.7,12.0,13.7,429.0,241.0,2.333,0.379,1.0,115.0,71.0,4.0,0.019991678193370534,0.4401951762062308,0.11240237328683776,-0.08328818690576142,-0.18682412241263754,0.4319739952718676,-0.2822042787447297,-0.16347937453045744,0.04808443913208848,-0.11935710248858307
202210626.0,2022-10-16T20:20:00,1,2022,6,PHI,DAL,HOME,26.0,17.0,43.0,Lincoln Financial Field,0.0,20.0,0.0,6.0,0.0,34.0,39.0,34:30,24.0,12.0,12.0,0.0,71.0,357.0,5.0,2.0,33.0,139.0,4.2,2.0,36.0,26.0,218.0,0.0,0.0,6.1,8.4,72.2,87.5,13.0,6.0,46.2,1.0,1.0,100.0,4.0,2.0,0.0,0.0,3.0,30.0,1.0,0.0,2.0,21.0,2.0,8.0,4.0,188.0,47.0,0.0,1.0,1.0,0.0,3.0,7.0,7.0,0.0,25.0,21.0,25:30,23.0,7.0,16.0,0.0,69.0,363.0,5.3,2.0,26.0,124.0,4.8,1.0,42.0,28.0,239.0,1.0,1.0,5.7,8.5,66.7,79.37,14.0,8.0,57.1,1.0,1.0,100.0,2.0,1.0,0.0,0.0,2.0,15.0,0.0,0.0,1.0,11.0,6.0,6.0,4.0,196.0,49.0,1.0,0.0,-1.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,47.0,13.0,1.0,11.0,3.0,0.0,0.0,46.0,31.0,2.0,21.0,4.0,0.0,0.0,Sunday,993003294,26,9,18176.0,9.0,1,1.0,0.462,0.0,0.0998954326429423,0.5529411764705883,0.1247531187528214,0.0885232561568339,0.0151613887024239,0.4235294117647059,0.1655451769360374,-0.0510392735797303,24.3,15.3,9.0,386.0,274.0,2.0,0.354,1.0,135.0,88.0,5.0,0.03748037554630157,0.4692058713933965,0.09726137089341147,-0.1051928755379264,-0.11869685149958233,0.4203726880823251,-0.14689001021352913,-0.18172232862396195,0.05844663783425924,-0.09245340425038168
202210826.0,2022-10-30T13:00:00,1,2022,8,PHI,PIT,HOME,35.0,13.0,48.0,Lincoln Financial Field,7.0,14.0,7.0,7.0,0.0,34.0,30.0,25:42,22.0,9.0,9.0,4.0,68.0,268.0,3.9,3.0,39.0,136.0,3.5,1.0,25.0,15.0,132.0,2.0,0.0,5.3,8.8,60.0,100.75,14.0,6.0,42.9,1.0,1.0,100.0,4.0,3.0,0.0,0.0,2.0,10.0,1.0,0.0,4.0,23.0,4.0,0.0,4.0,187.0,46.8,0.0,3.0,3.0,7.0,3.0,3.0,0.0,0.0,25.0,30.0,34:18,21.0,8.0,12.0,1.0,64.0,315.0,4.9,2.0,26.0,134.0,5.2,1.0,38.0,18.0,181.0,1.0,3.0,4.8,10.1,47.4,37.28,10.0,4.0,40.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,72.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,119.0,59.5,3.0,0.0,-3.0,75.0,0.0,66.7,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,35.0,24.0,0.0,0.0,12.0,0.0,0.0,45.0,28.0,4.0,23.0,3.0,0.0,0.0,Sunday,993003330,26,28,18191.0,22.0,1,3.0,0.429,0.0,0.0472485583424935,0.4534883720930232,0.1500087128331263,-0.0677232556096292,-0.0775776522565003,0.425,-0.1949215367476061,0.1637823952791783,25.0,18.3,6.7,342.0,299.0,2.667,0.386,1.0,161.0,105.0,6.0,0.031019254497809165,0.479806413095087,0.005960797492262119,0.04658242289133813,-0.09119410197842599,0.4272875816993464,-0.10782222881598325,-0.07337049851454032,0.04142380511310948,-0.12457772615839782
202210913.0,2022-11-03T20:15:00,1,2022,9,PHI,HOU,AWAY,29.0,17.0,46.0,NRG Stadium,7.0,7.0,7.0,8.0,0.0,25.0,42.0,28:13,20.0,6.0,13.0,1.0,53.0,401.0,7.6,5.0,20.0,111.0,5.6,1.0,30.0,20.0,290.0,4.0,0.0,9.7,14.5,66.7,137.5,12.0,7.0,58.3,1.0,1.0,100.0,1.0,1.0,0.0,0.0,8.0,60.0,0.0,0.0,3.0,18.0,11.0,7.0,4.0,183.0,45.8,0.0,2.0,2.0,7.0,7.0,3.0,0.0,0.0,34.0,18.0,31:47,21.0,10.0,9.0,2.0,70.0,302.0,4.3,1.0,24.0,144.0,6.0,0.0,40.0,27.0,158.0,1.0,1.0,4.0,5.9,67.5,72.71,12.0,1.0,8.3,4.0,4.0,100.0,3.0,1.0,0.0,0.0,9.0,60.0,2.0,1.0,6.0,38.0,4.0,4.0,4.0,180.0,45.0,2.0,0.0,-2.0,100.0,0.0,33.3,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,49.0,22.0,6.0,38.0,7.0,2.0,1.0,36.0,17.0,3.0,18.0,5.0,0.0,0.0,Thursday,993003355,26,13,18126.0,12.0,1,2.0,0.583,0.0,0.2642749696648579,0.5070422535211268,0.4070302271009293,0.2433670989295933,-0.0436431023633072,0.4148936170212766,-0.2515961214359036,0.4277997938566841,27.0,15.7,11.3,342.0,326.6666666666667,2.0,0.491,1.0,196.0,118.0,7.0,0.1371396535500979,0.5044906006949127,0.22726401956229236,0.08805569982559931,-0.0353531219724612,0.42114100959532746,-0.09365749374915744,0.18018097185204404,0.08479293092925122,-0.0954622618237109
202211026.0,2022-11-14T20:15:00,1,2022,10,PHI,WAS,HOME,21.0,32.0,53.0,Lincoln Financial Field,14.0,0.0,0.0,7.0,0.0,28.0,13.0,19:36,24.0,9.0,14.0,1.0,62.0,360.0,5.8,4.0,31.0,143.0,4.6,2.0,27.0,21.0,217.0,2.0,0.0,8.0,10.3,77.8,124.85,10.0,5.0,50.0,2.0,2.0,100.0,4.0,4.0,0.0,0.0,4.0,31.0,2.0,1.0,4.0,26.0,4.0,7.0,3.0,149.0,49.7,1.0,2.0,1.0,7.0,13.0,3.0,9.0,0.0,31.0,47.0,40:24,20.0,10.0,8.0,2.0,57.0,303.0,5.3,2.0,32.0,168.0,5.2,0.0,22.0,13.0,135.0,2.0,2.0,6.1,10.4,59.1,69.32,9.0,2.0,22.2,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,28.0,0.0,0.0,3.0,19.0,5.0,7.0,4.0,208.0,52.0,2.0,1.0,-1.0,100.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,22.0,3.0,19.0,3.0,0.0,0.0,48.0,17.0,4.0,26.0,1.0,2.0,1.0,Monday,993003408,26,35,18133.0,-11.0,0,1.0,0.5,0.0,0.1237818004421423,0.5512820512820513,0.230988742423316,0.1563934146059743,-0.0797494169963264,0.4324324324324324,-0.1874512172228633,0.0230818001948826,30.0,15.7,14.3,343.0,306.6666666666667,2.0,0.504,1.0,225.0,135.0,8.0,0.14510177614983125,0.5039375589654004,0.2626758941191239,0.1106790859753128,-0.06699005720537797,0.42410868315123634,-0.211322958468791,0.20488799644358166,0.09622290672008554,-0.07939496505898233
202211114.0,2022-11-20T13:00:00,1,2022,11,PHI,IND,AWAY,17.0,16.0,33.0,Lucas Oil Stadium,0.0,3.0,0.0,14.0,0.0,19.0,36.0,29:22,18.0,7.0,10.0,1.0,47.0,264.0,5.6,3.0,20.0,94.0,4.7,1.0,26.0,17.0,170.0,2.0,1.0,6.5,10.0,65.4,93.43,8.0,5.0,62.5,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,75.0,3.0,3.0,1.0,5.0,4.0,3.0,3.0,141.0,47.0,4.0,2.0,-2.0,7.0,3.0,3.0,3.0,0.0,40.0,24.0,30:38,25.0,12.0,9.0,4.0,81.0,330.0,4.1,3.0,49.0,152.0,3.1,2.0,29.0,17.0,178.0,0.0,1.0,6.1,10.5,58.6,62.14,21.0,12.0,57.1,1.0,1.0,100.0,3.0,2.0,0.0,0.0,5.0,58.0,2.0,1.0,3.0,33.0,1.0,1.0,2.0,87.0,43.5,2.0,4.0,2.0,100.0,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,54.0,37.0,3.0,33.0,5.0,1.0,1.0,25.0,21.0,1.0,5.0,3.0,2.0,3.0,Sunday,993003413,26,14,18074.0,1.0,1,-2.0,0.625,0.0,-0.1134624817866301,0.453125,-0.2606514508932316,0.0924918774703872,0.0985805667590603,0.494949494949495,0.0582557877162047,0.0635943854412407,28.3,20.7,7.7,341.6666666666667,311.6666666666667,0.333,0.569,0.8,246.0,167.0,8.0,0.09153142944012338,0.5038164349343927,0.12578917287700456,0.16408413033531827,-0.008270650866857765,0.44742518146773463,-0.12693051698085406,0.17149199316426914,0.08434765586116119,-0.017445643230929942
