gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210109,2022-09-11T20:20:00,,2022,1,TB,DAL,AWAY,19,3,22,AT&T Stadium,,,,,,,,32:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003137,33,9,,16,1,,,,,,,,,,,,,,
202210222,2022-09-18T13:00:00,1.0,2022,2,TB,NO,AWAY,20,10,30,Caesars Superdome,6.0,6.0,7.0,0.0,0.0,32.0,42.0,29:42,18.0,9.0,9.0,0.0,62.0,347.0,5.6,1.0,33.0,152.0,4.6,0.0,27.0,18.0,195.0,1.0,1.0,7.2,10.8,66.7,84.65,14.0,5.0,35.7,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,25.0,0.0,0.0,2.0,17.0,8.0,7.0,3.0,152.0,50.7,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,18.0,30:18,12.0,4.0,8.0,0.0,64.0,244.0,3.8,0.0,18.0,71.0,3.9,0.0,42.0,21.0,173.0,0.0,1.0,4.1,8.2,50.0,50.99,15.0,3.0,20.0,5.0,2.0,40.0,0.0,0.0,0.0,0.0,10.0,73.0,0.0,0.0,4.0,25.0,4.0,6.0,5.0,254.0,50.8,1.0,1.0,0.0,33.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,14.0,4.0,25.0,6.0,0.0,0.0,40.0,24.0,2.0,17.0,3.0,0.0,0.0,Sunday,993003151,33,22,18020.0,10,1,0.0,0.357,0.0,,,,,,,,,19.0,3.0,1.0
202210333,2022-09-25T16:25:00,1.0,2022,3,TB,GB,HOME,12,14,26,Raymond James Stadium,0.0,0.0,3.0,17.0,0.0,29.0,42.0,26:35,13.0,1.0,8.0,4.0,65.0,260.0,4.0,2.0,30.0,72.0,2.4,0.0,34.0,18.0,188.0,1.0,0.0,5.5,10.4,52.9,79.04,17.0,5.0,29.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,101.0,1.0,1.0,1.0,2.0,9.0,3.0,6.0,229.0,38.2,1.0,5.0,4.0,3.0,0.0,0.0,7.0,0.0,30.0,18.0,33:25,18.0,6.0,9.0,3.0,66.0,308.0,4.7,1.0,20.0,100.0,5.0,0.0,40.0,25.0,208.0,1.0,3.0,5.2,8.3,62.5,52.92,13.0,4.0,30.8,1.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,60.0,4.0,2.0,6.0,28.0,3.0,3.0,5.0,218.0,43.6,5.0,1.0,-4.0,0.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,27.0,6.0,28.0,6.0,3.0,2.0,30.0,32.0,1.0,2.0,6.0,0.0,1.0,Sunday,993003196,33,12,18023.0,-2,0,4.0,0.294,0.0,,,,,,,,,39.0,13.0,2.0
202210433,2022-10-02T20:20:00,1.0,2022,4,TB,KC,HOME,31,41,72,Raymond James Stadium,3.0,0.0,3.0,6.0,0.0,26.0,35.0,21:22,19.0,1.0,15.0,3.0,59.0,285.0,4.8,1.0,14.0,34.0,2.4,0.0,42.0,31.0,251.0,1.0,0.0,6.0,8.1,73.8,96.43,11.0,2.0,18.2,1.0,1.0,100.0,1.0,1.0,0.0,0.0,6.0,40.0,3.0,2.0,3.0,20.0,6.0,5.0,6.0,297.0,49.5,2.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,33.0,25.0,38:38,14.0,3.0,11.0,0.0,61.0,315.0,5.2,2.0,25.0,67.0,2.7,0.0,35.0,27.0,248.0,2.0,1.0,7.1,9.2,77.1,103.04,15.0,6.0,40.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,65.0,2.0,1.0,1.0,7.0,4.0,5.0,7.0,339.0,48.4,2.0,2.0,0.0,100.0,0.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,19.0,1.0,7.0,1.0,2.0,1.0,34.0,15.0,3.0,20.0,3.0,2.0,2.0,Sunday,993003234,33,16,18034.0,-10,0,0.0,0.182,0.0,17.0,9.0,8.0,297.3333333333333,289.0,1.333,0.278,,51.0,27.0,2.0
202210533,2022-10-09T13:00:00,1.0,2022,5,TB,ATL,HOME,21,15,36,Raymond James Stadium,3.0,14.0,7.0,7.0,0.0,21.0,22.0,29:26,27.0,2.0,23.0,2.0,59.0,376.0,6.4,4.0,6.0,3.0,0.5,1.0,52.0,39.0,373.0,3.0,0.0,7.2,9.6,75.0,113.7,10.0,6.0,60.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,40.0,2.0,2.0,1.0,12.0,6.0,5.0,3.0,125.0,41.7,2.0,1.0,-1.0,14.0,14.0,10.0,3.0,0.0,38.0,38.0,30:34,27.0,8.0,17.0,2.0,77.0,417.0,5.4,5.0,37.0,189.0,5.1,2.0,37.0,23.0,228.0,3.0,1.0,6.2,9.9,62.2,95.33,17.0,12.0,70.6,1.0,0.0,0.0,6.0,5.0,0.0,0.0,4.0,32.0,0.0,0.0,3.0,21.0,5.0,2.0,1.0,43.0,43.0,1.0,2.0,1.0,100.0,0.0,83.3,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,45.0,29.0,3.0,21.0,4.0,0.0,0.0,36.0,14.0,1.0,12.0,4.0,2.0,2.0,Sunday,993003256,33,2,18005.0,6,1,-1.0,0.6,0.0,21.0,21.7,-0.7,307.0,346.6666666666667,1.0,0.359,,82.0,68.0,2.0
202210628,2022-10-16T13:00:00,1.0,2022,6,TB,PIT,AWAY,18,20,38,Acrisure Stadium,0.0,13.0,8.0,0.0,0.0,29.0,26.0,30:01,26.0,7.0,17.0,2.0,75.0,420.0,5.6,2.0,23.0,69.0,3.0,1.0,52.0,35.0,351.0,1.0,0.0,6.8,10.0,67.3,92.71,16.0,9.0,56.2,1.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,45.0,0.0,0.0,0.0,0.0,10.0,8.0,4.0,197.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0,34.0,29:59,19.0,10.0,7.0,2.0,61.0,261.0,4.3,2.0,31.0,151.0,4.9,1.0,25.0,14.0,110.0,1.0,0.0,4.4,7.9,56.0,80.42,14.0,6.0,42.9,1.0,1.0,100.0,2.0,2.0,0.0,0.0,6.0,55.0,1.0,0.0,5.0,37.0,4.0,2.0,6.0,290.0,48.3,0.0,0.0,0.0,40.0,0.0,100.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,42.0,19.0,5.0,37.0,2.0,1.0,0.0,45.0,21.0,0.0,0.0,3.0,0.0,0.0,Sunday,993003285,33,28,18171.0,-2,0,0.0,0.562,0.0,21.3,23.3,-2.0,360.3333333333333,331.0,-0.333,0.448,0.6,103.0,83.0,3.0
202210705,2022-10-23T13:00:00,1.0,2022,7,TB,CAR,AWAY,3,21,24,Bank of America Stadium,3.0,6.0,3.0,6.0,0.0,30.0,1.0,30:36,20.0,7.0,11.0,2.0,68.0,304.0,4.5,1.0,26.0,75.0,2.9,0.0,40.0,25.0,229.0,1.0,0.0,5.7,9.2,62.5,86.35,14.0,4.0,28.6,2.0,2.0,100.0,4.0,1.0,0.0,0.0,6.0,42.0,1.0,0.0,2.0,14.0,2.0,6.0,5.0,230.0,46.0,0.0,0.0,0.0,7.0,3.0,3.0,7.0,0.0,29.0,59.0,29:24,15.0,3.0,11.0,1.0,61.0,270.0,4.4,2.0,29.0,77.0,2.7,0.0,30.0,20.0,193.0,2.0,0.0,6.4,9.6,66.7,106.67,15.0,7.0,46.7,1.0,1.0,100.0,3.0,2.0,0.0,0.0,7.0,45.0,1.0,0.0,2.0,18.0,5.0,4.0,5.0,221.0,44.2,0.0,0.0,0.0,25.0,0.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,25.0,2.0,18.0,3.0,0.0,0.0,49.0,20.0,2.0,14.0,4.0,1.0,0.0,Sunday,993003309,33,5,18187.0,-18,0,0.0,0.286,0.0,23.3,25.3,-2.0,366.6666666666667,316.0,-0.333,0.483,0.4,121.0,103.0,3.0
202210833,2022-10-27T20:15:00,1.0,2022,8,TB,BAL,HOME,22,27,49,Raymond James Stadium,0.0,0.0,0.0,3.0,0.0,30.0,36.0,21:37,17.0,3.0,14.0,0.0,66.0,322.0,4.9,0.0,16.0,46.0,2.9,0.0,49.0,32.0,276.0,0.0,0.0,5.6,8.6,65.3,79.97,12.0,2.0,16.7,3.0,1.0,33.3,1.0,0.0,0.0,0.0,4.0,30.0,1.0,0.0,1.0,14.0,3.0,5.0,6.0,279.0,46.5,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,29.0,24.0,38:23,14.0,5.0,8.0,1.0,50.0,343.0,6.9,3.0,27.0,173.0,6.4,1.0,22.0,16.0,170.0,2.0,0.0,7.7,10.6,72.7,125.19,12.0,4.0,33.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,1.0,7.0,3.0,3.0,7.0,360.0,51.4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,1.0,7.0,1.0,0.0,0.0,42.0,19.0,1.0,14.0,1.0,0.0,0.0,Thursday,993003326,33,3,18040.0,-5,0,0.0,0.167,0.0,14.0,18.7,-4.7,348.6666666666667,291.3333333333333,0.0,0.338,0.2,124.0,124.0,3.0
202210933,2022-11-06T16:25:00,1.0,2022,9,TB,LAR,HOME,16,13,29,Raymond James Stadium,10.0,0.0,0.0,12.0,0.0,21.0,37.0,31:16,20.0,4.0,13.0,3.0,62.0,349.0,5.6,2.0,15.0,44.0,2.9,1.0,44.0,26.0,305.0,1.0,0.0,6.9,11.7,59.1,87.78,13.0,4.0,30.8,1.0,1.0,100.0,5.0,2.0,0.0,0.0,4.0,35.0,1.0,1.0,3.0,20.0,3.0,7.0,5.0,267.0,53.4,1.0,0.0,-1.0,3.0,0.0,14.0,10.0,0.0,38.0,23.0,28:44,27.0,11.0,15.0,1.0,74.0,453.0,6.1,3.0,33.0,231.0,7.0,1.0,38.0,27.0,222.0,2.0,0.0,5.8,8.2,71.1,103.18,13.0,6.0,46.2,1.0,0.0,0.0,6.0,3.0,0.0,0.0,7.0,101.0,0.0,0.0,3.0,16.0,6.0,5.0,4.0,210.0,52.5,0.0,1.0,1.0,40.0,0.0,50.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,52.0,24.0,3.0,16.0,3.0,0.0,0.0,36.0,13.0,3.0,20.0,7.0,0.0,1.0,Sunday,993003376,33,32,18119.0,3,1,-1.0,0.308,0.0,14.3,22.7,-8.3,325.0,355.3333333333333,-0.333,0.253,0.2,146.0,151.0,3.0
202211033,2022-11-13T09:30:00,1.0,2022,10,TB,SEA,HOME,21,16,37,Allianz Arena,3.0,3.0,0.0,10.0,0.0,31.0,16.0,36:55,18.0,1.0,15.0,2.0,79.0,323.0,4.1,1.0,20.0,51.0,2.6,0.0,58.0,36.0,272.0,1.0,0.0,4.7,7.6,62.1,79.09,21.0,9.0,42.9,2.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,55.0,0.0,0.0,1.0,8.0,8.0,8.0,6.0,357.0,59.5,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,28.0,44.0,23:05,9.0,3.0,6.0,0.0,55.0,206.0,3.7,1.0,24.0,68.0,2.8,0.0,27.0,13.0,138.0,1.0,0.0,5.1,10.6,48.1,75.85,15.0,4.0,26.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,53.0,3.0,0.0,4.0,27.0,3.0,5.0,9.0,477.0,53.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,18.0,4.0,27.0,2.0,0.0,0.0,43.0,30.0,1.0,8.0,7.0,0.0,0.0,Sunday,993003384,33,30,18143.0,5,1,0.0,0.429,0.0,13.7,20.3,-6.7,331.3333333333333,334.0,-0.333,0.301,0.4,162.0,164.0,4.0
