gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210134,2022-09-11T16:25:00,,2022,1,TEN,NYG,HOME,20,21,41,Nissan Stadium,,,,,,,,31:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003136,34,23,,-1,0,,,,,,,,,,,,,,
202210204,2022-09-19T19:15:00,1.0,2022,2,TEN,BUF,AWAY,7,41,48,Highmark Stadium,7.0,6.0,7.0,0.0,0.0,31.0,6.0,28:26,19.0,2.0,13.0,4.0,60.0,359.0,6.0,2.0,26.0,93.0,3.6,0.0,33.0,20.0,266.0,2.0,0.0,8.1,13.3,60.6,106.38,11.0,3.0,27.3,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,50.0,2.0,1.0,1.0,0.0,8.0,6.0,6.0,342.0,57.0,1.0,2.0,1.0,0.0,0.0,13.0,8.0,0.0,28.0,54.0,31:34,19.0,11.0,7.0,1.0,58.0,394.0,6.8,3.0,32.0,238.0,7.4,1.0,21.0,17.0,156.0,2.0,1.0,7.4,9.2,81.0,109.52,10.0,2.0,20.0,1.0,1.0,100.0,3.0,2.0,0.0,0.0,8.0,45.0,2.0,1.0,5.0,32.0,5.0,3.0,6.0,309.0,51.5,2.0,1.0,-1.0,66.7,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,46.0,20.0,5.0,32.0,2.0,2.0,1.0,41.0,17.0,1.0,0.0,2.0,0.0,1.0,Monday,993003169,34,4,18016.0,-34,0,1.0,0.273,0.0,,,,,,,,,20.0,21.0,0.0
202210334,2022-09-25T13:00:00,1.0,2022,3,TEN,LV,HOME,24,22,46,Nissan Stadium,7.0,0.0,0.0,0.0,0.0,28.0,26.0,29:15,12.0,5.0,6.0,1.0,53.0,187.0,3.5,1.0,27.0,80.0,3.0,1.0,24.0,12.0,107.0,0.0,2.0,4.5,8.9,50.0,27.6,12.0,4.0,33.3,1.0,1.0,100.0,1.0,1.0,0.0,0.0,9.0,87.0,3.0,2.0,2.0,16.0,3.0,2.0,6.0,333.0,55.5,4.0,0.0,-4.0,7.0,10.0,24.0,0.0,0.0,31.0,34.0,30:45,23.0,6.0,13.0,4.0,65.0,414.0,6.4,5.0,24.0,101.0,4.2,0.0,40.0,26.0,313.0,4.0,0.0,7.8,12.0,65.0,122.19,13.0,5.0,38.5,3.0,2.0,66.7,5.0,3.0,0.0,0.0,8.0,49.0,0.0,0.0,1.0,4.0,3.0,8.0,3.0,145.0,48.3,0.0,4.0,4.0,100.0,0.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,11.0,1.0,4.0,4.0,0.0,1.0,36.0,11.0,2.0,16.0,7.0,0.0,2.0,Sunday,993003184,34,25,18001.0,2,1,-4.0,0.333,0.0,,,,,,,,,27.0,62.0,0.0
202210414,2022-10-02T13:00:00,1.0,2022,4,TEN,IND,AWAY,24,17,41,Lucas Oil Stadium,7.0,17.0,0.0,0.0,0.0,29.0,15.0,26:03,19.0,6.0,13.0,0.0,55.0,361.0,6.6,3.0,27.0,109.0,4.0,2.0,27.0,19.0,252.0,1.0,1.0,9.3,13.3,70.4,96.53,10.0,5.0,50.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,85.0,1.0,0.0,1.0,12.0,5.0,4.0,3.0,181.0,60.3,1.0,1.0,0.0,3.0,7.0,3.0,9.0,0.0,30.0,45.0,33:57,24.0,7.0,14.0,3.0,65.0,396.0,6.1,2.0,19.0,96.0,5.1,0.0,45.0,27.0,300.0,2.0,1.0,6.7,11.1,60.0,85.42,12.0,1.0,8.3,3.0,3.0,100.0,6.0,2.0,0.0,0.0,6.0,44.0,2.0,0.0,1.0,7.0,5.0,2.0,3.0,144.0,48.0,1.0,1.0,0.0,100.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,37.0,22.0,1.0,7.0,6.0,1.0,0.0,38.0,18.0,1.0,12.0,5.0,1.0,0.0,Sunday,993003213,34,14,18051.0,7,1,0.0,0.5,0.0,17.0,28.0,-11.0,302.3333333333333,401.3333333333333,-1.0,0.369,,51.0,84.0,1.0
202210535,2022-10-09T13:00:00,1.0,2022,5,TEN,WAS,AWAY,21,17,38,FedEx Field,14.0,10.0,0.0,0.0,0.0,26.0,3.0,32:40,19.0,6.0,9.0,4.0,52.0,243.0,4.7,3.0,28.0,127.0,4.5,1.0,21.0,17.0,116.0,2.0,0.0,5.5,6.8,81.0,121.43,12.0,5.0,41.7,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,40.0,0.0,0.0,3.0,21.0,5.0,5.0,4.0,211.0,52.8,0.0,3.0,3.0,0.0,10.0,7.0,0.0,0.0,33.0,57.0,27:20,21.0,3.0,17.0,1.0,63.0,365.0,5.8,2.0,23.0,38.0,1.7,0.0,37.0,27.0,327.0,2.0,1.0,8.8,12.1,73.0,106.48,13.0,7.0,53.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,50.0,3.0,2.0,3.0,29.0,5.0,3.0,2.0,67.0,33.5,3.0,0.0,-3.0,100.0,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,27.0,3.0,29.0,3.0,3.0,2.0,33.0,23.0,3.0,21.0,0.0,0.0,0.0,Sunday,993003257,34,35,18265.0,4,1,3.0,0.417,0.0,18.3,26.7,-8.3,263.6666666666667,391.6666666666667,-0.333,0.417,,75.0,101.0,2.0
202210734,2022-10-23T13:00:00,1.0,2022,7,TEN,IND,HOME,19,10,29,Nissan Stadium,7.0,7.0,7.0,0.0,0.0,32.0,40.0,31:33,15.0,7.0,6.0,2.0,62.0,241.0,3.9,3.0,32.0,105.0,3.3,2.0,25.0,15.0,136.0,1.0,0.0,5.4,9.1,60.0,88.08,14.0,4.0,28.6,1.0,1.0,100.0,3.0,3.0,0.0,0.0,8.0,69.0,0.0,0.0,5.0,45.0,7.0,1.0,8.0,416.0,52.0,0.0,1.0,1.0,3.0,7.0,7.0,0.0,0.0,27.0,20.0,28:27,17.0,4.0,11.0,2.0,58.0,385.0,6.6,2.0,17.0,43.0,2.5,0.0,38.0,25.0,342.0,2.0,1.0,9.0,13.7,65.8,100.99,11.0,1.0,9.1,2.0,1.0,50.0,1.0,0.0,0.0,0.0,9.0,71.0,3.0,0.0,3.0,17.0,13.0,7.0,6.0,247.0,41.2,1.0,0.0,-1.0,100.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,21.0,3.0,17.0,6.0,0.0,0.0,38.0,24.0,5.0,45.0,1.0,0.0,0.0,Sunday,993003312,34,14,18172.0,9,1,1.0,0.286,0.0,23.0,18.7,4.3,281.6666666666667,382.0,1.333,0.401,0.6,96.0,118.0,3.0
202210813,2022-10-30T16:05:00,1.0,2022,8,TEN,HOU,AWAY,17,10,27,NRG Stadium,3.0,10.0,0.0,6.0,0.0,31.0,33.0,34:48,16.0,8.0,6.0,2.0,57.0,254.0,4.5,1.0,35.0,138.0,3.9,0.0,20.0,13.0,116.0,0.0,0.0,5.8,8.9,65.0,80.42,12.0,5.0,41.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,1.0,1.0,2.0,16.0,10.0,5.0,3.0,164.0,54.7,1.0,3.0,2.0,0.0,0.0,7.0,3.0,0.0,28.0,27.0,25:12,17.0,5.0,12.0,0.0,64.0,292.0,4.6,1.0,17.0,65.0,3.8,0.0,44.0,33.0,227.0,1.0,2.0,5.2,6.9,75.0,74.72,13.0,4.0,30.8,1.0,1.0,100.0,1.0,1.0,0.0,0.0,4.0,28.0,1.0,1.0,3.0,16.0,7.0,6.0,5.0,176.0,35.2,3.0,1.0,-2.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,24.0,3.0,16.0,5.0,1.0,1.0,41.0,23.0,2.0,16.0,3.0,0.0,1.0,Sunday,993003343,34,13,18038.0,7,1,2.0,0.417,0.0,21.3,14.7,6.7,246.0,347.3333333333333,2.0,0.373,0.8,115.0,128.0,4.0
202210916,2022-11-06T20:20:00,1.0,2022,9,TEN,KC,AWAY,17,20,37,Arrowhead Stadium,0.0,7.0,7.0,3.0,0.0,34.0,48.0,26:23,16.0,13.0,3.0,0.0,58.0,354.0,6.1,2.0,45.0,314.0,7.0,2.0,10.0,6.0,40.0,0.0,1.0,4.0,6.7,60.0,29.17,12.0,4.0,33.3,1.0,1.0,100.0,2.0,1.0,0.0,0.0,6.0,35.0,1.0,1.0,3.0,15.0,6.0,8.0,5.0,242.0,48.4,2.0,1.0,-1.0,0.0,3.0,0.0,7.0,0.0,25.0,12.0,41:28,10.0,4.0,5.0,1.0,51.0,161.0,3.2,1.0,18.0,43.0,2.4,0.0,30.0,17.0,118.0,1.0,1.0,3.9,6.9,56.7,62.92,14.0,2.0,14.3,2.0,2.0,100.0,2.0,1.0,0.0,0.0,6.0,45.0,0.0,0.0,3.0,34.0,4.0,5.0,8.0,374.0,46.8,1.0,2.0,1.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,13.0,3.0,34.0,2.0,0.0,0.0,45.0,22.0,3.0,15.0,1.0,1.0,1.0,Sunday,993003377,34,16,18127.0,-3,0,-1.0,0.333,0.0,19.0,12.3,6.7,283.0,279.3333333333333,0.667,0.345,1.0,132.0,138.0,5.0
202211034,2022-11-13T13:00:00,1.0,2022,10,TEN,DEN,HOME,17,10,27,Nissan Stadium,0.0,14.0,3.0,0.0,0.0,26.0,23.0,26:03,9.0,6.0,3.0,0.0,48.0,229.0,4.8,2.0,29.0,172.0,5.9,2.0,16.0,5.0,57.0,0.0,0.0,3.6,11.4,31.2,42.97,11.0,1.0,9.1,1.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,51.0,0.0,0.0,3.0,23.0,9.0,4.0,8.0,390.0,48.8,0.0,1.0,1.0,3.0,6.0,0.0,8.0,3.0,41.0,28.0,33:57,29.0,5.0,23.0,1.0,91.0,499.0,5.5,2.0,19.0,77.0,4.1,1.0,68.0,43.0,422.0,1.0,1.0,6.2,9.8,63.2,79.41,19.0,8.0,42.1,2.0,2.0,100.0,4.0,2.0,0.0,0.0,10.0,69.0,0.0,0.0,4.0,24.0,4.0,4.0,6.0,283.0,47.2,1.0,0.0,-1.0,100.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,55.0,32.0,4.0,24.0,4.0,0.0,0.0,25.0,25.0,3.0,23.0,4.0,0.0,0.0,Sunday,993003398,34,10,18144.0,7,1,1.0,0.091,0.0,17.7,13.3,4.3,279.0,317.3333333333333,0.667,0.28,0.8,149.0,158.0,5.0
202211112,2022-11-17T20:15:00,1.0,2022,11,TEN,GB,AWAY,27,17,44,Lambeau Field,0.0,7.0,7.0,3.0,0.0,26.0,3.0,32:28,14.0,2.0,11.0,1.0,60.0,307.0,5.1,2.0,23.0,63.0,2.7,0.0,36.0,19.0,244.0,2.0,0.0,6.8,12.8,52.8,92.82,16.0,6.0,37.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,60.0,2.0,1.0,1.0,11.0,18.0,9.0,8.0,432.0,54.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,33.0,57.0,27:32,18.0,5.0,10.0,3.0,73.0,313.0,4.3,1.0,25.0,65.0,2.6,0.0,42.0,21.0,248.0,1.0,1.0,5.9,11.8,50.0,66.37,17.0,4.0,23.5,3.0,2.0,66.7,0.0,0.0,0.0,0.0,8.0,50.0,3.0,0.0,6.0,38.0,4.0,2.0,9.0,411.0,45.7,1.0,1.0,0.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,25.0,6.0,38.0,7.0,1.0,0.0,33.0,26.0,1.0,11.0,8.0,1.0,1.0,Thursday,993003409,34,12,18066.0,10,1,0.0,0.375,0.0,17.0,13.3,3.7,296.6666666666667,324.3333333333333,0.0,0.266,0.8,166.0,168.0,6.0
