gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210135.0,2022-09-11T13:00:00,1,2022,1,WAS,JAX,HOME,28.0,22.0,50.0,FedEx Field,7.0,7.0,0.0,14.0,0.0,,,32:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,9.0,10.0,0.0,,,27:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003116,35,15,,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210211.0,2022-09-18T13:00:00,1,2022,2,WAS,DET,AWAY,27.0,36.0,63.0,Ford Field,0.0,0.0,15.0,12.0,0.0,32.0,57.0,32:03,26.0,7.0,16.0,3.0,70.0,390.0,5.6,4.0,28.0,85.0,3.0,0.0,41.0,27.0,305.0,4.0,2.0,7.4,11.3,65.9,100.15,10.0,7.0,70.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,63.0,1.0,1.0,1.0,8.0,10.0,3.0,3.0,147.0,49.0,3.0,1.0,-2.0,12.0,10.0,7.0,7.0,0.0,27.0,3.0,27:57,24.0,6.0,13.0,5.0,62.0,383.0,6.2,2.0,18.0,123.0,6.8,1.0,42.0,24.0,260.0,1.0,1.0,6.2,10.8,57.1,73.51,12.0,3.0,25.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,13.0,90.0,1.0,0.0,2.0,15.0,4.0,5.0,3.0,150.0,50.0,1.0,3.0,2.0,100.0,0.0,40.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,38.0,11.0,2.0,15.0,5.0,1.0,0.0,42.0,15.0,1.0,8.0,6.0,1.0,1.0,Sunday,993003147,35,11,18013.0,-9.0,0,-2.0,0.7,0.0,0.0706931720709357,0.4021739130434782,0.2322417714844653,-0.2582029648606708,0.0402484950982794,0.4588235294117647,0.0571403606500441,0.0701861580892,28.0,22.0,6.0,390.0,383.0,-2.0,0.7,1.0,28.0,22.0,1.0,0.0706931720709357,0.4021739130434782,0.2322417714844653,-0.2582029648606708,0.0402484950982794,0.4588235294117647,0.0571403606500441,0.0701861580892,0.0706931720709357,0.0402484950982794
202210335.0,2022-09-25T13:00:00,1,2022,3,WAS,PHI,HOME,8.0,24.0,32.0,FedEx Field,0.0,0.0,0.0,8.0,0.0,32.0,3.0,32:54,21.0,6.0,15.0,0.0,72.0,396.0,5.5,4.0,21.0,88.0,4.2,1.0,46.0,30.0,308.0,3.0,1.0,6.7,10.3,65.2,97.01,15.0,7.0,46.7,2.0,1.0,50.0,3.0,3.0,0.0,0.0,2.0,17.0,1.0,0.0,5.0,29.0,10.0,3.0,6.0,284.0,47.3,1.0,0.0,-1.0,0.0,24.0,0.0,0.0,0.0,27.0,57.0,27:06,17.0,5.0,12.0,0.0,61.0,425.0,7.0,4.0,24.0,191.0,8.0,0.0,34.0,20.0,234.0,4.0,0.0,6.9,11.7,58.8,119.0,13.0,4.0,30.8,2.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,22.0,11.0,5.0,5.0,277.0,55.4,0.0,1.0,1.0,100.0,0.0,66.7,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0,20.0,3.0,22.0,5.0,0.0,0.0,45.0,23.0,5.0,29.0,2.0,1.0,0.0,Sunday,993003178,35,26,18242.0,-16.0,0,-1.0,0.467,0.0,-0.013319545553677,0.3736263736263736,0.094872688835978,-0.0775342690513321,0.0886557328544848,0.4125,0.032987381680208,0.1038560863362105,27.5,29.0,-1.5,393.0,404.0,-1.5,0.583,0.5,55.0,58.0,1.0,0.02868681325862935,0.3879001433349259,0.16355723016022164,-0.16786861695600144,0.0644521139763821,0.43566176470588236,0.04506387116512605,0.08702112221270525,0.02868681325862935,0.0644521139763821
202210409.0,2022-10-02T13:00:00,1,2022,4,WAS,DAL,AWAY,10.0,25.0,35.0,AT&T Stadium,0.0,7.0,3.0,0.0,0.0,32.0,54.0,33:06,20.0,5.0,11.0,4.0,74.0,240.0,3.2,1.0,22.0,87.0,4.0,1.0,43.0,25.0,153.0,0.0,0.0,3.6,6.1,58.1,65.36,17.0,6.0,35.3,2.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,48.0,2.0,1.0,9.0,58.0,6.0,7.0,8.0,420.0,52.5,1.0,0.0,-1.0,3.0,9.0,3.0,10.0,0.0,27.0,6.0,26:54,21.0,3.0,16.0,2.0,68.0,400.0,5.9,3.0,30.0,72.0,2.4,0.0,35.0,22.0,328.0,3.0,0.0,9.4,14.9,62.9,122.08,15.0,5.0,33.3,3.0,2.0,66.7,4.0,2.0,0.0,0.0,5.0,52.0,1.0,0.0,3.0,12.0,17.0,8.0,6.0,277.0,46.2,0.0,1.0,1.0,33.3,0.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,17.0,3.0,12.0,7.0,0.0,0.0,47.0,20.0,9.0,58.0,4.0,2.0,1.0,Sunday,993003217,35,9,18055.0,-15.0,0,-1.0,0.353,0.0,-0.1600859008199693,0.4042553191489361,-0.3121248809402437,-0.1612730950490866,0.0666319214879707,0.4216867469879518,0.4239104330365744,-0.5230491508974228,21.0,27.3,-6.3,342.0,402.6666666666667,-1.333,0.507,0.333,63.0,82.0,1.0,-0.0342374247675702,0.39335186860626264,0.004996526460066523,-0.1656701096536965,0.06517871648024497,0.43100342546657217,0.17134605845560882,-0.11633563549067076,-0.0342374247675702,0.06517871648024497
202210535.0,2022-10-09T13:00:00,1,2022,5,WAS,TEN,HOME,17.0,21.0,38.0,FedEx Field,3.0,7.0,7.0,0.0,0.0,33.0,6.0,27:20,17.0,6.0,10.0,1.0,71.0,297.0,4.2,1.0,27.0,142.0,5.3,0.0,42.0,25.0,155.0,1.0,2.0,3.7,6.2,59.5,55.16,15.0,5.0,33.3,2.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0,136.0,1.0,0.0,2.0,15.0,4.0,7.0,6.0,270.0,45.0,2.0,0.0,-2.0,7.0,7.0,7.0,0.0,0.0,26.0,54.0,32:40,15.0,2.0,9.0,4.0,57.0,279.0,4.9,2.0,29.0,62.0,2.1,0.0,27.0,15.0,217.0,2.0,0.0,8.0,14.5,55.6,106.56,15.0,5.0,33.3,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,20.0,0.0,0.0,1.0,6.0,11.0,6.0,6.0,256.0,42.7,0.0,2.0,2.0,33.3,0.0,33.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,31.0,25.0,1.0,6.0,4.0,0.0,0.0,46.0,16.0,2.0,15.0,4.0,1.0,0.0,Sunday,993003258,35,34,18263.0,-4.0,0,-2.0,0.333,0.0,-0.2181558968208858,0.3118279569892473,-0.3751608118282027,-0.0939051214933256,-0.0335815120857946,0.3875,0.2726032775614667,-0.414792121107374,15.0,28.3,-13.3,311.0,368.0,-1.333,0.384,0.25,73.0,107.0,1.0,-0.1305204477315107,0.36323654992151894,-0.19747100131082282,-0.11090416186458142,0.04056871408555363,0.40722891566265057,0.24316703075941634,-0.27799506188952877,-0.0802170427808991,0.04048865933873508
202210606.0,2022-10-13T20:15:00,1,2022,6,WAS,CHI,AWAY,12.0,7.0,19.0,Soldier Field,0.0,3.0,0.0,9.0,0.0,27.0,20.0,27:48,17.0,4.0,11.0,2.0,58.0,385.0,6.6,2.0,17.0,43.0,2.5,0.0,38.0,25.0,342.0,2.0,1.0,9.0,13.7,65.8,100.99,11.0,1.0,9.1,2.0,1.0,50.0,1.0,0.0,0.0,0.0,9.0,71.0,3.0,0.0,3.0,17.0,13.0,7.0,6.0,247.0,41.2,1.0,0.0,-1.0,0.0,0.0,7.0,0.0,0.0,32.0,40.0,32:12,15.0,7.0,6.0,2.0,62.0,241.0,3.9,3.0,32.0,105.0,3.3,2.0,25.0,15.0,136.0,1.0,0.0,5.4,9.1,60.0,88.08,14.0,4.0,28.6,1.0,1.0,100.0,3.0,3.0,0.0,0.0,8.0,69.0,0.0,0.0,5.0,45.0,7.0,1.0,8.0,416.0,52.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,5.0,45.0,1.0,0.0,0.0,33.0,21.0,3.0,17.0,6.0,0.0,0.0,Thursday,993003269,35,6,18172.0,5.0,1,-1.0,0.091,0.0,-0.0517706780916208,0.3625,0.0514350984124169,-0.3188033836191694,0.0084499371097228,0.4285714285714285,-0.0590590292413253,0.0233927857395516,11.7,23.3,-11.7,307.3333333333333,306.6666666666667,-1.333,0.259,0.2,90.0,128.0,1.0,-0.14333749191082532,0.35952775871272785,-0.21195019811867652,-0.19132720005386053,0.013833448837299632,0.4125860585197934,0.21248489378557192,-0.30481616208841505,-0.07452776984304343,0.03408091489293262
202210735.0,2022-10-23T13:00:00,1,2022,7,WAS,GB,HOME,23.0,21.0,44.0,FedEx Field,3.0,7.0,10.0,3.0,0.0,27.0,48.0,37:07,14.0,7.0,5.0,2.0,53.0,214.0,4.0,1.0,28.0,128.0,4.6,1.0,22.0,12.0,86.0,0.0,0.0,3.9,7.2,54.5,63.83,11.0,2.0,18.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,36.0,1.0,0.0,3.0,13.0,12.0,4.0,6.0,307.0,51.2,0.0,2.0,2.0,7.0,7.0,0.0,7.0,0.0,32.0,12.0,22:53,20.0,9.0,9.0,2.0,69.0,392.0,5.7,1.0,37.0,238.0,6.4,0.0,27.0,14.0,154.0,1.0,1.0,5.7,11.0,51.9,65.97,13.0,5.0,38.5,4.0,1.0,25.0,3.0,0.0,0.0,0.0,4.0,42.0,2.0,1.0,5.0,36.0,3.0,3.0,4.0,185.0,46.2,2.0,0.0,-2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,22.0,5.0,36.0,5.0,1.0,1.0,37.0,21.0,3.0,13.0,4.0,1.0,0.0,Sunday,993003302,35,12,18179.0,2.0,1,2.0,0.182,0.0,-0.0095074406783354,0.4305555555555556,-0.2131831766957822,0.0774301782327804,-0.102433298812589,0.4024390243902439,-0.1805013664325491,0.0504085955779171,13.0,17.7,-4.7,298.6666666666667,304.0,-0.333,0.202,0.2,102.0,135.0,2.0,-0.09314467186361401,0.368294504181601,-0.17896963003718935,-0.1117594422932382,-0.04252162459622027,0.40617015098722414,0.011014293962530758,-0.11366357992996841,-0.09056789239289767,0.005544556110758941
202210814.0,2022-10-30T16:25:00,1,2022,8,WAS,IND,AWAY,17.0,16.0,33.0,Lucas Oil Stadium,0.0,7.0,0.0,10.0,0.0,37.0,7.0,30:40,22.0,8.0,11.0,3.0,72.0,364.0,5.1,2.0,38.0,166.0,4.4,0.0,33.0,20.0,198.0,2.0,1.0,6.0,9.9,60.6,85.16,16.0,7.0,43.8,0.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,54.0,0.0,0.0,1.0,3.0,1.0,3.0,4.0,192.0,48.0,1.0,1.0,0.0,0.0,3.0,3.0,10.0,0.0,22.0,53.0,29:20,16.0,2.0,10.0,4.0,47.0,232.0,4.9,3.0,12.0,38.0,3.2,0.0,35.0,23.0,194.0,2.0,0.0,5.5,8.4,65.7,98.99,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,69.0,3.0,1.0,0.0,0.0,9.0,6.0,5.0,208.0,41.6,1.0,1.0,0.0,25.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,0.0,0.0,3.0,0.0,1.0,37.0,45.0,1.0,3.0,6.0,0.0,0.0,Sunday,993003345,35,14,18039.0,1.0,1,0.0,0.438,0.0,-0.0175708189925093,0.3956043956043956,-0.0057434097511015,-0.0618949522077423,-0.0578046549221554,0.3714285714285714,0.0044674621371086,-0.1770111127631166,17.3,16.3,1.0,321.0,288.3333333333333,0.333,0.237,0.4,125.0,156.0,3.0,-0.026282979254155167,0.39621998371998374,-0.055830496011488935,-0.10108938586471043,-0.050596005541673865,0.4008130081300813,-0.07836431117892194,-0.03440324381521595,-0.09141814708066412,-0.023747521444569097
202210935.0,2022-11-06T13:00:00,1,2022,9,WAS,MIN,HOME,17.0,20.0,37.0,FedEx Field,0.0,3.0,7.0,7.0,0.0,30.0,40.0,30:47,20.0,7.0,13.0,0.0,61.0,362.0,5.9,2.0,28.0,96.0,3.4,1.0,31.0,23.0,266.0,1.0,1.0,8.6,11.6,74.2,96.98,12.0,2.0,16.7,3.0,2.0,66.7,3.0,2.0,0.0,0.0,3.0,52.0,0.0,0.0,2.0,13.0,7.0,5.0,6.0,294.0,49.0,1.0,2.0,1.0,7.0,0.0,0.0,13.0,0.0,29.0,20.0,29:13,15.0,5.0,8.0,2.0,54.0,324.0,6.0,1.0,29.0,135.0,4.7,1.0,23.0,17.0,189.0,0.0,0.0,8.2,11.1,73.9,97.92,12.0,5.0,41.7,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,25.0,2.0,2.0,2.0,12.0,8.0,5.0,4.0,227.0,56.8,2.0,1.0,-1.0,66.7,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,41.0,16.0,2.0,12.0,2.0,1.0,2.0,40.0,28.0,2.0,13.0,4.0,0.0,0.0,Sunday,993003364,35,20,18128.0,-3.0,0,1.0,0.167,0.0,-0.0614496738578421,0.4533333333333333,0.0401923915277565,-0.2414206323307513,-0.0631170818985602,0.410958904109589,0.0164779270830142,-0.2660781151414251,17.3,14.7,2.7,313.3333333333333,316.0,1.0,0.262,0.6,142.0,172.0,4.0,-0.02950931117622893,0.4264977614977615,-0.059578064973042404,-0.07529513543523773,-0.07445167854443487,0.3949421666428014,-0.05318532573747544,-0.13089354410887485,-0.07169090168823868,-0.04969732212187528
202211026.0,2022-11-14T20:15:00,1,2022,10,WAS,PHI,AWAY,32.0,21.0,53.0,Lincoln Financial Field,7.0,13.0,3.0,9.0,0.0,30.0,47.0,40:24,18.0,6.0,9.0,3.0,61.0,263.0,4.3,2.0,30.0,137.0,4.6,0.0,28.0,15.0,126.0,2.0,1.0,4.5,8.4,53.6,74.4,10.0,3.0,30.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,26.0,0.0,0.0,3.0,23.0,11.0,13.0,5.0,240.0,48.0,1.0,1.0,0.0,14.0,0.0,0.0,7.0,0.0,29.0,13.0,19:36,17.0,3.0,12.0,2.0,65.0,301.0,4.6,2.0,22.0,56.0,2.5,0.0,41.0,23.0,245.0,2.0,1.0,6.0,10.7,56.1,79.83,16.0,7.0,43.8,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,42.0,0.0,0.0,2.0,17.0,7.0,6.0,6.0,310.0,51.7,1.0,1.0,0.0,100.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,21.0,2.0,17.0,7.0,0.0,0.0,40.0,19.0,3.0,23.0,7.0,0.0,0.0,Monday,993003407,35,26,18140.0,11.0,1,0.0,0.3,0.0,-0.053298078912434,0.4102564102564102,-0.2423136706556421,0.076178751820967,0.0069038450675275,0.3975903614457831,0.0515418951776921,-0.2675424584444669,19.0,19.0,0.0,329.6666666666667,285.6666666666667,0.333,0.301,0.6,159.0,192.0,4.0,-0.044106190587595136,0.4197313797313797,-0.06928822962632904,-0.07571227757250887,-0.03800596391772937,0.3933259456613145,0.02416242813260497,-0.23687722878300285,-0.03871933810654832,-0.04160025069121086
