gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310135.0,2023-09-10T13:00:00,1,2023,1,ARI,WAS,AWAY,16.0,20.0,36.0,FedEx Field,3.0,10.0,3.0,0.0,0.0,,,28:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,0.0,10.0,0.0,,,31:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003779,1,35,,-4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310201.0,2023-09-17T16:05:00,1,2023,2,ARI,NYG,HOME,28.0,31.0,59.0,State Farm Stadium,7.0,13.0,8.0,0.0,0.0,28.0,36.0,30:37,13.0,4.0,9.0,0.0,58.0,210.0,3.6,1.0,25.0,96.0,3.8,0.0,30.0,21.0,114.0,0.0,0.0,3.8,5.4,70.0,76.25,14.0,4.0,28.6,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,122.0,3.0,2.0,3.0,18.0,6.0,6.0,5.0,235.0,47.0,2.0,3.0,1.0,0.0,0.0,14.0,17.0,0.0,31.0,24.0,29:23,21.0,7.0,10.0,4.0,65.0,248.0,3.8,2.0,28.0,92.0,3.3,1.0,31.0,19.0,156.0,1.0,1.0,5.0,8.2,61.3,71.44,12.0,4.0,33.3,0.0,0.0,0.0,5.0,2.0,0.0,0.0,8.0,70.0,2.0,2.0,6.0,46.0,6.0,11.0,6.0,266.0,44.3,3.0,2.0,-1.0,0.0,0.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,26.0,6.0,46.0,7.0,2.0,2.0,40.0,24.0,3.0,18.0,3.0,1.0,2.0,Sunday,993003828,1,23,18492.0,-3.0,0,1.0,0.286,0.0,-0.250086814999354,0.3289473684210526,-0.2814401072907314,-0.4471718241041525,-0.199550190197195,0.3707865168539326,-0.1625539727977904,-0.3260361268106512,16.0,20.0,-4.0,210.0,248.0,1.0,0.286,0.0,16.0,20.0,0.0,-0.250086814999354,0.3289473684210526,-0.2814401072907314,-0.4471718241041525,-0.199550190197195,0.3707865168539326,-0.1625539727977904,-0.3260361268106512,-0.250086814999354,-0.199550190197195
202310301.0,2023-09-24T16:25:00,1,2023,3,ARI,DAL,HOME,28.0,16.0,44.0,State Farm Stadium,9.0,12.0,0.0,7.0,0.0,30.0,37.0,25:27,24.0,10.0,11.0,3.0,60.0,379.0,6.3,3.0,29.0,151.0,5.2,2.0,31.0,21.0,228.0,1.0,0.0,7.4,10.9,67.7,99.93,10.0,4.0,40.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,57.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,146.0,48.7,0.0,1.0,1.0,3.0,7.0,3.0,3.0,0.0,29.0,23.0,34:33,26.0,10.0,15.0,1.0,67.0,439.0,6.6,4.0,27.0,127.0,4.7,2.0,37.0,26.0,312.0,2.0,1.0,8.4,12.0,70.3,102.53,12.0,7.0,58.3,1.0,1.0,100.0,5.0,4.0,0.0,0.0,9.0,75.0,0.0,0.0,3.0,9.0,6.0,7.0,3.0,111.0,37.0,1.0,0.0,-1.0,66.7,0.0,80.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,46.0,15.0,3.0,9.0,7.0,0.0,0.0,44.0,14.0,0.0,0.0,2.0,0.0,0.0,Sunday,993003864,1,9,18566.0,12.0,1,1.0,0.4,0.0,0.0892356953814882,0.4069767441860465,0.3201689920312395,0.0369475760864023,0.1437653642928595,0.4941176470588235,0.2195137257816816,0.160645446711088,22.0,25.5,-3.5,294.5,343.5,1.0,0.343,0.0,44.0,51.0,0.0,-0.08042555980893289,0.36796205630354956,0.01936444237025406,-0.2051121240088751,-0.027892412952167753,0.4324520819563781,0.028479876491945597,-0.0826953400497816,-0.08042555980893289,-0.027892412952167753
202310431.0,2023-10-01T16:25:00,1,2023,4,ARI,SF,AWAY,16.0,35.0,51.0,Levi's Stadium,0.0,10.0,6.0,0.0,0.0,25.0,27.0,30:46,20.0,8.0,8.0,4.0,53.0,400.0,7.5,3.0,30.0,222.0,7.4,2.0,21.0,17.0,178.0,1.0,0.0,8.5,10.5,81.0,117.86,10.0,5.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,69.0,0.0,0.0,2.0,11.0,4.0,5.0,2.0,94.0,47.0,0.0,1.0,1.0,7.0,14.0,0.0,14.0,0.0,34.0,33.0,29:14,26.0,12.0,11.0,3.0,75.0,416.0,5.5,1.0,33.0,185.0,5.6,0.0,40.0,25.0,231.0,1.0,1.0,5.8,9.2,62.5,76.15,16.0,9.0,56.2,1.0,0.0,0.0,5.0,1.0,0.0,0.0,13.0,107.0,0.0,0.0,2.0,18.0,4.0,6.0,2.0,102.0,51.0,1.0,0.0,-1.0,100.0,0.0,20.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,51.0,23.0,2.0,18.0,9.0,0.0,0.0,34.0,26.0,2.0,11.0,1.0,0.0,0.0,Sunday,993003899,1,31,18466.0,-19.0,0,1.0,0.5,0.0,0.2145167202636664,0.5064935064935064,0.1660222680910503,0.2750195859456046,0.0509131100477469,0.4583333333333333,-0.0346930225174364,0.2020550913537942,24.0,22.3,1.7,329.6666666666667,367.6666666666667,1.0,0.395,0.333,72.0,67.0,1.0,0.017888533548600205,0.4141392063668685,0.06825038427718615,-0.0450682206907152,-0.0016239052855295348,0.4410791657486965,0.007422243488818263,0.012221470418077002,0.017888533548600205,-0.0016239052855295348
202310501.0,2023-10-08T16:05:00,1,2023,5,ARI,CIN,HOME,20.0,34.0,54.0,State Farm Stadium,0.0,14.0,6.0,0.0,0.0,30.0,46.0,21:50,23.0,7.0,13.0,3.0,67.0,362.0,5.4,2.0,25.0,105.0,4.2,0.0,41.0,28.0,257.0,2.0,0.0,6.3,9.2,68.3,101.37,15.0,8.0,53.3,3.0,2.0,66.7,3.0,2.0,0.0,0.0,9.0,55.0,1.0,0.0,1.0,8.0,1.0,3.0,3.0,117.0,39.0,0.0,0.0,0.0,10.0,7.0,7.0,10.0,0.0,29.0,14.0,38:10,30.0,10.0,17.0,3.0,53.0,395.0,7.5,5.0,31.0,124.0,4.0,4.0,21.0,20.0,271.0,1.0,0.0,12.9,13.6,95.2,134.62,5.0,3.0,60.0,1.0,1.0,100.0,5.0,5.0,0.0,0.0,4.0,21.0,0.0,0.0,1.0,12.0,7.0,3.0,1.0,45.0,45.0,0.0,0.0,0.0,66.7,0.0,100.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,1.0,12.0,0.0,0.0,0.0,45.0,18.0,1.0,8.0,0.0,0.0,0.0,Sunday,993003922,1,7,18512.0,-14.0,0,0.0,0.533,0.0,0.0780037215029012,0.4418604651162791,0.1831937651639253,0.0535003757553539,0.4071253474353026,0.6029411764705882,1.037811264547296,0.0922706575114841,24.0,27.3,-3.3,380.3333333333333,416.6666666666667,0.667,0.478,0.25,88.0,102.0,1.0,0.12725204571601859,0.4517769052652773,0.22312834176207172,0.12182251259578693,0.200601273925303,0.5184640522875816,0.4075439892705138,0.1516570651921221,0.03291733053717545,0.10056340789467849
202310632.0,2023-10-15T16:25:00,1,2023,6,ARI,LAR,AWAY,9.0,26.0,35.0,SoFi Stadium,3.0,6.0,0.0,0.0,0.0,21.0,50.0,30:30,15.0,5.0,10.0,0.0,57.0,294.0,5.2,3.0,22.0,142.0,6.5,1.0,32.0,15.0,152.0,2.0,2.0,4.8,10.1,46.9,55.73,11.0,4.0,36.4,3.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,16.0,1.0,1.0,3.0,14.0,4.0,9.0,4.0,219.0,54.8,3.0,1.0,-2.0,3.0,3.0,10.0,10.0,0.0,38.0,10.0,29:30,27.0,7.0,19.0,1.0,79.0,380.0,4.8,4.0,30.0,93.0,3.1,0.0,46.0,36.0,287.0,3.0,1.0,6.2,8.0,78.3,105.34,14.0,5.0,35.7,3.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,40.0,1.0,0.0,3.0,30.0,8.0,3.0,3.0,145.0,48.3,1.0,3.0,2.0,66.7,0.0,40.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,60.0,26.0,3.0,30.0,1.0,1.0,0.0,29.0,20.0,3.0,14.0,8.0,1.0,1.0,Sunday,993003955,1,32,18354.0,-17.0,0,-2.0,0.364,0.0,-0.2797637454643004,0.3055555555555556,-0.447186678757758,-0.0524063091804484,-0.0071683207604685,0.5051546391752577,0.191024080436877,-0.3770842179344201,21.3,28.3,-7.0,352.0,397.0,-0.333,0.466,0.2,108.0,136.0,1.0,0.004252232100755722,0.41796984238844703,-0.03265688183426082,0.09203788417350338,0.15029004557419365,0.5221430496597264,0.3980474408222456,-0.027586156356380582,-0.029618884663119717,0.0790170621636491
202310730.0,2023-10-22T16:05:00,1,2023,7,ARI,SEA,AWAY,10.0,20.0,30.0,Lumen Field,3.0,7.0,0.0,0.0,0.0,30.0,30.0,29:28,20.0,6.0,12.0,2.0,73.0,345.0,4.7,0.0,30.0,130.0,4.3,0.0,41.0,21.0,215.0,0.0,1.0,5.2,10.2,51.2,56.45,16.0,6.0,37.5,4.0,2.0,50.0,3.0,0.0,0.0,0.0,5.0,36.0,1.0,1.0,2.0,20.0,3.0,5.0,3.0,134.0,44.7,2.0,1.0,-1.0,7.0,7.0,3.0,3.0,0.0,29.0,30.0,30:32,17.0,9.0,7.0,1.0,55.0,382.0,6.9,2.0,28.0,179.0,6.4,1.0,24.0,15.0,203.0,1.0,0.0,8.5,13.5,62.5,103.3,12.0,4.0,33.3,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,59.0,1.0,1.0,3.0,23.0,9.0,6.0,4.0,186.0,46.5,1.0,2.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,36.0,22.0,3.0,23.0,0.0,1.0,1.0,44.0,21.0,2.0,20.0,6.0,1.0,1.0,Sunday,993003979,1,30,18368.0,-10.0,0,-1.0,0.375,0.0,-0.1524587669744661,0.3548387096774194,-0.2581884495424986,-0.2922022110585904,0.0559359982273987,0.4583333333333333,0.1192870081546058,0.0965786785101365,15.0,31.7,-16.7,333.6666666666667,385.6666666666667,-1.0,0.424,0.2,117.0,162.0,1.0,-0.1180729303119551,0.3674182434497513,-0.17406045437877712,-0.0970360481612283,0.15196434163407757,0.5221430496597265,0.4493741177129263,-0.06274496063759981,-0.010093275058142137,0.13011429984856784
202310801.0,2023-10-29T16:25:00,1,2023,8,ARI,BAL,HOME,24.0,31.0,55.0,State Farm Stadium,7.0,0.0,0.0,17.0,0.0,29.0,28.0,30:21,15.0,6.0,7.0,2.0,63.0,249.0,4.0,1.0,25.0,127.0,5.1,1.0,34.0,20.0,122.0,0.0,0.0,3.6,6.1,58.8,66.05,15.0,5.0,33.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,59.0,2.0,0.0,4.0,28.0,3.0,5.0,5.0,240.0,48.0,0.0,3.0,3.0,7.0,7.0,7.0,10.0,0.0,30.0,32.0,29:39,18.0,6.0,11.0,1.0,58.0,318.0,5.5,2.0,32.0,115.0,3.6,0.0,24.0,18.0,203.0,2.0,1.0,8.5,11.3,75.0,110.24,13.0,7.0,53.8,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,32.0,2.0,2.0,2.0,16.0,8.0,7.0,3.0,143.0,47.7,3.0,0.0,-3.0,0.0,0.0,33.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,38.0,23.0,2.0,16.0,3.0,1.0,2.0,45.0,18.0,4.0,28.0,8.0,1.0,0.0,Sunday,993004014,1,3,18523.0,-7.0,0,3.0,0.333,0.0,-0.147434180319276,0.3373493975903614,-0.3384963540389306,-0.0053372809561551,-0.0047256347733814,0.4647887323943662,0.3636501087534258,-0.3503436229035163,13.0,26.7,-13.7,296.0,360.0,0.0,0.357,0.2,127.0,182.0,1.0,-0.19321889758601415,0.33258122094111214,-0.3479571607797291,-0.11664860039839796,0.014680680897849581,0.4760922349676524,0.22465373244830286,-0.21028305410926662,-0.05742725019829498,0.10041610003531964
202310908.0,2023-11-05T13:00:00,1,2023,9,ARI,CLE,AWAY,0.0,27.0,27.0,Cleveland Browns Stadium,0.0,0.0,0.0,0.0,0.0,30.0,21.0,23:35,22.0,7.0,12.0,3.0,71.0,310.0,4.4,3.0,32.0,129.0,4.0,1.0,37.0,25.0,181.0,2.0,2.0,4.9,7.2,67.6,74.27,12.0,5.0,41.7,2.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,70.0,1.0,0.0,2.0,27.0,6.0,5.0,4.0,207.0,51.8,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,27.0,29.0,39.0,36:25,21.0,9.0,8.0,4.0,60.0,268.0,4.5,4.0,29.0,130.0,4.5,3.0,27.0,18.0,138.0,1.0,0.0,5.1,7.7,66.7,91.28,11.0,4.0,36.4,0.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,45.0,1.0,0.0,4.0,19.0,7.0,6.0,5.0,242.0,48.4,0.0,2.0,2.0,100.0,0.0,100.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,19.0,4.0,19.0,5.0,1.0,0.0,51.0,17.0,2.0,27.0,4.0,1.0,0.0,Sunday,993004029,1,8,18584.0,-27.0,0,-2.0,0.417,0.0,-0.0984931945080085,0.4456521739130434,-0.1162135823711127,-0.1603199315446038,0.021260243744275,0.4878048780487805,-0.0356507646521352,0.2737168748011485,14.3,25.7,-11.3,301.3333333333333,322.6666666666667,0.0,0.375,0.0,151.0,213.0,1.0,-0.13279538060058352,0.3792800937269414,-0.237632795317514,-0.15261980785311643,0.024156869066097413,0.47030898125882664,0.14909545075196545,0.006650643469256257,-0.12002923315262996,0.09448552677462527
202311001.0,2023-11-12T16:05:00,1,2023,10,ARI,ATL,HOME,25.0,23.0,48.0,State Farm Stadium,3.0,9.0,10.0,3.0,0.0,23.0,35.0,28:18,7.0,3.0,3.0,1.0,48.0,58.0,1.2,0.0,21.0,41.0,2.0,0.0,20.0,11.0,17.0,0.0,2.0,0.8,1.5,55.0,20.83,12.0,1.0,8.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,1.0,1.0,7.0,41.0,5.0,7.0,9.0,460.0,51.1,3.0,0.0,-3.0,0.0,14.0,3.0,6.0,0.0,36.0,25.0,31:42,17.0,7.0,9.0,1.0,71.0,326.0,4.6,3.0,40.0,113.0,2.8,1.0,30.0,19.0,213.0,2.0,0.0,7.1,11.2,63.3,106.67,17.0,6.0,35.3,2.0,1.0,50.0,4.0,3.0,0.0,0.0,6.0,65.0,0.0,0.0,1.0,6.0,10.0,10.0,7.0,410.0,58.6,0.0,3.0,3.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,47.0,35.0,1.0,6.0,1.0,0.0,0.0,38.0,12.0,7.0,41.0,8.0,1.0,1.0,Sunday,993004066,1,2,18374.0,2.0,1,-3.0,0.083,0.0,-0.5443214186390779,0.2388059701492537,-1.0087580525021835,-0.2828073192333035,-0.0620340508180739,0.348314606741573,0.0835451951960117,-0.224373329636905,11.3,26.0,-14.7,205.66666666666666,304.0,-0.667,0.278,0.0,151.0,240.0,1.0,-0.26341626448878747,0.3406025138842195,-0.4878226629707423,-0.14948817724468746,-0.015166480615726785,0.4336360723949066,0.13718151309910076,-0.10033335924642424,-0.24449426118102577,0.0006536471239499686
