gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310102,2023-09-10T13:00:00,1,2023,1,ATL,CAR,HOME,24,10,34,Mercedes-Benz Stadium,0,7,3,14,0,25,19,25:19,13,7,6,0,48,221,4.6,3,26,130,5.0,2,18,15,91,1,0,5.1,6.1,83.3,106.25,10,2,20.0,0,0,0.0,3,3,0,0,6,43,1,0,4,24,8,4,7,337,48.1,0,3,3,0,7,3,0,0,34,41,34:41,20,9,9,2,72,281,3.9,1,32,154,4.8,0,38,20,127,1,2,3.3,6.4,52.6,46.71,14,5,35.7,2,0,0.0,2,1,0,0,9,66,2,1,2,19,5,6,5,266,53.2,3,0,-3,100.0,0,50.0,0,3,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,37,40,2,19,4,1,1,38,19,4,24,0,1,0,Sunday,993003782,2,5,18486,14,1,3,0.2,0,,,,,,,,,,,,1.0
202310202,2023-09-17T13:00:00,1,2023,2,ATL,GB,HOME,25,24,49,Mercedes-Benz Stadium,3,6,3,13,0,36,15,36:15,27,15,10,2,78,446,5.7,2,45,211,4.7,1,32,19,235,1,1,7.3,12.4,59.4,79.56,15,6,40.0,4,3,75.0,5,2,0,0,6,110,0,0,1,2,3,2,1,45,45.0,1,0,-1,0,10,14,0,0,23,45,23:45,17,4,10,3,47,224,4.8,3,21,84,4.0,0,25,14,140,3,0,5.6,10.0,56.0,111.67,9,3,33.3,1,0,0.0,3,2,0,0,7,40,0,0,1,11,6,2,4,199,49.8,0,1,1,40.0,0,66.7,0,2,1,0,0,0,0,0,4,4,3,3,0,0,0,0,0,1,1,29,12,1,11,5,0,0,48,39,1,2,4,0,0,Sunday,993003820,2,12,18557,1,1,-1,0.4,0,,,,,,,,,24.0,10.0,1.0,-14.0
202310311,2023-09-24T13:00:00,1,2023,3,ATL,DET,AWAY,6,20,26,Ford Field,0,3,0,3,0,27,3,27:03,16,3,9,4,65,183,2.8,0,20,44,2.2,0,38,21,139,0,0,3.7,6.6,55.3,63.38,14,4,28.6,1,0,0.0,1,0,0,0,4,24,1,1,7,62,9,4,6,295,49.2,1,1,0,3,10,0,7,0,32,57,32:57,18,5,11,2,64,358,5.6,2,31,115,3.7,1,33,22,243,1,1,7.4,11.0,66.7,85.8,14,4,28.6,0,0,0.0,4,1,0,0,10,119,0,0,0,0,8,11,6,274,45.7,1,1,0,0.0,0,25.0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,2,2,35,38,0,0,4,0,0,45,19,7,62,7,1,1,Sunday,993003843,2,11,18456,-14,0,0,0.286,0,,,,,,,,,49.0,34.0,2.0,-16.0
202310415,2023-10-01T09:30:00,1,2023,4,ATL,JAX,AWAY,7,23,30,Wembley Stadium,0,0,7,0,0,27,9,27:09,17,6,11,0,57,287,5.0,1,22,127,5.8,0,31,19,160,1,2,5.2,8.4,61.3,58.53,12,6,50.0,1,0,0.0,2,1,0,0,3,50,1,1,4,31,7,3,5,271,54.2,3,0,-3,7,10,0,6,0,32,51,32:51,16,4,11,1,64,300,4.7,2,32,105,3.3,0,30,23,195,1,0,6.5,8.5,76.7,104.17,14,5,35.7,2,1,50.0,1,0,0,0,3,25,2,0,2,12,7,6,3,160,53.3,0,3,3,50.0,0,0.0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,3,40,36,2,12,0,2,0,40,11,4,31,9,1,1,Sunday,993003875,2,15,18332,-16,0,-3,0.5,0,18.3,18.0,0.3,283.3333333333333,287.6666666666667,0.667,0.295,,55.0,54.0,2.0,2.0
202310502,2023-10-08T13:00:00,1,2023,5,ATL,HOU,HOME,21,19,40,Mercedes-Benz Stadium,7,0,0,14,0,35,32,35:32,26,8,18,0,74,447,6.0,2,36,96,2.7,1,38,29,351,1,0,9.2,12.1,76.3,112.94,14,7,50.0,0,0,0.0,4,2,0,0,7,55,3,2,0,0,2,4,5,200,40.0,2,0,-2,3,6,3,7,0,24,28,24:28,17,3,13,1,58,313,5.4,1,23,64,2.8,0,35,20,249,1,0,7.1,12.4,57.1,88.87,13,4,30.8,0,0,0.0,3,1,0,0,5,25,0,0,0,0,4,7,6,234,39.0,0,2,2,50.0,0,33.3,0,1,1,0,2,1,0,0,2,2,1,1,0,0,0,0,0,4,4,36,16,0,0,5,0,0,54,29,0,0,3,2,2,Sunday,993003916,2,13,18347,2,1,-2,0.5,0,12.7,22.3,-9.7,305.3333333333333,294.0,-1.333,0.395,,62.0,77.0,2.0,-8.0
202310602,2023-10-15T13:00:00,1,2023,6,ATL,WAS,HOME,16,24,40,Mercedes-Benz Stadium,7,3,0,6,0,36,23,36:23,25,5,18,2,79,402,5.1,2,29,106,3.7,0,47,28,296,2,3,6.3,10.6,59.6,65.56,15,5,33.3,3,1,33.3,3,2,0,0,4,31,0,0,3,11,10,4,3,140,46.7,3,0,-3,3,14,7,0,0,23,37,23:37,13,3,9,1,50,193,3.9,3,22,72,3.3,0,23,14,121,3,0,5.3,8.6,60.9,114.31,10,2,20.0,1,1,100.0,3,2,0,0,6,40,0,0,5,30,6,2,6,260,43.3,0,3,3,66.7,0,66.7,0,1,1,0,1,0,0,0,1,1,3,3,0,0,0,0,0,1,1,29,20,5,30,2,0,0,51,26,3,11,9,0,0,Sunday,993003946,2,35,18359,-8,0,-3,0.333,0,11.3,20.7,-9.3,305.6666666666667,323.6666666666667,-1.667,0.429,0.6,83.0,96.0,3.0,3.0
202310733,2023-10-22T13:00:00,1,2023,7,ATL,TB,AWAY,16,13,29,Raymond James Stadium,7,3,3,3,0,29,59,29:59,20,10,9,1,64,401,6.3,1,38,156,4.1,1,25,19,245,0,0,9.8,12.9,76.0,106.25,13,7,53.8,0,0,0.0,5,1,0,0,9,60,3,3,1,5,6,5,3,134,44.7,3,2,-1,7,3,0,3,0,30,1,30:01,21,2,13,6,65,329,5.1,1,20,73,3.6,0,42,27,256,1,1,6.1,9.5,64.3,79.07,12,6,50.0,1,0,0.0,2,0,0,0,9,66,2,1,3,19,1,2,3,144,48.0,2,3,1,20.0,0,0.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,2,2,39,27,3,19,7,2,1,48,28,1,5,3,2,2,Sunday,993003965,2,33,18520,3,1,-1,0.538,0,14.7,22.0,-7.3,378.6666666666667,268.6666666666667,-2.667,0.444,0.4,99.0,120.0,3.0,-5.0
202310834,2023-10-29T13:00:00,1,2023,8,ATL,TEN,AWAY,23,28,51,Nissan Stadium,3,0,6,14,0,27,1,27:01,17,4,12,1,66,342,5.2,2,26,140,5.4,1,34,20,202,1,0,5.9,10.1,58.8,85.66,15,4,26.7,2,1,50.0,3,2,0,0,3,15,1,1,6,44,11,4,6,305,50.8,1,1,0,7,7,7,7,0,32,59,32:59,17,9,7,1,67,375,5.6,4,36,149,4.1,0,29,19,226,4,0,7.8,11.9,65.5,128.74,15,5,33.3,1,1,100.0,1,1,0,0,6,53,1,1,2,12,9,7,8,420,52.5,1,1,0,66.7,0,100.0,0,2,2,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,42,24,2,12,2,0,1,42,24,6,44,4,1,1,Sunday,993003991,2,34,18575,-5,0,0,0.267,0,17.7,18.7,-1.0,416.6666666666667,278.3333333333333,-2.0,0.457,0.4,115.0,133.0,4.0,-3.0
202310902,2023-11-05T13:00:00,1,2023,9,ATL,MIN,HOME,28,31,59,Mercedes-Benz Stadium,0,0,0,0,28,28,28,28:28,18,6,12,0,67,370,5.5,2,28,110,3.9,1,38,21,260,1,1,6.8,12.4,55.3,74.45,18,10,55.6,0,0,0.0,2,1,0,0,8,62,1,1,1,8,4,9,4,175,43.8,2,2,0,0,0,0,0,31,31,32,31:32,23,8,13,2,73,363,5.0,3,33,146,4.4,1,36,25,217,2,0,6.0,8.7,69.4,103.59,16,7,43.8,1,1,100.0,6,3,0,0,1,4,3,2,4,19,3,6,3,133,44.3,2,2,0,50.0,0,50.0,0,2,2,0,0,0,0,0,4,4,2,2,0,2,1,0,0,3,3,50,31,4,19,6,2,2,43,24,1,8,4,1,1,Sunday,993004026,2,20,18373,-3,0,0,0.556,0,18.3,21.7,-3.3,381.6666666666667,299.0,-1.333,0.379,0.4,138.0,161.0,4.0,-2.0
202311001,2023-11-12T16:05:00,1,2023,10,ATL,ARI,AWAY,23,25,48,State Farm Stadium,0,14,3,6,0,31,42,31:42,20,11,5,4,65,254,3.9,3,41,184,4.5,2,21,12,70,1,0,3.3,5.8,57.1,79.46,14,7,50.0,2,1,50.0,4,3,0,0,4,43,0,0,3,24,2,2,4,203,50.8,0,1,1,3,9,10,3,0,28,18,28:18,20,8,11,1,60,352,5.9,2,26,122,4.7,2,32,19,230,0,1,7.2,12.1,59.4,68.49,11,3,27.3,1,1,100.0,4,2,0,0,11,112,0,0,2,19,5,4,3,156,52.0,1,0,-1,75.0,0,50.0,0,2,2,0,2,0,0,0,1,1,1,1,0,2,0,0,0,4,4,39,16,2,19,6,0,0,41,32,3,24,2,0,0,Sunday,993004065,2,1,18392,-2,0,1,0.5,0,22.3,24.0,-1.7,371.0,355.6666666666667,-0.333,0.454,0.4,166.0,192.0,4.0,9.0
