gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310102.0,2023-09-10T13:00:00,1,2023,1,CAR,ATL,AWAY,10.0,24.0,34.0,Mercedes-Benz Stadium,0.0,7.0,3.0,0.0,0.0,,,34:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,3.0,14.0,0.0,,,25:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003781,5,2,,-14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310205.0,2023-09-18T19:15:00,1,2023,2,CAR,NO,HOME,17.0,20.0,37.0,Bank of America Stadium,3.0,0.0,3.0,11.0,0.0,34.0,41.0,27:11,20.0,9.0,9.0,2.0,72.0,281.0,3.9,1.0,32.0,154.0,4.8,0.0,38.0,20.0,127.0,1.0,2.0,3.3,6.4,52.6,46.71,14.0,5.0,35.7,2.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,66.0,2.0,1.0,2.0,19.0,5.0,6.0,5.0,266.0,53.2,3.0,0.0,-3.0,3.0,3.0,7.0,7.0,0.0,25.0,19.0,32:49,13.0,7.0,6.0,0.0,48.0,221.0,4.6,3.0,26.0,130.0,5.0,2.0,18.0,15.0,91.0,1.0,0.0,5.1,6.1,83.3,106.25,10.0,2.0,20.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,43.0,1.0,0.0,4.0,24.0,8.0,4.0,7.0,337.0,48.1,0.0,3.0,3.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,19.0,4.0,24.0,0.0,1.0,0.0,37.0,40.0,2.0,19.0,4.0,1.0,1.0,Monday,993003838,5,22,18486.0,-3.0,0,-3.0,0.357,0.0,-0.2132978357177623,0.3736263736263736,-0.2339643543509785,-0.2953337398019709,-0.0644881308554415,0.4057971014492754,-0.2333084801030054,-0.051822554008084,10.0,24.0,-14.0,281.0,221.0,-3.0,0.357,0.0,10.0,24.0,0.0,-0.2132978357177623,0.3736263736263736,-0.2339643543509785,-0.2953337398019709,-0.0644881308554415,0.4057971014492754,-0.2333084801030054,-0.051822554008084,-0.2132978357177623,-0.0644881308554415
202310330.0,2023-09-24T16:05:00,1,2023,3,CAR,SEA,AWAY,27.0,37.0,64.0,Lumen Field,3.0,10.0,0.0,14.0,0.0,27.0,11.0,29:32,14.0,4.0,8.0,2.0,56.0,239.0,4.3,1.0,19.0,100.0,5.3,0.0,33.0,22.0,139.0,1.0,0.0,4.2,6.3,66.7,85.29,14.0,4.0,28.6,1.0,1.0,100.0,3.0,1.0,0.0,0.0,6.0,35.0,1.0,1.0,4.0,14.0,6.0,6.0,5.0,239.0,47.8,1.0,1.0,0.0,3.0,9.0,10.0,15.0,0.0,32.0,49.0,30:28,23.0,10.0,11.0,2.0,74.0,341.0,4.6,2.0,33.0,134.0,4.1,2.0,37.0,22.0,207.0,0.0,1.0,5.6,9.4,59.5,63.68,16.0,7.0,43.8,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,32.0,0.0,0.0,4.0,29.0,7.0,5.0,5.0,210.0,42.0,1.0,1.0,0.0,33.3,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,29.0,4.0,29.0,7.0,0.0,0.0,35.0,21.0,4.0,14.0,2.0,1.0,1.0,Sunday,993003861,5,30,18570.0,-10.0,0,0.0,0.286,0.0,-0.0511361278203305,0.4473684210526316,-0.1212973832758224,-0.0687233671617125,0.010311139836701,0.4623655913978494,0.0160045881894939,0.105323092039344,13.5,22.0,-8.5,260.0,281.0,-1.5,0.321,0.0,27.0,44.0,0.0,-0.1322169817690464,0.4104973973395026,-0.17763086881340046,-0.18202855348184172,-0.02708849550937025,0.4340813464235624,-0.10865194595675574,0.026750269015629997,-0.1322169817690464,-0.02708849550937025
202310405.0,2023-10-01T13:00:00,1,2023,4,CAR,MIN,HOME,13.0,21.0,34.0,Bank of America Stadium,7.0,6.0,0.0,0.0,0.0,29.0,32.0,38:29,23.0,3.0,17.0,3.0,75.0,378.0,5.0,3.0,14.0,44.0,3.1,1.0,58.0,34.0,334.0,2.0,0.0,5.8,9.8,58.6,86.42,19.0,10.0,52.6,1.0,0.0,0.0,2.0,2.0,0.0,0.0,13.0,82.0,0.0,0.0,3.0,27.0,8.0,6.0,5.0,246.0,49.2,0.0,1.0,1.0,0.0,7.0,14.0,0.0,0.0,30.0,28.0,21:31,27.0,10.0,14.0,3.0,71.0,425.0,6.0,3.0,33.0,146.0,4.4,2.0,36.0,23.0,279.0,1.0,1.0,7.8,12.1,63.9,85.3,13.0,3.0,23.1,1.0,1.0,100.0,6.0,3.0,0.0,0.0,8.0,82.0,0.0,0.0,2.0,17.0,10.0,4.0,2.0,93.0,46.5,1.0,0.0,-1.0,100.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,46.0,20.0,2.0,17.0,3.0,0.0,0.0,44.0,19.0,3.0,27.0,8.0,0.0,0.0,Sunday,993003878,5,20,18464.0,-8.0,0,1.0,0.526,0.0,0.0127023599264026,0.3703703703703703,0.1385922547161689,-0.1805456602417577,0.1651991303586694,0.532608695652174,0.1524070311465027,0.2224121329394014,18.0,27.0,-9.0,299.3333333333333,329.0,-0.667,0.39,0.0,54.0,81.0,0.0,-0.08391053453723007,0.39712172168312515,-0.07222316097021067,-0.18153425573514703,0.0370073797799763,0.4669237961664329,-0.021632286922336263,0.09197089032355381,-0.08391053453723007,0.0370073797799763
202310511.0,2023-10-08T13:00:00,1,2023,5,CAR,DET,AWAY,24.0,42.0,66.0,Ford Field,0.0,10.0,0.0,14.0,0.0,38.0,29.0,28:45,20.0,7.0,11.0,2.0,68.0,232.0,3.4,1.0,31.0,83.0,2.7,0.0,32.0,25.0,149.0,0.0,0.0,4.7,6.0,78.1,86.07,14.0,5.0,35.7,3.0,2.0,66.7,2.0,0.0,0.0,0.0,6.0,80.0,2.0,1.0,5.0,55.0,4.0,3.0,5.0,229.0,45.8,1.0,2.0,1.0,14.0,14.0,0.0,14.0,0.0,21.0,31.0,31:15,14.0,4.0,9.0,1.0,44.0,265.0,6.0,3.0,23.0,135.0,5.9,0.0,19.0,12.0,130.0,2.0,2.0,6.8,10.8,63.2,78.73,8.0,1.0,12.5,2.0,1.0,50.0,2.0,1.0,0.0,0.0,7.0,37.0,1.0,0.0,2.0,9.0,6.0,8.0,4.0,216.0,54.0,2.0,1.0,-1.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20.0,2.0,9.0,3.0,0.0,0.0,48.0,40.0,5.0,55.0,3.0,2.0,1.0,Sunday,993003911,5,11,18508.0,-18.0,0,1.0,0.357,0.0,-0.1836983537599342,0.3863636363636363,-0.2779189599659989,-0.1636595757365034,-0.0876920897890197,0.5,-0.4118200924107806,0.178054409977251,19.0,26.0,-7.0,283.0,343.6666666666667,0.667,0.39,0.0,67.0,102.0,0.0,-0.07404404055128737,0.4013674759288794,-0.08687469617521748,-0.13764286771332454,0.029272726802116903,0.4983247623500078,-0.08113615769159467,0.16859654498533214,-0.10885748934290611,0.0058325123877273
202310619.0,2023-10-15T13:00:00,1,2023,6,CAR,MIA,AWAY,21.0,42.0,63.0,Hard Rock Stadium,14.0,0.0,0.0,7.0,0.0,28.0,45.0,30:44,26.0,7.0,15.0,4.0,65.0,342.0,5.3,3.0,23.0,99.0,4.3,0.0,41.0,25.0,243.0,3.0,2.0,5.9,9.7,61.0,81.66,10.0,5.0,50.0,1.0,1.0,100.0,4.0,3.0,0.0,0.0,7.0,45.0,2.0,1.0,1.0,4.0,7.0,3.0,3.0,114.0,38.0,3.0,0.0,-3.0,0.0,21.0,7.0,14.0,0.0,31.0,15.0,29:16,23.0,11.0,11.0,1.0,60.0,377.0,6.3,6.0,30.0,159.0,5.3,3.0,28.0,20.0,218.0,3.0,0.0,7.8,10.9,71.4,129.76,10.0,4.0,40.0,2.0,1.0,50.0,4.0,4.0,0.0,0.0,5.0,35.0,0.0,0.0,2.0,18.0,6.0,2.0,2.0,88.0,44.0,0.0,3.0,3.0,75.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,31.0,2.0,18.0,0.0,0.0,1.0,40.0,17.0,1.0,4.0,3.0,2.0,1.0,Sunday,993003937,5,19,18348.0,-21.0,0,-3.0,0.5,0.0,-0.0605063575623258,0.4555555555555555,0.0802301441807185,-0.263971603498288,0.2030360676123067,0.5263157894736842,0.1923899364424869,0.3200248767777035,21.3,33.3,-12.0,317.3333333333333,355.6666666666667,-0.333,0.461,0.0,91.0,144.0,0.0,-0.07716745046528581,0.4040965207631874,-0.01969885368970385,-0.20272561315884965,0.09351436939398546,0.5196414950419527,-0.022341041607263662,0.2401638065647853,-0.09918726298679005,0.04527322343264318
202310805.0,2023-10-29T13:00:00,1,2023,8,CAR,HOU,HOME,15.0,13.0,28.0,Bank of America Stadium,0.0,6.0,6.0,3.0,0.0,30.0,44.0,30:29,21.0,6.0,13.0,2.0,68.0,296.0,4.4,3.0,25.0,108.0,4.3,1.0,39.0,24.0,188.0,1.0,0.0,4.8,7.8,61.5,82.0,14.0,5.0,35.7,4.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,11.0,1.0,0.0,4.0,36.0,1.0,6.0,4.0,189.0,47.2,0.0,1.0,1.0,0.0,7.0,6.0,0.0,0.0,29.0,16.0,29:31,23.0,8.0,14.0,1.0,65.0,424.0,6.5,6.0,33.0,162.0,4.9,3.0,32.0,21.0,262.0,3.0,1.0,8.2,12.5,65.6,109.11,13.0,7.0,53.8,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,25.0,1.0,0.0,0.0,0.0,9.0,4.0,4.0,194.0,48.5,1.0,0.0,-1.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,22.0,0.0,0.0,6.0,0.0,0.0,40.0,28.0,4.0,36.0,3.0,1.0,0.0,Sunday,993004002,5,13,18363.0,2.0,1,1.0,0.357,0.0,-0.107739930793193,0.388235294117647,-0.2911425991388673,0.1279721128754317,0.1660542608798776,0.4939759036144578,0.2318908837914932,0.1569121232727587,19.3,35.0,-15.7,290.0,355.3333333333333,-0.333,0.405,0.0,112.0,186.0,0.0,-0.117314880705151,0.41005149534561297,-0.16294380497471592,-0.0998863554531199,0.09379941290105487,0.5067638976960473,0.004153575941066495,0.21833047000923775,-0.07807568200187617,0.09138170177970699
202310905.0,2023-11-05T16:05:00,1,2023,9,CAR,IND,HOME,13.0,27.0,40.0,Bank of America Stadium,0.0,0.0,0.0,0.0,13.0,30.0,29.0,31:09,20.0,3.0,11.0,6.0,61.0,224.0,3.7,1.0,24.0,44.0,1.8,0.0,31.0,22.0,180.0,1.0,0.0,5.8,8.2,71.0,96.17,14.0,5.0,35.7,2.0,1.0,50.0,4.0,1.0,0.0,0.0,3.0,20.0,0.0,0.0,6.0,55.0,3.0,5.0,4.0,203.0,50.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,29.0,31.0,28:51,16.0,6.0,10.0,0.0,56.0,229.0,4.1,2.0,30.0,110.0,3.7,2.0,24.0,16.0,119.0,0.0,0.0,5.0,7.4,66.7,78.3,12.0,5.0,41.7,1.0,1.0,100.0,2.0,2.0,0.0,0.0,10.0,70.0,1.0,1.0,2.0,21.0,10.0,10.0,6.0,287.0,47.8,1.0,0.0,-1.0,25.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,30.0,2.0,21.0,4.0,1.0,1.0,42.0,27.0,6.0,55.0,3.0,0.0,0.0,Sunday,993004040,5,14,18581.0,-14.0,0,1.0,0.357,0.0,-0.0207760314325376,0.4146341463414634,0.0997212629236129,-0.4959558831107354,-0.043239996777953,0.3943661971830985,-0.1357969903584794,0.0441085071852912,20.0,32.3,-12.3,287.3333333333333,343.3333333333333,-0.333,0.405,0.2,127.0,199.0,1.0,-0.06300743992935214,0.4194749986715553,-0.037063730678178634,-0.21065179124453057,0.1086167772380771,0.47155263009041354,0.0961612766251669,0.17368183574525112,-0.0720036627243176,0.0806714744567762
202311006.0,2023-11-09T20:15:00,1,2023,10,CAR,CHI,AWAY,13.0,16.0,29.0,Soldier Field,7.0,3.0,0.0,3.0,0.0,31.0,9.0,26:29,17.0,10.0,7.0,0.0,71.0,275.0,3.9,1.0,28.0,138.0,4.9,0.0,39.0,24.0,137.0,1.0,3.0,3.5,5.7,61.5,44.5,16.0,7.0,43.8,3.0,2.0,66.7,2.0,1.0,0.0,0.0,10.0,81.0,1.0,0.0,4.0,36.0,4.0,4.0,4.0,174.0,43.5,3.0,1.0,-2.0,3.0,6.0,7.0,0.0,0.0,28.0,51.0,33:31,17.0,5.0,7.0,5.0,57.0,198.0,3.5,3.0,30.0,78.0,2.6,0.0,26.0,17.0,120.0,1.0,0.0,4.6,7.1,65.4,88.62,13.0,4.0,30.8,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,25.0,1.0,1.0,1.0,7.0,7.0,4.0,5.0,241.0,48.2,1.0,3.0,2.0,50.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,33.0,1.0,7.0,3.0,0.0,1.0,51.0,14.0,4.0,36.0,8.0,1.0,0.0,Thursday,993004049,5,6,18380.0,-3.0,0,-2.0,0.438,0.0,-0.1781571002592328,0.3707865168539326,-0.4375468850729277,-0.0085101912694011,-0.0018960560386203,0.4125,0.1581154434458169,-0.2824010557154766,16.3,27.3,-11.0,265.0,283.6666666666667,0.0,0.384,0.2,140.0,226.0,1.0,-0.10222435416165447,0.391218652437681,-0.2096560737627274,-0.12549798716823493,0.040306069354434766,0.43361403359918543,0.08473644562627691,-0.027126808419142223,-0.11017555476144467,0.04725243717731826
202311105.0,2023-11-19T13:00:00,1,2023,11,CAR,DAL,HOME,10.0,33.0,43.0,Bank of America Stadium,0.0,3.0,7.0,0.0,0.0,26.0,29.0,28:39,12.0,4.0,6.0,2.0,57.0,213.0,3.7,1.0,16.0,43.0,2.7,0.0,38.0,21.0,170.0,0.0,0.0,4.5,8.1,55.3,66.78,15.0,3.0,20.0,3.0,3.0,100.0,1.0,0.0,0.0,0.0,5.0,45.0,1.0,0.0,3.0,15.0,4.0,3.0,6.0,272.0,45.3,0.0,0.0,0.0,7.0,10.0,0.0,16.0,0.0,33.0,31.0,31:21,21.0,10.0,10.0,1.0,70.0,295.0,4.2,1.0,37.0,133.0,3.6,1.0,33.0,20.0,162.0,0.0,0.0,4.9,8.1,60.6,73.04,15.0,6.0,40.0,1.0,1.0,100.0,2.0,1.0,0.0,0.0,7.0,44.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,280.0,46.7,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,50.0,18.0,0.0,0.0,4.0,0.0,0.0,33.0,21.0,3.0,15.0,4.0,0.0,0.0,Sunday,993004080,5,9,18385.0,-23.0,0,0.0,0.2,0.0,-0.1421784850051397,0.3037974683544304,-0.0722884137567889,-0.4152253537232844,-0.1154442786462928,0.4204545454545454,-0.1034400778547069,-0.0626960446752491,13.7,18.7,-5.0,237.33333333333334,240.66666666666666,-0.333,0.332,0.2,153.0,242.0,1.0,-0.11370387223230334,0.3630727105166088,-0.13670467863536792,-0.30656380936780697,-0.0535267771542887,0.409106914212548,-0.027040541589123116,-0.10032953106847815,-0.10187158101048577,0.04170199940586363
