gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310123,2023-09-10T20:20:00,1,2023,1,DAL,NYG,AWAY,40,0,40,MetLife Stadium,16,10,7,7,0,26,32,26:32,18,7,8,3,55,265,4.8,5,30,122,4.1,3,25,13,143,0,0,5.7,11.0,52.0,69.25,13,6,46.2,2,1,50.0,4,3,0,0,5,35,1,0,0,0,12,10,3,146,48.7,0,3,3,0,0,0,0,0,33,28,33:28,14,6,5,3,65,171,2.6,0,28,108,3.9,0,30,17,63,0,2,2.1,3.7,56.7,34.03,16,5,31.2,5,3,60.0,2,0,0,0,6,72,5,1,7,47,3,2,3,160,53.3,3,0,-3,75.0,0,0.0,0,5,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,44,21,7,47,8,3,1,30,30,0,0,4,1,0,Sunday,993003805,9,23,18499,40,1,3,0.462,0,,,,,,,,,,,,20.0
202310209,2023-09-17T16:25:00,1,2023,2,DAL,NYJ,HOME,30,10,40,AT&T Stadium,7,11,6,6,0,42,15,42:15,26,8,16,2,83,382,4.6,2,44,134,3.0,0,38,31,248,2,0,6.5,8.0,81.6,111.4,18,9,50.0,0,0,0.0,6,2,0,0,6,38,1,0,1,7,5,5,3,155,51.7,0,4,4,0,10,0,0,0,17,45,17:45,12,4,6,2,46,215,4.7,1,16,64,4.0,0,27,12,151,1,3,5.6,12.6,44.4,35.19,10,1,10.0,1,1,100.0,1,0,0,0,5,29,1,1,3,19,4,7,5,241,48.2,4,0,-4,33.3,0,0.0,0,1,1,0,0,0,1,1,5,5,1,1,0,0,0,0,0,1,1,25,12,3,19,7,1,1,64,24,1,7,3,1,0,Sunday,993003832,9,24,18567,20,1,4,0.5,0,,,,,,,,,40.0,0.0,1.0,-12.0
202310301,2023-09-24T16:25:00,1,2023,3,DAL,ARI,AWAY,16,28,44,State Farm Stadium,3,7,3,3,0,34,33,34:33,26,12,11,3,75,416,5.5,1,33,185,5.6,0,40,25,231,1,1,5.8,9.2,62.5,76.15,16,9,56.2,1,0,0.0,5,1,0,0,13,107,0,0,2,18,4,6,2,102,51.0,1,0,-1,9,12,0,7,0,25,27,25:27,20,8,8,4,53,400,7.5,3,30,222,7.4,2,21,17,178,1,0,8.5,10.5,81.0,117.86,10,5,50.0,0,0,0.0,2,2,0,0,8,69,0,0,2,11,4,5,2,94,47.0,0,1,1,20.0,0,100.0,0,1,1,0,0,0,0,0,3,3,1,1,0,3,0,0,0,3,3,34,26,2,11,1,0,0,51,23,2,18,9,0,0,Sunday,993003863,9,1,18466,-12,0,-1,0.562,0,,,,,,,,,70.0,10.0,2.0,35.0
202310409,2023-10-01T16:25:00,1,2023,4,DAL,NE,HOME,38,3,41,AT&T Stadium,10,18,3,7,0,35,9,35:09,22,6,15,1,69,377,5.5,4,30,124,4.1,1,36,30,253,1,0,7.0,8.4,83.3,105.21,15,8,53.3,1,0,0.0,4,1,0,0,5,32,2,0,3,28,2,4,2,112,56.0,0,3,3,3,0,0,0,0,24,51,24:51,10,2,8,0,55,253,4.6,0,23,53,2.3,0,30,16,200,0,2,6.7,12.5,53.3,46.53,13,4,30.8,2,0,0.0,1,0,0,0,6,50,1,1,2,7,7,6,5,225,45.0,3,0,-3,25.0,0,0.0,0,3,3,0,2,1,0,0,3,3,0,0,0,0,0,0,0,2,1,35,18,2,7,5,1,1,49,25,3,28,2,2,0,Sunday,993003898,9,21,18511,35,1,3,0.533,0,28.7,12.7,16.0,354.3333333333333,262.0,2.0,0.508,,86.0,38.0,2.0,-32.0
202310531,2023-10-08T20:20:00,1,2023,5,DAL,SF,AWAY,10,42,52,Levi's Stadium,0,7,3,0,0,22,55,22:55,8,3,5,0,49,197,4.0,1,19,57,3.0,0,26,16,140,1,3,5.4,8.8,61.5,49.04,11,4,36.4,1,0,0.0,0,0,0,0,6,60,1,1,4,21,2,5,5,254,50.8,4,1,-3,7,14,7,14,0,37,5,37:05,25,10,12,3,67,421,6.3,6,41,170,4.1,2,25,18,251,4,0,10.0,13.9,72.0,143.5,11,6,54.5,1,0,0.0,5,4,0,0,6,45,1,1,1,2,9,6,4,187,46.8,1,4,3,0.0,0,80.0,0,1,1,0,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,45,36,1,2,5,1,1,31,17,4,21,6,1,1,Sunday,993003929,9,31,18342,-32,0,-3,0.364,0,28.0,13.7,14.3,391.6666666666667,289.3333333333333,2.0,0.532,,124.0,41.0,3.0,3.0
202310629,2023-10-16T20:15:00,1,2023,6,DAL,LAC,AWAY,20,17,37,SoFi Stadium,7,3,0,10,0,29,52,29:52,20,5,12,3,61,342,5.6,2,26,96,3.7,1,30,21,246,1,0,8.2,11.7,70.0,105.69,13,5,38.5,2,1,50.0,4,2,0,0,11,85,1,1,5,26,8,2,4,209,52.2,1,1,0,7,0,3,7,0,30,8,30:08,18,2,12,4,61,272,4.5,2,23,53,2.3,0,37,22,219,2,1,5.9,10.0,59.5,83.05,14,5,35.7,2,1,50.0,4,2,0,0,9,79,0,0,1,8,6,7,5,203,40.6,1,1,0,50.0,0,50.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,40,12,1,8,6,0,0,48,11,5,26,2,0,1,Monday,993003961,9,29,18371,3,1,0,0.385,0,21.3,24.3,-3.0,330.0,358.0,-0.333,0.486,0.6,134.0,83.0,3.0,23.0
202310809,2023-10-29T13:00:00,1,2023,8,DAL,LAR,HOME,43,20,63,AT&T Stadium,17,16,3,7,0,35,28,35:28,24,6,16,2,63,387,6.1,5,26,102,3.9,0,34,27,285,4,1,8.4,10.6,79.4,128.55,12,6,50.0,1,1,100.0,4,2,0,0,4,21,0,0,3,22,5,6,2,93,46.5,1,1,0,3,6,8,3,0,24,32,24:32,15,5,8,2,58,280,4.8,2,24,92,3.8,1,32,18,188,1,1,5.9,10.4,56.2,70.83,13,4,30.8,2,1,50.0,2,1,0,0,4,25,0,0,2,16,3,5,4,183,45.8,1,1,0,50.0,0,50.0,0,5,5,0,0,0,0,0,2,2,0,0,0,3,1,0,0,2,2,40,13,2,16,5,0,0,42,19,3,22,6,0,0,Sunday,993004006,9,32,18573,23,1,0,0.5,0,22.7,20.7,2.0,305.3333333333333,315.3333333333333,0.0,0.427,0.6,154.0,100.0,4.0,-5.0
202310926,2023-11-05T16:25:00,1,2023,9,DAL,PHI,AWAY,23,28,51,Lincoln Financial Field,0,0,0,0,23,29,42,29:42,27,3,19,5,70,406,5.8,3,21,73,3.5,0,44,29,333,3,0,7.6,11.5,65.9,111.27,15,6,40.0,5,3,60.0,5,3,0,0,10,83,2,1,5,41,4,2,2,82,41.0,1,0,-1,0,0,0,0,28,30,18,30:18,20,7,10,3,59,292,4.9,4,33,109,3.3,2,23,17,183,2,0,8.0,10.8,73.9,125.82,14,7,50.0,2,2,100.0,3,3,0,0,10,98,3,0,3,24,10,4,5,259,51.8,0,1,1,60.0,0,100.0,0,2,2,0,1,0,0,0,1,1,4,4,0,0,0,0,0,0,0,36,25,3,24,1,2,0,42,24,5,41,6,1,1,Sunday,993004041,9,26,18382,-5,0,-1,0.4,0,24.3,26.3,-2.0,308.6666666666667,324.3333333333333,-1.0,0.416,0.6,197.0,120.0,5.0,32.0
202311009,2023-11-12T16:25:00,1,2023,10,DAL,NYG,HOME,49,17,66,AT&T Stadium,7,21,14,7,0,37,21,37:21,32,12,19,1,77,640,8.3,7,33,168,5.1,3,44,33,472,4,2,10.7,14.3,75.0,120.64,12,6,50.0,2,1,50.0,7,6,0,0,9,83,0,0,0,0,7,7,2,93,46.5,2,1,-1,0,0,7,10,0,22,39,22:39,16,7,5,4,55,172,3.1,2,23,111,4.8,0,27,14,61,2,1,2.3,4.4,51.9,67.05,12,0,0.0,3,2,66.7,4,2,0,0,2,5,0,0,5,25,4,3,7,350,50.0,1,2,1,85.7,0,50.0,0,7,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,37,15,5,25,6,0,0,53,18,0,0,5,0,0,Sunday,993004072,9,23,18394,32,1,-1,0.5,0,28.7,21.7,7.0,378.3333333333333,281.3333333333333,-0.333,0.428,0.6,220.0,148.0,5.0,23.0
202311105,2023-11-19T13:00:00,1,2023,11,DAL,CAR,AWAY,33,10,43,Bank of America Stadium,7,10,0,16,0,31,21,31:21,23,7,11,5,68,311,4.6,4,27,107,4.0,1,41,27,204,2,0,5.0,7.6,65.9,93.95,16,7,43.8,0,0,0.0,4,2,0,0,5,45,0,0,0,0,11,6,3,176,58.7,0,2,2,0,3,7,0,0,28,39,28:39,13,6,7,0,59,187,3.2,1,23,110,4.8,0,29,16,77,1,1,2.7,4.8,55.2,57.69,15,5,33.3,3,3,100.0,2,1,0,0,8,90,2,1,7,46,4,3,5,242,48.4,2,0,-2,50.0,0,50.0,0,4,3,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,29,37,7,46,2,1,1,38,22,0,0,8,0,0,Sunday,993004079,9,5,18534,23,1,2,0.438,0,38.3,21.7,16.7,477.6666666666667,248.0,-0.667,0.467,0.6,269.0,165.0,6.0,35.0
