gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310114,2023-09-10T13:00:00,1,2023,1,JAX,IND,AWAY,31,21,52,Lucas Oil Stadium,7,7,3,14,0,33,37,33:37,20,9,10,1,69,342,5.0,4,35,105,3.0,2,32,24,237,2,1,7.4,9.9,75.0,103.26,12,3,25.0,3,1,33.3,3,3,0,0,4,45,3,1,2,4,6,6,5,223,44.6,2,3,1,0,7,14,0,0,26,23,26:23,18,4,12,2,69,280,4.1,3,26,65,2.5,1,39,24,215,1,1,5.5,9.0,61.5,74.2,12,2,16.7,5,1,20.0,3,1,0,0,4,35,2,2,4,8,4,7,5,208,41.6,3,2,-1,100.0,0,33.3,0,4,4,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,45,21,4,8,5,2,2,48,27,2,4,3,3,1,Sunday,993003789,15,14,18488,10,1,1,0.25,0,,,,,,,,,,,,-8.0
202310215,2023-09-17T13:00:00,1,2023,2,JAX,KC,HOME,9,17,26,EverBank Stadium,0,6,0,3,0,28,11,28:11,18,1,14,3,64,271,4.2,0,18,74,4.1,0,42,23,197,0,0,4.7,8.6,54.8,67.26,12,3,25.0,2,0,0.0,3,0,0,0,2,10,3,1,4,18,4,3,5,243,48.6,1,3,2,0,7,7,3,0,31,49,31:49,19,7,12,0,64,399,6.2,2,22,101,4.6,0,41,29,298,2,1,7.3,10.3,70.7,97.41,13,4,30.8,2,2,100.0,4,2,0,0,12,94,4,2,1,7,7,4,4,193,48.2,3,1,-2,0.0,0,50.0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,1,1,38,28,1,7,8,2,2,33,24,4,18,6,1,1,Sunday,993003812,15,16,18563,-8,0,2,0.25,0,,,,,,,,,31.0,21.0,1.0,-20.0
202310315,2023-09-24T13:00:00,1,2023,3,JAX,HOU,HOME,17,37,54,EverBank Stadium,0,0,10,7,0,32,3,32:03,22,8,13,1,69,404,5.9,2,27,116,4.3,1,42,29,288,1,1,6.9,9.9,69.0,86.21,13,5,38.5,1,0,0.0,2,1,0,0,6,49,1,1,0,0,4,5,2,94,47.0,2,0,-2,7,10,7,13,0,27,57,27:57,15,4,11,0,56,366,6.5,4,26,86,3.3,1,30,20,280,2,0,9.3,14.0,66.7,118.75,15,9,60.0,0,0,0.0,5,2,0,0,8,75,1,0,0,0,5,1,4,173,43.2,0,2,2,50.0,0,40.0,0,2,2,0,0,0,0,0,3,1,4,4,0,0,0,0,0,3,3,38,25,0,0,2,0,0,47,22,0,0,5,1,1,Sunday,993003860,15,13,18462,-20,0,-2,0.385,0,,,,,,,,,40.0,38.0,1.0,16.0
202310415,2023-10-01T09:30:00,1,2023,4,JAX,ATL,HOME,23,7,30,Wembley Stadium,7,10,0,6,0,32,51,32:51,16,4,11,1,64,300,4.7,2,32,105,3.3,0,30,23,195,1,0,6.5,8.5,76.7,104.17,14,5,35.7,2,1,50.0,1,0,0,0,3,25,2,0,2,12,7,6,3,160,53.3,0,3,3,0,0,7,0,0,27,9,27:09,17,6,11,0,57,287,5.0,1,22,127,5.8,0,31,19,160,1,2,5.2,8.4,61.3,58.53,12,6,50.0,1,0,0.0,2,1,0,0,3,50,1,1,4,31,7,3,5,271,54.2,3,0,-3,0.0,0,50.0,0,2,2,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,40,11,4,31,9,1,1,40,36,2,12,0,2,0,Sunday,993003876,15,2,18332,16,1,3,0.357,0,19.0,25.0,-6.0,339.0,348.3333333333333,0.333,0.295,,57.0,75.0,1.0,5.0
202310504,2023-10-08T09:30:00,1,2023,5,JAX,BUF,AWAY,25,20,45,Tottenham Hotspur Stadium,11,0,0,14,0,38,12,38:12,29,9,16,4,82,474,5.8,3,40,196,4.9,2,37,25,278,1,0,7.5,11.1,67.6,98.7,18,10,55.6,0,0,0.0,4,2,0,0,8,56,4,2,5,37,6,3,5,247,49.4,2,2,0,0,7,0,13,0,21,48,21:48,18,3,13,2,54,388,7.2,3,14,29,2.1,1,40,27,359,2,1,9.0,13.3,67.5,101.98,12,5,41.7,0,0,0.0,3,3,0,0,11,109,2,1,0,0,8,5,6,258,43.0,2,2,0,50.0,0,100.0,0,2,2,0,0,0,1,1,1,1,2,2,0,2,0,0,0,0,0,32,9,0,0,3,1,1,58,28,5,37,7,3,2,Sunday,993003907,15,4,18333,5,1,0,0.556,0,16.3,20.3,-4.0,325.0,350.6666666666667,1.0,0.331,,80.0,82.0,2.0,17.0
202310615,2023-10-15T13:00:00,1,2023,6,JAX,IND,HOME,37,20,57,EverBank Stadium,0,21,10,6,0,28,41,28:41,17,7,6,4,62,233,3.8,4,29,85,2.9,2,30,20,148,2,1,4.9,7.4,66.7,86.53,14,4,28.6,1,1,100.0,3,2,0,0,5,25,0,0,3,33,8,3,4,203,50.8,1,4,3,3,3,0,14,0,31,19,31:19,18,4,14,0,75,354,4.7,2,17,44,2.6,1,55,33,310,1,3,5.6,9.4,60.0,58.9,17,6,35.3,6,3,50.0,4,2,0,0,6,46,1,1,3,19,5,11,3,143,47.7,4,1,-3,66.7,0,50.0,0,4,4,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,43,27,3,19,9,1,1,40,14,3,33,2,0,0,Sunday,993003948,15,14,18365,17,1,3,0.286,0,21.7,21.3,0.3,392.6666666666667,347.0,0.333,0.432,0.6,105.0,102.0,3.0,7.0
202310722,2023-10-19T20:15:00,1,2023,7,JAX,NO,AWAY,31,24,55,Caesars Superdome,7,10,7,7,0,23,50,23:50,18,7,9,2,56,330,5.9,4,26,113,4.3,2,30,21,217,1,0,7.2,10.3,70.0,101.67,11,2,18.2,2,1,50.0,2,2,0,0,5,42,2,2,0,0,7,2,5,224,44.8,2,1,-1,3,3,3,15,0,36,10,36:10,25,8,15,2,87,407,4.7,2,31,112,3.6,1,55,33,295,1,1,5.4,8.9,60.0,72.92,18,3,16.7,6,4,66.7,5,2,0,0,3,34,1,0,1,6,0,2,4,169,42.2,1,2,1,100.0,0,40.0,0,4,4,0,0,0,0,0,1,1,1,1,0,2,1,0,0,4,3,47,31,1,6,9,1,0,35,14,0,0,5,1,2,Thursday,993003963,15,22,18515,7,1,-1,0.182,0,28.3,15.7,12.7,335.6666666666667,343.0,2.0,0.399,0.6,142.0,122.0,4.0,10.0
202310828,2023-10-29T13:00:00,1,2023,8,JAX,PIT,AWAY,20,10,30,Acrisure Stadium,6,3,8,3,0,34,16,34:16,20,6,11,3,65,377,5.8,1,30,106,3.5,0,32,24,271,1,1,8.5,11.3,75.0,97.27,13,6,46.2,0,0,0.0,3,0,0,0,6,72,2,2,3,21,9,4,3,131,43.7,3,2,-1,0,3,7,0,0,25,44,25:44,17,4,12,1,64,261,4.1,1,18,70,3.9,0,43,25,191,1,2,4.4,7.6,58.1,57.41,12,3,25.0,2,0,0.0,1,0,0,0,6,52,2,0,3,20,6,5,6,257,42.8,2,3,1,0.0,0,0.0,0,0,0,0,0,0,1,1,4,4,1,1,0,0,0,0,0,2,1,39,14,3,20,7,1,0,53,17,3,21,2,2,2,Sunday,993004003,15,28,18579,10,1,-1,0.462,0,31.0,21.3,9.7,345.6666666666667,383.0,0.667,0.341,0.8,173.0,146.0,5.0,-31.0
202311015,2023-11-12T13:00:00,1,2023,10,JAX,SF,HOME,3,34,37,EverBank Stadium,0,3,0,0,0,26,49,26:49,12,2,7,3,54,221,4.1,0,17,59,3.5,0,32,18,162,0,2,5.1,9.0,56.2,44.01,12,4,33.3,1,0,0.0,2,0,0,0,5,39,2,2,5,28,7,3,5,268,53.6,4,0,-4,10,3,14,7,0,33,11,33:11,20,8,11,1,60,437,7.3,4,30,144,4.8,1,28,20,293,3,0,10.5,14.6,71.4,140.92,12,4,33.3,2,1,50.0,4,1,0,0,7,90,0,0,2,9,10,4,3,141,47.0,0,4,4,0.0,0,25.0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,2,2,34,28,2,9,4,0,0,37,16,5,28,6,2,2,Sunday,993004062,15,31,18390,-31,0,-4,0.333,0,29.3,18.0,11.3,313.3333333333333,340.6666666666667,0.333,0.31,1.0,193.0,156.0,6.0,20.0
202311115,2023-11-19T13:00:00,1,2023,11,JAX,TEN,HOME,34,14,48,EverBank Stadium,7,6,14,7,0,36,26,36:26,24,8,13,3,69,389,5.6,4,36,128,3.6,2,32,24,261,2,0,8.2,10.9,75.0,119.4,12,4,33.3,4,3,75.0,5,3,0,0,4,29,0,0,1,1,5,0,2,103,51.5,0,2,2,0,0,7,7,0,23,34,23:34,12,4,6,2,38,235,6.2,2,19,92,4.8,0,17,13,143,2,0,8.4,11.0,76.5,140.07,7,2,28.6,1,1,100.0,1,1,0,0,7,66,2,2,2,15,2,6,4,214,53.5,2,0,-2,60.0,0,100.0,0,4,4,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,18,30,2,15,3,1,2,52,20,1,1,2,0,0,Sunday,993004086,15,34,18535,20,1,2,0.333,0,18.0,22.7,-4.7,309.3333333333333,368.3333333333333,-2.0,0.326,0.8,196.0,190.0,6.0,3.0
