gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310129.0,2023-09-10T16:25:00,1,2023,1,LAC,MIA,HOME,34.0,36.0,70.0,SoFi Stadium,7.0,10.0,7.0,10.0,0.0,,,32:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,13.0,7.0,9.0,0.0,,,27:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003796,29,19,,-2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310234.0,2023-09-17T13:00:00,1,2023,2,LAC,TEN,AWAY,24.0,27.0,51.0,Nissan Stadium,3.0,11.0,0.0,10.0,0.0,32.0,41.0,28:09,30.0,17.0,10.0,3.0,76.0,433.0,5.7,4.0,40.0,233.0,5.8,3.0,33.0,23.0,200.0,1.0,0.0,6.1,8.7,69.7,95.52,15.0,9.0,60.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,6.0,70.0,0.0,0.0,3.0,29.0,2.0,3.0,3.0,145.0,48.3,0.0,2.0,2.0,0.0,10.0,7.0,7.0,3.0,27.0,19.0,36:49,30.0,5.0,23.0,2.0,65.0,536.0,8.2,4.0,20.0,70.0,3.5,1.0,45.0,28.0,466.0,3.0,1.0,10.4,16.6,62.2,110.05,9.0,4.0,44.4,1.0,1.0,100.0,5.0,3.0,0.0,0.0,6.0,38.0,2.0,1.0,0.0,0.0,5.0,4.0,1.0,38.0,38.0,2.0,0.0,-2.0,80.0,0.0,60.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,8.0,0.0,0.0,10.0,0.0,1.0,55.0,32.0,3.0,29.0,1.0,0.0,0.0,Sunday,993003825,29,34,18497.0,-3.0,0,2.0,0.6,0.0,0.131196064609182,0.54,0.0641361442909133,0.2995054051603397,0.2215553825863759,0.4819277108433735,0.6396297613886175,-0.4439471945418821,34.0,36.0,-2.0,433.0,536.0,2.0,0.6,0.0,34.0,36.0,0.0,0.131196064609182,0.54,0.0641361442909133,0.2995054051603397,0.2215553825863759,0.4819277108433735,0.6396297613886175,-0.4439471945418821,0.131196064609182,0.2215553825863759
202310320.0,2023-09-24T13:00:00,1,2023,3,LAC,MIN,AWAY,28.0,24.0,52.0,U.S. Bank Stadium,7.0,7.0,7.0,7.0,0.0,28.0,9.0,26:47,19.0,4.0,14.0,1.0,65.0,342.0,5.3,2.0,21.0,61.0,2.9,0.0,41.0,27.0,281.0,2.0,0.0,6.9,10.4,65.9,101.78,14.0,2.0,14.3,3.0,3.0,100.0,5.0,2.0,0.0,0.0,4.0,43.0,0.0,0.0,3.0,24.0,6.0,8.0,6.0,234.0,39.0,0.0,0.0,0.0,0.0,10.0,7.0,7.0,0.0,36.0,49.0,33:13,22.0,10.0,9.0,3.0,63.0,341.0,5.4,3.0,34.0,141.0,4.1,2.0,24.0,20.0,200.0,1.0,0.0,8.3,10.0,83.3,115.28,13.0,6.0,46.2,1.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,45.0,0.0,0.0,5.0,46.0,5.0,6.0,5.0,306.0,61.2,0.0,0.0,0.0,40.0,0.0,75.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,43.0,36.0,5.0,46.0,1.0,0.0,0.0,40.0,27.0,3.0,24.0,5.0,0.0,0.0,Sunday,993003851,29,20,18561.0,4.0,1,0.0,0.143,0.0,0.0494290955559947,0.4235294117647059,0.1998250679776237,-0.2014624900434033,0.0637568461588644,0.4578313253012048,0.1913924611068843,-0.0231308623855386,29.0,31.5,-2.5,387.5,438.5,1.0,0.371,0.0,58.0,63.0,0.0,0.09031258008258836,0.481764705882353,0.13198060613426849,0.04902145755846819,0.14265611437262016,0.4698795180722891,0.41551111124775086,-0.23353902846371033,0.09031258008258836,0.14265611437262016
202310429.0,2023-10-01T16:05:00,1,2023,4,LAC,LV,HOME,24.0,17.0,41.0,SoFi Stadium,7.0,17.0,0.0,0.0,0.0,26.0,47.0,27:09,24.0,2.0,22.0,0.0,64.0,475.0,7.4,4.0,15.0,30.0,2.0,0.0,48.0,41.0,445.0,4.0,0.0,9.3,10.9,85.4,133.07,11.0,5.0,45.5,2.0,1.0,50.0,2.0,2.0,0.0,0.0,12.0,94.0,4.0,1.0,1.0,9.0,14.0,7.0,3.0,112.0,37.3,1.0,2.0,1.0,7.0,0.0,3.0,7.0,0.0,33.0,13.0,32:51,29.0,7.0,15.0,7.0,78.0,475.0,6.1,3.0,24.0,130.0,5.4,0.0,50.0,32.0,345.0,3.0,1.0,6.9,10.8,64.0,95.83,14.0,4.0,28.6,3.0,2.0,66.7,4.0,1.0,0.0,0.0,6.0,45.0,1.0,1.0,4.0,22.0,5.0,3.0,3.0,145.0,48.3,2.0,1.0,-1.0,100.0,0.0,25.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,13.0,4.0,22.0,8.0,1.0,1.0,44.0,20.0,1.0,9.0,3.0,4.0,1.0,Sunday,993003896,29,25,18459.0,7.0,1,1.0,0.455,0.0,0.0505371872416697,0.4625,0.4009560630691313,-0.7202295830793446,-0.0031458688934205,0.45,0.0284183586662644,-0.0171801945858168,28.7,29.0,-0.3,416.6666666666667,450.6666666666667,1.0,0.399,0.333,86.0,87.0,1.0,0.07705411580228214,0.47534313725490196,0.22163909177922278,-0.2073955559874694,0.09405545328393994,0.46325301204819275,0.2864801937205887,-0.16141941717107916,0.07705411580228214,0.09405545328393994
202310629.0,2023-10-16T20:15:00,1,2023,6,LAC,DAL,HOME,17.0,20.0,37.0,SoFi Stadium,7.0,0.0,3.0,7.0,0.0,27.0,9.0,30:08,16.0,7.0,6.0,3.0,63.0,305.0,4.8,3.0,37.0,155.0,4.2,2.0,24.0,13.0,150.0,1.0,1.0,6.2,11.5,54.2,69.79,14.0,5.0,35.7,2.0,1.0,50.0,4.0,3.0,0.0,0.0,4.0,34.0,1.0,0.0,2.0,17.0,5.0,7.0,4.0,160.0,40.0,1.0,3.0,2.0,7.0,3.0,0.0,10.0,0.0,32.0,51.0,29:52,22.0,7.0,12.0,3.0,69.0,264.0,3.8,2.0,23.0,76.0,3.3,2.0,39.0,24.0,188.0,0.0,1.0,4.8,7.8,61.5,62.77,11.0,1.0,9.1,3.0,3.0,100.0,5.0,2.0,0.0,0.0,9.0,80.0,3.0,2.0,7.0,50.0,4.0,5.0,5.0,269.0,53.8,3.0,1.0,-2.0,75.0,0.0,40.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,14.0,7.0,50.0,3.0,2.0,2.0,43.0,13.0,2.0,17.0,7.0,0.0,0.0,Monday,993003962,29,9,18510.0,-3.0,0,2.0,0.357,0.0,-0.064971656828762,0.3461538461538461,0.0595550864712612,-0.0975950320800101,-0.1324066008006438,0.449438202247191,-0.2235073832190034,-0.0568276301516258,25.3,22.7,2.7,374.0,360.0,1.0,0.318,0.5,110.0,104.0,2.0,0.011664875322967469,0.4107277526395173,0.2201120725060054,-0.3397623684009193,-0.023931874511733297,0.45242317584946523,-0.0012321878152849002,-0.03237956237432706,0.041547672644521104,0.037439939762794
202310716.0,2023-10-22T16:25:00,1,2023,7,LAC,KC,AWAY,17.0,31.0,48.0,Arrowhead Stadium,3.0,14.0,0.0,0.0,0.0,30.0,8.0,28:20,18.0,2.0,12.0,4.0,61.0,272.0,4.5,2.0,23.0,53.0,2.3,0.0,37.0,22.0,219.0,2.0,1.0,5.9,10.0,59.5,83.05,14.0,5.0,35.7,2.0,1.0,50.0,4.0,2.0,0.0,0.0,9.0,79.0,0.0,0.0,1.0,8.0,6.0,7.0,5.0,203.0,40.6,1.0,1.0,0.0,3.0,21.0,0.0,7.0,0.0,29.0,52.0,31:40,20.0,5.0,12.0,3.0,61.0,342.0,5.6,2.0,26.0,96.0,3.7,1.0,30.0,21.0,246.0,1.0,0.0,8.2,11.7,70.0,105.69,13.0,5.0,38.5,2.0,1.0,50.0,4.0,2.0,0.0,0.0,11.0,85.0,1.0,1.0,5.0,26.0,8.0,2.0,4.0,209.0,52.2,1.0,1.0,0.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,48.0,11.0,5.0,26.0,2.0,0.0,1.0,40.0,12.0,1.0,8.0,6.0,0.0,0.0,Sunday,993003981,29,16,18371.0,-14.0,0,0.0,0.357,0.0,-0.0594284219069887,0.3604651162790697,-0.0169154875027353,-0.4071007667501506,0.0001527737654197851,0.3924050632911392,0.2401503750277073,-0.2632791665382683,23.0,20.3,2.7,350.6666666666667,360.3333333333333,1.0,0.39,0.4,127.0,124.0,2.0,-0.024620963831360334,0.3897063208109719,0.14786522067921906,-0.4083084606365017,-0.045133231976214834,0.4306144218461101,0.015020450158322771,-0.11242899709190364,0.021352453734219144,0.029982506563319154
202310829.0,2023-10-29T20:20:00,1,2023,8,LAC,CHI,HOME,30.0,13.0,43.0,SoFi Stadium,14.0,10.0,6.0,0.0,0.0,28.0,20.0,31:28,16.0,4.0,11.0,1.0,61.0,358.0,5.9,2.0,26.0,139.0,5.3,1.0,30.0,17.0,219.0,1.0,2.0,7.3,12.9,56.7,63.06,14.0,6.0,42.9,1.0,1.0,100.0,2.0,1.0,0.0,0.0,4.0,43.0,0.0,0.0,5.0,40.0,4.0,5.0,5.0,261.0,52.2,2.0,2.0,0.0,0.0,7.0,0.0,6.0,0.0,31.0,40.0,28:32,25.0,3.0,21.0,1.0,64.0,483.0,7.5,4.0,21.0,68.0,3.2,0.0,42.0,32.0,415.0,4.0,1.0,9.9,13.0,76.2,128.57,11.0,6.0,54.5,0.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,43.0,1.0,1.0,1.0,9.0,8.0,5.0,3.0,137.0,45.7,2.0,2.0,0.0,50.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,44.0,12.0,1.0,9.0,2.0,1.0,1.0,35.0,24.0,5.0,40.0,7.0,0.0,0.0,Sunday,993004018,29,6,18525.0,17.0,1,0.0,0.429,0.0,0.0404220007229148,0.3625,0.0248725293374742,0.0828109948852215,0.2035578926038767,0.4756097560975609,0.4799529700169734,-0.3938994755573933,19.3,22.7,-3.3,311.6666666666667,363.0,0.667,0.381,0.4,144.0,155.0,2.0,-0.027992692670945302,0.3563729874776386,0.022504042768666698,-0.1406282679816464,0.02376802185621756,0.4391510072119637,0.16553198727522578,-0.2380020907490958,0.0031976409569657,0.026383008566819317
202310924.0,2023-11-06T20:15:00,1,2023,9,LAC,NYJ,AWAY,27.0,6.0,33.0,MetLife Stadium,0.0,0.0,0.0,0.0,27.0,31.0,28.0,25:33,20.0,1.0,18.0,1.0,65.0,352.0,5.4,3.0,25.0,54.0,2.2,0.0,40.0,31.0,298.0,3.0,0.0,7.4,9.6,77.5,122.71,13.0,7.0,53.8,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,15.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,88.0,44.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,28.0,32.0,34:27,17.0,7.0,10.0,0.0,63.0,295.0,4.7,2.0,25.0,73.0,2.9,2.0,37.0,25.0,222.0,0.0,2.0,6.0,8.9,67.6,60.87,14.0,6.0,42.9,4.0,1.0,25.0,2.0,2.0,0.0,0.0,7.0,53.0,1.0,0.0,1.0,10.0,2.0,6.0,3.0,126.0,42.0,2.0,1.0,-1.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,19.0,1.0,10.0,7.0,0.0,0.0,50.0,15.0,0.0,0.0,3.0,1.0,1.0,Monday,993004047,29,24,18586.0,21.0,1,1.0,0.538,0.0,0.0583341680733751,0.4444444444444444,0.3190628795200125,-0.5701176097184846,-0.1889588404979541,0.35,-0.2474102952040965,-0.0749247699714033,21.3,21.3,0.0,327.3333333333333,373.3333333333333,0.333,0.441,0.6,174.0,168.0,3.0,0.013109248963100404,0.38913652024117135,0.1090066404515838,-0.2981357938611379,0.004917275290447452,0.40600493979623337,0.15756434994686142,-0.24403447068902165,0.00497865546044178,-0.024160128764544386
202311029.0,2023-11-12T16:05:00,1,2023,10,LAC,DET,HOME,38.0,41.0,79.0,SoFi Stadium,3.0,14.0,7.0,14.0,0.0,25.0,33.0,29:26,14.0,5.0,7.0,2.0,56.0,191.0,3.4,3.0,21.0,84.0,4.0,2.0,30.0,16.0,107.0,0.0,0.0,3.6,6.7,53.3,61.39,16.0,7.0,43.8,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,39.0,3.0,0.0,5.0,29.0,8.0,4.0,8.0,364.0,45.5,0.0,3.0,3.0,10.0,14.0,7.0,10.0,0.0,34.0,27.0,30:34,17.0,2.0,12.0,3.0,77.0,270.0,3.5,0.0,20.0,64.0,3.2,0.0,49.0,33.0,206.0,0.0,0.0,4.2,6.2,67.3,75.72,17.0,3.0,17.6,4.0,3.0,75.0,2.0,0.0,0.0,0.0,8.0,40.0,4.0,3.0,8.0,57.0,13.0,4.0,7.0,352.0,50.3,3.0,0.0,-3.0,100.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,48.0,23.0,8.0,57.0,7.0,3.0,3.0,31.0,19.0,5.0,29.0,6.0,2.0,0.0,Sunday,993004068,29,11,18384.0,-3.0,0,3.0,0.438,0.0,-0.0764295049576567,0.3636363636363636,-0.119614486529471,-0.0896361215563956,-0.3185310891882789,0.3541666666666667,-0.3637631449810999,-0.2804854752307403,24.7,16.7,8.0,300.3333333333333,349.3333333333333,1.333,0.468,0.6,201.0,174.0,4.0,0.007442221279544405,0.39019360269360265,0.07477364077600523,-0.19231424546321954,-0.10131067902745211,0.39325880758807585,-0.04374015672274098,-0.24976990691984566,-0.020414682979423497,-0.08723717282351606
202311112.0,2023-11-19T13:00:00,1,2023,11,LAC,GB,AWAY,20.0,23.0,43.0,Lambeau Field,3.0,7.0,3.0,7.0,0.0,29.0,26.0,28:02,24.0,5.0,16.0,3.0,68.0,421.0,6.2,5.0,28.0,98.0,3.5,1.0,40.0,27.0,323.0,4.0,1.0,8.1,12.0,67.5,114.9,14.0,7.0,50.0,3.0,3.0,100.0,3.0,3.0,0.0,0.0,3.0,36.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,107.0,53.5,1.0,0.0,-1.0,0.0,10.0,6.0,7.0,0.0,30.0,34.0,31:58,23.0,8.0,13.0,2.0,64.0,533.0,8.3,5.0,31.0,200.0,6.5,3.0,33.0,23.0,333.0,2.0,0.0,10.1,14.5,69.7,122.41,13.0,4.0,30.8,5.0,4.0,80.0,4.0,2.0,0.0,0.0,4.0,44.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,29.0,29.0,0.0,1.0,1.0,100.0,0.0,50.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,19.0,0.0,0.0,2.0,0.0,0.0,41.0,26.0,0.0,0.0,5.0,0.0,0.0,Sunday,993004093,29,12,18393.0,-3.0,0,-1.0,0.5,0.0,0.2210731309469528,0.4831460674157303,0.4901384644432278,-0.1036640349387501,0.3248018353458894,0.524390243902439,0.417372486594,0.4425440534724437,31.7,20.0,11.7,321.3333333333333,366.0,1.0,0.492,0.4,239.0,215.0,4.0,0.06765926468755708,0.43040895849884614,0.22986228581125645,-0.25447258873787676,-0.060896031446781185,0.4095189701897019,-0.06460031786373212,0.029044602756766697,0.03679427457571947,0.004204514405790583
