gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202310130.0,2023-09-10T16:25:00,,2023,1,LAR,SEA,AWAY,30.0,13.0,43.0,Lumen Field,7.0,0.0,10.0,13.0,0.0,,,39:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,0.0,0.0,0.0,,,20:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003801,32,30,,17.0,1,,,,,,,,,,,,,,
202310232.0,2023-09-17T16:05:00,1.0,2023,2,LAR,SF,HOME,23.0,30.0,53.0,SoFi Stadium,3.0,14.0,0.0,6.0,0.0,39.0,23.0,33:11,27.0,8.0,17.0,2.0,78.0,426.0,5.5,3.0,40.0,92.0,2.3,3.0,38.0,24.0,334.0,0.0,0.0,8.8,13.9,63.2,91.34,17.0,11.0,64.7,1.0,1.0,100.0,3.0,3.0,0.0,0.0,7.0,53.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,45.0,45.0,0.0,0.0,0.0,7.0,10.0,3.0,10.0,0.0,20.0,37.0,26:49,13.0,3.0,7.0,3.0,46.0,180.0,3.9,1.0,18.0,85.0,4.7,0.0,26.0,16.0,95.0,1.0,0.0,3.7,5.9,61.5,81.41,9.0,2.0,22.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,55.0,0.0,0.0,2.0,17.0,2.0,5.0,4.0,236.0,59.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,27.0,24.0,2.0,17.0,1.0,0.0,0.0,47.0,34.0,0.0,0.0,1.0,0.0,0.0,Sunday,993003830,32,31,18498.0,-7.0,0,0.0,0.647,0.0,,,,,,,,,30.0,13.0,1.0
202310307.0,2023-09-25T20:15:00,1.0,2023,3,LAR,CIN,AWAY,16.0,19.0,35.0,Paycor Stadium,3.0,3.0,3.0,7.0,0.0,33.0,11.0,24:00,28.0,9.0,17.0,2.0,78.0,386.0,4.9,2.0,22.0,89.0,4.0,1.0,55.0,34.0,297.0,1.0,2.0,5.4,8.7,61.8,67.01,14.0,7.0,50.0,2.0,1.0,50.0,3.0,2.0,0.0,0.0,6.0,55.0,0.0,0.0,1.0,10.0,3.0,0.0,2.0,108.0,54.0,2.0,0.0,-2.0,0.0,6.0,10.0,3.0,0.0,26.0,49.0,36:00,21.0,8.0,11.0,2.0,54.0,365.0,6.8,3.0,28.0,159.0,5.7,3.0,25.0,17.0,206.0,0.0,0.0,8.2,12.1,68.0,93.08,9.0,2.0,22.2,0.0,0.0,0.0,5.0,3.0,0.0,0.0,6.0,57.0,2.0,0.0,1.0,0.0,7.0,2.0,4.0,197.0,49.2,0.0,2.0,2.0,66.7,0.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,32.0,31.0,1.0,0.0,1.0,1.0,0.0,46.0,25.0,1.0,10.0,7.0,0.0,0.0,Monday,993003871,32,7,18565.0,-3.0,0,-2.0,0.5,0.0,,,,,,,,,53.0,43.0,1.0
202310414.0,2023-10-01T13:00:00,1.0,2023,4,LAR,IND,AWAY,29.0,23.0,52.0,Lucas Oil Stadium,14.0,6.0,3.0,0.0,6.0,24.0,0.0,39:46,15.0,2.0,12.0,1.0,52.0,292.0,5.6,1.0,13.0,71.0,5.5,0.0,33.0,18.0,221.0,1.0,2.0,6.7,12.3,54.5,60.29,11.0,1.0,9.1,1.0,1.0,100.0,4.0,1.0,0.0,0.0,4.0,28.0,0.0,0.0,6.0,48.0,6.0,4.0,6.0,306.0,51.0,2.0,1.0,-1.0,0.0,0.0,8.0,15.0,0.0,36.0,0.0,24:25,19.0,5.0,12.0,2.0,74.0,309.0,4.2,1.0,23.0,67.0,2.9,1.0,49.0,26.0,242.0,0.0,1.0,4.9,9.3,53.1,58.38,17.0,5.0,29.4,1.0,1.0,100.0,1.0,1.0,0.0,0.0,7.0,49.0,0.0,0.0,2.0,17.0,10.0,7.0,5.0,211.0,42.2,1.0,2.0,1.0,25.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,40.0,19.0,2.0,17.0,6.0,0.0,0.0,35.0,9.0,6.0,48.0,5.0,0.0,0.0,Sunday,993003893,32,14,18469.0,6.0,1,-1.0,0.091,0.0,23.0,20.7,2.3,368.0,284.6666666666667,-1.0,0.413,,69.0,62.0,1.0
202310532.0,2023-10-08T16:05:00,1.0,2023,5,LAR,PHI,HOME,14.0,23.0,37.0,SoFi Stadium,7.0,7.0,0.0,0.0,0.0,39.0,46.0,22:05,27.0,8.0,16.0,3.0,78.0,467.0,6.0,3.0,36.0,164.0,4.6,2.0,40.0,27.0,303.0,1.0,1.0,7.6,11.2,67.5,87.81,15.0,6.0,40.0,1.0,1.0,100.0,3.0,2.0,0.0,0.0,8.0,85.0,1.0,0.0,2.0,16.0,3.0,7.0,3.0,123.0,41.0,1.0,1.0,0.0,7.0,10.0,0.0,6.0,0.0,24.0,25.0,37:55,19.0,6.0,10.0,3.0,58.0,329.0,5.7,3.0,31.0,133.0,4.3,1.0,25.0,11.0,196.0,2.0,0.0,7.8,17.8,44.0,98.08,10.0,3.0,30.0,2.0,1.0,50.0,2.0,2.0,0.0,0.0,8.0,80.0,2.0,1.0,2.0,4.0,9.0,4.0,4.0,193.0,48.2,1.0,1.0,0.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,33.0,29.0,2.0,4.0,4.0,2.0,1.0,52.0,23.0,2.0,16.0,7.0,1.0,0.0,Sunday,993003924,32,26,18505.0,-9.0,0,0.0,0.4,0.0,22.7,24.0,-1.3,381.6666666666667,334.3333333333333,-1.0,0.33,,98.0,85.0,2.0
202310632.0,2023-10-15T16:25:00,1.0,2023,6,LAR,ARI,HOME,26.0,9.0,35.0,SoFi Stadium,3.0,3.0,10.0,10.0,0.0,22.0,5.0,29:30,17.0,2.0,13.0,2.0,55.0,249.0,4.5,2.0,14.0,54.0,3.9,0.0,37.0,21.0,195.0,2.0,0.0,5.3,9.3,56.8,89.36,14.0,6.0,42.9,3.0,2.0,66.7,1.0,1.0,0.0,0.0,5.0,48.0,1.0,0.0,4.0,27.0,2.0,6.0,4.0,215.0,53.8,0.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,37.0,55.0,30:30,28.0,12.0,13.0,3.0,78.0,454.0,5.8,2.0,39.0,159.0,4.1,1.0,38.0,25.0,295.0,1.0,1.0,7.8,11.8,65.8,87.06,18.0,13.0,72.2,1.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,35.0,0.0,0.0,1.0,8.0,8.0,6.0,1.0,41.0,41.0,1.0,0.0,-1.0,100.0,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,54.0,32.0,1.0,8.0,3.0,0.0,0.0,31.0,14.0,4.0,27.0,2.0,1.0,0.0,Sunday,993003956,32,1,18353.0,17.0,1,1.0,0.429,0.0,19.7,21.7,-2.0,336.0,364.0,0.0,0.306,0.4,112.0,108.0,2.0
202310732.0,2023-10-22T16:05:00,1.0,2023,7,LAR,PIT,HOME,17.0,24.0,41.0,SoFi Stadium,0.0,9.0,8.0,0.0,0.0,29.0,30.0,31:46,17.0,9.0,7.0,1.0,55.0,382.0,6.9,2.0,28.0,179.0,6.4,1.0,24.0,15.0,203.0,1.0,0.0,8.5,13.5,62.5,103.3,12.0,4.0,33.3,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,59.0,1.0,1.0,3.0,23.0,9.0,6.0,4.0,186.0,46.5,1.0,2.0,1.0,0.0,3.0,7.0,14.0,0.0,30.0,30.0,28:14,20.0,6.0,12.0,2.0,73.0,345.0,4.7,0.0,30.0,130.0,4.3,0.0,41.0,21.0,215.0,0.0,1.0,5.2,10.2,51.2,56.45,16.0,6.0,37.5,4.0,2.0,50.0,3.0,0.0,0.0,0.0,5.0,36.0,1.0,1.0,2.0,20.0,3.0,5.0,3.0,134.0,44.7,2.0,1.0,-1.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,44.0,21.0,2.0,20.0,6.0,1.0,1.0,36.0,22.0,3.0,23.0,0.0,1.0,1.0,Sunday,993003978,32,28,18368.0,-7.0,0,1.0,0.333,0.0,23.0,18.3,4.7,366.0,376.0,0.667,0.387,0.4,138.0,117.0,3.0
202310809.0,2023-10-29T13:00:00,1.0,2023,8,LAR,DAL,AWAY,20.0,43.0,63.0,AT&T Stadium,3.0,6.0,8.0,3.0,0.0,31.0,46.0,24:32,19.0,8.0,8.0,3.0,62.0,354.0,5.7,2.0,31.0,135.0,4.4,1.0,29.0,14.0,219.0,1.0,1.0,7.6,15.6,48.3,70.91,16.0,9.0,56.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,40.0,0.0,0.0,2.0,12.0,7.0,4.0,4.0,208.0,52.0,1.0,0.0,-1.0,17.0,16.0,3.0,7.0,0.0,28.0,14.0,35:28,17.0,8.0,9.0,0.0,56.0,300.0,5.4,3.0,29.0,86.0,3.0,3.0,25.0,17.0,214.0,0.0,0.0,8.6,12.6,68.0,94.42,12.0,4.0,33.3,1.0,1.0,100.0,3.0,3.0,0.0,0.0,8.0,76.0,1.0,0.0,2.0,16.0,4.0,4.0,5.0,218.0,43.6,0.0,1.0,1.0,100.0,0.0,100.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,26.0,2.0,16.0,2.0,1.0,0.0,36.0,25.0,2.0,12.0,2.0,0.0,0.0,Sunday,993004005,32,9,18522.0,-23.0,0,-1.0,0.562,0.0,19.0,18.7,0.3,328.3333333333333,366.3333333333333,0.333,0.441,0.4,155.0,141.0,3.0
202310912.0,2023-11-05T13:00:00,1.0,2023,9,LAR,GB,AWAY,3.0,20.0,23.0,Lambeau Field,0.0,0.0,0.0,0.0,3.0,24.0,32.0,24:44,15.0,5.0,8.0,2.0,58.0,280.0,4.8,2.0,24.0,92.0,3.8,1.0,32.0,18.0,188.0,1.0,1.0,5.9,10.4,56.2,70.83,13.0,4.0,30.8,2.0,1.0,50.0,2.0,1.0,0.0,0.0,4.0,25.0,0.0,0.0,2.0,16.0,3.0,5.0,4.0,183.0,45.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,28.0,35:16,24.0,6.0,16.0,2.0,63.0,387.0,6.1,5.0,26.0,102.0,3.9,0.0,34.0,27.0,285.0,4.0,1.0,8.4,10.6,79.4,128.55,12.0,6.0,50.0,1.0,1.0,100.0,4.0,2.0,0.0,0.0,4.0,21.0,0.0,0.0,3.0,22.0,5.0,6.0,2.0,93.0,46.5,1.0,1.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,19.0,3.0,22.0,6.0,0.0,0.0,40.0,13.0,2.0,16.0,5.0,0.0,0.0,Sunday,993004037,32,12,18573.0,-17.0,0,0.0,0.308,0.0,21.0,25.3,-4.3,338.6666666666667,344.0,0.0,0.401,0.4,175.0,184.0,3.0
202311132.0,2023-11-19T16:25:00,1.0,2023,11,LAR,SEA,HOME,17.0,16.0,33.0,SoFi Stadium,0.0,7.0,0.0,10.0,0.0,24.0,44.0,27:54,10.0,3.0,6.0,1.0,55.0,187.0,3.4,0.0,26.0,68.0,2.6,0.0,28.0,13.0,119.0,0.0,1.0,4.2,9.2,46.4,43.6,14.0,5.0,35.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,1.0,1.0,1.0,11.0,5.0,3.0,5.0,224.0,44.8,2.0,2.0,0.0,7.0,6.0,3.0,0.0,0.0,35.0,16.0,32:06,21.0,10.0,10.0,1.0,68.0,391.0,5.8,2.0,38.0,184.0,4.8,1.0,26.0,20.0,207.0,1.0,0.0,8.0,10.4,76.9,112.18,14.0,7.0,50.0,1.0,1.0,100.0,4.0,1.0,0.0,0.0,8.0,57.0,3.0,2.0,4.0,21.0,4.0,5.0,4.0,174.0,43.5,2.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,46.0,38.0,4.0,21.0,1.0,2.0,2.0,39.0,13.0,1.0,11.0,10.0,1.0,1.0,Sunday,993004098,32,30,18375.0,1.0,1,0.0,0.357,0.0,13.3,29.0,-15.7,273.6666666666667,359.3333333333333,-0.333,0.409,0.2,178.0,204.0,3.0
202311201.0,2023-11-26T16:05:00,1.0,2023,12,LAR,ARI,AWAY,37.0,14.0,51.0,State Farm Stadium,7.0,14.0,3.0,13.0,0.0,27.0,54.0,34:52,20.0,6.0,9.0,5.0,59.0,267.0,4.5,2.0,27.0,82.0,3.0,1.0,31.0,17.0,185.0,1.0,1.0,6.0,10.9,54.8,69.96,9.0,2.0,22.2,1.0,0.0,0.0,4.0,2.0,0.0,0.0,9.0,92.0,0.0,0.0,1.0,5.0,8.0,4.0,5.0,263.0,52.6,1.0,1.0,0.0,8.0,0.0,0.0,6.0,0.0,32.0,6.0,25:08,16.0,3.0,12.0,1.0,63.0,291.0,4.6,1.0,21.0,68.0,3.2,0.0,40.0,24.0,223.0,1.0,1.0,5.6,9.3,60.0,73.23,15.0,5.0,33.3,2.0,2.0,100.0,2.0,1.0,0.0,0.0,12.0,130.0,0.0,0.0,2.0,13.0,3.0,3.0,4.0,202.0,50.5,1.0,1.0,0.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,39.0,22.0,2.0,13.0,7.0,0.0,0.0,34.0,25.0,1.0,5.0,6.0,0.0,0.0,Sunday,993004127,32,1,18539.0,23.0,1,0.0,0.222,0.0,13.3,26.3,-13.0,244.66666666666666,356.3333333333333,0.0,0.296,0.4,195.0,220.0,4.0
202311332.0,2023-12-03T16:25:00,1.0,2023,13,LAR,CLE,HOME,36.0,19.0,55.0,SoFi Stadium,10.0,3.0,7.0,16.0,0.0,34.0,52.0,25:57,25.0,9.0,16.0,0.0,66.0,457.0,6.9,5.0,33.0,228.0,6.9,1.0,33.0,25.0,229.0,4.0,1.0,6.9,9.2,75.8,121.09,12.0,6.0,50.0,2.0,2.0,100.0,5.0,4.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,73.0,36.5,1.0,0.0,-1.0,7.0,3.0,3.0,6.0,0.0,25.0,8.0,34:03,19.0,5.0,11.0,3.0,64.0,292.0,4.6,2.0,15.0,73.0,4.9,1.0,45.0,27.0,219.0,1.0,0.0,4.9,8.1,60.0,79.77,17.0,6.0,35.3,3.0,2.0,66.7,2.0,2.0,0.0,0.0,5.0,34.0,0.0,0.0,4.0,37.0,3.0,2.0,5.0,228.0,45.6,0.0,1.0,1.0,80.0,0.0,100.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,41.0,14.0,4.0,37.0,10.0,0.0,0.0,45.0,26.0,0.0,0.0,1.0,0.0,0.0,Sunday,993004158,32,8,18408.0,17.0,1,-1.0,0.5,0.0,19.0,16.7,2.3,303.6666666666667,324.6666666666667,-0.333,0.36,0.4,232.0,234.0,5.0
202311403.0,2023-12-10T13:00:00,1.0,2023,14,LAR,BAL,AWAY,31.0,37.0,68.0,M&T Bank Stadium,3.0,17.0,2.0,9.0,0.0,25.0,57.0,34:35,20.0,6.0,10.0,4.0,62.0,399.0,6.4,4.0,25.0,120.0,4.8,1.0,37.0,22.0,279.0,3.0,0.0,7.5,12.7,59.5,110.08,12.0,4.0,33.3,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,45.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,293.0,58.6,0.0,1.0,1.0,7.0,10.0,3.0,11.0,6.0,34.0,3.0,27:43,20.0,9.0,10.0,1.0,69.0,327.0,4.7,2.0,23.0,87.0,3.8,0.0,44.0,23.0,240.0,2.0,1.0,5.5,10.4,52.3,74.05,16.0,7.0,43.8,2.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,86.0,0.0,0.0,2.0,14.0,2.0,1.0,5.0,236.0,47.2,1.0,0.0,-1.0,75.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,30.0,2.0,14.0,5.0,0.0,0.0,35.0,22.0,0.0,0.0,2.0,0.0,0.0,Sunday,993004173,32,3,18422.0,-6.0,0,1.0,0.333,0.0,30.0,16.3,13.7,374.3333333333333,303.3333333333333,0.0,0.352,0.6,268.0,253.0,6.0
