gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202310121.0,2023-09-10T16:25:00,,2023,1,PHI,NE,AWAY,25.0,20.0,45.0,Gillette Stadium,16.0,0.0,3.0,6.0,0.0,,,30:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,6.0,0.0,,,29:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003803,26,21,,5.0,1,,,,,,,,,,,,,,
202310226.0,2023-09-14T20:15:00,1.0,2023,2,PHI,MIN,HOME,34.0,28.0,62.0,Lincoln Financial Field,3.0,10.0,14.0,7.0,0.0,30.0,48.0,39:28,17.0,6.0,8.0,3.0,61.0,251.0,4.1,2.0,25.0,97.0,3.9,0.0,33.0,22.0,154.0,1.0,0.0,4.7,7.0,66.7,87.18,13.0,4.0,30.8,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,49.0,1.0,1.0,3.0,16.0,7.0,5.0,4.0,197.0,49.2,1.0,2.0,1.0,0.0,7.0,7.0,14.0,0.0,29.0,12.0,20:32,24.0,5.0,18.0,1.0,78.0,382.0,4.9,3.0,22.0,76.0,3.5,0.0,54.0,35.0,306.0,3.0,1.0,5.7,8.7,64.8,90.51,15.0,5.0,33.3,4.0,1.0,25.0,5.0,3.0,0.0,0.0,7.0,50.0,2.0,1.0,2.0,10.0,4.0,3.0,5.0,226.0,45.2,2.0,1.0,-1.0,50.0,0.0,60.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,32.0,2.0,10.0,10.0,2.0,1.0,35.0,27.0,3.0,16.0,4.0,1.0,1.0,Thursday,993003810,26,20,18496.0,6.0,1,1.0,0.308,0.0,,,,,,,,,25.0,20.0,1.0
202310333.0,2023-09-25T19:15:00,1.0,2023,3,PHI,TB,AWAY,25.0,11.0,36.0,Raymond James Stadium,3.0,10.0,9.0,3.0,0.0,39.0,28.0,38:55,24.0,19.0,4.0,1.0,75.0,430.0,5.7,4.0,48.0,259.0,5.4,3.0,23.0,18.0,171.0,1.0,1.0,7.4,9.5,78.3,94.02,14.0,6.0,42.9,1.0,1.0,100.0,4.0,3.0,0.0,0.0,7.0,45.0,1.0,0.0,4.0,22.0,10.0,3.0,4.0,150.0,37.5,1.0,4.0,3.0,0.0,3.0,0.0,8.0,0.0,20.0,32.0,21:05,19.0,0.0,19.0,0.0,55.0,374.0,6.8,4.0,9.0,28.0,3.1,0.0,44.0,31.0,346.0,4.0,0.0,7.9,11.2,70.5,123.86,10.0,6.0,60.0,1.0,1.0,100.0,3.0,3.0,0.0,0.0,2.0,15.0,4.0,4.0,2.0,18.0,5.0,5.0,3.0,157.0,52.3,4.0,1.0,-3.0,75.0,0.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,2.0,18.0,2.0,4.0,3.0,54.0,42.0,4.0,22.0,3.0,1.0,0.0,Monday,993003869,26,33,18556.0,14.0,1,3.0,0.429,0.0,,,,,,,,,59.0,48.0,2.0
202310426.0,2023-10-01T13:00:00,1.0,2023,4,PHI,WAS,HOME,34.0,31.0,65.0,Lincoln Financial Field,7.0,3.0,11.0,10.0,3.0,38.0,55.0,30:55,27.0,12.0,13.0,2.0,78.0,472.0,6.1,2.0,40.0,201.0,5.0,1.0,37.0,23.0,271.0,1.0,2.0,7.3,11.8,62.2,70.89,16.0,10.0,62.5,3.0,2.0,66.7,5.0,1.0,0.0,0.0,3.0,20.0,0.0,0.0,1.0,6.0,5.0,4.0,1.0,38.0,38.0,2.0,2.0,0.0,7.0,10.0,0.0,14.0,0.0,21.0,5.0,35:07,12.0,1.0,10.0,1.0,44.0,174.0,4.0,1.0,17.0,41.0,2.4,0.0,25.0,15.0,133.0,1.0,1.0,5.3,8.9,60.0,70.92,10.0,5.0,50.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,20.0,2.0,1.0,2.0,13.0,4.0,3.0,4.0,230.0,57.5,2.0,2.0,0.0,20.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,29.0,13.0,2.0,13.0,2.0,2.0,1.0,50.0,32.0,1.0,6.0,3.0,0.0,0.0,Sunday,993003886,26,35,18468.0,3.0,1,0.0,0.625,0.0,28.0,19.7,8.3,384.3333333333333,310.0,1.333,0.454,,84.0,59.0,3.0
202310532.0,2023-10-08T16:05:00,1.0,2023,5,PHI,LAR,AWAY,23.0,14.0,37.0,SoFi Stadium,7.0,10.0,0.0,6.0,0.0,30.0,55.0,37:55,23.0,6.0,14.0,3.0,67.0,415.0,6.2,3.0,27.0,104.0,3.9,1.0,37.0,25.0,311.0,2.0,0.0,8.4,12.4,67.6,111.43,12.0,4.0,33.3,2.0,2.0,100.0,2.0,1.0,0.0,0.0,11.0,80.0,1.0,0.0,3.0,8.0,9.0,5.0,3.0,129.0,43.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,35.0,7.0,22:05,26.0,9.0,12.0,5.0,74.0,365.0,4.9,4.0,28.0,107.0,3.8,3.0,41.0,29.0,258.0,1.0,0.0,6.3,8.9,70.7,95.38,17.0,8.0,47.1,2.0,2.0,100.0,5.0,4.0,0.0,0.0,7.0,41.0,2.0,0.0,5.0,32.0,8.0,7.0,5.0,213.0,42.6,0.0,0.0,0.0,50.0,0.0,80.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,46.0,26.0,5.0,32.0,5.0,1.0,0.0,49.0,17.0,3.0,8.0,3.0,1.0,0.0,Sunday,993003923,26,32,18507.0,9.0,1,0.0,0.333,0.0,31.0,23.3,7.7,439.0,304.3333333333333,1.0,0.462,,118.0,90.0,4.0
202310624.0,2023-10-15T16:25:00,1.0,2023,6,PHI,NYJ,AWAY,14.0,20.0,34.0,MetLife Stadium,7.0,7.0,0.0,0.0,0.0,37.0,55.0,30:44,28.0,12.0,13.0,3.0,78.0,454.0,5.8,2.0,39.0,159.0,4.1,1.0,38.0,25.0,295.0,1.0,1.0,7.8,11.8,65.8,87.06,18.0,13.0,72.2,1.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,35.0,0.0,0.0,1.0,8.0,8.0,6.0,1.0,41.0,41.0,1.0,0.0,-1.0,0.0,9.0,3.0,8.0,0.0,22.0,5.0,29:16,17.0,2.0,13.0,2.0,55.0,249.0,4.5,2.0,14.0,54.0,3.9,0.0,37.0,21.0,195.0,2.0,0.0,5.3,9.3,56.8,89.36,14.0,6.0,42.9,3.0,2.0,66.7,1.0,1.0,0.0,0.0,5.0,48.0,1.0,0.0,4.0,27.0,2.0,6.0,4.0,215.0,53.8,0.0,1.0,1.0,33.3,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,4.0,27.0,2.0,1.0,0.0,54.0,32.0,1.0,8.0,3.0,0.0,0.0,Sunday,993003957,26,24,18353.0,-6.0,0,-1.0,0.722,0.0,27.3,18.7,8.7,447.0,262.6666666666667,-0.333,0.56,1.0,141.0,104.0,5.0
202310726.0,2023-10-22T20:20:00,1.0,2023,7,PHI,MIA,HOME,31.0,17.0,48.0,Lincoln Financial Field,3.0,14.0,7.0,7.0,0.0,30.0,44.0,36:43,24.0,6.0,16.0,2.0,69.0,348.0,5.0,2.0,22.0,80.0,3.6,1.0,45.0,28.0,268.0,1.0,3.0,6.0,9.6,62.2,58.38,14.0,7.0,50.0,2.0,1.0,50.0,3.0,2.0,0.0,0.0,5.0,46.0,1.0,1.0,2.0,12.0,10.0,6.0,2.0,81.0,40.5,4.0,0.0,-4.0,3.0,7.0,7.0,0.0,0.0,29.0,16.0,23:17,17.0,5.0,9.0,3.0,59.0,244.0,4.1,1.0,21.0,89.0,4.2,1.0,33.0,19.0,155.0,0.0,0.0,4.7,8.2,57.6,69.63,11.0,2.0,18.2,1.0,0.0,0.0,4.0,1.0,0.0,0.0,9.0,68.0,0.0,0.0,5.0,31.0,4.0,4.0,4.0,194.0,48.5,0.0,4.0,4.0,66.7,0.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,33.0,22.0,5.0,31.0,5.0,0.0,0.0,43.0,15.0,2.0,12.0,12.0,1.0,1.0,Sunday,993003986,26,19,18369.0,14.0,1,-4.0,0.5,0.0,23.7,21.7,2.0,405.6666666666667,286.0,-1.667,0.519,0.8,155.0,124.0,5.0
202310835.0,2023-10-29T13:00:00,1.0,2023,8,PHI,WAS,AWAY,38.0,31.0,69.0,FedEx Field,3.0,7.0,7.0,21.0,0.0,36.0,43.0,28:31,26.0,12.0,11.0,3.0,68.0,355.0,5.2,4.0,34.0,99.0,2.9,2.0,31.0,23.0,256.0,2.0,1.0,8.3,11.1,74.2,106.38,12.0,4.0,33.3,4.0,4.0,100.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,23.0,6.0,8.0,1.0,57.0,57.0,2.0,1.0,-1.0,7.0,10.0,0.0,14.0,0.0,23.0,17.0,31:29,12.0,3.0,9.0,0.0,48.0,244.0,5.1,2.0,12.0,45.0,3.8,0.0,32.0,23.0,199.0,1.0,1.0,6.2,8.7,71.9,85.29,11.0,4.0,36.4,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,70.0,1.0,0.0,4.0,17.0,5.0,4.0,3.0,135.0,45.0,1.0,2.0,1.0,66.7,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,8.0,4.0,17.0,3.0,0.0,0.0,46.0,22.0,3.0,23.0,5.0,1.0,1.0,Sunday,993004007,26,35,18526.0,7.0,1,-1.0,0.333,0.0,22.7,17.0,5.7,385.6666666666667,245.66666666666666,-2.0,0.519,0.8,186.0,141.0,6.0
202310926.0,2023-11-05T16:25:00,1.0,2023,9,PHI,DAL,HOME,28.0,23.0,51.0,Lincoln Financial Field,0.0,0.0,0.0,0.0,28.0,28.0,31.0,30:18,21.0,3.0,17.0,1.0,62.0,374.0,6.0,5.0,22.0,59.0,2.7,1.0,38.0,29.0,315.0,4.0,0.0,8.3,10.9,76.3,135.31,13.0,8.0,61.5,1.0,1.0,100.0,5.0,3.0,0.0,0.0,3.0,14.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,117.0,58.5,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,23.0,31.0,29.0,29:42,26.0,5.0,20.0,1.0,69.0,472.0,6.8,4.0,16.0,84.0,5.2,0.0,52.0,39.0,388.0,4.0,1.0,7.5,9.9,75.0,113.3,12.0,7.0,58.3,3.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,79.0,1.0,0.0,1.0,9.0,4.0,3.0,2.0,96.0,48.0,1.0,2.0,1.0,60.0,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,17.0,1.0,9.0,6.0,1.0,0.0,39.0,19.0,2.0,4.0,3.0,1.0,2.0,Sunday,993004042,26,9,18580.0,5.0,1,-1.0,0.615,0.0,27.7,22.7,5.0,359.0,320.0,-2.0,0.483,0.8,224.0,172.0,7.0
202311116.0,2023-11-20T20:15:00,1.0,2023,11,PHI,KC,AWAY,21.0,17.0,38.0,Arrowhead Stadium,7.0,0.0,7.0,7.0,0.0,30.0,18.0,27:59,20.0,7.0,10.0,3.0,59.0,292.0,4.9,4.0,33.0,109.0,3.3,2.0,23.0,17.0,183.0,2.0,0.0,8.0,10.8,73.9,125.82,14.0,7.0,50.0,2.0,2.0,100.0,3.0,3.0,0.0,0.0,10.0,98.0,3.0,0.0,3.0,24.0,10.0,4.0,5.0,259.0,51.8,0.0,1.0,1.0,7.0,10.0,0.0,0.0,0.0,29.0,42.0,32:01,27.0,3.0,19.0,5.0,70.0,406.0,5.8,3.0,21.0,73.0,3.5,0.0,44.0,29.0,333.0,3.0,0.0,7.6,11.5,65.9,111.27,15.0,6.0,40.0,5.0,3.0,60.0,5.0,3.0,0.0,0.0,10.0,83.0,2.0,1.0,5.0,41.0,4.0,2.0,2.0,82.0,41.0,1.0,0.0,-1.0,100.0,0.0,60.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,42.0,24.0,5.0,41.0,6.0,1.0,1.0,36.0,25.0,3.0,24.0,1.0,2.0,0.0,Monday,993004103,26,16,18382.0,4.0,1,1.0,0.5,0.0,32.3,23.7,8.7,340.3333333333333,374.0,-0.333,0.483,0.8,252.0,195.0,8.0
