gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310128,2023-09-10T13:00:00,1,2023,1,SF,PIT,AWAY,30,7,37,Acrisure Stadium,10,10,7,3,0,37,23,37:23,22,8,13,1,66,391,5.9,3,34,188,5.5,1,29,19,203,2,0,7.0,10.7,65.5,108.84,13,6,46.2,1,1,100.0,3,2,0,0,11,85,3,1,3,17,9,8,3,134,44.7,1,2,1,0,7,0,0,0,22,37,22:37,15,3,9,3,61,239,3.9,1,10,41,4.1,0,46,31,198,1,2,4.3,6.4,67.4,65.31,15,5,33.3,3,1,33.3,2,1,0,0,6,60,0,0,5,34,7,5,6,254,42.3,2,1,-1,66.7,0,50.0,0,3,3,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,39,17,5,34,4,0,0,45,24,3,17,5,3,1,Sunday,993003783,31,28,18491,23,1,1,0.462,0,,,,,,,,,,,,7.0
202310232,2023-09-17T16:05:00,1,2023,2,SF,LAR,AWAY,30,23,53,SoFi Stadium,7,10,3,10,0,26,49,26:49,21,8,11,2,54,365,6.8,3,28,159,5.7,3,25,17,206,0,0,8.2,12.1,68.0,93.08,9,2,22.2,0,0,0.0,5,3,0,0,6,57,2,0,1,0,7,2,4,197,49.2,0,2,2,3,14,0,6,0,33,11,33:11,28,9,17,2,78,386,4.9,2,22,89,4.0,1,55,34,297,1,2,5.4,8.7,61.8,67.01,14,7,50.0,2,1,50.0,3,2,0,0,6,55,0,0,1,10,3,0,2,108,54.0,2,0,-2,60.0,0,66.7,0,3,3,0,0,0,0,0,3,3,2,2,0,0,0,0,0,3,3,46,25,1,10,7,0,0,32,31,1,0,1,1,0,Sunday,993003829,31,32,18565,7,1,2,0.222,0,,,,,,,,,30.0,7.0,1.0,18.0
202310331,2023-09-21T20:15:00,1,2023,3,SF,NYG,HOME,30,12,42,Levi's Stadium,3,14,3,10,0,39,10,39:10,26,9,13,4,78,441,5.7,3,39,141,3.6,1,37,25,300,2,0,8.1,12.0,67.6,110.19,16,9,56.2,0,0,0.0,5,2,0,0,6,71,1,0,2,10,6,4,3,128,42.7,0,1,1,3,3,6,0,0,20,50,20:50,10,2,6,2,46,150,3.3,1,11,29,2.6,1,33,22,121,0,1,3.7,5.5,66.7,60.29,12,3,25.0,0,0,0.0,1,1,0,0,6,37,0,0,2,16,6,6,6,316,52.7,1,0,-1,40.0,0,100.0,0,3,3,0,0,0,0,0,3,3,0,0,0,1,0,0,0,2,2,31,11,2,16,3,0,0,49,26,2,10,4,0,0,Thursday,993003842,31,23,18454,18,1,1,0.562,0,,,,,,,,,60.0,30.0,2.0,19.0
202310431,2023-10-01T16:25:00,1,2023,4,SF,ARI,HOME,35,16,51,Levi's Stadium,7,14,0,14,0,29,14,29:14,30,10,17,3,53,395,7.5,5,31,124,4.0,4,21,20,271,1,0,12.9,13.6,95.2,134.62,5,3,60.0,1,1,100.0,5,5,0,0,4,21,0,0,1,12,7,3,1,45,45.0,0,0,0,0,10,6,0,0,30,46,30:46,23,7,13,3,67,362,5.4,2,25,105,4.2,0,41,28,257,2,0,6.3,9.2,68.3,101.37,15,8,53.3,3,2,66.7,3,2,0,0,9,55,1,0,1,8,1,3,3,117,39.0,0,0,0,100.0,0,66.7,0,5,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,45,18,1,8,0,0,0,36,24,1,12,0,0,0,Sunday,993003900,31,1,18512,19,1,0,0.6,0,30.0,14.0,16.0,399.0,258.3333333333333,1.333,0.415,,90.0,42.0,3.0,32.0
202310531,2023-10-08T20:20:00,1,2023,5,SF,DAL,HOME,42,10,52,Levi's Stadium,7,14,7,14,0,37,5,37:05,25,10,12,3,67,421,6.3,6,41,170,4.1,2,25,18,251,4,0,10.0,13.9,72.0,143.5,11,6,54.5,1,0,0.0,5,4,0,0,6,45,1,1,1,2,9,6,4,187,46.8,1,4,3,0,7,3,0,0,22,55,22:55,8,3,5,0,49,197,4.0,1,19,57,3.0,0,26,16,140,1,3,5.4,8.8,61.5,49.04,11,4,36.4,1,0,0.0,0,0,0,0,6,60,1,1,4,21,2,5,5,254,50.8,4,1,-3,80.0,0,0.0,0,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,31,17,4,21,6,1,1,45,36,1,2,5,1,1,Sunday,993003930,31,9,18342,32,1,3,0.545,0,31.7,17.0,14.7,400.3333333333333,299.3333333333333,1.0,0.462,,125.0,58.0,4.0,-2.0
202310608,2023-10-15T13:00:00,1,2023,6,SF,CLE,AWAY,17,19,36,Cleveland Browns Stadium,7,3,0,7,0,26,57,26:57,15,6,5,4,55,215,3.9,2,25,108,4.3,1,27,12,107,1,1,4.0,8.9,44.4,52.55,12,3,25.0,0,0,0.0,3,2,0,0,12,105,1,0,3,18,9,6,6,314,52.3,1,2,1,0,7,6,6,0,33,3,33:03,18,10,6,2,70,334,4.8,1,34,160,4.7,1,34,18,174,0,2,5.1,9.7,52.9,43.01,13,3,23.1,1,1,100.0,2,1,0,0,13,119,1,0,2,18,3,4,4,218,54.5,2,1,-1,66.7,0,50.0,0,2,2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,5,4,47,26,2,18,5,1,0,36,9,3,18,3,0,0,Sunday,993003939,31,8,18362,-2,0,1,0.25,0,35.7,12.7,23.0,419.0,236.33333333333334,1.333,0.569,1.0,167.0,68.0,5.0,-5.0
202310720,2023-10-23T20:15:00,1,2023,7,SF,MIN,AWAY,17,22,39,U.S. Bank Stadium,0,7,7,3,0,25,4,25:04,19,7,12,0,53,325,6.1,2,22,65,3.0,1,30,21,260,1,2,8.7,12.4,70.0,79.86,9,5,55.6,1,1,100.0,2,1,0,0,5,37,1,1,1,12,6,5,1,62,62.0,3,1,-2,7,9,6,0,0,34,56,34:56,24,3,18,3,66,452,6.8,2,21,74,3.5,0,45,35,378,2,1,8.4,10.8,77.8,107.22,13,8,61.5,0,0,0.0,2,0,0,0,5,35,0,0,0,0,3,3,1,42,42.0,1,3,2,50.0,0,0.0,0,2,2,0,0,0,0,0,2,1,2,1,0,0,0,0,0,4,3,52,18,0,0,4,0,0,35,20,1,12,4,1,1,Monday,993003987,31,20,18527,-5,0,-2,0.556,0,31.3,15.0,16.3,343.6666666666667,297.6666666666667,1.333,0.465,0.8,184.0,87.0,5.0,-14.0
202310831,2023-10-29T16:25:00,1,2023,8,SF,CIN,HOME,17,31,48,Levi's Stadium,7,3,0,7,0,28,37,28:37,24,8,15,1,56,460,8.2,2,23,113,4.9,1,31,22,347,1,2,11.2,15.8,71.0,91.73,9,5,55.6,0,0,0.0,4,2,0,0,5,54,1,1,2,18,8,6,3,151,50.3,3,1,-2,14,0,3,14,0,31,23,31:23,29,10,17,2,62,400,6.5,4,27,134,5.0,1,32,28,266,3,0,8.3,9.5,87.5,132.55,8,3,37.5,0,0,0.0,5,4,0,0,1,15,2,1,3,17,7,3,3,140,46.7,1,3,2,50.0,0,80.0,0,2,2,0,0,0,0,0,1,1,4,4,0,0,0,0,0,2,1,44,30,3,17,3,2,1,42,13,2,18,4,1,1,Sunday,993004012,31,7,18585,-14,0,-2,0.556,0,25.3,17.0,8.3,320.3333333333333,327.6666666666667,0.667,0.45,0.6,201.0,109.0,5.0,31.0
202311015,2023-11-12T13:00:00,1,2023,10,SF,JAX,AWAY,34,3,37,EverBank Stadium,10,3,14,7,0,33,11,33:11,20,8,11,1,60,437,7.3,4,30,144,4.8,1,28,20,293,3,0,10.5,14.6,71.4,140.92,12,4,33.3,2,1,50.0,4,1,0,0,7,90,0,0,2,9,10,4,3,141,47.0,0,4,4,0,3,0,0,0,26,49,26:49,12,2,7,3,54,221,4.1,0,17,59,3.5,0,32,18,162,0,2,5.1,9.0,56.2,44.01,12,4,33.3,1,0,0.0,2,0,0,0,5,39,2,2,5,28,7,3,5,268,53.6,4,0,-4,25.0,0,0.0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,37,16,5,28,6,2,2,34,28,2,9,4,0,0,Sunday,993004061,31,15,18390,31,1,4,0.333,0,17.0,24.0,-7.0,333.3333333333333,395.3333333333333,-1.0,0.454,0.4,218.0,140.0,5.0,13.0
202311131,2023-11-19T16:05:00,1,2023,11,SF,TB,HOME,27,14,41,Levi's Stadium,7,6,14,0,0,30,51,30:51,22,7,14,1,59,420,7.1,3,30,115,3.8,0,25,21,305,3,0,12.2,14.5,84.0,157.08,10,4,40.0,1,0,0.0,4,2,0,0,7,66,0,0,4,28,8,3,3,153,51.0,0,2,2,0,7,0,7,0,29,9,29:09,22,7,14,1,67,287,4.3,2,18,66,3.7,1,45,29,221,1,1,4.9,7.6,64.4,74.4,14,7,50.0,3,1,33.3,4,2,0,0,3,19,2,1,4,25,5,9,3,144,48.0,2,0,-2,50.0,0,50.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,41,19,4,25,11,1,1,44,21,4,28,0,0,0,Sunday,993004096,31,33,18537,13,1,2,0.4,0,22.7,18.7,4.0,407.3333333333333,357.6666666666667,0.0,0.481,0.4,252.0,143.0,6.0,18.0
