gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310120,2023-09-10T13:00:00,1,2023,1,TB,MIN,AWAY,20,17,37,U.S. Bank Stadium,3,7,7,3,0,30,39,30:39,16,5,9,2,68,242,3.6,2,33,73,2.2,0,34,21,169,2,0,5.0,8.0,61.8,93.87,17,6,35.3,1,1,100.0,2,1,0,0,3,19,0,0,1,4,9,6,6,327,54.5,0,3,3,0,10,0,7,0,29,21,29:21,18,2,15,1,63,369,5.9,2,17,41,2.4,0,44,33,328,2,1,7.5,9.9,75.0,101.33,14,6,42.9,0,0,0.0,3,1,0,0,6,45,2,2,2,16,2,2,5,257,51.4,3,0,-3,50.0,0,33.3,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,42,23,2,16,3,1,2,44,29,1,4,5,0,0,Sunday,993003791,33,20,18489,3,1,3,0.353,0,,,,,,,,,,,,10.0
202310233,2023-09-17T13:00:00,1,2023,2,TB,CHI,HOME,27,17,44,Raymond James Stadium,3,10,7,7,0,35,56,35:56,19,8,10,1,68,437,6.4,3,34,120,3.5,1,34,26,317,1,0,9.3,12.2,76.5,114.46,15,8,53.3,1,1,100.0,4,1,0,0,7,54,2,0,0,0,10,5,4,211,52.8,0,2,2,7,3,0,7,0,24,4,24:04,14,5,9,0,51,236,4.6,2,16,67,4.2,1,29,16,169,1,2,5.8,10.6,55.2,55.1,13,6,46.2,0,0,0.0,1,1,0,0,5,28,2,0,6,42,1,4,5,232,46.4,2,0,-2,25.0,0,100.0,0,3,3,0,0,0,0,0,3,2,2,2,0,0,0,0,0,1,1,29,16,6,42,7,1,0,45,34,0,0,2,2,0,Sunday,993003824,33,6,18562,10,1,2,0.533,0,,,,,,,,,20.0,17.0,1.0,-14.0
202310333,2023-09-25T19:15:00,1,2023,3,TB,PHI,HOME,11,25,36,Raymond James Stadium,0,3,0,8,0,21,5,21:05,12,1,10,1,44,174,4.0,1,17,41,2.4,0,25,15,133,1,1,5.3,8.9,60.0,70.92,10,5,50.0,0,0,0.0,2,1,0,0,4,20,2,1,2,13,4,3,4,230,57.5,2,2,0,3,10,9,3,0,38,55,38:55,27,12,13,2,78,472,6.1,2,40,201,5.0,1,37,23,271,1,2,7.3,11.8,62.2,70.89,16,10,62.5,3,2,66.7,5,1,0,0,3,20,0,0,1,6,5,4,1,38,38.0,2,2,0,50.0,0,20.0,0,0,0,0,2,1,0,0,1,1,2,2,0,0,0,0,0,3,3,50,32,1,6,3,0,0,29,13,2,13,2,2,1,Monday,993003870,33,26,18468,-14,0,0,0.5,0,,,,,,,,,47.0,34.0,2.0,17.0
202310422,2023-10-01T13:00:00,1,2023,4,TB,NO,AWAY,26,9,35,Caesars Superdome,0,14,0,12,0,31,11,31:11,21,6,13,2,67,353,5.3,3,33,114,3.5,0,33,25,239,3,1,7.2,9.6,75.8,113.07,15,8,53.3,0,0,0.0,4,3,0,0,11,91,0,0,1,7,5,4,4,190,47.5,1,3,2,3,0,3,3,0,28,49,28:49,16,4,9,3,61,197,3.2,0,19,70,3.7,0,39,24,127,0,1,3.3,5.3,61.5,56.25,14,5,35.7,2,1,50.0,2,0,0,0,7,58,2,2,3,13,3,4,4,162,40.5,3,1,-2,75.0,0,0.0,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,3,3,37,19,3,13,4,2,2,39,35,1,7,3,0,0,Sunday,993003883,33,22,18506,17,1,2,0.533,0,19.3,19.7,-0.3,284.3333333333333,359.0,1.667,0.462,,58.0,59.0,2.0,-14.0
202310633,2023-10-15T16:25:00,1,2023,6,TB,DET,HOME,6,20,26,Raymond James Stadium,0,3,3,0,0,23,30,23:30,13,0,12,1,54,251,4.6,0,16,46,2.9,0,37,19,205,0,1,5.5,10.8,51.4,56.7,12,2,16.7,2,1,50.0,2,0,0,0,5,33,0,0,1,1,3,5,6,325,54.2,1,0,-1,3,7,7,3,0,36,30,36:30,19,2,16,1,69,380,5.5,2,22,40,1.8,0,44,30,340,2,0,7.7,11.3,68.2,106.25,16,9,56.2,0,0,0.0,2,0,0,0,5,35,1,0,3,13,4,3,4,180,45.0,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,2,43,28,3,13,3,1,0,31,16,1,1,9,0,0,Sunday,993003954,33,11,18364,-14,0,-1,0.167,0,21.3,17.0,4.3,321.3333333333333,301.6666666666667,1.333,0.522,,84.0,68.0,3.0,-3.0
202310733,2023-10-22T13:00:00,1,2023,7,TB,ATL,HOME,13,16,29,Raymond James Stadium,7,3,0,3,0,30,1,30:01,21,2,13,6,65,329,5.1,1,20,73,3.6,0,42,27,256,1,1,6.1,9.5,64.3,79.07,12,6,50.0,1,0,0.0,2,0,0,0,9,66,2,1,3,19,1,2,3,144,48.0,2,3,1,7,3,3,3,0,29,59,29:59,20,10,9,1,64,401,6.3,1,38,156,4.1,1,25,19,245,0,0,9.8,12.9,76.0,106.25,13,7,53.8,0,0,0.0,5,1,0,0,9,60,3,3,1,5,6,5,3,134,44.7,3,2,-1,0.0,0,20.0,0,1,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,3,3,48,28,1,5,3,2,2,39,27,3,19,7,2,1,Sunday,993003966,33,2,18520,-3,0,1,0.5,0,14.3,18.0,-3.7,259.3333333333333,349.6666666666667,0.333,0.4,0.6,90.0,88.0,3.0,-6.0
202310804,2023-10-26T20:15:00,1,2023,8,TB,BUF,AWAY,18,24,42,Highmark Stadium,0,10,0,8,0,28,3,28:03,17,3,10,4,62,302,4.9,2,17,78,4.6,0,42,25,224,2,0,5.3,9.0,59.5,89.78,15,4,26.7,1,1,100.0,1,1,0,0,11,74,2,0,3,13,3,4,6,305,50.8,0,1,1,3,14,7,0,0,31,57,31:57,25,8,16,1,68,427,6.3,3,26,115,4.4,1,40,31,312,2,1,7.8,10.1,77.5,105.42,13,7,53.8,1,0,0.0,4,2,0,0,9,86,0,0,2,12,10,3,4,180,45.0,1,0,-1,100.0,0,50.0,0,1,1,0,2,1,0,0,2,1,3,3,0,0,0,0,0,1,1,48,24,2,12,6,0,0,37,17,3,13,8,0,0,Thursday,993003989,33,4,18572,-6,0,1,0.267,0,15.0,15.0,0.0,311.0,326.0,0.667,0.4,0.4,103.0,104.0,3.0,-2.0
202310913,2023-11-05T13:00:00,1,2023,9,TB,HOU,AWAY,37,39,76,NRG Stadium,0,0,0,0,37,31,20,31:20,21,8,10,3,63,332,5.3,4,31,81,2.6,2,30,21,251,2,0,8.4,12.0,70.0,117.5,13,3,23.1,2,2,100.0,5,4,0,0,9,90,2,1,2,14,6,9,4,202,50.5,1,1,0,0,0,0,0,39,28,40,28:40,26,2,22,2,62,496,8.0,5,17,53,3.1,0,42,30,443,5,0,10.5,14.8,71.4,145.14,11,3,27.3,1,1,100.0,4,3,0,0,9,115,2,1,3,27,5,6,3,174,58.0,1,1,0,80.0,0,75.0,0,4,4,0,0,0,0,0,3,3,1,1,0,5,0,1,1,2,2,42,14,3,27,1,2,1,42,28,2,14,3,2,1,Sunday,993004033,33,13,18379,-2,0,0,0.231,0,12.3,20.0,-7.7,294.0,402.6666666666667,0.333,0.311,0.2,121.0,128.0,3.0,14.0
202311033,2023-11-12T13:00:00,1,2023,10,TB,TEN,HOME,20,6,26,Raymond James Stadium,0,7,10,3,0,31,40,31:40,19,4,12,3,61,340,5.6,2,29,77,2.7,0,29,18,263,2,1,9.1,14.6,62.1,100.22,15,7,46.7,0,0,0.0,2,0,0,0,7,50,1,0,3,15,13,10,5,171,34.2,1,1,0,3,0,0,3,0,28,20,28:20,14,2,10,2,59,209,3.5,0,16,42,2.6,0,39,19,167,0,1,4.3,8.8,48.7,49.84,15,6,40.0,2,0,0.0,2,0,0,0,5,35,0,0,4,32,5,5,4,227,56.8,1,1,0,0.0,0,0.0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,30,21,4,32,6,0,0,35,30,3,15,2,0,0,Sunday,993004054,33,34,18389,14,1,0,0.467,0,22.7,26.3,-3.7,321.0,441.3333333333333,0.667,0.332,0.2,158.0,167.0,3.0,-13.0
202311131,2023-11-19T16:05:00,1,2023,11,TB,SF,AWAY,14,27,41,Levi's Stadium,0,7,0,7,0,29,9,29:09,22,7,14,1,67,287,4.3,2,18,66,3.7,1,45,29,221,1,1,4.9,7.6,64.4,74.4,14,7,50.0,3,1,33.3,4,2,0,0,3,19,2,1,4,25,5,9,3,144,48.0,2,0,-2,7,6,14,0,0,30,51,30:51,22,7,14,1,59,420,7.1,3,30,115,3.8,0,25,21,305,3,0,12.2,14.5,84.0,157.08,10,4,40.0,1,0,0.0,4,2,0,0,7,66,0,0,4,28,8,3,3,153,51.0,0,2,2,50.0,0,50.0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,44,21,4,28,0,0,0,41,19,4,25,11,1,1,Sunday,993004095,33,31,18537,-13,0,-2,0.5,0,25.0,23.0,2.0,324.6666666666667,377.3333333333333,0.333,0.321,0.2,178.0,173.0,4.0,-7.0
