gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310122,2023-09-10T13:00:00,1,2023,1,TEN,NO,AWAY,15,16,31,Caesars Superdome,6,3,0,6,0,31,20,31:20,16,5,8,3,59,285,4.8,0,22,104,4.7,0,34,16,181,0,3,5.3,11.3,47.1,26.72,12,2,16.7,0,0,0.0,3,0,0,0,6,45,0,0,3,17,8,7,3,107,35.7,3,2,-1,3,3,10,0,0,28,40,28:40,15,2,12,1,64,351,5.5,1,27,69,2.6,0,33,23,282,1,1,8.5,12.3,69.7,93.24,16,7,43.8,0,0,0.0,4,1,0,0,7,45,2,1,4,23,10,2,5,241,48.2,2,3,1,0.0,0,25.0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,0,3,3,42,25,4,23,4,2,1,33,21,3,17,11,0,0,Sunday,993003785,34,22,18490,-1,0,-1,0.167,0,,,,,,,,,,,,3.0
202310234,2023-09-17T13:00:00,1,2023,2,TEN,LAC,HOME,27,24,51,Nissan Stadium,0,10,7,7,3,36,49,36:49,22,10,9,3,63,341,5.4,3,34,141,4.1,2,24,20,200,1,0,8.3,10.0,83.3,115.28,13,6,46.2,1,0,0.0,4,3,0,0,7,45,0,0,5,46,5,6,5,306,61.2,0,0,0,3,11,0,10,0,28,9,28:09,19,4,14,1,65,342,5.3,2,21,61,2.9,0,41,27,281,2,0,6.9,10.4,65.9,101.78,14,2,14.3,3,3,100.0,5,2,0,0,4,43,0,0,3,24,6,8,6,234,39.0,0,0,0,75.0,0,40.0,0,3,3,0,0,0,0,0,2,2,1,1,0,2,1,0,0,3,3,40,27,3,24,5,0,0,43,36,5,46,1,0,0,Sunday,993003826,34,29,18561,3,1,0,0.462,0,,,,,,,,,15.0,16.0,0.0,-24.0
202310308,2023-09-24T13:00:00,1,2023,3,TEN,CLE,AWAY,3,27,30,Cleveland Browns Stadium,0,3,0,0,0,21,31,21:31,6,0,5,1,45,94,2.1,0,15,26,1.7,0,25,13,68,0,0,2.7,5.2,52.0,57.92,12,2,16.7,1,1,100.0,2,0,0,0,8,80,1,0,5,36,5,7,7,374,53.4,0,1,1,3,10,7,7,0,38,29,38:29,23,7,12,4,67,341,5.1,3,31,78,2.5,1,33,27,263,2,0,8.0,9.7,81.8,120.08,13,6,46.2,1,1,100.0,2,2,0,0,5,46,3,1,3,26,8,9,3,139,46.3,1,0,-1,0.0,0,100.0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,2,48,31,3,26,0,2,1,29,12,5,36,4,1,0,Sunday,993003847,34,8,18455,-24,0,1,0.167,0,,,,,,,,,42.0,40.0,1.0,24.0
202310434,2023-10-01T13:00:00,1,2023,4,TEN,CIN,HOME,27,3,30,Nissan Stadium,3,21,3,0,0,34,45,34:45,23,9,11,3,62,400,6.5,3,33,173,5.2,1,26,19,227,2,1,8.7,11.9,73.1,108.97,13,8,61.5,1,1,100.0,4,2,0,0,5,27,3,0,3,15,10,5,2,93,46.5,1,1,0,3,0,0,0,0,25,15,25:15,14,5,8,1,51,211,4.1,0,18,72,4.0,0,30,20,139,0,0,4.6,7.0,66.7,76.94,9,2,22.2,1,0,0.0,1,0,0,0,5,40,2,1,3,26,8,4,5,257,51.4,1,1,0,50.0,0,0.0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,36,23,3,26,5,2,1,47,24,3,15,1,1,0,Sunday,993003890,34,7,18504,24,1,0,0.615,0,15.0,22.3,-7.3,240.0,344.6666666666667,0.0,0.265,,45.0,67.0,1.0,-7.0
202310514,2023-10-08T13:00:00,1,2023,5,TEN,IND,AWAY,16,23,39,Lucas Oil Stadium,3,3,10,0,0,28,57,28:57,19,4,14,1,58,348,6.0,1,22,89,4.0,1,35,23,259,0,1,7.4,11.3,65.7,75.77,12,5,41.7,2,1,50.0,4,1,0,0,4,58,0,0,1,5,2,0,1,43,43.0,1,0,-1,7,3,7,6,0,31,3,31:03,21,7,12,2,61,429,7.0,2,34,193,5.7,2,26,20,236,0,0,9.1,11.8,76.9,104.01,13,8,61.5,1,0,0.0,5,1,0,0,8,55,1,0,1,17,8,1,1,50,50.0,0,1,1,25.0,0,20.0,0,1,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,3,3,43,36,1,17,1,1,0,34,25,1,5,5,0,0,Sunday,993003917,34,14,18349,-7,0,-1,0.417,0,19.0,18.0,1.0,278.3333333333333,298.0,0.333,0.415,,72.0,70.0,2.0,-8.0
202310634,2023-10-15T09:30:00,1,2023,6,TEN,BAL,HOME,16,24,40,Tottenham Hotspur Stadium,3,0,10,3,0,24,18,24:18,17,5,4,8,46,233,5.1,1,19,129,6.8,1,21,12,104,0,1,5.0,8.7,57.1,50.5,9,1,11.1,0,0,0.0,4,1,0,0,6,45,1,1,6,46,1,5,5,263,52.6,2,1,-1,6,12,0,6,0,35,42,35:42,20,9,9,2,70,360,5.1,1,39,139,3.6,0,30,21,221,1,1,7.4,10.5,70.0,88.33,16,8,50.0,0,0,0.0,6,1,0,0,9,88,0,0,1,2,10,7,3,146,48.7,1,2,1,25.0,0,16.7,0,1,1,0,0,0,0,0,3,3,1,0,1,0,0,0,0,6,6,55,19,1,2,2,0,0,32,15,6,46,4,0,1,Sunday,993003936,34,3,18334,-8,0,-1,0.111,0,15.3,17.7,-2.3,280.6666666666667,327.0,0.0,0.4,0.4,88.0,93.0,2.0,5.0
202310834,2023-10-29T13:00:00,1,2023,8,TEN,ATL,HOME,28,23,51,Nissan Stadium,7,7,7,7,0,32,59,32:59,17,9,7,1,67,375,5.6,4,36,149,4.1,0,29,19,226,4,0,7.8,11.9,65.5,128.74,15,5,33.3,1,1,100.0,1,1,0,0,6,53,1,1,2,12,9,7,8,420,52.5,1,1,0,3,0,6,14,0,27,1,27:01,17,4,12,1,66,342,5.2,2,26,140,5.4,1,34,20,202,1,0,5.9,10.1,58.8,85.66,15,4,26.7,2,1,50.0,3,2,0,0,3,15,1,1,6,44,11,4,6,305,50.8,1,1,0,100.0,0,66.7,0,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,3,42,24,6,44,4,1,1,42,24,2,12,2,0,1,Sunday,993003992,34,2,18575,5,1,0,0.333,0,19.7,16.7,3.0,327.0,333.3333333333333,-0.667,0.381,0.4,104.0,117.0,2.0,-4.0
202310928,2023-11-02T20:15:00,1,2023,9,TEN,PIT,AWAY,16,20,36,Acrisure Stadium,3,10,3,0,0,31,9,31:09,23,5,12,6,68,340,5.0,1,25,105,4.2,1,39,22,235,0,1,6.0,10.7,56.4,63.51,13,3,23.1,2,1,50.0,4,1,0,0,7,51,0,0,4,27,2,4,3,171,57.0,1,0,-1,7,3,3,7,0,28,51,28:51,22,10,9,3,60,326,5.4,2,30,166,5.5,1,30,19,160,1,0,5.3,8.4,63.3,88.19,12,6,50.0,0,0,0.0,4,2,0,0,10,80,0,0,0,0,10,6,4,200,50.0,0,1,1,25.0,0,50.0,0,1,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,35,29,0,0,3,0,0,37,24,4,27,6,0,0,Thursday,993004021,34,28,18372,-4,0,-1,0.231,0,20.0,23.3,-3.3,318.6666666666667,377.0,-0.667,0.287,0.4,132.0,140.0,3.0,-14.0
202311033,2023-11-12T13:00:00,1,2023,10,TEN,TB,AWAY,6,20,26,Raymond James Stadium,3,0,0,3,0,28,20,28:20,14,2,10,2,59,209,3.5,0,16,42,2.6,0,39,19,167,0,1,4.3,8.8,48.7,49.84,15,6,40.0,2,0,0.0,2,0,0,0,5,35,0,0,4,32,5,5,4,227,56.8,1,1,0,0,7,10,3,0,31,40,31:40,19,4,12,3,61,340,5.6,2,29,77,2.7,0,29,18,263,2,1,9.1,14.6,62.1,100.22,15,7,46.7,0,0,0.0,2,0,0,0,7,50,1,0,3,15,13,10,5,171,34.2,1,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,2,2,35,30,3,15,2,0,0,30,21,4,32,6,0,0,Sunday,993004053,34,33,18389,-14,0,0,0.4,0,20.0,22.3,-2.3,316.0,342.6666666666667,-0.667,0.225,0.4,148.0,160.0,3.0,-20.0
202311115,2023-11-19T13:00:00,1,2023,11,TEN,JAX,AWAY,14,34,48,EverBank Stadium,0,0,7,7,0,23,34,23:34,12,4,6,2,38,235,6.2,2,19,92,4.8,0,17,13,143,2,0,8.4,11.0,76.5,140.07,7,2,28.6,1,1,100.0,1,1,0,0,7,66,2,2,2,15,2,6,4,214,53.5,2,0,-2,7,6,14,7,0,36,26,36:26,24,8,13,3,69,389,5.6,4,36,128,3.6,2,32,24,261,2,0,8.2,10.9,75.0,119.4,12,4,33.3,4,3,75.0,5,3,0,0,4,29,0,0,1,1,5,0,2,103,51.5,0,2,2,100.0,0,60.0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,2,52,20,1,1,2,0,0,18,30,2,15,3,1,2,Sunday,993004085,34,15,18535,-20,0,-2,0.286,0,16.7,21.0,-4.3,308.0,336.0,-0.333,0.321,0.2,154.0,180.0,3.0,7.0
