gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410104,2024-09-08T13:00:00,1,2024,1,ARI,BUF,AWAY,28,34,62,Highmark Stadium,7,10,0,11,0,29,30,29:30,18,7,10,1,60,270,4.5,3,25,124,5.0,1,31,21,146,1,0,4.7,7.0,67.7,88.91,13,7,53.8,1,0,0.0,4,2,0,0,5,31,1,1,4,16,3,5,2,78,39.0,1,1,0,0,10,14,10,0,30,30,30:30,23,8,11,4,58,352,6.1,4,33,130,3.9,2,23,18,222,2,0,9.7,12.3,78.3,135.87,9,3,33.3,2,2,100.0,6,4,0,0,9,65,1,1,2,10,5,4,2,85,42.5,1,1,0,50.0,0,66.7,0,2,2,0,0,0,1,1,2,2,4,4,0,0,0,0,0,2,2,41,27,2,10,2,1,1,44,16,4,16,3,1,1,Sunday,993004465,1,4,18676,-6,0,0,0.538,0,,,,,,,,,,,,31.0
202410201,2024-09-15T16:05:00,1,2024,2,ARI,LAR,HOME,41,10,51,State Farm Stadium,14,10,10,7,0,36,54,36:54,24,14,9,1,62,489,7.9,5,40,231,5.8,2,21,17,258,3,0,12.3,15.2,81.0,157.44,11,7,63.6,0,0,0.0,4,3,0,0,5,52,2,1,1,8,9,12,1,60,60.0,1,1,0,0,3,7,0,0,23,6,23:06,14,4,9,1,52,245,4.7,1,20,53,2.6,1,27,19,192,0,0,7.1,10.1,70.4,90.35,11,2,18.2,3,1,33.3,3,1,0,0,2,10,1,1,5,24,1,6,4,215,53.8,1,1,0,75.0,0,33.3,0,5,5,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,35,24,5,24,2,1,1,45,26,1,8,1,1,1,Sunday,993004502,1,32,18689,31,1,0,0.636,0,,,,,,,,,28.0,34.0,0.0,-7.0
202410301,2024-09-22T16:25:00,1,2024,3,ARI,DET,HOME,13,20,33,State Farm Stadium,7,3,0,3,0,23,11,23:11,17,2,10,5,53,277,5.2,1,18,77,4.3,0,34,21,200,1,1,5.9,9.5,61.8,75.61,9,1,11.1,2,0,0.0,1,1,0,0,4,30,0,0,1,7,2,6,5,260,52.0,1,1,0,7,13,0,0,0,36,49,36:49,23,12,11,0,68,373,5.5,3,43,187,4.3,1,23,18,186,2,1,8.1,10.3,78.3,111.23,12,6,50.0,1,0,0.0,2,2,0,0,9,79,0,0,2,13,4,3,5,247,49.4,1,1,0,100.0,0,100.0,0,1,1,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,41,42,2,13,1,0,0,31,18,1,7,6,0,0,Sunday,993004536,1,11,18704,-7,0,0,0.111,0,,,,,,,,,69.0,44.0,1.0,-28.0
202410401,2024-09-29T16:05:00,1,2024,4,ARI,WAS,HOME,14,42,56,State Farm Stadium,7,0,7,0,0,26,38,26:38,17,12,5,0,58,296,5.1,2,32,181,5.7,1,22,16,115,1,0,5.2,7.2,72.7,99.62,11,4,36.4,3,2,66.7,2,2,0,0,4,82,3,1,4,27,1,1,4,192,48.0,1,1,0,7,10,10,15,0,33,22,33:22,29,13,14,2,67,449,6.7,5,37,216,5.8,4,30,26,233,1,1,7.8,9.0,86.7,96.25,12,9,75.0,1,1,100.0,5,4,0,0,5,49,0,0,0,0,7,3,1,51,51.0,1,1,0,100.0,0,80.0,0,2,2,0,0,0,0,0,0,0,4,4,0,2,1,0,0,2,2,45,27,0,0,2,0,0,41,24,4,27,1,3,1,Sunday,993004564,1,35,18722,-28,0,0,0.364,0,27.3,21.3,6.0,345.3333333333333,323.3333333333333,0.0,0.429,,82.0,64.0,1.0,1.0
202410531,2024-10-06T16:05:00,1,2024,5,ARI,SF,AWAY,24,23,47,Levi's Stadium,7,3,3,11,0,27,2,27:02,19,9,10,0,57,358,6.3,2,26,169,6.5,1,30,19,189,1,1,6.3,9.9,63.3,78.33,10,3,30.0,1,1,100.0,3,1,0,0,1,5,1,0,1,6,5,4,2,106,53.0,1,3,2,10,13,0,0,0,32,58,32:58,22,9,13,0,63,384,6.1,2,26,153,5.9,0,35,19,231,1,2,6.6,12.2,54.3,60.54,11,6,54.5,1,0,0.0,6,1,0,0,4,21,1,1,2,13,2,4,1,41,41.0,3,1,-2,33.3,0,16.7,0,1,1,0,0,0,1,1,4,3,2,2,0,0,0,0,0,3,3,35,25,2,13,9,1,1,36,28,1,6,7,1,0,Sunday,993004593,1,31,18738,1,1,2,0.3,0,22.7,24.0,-1.3,354.0,355.6666666666667,0.0,0.37,,96.0,106.0,1.0,-21.0
202410612,2024-10-13T13:00:00,1,2024,6,ARI,GB,AWAY,13,34,47,Lambeau Field,0,10,3,0,0,23,25,23:25,16,5,8,3,55,303,5.5,1,23,89,3.9,0,32,22,214,1,0,6.7,9.7,68.8,97.66,10,4,40.0,0,0,0.0,3,1,0,0,13,100,3,3,0,0,2,3,4,211,52.8,3,1,-2,7,17,7,3,0,36,35,36:35,27,9,15,3,70,437,6.2,4,38,179,4.7,0,32,22,258,4,1,8.1,11.7,68.8,119.53,12,7,58.3,1,1,100.0,4,2,0,0,5,40,0,0,0,0,1,2,1,46,46.0,1,3,2,33.3,0,50.0,0,1,1,0,0,0,0,0,2,2,4,4,0,0,0,0,0,3,2,42,37,0,0,5,0,0,40,13,0,0,2,2,3,Sunday,993004609,1,12,18754,-21,0,-2,0.4,0,17.0,28.3,-11.3,310.3333333333333,402.0,0.667,0.258,0.4,120.0,129.0,2.0,2.0
202410701,2024-10-21T21:00:00,1,2024,7,ARI,LAC,HOME,17,15,32,State Farm Stadium,0,7,0,10,0,25,46,25:46,22,10,10,2,55,326,5.9,2,29,181,6.2,1,26,14,145,1,1,5.6,10.4,53.8,66.99,7,2,28.6,1,0,0.0,2,1,0,0,3,15,1,0,0,0,7,5,4,178,44.5,1,2,1,0,6,3,6,0,34,14,34:14,20,5,14,1,64,395,6.2,0,22,59,2.7,0,39,27,336,0,0,8.6,12.4,69.2,95.67,14,6,42.9,1,1,100.0,1,0,0,0,5,57,3,2,3,13,1,1,2,75,37.5,2,1,-1,50.0,0,0.0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,5,41,28,3,13,2,3,2,32,20,0,0,6,1,0,Monday,993004660,1,29,18761,2,1,1,0.286,0,17.0,33.0,-16.0,319.0,423.3333333333333,0.0,0.355,0.4,133.0,163.0,2.0,1.0
202410819,2024-10-27T13:00:00,1,2024,8,ARI,MIA,AWAY,28,27,55,Hard Rock Stadium,0,7,11,10,0,29,29,29:29,22,6,15,1,62,389,6.3,3,26,82,3.2,1,36,26,307,2,0,8.5,11.8,72.2,116.32,13,7,53.8,0,0,0.0,3,2,0,0,4,29,1,0,0,0,3,5,3,160,53.3,0,0,0,10,3,7,7,0,30,31,30:31,22,7,15,0,64,377,5.9,3,25,150,6.0,2,38,28,227,1,0,6.0,8.1,73.7,97.15,15,11,73.3,0,0,0.0,4,3,0,0,2,15,4,0,1,7,1,2,2,92,46.0,0,0,0,66.7,0,75.0,0,2,2,0,1,0,0,0,2,2,3,3,0,0,0,0,0,2,2,35,30,1,7,4,2,0,39,21,0,0,5,1,0,Sunday,993004671,1,19,18787,1,1,0,0.538,0,18.0,24.0,-6.0,329.0,405.3333333333333,0.333,0.329,0.4,150.0,178.0,3.0,20.0
202410901,2024-11-03T16:05:00,1,2024,9,ARI,CHI,HOME,29,9,38,State Farm Stadium,7,14,3,5,0,28,59,28:59,18,10,7,1,57,350,6.1,3,34,213,6.3,3,20,13,137,0,0,6.8,10.5,65.0,84.79,13,5,38.5,1,0,0.0,3,2,0,0,2,15,2,2,3,17,12,5,4,187,46.8,2,0,-2,0,9,0,0,0,31,1,31:01,16,5,10,1,70,241,3.4,0,23,69,3.0,0,41,22,172,0,0,4.2,7.8,53.7,64.28,14,3,21.4,4,2,50.0,1,0,0,0,6,33,1,0,6,45,3,5,4,218,54.5,0,2,2,66.7,0,0.0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,43,21,6,45,4,1,0,36,27,3,17,3,1,2,Sunday,993004713,1,6,18796,20,1,-2,0.385,0,19.3,25.3,-6.0,339.3333333333333,403.0,-0.333,0.408,0.6,178.0,205.0,4.0,25.0
202411001,2024-11-10T16:25:00,1,2024,10,ARI,NYJ,HOME,31,6,37,State Farm Stadium,14,10,7,0,0,32,42,32:42,28,11,15,2,57,406,7.1,4,32,147,4.6,3,24,22,259,1,0,10.8,11.8,91.7,125.52,7,5,71.4,1,1,100.0,5,4,0,0,5,58,1,0,1,7,5,5,1,40,40.0,0,1,1,3,3,0,0,0,27,18,27:18,17,5,10,2,55,207,3.8,0,17,79,4.6,0,35,22,128,0,0,3.7,5.8,62.9,69.7,13,6,46.2,3,1,33.3,3,0,0,0,3,25,1,1,3,23,2,3,2,93,46.5,1,0,-1,80.0,0,0.0,0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,33,17,3,23,6,1,1,30,42,1,7,0,1,0,Sunday,993004746,1,24,18809,25,1,1,0.714,0,24.7,17.0,7.7,355.0,337.6666666666667,-0.333,0.403,0.8,207.0,214.0,5.0,-10.0
