gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410116,2024-09-05T20:40:00,,2024,1,BAL,KC,AWAY,20,27,47,Arrowhead Stadium,,,,,,,,33:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,993004447,3,16,,-7,0,,,,,,,,,,,,,,
202410203,2024-09-15T13:00:00,1.0,2024,2,BAL,LV,HOME,23,26,49,M&T Bank Stadium,7.0,3.0,0.0,10.0,0.0,33.0,43.0,29:17,25.0,13.0,11.0,1.0,74.0,452.0,6.1,2.0,32.0,185.0,5.8,1.0,41.0,26.0,267.0,1.0,0.0,6.5,10.3,63.4,90.19,14.0,7.0,50.0,2.0,1.0,50.0,4.0,1.0,0.0,0.0,7.0,64.0,1.0,1.0,1.0,6.0,7.0,2.0,2.0,75.0,37.5,1.0,1.0,0.0,7.0,6.0,7.0,7.0,0.0,26.0,17.0,30:43,21.0,4.0,15.0,2.0,50.0,353.0,7.1,3.0,20.0,72.0,3.6,2.0,28.0,20.0,281.0,1.0,1.0,10.0,14.0,71.4,100.45,9.0,4.0,44.4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,45.0,0.0,0.0,2.0,10.0,1.0,3.0,3.0,144.0,48.0,1.0,1.0,0.0,25.0,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,18.0,2.0,10.0,4.0,0.0,0.0,48.0,23.0,1.0,6.0,4.0,1.0,1.0,Sunday,993004500,3,25,18684.0,-3,0,0.0,0.5,0.0,,,,,,,,,20.0,27.0,0.0
202410309,2024-09-22T16:25:00,1.0,2024,3,BAL,DAL,AWAY,28,25,53,AT&T Stadium,3.0,6.0,7.0,7.0,0.0,29.0,17.0,34:45,21.0,5.0,14.0,2.0,63.0,383.0,6.1,2.0,27.0,151.0,5.6,1.0,34.0,21.0,232.0,1.0,1.0,6.8,11.0,61.8,79.53,11.0,3.0,27.3,1.0,1.0,100.0,3.0,2.0,0.0,0.0,11.0,109.0,0.0,0.0,2.0,15.0,10.0,9.0,4.0,173.0,43.2,1.0,1.0,0.0,0.0,6.0,7.0,13.0,0.0,30.0,43.0,25:15,18.0,1.0,14.0,3.0,60.0,260.0,4.3,2.0,17.0,27.0,1.6,1.0,38.0,30.0,233.0,1.0,1.0,6.1,7.8,78.9,90.02,12.0,4.0,33.3,1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,15.0,1.0,0.0,5.0,43.0,2.0,5.0,3.0,128.0,42.7,1.0,1.0,0.0,66.7,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,43.0,22.0,5.0,43.0,3.0,1.0,0.0,42.0,14.0,2.0,15.0,7.0,0.0,0.0,Sunday,993004533,3,9,18690.0,3,1,0.0,0.273,0.0,,,,,,,,,43.0,53.0,0.0
202410403,2024-09-29T20:20:00,1.0,2024,4,BAL,BUF,HOME,35,10,45,M&T Bank Stadium,14.0,7.0,7.0,0.0,0.0,34.0,45.0,31:03,24.0,16.0,8.0,0.0,60.0,456.0,7.6,4.0,45.0,274.0,6.1,3.0,15.0,12.0,182.0,1.0,0.0,12.1,15.2,80.0,139.44,9.0,4.0,44.4,0.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,105.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,171.0,42.8,0.0,1.0,1.0,3.0,3.0,0.0,19.0,0.0,25.0,15.0,28:57,26.0,2.0,18.0,6.0,70.0,412.0,5.9,3.0,16.0,51.0,3.2,1.0,51.0,28.0,361.0,2.0,0.0,7.1,12.9,54.9,90.4,13.0,7.0,53.8,1.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,44.0,2.0,1.0,3.0,18.0,1.0,0.0,4.0,209.0,52.2,1.0,0.0,-1.0,100.0,0.0,75.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,36.0,19.0,3.0,18.0,9.0,1.0,1.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,Sunday,993004570,3,4,18705.0,25,1,1.0,0.444,0.0,23.7,26.0,-2.3,430.3333333333333,341.6666666666667,0.333,0.406,,71.0,78.0,1.0
202410507,2024-10-06T13:00:00,1.0,2024,5,BAL,CIN,AWAY,41,38,79,Paycor Stadium,7.0,14.0,7.0,7.0,0.0,31.0,3.0,33:45,22.0,11.0,9.0,2.0,54.0,427.0,7.9,5.0,34.0,271.0,8.0,3.0,19.0,14.0,156.0,2.0,0.0,8.2,11.1,73.7,132.79,9.0,5.0,55.6,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,79.0,2.0,1.0,1.0,1.0,8.0,5.0,4.0,177.0,44.2,1.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,28.0,57.0,32:42,12.0,5.0,6.0,1.0,57.0,236.0,4.1,1.0,23.0,81.0,3.5,1.0,31.0,17.0,155.0,0.0,0.0,5.0,9.1,54.8,68.62,13.0,3.0,23.1,1.0,1.0,100.0,2.0,1.0,0.0,0.0,4.0,38.0,2.0,1.0,3.0,27.0,3.0,6.0,6.0,289.0,48.2,1.0,1.0,0.0,100.0,0.0,50.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,27.0,31.0,3.0,27.0,2.0,1.0,1.0,39.0,24.0,1.0,1.0,1.0,2.0,1.0,Sunday,993004589,3,7,18719.0,3,1,0.0,0.556,0.0,28.7,20.3,8.3,422.0,302.6666666666667,0.333,0.424,,106.0,88.0,2.0
202410603,2024-10-13T13:00:00,1.0,2024,6,BAL,WAS,HOME,30,23,53,M&T Bank Stadium,7.0,7.0,7.0,17.0,3.0,33.0,45.0,36:08,30.0,11.0,18.0,1.0,77.0,520.0,6.8,5.0,34.0,175.0,5.1,1.0,42.0,26.0,345.0,4.0,0.0,8.2,13.3,61.9,119.64,15.0,10.0,66.7,1.0,1.0,100.0,6.0,5.0,0.0,0.0,5.0,21.0,2.0,1.0,1.0,3.0,9.0,5.0,3.0,168.0,56.0,1.0,1.0,0.0,0.0,17.0,7.0,14.0,0.0,32.0,42.0,23:52,23.0,3.0,19.0,1.0,65.0,442.0,6.8,5.0,23.0,71.0,3.1,0.0,39.0,30.0,371.0,5.0,1.0,9.5,12.4,76.9,134.72,14.0,8.0,57.1,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,24.0,0.0,0.0,3.0,21.0,7.0,3.0,5.0,253.0,50.6,1.0,1.0,0.0,83.3,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,42.0,26.0,3.0,21.0,6.0,0.0,0.0,44.0,24.0,1.0,3.0,3.0,0.0,1.0,Sunday,993004608,3,35,18740.0,7,1,0.0,0.667,0.0,34.7,24.3,10.3,467.6666666666667,363.3333333333333,0.333,0.556,0.6,147.0,126.0,3.0
202410733,2024-10-21T20:15:00,1.0,2024,7,BAL,TB,AWAY,41,31,72,Raymond James Stadium,3.0,14.0,10.0,3.0,0.0,36.0,8.0,24:55,28.0,9.0,16.0,3.0,65.0,484.0,7.4,3.0,37.0,176.0,4.8,2.0,26.0,20.0,308.0,1.0,1.0,11.8,15.4,76.9,112.34,10.0,6.0,60.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,33.0,1.0,0.0,2.0,15.0,8.0,4.0,1.0,50.0,50.0,1.0,0.0,-1.0,3.0,7.0,3.0,10.0,0.0,23.0,52.0,35:05,18.0,1.0,16.0,1.0,56.0,305.0,5.4,2.0,18.0,52.0,2.9,0.0,35.0,24.0,253.0,2.0,0.0,7.2,10.5,68.6,108.39,12.0,4.0,33.3,1.0,1.0,100.0,3.0,2.0,0.0,0.0,6.0,46.0,0.0,0.0,3.0,16.0,4.0,5.0,3.0,127.0,42.3,0.0,1.0,1.0,75.0,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,38.0,15.0,3.0,16.0,5.0,0.0,0.0,42.0,27.0,2.0,15.0,3.0,0.0,0.0,Monday,993004657,3,33,18753.0,10,1,-1.0,0.6,0.0,35.3,23.7,11.7,477.0,327.6666666666667,-0.333,0.607,0.8,177.0,149.0,4.0
202410808,2024-10-27T13:00:00,1.0,2024,8,BAL,CLE,AWAY,24,29,53,Huntington Bank Field,0.0,17.0,17.0,7.0,0.0,24.0,55.0,28:54,22.0,7.0,12.0,3.0,54.0,508.0,9.4,5.0,30.0,244.0,8.1,0.0,22.0,17.0,264.0,5.0,0.0,12.0,15.5,77.3,156.06,8.0,3.0,37.5,1.0,1.0,100.0,5.0,4.0,0.0,0.0,9.0,85.0,2.0,1.0,2.0,17.0,4.0,5.0,2.0,87.0,43.5,1.0,2.0,1.0,10.0,0.0,0.0,21.0,0.0,35.0,5.0,31:06,28.0,7.0,19.0,2.0,78.0,481.0,6.2,4.0,30.0,125.0,4.2,1.0,45.0,31.0,356.0,3.0,2.0,7.9,11.5,68.9,96.16,17.0,11.0,64.7,1.0,1.0,100.0,5.0,3.0,0.0,0.0,8.0,75.0,1.0,0.0,3.0,14.0,2.0,6.0,2.0,93.0,46.5,2.0,1.0,-1.0,80.0,0.0,60.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,49.0,30.0,3.0,14.0,5.0,1.0,0.0,37.0,18.0,2.0,17.0,1.0,0.0,1.0,Sunday,993004667,3,8,18762.0,-5,0,1.0,0.375,0.0,37.3,30.7,6.7,504.0,409.3333333333333,0.0,0.547,1.0,218.0,180.0,5.0
202410903,2024-11-03T13:00:00,1.0,2024,9,BAL,DEN,HOME,41,10,51,M&T Bank Stadium,0.0,10.0,7.0,7.0,0.0,28.0,54.0,31:51,22.0,5.0,14.0,3.0,62.0,387.0,6.2,3.0,21.0,124.0,5.9,1.0,38.0,23.0,263.0,2.0,0.0,6.9,11.4,60.5,98.9,10.0,2.0,20.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,53.0,0.0,0.0,3.0,26.0,8.0,6.0,4.0,209.0,52.2,0.0,1.0,1.0,3.0,3.0,14.0,9.0,0.0,31.0,6.0,28:09,22.0,5.0,16.0,1.0,66.0,401.0,6.1,3.0,23.0,80.0,3.5,0.0,41.0,27.0,321.0,3.0,0.0,7.8,11.9,65.9,113.97,15.0,8.0,53.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,74.0,1.0,1.0,2.0,13.0,7.0,7.0,3.0,146.0,48.7,1.0,0.0,-1.0,75.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,42.0,21.0,2.0,13.0,5.0,1.0,1.0,37.0,21.0,3.0,26.0,6.0,0.0,0.0,Sunday,993004700,3,10,18783.0,31,1,1.0,0.2,0.0,31.7,27.7,4.0,459.6666666666667,395.6666666666667,0.333,0.392,0.8,242.0,209.0,5.0
202411003,2024-11-07T20:15:00,1.0,2024,10,BAL,CIN,HOME,35,34,69,M&T Bank Stadium,7.0,17.0,14.0,3.0,0.0,31.0,51.0,28:25,25.0,8.0,12.0,5.0,54.0,396.0,7.3,5.0,34.0,127.0,3.7,2.0,19.0,16.0,269.0,3.0,0.0,14.2,16.8,84.2,158.33,8.0,3.0,37.5,0.0,0.0,0.0,6.0,4.0,0.0,0.0,6.0,53.0,2.0,0.0,1.0,11.0,5.0,5.0,2.0,98.0,49.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,28.0,9.0,31:35,20.0,6.0,10.0,4.0,68.0,319.0,4.7,1.0,30.0,122.0,4.1,0.0,34.0,20.0,197.0,1.0,1.0,5.8,9.8,58.8,72.79,14.0,6.0,42.9,5.0,1.0,20.0,4.0,1.0,0.0,0.0,9.0,71.0,0.0,0.0,4.0,28.0,1.0,4.0,2.0,96.0,48.0,1.0,0.0,-1.0,66.7,0.0,25.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,24.0,4.0,28.0,7.0,0.0,0.0,36.0,29.0,1.0,11.0,1.0,1.0,0.0,Thursday,993004724,3,7,18798.0,1,1,1.0,0.375,0.0,35.3,23.3,12.0,430.3333333333333,400.3333333333333,1.0,0.317,0.8,283.0,219.0,6.0
202411128,2024-11-17T13:00:00,1.0,2024,11,BAL,PIT,AWAY,16,18,34,Acrisure Stadium,0.0,7.0,7.0,21.0,0.0,28.0,25.0,23:38,20.0,5.0,14.0,1.0,58.0,389.0,6.7,5.0,25.0,99.0,4.0,1.0,33.0,25.0,290.0,4.0,0.0,8.8,11.6,75.8,141.41,12.0,7.0,58.3,0.0,0.0,0.0,4.0,4.0,0.0,0.0,11.0,81.0,0.0,0.0,0.0,0.0,13.0,3.0,5.0,231.0,46.2,0.0,1.0,1.0,7.0,7.0,7.0,13.0,0.0,31.0,35.0,36:22,27.0,2.0,21.0,4.0,75.0,470.0,6.3,5.0,16.0,49.0,3.1,1.0,56.0,34.0,421.0,4.0,0.0,7.5,12.4,60.7,107.81,16.0,8.0,50.0,4.0,2.0,50.0,3.0,3.0,0.0,0.0,3.0,23.0,3.0,1.0,3.0,7.0,1.0,4.0,3.0,124.0,41.3,1.0,0.0,-1.0,100.0,0.0,100.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,20.0,3.0,7.0,7.0,2.0,1.0,33.0,23.0,0.0,0.0,4.0,0.0,0.0,Sunday,993004763,3,28,18820.0,-2,0,1.0,0.583,0.0,33.3,24.3,9.0,390.6666666666667,396.6666666666667,1.0,0.386,0.8,318.0,253.0,7.0
