gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410122,2024-09-08T13:00:00,1,2024,1,CAR,NO,AWAY,10,47,57,Caesars Superdome,0,3,7,0,0,23,21,23:21,11,2,7,2,55,193,3.5,1,20,58,2.9,1,31,13,135,0,2,4.4,10.4,41.9,28.29,10,1,10.0,3,1,33.3,2,1,0,0,6,80,1,1,4,26,1,6,5,191,38.2,3,1,-2,17,13,7,10,0,36,39,36:39,22,13,7,2,62,379,6.1,5,37,180,4.9,2,24,19,199,3,0,8.3,10.5,79.2,140.8,13,7,53.8,0,0,0.0,4,4,0,0,10,95,1,1,1,1,5,4,2,73,36.5,1,3,2,50.0,0,100.0,0,1,1,0,0,0,0,0,1,1,5,5,0,0,0,0,0,4,4,43,29,1,1,3,0,1,27,16,4,26,6,1,1,Sunday,993004459,5,22,18681,-37,0,-2,0.1,0,,,,,,,,,,,,-23.0
202410205,2024-09-15T13:00:00,1,2024,2,CAR,LAC,HOME,3,26,29,Bank of America Stadium,0,0,3,0,0,23,42,23:42,7,4,3,0,46,159,3.5,0,18,90,5.0,0,26,18,69,0,1,2.7,3.8,69.2,56.25,12,1,8.3,3,1,33.3,0,0,0,0,9,90,0,0,2,15,2,1,7,311,44.4,1,2,1,6,14,3,3,0,36,18,36:18,21,10,8,3,65,349,5.4,3,44,219,5.0,1,20,14,130,2,1,6.5,9.3,70.0,100.0,16,9,56.2,0,0,0.0,2,1,0,0,3,15,1,1,1,0,2,4,3,129,43.0,2,1,-1,0.0,0,50.0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,2,2,44,35,1,0,2,1,1,29,23,2,15,5,0,0,Sunday,993004496,5,29,18691,-23,0,1,0.083,0,,,,,,,,,10.0,47.0,0.0,14.0
202410325,2024-09-22T16:05:00,1,2024,3,CAR,LV,AWAY,36,22,58,Allegiant Stadium,7,14,6,9,0,36,2,36:02,24,8,15,1,70,437,6.2,4,31,131,4.2,1,37,26,306,3,0,8.3,11.8,70.3,122.13,12,5,41.7,0,0,0.0,5,3,0,0,7,51,0,0,2,13,6,3,4,177,44.2,0,1,1,7,0,0,15,0,23,58,23:58,20,3,15,2,59,331,5.6,3,16,55,3.4,1,40,27,276,2,1,6.9,10.2,67.5,93.33,11,3,27.3,3,1,33.3,3,3,0,0,6,54,0,0,3,20,5,3,5,261,52.2,1,0,-1,60.0,0,100.0,0,3,3,0,2,0,0,0,3,3,2,2,0,2,1,0,0,1,0,36,18,3,20,7,0,0,44,28,2,13,5,0,0,Sunday,993004527,5,25,18707,14,1,1,0.417,0,,,,,,,,,13.0,73.0,0.0,-10.0
202410405,2024-09-29T13:00:00,1,2024,4,CAR,CIN,HOME,24,34,58,Bank of America Stadium,0,14,7,3,0,31,2,31:02,24,10,12,2,70,375,5.4,3,29,155,5.3,1,41,25,220,2,1,5.4,8.8,61.0,81.35,14,7,50.0,3,1,33.3,3,2,0,0,6,37,0,0,0,0,2,3,2,102,51.0,1,1,0,7,14,10,3,0,28,58,28:58,24,6,14,4,62,373,6.0,4,31,141,4.5,2,31,22,232,2,1,7.5,10.5,71.0,100.47,13,7,53.8,0,0,0.0,3,3,0,0,5,39,0,0,0,0,2,0,3,170,56.7,1,1,0,66.7,0,100.0,0,3,3,0,0,0,0,0,1,1,4,4,0,0,0,0,0,2,2,39,28,0,0,4,0,0,39,27,0,0,8,0,0,Sunday,993004560,5,7,18725,-10,0,0,0.5,0,16.3,31.7,-15.3,263.0,353.0,0.0,0.2,,49.0,95.0,1.0,-26.0
202410506,2024-10-06T13:00:00,1,2024,5,CAR,CHI,AWAY,10,36,46,Soldier Field,7,0,3,0,0,26,12,26:12,14,4,9,1,58,292,5.0,1,19,120,6.3,1,35,22,172,0,1,4.9,7.8,62.9,63.04,12,3,25.0,3,1,33.3,2,0,0,0,4,18,4,2,4,22,2,2,4,206,51.5,3,0,-3,7,20,3,6,0,33,48,33:48,24,11,12,1,69,424,6.1,5,39,128,3.3,3,29,20,296,2,0,10.2,14.8,69.0,125.07,11,4,36.4,1,0,0.0,4,3,0,0,5,46,0,0,1,8,10,3,4,178,44.5,0,3,3,0.0,0,75.0,0,1,1,0,0,0,0,0,2,1,4,3,0,2,0,0,0,1,1,40,34,1,8,2,0,0,36,18,4,22,6,2,2,Sunday,993004583,5,6,18739,-26,0,-3,0.25,0,21.0,27.3,-6.3,323.6666666666667,351.0,0.667,0.333,,73.0,129.0,1.0,-18.0
202410605,2024-10-13T16:25:00,1,2024,6,CAR,ATL,HOME,20,38,58,Bank of America Stadium,7,10,3,0,0,29,20,29:20,21,8,12,1,62,335,5.4,2,24,114,4.8,0,38,26,221,2,2,5.8,8.5,68.4,78.95,11,5,45.5,1,0,0.0,3,2,0,0,10,74,2,0,0,0,3,0,3,120,40.0,2,1,-1,7,15,6,10,0,30,40,30:40,25,13,11,1,68,423,6.2,4,38,198,5.2,3,30,19,225,1,0,7.5,11.8,63.3,97.22,12,6,50.0,0,0,0.0,8,4,0,0,5,45,1,1,0,0,3,4,1,52,52.0,1,2,1,66.7,0,50.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,1,1,3,3,40,25,0,0,6,1,1,36,24,0,0,5,2,0,Sunday,993004626,5,2,18749,-18,0,-1,0.455,0,23.3,30.7,-7.3,368.0,376.0,-0.667,0.389,0.2,83.0,165.0,1.0,-33.0
202410735,2024-10-20T16:05:00,1,2024,7,CAR,WAS,AWAY,7,40,47,Northwest Stadium,0,0,0,7,0,24,55,24:55,10,5,5,0,43,180,4.2,1,23,95,4.1,1,18,13,85,0,2,4.7,6.5,72.2,42.36,10,3,30.0,1,0,0.0,1,1,0,0,6,59,1,0,2,4,2,3,5,252,50.4,2,0,-2,10,17,10,3,0,35,5,35:05,26,10,12,4,63,421,6.7,4,37,214,5.8,1,25,20,207,2,0,8.3,10.4,80.0,127.83,10,5,50.0,0,0,0.0,6,3,0,0,8,55,1,0,1,4,2,5,1,40,40.0,0,2,2,100.0,0,50.0,0,1,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,4,41,33,1,4,1,0,0,32,16,2,4,3,1,0,Sunday,993004649,5,35,18766,-33,0,-2,0.3,0,18.0,36.0,-18.0,334.0,406.6666666666667,-1.333,0.402,0.2,103.0,203.0,1.0,-14.0
202410810,2024-10-27T16:25:00,1,2024,8,CAR,DEN,AWAY,14,28,42,Empower Field at Mile High,7,0,0,7,0,26,50,26:50,16,3,11,2,60,284,4.7,2,20,69,3.4,0,38,24,215,2,2,5.7,9.0,63.2,73.9,14,5,35.7,4,1,25.0,3,2,0,0,8,49,0,0,2,9,2,5,5,247,49.4,2,2,0,0,21,7,0,0,33,10,33:10,23,6,16,1,73,400,5.5,4,32,102,3.2,1,39,30,298,3,0,7.6,9.9,76.9,123.66,17,11,64.7,2,1,50.0,5,4,0,0,4,43,2,2,2,17,5,6,3,153,51.0,2,2,0,66.7,0,80.0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,48,28,2,17,2,2,2,35,24,2,9,2,0,0,Sunday,993004687,5,10,18779,-14,0,0,0.357,0,12.3,38.0,-25.7,269.0,422.6666666666667,-2.0,0.335,0.2,110.0,243.0,1.0,1.0
202410905,2024-11-03T13:00:00,1,2024,9,CAR,NO,HOME,23,22,45,Bank of America Stadium,0,10,7,6,0,25,41,25:41,15,5,8,2,50,246,4.9,3,23,80,3.5,2,26,16,166,1,1,6.4,10.4,61.5,76.76,10,4,40.0,0,0,0.0,3,3,0,0,6,55,0,0,1,5,5,5,5,216,43.2,1,0,-1,6,7,3,6,0,34,19,34:19,25,11,12,2,74,427,5.8,2,41,197,4.8,1,32,18,230,1,0,7.2,12.8,56.2,89.32,15,5,33.3,3,2,66.7,4,2,0,0,10,109,0,0,1,6,4,5,4,169,42.2,0,1,1,100.0,0,50.0,0,2,2,0,1,0,0,0,1,1,1,1,0,2,0,0,0,3,3,41,42,1,6,2,0,0,26,22,1,5,4,0,0,Sunday,993004702,5,22,18800,1,1,-1,0.4,0,13.7,35.3,-21.7,266.3333333333333,414.6666666666667,-1.0,0.371,0.0,124.0,271.0,1.0,3.0
202411005,2024-11-10T09:30:00,1,2024,10,CAR,NYG,HOME,20,17,37,Allianz Arena,7,3,7,0,3,27,38,27:38,15,8,6,1,58,306,5.3,2,32,188,5.9,1,25,15,118,1,0,4.7,7.9,60.0,85.08,15,6,40.0,0,0,0.0,3,2,0,0,10,87,2,1,1,8,5,6,7,337,48.1,1,3,2,0,0,7,10,0,34,29,34:29,24,11,12,1,73,342,4.7,2,34,167,4.9,2,37,22,175,0,2,4.7,8.0,59.5,48.82,15,7,46.7,0,0,0.0,3,1,0,0,3,15,2,1,2,15,4,4,5,204,40.8,3,1,-2,66.7,0,33.3,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,1,41,37,2,15,6,2,1,33,32,1,8,1,1,1,Sunday,993004726,5,23,18819,3,1,2,0.4,0,14.7,30.0,-15.3,236.66666666666666,416.0,-1.0,0.352,0.2,147.0,293.0,2.0,-3.0
