gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410107.0,2024-09-08T13:00:00,,2024,1,CIN,NE,HOME,10.0,16.0,26.0,Paycor Stadium,0.0,0.0,7.0,3.0,0.0,,,25:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,3.0,3.0,0.0,,,34:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004462,7,21,,-6.0,0,,,,,,,,,,,,,,
202410216.0,2024-09-15T16:25:00,1.0,2024,2,CIN,KC,AWAY,25.0,26.0,51.0,Arrowhead Stadium,3.0,13.0,6.0,3.0,0.0,25.0,57.0,31:29,13.0,5.0,7.0,1.0,48.0,224.0,4.7,1.0,16.0,70.0,4.4,1.0,29.0,21.0,154.0,0.0,0.0,5.3,7.3,72.4,84.55,11.0,4.0,36.4,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,10.0,3.0,2.0,3.0,10.0,7.0,5.0,4.0,258.0,64.5,2.0,0.0,-2.0,3.0,7.0,7.0,9.0,0.0,34.0,3.0,28:31,17.0,11.0,6.0,0.0,64.0,290.0,4.5,1.0,39.0,170.0,4.4,1.0,24.0,15.0,120.0,0.0,0.0,5.0,8.0,62.5,75.0,15.0,6.0,40.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,40.0,1.0,0.0,1.0,1.0,4.0,3.0,5.0,250.0,50.0,0.0,2.0,2.0,50.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,40.0,32.0,1.0,1.0,3.0,1.0,0.0,28.0,23.0,3.0,10.0,3.0,3.0,2.0,Sunday,993004505,7,16,18678.0,-1.0,0,-2.0,0.364,0.0,,,,,,,,,10.0,16.0,0.0
202410307.0,2024-09-23T20:15:00,1.0,2024,3,CIN,WAS,HOME,33.0,38.0,71.0,Paycor Stadium,7.0,6.0,7.0,13.0,0.0,31.0,29.0,26:54,18.0,6.0,11.0,1.0,61.0,320.0,5.2,2.0,22.0,74.0,3.4,0.0,36.0,23.0,246.0,2.0,0.0,6.8,10.7,63.9,102.31,13.0,4.0,30.8,2.0,2.0,100.0,4.0,2.0,0.0,0.0,8.0,79.0,3.0,1.0,3.0,12.0,4.0,2.0,2.0,98.0,49.0,1.0,3.0,2.0,7.0,14.0,7.0,10.0,0.0,28.0,31.0,33:06,19.0,9.0,7.0,3.0,59.0,286.0,4.8,3.0,32.0,149.0,4.7,0.0,25.0,18.0,137.0,2.0,2.0,5.5,7.6,72.0,78.25,8.0,1.0,12.5,2.0,2.0,100.0,2.0,1.0,0.0,0.0,4.0,44.0,1.0,1.0,2.0,14.0,6.0,4.0,2.0,112.0,56.0,3.0,1.0,-2.0,50.0,0.0,50.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,37.0,33.0,2.0,14.0,3.0,1.0,1.0,38.0,24.0,3.0,12.0,4.0,2.0,1.0,Monday,993004542,7,35,18688.0,-5.0,0,2.0,0.308,0.0,,,,,,,,,35.0,42.0,0.0
202410405.0,2024-09-29T13:00:00,1.0,2024,4,CIN,CAR,AWAY,34.0,24.0,58.0,Bank of America Stadium,7.0,14.0,10.0,3.0,0.0,26.0,54.0,28:58,30.0,11.0,18.0,1.0,60.0,436.0,7.3,4.0,20.0,124.0,6.2,1.0,38.0,29.0,312.0,3.0,0.0,8.2,10.8,76.3,126.21,10.0,6.0,60.0,1.0,1.0,100.0,4.0,2.0,0.0,0.0,5.0,16.0,0.0,0.0,2.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,3.0,0.0,33.0,6.0,31:02,22.0,8.0,13.0,1.0,57.0,356.0,6.2,5.0,32.0,108.0,3.4,3.0,23.0,21.0,248.0,2.0,0.0,10.8,11.8,91.3,140.58,9.0,5.0,55.6,3.0,3.0,100.0,3.0,3.0,0.0,0.0,3.0,28.0,1.0,0.0,2.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,25.0,2.0,6.0,0.0,1.0,0.0,39.0,22.0,2.0,12.0,3.0,0.0,0.0,Sunday,993004559,7,5,18701.0,10.0,1,0.0,0.6,0.0,22.7,26.7,-4.0,326.6666666666667,310.6666666666667,0.0,0.424,,68.0,80.0,0.0
202410507.0,2024-10-06T13:00:00,1.0,2024,5,CIN,BAL,HOME,38.0,41.0,79.0,Paycor Stadium,0.0,17.0,7.0,14.0,0.0,28.0,58.0,32:42,24.0,6.0,14.0,4.0,62.0,373.0,6.0,4.0,31.0,141.0,4.5,2.0,31.0,22.0,232.0,2.0,1.0,7.5,10.5,71.0,100.47,13.0,7.0,53.8,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,170.0,56.7,1.0,1.0,0.0,7.0,7.0,7.0,17.0,3.0,31.0,2.0,33:45,24.0,10.0,12.0,2.0,70.0,375.0,5.4,3.0,29.0,155.0,5.3,1.0,41.0,25.0,220.0,2.0,1.0,5.4,8.8,61.0,81.35,14.0,7.0,50.0,3.0,1.0,33.3,3.0,2.0,0.0,0.0,6.0,37.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,102.0,51.0,1.0,1.0,0.0,100.0,0.0,66.7,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39.0,27.0,0.0,0.0,8.0,0.0,0.0,39.0,28.0,0.0,0.0,4.0,0.0,0.0,Sunday,993004590,7,3,18725.0,-3.0,0,0.0,0.538,0.0,30.7,29.3,1.3,376.3333333333333,339.0,0.667,0.482,,102.0,104.0,1.0
202410623.0,2024-10-13T20:20:00,1.0,2024,6,CIN,NYG,AWAY,17.0,7.0,24.0,MetLife Stadium,7.0,0.0,3.0,7.0,0.0,32.0,42.0,25:53,23.0,3.0,19.0,1.0,65.0,442.0,6.8,5.0,23.0,71.0,3.1,0.0,39.0,30.0,371.0,5.0,1.0,9.5,12.4,76.9,134.72,14.0,8.0,57.1,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,24.0,0.0,0.0,3.0,21.0,7.0,3.0,5.0,253.0,50.6,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,33.0,45.0,34:07,30.0,11.0,18.0,1.0,77.0,520.0,6.8,5.0,34.0,175.0,5.1,1.0,42.0,26.0,345.0,4.0,0.0,8.2,13.3,61.9,119.64,15.0,10.0,66.7,1.0,1.0,100.0,6.0,5.0,0.0,0.0,5.0,21.0,2.0,1.0,1.0,3.0,9.0,5.0,3.0,168.0,56.0,1.0,1.0,0.0,100.0,0.0,83.3,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,44.0,24.0,1.0,3.0,3.0,0.0,1.0,42.0,26.0,3.0,21.0,6.0,0.0,0.0,Sunday,993004627,7,23,18740.0,10.0,1,0.0,0.571,0.0,35.0,34.3,0.7,417.0,417.0,0.0,0.57,0.2,140.0,145.0,1.0
202410708.0,2024-10-20T13:00:00,1.0,2024,7,CIN,CLE,AWAY,21.0,14.0,35.0,Huntington Bank Field,7.0,0.0,14.0,0.0,0.0,25.0,53.0,25:31,13.0,3.0,10.0,0.0,52.0,304.0,5.8,2.0,20.0,121.0,6.0,2.0,28.0,19.0,183.0,0.0,0.0,6.5,9.6,67.9,85.86,11.0,4.0,36.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,67.0,2.0,1.0,4.0,25.0,6.0,3.0,6.0,278.0,46.3,1.0,1.0,0.0,0.0,6.0,0.0,8.0,0.0,34.0,7.0,34:29,24.0,11.0,10.0,3.0,74.0,309.0,4.2,1.0,31.0,119.0,3.8,1.0,41.0,22.0,190.0,0.0,1.0,4.6,8.6,53.7,55.95,15.0,5.0,33.3,5.0,3.0,60.0,2.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,15.0,7.0,7.0,4.0,187.0,46.8,1.0,1.0,0.0,0.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,27.0,2.0,15.0,8.0,0.0,0.0,25.0,32.0,4.0,25.0,2.0,2.0,1.0,Sunday,993004641,7,8,18748.0,7.0,1,0.0,0.364,0.0,29.7,24.0,5.7,373.0,401.3333333333333,0.0,0.491,0.4,157.0,152.0,2.0
202410807.0,2024-10-27T13:00:00,1.0,2024,8,CIN,PHI,HOME,17.0,37.0,54.0,Paycor Stadium,7.0,3.0,7.0,0.0,0.0,25.0,31.0,28:12,12.0,3.0,8.0,1.0,53.0,223.0,4.2,3.0,25.0,59.0,2.4,0.0,25.0,15.0,164.0,2.0,0.0,6.6,10.9,60.0,106.08,13.0,2.0,15.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,37.0,0.0,0.0,3.0,17.0,11.0,5.0,8.0,354.0,44.2,0.0,2.0,2.0,0.0,10.0,14.0,13.0,0.0,34.0,29.0,31:48,18.0,5.0,12.0,1.0,77.0,336.0,4.4,2.0,21.0,77.0,3.7,1.0,52.0,31.0,259.0,1.0,2.0,5.0,8.4,59.6,62.9,19.0,8.0,42.1,2.0,1.0,50.0,2.0,2.0,0.0,0.0,10.0,80.0,1.0,0.0,4.0,18.0,7.0,6.0,7.0,355.0,50.7,2.0,0.0,-2.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,46.0,26.0,4.0,18.0,8.0,1.0,0.0,37.0,20.0,3.0,17.0,4.0,0.0,0.0,Sunday,993004670,7,26,18769.0,-20.0,0,2.0,0.154,0.0,25.3,20.7,4.7,323.0,388.3333333333333,0.667,0.363,0.6,178.0,166.0,3.0
202410907.0,2024-11-03T13:00:00,1.0,2024,9,CIN,LV,HOME,41.0,24.0,65.0,Paycor Stadium,7.0,10.0,14.0,10.0,0.0,28.0,12.0,35:14,18.0,3.0,15.0,0.0,58.0,280.0,4.8,2.0,20.0,58.0,2.9,1.0,37.0,26.0,222.0,1.0,1.0,6.0,8.5,70.3,83.39,13.0,10.0,76.9,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,12.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,-2.0,7.0,3.0,0.0,14.0,0.0,31.0,48.0,24:46,24.0,13.0,10.0,1.0,59.0,397.0,6.7,4.0,39.0,161.0,4.1,3.0,20.0,16.0,236.0,1.0,0.0,11.8,14.8,80.0,132.5,11.0,6.0,54.5,1.0,1.0,100.0,5.0,3.0,0.0,0.0,4.0,40.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,52.0,52.0,0.0,2.0,2.0,66.7,0.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,29.0,0.0,0.0,2.0,0.0,0.0,38.0,17.0,1.0,12.0,6.0,3.0,1.0,Sunday,993004698,7,25,18778.0,17.0,1,-2.0,0.769,0.0,18.3,19.3,-1.0,269.0,347.3333333333333,0.0,0.429,0.6,195.0,203.0,3.0
202411003.0,2024-11-07T20:15:00,1.0,2024,10,CIN,BAL,AWAY,34.0,35.0,69.0,M&T Bank Stadium,7.0,7.0,7.0,13.0,0.0,35.0,14.0,31:35,26.0,5.0,18.0,3.0,71.0,373.0,5.3,5.0,31.0,130.0,4.2,0.0,39.0,27.0,243.0,5.0,1.0,6.2,9.0,69.2,114.64,15.0,8.0,53.3,1.0,1.0,100.0,5.0,4.0,0.0,0.0,7.0,60.0,0.0,0.0,1.0,8.0,13.0,7.0,3.0,175.0,58.3,1.0,2.0,1.0,0.0,7.0,7.0,21.0,0.0,24.0,46.0,28:25,16.0,4.0,10.0,2.0,59.0,217.0,3.7,3.0,21.0,60.0,2.9,1.0,33.0,21.0,157.0,1.0,0.0,4.8,7.5,63.6,85.04,13.0,5.0,38.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,51.0,2.0,2.0,5.0,41.0,7.0,2.0,5.0,280.0,56.0,2.0,1.0,-1.0,80.0,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,24.0,5.0,41.0,4.0,1.0,2.0,38.0,37.0,1.0,8.0,7.0,0.0,0.0,Thursday,993004723,7,3,18801.0,-1.0,0,1.0,0.533,0.0,26.3,25.0,1.3,292.0,316.6666666666667,0.333,0.485,0.6,236.0,227.0,4.0
