gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410108.0,2024-09-08T16:25:00,,2024,1,CLE,DAL,HOME,17.0,33.0,50.0,Huntington Bank Field,3.0,0.0,7.0,7.0,0.0,,,30:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,13.0,10.0,3.0,0.0,,,29:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004474,8,9,,-16.0,0,,,,,,,,,,,,,,
202410215.0,2024-09-15T13:00:00,1.0,2024,2,CLE,JAX,AWAY,18.0,13.0,31.0,EverBank Stadium,7.0,6.0,3.0,2.0,0.0,30.0,54.0,34:23,15.0,5.0,8.0,2.0,70.0,230.0,3.3,2.0,19.0,93.0,4.9,1.0,45.0,24.0,137.0,1.0,2.0,3.0,5.7,53.3,48.1,15.0,2.0,13.3,5.0,3.0,60.0,2.0,2.0,0.0,0.0,11.0,64.0,1.0,0.0,6.0,32.0,4.0,6.0,7.0,357.0,51.0,2.0,0.0,-2.0,0.0,3.0,7.0,3.0,0.0,29.0,6.0,25:37,15.0,7.0,8.0,0.0,60.0,265.0,4.4,3.0,25.0,102.0,4.1,1.0,32.0,19.0,163.0,1.0,0.0,5.1,8.6,59.4,83.2,14.0,4.0,28.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,85.0,1.0,0.0,3.0,16.0,17.0,6.0,6.0,294.0,49.0,0.0,2.0,2.0,100.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,44.0,19.0,3.0,16.0,6.0,1.0,0.0,40.0,24.0,6.0,32.0,8.0,1.0,0.0,Sunday,993004483,8,15,18671.0,5.0,1,-2.0,0.133,0.0,,,,,,,,,17.0,33.0,0.0
202410308.0,2024-09-22T13:00:00,1.0,2024,3,CLE,NYG,HOME,15.0,21.0,36.0,Huntington Bank Field,7.0,0.0,0.0,8.0,0.0,34.0,23.0,26:04,17.0,7.0,7.0,3.0,65.0,297.0,4.6,1.0,29.0,125.0,4.3,1.0,34.0,22.0,172.0,0.0,0.0,5.1,7.8,64.7,77.08,14.0,2.0,14.3,3.0,3.0,100.0,1.0,1.0,0.0,0.0,13.0,100.0,1.0,0.0,2.0,14.0,7.0,9.0,5.0,218.0,43.6,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,25.0,37.0,33:56,18.0,7.0,9.0,2.0,55.0,323.0,5.9,1.0,21.0,127.0,6.0,1.0,30.0,14.0,196.0,0.0,0.0,6.5,14.0,46.7,68.19,9.0,3.0,33.3,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,52.0,1.0,0.0,4.0,24.0,8.0,6.0,3.0,156.0,52.0,0.0,0.0,0.0,100.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,37.0,6.0,4.0,24.0,5.0,1.0,0.0,44.0,21.0,2.0,14.0,4.0,1.0,0.0,Sunday,993004526,8,23,18695.0,-6.0,0,0.0,0.143,0.0,,,,,,,,,35.0,46.0,1.0
202410425.0,2024-09-29T16:25:00,1.0,2024,4,CLE,LV,AWAY,16.0,20.0,36.0,Allegiant Stadium,10.0,0.0,0.0,6.0,0.0,26.0,4.0,30:42,16.0,7.0,7.0,2.0,63.0,217.0,3.4,2.0,18.0,69.0,3.8,0.0,37.0,21.0,148.0,2.0,0.0,4.0,7.0,56.8,84.07,14.0,4.0,28.6,3.0,1.0,33.3,1.0,1.0,0.0,0.0,5.0,48.0,2.0,2.0,8.0,48.0,9.0,4.0,6.0,306.0,51.0,2.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0,33.0,56.0,29:18,21.0,7.0,13.0,1.0,69.0,340.0,4.9,3.0,32.0,112.0,3.5,1.0,35.0,24.0,228.0,2.0,0.0,6.5,9.5,68.6,105.42,14.0,4.0,28.6,1.0,1.0,100.0,4.0,3.0,0.0,0.0,9.0,68.0,3.0,2.0,2.0,8.0,17.0,5.0,7.0,361.0,51.6,2.0,2.0,0.0,100.0,0.0,75.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,27.0,2.0,8.0,4.0,2.0,2.0,36.0,31.0,8.0,48.0,3.0,1.0,2.0,Sunday,993004567,8,25,18709.0,-4.0,0,0.0,0.286,0.0,16.7,22.3,-5.7,248.0,309.3333333333333,-0.667,0.187,,50.0,67.0,1.0
202410535.0,2024-10-06T13:00:00,1.0,2024,5,CLE,WAS,AWAY,13.0,34.0,47.0,Northwest Stadium,0.0,3.0,3.0,7.0,0.0,30.0,42.0,28:42,16.0,6.0,9.0,1.0,57.0,241.0,4.2,2.0,22.0,92.0,4.2,0.0,32.0,24.0,149.0,1.0,1.0,4.7,6.2,75.0,81.38,10.0,3.0,30.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,38.0,1.0,0.0,3.0,27.0,4.0,4.0,5.0,316.0,63.2,1.0,1.0,0.0,7.0,17.0,10.0,0.0,0.0,29.0,18.0,31:18,17.0,8.0,7.0,2.0,55.0,268.0,4.9,2.0,29.0,152.0,5.2,2.0,24.0,14.0,116.0,0.0,0.0,4.8,8.3,58.3,70.83,12.0,4.0,33.3,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,49.0,1.0,1.0,2.0,14.0,11.0,4.0,4.0,232.0,58.0,1.0,1.0,0.0,50.0,0.0,66.7,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,16.0,2.0,14.0,1.0,1.0,1.0,43.0,23.0,3.0,27.0,5.0,0.0,0.0,Sunday,993004585,8,35,18721.0,-21.0,0,0.0,0.3,0.0,16.3,18.0,-1.7,251.66666666666666,310.3333333333333,0.0,0.243,,66.0,87.0,1.0
202410626.0,2024-10-13T13:00:00,1.0,2024,6,CLE,PHI,AWAY,16.0,20.0,36.0,Lincoln Financial Field,0.0,10.0,0.0,6.0,0.0,28.0,42.0,31:27,12.0,4.0,7.0,1.0,59.0,212.0,3.6,1.0,23.0,104.0,4.5,0.0,29.0,16.0,108.0,1.0,0.0,3.7,6.8,55.2,75.07,13.0,1.0,7.7,3.0,2.0,66.7,2.0,1.0,0.0,0.0,9.0,52.0,1.0,1.0,7.0,33.0,4.0,9.0,7.0,361.0,51.6,1.0,2.0,1.0,0.0,10.0,3.0,7.0,0.0,31.0,18.0,28:33,19.0,10.0,8.0,1.0,65.0,434.0,6.7,4.0,34.0,215.0,6.3,3.0,28.0,15.0,219.0,1.0,1.0,7.8,14.6,53.6,76.34,17.0,8.0,47.1,2.0,2.0,100.0,6.0,3.0,0.0,0.0,5.0,31.0,2.0,1.0,3.0,17.0,11.0,7.0,4.0,192.0,48.0,2.0,1.0,-1.0,50.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,44.0,16.0,3.0,17.0,7.0,2.0,1.0,43.0,25.0,7.0,33.0,6.0,1.0,1.0,Sunday,993004617,8,26,18744.0,-4.0,0,1.0,0.077,0.0,14.7,25.0,-10.3,223.33333333333334,347.3333333333333,0.333,0.221,0.2,79.0,121.0,1.0
202410708.0,2024-10-20T13:00:00,1.0,2024,7,CLE,CIN,HOME,14.0,21.0,35.0,Huntington Bank Field,0.0,6.0,0.0,8.0,0.0,31.0,27.0,34:29,14.0,6.0,7.0,1.0,53.0,244.0,4.6,1.0,25.0,100.0,4.0,0.0,23.0,16.0,144.0,0.0,0.0,6.3,9.0,69.6,86.14,12.0,3.0,25.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,7.0,55.0,0.0,0.0,5.0,24.0,2.0,5.0,4.0,223.0,55.8,0.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,28.0,33.0,25:31,19.0,8.0,11.0,0.0,62.0,372.0,6.0,2.0,36.0,116.0,3.2,0.0,25.0,16.0,256.0,2.0,0.0,10.2,16.0,64.0,124.75,14.0,5.0,35.7,2.0,2.0,100.0,1.0,0.0,0.0,0.0,5.0,40.0,1.0,0.0,1.0,8.0,10.0,4.0,3.0,146.0,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,41.0,18.0,1.0,8.0,3.0,0.0,0.0,36.0,29.0,5.0,24.0,2.0,0.0,0.0,Sunday,993004642,8,7,18757.0,-7.0,0,0.0,0.25,0.0,15.0,24.7,-9.7,232.33333333333334,358.0,0.333,0.209,0.2,95.0,141.0,1.0
202410808.0,2024-10-27T13:00:00,1.0,2024,8,CLE,BAL,HOME,29.0,24.0,53.0,Huntington Bank Field,3.0,3.0,14.0,9.0,0.0,34.0,29.0,31:06,18.0,5.0,12.0,1.0,77.0,336.0,4.4,2.0,21.0,77.0,3.7,1.0,52.0,31.0,259.0,1.0,2.0,5.0,8.4,59.6,62.9,19.0,8.0,42.1,2.0,1.0,50.0,2.0,2.0,0.0,0.0,10.0,80.0,1.0,0.0,4.0,18.0,7.0,6.0,7.0,355.0,50.7,2.0,0.0,-2.0,0.0,10.0,7.0,7.0,0.0,25.0,31.0,28:54,12.0,3.0,8.0,1.0,53.0,223.0,4.2,3.0,25.0,59.0,2.4,0.0,25.0,15.0,164.0,2.0,0.0,6.6,10.9,60.0,106.08,13.0,2.0,15.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,37.0,0.0,0.0,3.0,17.0,11.0,5.0,8.0,354.0,44.2,0.0,2.0,2.0,100.0,0.0,100.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,20.0,3.0,17.0,4.0,0.0,0.0,46.0,26.0,4.0,18.0,8.0,1.0,0.0,Sunday,993004668,8,3,18769.0,5.0,1,-2.0,0.421,0.0,14.3,25.0,-10.7,264.0,343.0,-0.333,0.249,0.0,109.0,162.0,1.0
202410908.0,2024-11-03T13:00:00,1.0,2024,9,CLE,LAC,HOME,10.0,27.0,37.0,Huntington Bank Field,0.0,3.0,0.0,7.0,0.0,31.0,6.0,34:09,22.0,5.0,16.0,1.0,66.0,401.0,6.1,3.0,23.0,80.0,3.5,0.0,41.0,27.0,321.0,3.0,0.0,7.8,11.9,65.9,113.97,15.0,8.0,53.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,74.0,1.0,1.0,2.0,13.0,7.0,7.0,3.0,146.0,48.7,1.0,0.0,-1.0,7.0,13.0,0.0,7.0,0.0,28.0,54.0,25:51,22.0,5.0,14.0,3.0,62.0,387.0,6.2,3.0,21.0,124.0,5.9,1.0,38.0,23.0,263.0,2.0,0.0,6.9,11.4,60.5,98.9,10.0,2.0,20.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,53.0,0.0,0.0,3.0,26.0,8.0,6.0,4.0,209.0,52.2,0.0,1.0,1.0,0.0,0.0,75.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,37.0,21.0,3.0,26.0,6.0,0.0,0.0,42.0,21.0,2.0,13.0,5.0,1.0,1.0,Sunday,993004710,8,29,18783.0,-17.0,0,-1.0,0.533,0.0,19.7,21.7,-2.0,327.0,327.3333333333333,-1.0,0.401,0.2,138.0,186.0,2.0
202411122.0,2024-11-17T13:00:00,1.0,2024,11,CLE,NO,AWAY,14.0,35.0,49.0,Caesars Superdome,6.0,0.0,8.0,0.0,0.0,34.0,9.0,29:22,21.0,6.0,14.0,1.0,76.0,292.0,3.8,1.0,24.0,79.0,3.3,0.0,46.0,26.0,213.0,1.0,3.0,4.6,8.2,56.5,48.55,17.0,6.0,35.3,3.0,2.0,66.7,3.0,1.0,0.0,0.0,4.0,25.0,1.0,0.0,6.0,22.0,11.0,10.0,6.0,318.0,53.0,3.0,0.0,-3.0,7.0,7.0,0.0,21.0,0.0,25.0,51.0,30:38,13.0,3.0,10.0,0.0,56.0,342.0,6.1,4.0,23.0,96.0,4.2,2.0,27.0,18.0,246.0,2.0,0.0,9.1,13.7,66.7,120.29,14.0,5.0,35.7,1.0,1.0,100.0,3.0,3.0,0.0,0.0,5.0,35.0,0.0,0.0,6.0,36.0,9.0,8.0,7.0,330.0,47.1,0.0,3.0,3.0,33.3,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,20.0,6.0,36.0,4.0,0.0,0.0,44.0,25.0,6.0,22.0,12.0,1.0,0.0,Sunday,993004767,8,22,18802.0,-21.0,0,-3.0,0.353,0.0,17.7,24.0,-6.3,343.0,317.3333333333333,-2.0,0.436,0.2,148.0,213.0,2.0
