gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410108.0,2024-09-08T16:25:00,,2024,1,DAL,CLE,AWAY,33.0,17.0,50.0,Huntington Bank Field,7.0,13.0,10.0,3.0,0.0,,,29:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,7.0,7.0,0.0,,,30:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004473,9,8,,16.0,1,,,,,,,,,,,,,,
202410209.0,2024-09-15T13:00:00,1.0,2024,2,DAL,NO,HOME,19.0,44.0,63.0,AT&T Stadium,3.0,13.0,3.0,0.0,0.0,29.0,6.0,29:29,15.0,7.0,8.0,0.0,60.0,265.0,4.4,3.0,25.0,102.0,4.1,1.0,32.0,19.0,163.0,1.0,0.0,5.1,8.6,59.4,83.2,14.0,4.0,28.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,85.0,1.0,0.0,3.0,16.0,17.0,6.0,6.0,294.0,49.0,0.0,2.0,2.0,14.0,21.0,6.0,3.0,0.0,30.0,54.0,30:31,15.0,5.0,8.0,2.0,70.0,230.0,3.3,2.0,19.0,93.0,4.9,1.0,45.0,24.0,137.0,1.0,2.0,3.0,5.7,53.3,48.1,15.0,2.0,13.3,5.0,3.0,60.0,2.0,2.0,0.0,0.0,11.0,64.0,1.0,0.0,6.0,32.0,4.0,6.0,7.0,357.0,51.0,2.0,0.0,-2.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,24.0,6.0,32.0,8.0,1.0,0.0,44.0,19.0,3.0,16.0,6.0,1.0,0.0,Sunday,993004482,9,22,18671.0,-25.0,0,2.0,0.286,0.0,,,,,,,,,33.0,17.0,1.0
202410309.0,2024-09-22T16:25:00,1.0,2024,3,DAL,BAL,HOME,25.0,28.0,53.0,AT&T Stadium,3.0,3.0,0.0,19.0,0.0,29.0,29.0,25:15,20.0,5.0,13.0,2.0,66.0,353.0,5.3,1.0,21.0,68.0,3.2,0.0,42.0,28.0,285.0,1.0,2.0,6.8,10.2,66.7,74.01,13.0,6.0,46.2,3.0,1.0,33.3,3.0,0.0,0.0,0.0,4.0,26.0,1.0,0.0,3.0,14.0,1.0,2.0,1.0,53.0,53.0,2.0,1.0,-1.0,14.0,7.0,7.0,0.0,0.0,30.0,31.0,34:45,24.0,15.0,8.0,1.0,56.0,432.0,7.7,6.0,39.0,190.0,4.9,4.0,16.0,11.0,242.0,2.0,1.0,15.1,22.0,68.8,125.0,8.0,5.0,62.5,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,40.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,49.0,49.0,1.0,2.0,1.0,0.0,0.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,24.0,1.0,1.0,3.0,0.0,0.0,42.0,23.0,3.0,14.0,9.0,1.0,0.0,Sunday,993004534,9,3,18692.0,-3.0,0,-1.0,0.462,0.0,,,,,,,,,52.0,61.0,1.0
202410423.0,2024-09-26T20:15:00,1.0,2024,4,DAL,NYG,AWAY,20.0,15.0,35.0,MetLife Stadium,7.0,7.0,3.0,3.0,0.0,25.0,15.0,24:23,26.0,2.0,18.0,6.0,70.0,412.0,5.9,3.0,16.0,51.0,3.2,1.0,51.0,28.0,361.0,2.0,0.0,7.1,12.9,54.9,90.4,13.0,7.0,53.8,1.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,44.0,2.0,1.0,3.0,18.0,1.0,0.0,4.0,209.0,52.2,1.0,0.0,-1.0,3.0,6.0,3.0,3.0,0.0,34.0,45.0,35:37,24.0,16.0,8.0,0.0,60.0,456.0,7.6,4.0,45.0,274.0,6.1,3.0,15.0,12.0,182.0,1.0,0.0,12.1,15.2,80.0,139.44,9.0,4.0,44.4,0.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,105.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,171.0,42.8,0.0,1.0,1.0,75.0,0.0,100.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,36.0,19.0,3.0,18.0,9.0,1.0,1.0,Thursday,993004543,9,23,18705.0,5.0,1,-1.0,0.538,0.0,25.7,29.7,-4.0,343.3333333333333,372.6666666666667,0.0,0.429,,77.0,89.0,1.0
202410528.0,2024-10-06T20:20:00,1.0,2024,5,DAL,PIT,AWAY,20.0,17.0,37.0,Acrisure Stadium,3.0,3.0,0.0,14.0,0.0,24.0,23.0,32:29,14.0,5.0,9.0,0.0,51.0,293.0,5.7,2.0,23.0,80.0,3.5,0.0,27.0,22.0,213.0,2.0,0.0,7.9,9.7,81.5,124.23,10.0,3.0,30.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,11.0,89.0,1.0,0.0,1.0,8.0,3.0,6.0,3.0,165.0,55.0,0.0,1.0,1.0,3.0,0.0,7.0,7.0,0.0,35.0,37.0,27:31,16.0,4.0,12.0,0.0,65.0,303.0,4.7,0.0,24.0,26.0,1.1,0.0,40.0,29.0,277.0,0.0,1.0,6.9,9.6,72.5,80.94,16.0,5.0,31.2,4.0,3.0,75.0,2.0,0.0,0.0,0.0,4.0,35.0,1.0,0.0,1.0,4.0,3.0,5.0,1.0,44.0,44.0,1.0,0.0,-1.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,48.0,18.0,1.0,4.0,6.0,0.0,0.0,37.0,16.0,1.0,8.0,3.0,1.0,0.0,Sunday,993004599,9,28,18732.0,3.0,1,1.0,0.3,0.0,21.3,29.0,-7.7,352.6666666666667,397.0,-0.333,0.433,,97.0,104.0,2.0
202410609.0,2024-10-13T16:25:00,1.0,2024,6,DAL,DET,HOME,9.0,47.0,56.0,AT&T Stadium,3.0,3.0,3.0,0.0,0.0,32.0,29.0,25:17,25.0,9.0,14.0,2.0,75.0,445.0,5.9,2.0,31.0,109.0,3.5,0.0,42.0,29.0,336.0,2.0,2.0,8.0,11.6,69.0,88.99,15.0,9.0,60.0,1.0,1.0,100.0,4.0,1.0,0.0,0.0,11.0,87.0,2.0,1.0,2.0,16.0,8.0,4.0,1.0,45.0,45.0,3.0,1.0,-2.0,7.0,20.0,10.0,10.0,0.0,27.0,31.0,34:43,17.0,6.0,7.0,4.0,57.0,226.0,4.0,2.0,26.0,92.0,3.5,0.0,28.0,16.0,134.0,2.0,0.0,4.8,8.4,57.1,93.45,12.0,3.0,25.0,2.0,2.0,100.0,2.0,2.0,0.0,0.0,8.0,50.0,2.0,1.0,3.0,16.0,6.0,3.0,5.0,222.0,44.4,1.0,3.0,2.0,25.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,21.0,3.0,16.0,5.0,2.0,1.0,51.0,22.0,2.0,16.0,6.0,2.0,1.0,Sunday,993004624,9,11,18734.0,-38.0,0,-2.0,0.6,0.0,21.7,20.0,1.7,383.3333333333333,328.3333333333333,-0.667,0.479,0.6,117.0,121.0,3.0
202410831.0,2024-10-27T20:20:00,1.0,2024,8,DAL,SF,AWAY,24.0,30.0,54.0,Levi's Stadium,0.0,10.0,0.0,14.0,0.0,25.0,17.0,26:48,16.0,2.0,10.0,4.0,65.0,251.0,3.9,0.0,17.0,53.0,3.1,0.0,44.0,25.0,198.0,0.0,3.0,4.5,7.9,56.8,39.77,13.0,3.0,23.1,4.0,1.0,25.0,3.0,0.0,0.0,0.0,4.0,30.0,2.0,2.0,4.0,26.0,7.0,4.0,2.0,93.0,46.5,5.0,0.0,-5.0,3.0,3.0,21.0,3.0,0.0,34.0,43.0,33:12,27.0,12.0,14.0,1.0,66.0,492.0,7.5,5.0,36.0,184.0,5.1,2.0,27.0,19.0,308.0,3.0,0.0,11.4,16.2,70.4,145.29,10.0,4.0,40.0,2.0,1.0,50.0,5.0,3.0,0.0,0.0,8.0,63.0,1.0,0.0,3.0,26.0,11.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,41.0,27.0,3.0,26.0,2.0,1.0,0.0,37.0,21.0,4.0,26.0,10.0,2.0,2.0,Sunday,993004689,9,31,18750.0,-6.0,0,-5.0,0.231,0.0,16.3,26.3,-10.0,329.6666666666667,340.3333333333333,-2.0,0.377,0.4,126.0,168.0,3.0
202410902.0,2024-11-03T13:00:00,1.0,2024,9,DAL,ATL,AWAY,21.0,27.0,48.0,Mercedes-Benz Stadium,3.0,7.0,3.0,8.0,0.0,26.0,48.0,30:40,18.0,3.0,13.0,2.0,59.0,292.0,4.9,3.0,19.0,56.0,2.9,1.0,38.0,25.0,236.0,2.0,2.0,6.2,9.4,65.8,78.4,12.0,4.0,33.3,2.0,1.0,50.0,3.0,2.0,0.0,0.0,6.0,30.0,3.0,0.0,2.0,7.0,2.0,1.0,4.0,194.0,48.5,2.0,0.0,-2.0,7.0,7.0,7.0,6.0,0.0,33.0,12.0,29:20,19.0,10.0,9.0,0.0,64.0,469.0,7.3,3.0,36.0,223.0,6.2,2.0,26.0,18.0,246.0,1.0,0.0,9.5,13.7,69.2,112.02,16.0,8.0,50.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,9.0,73.0,1.0,0.0,2.0,14.0,8.0,3.0,4.0,172.0,43.0,0.0,2.0,2.0,66.7,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,38.0,37.0,2.0,14.0,1.0,0.0,0.0,33.0,20.0,2.0,7.0,4.0,2.0,0.0,Sunday,993004703,9,2,18777.0,-6.0,0,-2.0,0.333,0.0,17.7,31.3,-13.7,329.3333333333333,395.6666666666667,-3.0,0.388,0.4,150.0,198.0,3.0
202411009.0,2024-11-10T16:25:00,1.0,2024,10,DAL,PHI,HOME,6.0,34.0,40.0,AT&T Stadium,3.0,3.0,0.0,0.0,0.0,30.0,40.0,25:59,23.0,9.0,13.0,1.0,74.0,378.0,5.1,2.0,21.0,137.0,6.5,0.0,50.0,31.0,241.0,2.0,0.0,4.8,7.8,62.0,87.17,13.0,3.0,23.1,5.0,1.0,20.0,3.0,2.0,0.0,0.0,9.0,55.0,1.0,0.0,3.0,7.0,4.0,7.0,3.0,139.0,46.3,0.0,1.0,1.0,7.0,7.0,14.0,6.0,0.0,29.0,20.0,34:01,17.0,5.0,12.0,0.0,56.0,310.0,5.5,4.0,30.0,100.0,3.3,1.0,24.0,19.0,210.0,3.0,0.0,8.8,11.1,79.2,142.71,13.0,4.0,30.8,2.0,2.0,100.0,3.0,3.0,0.0,0.0,4.0,26.0,3.0,1.0,2.0,12.0,8.0,5.0,5.0,245.0,49.0,1.0,0.0,-1.0,66.7,0.0,100.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,26.0,2.0,12.0,3.0,2.0,1.0,42.0,26.0,3.0,7.0,4.0,0.0,0.0,Sunday,993004744,9,26,18797.0,-28.0,0,1.0,0.231,0.0,18.0,34.7,-16.7,307.0,423.6666666666667,-2.0,0.265,0.4,171.0,225.0,3.0
202411109.0,2024-11-18T20:15:00,1.0,2024,11,DAL,HOU,HOME,10.0,34.0,44.0,AT&T Stadium,0.0,10.0,0.0,0.0,0.0,25.0,59.0,29:23,11.0,5.0,4.0,2.0,56.0,146.0,2.6,0.0,24.0,97.0,4.0,0.0,29.0,17.0,49.0,0.0,1.0,1.7,2.9,58.6,49.07,14.0,3.0,21.4,2.0,2.0,100.0,2.0,0.0,0.0,0.0,5.0,40.0,4.0,4.0,3.0,17.0,8.0,4.0,6.0,304.0,50.7,5.0,2.0,-3.0,14.0,3.0,3.0,14.0,0.0,34.0,1.0,30:37,24.0,11.0,9.0,4.0,65.0,348.0,5.4,4.0,38.0,187.0,4.9,2.0,22.0,15.0,161.0,2.0,1.0,7.3,10.7,68.2,100.76,11.0,4.0,36.4,1.0,1.0,100.0,5.0,4.0,0.0,0.0,7.0,49.0,1.0,1.0,5.0,46.0,6.0,5.0,4.0,208.0,52.0,2.0,5.0,3.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,43.0,25.0,5.0,46.0,3.0,1.0,1.0,34.0,19.0,3.0,17.0,7.0,3.0,4.0,Monday,993004778,9,13,18810.0,-24.0,0,-3.0,0.214,0.0,17.0,30.3,-13.3,272.0,375.6666666666667,-1.333,0.259,0.2,177.0,259.0,3.0
