gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410130,2024-09-08T16:05:00,1,2024,1,DEN,SEA,AWAY,20,26,46,Lumen Field,3,10,0,7,0,31,14,31:14,13,7,6,0,69,231,3.3,1,25,99,4.0,1,42,26,132,0,2,3.1,5.1,61.9,46.92,18,5,27.8,1,1,100.0,4,1,0,0,8,60,2,1,2,6,7,9,8,389,48.6,3,2,-1,3,6,10,7,0,28,46,28:46,19,5,11,3,60,304,5.1,3,33,146,4.4,2,25,18,158,1,1,6.3,8.8,72.0,85.08,12,4,33.3,0,0,0.0,1,0,0,0,6,41,1,1,2,13,8,6,5,241,48.2,2,3,1,25.0,0,0.0,0,1,1,0,0,0,0,0,3,3,2,2,0,2,0,0,0,2,2,40,28,2,13,2,0,1,53,15,2,6,6,2,1,Sunday,993004469,10,30,18674,-6,0,-1,0.278,0,,,,,,,,,,,,-7.0
202410210,2024-09-15T16:25:00,1,2024,2,DEN,PIT,HOME,6,13,19,Empower Field at Mile High,0,0,0,6,0,27,41,27:41,13,5,8,0,56,295,5.3,0,19,64,3.4,0,35,20,231,0,2,6.6,11.6,57.1,53.39,12,2,16.7,2,1,50.0,3,0,0,0,9,124,0,0,2,15,6,4,6,315,52.5,2,0,-2,7,3,3,0,0,32,19,32:19,16,4,7,5,58,251,4.3,1,36,141,3.9,0,20,13,110,1,0,5.5,8.5,65.0,95.83,13,4,30.8,0,0,0.0,2,1,0,0,10,78,1,0,2,7,7,6,8,424,53.0,0,2,2,0.0,0,50.0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,2,38,30,2,7,1,0,0,36,20,2,15,6,0,0,Sunday,993004504,10,28,18687,-7,0,-2,0.167,0,,,,,,,,,20.0,26.0,0.0,19.0
202410333,2024-09-22T13:00:00,1,2024,3,DEN,TB,AWAY,26,7,33,Raymond James Stadium,14,6,0,6,0,32,8,32:08,18,10,8,0,64,352,5.5,2,28,136,4.9,2,36,25,216,0,0,6.0,8.6,69.4,84.95,13,4,30.8,3,2,66.7,4,2,0,0,5,51,1,1,0,0,9,5,2,96,48.0,1,2,1,0,7,0,0,0,27,52,27:52,17,4,11,2,56,223,4.0,1,16,91,5.7,0,33,25,132,1,1,4.0,5.3,75.8,79.36,11,3,27.3,2,0,0.0,2,1,0,0,5,19,1,1,7,31,2,2,4,189,47.2,2,1,-1,50.0,0,50.0,0,2,2,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,36,25,7,31,3,1,1,38,32,0,0,5,1,1,Sunday,993004521,10,33,18714,19,1,1,0.308,0,,,,,,,,,26.0,39.0,0.0,1.0
202410424,2024-09-29T13:00:00,1,2024,4,DEN,NYJ,AWAY,10,9,19,MetLife Stadium,0,0,7,3,0,28,16,28:16,12,8,3,1,56,186,3.3,1,31,126,4.1,0,25,12,60,1,0,2.4,5.0,48.0,67.92,14,3,21.4,0,0,0.0,1,1,0,0,5,74,1,1,0,0,14,8,8,339,42.4,1,1,0,0,6,0,3,0,31,44,31:44,16,4,10,2,70,248,3.5,0,23,64,2.8,0,42,24,184,0,0,4.4,7.7,57.1,67.96,17,4,23.5,1,0,0.0,2,0,0,0,13,90,1,1,5,41,2,7,7,316,45.1,1,1,0,100.0,0,0.0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,3,46,27,5,41,4,1,1,31,26,0,0,2,1,1,Sunday,993004545,10,24,18730,1,1,0,0.214,0,17.3,15.3,2.0,292.6666666666667,259.3333333333333,-0.667,0.251,,52.0,46.0,1.0,16.0
202410510,2024-10-06T16:05:00,1,2024,5,DEN,LV,HOME,34,18,52,Empower Field at Mile High,0,13,7,14,0,28,37,28:37,18,6,9,3,58,289,5.0,4,28,109,3.9,1,27,19,180,2,0,6.7,9.5,70.4,113.19,12,3,25.0,1,1,100.0,4,3,0,0,9,44,1,0,3,26,6,5,6,259,43.2,0,3,3,10,0,0,8,0,31,23,31:23,20,5,13,2,65,330,5.1,2,25,115,4.6,1,37,22,215,1,3,5.8,9.8,59.5,51.07,15,7,46.7,1,0,0.0,2,1,0,0,11,79,0,0,3,16,4,8,5,267,53.4,3,0,-3,75.0,0,50.0,0,4,4,0,0,0,0,0,2,2,1,1,0,0,0,1,1,1,1,40,22,3,16,6,0,0,36,25,3,26,3,0,0,Sunday,993004592,10,25,18737,16,1,3,0.25,0,14.0,9.7,4.3,277.6666666666667,240.66666666666666,-0.333,0.23,,62.0,55.0,2.0,-7.0
202410610,2024-10-13T16:05:00,1,2024,6,DEN,LAC,HOME,16,23,39,Empower Field at Mile High,0,0,0,16,0,22,37,22:37,17,7,10,0,53,316,6.0,2,18,110,6.1,0,33,19,206,2,1,6.2,10.8,57.6,83.65,11,3,27.3,2,2,100.0,2,2,0,0,7,37,1,1,2,10,6,5,5,233,46.6,2,0,-2,10,10,3,0,0,37,23,37:23,22,10,10,2,75,350,4.7,2,38,128,3.4,1,34,21,222,1,0,6.5,10.6,61.8,90.56,18,11,61.1,0,0,0.0,3,1,0,0,3,20,1,0,3,15,5,2,4,159,39.8,0,2,2,100.0,0,33.3,0,1,1,0,2,0,0,0,1,1,2,2,0,0,0,0,0,3,3,45,31,3,15,6,1,0,31,17,2,10,6,1,1,Sunday,993004622,10,29,18751,-7,0,-2,0.273,0,23.3,11.3,12.0,275.6666666666667,267.0,1.333,0.257,0.6,96.0,73.0,3.0,23.0
202410722,2024-10-17T20:15:00,1,2024,7,DEN,NO,AWAY,33,10,43,Caesars Superdome,3,13,10,7,0,33,16,33:16,22,13,8,1,61,389,6.4,3,35,225,6.4,2,26,16,164,0,0,6.3,10.2,61.5,79.65,11,4,36.4,0,0,0.0,3,2,0,0,7,47,1,1,0,0,11,6,3,129,43.0,1,2,1,0,3,0,7,0,26,44,26:44,15,6,7,2,66,271,4.1,1,21,97,4.6,0,39,28,174,1,0,4.5,6.2,71.8,89.05,17,5,29.4,4,3,75.0,2,1,0,0,5,35,2,2,6,36,0,3,6,267,44.5,2,1,-1,66.7,0,50.0,0,3,3,0,0,0,0,0,4,4,1,1,0,0,0,0,0,1,1,40,26,6,36,3,2,2,39,23,0,0,2,1,1,Thursday,993004631,10,22,18775,23,1,1,0.364,0,20.0,16.7,3.3,263.6666666666667,309.3333333333333,0.333,0.246,0.6,112.0,96.0,3.0,14.0
202410810,2024-10-27T16:25:00,1,2024,8,DEN,CAR,HOME,28,14,42,Empower Field at Mile High,0,21,7,0,0,33,10,33:10,23,6,16,1,73,400,5.5,4,32,102,3.2,1,39,30,298,3,0,7.6,9.9,76.9,123.66,17,11,64.7,2,1,50.0,5,4,0,0,4,43,2,2,2,17,5,6,3,153,51.0,2,2,0,7,0,0,7,0,26,50,26:50,16,3,11,2,60,284,4.7,2,20,69,3.4,0,38,24,215,2,2,5.7,9.0,63.2,73.9,14,5,35.7,4,1,25.0,3,2,0,0,8,49,0,0,2,9,2,5,5,247,49.4,2,2,0,80.0,0,66.7,0,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,35,24,2,9,2,0,0,48,28,2,17,2,2,2,Sunday,993004688,10,5,18779,14,1,0,0.647,0,27.7,17.0,10.7,331.3333333333333,317.0,0.667,0.295,0.8,145.0,106.0,4.0,-31.0
202410903,2024-11-03T13:00:00,1,2024,9,DEN,BAL,AWAY,10,41,51,M&T Bank Stadium,0,10,0,0,0,28,9,28:09,20,6,10,4,68,319,4.7,1,30,122,4.1,0,34,20,197,1,1,5.8,9.8,58.8,72.79,14,6,42.9,5,1,20.0,4,1,0,0,9,71,0,0,4,28,1,4,2,96,48.0,1,0,-1,7,17,14,3,0,31,51,31:51,25,8,12,5,54,396,7.3,5,34,127,3.7,2,19,16,269,3,0,14.2,16.8,84.2,158.33,8,3,37.5,0,0,0.0,6,4,0,0,6,53,2,0,1,11,5,5,2,98,49.0,0,1,1,25.0,0,66.7,0,1,1,0,0,0,0,0,1,1,5,5,0,0,0,0,0,2,2,36,29,1,11,1,1,0,43,24,4,28,7,0,0,Sunday,993004699,10,3,18798,-31,0,-1,0.429,0,25.7,15.7,10.0,368.3333333333333,301.6666666666667,-0.333,0.428,0.8,173.0,120.0,5.0,-2.0
202411016,2024-11-10T13:00:00,1,2024,10,DEN,KC,AWAY,14,16,30,Arrowhead Stadium,0,14,0,0,0,26,39,26:39,16,4,12,0,55,260,4.7,2,23,78,3.4,0,30,22,182,2,0,6.1,8.3,73.3,110.69,13,7,53.8,0,0,0.0,2,1,0,0,6,35,1,0,2,33,9,5,5,236,47.2,0,0,0,0,10,3,3,0,33,21,33:21,19,4,13,2,65,300,4.6,1,19,57,3.0,0,42,28,243,1,0,5.8,8.7,66.7,89.68,16,7,43.8,2,2,100.0,4,1,0,0,3,10,0,0,4,23,5,6,4,213,53.2,0,0,0,50.0,0,25.0,0,2,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,3,3,37,28,4,23,2,0,0,32,25,2,33,0,0,0,Sunday,993004733,10,16,18815,-2,0,0,0.538,0,23.7,21.7,2.0,369.3333333333333,317.0,0.0,0.48,0.6,183.0,161.0,5.0,32.0
