gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410111.0,2024-09-08T20:20:00,,2024,1,DET,LAR,HOME,26.0,20.0,46.0,Ford Field,0.0,10.0,7.0,3.0,6.0,,,29:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,7.0,10.0,0.0,,,34:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004476,11,32,,6.0,1,,,,,,,,,,,,,,
202410211.0,2024-09-15T13:00:00,1.0,2024,2,DET,TB,HOME,16.0,20.0,36.0,Ford Field,3.0,3.0,10.0,0.0,0.0,29.0,45.0,33:53,21.0,12.0,7.0,2.0,61.0,363.0,6.0,3.0,31.0,163.0,5.3,2.0,28.0,18.0,200.0,1.0,1.0,7.1,11.1,64.3,82.44,13.0,6.0,46.2,1.0,1.0,100.0,4.0,2.0,0.0,0.0,6.0,56.0,0.0,0.0,2.0,17.0,12.0,7.0,4.0,230.0,57.5,1.0,1.0,0.0,6.0,7.0,7.0,0.0,0.0,34.0,56.0,26:07,26.0,8.0,15.0,3.0,74.0,387.0,5.2,2.0,23.0,83.0,3.6,1.0,49.0,34.0,304.0,1.0,1.0,6.2,8.9,69.4,84.06,12.0,5.0,41.7,2.0,1.0,50.0,5.0,2.0,0.0,0.0,6.0,50.0,0.0,0.0,2.0,13.0,5.0,3.0,3.0,141.0,47.0,1.0,1.0,0.0,50.0,0.0,40.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,46.0,28.0,2.0,13.0,5.0,0.0,0.0,35.0,36.0,2.0,17.0,3.0,0.0,0.0,Sunday,993004498,11,33,18670.0,-4.0,0,0.0,0.462,0.0,,,,,,,,,26.0,20.0,1.0
202410301.0,2024-09-22T16:25:00,1.0,2024,3,DET,ARI,AWAY,20.0,13.0,33.0,State Farm Stadium,7.0,13.0,0.0,0.0,0.0,33.0,53.0,36:49,26.0,7.0,16.0,3.0,83.0,463.0,5.6,1.0,27.0,139.0,5.1,1.0,56.0,35.0,324.0,0.0,2.0,5.8,9.3,62.5,63.39,17.0,7.0,41.2,5.0,3.0,60.0,7.0,1.0,0.0,0.0,4.0,71.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,67.0,33.5,2.0,1.0,-1.0,7.0,3.0,0.0,3.0,0.0,26.0,7.0,23:11,14.0,3.0,9.0,2.0,47.0,216.0,4.6,2.0,23.0,70.0,3.0,1.0,19.0,12.0,146.0,1.0,1.0,7.7,12.2,63.2,82.35,10.0,2.0,20.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,35.0,2.0,0.0,5.0,39.0,10.0,4.0,5.0,230.0,46.0,1.0,2.0,1.0,14.3,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,13.0,5.0,39.0,4.0,2.0,0.0,54.0,30.0,0.0,0.0,9.0,0.0,0.0,Sunday,993004535,11,1,18693.0,7.0,1,-1.0,0.412,0.0,,,,,,,,,42.0,40.0,1.0
202410411.0,2024-09-30T20:15:00,1.0,2024,4,DET,SEA,HOME,42.0,29.0,71.0,Ford Field,7.0,14.0,14.0,7.0,0.0,36.0,49.0,25:56,23.0,12.0,11.0,0.0,68.0,373.0,5.5,3.0,43.0,187.0,4.3,1.0,23.0,18.0,186.0,2.0,1.0,8.1,10.3,78.3,111.23,12.0,6.0,50.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,79.0,0.0,0.0,2.0,13.0,4.0,3.0,5.0,247.0,49.4,1.0,1.0,0.0,0.0,7.0,13.0,9.0,0.0,23.0,11.0,34:04,17.0,2.0,10.0,5.0,53.0,277.0,5.2,1.0,18.0,77.0,4.3,0.0,34.0,21.0,200.0,1.0,1.0,5.9,9.5,61.8,75.61,9.0,1.0,11.1,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,30.0,0.0,0.0,1.0,7.0,2.0,6.0,5.0,260.0,52.0,1.0,1.0,0.0,100.0,0.0,100.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,18.0,1.0,7.0,6.0,0.0,0.0,41.0,42.0,2.0,13.0,1.0,0.0,0.0,Monday,993004574,11,30,18704.0,13.0,1,0.0,0.5,0.0,20.7,17.7,3.0,399.6666666666667,293.3333333333333,-0.333,0.458,,62.0,53.0,2.0
202410609.0,2024-10-13T16:25:00,1.0,2024,6,DET,DAL,AWAY,47.0,9.0,56.0,AT&T Stadium,7.0,20.0,10.0,10.0,0.0,25.0,56.0,34:43,21.0,8.0,12.0,1.0,50.0,389.0,7.8,6.0,28.0,116.0,4.1,3.0,19.0,19.0,273.0,3.0,0.0,14.4,14.4,100.0,158.33,6.0,3.0,50.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,12.0,101.0,0.0,0.0,3.0,26.0,9.0,5.0,3.0,140.0,46.7,0.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,34.0,4.0,25:17,38.0,10.0,22.0,6.0,78.0,516.0,6.6,4.0,19.0,133.0,7.0,3.0,56.0,38.0,383.0,1.0,1.0,6.8,10.1,67.9,85.64,10.0,5.0,50.0,2.0,1.0,50.0,4.0,3.0,0.0,0.0,8.0,70.0,1.0,1.0,3.0,12.0,4.0,4.0,3.0,133.0,44.3,2.0,0.0,-2.0,100.0,0.0,75.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,47.0,16.0,3.0,12.0,9.0,1.0,1.0,35.0,24.0,3.0,26.0,0.0,0.0,0.0,Sunday,993004623,11,9,18717.0,38.0,1,2.0,0.5,0.0,26.0,20.7,5.3,408.3333333333333,336.3333333333333,0.333,0.471,,104.0,82.0,3.0
202410720.0,2024-10-20T13:00:00,1.0,2024,7,DET,MIN,AWAY,31.0,29.0,60.0,U.S. Bank Stadium,0.0,21.0,7.0,3.0,0.0,34.0,43.0,29:03,27.0,12.0,14.0,1.0,66.0,492.0,7.5,5.0,36.0,184.0,5.1,2.0,27.0,19.0,308.0,3.0,0.0,11.4,16.2,70.4,145.29,10.0,4.0,40.0,2.0,1.0,50.0,5.0,3.0,0.0,0.0,8.0,63.0,1.0,0.0,3.0,26.0,11.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,7.0,12.0,0.0,25.0,17.0,30:57,16.0,2.0,10.0,4.0,65.0,251.0,3.9,0.0,17.0,53.0,3.1,0.0,44.0,25.0,198.0,0.0,3.0,4.5,7.9,56.8,39.77,13.0,3.0,23.1,4.0,1.0,25.0,3.0,0.0,0.0,0.0,4.0,30.0,2.0,2.0,4.0,26.0,7.0,4.0,2.0,93.0,46.5,5.0,0.0,-5.0,60.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,21.0,4.0,26.0,10.0,2.0,2.0,41.0,27.0,3.0,26.0,2.0,1.0,0.0,Sunday,993004635,11,20,18750.0,2.0,1,5.0,0.4,0.0,36.3,17.0,19.3,418.0,348.0,2.333,0.467,0.8,151.0,91.0,4.0
202410811.0,2024-10-27T13:00:00,1.0,2024,8,DET,TEN,HOME,52.0,14.0,66.0,Ford Field,14.0,21.0,17.0,0.0,0.0,29.0,3.0,24:23,19.0,3.0,15.0,1.0,56.0,391.0,7.0,4.0,27.0,144.0,5.3,2.0,25.0,22.0,247.0,2.0,0.0,9.9,11.2,88.0,134.5,10.0,4.0,40.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,49.0,3.0,1.0,4.0,33.0,5.0,4.0,4.0,219.0,54.8,1.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,30.0,57.0,35:37,16.0,4.0,10.0,2.0,52.0,383.0,7.4,3.0,21.0,139.0,6.6,1.0,27.0,22.0,244.0,1.0,1.0,9.0,11.1,81.5,101.23,10.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,59.0,0.0,0.0,4.0,15.0,7.0,5.0,3.0,145.0,48.3,1.0,1.0,0.0,100.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,43.0,11.0,4.0,15.0,2.0,0.0,0.0,34.0,33.0,4.0,33.0,2.0,3.0,1.0,Sunday,993004676,11,34,18772.0,38.0,1,0.0,0.4,0.0,40.0,22.3,17.7,424.0,383.3333333333333,2.333,0.433,0.8,182.0,120.0,5.0
202410912.0,2024-11-03T16:25:00,1.0,2024,9,DET,GB,AWAY,24.0,14.0,38.0,Lambeau Field,0.0,17.0,7.0,0.0,0.0,24.0,23.0,31:11,17.0,5.0,9.0,3.0,47.0,225.0,4.8,7.0,24.0,164.0,6.8,2.0,19.0,15.0,61.0,4.0,0.0,3.2,4.1,78.9,119.63,9.0,3.0,33.3,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,29.0,2.0,0.0,4.0,33.0,5.0,3.0,5.0,305.0,61.0,0.0,4.0,4.0,3.0,0.0,3.0,8.0,0.0,35.0,37.0,28:49,23.0,9.0,12.0,2.0,71.0,416.0,5.9,2.0,32.0,158.0,4.9,1.0,38.0,22.0,258.0,1.0,2.0,6.8,11.7,57.9,65.46,11.0,3.0,27.3,2.0,1.0,50.0,4.0,2.0,0.0,0.0,8.0,60.0,3.0,2.0,1.0,8.0,5.0,7.0,6.0,296.0,49.3,4.0,0.0,-4.0,100.0,0.0,50.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,1.0,8.0,5.0,3.0,2.0,30.0,25.0,4.0,33.0,1.0,2.0,0.0,Sunday,993004715,11,12,18784.0,10.0,1,4.0,0.333,0.0,43.3,17.3,26.0,369.3333333333333,350.0,3.0,0.378,1.0,234.0,134.0,6.0
202411013.0,2024-11-10T20:20:00,1.0,2024,10,DET,HOU,AWAY,26.0,23.0,49.0,NRG Stadium,0.0,7.0,6.0,13.0,0.0,31.0,11.0,27:32,17.0,8.0,8.0,1.0,55.0,261.0,4.7,3.0,32.0,124.0,3.9,1.0,22.0,18.0,137.0,1.0,0.0,6.2,7.6,81.8,107.77,12.0,4.0,33.3,2.0,2.0,100.0,4.0,2.0,0.0,0.0,5.0,51.0,0.0,0.0,1.0,8.0,2.0,1.0,4.0,199.0,49.8,0.0,1.0,1.0,10.0,13.0,0.0,0.0,0.0,28.0,49.0,32:28,20.0,7.0,10.0,3.0,62.0,411.0,6.6,1.0,23.0,138.0,6.0,1.0,39.0,23.0,273.0,0.0,1.0,7.0,11.9,59.0,69.71,12.0,3.0,25.0,3.0,2.0,66.7,4.0,1.0,0.0,0.0,10.0,67.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,84.0,42.0,1.0,0.0,-1.0,50.0,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,35.0,19.0,0.0,0.0,3.0,0.0,0.0,30.0,38.0,1.0,8.0,0.0,0.0,0.0,Sunday,993004747,11,13,18794.0,3.0,1,1.0,0.333,0.0,35.7,19.0,16.7,292.3333333333333,403.3333333333333,1.667,0.356,1.0,258.0,148.0,7.0
202411111.0,2024-11-17T13:00:00,1.0,2024,11,DET,JAX,HOME,52.0,6.0,58.0,Ford Field,7.0,21.0,14.0,10.0,0.0,27.0,32.0,39:06,19.0,7.0,11.0,1.0,62.0,345.0,5.6,3.0,32.0,105.0,3.3,1.0,30.0,15.0,240.0,2.0,5.0,8.0,16.0,50.0,59.72,12.0,7.0,58.3,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,61.0,1.0,0.0,0.0,0.0,7.0,9.0,4.0,188.0,47.0,5.0,2.0,-3.0,3.0,3.0,0.0,0.0,0.0,32.0,28.0,20:54,16.0,3.0,12.0,1.0,65.0,248.0,3.8,2.0,28.0,56.0,2.0,1.0,33.0,19.0,192.0,1.0,2.0,5.8,10.1,57.6,59.15,15.0,6.0,40.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,30.0,1.0,0.0,4.0,40.0,5.0,3.0,5.0,275.0,55.0,2.0,5.0,3.0,66.7,0.0,50.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,48.0,18.0,4.0,40.0,7.0,1.0,0.0,33.0,29.0,0.0,0.0,9.0,1.0,0.0,Sunday,993004755,11,15,18808.0,46.0,1,-3.0,0.583,0.0,34.0,17.0,17.0,277.0,358.3333333333333,0.667,0.417,1.0,284.0,171.0,8.0
