gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410114.0,2024-09-08T13:00:00,,2024,1,HOU,IND,AWAY,29.0,27.0,56.0,Lucas Oil Stadium,6.0,6.0,3.0,14.0,0.0,,,40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,6.0,14.0,0.0,,,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004463,13,14,,2.0,1,,,,,,,,,,,,,,
202410213.0,2024-09-15T20:20:00,1.0,2024,2,HOU,CHI,HOME,19.0,13.0,32.0,NRG Stadium,3.0,13.0,0.0,3.0,0.0,40.0,0.0,28:47,26.0,11.0,13.0,2.0,76.0,417.0,5.5,3.0,40.0,213.0,5.3,1.0,32.0,24.0,204.0,2.0,0.0,6.4,8.5,75.0,111.98,14.0,7.0,50.0,2.0,2.0,100.0,3.0,3.0,0.0,0.0,5.0,30.0,0.0,0.0,4.0,30.0,2.0,5.0,1.0,56.0,56.0,0.0,1.0,1.0,3.0,7.0,0.0,3.0,0.0,20.0,0.0,31:13,14.0,9.0,4.0,1.0,43.0,303.0,7.0,4.0,22.0,104.0,4.7,2.0,19.0,9.0,199.0,2.0,1.0,10.5,22.1,47.4,98.36,10.0,5.0,50.0,2.0,1.0,50.0,3.0,2.0,0.0,0.0,4.0,20.0,0.0,0.0,2.0,13.0,10.0,4.0,3.0,152.0,50.7,1.0,0.0,-1.0,100.0,0.0,66.7,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,2.0,13.0,7.0,0.0,0.0,55.0,29.0,4.0,30.0,1.0,0.0,0.0,Sunday,993004508,13,6,18679.0,6.0,1,1.0,0.5,0.0,,,,,,,,,29.0,27.0,1.0
202410320.0,2024-09-22T13:00:00,1.0,2024,3,HOU,MIN,AWAY,7.0,34.0,41.0,U.S. Bank Stadium,0.0,0.0,7.0,0.0,0.0,28.0,47.0,30:42,15.0,4.0,11.0,0.0,61.0,310.0,5.1,1.0,22.0,75.0,3.4,0.0,36.0,23.0,235.0,1.0,0.0,6.5,10.2,63.9,91.78,14.0,4.0,28.6,1.0,1.0,100.0,2.0,1.0,0.0,0.0,12.0,115.0,1.0,1.0,3.0,25.0,11.0,9.0,6.0,267.0,44.5,1.0,2.0,1.0,14.0,0.0,7.0,13.0,0.0,31.0,13.0,29:18,15.0,3.0,7.0,5.0,66.0,205.0,3.1,1.0,22.0,71.0,3.2,1.0,37.0,23.0,134.0,0.0,2.0,3.6,5.8,62.2,46.45,17.0,6.0,35.3,2.0,1.0,50.0,1.0,1.0,0.0,0.0,9.0,60.0,0.0,0.0,7.0,40.0,4.0,6.0,6.0,284.0,47.3,2.0,1.0,-1.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,46.0,18.0,7.0,40.0,3.0,0.0,0.0,43.0,17.0,3.0,25.0,5.0,1.0,1.0,Sunday,993004523,13,20,18686.0,-27.0,0,1.0,0.286,0.0,,,,,,,,,48.0,40.0,2.0
202410413.0,2024-09-29T13:00:00,1.0,2024,4,HOU,JAX,HOME,24.0,20.0,44.0,NRG Stadium,7.0,10.0,0.0,7.0,0.0,30.0,42.0,33:17,17.0,0.0,16.0,1.0,63.0,296.0,4.7,1.0,14.0,38.0,2.7,0.0,44.0,28.0,258.0,1.0,2.0,5.9,9.2,63.6,68.18,14.0,4.0,28.6,4.0,2.0,50.0,2.0,1.0,0.0,0.0,11.0,88.0,0.0,0.0,5.0,49.0,6.0,6.0,4.0,177.0,44.2,2.0,0.0,-2.0,10.0,3.0,7.0,0.0,0.0,29.0,18.0,26:43,19.0,5.0,12.0,2.0,60.0,274.0,4.6,4.0,28.0,118.0,4.2,0.0,28.0,17.0,156.0,4.0,0.0,5.6,9.2,60.7,115.48,13.0,6.0,46.2,1.0,1.0,100.0,5.0,4.0,0.0,0.0,5.0,30.0,1.0,0.0,4.0,25.0,8.0,9.0,4.0,193.0,48.2,0.0,2.0,2.0,50.0,0.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,37.0,19.0,4.0,25.0,3.0,1.0,0.0,38.0,20.0,5.0,49.0,8.0,0.0,0.0,Sunday,993004548,13,15,18711.0,4.0,1,-2.0,0.286,0.0,18.3,24.7,-6.3,341.0,260.6666666666667,0.0,0.357,,55.0,74.0,2.0
202410513.0,2024-10-06T13:00:00,1.0,2024,5,HOU,BUF,HOME,23.0,20.0,43.0,NRG Stadium,14.0,3.0,3.0,3.0,0.0,33.0,17.0,33:10,26.0,4.0,20.0,2.0,68.0,435.0,6.4,3.0,26.0,101.0,3.9,1.0,40.0,27.0,334.0,2.0,0.0,8.4,12.4,67.5,109.79,13.0,7.0,53.8,0.0,0.0,0.0,4.0,3.0,0.0,0.0,12.0,93.0,1.0,1.0,2.0,11.0,3.0,3.0,6.0,263.0,43.8,1.0,0.0,-1.0,3.0,0.0,14.0,3.0,0.0,26.0,43.0,26:50,17.0,5.0,11.0,1.0,58.0,313.0,5.4,2.0,24.0,158.0,6.6,0.0,33.0,18.0,155.0,2.0,0.0,4.7,8.6,54.5,87.31,12.0,4.0,33.3,1.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,44.0,1.0,0.0,1.0,14.0,6.0,4.0,5.0,253.0,50.6,0.0,1.0,1.0,75.0,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,17.0,1.0,14.0,5.0,0.0,0.0,46.0,19.0,2.0,11.0,5.0,0.0,1.0,Sunday,993004588,13,4,18728.0,3.0,1,-1.0,0.538,0.0,16.7,22.3,-5.7,347.0,264.0,-0.667,0.37,,79.0,94.0,3.0
202410621.0,2024-10-13T13:00:00,1.0,2024,6,HOU,NE,AWAY,41.0,21.0,62.0,Gillette Stadium,14.0,0.0,13.0,14.0,0.0,33.0,10.0,30:47,18.0,5.0,13.0,0.0,67.0,425.0,6.3,2.0,28.0,94.0,3.4,1.0,38.0,28.0,331.0,1.0,1.0,8.7,11.8,73.7,97.59,16.0,8.0,50.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,65.0,1.0,1.0,1.0,0.0,9.0,7.0,5.0,221.0,44.2,2.0,0.0,-2.0,0.0,7.0,7.0,7.0,0.0,26.0,50.0,29:13,16.0,9.0,5.0,2.0,59.0,276.0,4.7,2.0,28.0,150.0,5.4,1.0,30.0,9.0,126.0,1.0,0.0,4.2,14.0,30.0,55.69,14.0,3.0,21.4,1.0,1.0,100.0,3.0,1.0,0.0,0.0,4.0,25.0,0.0,0.0,1.0,5.0,6.0,7.0,8.0,401.0,50.1,0.0,2.0,2.0,50.0,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0,16.0,1.0,5.0,6.0,0.0,0.0,52.0,16.0,1.0,0.0,1.0,1.0,1.0,Sunday,993004611,13,21,18741.0,20.0,1,-2.0,0.5,0.0,18.0,24.7,-6.7,385.3333333333333,287.6666666666667,-1.667,0.441,0.8,102.0,114.0,4.0
202410712.0,2024-10-20T13:00:00,1.0,2024,7,HOU,GB,AWAY,22.0,24.0,46.0,Lambeau Field,3.0,16.0,0.0,3.0,0.0,30.0,47.0,31:17,20.0,5.0,13.0,2.0,62.0,368.0,5.9,5.0,28.0,192.0,6.9,2.0,32.0,20.0,176.0,3.0,1.0,5.5,8.8,62.5,95.31,11.0,4.0,36.4,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,38.0,1.0,0.0,2.0,16.0,8.0,8.0,4.0,185.0,46.2,1.0,4.0,3.0,0.0,14.0,7.0,3.0,0.0,29.0,13.0,28:43,17.0,3.0,12.0,2.0,63.0,291.0,4.6,3.0,26.0,82.0,3.2,0.0,33.0,20.0,209.0,3.0,2.0,6.3,10.4,60.6,84.03,13.0,3.0,23.1,2.0,2.0,100.0,1.0,1.0,0.0,0.0,9.0,50.0,3.0,2.0,4.0,34.0,5.0,4.0,6.0,299.0,49.8,4.0,1.0,-3.0,100.0,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,4.0,34.0,6.0,3.0,2.0,36.0,24.0,2.0,16.0,4.0,0.0,0.0,Sunday,993004647,13,12,18755.0,-2.0,0,3.0,0.364,0.0,29.3,20.3,9.0,409.3333333333333,293.3333333333333,0.0,0.467,0.8,143.0,135.0,5.0
202410813.0,2024-10-27T13:00:00,1.0,2024,8,HOU,IND,HOME,23.0,20.0,43.0,NRG Stadium,3.0,14.0,3.0,3.0,0.0,31.0,17.0,35:20,15.0,9.0,6.0,0.0,58.0,197.0,3.4,2.0,33.0,142.0,4.3,2.0,21.0,10.0,55.0,0.0,0.0,2.6,5.5,47.6,54.27,13.0,4.0,30.8,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,55.0,0.0,0.0,4.0,31.0,6.0,8.0,6.0,307.0,51.2,0.0,3.0,3.0,10.0,0.0,3.0,7.0,0.0,28.0,43.0,24:40,18.0,4.0,12.0,2.0,56.0,277.0,4.9,3.0,20.0,82.0,4.1,0.0,33.0,24.0,195.0,3.0,2.0,5.9,8.1,72.7,92.36,10.0,4.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,55.0,1.0,1.0,3.0,25.0,7.0,11.0,5.0,284.0,56.8,3.0,0.0,-3.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,7.0,3.0,25.0,5.0,0.0,1.0,38.0,23.0,4.0,31.0,1.0,0.0,0.0,Sunday,993004678,13,14,18770.0,3.0,1,3.0,0.308,0.0,28.7,21.7,7.0,330.0,281.3333333333333,1.333,0.39,0.6,165.0,159.0,5.0
202410924.0,2024-10-31T20:15:00,1.0,2024,9,HOU,NYJ,AWAY,13.0,21.0,34.0,MetLife Stadium,0.0,7.0,3.0,3.0,0.0,35.0,20.0,33:42,21.0,5.0,15.0,1.0,68.0,363.0,5.3,2.0,29.0,96.0,3.3,1.0,37.0,25.0,267.0,1.0,0.0,7.2,10.7,67.6,97.47,13.0,4.0,30.8,0.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,30.0,1.0,1.0,2.0,18.0,9.0,6.0,6.0,257.0,42.8,1.0,2.0,1.0,0.0,0.0,7.0,14.0,0.0,24.0,40.0,26:18,17.0,10.0,7.0,0.0,63.0,303.0,4.8,2.0,26.0,163.0,6.3,1.0,32.0,10.0,140.0,1.0,1.0,4.4,14.0,31.2,43.75,13.0,2.0,15.4,2.0,2.0,100.0,2.0,1.0,0.0,0.0,9.0,57.0,2.0,1.0,5.0,35.0,9.0,11.0,6.0,283.0,47.2,2.0,1.0,-1.0,33.3,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,14.0,5.0,35.0,10.0,1.0,1.0,46.0,23.0,2.0,18.0,2.0,1.0,1.0,Thursday,993004693,13,24,18785.0,-8.0,0,1.0,0.308,0.0,28.7,21.7,7.0,309.3333333333333,290.3333333333333,2.333,0.326,0.8,188.0,179.0,6.0
202411013.0,2024-11-10T20:20:00,1.0,2024,10,HOU,DET,HOME,23.0,26.0,49.0,NRG Stadium,10.0,13.0,0.0,0.0,0.0,33.0,42.0,32:28,21.0,10.0,6.0,5.0,75.0,322.0,4.3,1.0,36.0,187.0,5.2,1.0,31.0,11.0,135.0,0.0,0.0,4.4,12.3,35.5,49.8,17.0,6.0,35.3,2.0,2.0,100.0,4.0,1.0,0.0,0.0,7.0,60.0,2.0,1.0,8.0,56.0,4.0,7.0,3.0,154.0,51.3,1.0,1.0,0.0,0.0,7.0,6.0,13.0,0.0,26.0,18.0,27:32,17.0,4.0,11.0,2.0,55.0,293.0,5.3,3.0,21.0,100.0,4.8,0.0,32.0,22.0,193.0,3.0,0.0,6.0,8.8,68.8,115.76,12.0,5.0,41.7,1.0,1.0,100.0,3.0,2.0,0.0,0.0,9.0,83.0,2.0,1.0,2.0,18.0,11.0,10.0,5.0,274.0,54.8,1.0,1.0,0.0,25.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,2.0,18.0,4.0,1.0,0.0,46.0,20.0,8.0,56.0,4.0,1.0,1.0,Sunday,993004748,13,11,18806.0,-3.0,0,0.0,0.353,0.0,19.3,21.7,-2.3,294.0,291.0,1.333,0.323,0.6,201.0,200.0,6.0
