gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410114,2024-09-08T13:00:00,1,2024,1,IND,HOU,HOME,27,29,56,Lucas Oil Stadium,7,0,6,14,0,20,0,20:00,14,9,4,1,43,303,7.0,4,22,104,4.7,2,19,9,199,2,1,10.5,22.1,47.4,98.36,10,5,50.0,2,1,50.0,3,2,0,0,4,20,0,0,2,13,10,4,3,152,50.7,1,0,-1,6,6,3,14,0,40,0,40:00,26,11,13,2,76,417,5.5,3,40,213,5.3,1,32,24,204,2,0,6.4,8.5,75.0,111.98,14,7,50.0,2,2,100.0,3,3,0,0,5,30,0,0,4,30,2,5,1,56,56.0,0,1,1,66.7,0,100.0,0,3,3,0,1,0,0,0,0,0,2,2,0,1,0,0,0,3,3,55,29,4,30,1,0,0,25,15,2,13,7,0,0,Sunday,993004464,14,13,18679,-2,0,-1,0.5,0,,,,,,,,,,,,-6.0
202410212,2024-09-15T13:00:00,1,2024,2,IND,GB,AWAY,10,16,26,Lambeau Field,0,0,3,7,0,19,49,19:49,19,8,10,1,53,338,6.4,1,18,140,7.8,0,34,17,198,1,3,5.8,11.6,50.0,41.05,9,2,22.2,2,1,50.0,2,1,0,0,3,20,3,0,1,6,0,6,3,161,53.7,3,1,-2,10,0,3,3,0,40,11,40:11,19,13,6,0,67,383,5.7,1,53,261,4.9,0,14,12,122,1,0,8.7,10.2,85.7,126.79,17,10,58.8,0,0,0.0,3,1,0,0,6,50,2,1,0,0,3,4,3,139,46.3,1,3,2,50.0,0,33.3,0,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,4,3,58,33,0,0,1,1,1,30,11,1,6,7,1,0,Sunday,993004485,14,12,18694,-6,0,-2,0.222,0,,,,,,,,,27.0,29.0,0.0,5.0
202410314,2024-09-22T13:00:00,1,2024,3,IND,CHI,HOME,21,16,37,Lucas Oil Stadium,0,7,7,7,0,24,59,24:59,15,9,4,2,54,306,5.7,3,33,150,4.5,3,20,10,156,0,2,7.8,15.6,50.0,36.67,12,3,25.0,1,0,0.0,3,2,0,0,9,78,0,0,1,11,6,7,5,245,49.0,2,3,1,0,0,3,13,0,35,1,35:01,26,4,18,4,84,395,4.7,2,28,63,2.2,0,52,33,332,2,2,6.4,10.1,63.5,78.37,21,9,42.9,5,4,80.0,3,2,0,0,4,25,1,1,4,31,3,3,3,127,42.3,3,2,-1,66.7,0,66.7,0,3,3,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,1,49,39,4,31,5,1,1,31,23,1,11,5,0,0,Sunday,993004514,14,6,18710,5,1,1,0.25,0,,,,,,,,,37.0,45.0,0.0,3.0
202410414,2024-09-29T13:00:00,1,2024,4,IND,PIT,HOME,27,24,51,Lucas Oil Stadium,14,3,0,10,0,28,53,28:53,22,7,13,2,64,358,5.6,3,32,133,4.2,1,30,19,225,2,0,7.5,11.8,63.3,108.33,15,8,53.3,0,0,0.0,5,3,0,0,4,38,1,0,2,14,9,5,4,170,42.5,0,2,2,0,3,7,14,0,31,7,31:07,23,10,11,2,68,404,5.9,3,30,122,4.1,2,34,22,282,1,0,8.3,12.8,64.7,100.37,13,6,46.2,2,0,0.0,4,3,0,0,6,53,3,2,4,30,8,4,3,103,34.3,2,0,-2,60.0,0,75.0,0,3,3,0,0,0,0,0,3,2,3,3,0,0,0,0,0,1,1,47,19,4,30,5,2,2,39,30,2,14,2,1,0,Sunday,993004554,14,28,18729,3,1,2,0.533,0,19.3,20.3,-1.0,315.6666666666667,398.3333333333333,-0.667,0.324,,58.0,61.0,1.0,-3.0
202410515,2024-10-06T13:00:00,1,2024,5,IND,JAX,AWAY,34,37,71,EverBank Stadium,7,3,0,24,0,31,32,31:32,25,7,17,1,69,447,6.5,4,20,99,5.0,1,45,34,348,3,0,7.7,10.2,75.6,119.49,14,7,50.0,1,1,100.0,5,3,0,0,5,34,1,1,4,35,0,4,4,210,52.5,1,2,1,0,13,7,17,0,28,28,28:28,20,6,13,1,57,497,8.7,4,23,126,5.5,2,34,28,371,2,1,10.9,13.2,82.4,119.49,10,3,30.0,2,1,50.0,4,2,0,0,3,25,2,1,0,0,5,5,2,102,51.0,2,1,-1,60.0,0,50.0,0,4,4,0,0,0,0,0,2,2,4,4,0,0,0,0,0,3,3,41,25,0,0,5,2,1,48,23,4,35,4,1,1,Sunday,993004579,14,15,18742,-3,0,1,0.5,0,19.3,18.7,0.7,334.0,394.0,0.333,0.335,,85.0,85.0,2.0,3.0
202410634,2024-10-13T13:00:00,1,2024,6,IND,TEN,AWAY,20,17,37,Nissan Stadium,7,3,0,10,0,29,28,29:28,20,4,11,5,66,269,4.1,2,28,80,2.9,0,38,22,189,2,1,5.0,8.6,57.9,77.63,15,7,46.7,1,1,100.0,3,1,0,0,5,40,0,0,0,0,4,2,5,271,54.2,1,1,0,7,3,7,0,0,30,32,30:32,16,7,7,2,55,241,4.4,2,28,146,5.2,1,27,16,95,1,1,3.5,5.9,59.3,63.04,11,4,36.4,1,1,100.0,2,2,0,0,11,113,1,0,0,0,2,6,5,289,57.8,1,1,0,33.3,0,100.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,42,16,0,0,7,1,0,42,20,0,0,3,0,0,Sunday,993004615,14,34,18758,3,1,0,0.467,0,27.3,25.7,1.7,370.3333333333333,432.0,1.333,0.428,0.4,119.0,122.0,2.0,6.0
202410714,2024-10-20T13:00:00,1,2024,7,IND,MIA,HOME,16,10,26,Lucas Oil Stadium,0,3,7,6,0,28,49,28:49,16,10,6,0,61,284,4.7,1,37,155,4.2,1,24,10,129,0,0,5.4,12.9,41.7,59.2,13,4,30.8,0,0,0.0,3,1,0,0,4,25,1,1,0,0,5,5,7,337,48.1,1,2,1,7,3,0,0,0,31,11,31:11,18,9,8,1,68,337,5.0,1,40,188,4.7,0,26,15,149,1,0,5.7,9.9,57.7,86.86,15,6,40.0,1,0,0.0,3,1,0,0,6,50,2,2,2,12,4,5,6,286,47.7,2,1,-1,33.3,0,33.3,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,2,1,43,43,2,12,2,2,2,37,23,0,0,4,0,1,Sunday,993004646,14,19,18771,6,1,1,0.308,0,27.0,26.0,1.0,358.0,380.6666666666667,1.0,0.5,0.6,139.0,139.0,3.0,-3.0
202410813,2024-10-27T13:00:00,1,2024,8,IND,HOU,AWAY,20,23,43,NRG Stadium,10,0,3,7,0,24,40,24:40,17,10,7,0,63,303,4.8,2,26,163,6.3,1,32,10,140,1,1,4.4,14.0,31.2,43.75,13,2,15.4,2,2,100.0,2,1,0,0,9,57,2,1,5,35,9,11,6,283,47.2,2,1,-1,3,14,3,3,0,35,20,35:20,21,5,15,1,68,363,5.3,2,29,96,3.3,1,37,25,267,1,0,7.2,10.7,67.6,97.47,13,4,30.8,0,0,0.0,6,2,0,0,5,30,1,1,2,18,9,6,6,257,42.8,1,2,1,50.0,0,33.3,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3,46,23,2,18,2,1,1,36,14,5,35,10,1,1,Sunday,993004677,14,13,18785,-3,0,-1,0.154,0,23.3,21.3,2.0,333.3333333333333,358.3333333333333,0.667,0.425,0.8,155.0,149.0,4.0,-8.0
202410920,2024-11-03T20:20:00,1,2024,9,IND,MIN,AWAY,13,21,34,U.S. Bank Stadium,0,7,0,6,0,23,6,23:06,13,3,9,1,49,227,4.6,1,19,68,3.6,0,27,16,159,0,1,5.9,9.9,59.3,60.57,11,3,27.3,2,1,50.0,0,0,0,0,7,50,1,1,3,20,7,8,3,148,49.3,2,3,1,0,0,14,7,0,36,54,36:54,29,10,17,2,71,415,5.8,3,32,133,4.2,0,35,29,282,3,2,8.1,9.7,82.9,105.0,12,6,50.0,1,1,100.0,5,3,0,0,3,41,1,1,4,30,7,4,2,83,41.5,3,2,-1,0.0,0,60.0,0,1,1,0,0,0,0,0,3,2,3,3,0,0,0,0,0,2,0,56,22,4,30,2,1,1,28,20,3,20,5,0,1,Sunday,993004719,14,20,18803,-8,0,1,0.273,0,18.7,16.7,2.0,285.3333333333333,313.6666666666667,0.0,0.309,0.6,175.0,172.0,4.0,-10.0
202411014,2024-11-10T13:00:00,1,2024,10,IND,BUF,HOME,20,30,50,Lucas Oil Stadium,3,10,0,7,0,27,52,27:52,19,4,14,1,61,361,5.9,2,22,121,5.5,0,35,26,240,2,3,6.9,9.2,74.3,75.89,11,4,36.4,3,2,66.7,4,2,0,0,5,25,2,1,4,32,5,2,2,108,54.0,4,2,-2,10,10,0,10,0,32,8,32:08,21,9,11,1,70,415,5.9,3,31,135,4.4,2,37,22,280,0,2,7.6,12.7,59.5,60.64,14,7,50.0,3,2,66.7,4,2,0,0,8,54,1,0,2,0,6,6,2,109,54.5,2,4,2,50.0,0,50.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,3,3,41,33,2,0,5,1,0,43,22,4,32,5,2,1,Sunday,993004738,14,4,18813,-10,0,-2,0.364,0,16.3,18.0,-1.7,271.3333333333333,371.6666666666667,0.333,0.245,0.4,188.0,193.0,4.0,1.0
