gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410119.0,2024-09-08T13:00:00,,2024,1,JAX,MIA,AWAY,17.0,20.0,37.0,Hard Rock Stadium,7.0,10.0,0.0,0.0,0.0,,,26:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,7.0,6.0,0.0,,,33:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004455,15,19,,-3.0,0,,,,,,,,,,,,,,
202410215.0,2024-09-15T13:00:00,1.0,2024,2,JAX,CLE,HOME,13.0,18.0,31.0,EverBank Stadium,0.0,3.0,7.0,3.0,0.0,26.0,50.0,25:37,17.0,7.0,8.0,2.0,50.0,267.0,5.3,2.0,26.0,128.0,4.9,1.0,21.0,12.0,139.0,1.0,0.0,6.6,11.6,57.1,93.15,10.0,2.0,20.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,71.0,2.0,1.0,3.0,23.0,4.0,9.0,6.0,311.0,51.8,1.0,0.0,-1.0,7.0,6.0,3.0,2.0,0.0,33.0,10.0,34:23,18.0,5.0,11.0,2.0,65.0,400.0,6.2,2.0,25.0,81.0,3.2,1.0,37.0,23.0,319.0,1.0,0.0,8.6,13.9,62.2,98.82,16.0,8.0,50.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,103.0,0.0,0.0,3.0,19.0,4.0,6.0,4.0,198.0,49.5,0.0,1.0,1.0,66.7,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,40.0,22.0,3.0,19.0,5.0,0.0,0.0,32.0,20.0,3.0,23.0,1.0,2.0,1.0,Sunday,993004484,15,8,18680.0,-5.0,0,-1.0,0.2,0.0,,,,,,,,,17.0,20.0,0.0
202410304.0,2024-09-23T19:30:00,1.0,2024,3,JAX,BUF,AWAY,10.0,47.0,57.0,Highmark Stadium,0.0,3.0,7.0,0.0,0.0,25.0,37.0,28:20,18.0,7.0,9.0,2.0,55.0,323.0,5.9,1.0,21.0,127.0,6.0,1.0,30.0,14.0,196.0,0.0,0.0,6.5,14.0,46.7,68.19,9.0,3.0,33.3,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,52.0,1.0,0.0,4.0,24.0,8.0,6.0,3.0,156.0,52.0,0.0,0.0,0.0,13.0,21.0,3.0,10.0,0.0,34.0,23.0,31:40,17.0,7.0,7.0,3.0,65.0,297.0,4.6,1.0,29.0,125.0,4.3,1.0,34.0,22.0,172.0,0.0,0.0,5.1,7.8,64.7,77.08,14.0,2.0,14.3,3.0,3.0,100.0,1.0,1.0,0.0,0.0,13.0,100.0,1.0,0.0,2.0,14.0,7.0,9.0,5.0,218.0,43.6,0.0,0.0,0.0,25.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,44.0,21.0,2.0,14.0,4.0,1.0,0.0,37.0,6.0,4.0,24.0,5.0,1.0,0.0,Monday,993004539,15,4,18695.0,-37.0,0,0.0,0.333,0.0,,,,,,,,,30.0,38.0,0.0
202410413.0,2024-09-29T13:00:00,1.0,2024,4,JAX,HOU,AWAY,20.0,24.0,44.0,NRG Stadium,10.0,3.0,7.0,0.0,0.0,28.0,20.0,26:43,19.0,7.0,10.0,2.0,68.0,239.0,3.5,1.0,17.0,92.0,5.4,0.0,46.0,26.0,147.0,1.0,1.0,3.2,5.7,56.5,60.69,13.0,2.0,15.4,8.0,4.0,50.0,4.0,1.0,0.0,0.0,7.0,45.0,1.0,1.0,5.0,53.0,1.0,4.0,2.0,109.0,54.5,2.0,0.0,-2.0,7.0,10.0,0.0,7.0,0.0,31.0,40.0,33:17,25.0,9.0,15.0,1.0,60.0,388.0,6.5,6.0,29.0,122.0,4.2,2.0,31.0,24.0,266.0,4.0,0.0,8.6,11.1,77.4,141.94,11.0,6.0,54.5,2.0,2.0,100.0,5.0,4.0,0.0,0.0,6.0,47.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,49.0,49.0,0.0,2.0,2.0,25.0,0.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,33.0,0.0,0.0,3.0,0.0,0.0,39.0,20.0,5.0,53.0,8.0,1.0,1.0,Sunday,993004547,15,13,18702.0,-4.0,0,-2.0,0.154,0.0,13.3,28.3,-15.0,276.3333333333333,361.6666666666667,-1.0,0.229,,40.0,85.0,0.0
202410515.0,2024-10-06T13:00:00,1.0,2024,5,JAX,IND,HOME,37.0,34.0,71.0,EverBank Stadium,0.0,13.0,7.0,17.0,0.0,26.0,43.0,28:28,17.0,5.0,11.0,1.0,58.0,313.0,5.4,2.0,24.0,158.0,6.6,0.0,33.0,18.0,155.0,2.0,0.0,4.7,8.6,54.5,87.31,12.0,4.0,33.3,1.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,44.0,1.0,0.0,1.0,14.0,6.0,4.0,5.0,253.0,50.6,0.0,1.0,1.0,7.0,3.0,0.0,24.0,0.0,33.0,17.0,31:32,26.0,4.0,20.0,2.0,68.0,435.0,6.4,3.0,26.0,101.0,3.9,1.0,40.0,27.0,334.0,2.0,0.0,8.4,12.4,67.5,109.79,13.0,7.0,53.8,0.0,0.0,0.0,4.0,3.0,0.0,0.0,12.0,93.0,1.0,1.0,2.0,11.0,3.0,3.0,6.0,263.0,43.8,1.0,0.0,-1.0,66.7,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,46.0,19.0,2.0,11.0,5.0,0.0,1.0,33.0,17.0,1.0,14.0,5.0,0.0,0.0,Sunday,993004580,15,14,18728.0,3.0,1,1.0,0.333,0.0,14.3,29.7,-15.3,291.6666666666667,373.3333333333333,-0.333,0.274,,60.0,109.0,0.0
202410606.0,2024-10-13T09:30:00,1.0,2024,6,JAX,CHI,AWAY,16.0,35.0,51.0,Tottenham Hotspur Stadium,3.0,0.0,7.0,6.0,0.0,28.0,28.0,29:20,20.0,6.0,13.0,1.0,57.0,497.0,8.7,4.0,23.0,126.0,5.5,2.0,34.0,28.0,371.0,2.0,1.0,10.9,13.2,82.4,119.49,10.0,3.0,30.0,2.0,1.0,50.0,4.0,2.0,0.0,0.0,3.0,25.0,2.0,1.0,0.0,0.0,5.0,5.0,2.0,102.0,51.0,2.0,1.0,-1.0,0.0,14.0,7.0,14.0,0.0,31.0,32.0,30:40,25.0,7.0,17.0,1.0,69.0,447.0,6.5,4.0,20.0,99.0,5.0,1.0,45.0,34.0,348.0,3.0,0.0,7.7,10.2,75.6,119.49,14.0,7.0,50.0,1.0,1.0,100.0,5.0,3.0,0.0,0.0,5.0,34.0,1.0,1.0,4.0,35.0,0.0,4.0,4.0,210.0,52.5,1.0,2.0,1.0,50.0,0.0,60.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,48.0,23.0,4.0,35.0,4.0,1.0,1.0,41.0,25.0,0.0,0.0,5.0,2.0,1.0,Sunday,993004605,15,6,18742.0,-19.0,0,-1.0,0.3,0.0,22.3,35.0,-12.7,349.6666666666667,423.3333333333333,-0.667,0.262,0.2,97.0,143.0,1.0
202410715.0,2024-10-20T09:30:00,1.0,2024,7,JAX,NE,HOME,32.0,16.0,48.0,Wembley Stadium,0.0,22.0,3.0,7.0,0.0,29.0,20.0,33:15,17.0,3.0,14.0,0.0,60.0,278.0,4.6,2.0,20.0,68.0,3.4,0.0,36.0,24.0,210.0,2.0,1.0,5.8,8.8,66.7,88.89,15.0,7.0,46.7,2.0,2.0,100.0,3.0,2.0,0.0,0.0,8.0,43.0,2.0,1.0,4.0,30.0,5.0,3.0,4.0,193.0,48.2,2.0,1.0,-1.0,7.0,3.0,0.0,6.0,0.0,30.0,40.0,26:45,25.0,8.0,14.0,3.0,61.0,373.0,6.1,5.0,29.0,152.0,5.2,1.0,29.0,23.0,221.0,4.0,1.0,7.6,9.6,79.3,123.64,11.0,5.0,45.5,1.0,1.0,100.0,4.0,4.0,0.0,0.0,2.0,10.0,1.0,0.0,3.0,5.0,8.0,4.0,2.0,123.0,61.5,1.0,2.0,1.0,66.7,0.0,100.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,25.0,3.0,5.0,2.0,1.0,0.0,42.0,23.0,4.0,30.0,6.0,2.0,1.0,Sunday,993004634,15,21,18759.0,16.0,1,-1.0,0.467,0.0,24.3,31.0,-6.7,362.6666666666667,418.3333333333333,-0.333,0.367,0.2,113.0,178.0,1.0
202410815.0,2024-10-27T13:00:00,1.0,2024,8,JAX,GB,HOME,27.0,30.0,57.0,EverBank Stadium,0.0,10.0,7.0,10.0,0.0,33.0,15.0,25:51,23.0,13.0,9.0,1.0,59.0,364.0,6.2,4.0,39.0,171.0,4.4,2.0,20.0,15.0,193.0,1.0,0.0,9.6,12.9,75.0,121.46,10.0,6.0,60.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,70.0,35.0,0.0,0.0,0.0,0.0,13.0,7.0,10.0,0.0,26.0,45.0,34:09,17.0,2.0,13.0,2.0,54.0,295.0,5.5,2.0,15.0,38.0,2.5,0.0,37.0,26.0,257.0,2.0,0.0,6.9,9.9,70.3,107.6,12.0,6.0,50.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,35.0,0.0,0.0,2.0,19.0,0.0,2.0,4.0,209.0,52.2,0.0,0.0,0.0,60.0,0.0,100.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,29.0,27.0,2.0,19.0,4.0,0.0,0.0,38.0,30.0,0.0,0.0,2.0,0.0,0.0,Sunday,993004666,15,12,18774.0,-3.0,0,0.0,0.6,0.0,28.3,28.3,0.0,379.6666666666667,371.6666666666667,-0.667,0.456,0.4,145.0,194.0,2.0
202410926.0,2024-11-03T16:05:00,1.0,2024,9,JAX,PHI,AWAY,23.0,28.0,51.0,Lincoln Financial Field,0.0,0.0,16.0,7.0,0.0,25.0,51.0,21:48,19.0,5.0,14.0,0.0,56.0,390.0,7.0,3.0,23.0,91.0,4.0,1.0,32.0,21.0,299.0,2.0,1.0,9.3,14.2,65.6,103.52,9.0,1.0,11.1,1.0,1.0,100.0,3.0,3.0,0.0,0.0,8.0,59.0,2.0,1.0,1.0,9.0,4.0,5.0,5.0,298.0,59.6,2.0,1.0,-1.0,7.0,9.0,6.0,6.0,0.0,34.0,9.0,38:12,22.0,8.0,11.0,3.0,67.0,422.0,6.3,3.0,39.0,170.0,4.4,2.0,27.0,18.0,252.0,1.0,1.0,9.3,14.0,66.7,93.44,11.0,3.0,27.3,0.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,20.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,241.0,48.2,1.0,2.0,1.0,100.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,40.0,29.0,1.0,0.0,1.0,0.0,0.0,33.0,28.0,1.0,9.0,5.0,1.0,1.0,Sunday,993004712,15,26,18786.0,-5.0,0,-1.0,0.111,0.0,25.0,27.0,-2.0,344.0,363.3333333333333,-0.667,0.393,0.4,172.0,224.0,2.0
202411015.0,2024-11-10T13:00:00,1.0,2024,10,JAX,MIN,HOME,7.0,12.0,19.0,EverBank Stadium,7.0,0.0,0.0,0.0,0.0,21.0,48.0,17:41,14.0,4.0,9.0,1.0,51.0,215.0,4.2,3.0,18.0,60.0,3.3,2.0,31.0,16.0,155.0,0.0,2.0,5.0,9.7,51.6,39.05,10.0,3.0,30.0,2.0,1.0,50.0,3.0,2.0,0.0,0.0,4.0,17.0,1.0,1.0,2.0,14.0,3.0,6.0,5.0,238.0,47.6,3.0,1.0,-2.0,3.0,0.0,3.0,6.0,0.0,38.0,12.0,42:19,21.0,9.0,11.0,1.0,73.0,447.0,6.1,4.0,46.0,237.0,5.2,2.0,24.0,18.0,210.0,2.0,0.0,8.8,11.7,75.0,128.82,17.0,9.0,52.9,2.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,67.0,1.0,1.0,3.0,20.0,3.0,3.0,3.0,146.0,48.7,1.0,3.0,2.0,66.7,0.0,75.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,51.0,19.0,3.0,20.0,2.0,0.0,1.0,26.0,17.0,2.0,14.0,9.0,1.0,1.0,Sunday,993004732,15,20,18793.0,-5.0,0,-2.0,0.3,0.0,27.3,24.7,2.7,323.0,388.0,-1.0,0.337,0.4,195.0,252.0,2.0
