gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410119,2024-09-08T13:00:00,,2024,1,MIA,JAX,HOME,20,17,37,Hard Rock Stadium,,,,,,,,33:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004456,19,15,,3,1,,,,,,,,,,,,,,
202410219,2024-09-12T20:15:00,1.0,2024,2,MIA,BUF,HOME,10,31,41,Hard Rock Stadium,0.0,7.0,7.0,6.0,0.0,33.0,10.0,36:19,18.0,5.0,11.0,2.0,65.0,400.0,6.2,2.0,25.0,81.0,3.2,1.0,37.0,23.0,319.0,1.0,0.0,8.6,13.9,62.2,98.82,16.0,8.0,50.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,103.0,0.0,0.0,3.0,19.0,4.0,6.0,4.0,198.0,49.5,0.0,1.0,1.0,7.0,10.0,0.0,0.0,0.0,26.0,50.0,23:41,17.0,7.0,8.0,2.0,50.0,267.0,5.3,2.0,26.0,128.0,4.9,1.0,21.0,12.0,139.0,1.0,0.0,6.6,11.6,57.1,93.15,10.0,2.0,20.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,71.0,2.0,1.0,3.0,23.0,4.0,9.0,6.0,311.0,51.8,1.0,0.0,-1.0,50.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,20.0,3.0,23.0,1.0,2.0,1.0,40.0,22.0,3.0,19.0,5.0,0.0,0.0,Thursday,993004480,19,4,18680.0,-21,0,1.0,0.5,0.0,,,,,,,,,20.0,17.0,1.0
202410330,2024-09-22T16:05:00,1.0,2024,3,MIA,SEA,AWAY,3,24,27,Lumen Field,7.0,3.0,0.0,0.0,0.0,36.0,19.0,28:32,20.0,8.0,12.0,0.0,75.0,351.0,4.7,1.0,34.0,139.0,4.1,0.0,39.0,25.0,212.0,1.0,3.0,5.4,8.5,64.1,54.65,15.0,7.0,46.7,5.0,1.0,20.0,4.0,1.0,0.0,0.0,7.0,50.0,0.0,0.0,2.0,13.0,0.0,4.0,1.0,48.0,48.0,3.0,0.0,-3.0,7.0,17.0,7.0,0.0,0.0,23.0,41.0,31:28,13.0,7.0,5.0,1.0,45.0,247.0,5.5,4.0,26.0,108.0,4.2,2.0,19.0,13.0,139.0,1.0,0.0,7.3,10.7,68.4,107.13,9.0,3.0,33.3,1.0,1.0,100.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,5.0,10.0,3.0,149.0,49.7,0.0,3.0,3.0,25.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,30.0,18.0,0.0,0.0,3.0,0.0,0.0,52.0,20.0,2.0,13.0,4.0,0.0,0.0,Sunday,993004529,19,30,18700.0,-21,0,-3.0,0.467,0.0,,,,,,,,,30.0,48.0,1.0
202410419,2024-09-30T19:30:00,1.0,2024,4,MIA,TEN,HOME,12,31,43,Hard Rock Stadium,3.0,0.0,0.0,0.0,0.0,28.0,32.0,25:08,13.0,2.0,8.0,3.0,56.0,205.0,3.7,0.0,18.0,65.0,3.6,0.0,32.0,20.0,140.0,0.0,0.0,4.4,7.0,62.5,72.4,12.0,1.0,8.3,3.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,85.0,3.0,0.0,6.0,46.0,7.0,6.0,6.0,277.0,46.2,0.0,2.0,2.0,17.0,0.0,0.0,7.0,0.0,31.0,28.0,34:52,21.0,7.0,13.0,1.0,60.0,370.0,6.2,3.0,23.0,100.0,4.3,2.0,34.0,26.0,270.0,1.0,2.0,7.9,10.4,76.5,84.19,11.0,3.0,27.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,92.0,1.0,0.0,3.0,19.0,12.0,8.0,4.0,195.0,48.8,2.0,0.0,-2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,37.0,29.0,3.0,19.0,5.0,0.0,0.0,37.0,21.0,6.0,46.0,3.0,2.0,0.0,Monday,993004572,19,34,18708.0,-19,0,2.0,0.083,0.0,11.0,24.0,-13.0,318.6666666666667,294.6666666666667,0.0,0.35,,33.0,72.0,1.0
202410521,2024-10-06T13:00:00,1.0,2024,5,MIA,NE,AWAY,15,10,25,Gillette Stadium,0.0,3.0,3.0,6.0,0.0,25.0,8.0,34:20,13.0,6.0,4.0,3.0,54.0,184.0,3.4,1.0,30.0,106.0,3.5,1.0,22.0,14.0,78.0,0.0,0.0,3.5,5.6,63.6,69.89,12.0,2.0,16.7,3.0,1.0,33.3,1.0,1.0,0.0,0.0,10.0,98.0,1.0,1.0,2.0,18.0,3.0,8.0,5.0,238.0,47.6,1.0,1.0,0.0,0.0,9.0,10.0,12.0,0.0,34.0,52.0,25:40,16.0,8.0,5.0,3.0,62.0,244.0,3.9,2.0,40.0,142.0,3.6,2.0,21.0,12.0,102.0,0.0,1.0,4.9,8.5,57.1,50.1,12.0,2.0,16.7,1.0,1.0,100.0,3.0,2.0,0.0,0.0,8.0,69.0,0.0,0.0,1.0,8.0,5.0,7.0,5.0,209.0,41.8,1.0,1.0,0.0,100.0,0.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,37.0,32.0,1.0,8.0,4.0,0.0,0.0,34.0,24.0,2.0,18.0,1.0,0.0,1.0,Sunday,993004581,19,21,18718.0,5,1,0.0,0.167,0.0,8.3,28.7,-20.3,246.66666666666666,287.0,-0.333,0.239,,45.0,103.0,1.0
202410714,2024-10-20T13:00:00,1.0,2024,7,MIA,IND,AWAY,10,16,26,Lucas Oil Stadium,3.0,0.0,6.0,6.0,0.0,34.0,20.0,31:11,24.0,10.0,10.0,4.0,75.0,372.0,5.0,1.0,41.0,193.0,4.7,1.0,31.0,18.0,179.0,0.0,1.0,5.8,9.9,58.1,61.09,11.0,2.0,18.2,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,54.0,3.0,1.0,3.0,15.0,9.0,5.0,2.0,88.0,44.0,2.0,0.0,-2.0,7.0,0.0,3.0,0.0,0.0,25.0,40.0,28:49,15.0,5.0,8.0,2.0,55.0,299.0,5.4,1.0,19.0,151.0,7.9,1.0,34.0,18.0,148.0,0.0,0.0,4.4,8.2,52.9,64.34,13.0,4.0,30.8,1.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,105.0,0.0,0.0,2.0,12.0,5.0,5.0,6.0,310.0,51.7,0.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,33.0,21.0,2.0,12.0,6.0,0.0,0.0,47.0,35.0,3.0,15.0,5.0,1.0,1.0,Sunday,993004644,19,14,18743.0,-6,0,-2.0,0.182,0.0,10.0,21.7,-11.7,253.66666666666666,304.3333333333333,0.0,0.144,0.4,60.0,113.0,2.0
202410819,2024-10-27T13:00:00,1.0,2024,8,MIA,ARI,HOME,27,28,55,Hard Rock Stadium,7.0,3.0,0.0,0.0,0.0,31.0,11.0,30:31,18.0,9.0,8.0,1.0,68.0,337.0,5.0,1.0,40.0,188.0,4.7,0.0,26.0,15.0,149.0,1.0,0.0,5.7,9.9,57.7,86.86,15.0,6.0,40.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,50.0,2.0,2.0,2.0,12.0,4.0,5.0,6.0,286.0,47.7,2.0,1.0,-1.0,0.0,3.0,7.0,6.0,0.0,28.0,49.0,29:29,16.0,10.0,6.0,0.0,61.0,284.0,4.7,1.0,37.0,155.0,4.2,1.0,24.0,10.0,129.0,0.0,0.0,5.4,12.9,41.7,59.2,13.0,4.0,30.8,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,25.0,1.0,1.0,0.0,0.0,5.0,5.0,7.0,337.0,48.1,1.0,2.0,1.0,33.3,0.0,33.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,23.0,0.0,0.0,4.0,0.0,1.0,43.0,43.0,2.0,12.0,2.0,2.0,2.0,Sunday,993004672,19,1,18771.0,-1,0,-1.0,0.4,0.0,12.3,19.0,-6.7,297.6666666666667,275.6666666666667,-1.0,0.249,0.2,70.0,129.0,2.0
202410904,2024-11-03T13:00:00,1.0,2024,9,MIA,BUF,AWAY,27,30,57,Highmark Stadium,10.0,3.0,7.0,7.0,0.0,30.0,31.0,31:53,22.0,7.0,15.0,0.0,64.0,377.0,5.9,3.0,25.0,150.0,6.0,2.0,38.0,28.0,227.0,1.0,0.0,6.0,8.1,73.7,97.15,15.0,11.0,73.3,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,15.0,4.0,0.0,1.0,7.0,1.0,2.0,2.0,92.0,46.0,0.0,0.0,0.0,0.0,7.0,11.0,10.0,0.0,29.0,29.0,28:07,22.0,6.0,15.0,1.0,62.0,389.0,6.3,3.0,26.0,82.0,3.2,1.0,36.0,26.0,307.0,2.0,0.0,8.5,11.8,72.2,116.32,13.0,7.0,53.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,29.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,160.0,53.3,0.0,0.0,0.0,75.0,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,39.0,21.0,0.0,0.0,5.0,1.0,0.0,35.0,30.0,1.0,7.0,4.0,2.0,0.0,Sunday,993004707,19,4,18787.0,-3,0,0.0,0.733,0.0,17.3,18.0,-0.7,362.0,324.0,-1.0,0.438,0.2,97.0,157.0,2.0
202411032,2024-11-11T20:15:00,1.0,2024,10,MIA,LAR,AWAY,23,15,38,SoFi Stadium,3.0,7.0,3.0,14.0,0.0,31.0,53.0,29:48,26.0,10.0,14.0,2.0,60.0,373.0,6.2,3.0,31.0,149.0,4.8,1.0,28.0,25.0,224.0,2.0,0.0,8.0,9.0,89.3,123.81,8.0,4.0,50.0,1.0,1.0,100.0,4.0,3.0,0.0,0.0,8.0,57.0,1.0,1.0,1.0,7.0,3.0,4.0,1.0,37.0,37.0,1.0,1.0,0.0,3.0,3.0,14.0,10.0,0.0,28.0,7.0,30:12,24.0,5.0,15.0,4.0,59.0,325.0,5.5,3.0,19.0,94.0,4.9,0.0,39.0,25.0,231.0,3.0,1.0,5.9,9.2,64.1,95.14,10.0,5.0,50.0,1.0,1.0,100.0,5.0,2.0,0.0,0.0,4.0,40.0,0.0,0.0,1.0,4.0,2.0,5.0,1.0,49.0,49.0,1.0,1.0,0.0,75.0,0.0,40.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,35.0,20.0,1.0,4.0,2.0,0.0,0.0,43.0,26.0,1.0,7.0,1.0,1.0,1.0,Monday,993004749,19,32,18799.0,8,1,0.0,0.5,0.0,21.3,24.7,-3.3,362.3333333333333,332.6666666666667,-0.333,0.544,0.2,124.0,187.0,2.0
202411119,2024-11-17T13:00:00,1.0,2024,11,MIA,LV,HOME,34,19,53,Hard Rock Stadium,7.0,3.0,7.0,6.0,0.0,29.0,48.0,33:12,15.0,3.0,11.0,1.0,53.0,238.0,4.5,2.0,22.0,67.0,3.0,1.0,28.0,20.0,171.0,1.0,1.0,6.1,8.6,71.4,84.08,13.0,6.0,46.2,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,15.0,1.0,1.0,3.0,36.0,6.0,7.0,3.0,134.0,44.7,2.0,2.0,0.0,0.0,6.0,0.0,9.0,0.0,30.0,12.0,26:48,20.0,4.0,16.0,0.0,68.0,327.0,4.8,0.0,18.0,70.0,3.9,0.0,46.0,32.0,257.0,0.0,1.0,5.6,8.0,69.6,74.28,12.0,3.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,64.0,3.0,1.0,4.0,36.0,4.0,10.0,3.0,148.0,49.3,2.0,2.0,0.0,66.7,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,39.0,30.0,4.0,36.0,6.0,2.0,1.0,39.0,15.0,3.0,36.0,4.0,1.0,1.0,Sunday,993004762,19,25,18807.0,15,1,0.0,0.462,0.0,25.7,24.3,1.3,329.3333333333333,347.0,0.0,0.565,0.4,147.0,202.0,3.0
