gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410123.0,2024-09-08T13:00:00,,2024,1,MIN,NYG,AWAY,28.0,6.0,34.0,MetLife Stadium,7.0,7.0,14.0,0.0,0.0,,,27:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,,,32:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004451,20,23,,22.0,1,,,,,,,,,,,,,,
202410220.0,2024-09-15T13:00:00,1.0,2024,2,MIN,SF,HOME,23.0,17.0,40.0,U.S. Bank Stadium,3.0,10.0,7.0,3.0,0.0,27.0,34.0,25:12,17.0,7.0,8.0,2.0,51.0,312.0,6.1,4.0,26.0,111.0,4.3,1.0,24.0,19.0,201.0,2.0,1.0,8.4,10.6,79.2,111.98,10.0,3.0,30.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,7.0,63.0,1.0,1.0,1.0,7.0,12.0,6.0,4.0,168.0,42.0,2.0,2.0,0.0,0.0,7.0,0.0,10.0,0.0,32.0,26.0,34:48,14.0,5.0,8.0,1.0,68.0,240.0,3.5,0.0,21.0,74.0,3.5,0.0,42.0,22.0,166.0,0.0,2.0,4.0,7.5,52.4,42.36,18.0,7.0,38.9,3.0,1.0,33.3,3.0,0.0,0.0,0.0,9.0,95.0,1.0,0.0,5.0,20.0,2.0,4.0,6.0,277.0,46.2,2.0,2.0,0.0,100.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,24.0,5.0,20.0,6.0,0.0,0.0,39.0,9.0,1.0,7.0,4.0,1.0,1.0,Sunday,993004492,20,31,18682.0,6.0,1,0.0,0.3,0.0,,,,,,,,,28.0,6.0,1.0
202410320.0,2024-09-22T13:00:00,1.0,2024,3,MIN,HOU,HOME,34.0,7.0,41.0,U.S. Bank Stadium,14.0,0.0,7.0,13.0,0.0,25.0,12.0,29:18,17.0,8.0,9.0,0.0,54.0,403.0,7.5,2.0,24.0,146.0,6.1,0.0,26.0,17.0,257.0,2.0,1.0,9.9,15.1,65.4,107.37,12.0,7.0,58.3,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,53.0,3.0,1.0,4.0,11.0,7.0,8.0,3.0,151.0,50.3,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,34.0,48.0,30:42,24.0,5.0,17.0,2.0,67.0,396.0,5.9,2.0,25.0,102.0,4.1,1.0,36.0,28.0,294.0,1.0,1.0,8.2,10.5,77.8,98.38,10.0,2.0,20.0,3.0,1.0,33.3,4.0,2.0,0.0,0.0,4.0,30.0,3.0,1.0,6.0,25.0,6.0,5.0,2.0,99.0,49.5,2.0,2.0,0.0,33.3,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,33.0,6.0,25.0,6.0,1.0,1.0,36.0,19.0,4.0,11.0,5.0,2.0,1.0,Sunday,993004524,20,13,18696.0,27.0,1,0.0,0.583,0.0,,,,,,,,,51.0,23.0,2.0
202410412.0,2024-09-29T13:00:00,1.0,2024,4,MIN,GB,AWAY,31.0,29.0,60.0,Lambeau Field,14.0,14.0,0.0,3.0,0.0,29.0,18.0,32:15,19.0,5.0,12.0,2.0,60.0,274.0,4.6,4.0,28.0,118.0,4.2,0.0,28.0,17.0,156.0,4.0,0.0,5.6,9.2,60.7,115.48,13.0,6.0,46.2,1.0,1.0,100.0,5.0,4.0,0.0,0.0,5.0,30.0,1.0,0.0,4.0,25.0,8.0,9.0,4.0,193.0,48.2,0.0,2.0,2.0,0.0,7.0,0.0,22.0,0.0,30.0,42.0,27:45,17.0,0.0,16.0,1.0,63.0,296.0,4.7,1.0,14.0,38.0,2.7,0.0,44.0,28.0,258.0,1.0,2.0,5.9,9.2,63.6,68.18,14.0,4.0,28.6,4.0,2.0,50.0,2.0,1.0,0.0,0.0,11.0,88.0,0.0,0.0,5.0,49.0,6.0,6.0,4.0,177.0,44.2,2.0,0.0,-2.0,80.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,20.0,5.0,49.0,8.0,0.0,0.0,37.0,19.0,4.0,25.0,3.0,1.0,0.0,Sunday,993004555,20,12,18711.0,2.0,1,2.0,0.462,0.0,28.3,10.0,18.3,329.6666666666667,310.6666666666667,0.667,0.448,,85.0,30.0,3.0
202410520.0,2024-10-06T09:30:00,1.0,2024,5,MIN,NYJ,HOME,23.0,17.0,40.0,Tottenham Hotspur Stadium,10.0,7.0,0.0,6.0,0.0,32.0,15.0,30:37,22.0,8.0,11.0,3.0,64.0,374.0,5.8,4.0,34.0,120.0,3.5,1.0,28.0,20.0,254.0,3.0,1.0,9.1,12.7,71.4,120.24,11.0,4.0,36.4,1.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,55.0,2.0,2.0,2.0,21.0,10.0,3.0,5.0,225.0,45.0,3.0,4.0,1.0,0.0,7.0,3.0,7.0,0.0,27.0,45.0,29:23,24.0,3.0,19.0,2.0,74.0,465.0,6.3,4.0,19.0,86.0,4.5,0.0,54.0,32.0,379.0,4.0,3.0,7.0,11.8,59.3,82.25,12.0,4.0,33.3,2.0,0.0,0.0,5.0,4.0,0.0,0.0,8.0,68.0,1.0,1.0,1.0,10.0,3.0,5.0,3.0,180.0,60.0,4.0,3.0,-1.0,60.0,0.0,80.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,41.0,23.0,1.0,10.0,12.0,1.0,1.0,45.0,23.0,2.0,21.0,2.0,1.0,2.0,Sunday,993004578,20,24,18727.0,6.0,1,1.0,0.364,0.0,29.3,17.7,11.7,350.3333333333333,385.6666666666667,1.0,0.47,,116.0,59.0,4.0
202410720.0,2024-10-20T13:00:00,1.0,2024,7,MIN,DET,HOME,29.0,31.0,60.0,U.S. Bank Stadium,10.0,0.0,7.0,12.0,0.0,30.0,37.0,30:57,17.0,4.0,8.0,5.0,66.0,253.0,3.8,2.0,30.0,82.0,2.7,1.0,32.0,15.0,171.0,0.0,1.0,5.3,11.4,46.9,50.39,13.0,4.0,30.8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,80.0,2.0,1.0,4.0,32.0,11.0,4.0,4.0,185.0,46.2,2.0,3.0,1.0,0.0,21.0,7.0,3.0,0.0,29.0,23.0,29:03,17.0,2.0,13.0,2.0,71.0,254.0,3.6,2.0,14.0,36.0,2.6,0.0,54.0,29.0,218.0,2.0,3.0,4.0,7.5,53.7,52.85,17.0,5.0,29.4,1.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,76.0,1.0,0.0,3.0,26.0,7.0,6.0,6.0,295.0,49.2,3.0,2.0,-1.0,100.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,15.0,3.0,26.0,9.0,1.0,0.0,41.0,16.0,4.0,32.0,6.0,0.0,1.0,Sunday,993004636,20,11,18745.0,-2.0,0,1.0,0.308,0.0,29.3,17.7,11.7,300.3333333333333,338.3333333333333,1.333,0.378,1.0,139.0,76.0,5.0
202410832.0,2024-10-24T20:15:00,1.0,2024,8,MIN,LAR,AWAY,20.0,30.0,50.0,SoFi Stadium,14.0,0.0,3.0,3.0,0.0,30.0,57.0,26:23,16.0,4.0,10.0,2.0,52.0,383.0,7.4,3.0,21.0,139.0,6.6,1.0,27.0,22.0,244.0,1.0,1.0,9.0,11.1,81.5,101.23,10.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,59.0,0.0,0.0,4.0,15.0,7.0,5.0,3.0,145.0,48.3,1.0,1.0,0.0,7.0,7.0,7.0,9.0,0.0,29.0,3.0,33:37,19.0,3.0,15.0,1.0,56.0,391.0,7.0,4.0,27.0,144.0,5.3,2.0,25.0,22.0,247.0,2.0,0.0,9.9,11.2,88.0,134.5,10.0,4.0,40.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,49.0,3.0,1.0,4.0,33.0,5.0,4.0,4.0,219.0,54.8,1.0,1.0,0.0,0.0,0.0,100.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,33.0,4.0,33.0,2.0,3.0,1.0,43.0,11.0,4.0,15.0,2.0,0.0,0.0,Thursday,993004661,20,32,18772.0,-10.0,0,0.0,0.4,0.0,27.7,25.7,2.0,336.6666666666667,370.0,0.667,0.357,0.8,168.0,107.0,5.0
202410920.0,2024-11-03T20:20:00,1.0,2024,9,MIN,IND,HOME,21.0,13.0,34.0,U.S. Bank Stadium,0.0,0.0,14.0,7.0,0.0,26.0,23.0,36:54,17.0,3.0,14.0,0.0,50.0,276.0,5.5,2.0,22.0,64.0,2.9,0.0,25.0,18.0,212.0,2.0,0.0,8.5,11.8,72.0,124.08,7.0,2.0,28.6,0.0,0.0,0.0,4.0,2.0,0.0,0.0,9.0,50.0,0.0,0.0,3.0,28.0,2.0,6.0,3.0,151.0,50.3,0.0,1.0,1.0,0.0,7.0,0.0,6.0,0.0,33.0,37.0,23:06,26.0,5.0,16.0,5.0,66.0,386.0,5.8,4.0,32.0,107.0,3.3,0.0,34.0,25.0,279.0,4.0,1.0,8.2,11.2,73.5,124.51,10.0,4.0,40.0,1.0,1.0,100.0,3.0,3.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,128.0,42.7,1.0,0.0,-1.0,50.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,31.0,0.0,0.0,5.0,0.0,0.0,33.0,21.0,3.0,28.0,0.0,0.0,0.0,Sunday,993004720,20,14,18791.0,8.0,1,1.0,0.286,0.0,24.0,26.0,-2.0,304.0,343.6666666666667,0.667,0.331,0.6,188.0,137.0,5.0
202411015.0,2024-11-10T13:00:00,1.0,2024,10,MIN,JAX,AWAY,12.0,7.0,19.0,EverBank Stadium,3.0,0.0,3.0,6.0,0.0,36.0,54.0,42:19,29.0,10.0,17.0,2.0,71.0,415.0,5.8,3.0,32.0,133.0,4.2,0.0,35.0,29.0,282.0,3.0,2.0,8.1,9.7,82.9,105.0,12.0,6.0,50.0,1.0,1.0,100.0,5.0,3.0,0.0,0.0,3.0,41.0,1.0,1.0,4.0,30.0,7.0,4.0,2.0,83.0,41.5,3.0,2.0,-1.0,7.0,0.0,0.0,0.0,0.0,23.0,6.0,17:41,13.0,3.0,9.0,1.0,49.0,227.0,4.6,1.0,19.0,68.0,3.6,0.0,27.0,16.0,159.0,0.0,1.0,5.9,9.9,59.3,60.57,11.0,3.0,27.3,2.0,1.0,50.0,0.0,0.0,0.0,0.0,7.0,50.0,1.0,1.0,3.0,20.0,7.0,8.0,3.0,148.0,49.3,2.0,3.0,1.0,60.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,28.0,20.0,3.0,20.0,5.0,0.0,1.0,56.0,22.0,4.0,30.0,2.0,1.0,1.0,Sunday,993004731,20,15,18803.0,5.0,1,-1.0,0.5,0.0,23.3,24.7,-1.3,358.0,334.6666666666667,0.0,0.395,0.6,209.0,150.0,6.0
202411134.0,2024-11-17T13:00:00,1.0,2024,11,MIN,TEN,AWAY,23.0,13.0,36.0,Nissan Stadium,7.0,9.0,7.0,0.0,0.0,42.0,19.0,32:31,28.0,10.0,15.0,3.0,82.0,402.0,4.9,0.0,43.0,169.0,3.9,0.0,38.0,24.0,233.0,0.0,3.0,6.1,9.7,63.2,47.37,14.0,5.0,35.7,1.0,1.0,100.0,5.0,0.0,0.0,0.0,6.0,40.0,0.0,0.0,1.0,8.0,4.0,8.0,2.0,72.0,36.0,3.0,3.0,0.0,3.0,0.0,7.0,3.0,0.0,17.0,41.0,27:29,10.0,4.0,5.0,1.0,43.0,143.0,3.3,1.0,18.0,56.0,3.1,1.0,22.0,14.0,87.0,0.0,2.0,4.0,6.2,63.6,33.71,11.0,5.0,45.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,25.0,1.0,1.0,3.0,24.0,3.0,4.0,5.0,274.0,54.8,3.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17.0,3.0,24.0,2.0,0.0,1.0,53.0,33.0,1.0,8.0,6.0,0.0,0.0,Sunday,993004765,20,34,18814.0,10.0,1,0.0,0.357,0.0,17.7,16.7,1.0,364.3333333333333,252.0,0.0,0.381,0.6,221.0,157.0,7.0
