gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410122.0,2024-09-08T13:00:00,,2024,1,NO,CAR,HOME,47.0,10.0,57.0,Caesars Superdome,17.0,13.0,7.0,10.0,0.0,,,36:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,7.0,0.0,0.0,,,23:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004460,22,5,,37.0,1,,,,,,,,,,,,,,
202410209.0,2024-09-15T13:00:00,1.0,2024,2,NO,DAL,AWAY,44.0,19.0,63.0,AT&T Stadium,14.0,21.0,6.0,3.0,0.0,36.0,39.0,30:31,22.0,13.0,7.0,2.0,62.0,379.0,6.1,5.0,37.0,180.0,4.9,2.0,24.0,19.0,199.0,3.0,0.0,8.3,10.5,79.2,140.8,13.0,7.0,53.8,0.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,95.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,73.0,36.5,1.0,3.0,2.0,3.0,13.0,3.0,0.0,0.0,23.0,21.0,29:29,11.0,2.0,7.0,2.0,55.0,193.0,3.5,1.0,20.0,58.0,2.9,1.0,31.0,13.0,135.0,0.0,2.0,4.4,10.4,41.9,28.29,10.0,1.0,10.0,3.0,1.0,33.3,2.0,1.0,0.0,0.0,6.0,80.0,1.0,1.0,4.0,26.0,1.0,6.0,5.0,191.0,38.2,3.0,1.0,-2.0,100.0,0.0,50.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,16.0,4.0,26.0,6.0,1.0,1.0,43.0,29.0,1.0,1.0,3.0,0.0,1.0,Sunday,993004481,22,9,18681.0,25.0,1,2.0,0.538,0.0,,,,,,,,,47.0,10.0,1.0
202410322.0,2024-09-22T13:00:00,1.0,2024,3,NO,PHI,HOME,12.0,15.0,27.0,Caesars Superdome,3.0,0.0,0.0,9.0,0.0,30.0,31.0,27:45,24.0,15.0,8.0,1.0,56.0,432.0,7.7,6.0,39.0,190.0,4.9,4.0,16.0,11.0,242.0,2.0,1.0,15.1,22.0,68.8,125.0,8.0,5.0,62.5,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,40.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,49.0,49.0,1.0,2.0,1.0,0.0,0.0,0.0,15.0,0.0,29.0,29.0,32:15,20.0,5.0,13.0,2.0,66.0,353.0,5.3,1.0,21.0,68.0,3.2,0.0,42.0,28.0,285.0,1.0,2.0,6.8,10.2,66.7,74.01,13.0,6.0,46.2,3.0,1.0,33.3,3.0,0.0,0.0,0.0,4.0,26.0,1.0,0.0,3.0,14.0,1.0,2.0,1.0,53.0,53.0,2.0,1.0,-1.0,80.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,42.0,23.0,3.0,14.0,9.0,1.0,0.0,35.0,24.0,1.0,1.0,3.0,0.0,0.0,Sunday,993004520,22,26,18692.0,-3.0,0,1.0,0.625,0.0,,,,,,,,,91.0,29.0,2.0
202410402.0,2024-09-29T13:00:00,1.0,2024,4,NO,ATL,AWAY,24.0,26.0,50.0,Mercedes-Benz Stadium,7.0,7.0,3.0,7.0,0.0,27.0,45.0,35:42,12.0,5.0,7.0,0.0,55.0,219.0,4.0,1.0,29.0,89.0,3.1,0.0,25.0,14.0,130.0,1.0,1.0,5.2,9.3,56.0,67.08,13.0,6.0,46.2,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,25.0,0.0,0.0,1.0,12.0,8.0,7.0,4.0,162.0,40.5,1.0,2.0,1.0,7.0,10.0,3.0,6.0,0.0,32.0,15.0,24:18,20.0,8.0,11.0,1.0,67.0,460.0,6.9,2.0,25.0,172.0,6.9,2.0,38.0,29.0,288.0,0.0,1.0,7.6,9.9,76.3,86.29,14.0,6.0,42.9,3.0,1.0,33.3,3.0,1.0,0.0,0.0,7.0,45.0,2.0,1.0,4.0,23.0,4.0,6.0,1.0,43.0,43.0,2.0,1.0,-1.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,47.0,15.0,4.0,23.0,3.0,2.0,1.0,38.0,20.0,1.0,12.0,8.0,0.0,0.0,Sunday,993004557,22,2,18712.0,-2.0,0,1.0,0.462,0.0,34.3,14.7,19.7,343.3333333333333,335.3333333333333,1.333,0.542,,103.0,44.0,2.0
202410516.0,2024-10-07T20:15:00,1.0,2024,5,NO,KC,AWAY,13.0,26.0,39.0,Arrowhead Stadium,0.0,7.0,0.0,6.0,0.0,35.0,42.0,20:04,25.0,12.0,11.0,2.0,70.0,366.0,5.2,3.0,33.0,131.0,4.0,3.0,36.0,28.0,235.0,0.0,1.0,6.5,8.4,77.8,82.29,13.0,7.0,53.8,2.0,1.0,50.0,4.0,3.0,0.0,0.0,6.0,60.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,120.0,40.0,2.0,1.0,-1.0,7.0,9.0,0.0,10.0,0.0,24.0,18.0,39:56,14.0,4.0,9.0,1.0,51.0,315.0,6.2,2.0,15.0,88.0,5.9,0.0,35.0,21.0,227.0,0.0,1.0,6.5,10.8,60.0,67.2,11.0,4.0,36.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,76.0,1.0,0.0,1.0,11.0,3.0,4.0,3.0,132.0,44.0,1.0,2.0,1.0,75.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,33.0,16.0,1.0,11.0,7.0,1.0,0.0,50.0,27.0,1.0,4.0,3.0,0.0,1.0,Monday,993004601,22,16,18724.0,-13.0,0,-1.0,0.538,0.0,26.7,20.0,6.7,339.0,376.0,0.333,0.542,,127.0,70.0,2.0
202410622.0,2024-10-13T13:00:00,1.0,2024,6,NO,TB,HOME,27.0,51.0,78.0,Caesars Superdome,0.0,27.0,0.0,0.0,0.0,20.0,4.0,25:58,14.0,1.0,11.0,2.0,51.0,220.0,4.3,2.0,15.0,46.0,3.1,0.0,35.0,20.0,174.0,2.0,1.0,5.0,8.7,57.1,77.56,10.0,4.0,40.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,70.0,0.0,0.0,1.0,8.0,6.0,4.0,4.0,199.0,49.8,1.0,1.0,0.0,17.0,7.0,7.0,20.0,0.0,39.0,56.0,34:02,28.0,11.0,15.0,2.0,80.0,460.0,5.8,2.0,39.0,139.0,3.6,2.0,39.0,28.0,321.0,0.0,1.0,8.2,11.5,71.8,85.52,14.0,6.0,42.9,1.0,1.0,100.0,7.0,2.0,0.0,0.0,6.0,55.0,1.0,0.0,2.0,10.0,9.0,3.0,1.0,56.0,56.0,1.0,1.0,0.0,100.0,0.0,28.6,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,50.0,37.0,2.0,10.0,2.0,1.0,0.0,27.0,20.0,1.0,8.0,4.0,0.0,0.0,Sunday,993004614,22,33,18733.0,-24.0,0,0.0,0.4,0.0,16.3,22.3,-6.0,268.3333333333333,411.6666666666667,0.0,0.467,0.4,140.0,96.0,2.0
202410722.0,2024-10-17T20:15:00,1.0,2024,7,NO,DEN,HOME,10.0,33.0,43.0,Caesars Superdome,0.0,3.0,0.0,7.0,0.0,25.0,58.0,26:44,19.0,3.0,13.0,3.0,66.0,303.0,4.6,3.0,21.0,81.0,3.9,1.0,40.0,22.0,222.0,1.0,2.0,5.6,10.1,55.0,58.54,13.0,4.0,30.8,1.0,1.0,100.0,4.0,2.0,0.0,0.0,7.0,70.0,3.0,1.0,5.0,21.0,2.0,4.0,6.0,266.0,44.3,3.0,3.0,0.0,3.0,13.0,10.0,7.0,0.0,34.0,2.0,33:16,31.0,13.0,15.0,3.0,72.0,594.0,8.2,7.0,35.0,277.0,7.9,2.0,36.0,24.0,317.0,4.0,3.0,8.8,13.2,66.7,96.64,10.0,6.0,60.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,12.0,86.0,1.0,0.0,1.0,8.0,10.0,5.0,3.0,132.0,44.0,3.0,3.0,0.0,50.0,0.0,80.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,47.0,30.0,1.0,8.0,11.0,1.0,0.0,37.0,24.0,5.0,21.0,6.0,2.0,1.0,Thursday,993004632,22,10,18756.0,-23.0,0,0.0,0.308,0.0,21.3,34.3,-13.0,296.3333333333333,456.3333333333333,-0.333,0.415,0.2,167.0,147.0,2.0
202410829.0,2024-10-27T16:05:00,1.0,2024,8,NO,LAC,AWAY,8.0,26.0,34.0,SoFi Stadium,2.0,3.0,3.0,0.0,0.0,26.0,44.0,28:52,15.0,6.0,7.0,2.0,66.0,271.0,4.1,1.0,21.0,97.0,4.6,0.0,39.0,28.0,174.0,1.0,0.0,4.5,6.2,71.8,89.05,17.0,5.0,29.4,4.0,3.0,75.0,2.0,1.0,0.0,0.0,5.0,35.0,2.0,2.0,6.0,36.0,0.0,3.0,6.0,267.0,44.5,2.0,1.0,-1.0,0.0,9.0,7.0,10.0,0.0,33.0,16.0,31:08,22.0,13.0,8.0,1.0,61.0,389.0,6.4,3.0,35.0,225.0,6.4,2.0,26.0,16.0,164.0,0.0,0.0,6.3,10.2,61.5,79.65,11.0,4.0,36.4,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,47.0,1.0,1.0,0.0,0.0,11.0,6.0,3.0,129.0,43.0,1.0,2.0,1.0,50.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,39.0,23.0,0.0,0.0,2.0,1.0,1.0,40.0,26.0,6.0,36.0,3.0,2.0,2.0,Sunday,993004679,22,29,18775.0,-18.0,0,-1.0,0.294,0.0,16.7,36.7,-20.0,264.6666666666667,481.0,-0.333,0.334,0.0,177.0,180.0,2.0
202410905.0,2024-11-03T13:00:00,1.0,2024,9,NO,CAR,AWAY,22.0,23.0,45.0,Bank of America Stadium,6.0,7.0,3.0,6.0,0.0,28.0,52.0,34:19,15.0,4.0,9.0,2.0,68.0,366.0,5.4,0.0,21.0,117.0,5.6,0.0,42.0,22.0,249.0,0.0,0.0,5.9,11.3,52.4,70.44,16.0,2.0,12.5,1.0,1.0,100.0,1.0,0.0,0.0,0.0,7.0,66.0,0.0,0.0,5.0,32.0,7.0,6.0,9.0,437.0,48.6,0.0,0.0,0.0,0.0,10.0,7.0,6.0,0.0,31.0,8.0,25:41,19.0,6.0,12.0,1.0,64.0,378.0,5.9,3.0,29.0,122.0,4.2,1.0,32.0,20.0,256.0,2.0,0.0,8.0,12.8,62.5,108.33,12.0,3.0,25.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,34.0,2.0,0.0,3.0,23.0,7.0,6.0,6.0,344.0,57.3,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,15.0,3.0,23.0,4.0,1.0,0.0,40.0,18.0,5.0,32.0,5.0,0.0,0.0,Sunday,993004701,22,5,18781.0,-1.0,0,0.0,0.125,0.0,15.0,36.7,-21.7,313.3333333333333,453.6666666666667,-0.333,0.242,0.0,185.0,206.0,2.0
202411022.0,2024-11-10T13:00:00,1.0,2024,10,NO,ATL,HOME,20.0,17.0,37.0,Caesars Superdome,0.0,17.0,3.0,0.0,0.0,34.0,19.0,24:53,25.0,11.0,12.0,2.0,74.0,427.0,5.8,2.0,41.0,197.0,4.8,1.0,32.0,18.0,230.0,1.0,0.0,7.2,12.8,56.2,89.32,15.0,5.0,33.3,3.0,2.0,66.7,4.0,2.0,0.0,0.0,10.0,109.0,0.0,0.0,1.0,6.0,4.0,5.0,4.0,169.0,42.2,0.0,1.0,1.0,0.0,7.0,10.0,0.0,0.0,25.0,41.0,35:07,15.0,5.0,8.0,2.0,50.0,246.0,4.9,3.0,23.0,80.0,3.5,2.0,26.0,16.0,166.0,1.0,1.0,6.4,10.4,61.5,76.76,10.0,4.0,40.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,55.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,216.0,43.2,1.0,0.0,-1.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,26.0,22.0,1.0,5.0,4.0,0.0,0.0,41.0,42.0,1.0,6.0,2.0,0.0,0.0,Sunday,993004740,22,2,18800.0,3.0,1,1.0,0.333,0.0,13.3,27.3,-14.0,354.6666666666667,337.6666666666667,0.0,0.251,0.0,207.0,229.0,2.0
