gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410123,2024-09-08T13:00:00,1,2024,1,NYG,MIN,HOME,6,28,34,MetLife Stadium,3,0,3,0,0,32,26,32:26,14,5,8,1,68,240,3.5,0,21,74,3.5,0,42,22,166,0,2,4.0,7.5,52.4,42.36,18,7,38.9,3,1,33.3,3,0,0,0,9,95,1,0,5,20,2,4,6,277,46.2,2,2,0,7,7,14,0,0,27,34,27:34,17,7,8,2,51,312,6.1,4,26,111,4.3,1,24,19,201,2,1,8.4,10.6,79.2,111.98,10,3,30.0,1,1,100.0,2,2,0,0,7,63,1,1,1,7,12,6,4,168,42.0,2,2,0,0.0,0,100.0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,0,0,39,9,1,7,4,1,1,41,24,5,20,6,0,0,Sunday,993004452,23,20,18682,-22,0,0,0.389,0,,,,,,,,,,,,-3.0
202410235,2024-09-15T13:00:00,1,2024,2,NYG,WAS,AWAY,18,21,39,Northwest Stadium,6,6,0,6,0,22,28,22:28,18,5,11,2,51,304,6.0,3,22,129,5.9,1,28,16,175,2,0,6.2,10.9,57.1,99.55,8,4,50.0,2,1,50.0,3,3,0,0,5,20,1,1,1,3,7,10,2,87,43.5,1,0,-1,3,6,6,6,0,37,32,37:32,22,9,11,2,69,425,6.2,0,35,215,6.1,0,29,23,210,0,0,7.2,9.1,79.3,96.84,14,7,50.0,1,1,100.0,6,0,0,0,10,69,0,0,5,16,4,2,0,0,0.0,0,1,1,100.0,0,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,7,53,27,5,16,3,0,0,29,21,1,3,4,1,1,Sunday,993004493,23,35,18699,-3,0,-1,0.5,0,,,,,,,,,6.0,28.0,0.0,6.0
202410308,2024-09-22T13:00:00,1,2024,3,NYG,CLE,AWAY,21,15,36,Huntington Bank Field,7,14,0,0,0,33,56,33:56,21,7,13,1,69,340,4.9,3,32,112,3.5,1,35,24,228,2,0,6.5,9.5,68.6,105.42,14,4,28.6,1,1,100.0,4,3,0,0,9,68,3,2,2,8,17,5,7,361,51.6,2,2,0,7,0,0,8,0,26,4,26:04,16,7,7,2,63,217,3.4,2,18,69,3.8,0,37,21,148,2,0,4.0,7.0,56.8,84.07,14,4,28.6,3,1,33.3,1,1,0,0,5,48,2,2,8,48,9,4,6,306,51.0,2,2,0,75.0,0,100.0,0,3,3,0,0,0,0,0,1,0,1,1,0,2,1,0,0,1,0,36,31,8,48,3,1,2,42,27,2,8,4,2,2,Sunday,993004525,23,8,18709,6,1,0,0.286,0,,,,,,,,,24.0,49.0,0.0,-5.0
202410423,2024-09-26T20:15:00,1,2024,4,NYG,DAL,HOME,15,20,35,MetLife Stadium,3,6,3,3,0,35,37,35:37,16,4,12,0,65,303,4.7,0,24,26,1.1,0,40,29,277,0,1,6.9,9.6,72.5,80.94,16,5,31.2,4,3,75.0,2,0,0,0,4,35,1,0,1,4,3,5,1,44,44.0,1,0,-1,7,7,3,3,0,24,23,24:23,14,5,9,0,51,293,5.7,2,23,80,3.5,0,27,22,213,2,0,7.9,9.7,81.5,124.23,10,3,30.0,1,1,100.0,1,1,0,0,11,89,1,0,1,8,3,6,3,165,55.0,0,1,1,0.0,0,100.0,0,0,0,0,0,0,0,0,5,5,2,2,0,0,0,0,0,3,2,37,16,1,8,3,1,0,48,18,1,4,6,0,0,Thursday,993004544,23,9,18732,-5,0,-1,0.312,0,15.0,21.3,-6.3,294.6666666666667,318.0,-0.333,0.392,,45.0,64.0,1.0,9.0
202410530,2024-10-06T16:25:00,1,2024,5,NYG,SEA,AWAY,29,20,49,Lumen Field,0,10,10,9,0,37,22,37:22,24,8,14,2,71,420,5.9,3,34,175,5.1,0,34,23,245,2,0,7.2,10.7,67.6,108.09,16,7,43.8,1,0,0.0,4,1,0,0,2,20,2,1,3,12,10,6,4,186,46.5,1,1,0,7,3,3,7,0,22,38,22:38,17,3,14,0,58,333,5.7,2,11,102,9.3,0,40,28,231,1,0,5.8,8.2,70.0,92.81,11,3,27.3,2,0,0.0,1,1,0,0,6,30,1,1,7,53,5,2,4,193,48.2,1,1,0,25.0,0,100.0,0,2,2,0,1,0,0,0,3,3,2,2,0,0,0,0,0,3,2,37,23,7,53,7,1,1,48,32,3,12,1,2,1,Sunday,993004597,23,30,18736,9,1,0,0.438,0,18.0,18.7,-0.7,315.6666666666667,311.6666666666667,-0.667,0.366,,60.0,84.0,1.0,-10.0
202410623,2024-10-13T20:20:00,1,2024,6,NYG,CIN,HOME,7,17,24,MetLife Stadium,0,0,7,0,0,34,7,34:07,24,11,10,3,74,309,4.2,1,31,119,3.8,1,41,22,190,0,1,4.6,8.6,53.7,55.95,15,5,33.3,5,3,60.0,2,1,0,0,2,9,0,0,2,15,7,7,4,187,46.8,1,1,0,7,0,3,7,0,25,53,25:53,13,3,10,0,52,304,5.8,2,20,121,6.0,2,28,19,183,0,0,6.5,9.6,67.9,85.86,11,4,36.4,0,0,0.0,1,0,0,0,6,67,2,1,4,25,6,3,6,278,46.3,1,1,0,50.0,0,0.0,0,1,1,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,1,25,32,4,25,2,2,1,40,27,2,15,8,0,0,Sunday,993004628,23,7,18748,-10,0,0,0.333,0,21.7,18.3,3.3,354.3333333333333,281.0,-0.333,0.345,0.4,89.0,104.0,2.0,-25.0
202410723,2024-10-20T13:00:00,1,2024,7,NYG,PHI,HOME,3,28,31,MetLife Stadium,0,3,0,0,0,24,40,24:40,10,4,6,0,55,119,2.2,0,18,76,4.2,0,29,17,43,0,0,1.5,2.5,58.6,63.43,14,3,21.4,0,0,0.0,1,0,0,0,5,35,3,0,8,62,7,8,11,517,47.0,0,0,0,0,14,7,7,0,35,20,35:20,20,13,6,1,65,339,5.2,4,45,269,6.0,3,15,10,70,1,0,4.7,7.0,66.7,99.31,13,1,7.7,3,3,100.0,3,3,0,0,6,35,0,0,5,44,11,10,8,419,52.4,0,0,0,0.0,0,100.0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,45,30,5,44,2,0,0,37,17,8,62,4,1,0,Sunday,993004645,23,26,18773,-25,0,0,0.214,0,17.0,19.0,-2.0,344.0,310.0,-0.333,0.361,0.4,96.0,121.0,2.0,-8.0
202410828,2024-10-28T20:15:00,1,2024,8,NYG,PIT,AWAY,18,26,44,Acrisure Stadium,3,6,0,9,0,30,42,30:42,17,6,10,1,67,394,5.9,1,25,157,6.3,1,38,24,237,0,1,6.2,9.9,63.2,69.74,15,5,33.3,1,1,100.0,3,0,0,0,11,65,1,1,4,27,8,5,4,192,48.0,2,1,-1,6,3,7,10,0,29,18,29:18,20,6,12,2,63,426,6.8,2,31,167,5.4,0,28,20,259,1,0,9.2,13.0,71.4,112.05,13,6,46.2,0,0,0.0,4,0,0,0,5,50,1,1,4,19,12,6,3,131,43.7,1,2,1,0.0,0,0.0,0,0,0,0,2,0,0,0,4,4,2,2,0,0,0,0,0,4,4,40,33,4,19,2,1,1,40,30,4,27,4,1,1,Monday,993004691,23,28,18776,-8,0,-1,0.333,0,13.0,21.7,-8.7,282.6666666666667,325.3333333333333,0.0,0.328,0.4,99.0,149.0,2.0,-5.0
202410923,2024-11-03T13:00:00,1,2024,9,NYG,WAS,HOME,22,27,49,MetLife Stadium,0,7,3,12,0,32,0,32:00,25,12,10,3,59,326,5.5,3,31,164,5.3,1,26,20,162,2,0,6.2,8.1,76.9,117.79,11,6,54.5,2,2,100.0,3,2,0,0,4,51,1,1,2,12,2,3,2,92,46.0,1,0,-1,7,14,3,3,0,28,0,28:00,21,11,8,2,60,358,6.0,3,38,149,3.9,1,22,15,209,2,0,9.5,13.9,68.2,128.79,12,5,41.7,2,2,100.0,6,3,0,0,5,52,0,0,0,0,4,4,2,109,54.5,0,1,1,66.7,0,50.0,0,1,1,0,2,0,0,0,1,1,3,3,0,0,0,0,0,2,2,30,37,0,0,2,0,0,34,35,2,12,3,1,1,Sunday,993004696,23,35,18804,-5,0,-1,0.545,0,9.3,23.7,-14.3,274.0,356.3333333333333,-0.333,0.294,0.2,117.0,175.0,2.0,-3.0
202411005,2024-11-10T09:30:00,1,2024,10,NYG,CAR,AWAY,17,20,37,Allianz Arena,0,0,7,10,0,34,29,34:29,24,11,12,1,73,342,4.7,2,34,167,4.9,2,37,22,175,0,2,4.7,8.0,59.5,48.82,15,7,46.7,0,0,0.0,3,1,0,0,3,15,2,1,2,15,4,4,5,204,40.8,3,1,-2,7,3,7,0,3,27,38,27:38,15,8,6,1,58,306,5.3,2,32,188,5.9,1,25,15,118,1,0,4.7,7.9,60.0,85.08,15,6,40.0,0,0,0.0,3,2,0,0,10,87,2,1,1,8,5,6,7,337,48.1,1,3,2,33.3,0,66.7,0,2,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,33,32,1,8,1,1,1,41,37,2,15,6,2,1,Sunday,993004725,23,5,18819,-3,0,-2,0.467,0,14.3,27.0,-12.7,279.6666666666667,374.3333333333333,-0.667,0.364,0.2,139.0,202.0,2.0,-23.0
