gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202510122,2025-09-07T13:00:00,,2025,1,ARI,NO,AWAY,20,13,33,Caesars Superdome,,,,,,,,33:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005125,1,22,,7,1,,,,,,,,,,,,,,
202510201,2025-09-14T16:05:00,1.0,2025,2,ARI,CAR,HOME,27,22,49,State Farm Stadium,3.0,14.0,3.0,0.0,0.0,33.0,46.0,26:45,19.0,5.0,11.0,3.0,61.0,276.0,4.5,2.0,27.0,146.0,5.4,0.0,29.0,21.0,130.0,2.0,0.0,4.5,6.2,72.4,104.09,13.0,6.0,46.2,0.0,0.0,0.0,3.0,2.0,0.0,0.0,9.0,54.0,0.0,0.0,5.0,33.0,2.0,3.0,4.0,188.0,47.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,26.0,14.0,33:15,21.0,5.0,12.0,4.0,69.0,315.0,4.6,1.0,22.0,107.0,4.9,1.0,46.0,27.0,208.0,0.0,0.0,4.5,7.7,58.7,69.84,14.0,5.0,35.7,2.0,1.0,50.0,4.0,1.0,0.0,0.0,13.0,89.0,0.0,0.0,1.0,6.0,5.0,7.0,4.0,202.0,50.5,0.0,0.0,0.0,66.7,0.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,38.0,33.0,1.0,6.0,10.0,0.0,0.0,40.0,26.0,5.0,33.0,5.0,0.0,0.0,Sunday,993005170,1,5,19060.0,5,1,0.0,0.462,0.0,,,,,,,,,20.0,13.0,1.0
202510331,2025-09-21T16:25:00,1.0,2025,3,ARI,SF,AWAY,15,16,31,Levi's Stadium,10.0,10.0,7.0,0.0,0.0,26.0,45.0,34:39,16.0,5.0,10.0,1.0,48.0,293.0,6.1,3.0,22.0,82.0,3.7,1.0,25.0,17.0,211.0,1.0,1.0,8.4,12.4,68.0,90.58,9.0,3.0,33.3,1.0,1.0,100.0,4.0,2.0,0.0,0.0,12.0,96.0,0.0,0.0,1.0,9.0,10.0,6.0,2.0,123.0,61.5,1.0,2.0,1.0,3.0,0.0,6.0,13.0,0.0,33.0,15.0,25:21,26.0,4.0,19.0,3.0,77.0,352.0,4.6,3.0,19.0,49.0,2.6,0.0,55.0,35.0,303.0,3.0,1.0,5.5,8.7,63.6,88.67,15.0,5.0,33.3,4.0,3.0,75.0,4.0,3.0,0.0,0.0,7.0,83.0,1.0,1.0,3.0,25.0,4.0,4.0,2.0,95.0,47.5,2.0,1.0,-1.0,50.0,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,42.0,29.0,3.0,25.0,9.0,1.0,1.0,30.0,22.0,1.0,9.0,5.0,0.0,0.0,Sunday,993005205,1,31,19093.0,-1,0,1.0,0.333,0.0,,,,,,,,,47.0,35.0,2.0
202510401,2025-09-25T20:15:00,1.0,2025,4,ARI,SEA,HOME,20,23,43,State Farm Stadium,0.0,3.0,3.0,9.0,0.0,34.0,39.0,27:36,16.0,7.0,8.0,1.0,64.0,260.0,4.1,1.0,28.0,106.0,3.8,0.0,35.0,22.0,154.0,1.0,0.0,4.4,7.0,62.9,82.32,15.0,5.0,33.3,2.0,2.0,100.0,3.0,1.0,0.0,0.0,5.0,30.0,1.0,0.0,1.0,5.0,8.0,3.0,5.0,258.0,51.6,0.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,25.0,21.0,32:24,19.0,4.0,14.0,1.0,62.0,355.0,5.7,1.0,20.0,73.0,3.6,0.0,41.0,27.0,282.0,1.0,1.0,6.9,10.4,65.9,83.59,10.0,2.0,20.0,2.0,1.0,50.0,4.0,1.0,0.0,0.0,5.0,69.0,0.0,0.0,1.0,2.0,4.0,4.0,3.0,128.0,42.7,1.0,0.0,-1.0,33.3,0.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,39.0,19.0,1.0,2.0,4.0,0.0,0.0,31.0,40.0,1.0,5.0,5.0,1.0,0.0,Thursday,993005214,1,30,19112.0,-3,0,1.0,0.333,0.0,20.7,17.0,3.7,276.3333333333333,340.6666666666667,0.667,0.376,,62.0,51.0,2.0
202510501,2025-10-05T16:05:00,1.0,2025,5,ARI,TEN,HOME,21,22,43,State Farm Stadium,3.0,0.0,3.0,14.0,0.0,27.0,36.0,32:40,18.0,2.0,13.0,3.0,64.0,253.0,4.0,2.0,17.0,89.0,5.2,0.0,41.0,27.0,164.0,2.0,2.0,4.0,6.1,65.9,69.56,15.0,6.0,40.0,1.0,1.0,100.0,3.0,2.0,0.0,0.0,7.0,46.0,0.0,0.0,6.0,36.0,3.0,9.0,4.0,202.0,50.5,2.0,1.0,-1.0,7.0,7.0,3.0,6.0,0.0,32.0,24.0,27:20,20.0,6.0,11.0,3.0,64.0,384.0,6.0,2.0,35.0,155.0,4.4,1.0,26.0,18.0,229.0,1.0,0.0,8.8,12.7,69.2,109.29,13.0,6.0,46.2,1.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,74.0,2.0,1.0,3.0,13.0,7.0,5.0,3.0,147.0,49.0,1.0,2.0,1.0,66.7,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,36.0,41.0,3.0,13.0,2.0,2.0,1.0,40.0,23.0,6.0,36.0,8.0,0.0,0.0,Sunday,993005262,1,34,19115.0,-1,0,-1.0,0.4,0.0,20.7,20.3,0.3,268.6666666666667,363.6666666666667,0.333,0.356,,82.0,74.0,2.0
202510614,2025-10-12T13:00:00,1.0,2025,6,ARI,IND,AWAY,27,31,58,Lucas Oil Stadium,14.0,7.0,0.0,0.0,0.0,32.0,40.0,32:05,16.0,7.0,8.0,1.0,64.0,360.0,5.6,3.0,29.0,168.0,5.8,3.0,32.0,23.0,192.0,0.0,0.0,6.0,8.3,71.9,86.98,16.0,7.0,43.8,0.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,47.0,3.0,3.0,3.0,28.0,4.0,4.0,7.0,367.0,52.4,3.0,2.0,-1.0,3.0,3.0,0.0,16.0,0.0,27.0,20.0,27:55,20.0,6.0,12.0,2.0,65.0,327.0,5.0,2.0,24.0,78.0,3.2,1.0,39.0,21.0,249.0,0.0,1.0,6.4,11.9,53.8,62.87,15.0,5.0,33.3,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,35.0,1.0,1.0,2.0,16.0,6.0,4.0,5.0,271.0,54.2,2.0,3.0,1.0,75.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,30.0,18.0,2.0,16.0,8.0,1.0,1.0,38.0,27.0,3.0,28.0,2.0,0.0,2.0,Sunday,993005283,1,14,19137.0,-4,0,-1.0,0.438,0.0,18.7,20.3,-1.7,291.0,355.3333333333333,-0.333,0.39,0.4,103.0,96.0,2.0
202510701,2025-10-19T16:25:00,1.0,2025,7,ARI,GB,HOME,23,27,50,State Farm Stadium,7.0,3.0,14.0,3.0,0.0,32.0,5.0,34:10,25.0,7.0,17.0,1.0,70.0,400.0,5.7,3.0,24.0,88.0,3.7,1.0,44.0,27.0,312.0,2.0,1.0,7.1,11.6,61.4,88.45,14.0,9.0,64.3,1.0,0.0,0.0,6.0,3.0,0.0,0.0,7.0,65.0,0.0,0.0,2.0,8.0,6.0,3.0,2.0,92.0,46.0,1.0,1.0,0.0,7.0,7.0,3.0,14.0,0.0,27.0,55.0,25:50,25.0,11.0,13.0,1.0,58.0,355.0,6.1,4.0,27.0,150.0,5.6,2.0,30.0,22.0,205.0,2.0,1.0,6.8,9.3,73.3,100.0,8.0,4.0,50.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,40.0,0.0,0.0,1.0,7.0,12.0,6.0,3.0,165.0,55.0,1.0,1.0,0.0,50.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,27.0,1.0,7.0,4.0,0.0,0.0,43.0,16.0,2.0,8.0,3.0,0.0,0.0,Sunday,993005326,1,12,19146.0,-4,0,0.0,0.643,0.0,22.7,25.3,-2.7,337.6666666666667,355.3333333333333,-0.667,0.493,0.2,130.0,127.0,2.0
202510909,2025-11-03T20:15:00,1.0,2025,9,ARI,DAL,AWAY,27,17,44,AT&T Stadium,3.0,10.0,7.0,3.0,0.0,34.0,10.0,33:20,23.0,5.0,13.0,5.0,70.0,330.0,4.7,2.0,28.0,94.0,3.4,0.0,36.0,25.0,236.0,2.0,0.0,6.6,9.4,69.4,105.79,14.0,7.0,50.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,55.0,1.0,1.0,6.0,43.0,2.0,5.0,1.0,42.0,42.0,1.0,0.0,-1.0,0.0,6.0,7.0,14.0,0.0,25.0,50.0,26:40,19.0,5.0,10.0,4.0,53.0,262.0,4.9,3.0,23.0,94.0,4.1,2.0,29.0,19.0,168.0,1.0,0.0,5.8,8.8,65.5,92.31,10.0,3.0,30.0,3.0,2.0,66.7,4.0,3.0,0.0,0.0,10.0,94.0,2.0,0.0,1.0,11.0,12.0,9.0,3.0,174.0,58.0,0.0,1.0,1.0,50.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,22.0,1.0,11.0,3.0,1.0,0.0,37.0,40.0,6.0,43.0,4.0,1.0,1.0,Monday,993005385,1,9,19166.0,10,1,-1.0,0.5,0.0,23.7,26.7,-3.0,363.3333333333333,314.6666666666667,-0.667,0.527,0.0,153.0,154.0,2.0
202511030,2025-11-09T16:05:00,1.0,2025,10,ARI,SEA,AWAY,22,44,66,Lumen Field,3.0,14.0,10.0,0.0,0.0,33.0,20.0,26:20,23.0,8.0,14.0,1.0,65.0,340.0,5.2,3.0,29.0,119.0,4.1,1.0,31.0,21.0,221.0,2.0,0.0,7.1,10.5,67.7,109.74,13.0,7.0,53.8,1.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,10.0,1.0,0.0,5.0,40.0,9.0,6.0,2.0,87.0,43.5,0.0,3.0,3.0,0.0,7.0,3.0,7.0,0.0,26.0,40.0,33:40,22.0,8.0,14.0,0.0,65.0,333.0,5.1,2.0,21.0,123.0,5.9,0.0,39.0,24.0,210.0,1.0,1.0,5.4,8.8,61.5,73.66,12.0,5.0,41.7,3.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,55.0,4.0,2.0,5.0,40.0,11.0,8.0,1.0,41.0,41.0,3.0,0.0,-3.0,75.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,38.0,23.0,5.0,40.0,6.0,4.0,2.0,35.0,29.0,5.0,40.0,2.0,0.0,0.0,Sunday,993005405,1,30,19082.0,-22,0,3.0,0.538,0.0,25.7,25.0,0.7,356.6666666666667,316.6666666666667,0.667,0.56,0.2,180.0,171.0,3.0
202511101,2025-11-16T16:05:00,1.0,2025,11,ARI,SF,HOME,22,41,63,State Farm Stadium,0.0,7.0,8.0,7.0,0.0,26.0,20.0,34:15,21.0,7.0,13.0,1.0,73.0,335.0,4.6,3.0,23.0,129.0,5.6,1.0,45.0,22.0,206.0,2.0,0.0,4.6,9.4,48.9,76.71,16.0,6.0,37.5,5.0,2.0,40.0,6.0,3.0,0.0,0.0,5.0,37.0,2.0,2.0,5.0,52.0,1.0,5.0,4.0,163.0,40.8,2.0,3.0,1.0,21.0,17.0,0.0,6.0,0.0,33.0,40.0,25:45,22.0,14.0,6.0,2.0,59.0,372.0,6.3,5.0,46.0,198.0,4.3,2.0,12.0,10.0,174.0,1.0,1.0,14.5,17.4,83.3,111.81,10.0,6.0,60.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,20.0,4.0,2.0,1.0,4.0,10.0,10.0,0.0,0.0,0.0,3.0,2.0,-1.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,36.0,25.0,1.0,4.0,2.0,2.0,2.0,34.0,28.0,5.0,52.0,10.0,2.0,2.0,Sunday,993005434,1,31,19192.0,-19,0,1.0,0.375,0.0,24.0,29.3,-5.3,335.0,322.3333333333333,1.0,0.471,0.2,202.0,215.0,3.0
