gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510112.0,2025-09-07T16:25:00,1,2025,1,GB,DET,HOME,27.0,13.0,40.0,Lambeau Field,10.0,7.0,0.0,10.0,0.0,,,24:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,3.0,7.0,0.0,,,35:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005144,12,11,,14.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510212.0,2025-09-11T20:15:00,1,2025,2,GB,WAS,HOME,27.0,18.0,45.0,Lambeau Field,7.0,7.0,3.0,10.0,0.0,24.0,35.0,32:26,14.0,4.0,8.0,2.0,47.0,266.0,5.7,3.0,25.0,78.0,3.1,1.0,22.0,16.0,188.0,2.0,0.0,8.5,11.8,72.7,128.6,10.0,4.0,40.0,1.0,1.0,100.0,5.0,3.0,0.0,0.0,4.0,40.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,164.0,54.7,0.0,1.0,1.0,0.0,3.0,0.0,15.0,0.0,35.0,25.0,27:34,16.0,2.0,13.0,1.0,65.0,246.0,3.8,1.0,22.0,46.0,2.1,0.0,39.0,31.0,200.0,1.0,1.0,5.1,6.5,79.5,85.9,15.0,5.0,33.3,4.0,3.0,75.0,4.0,1.0,0.0,0.0,7.0,40.0,0.0,0.0,4.0,25.0,2.0,2.0,3.0,142.0,47.3,1.0,0.0,-1.0,60.0,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,34.0,4.0,25.0,2.0,0.0,0.0,31.0,18.0,0.0,0.0,1.0,0.0,0.0,Thursday,993005150,12,35,19065.0,9.0,1,1.0,0.4,0.0,0.1847870831526016,0.5,0.474493564080704,-0.0321804315111878,-0.0539303504504516,0.4337349397590361,0.0453408871121429,-0.2790762317335148,27.0,13.0,14.0,266.0,246.0,1.0,0.4,1.0,27.0,13.0,1.0,0.1847870831526016,0.5,0.474493564080704,-0.0321804315111878,-0.0539303504504516,0.4337349397590361,0.0453408871121429,-0.2790762317335148,0.1847870831526016,-0.0539303504504516
202510308.0,2025-09-21T13:00:00,1,2025,3,GB,CLE,AWAY,10.0,13.0,23.0,Huntington Bank Field,0.0,3.0,7.0,0.0,0.0,32.0,26.0,34:14,22.0,6.0,14.0,2.0,63.0,404.0,6.4,3.0,30.0,135.0,4.5,1.0,31.0,19.0,269.0,2.0,0.0,8.7,14.2,61.3,110.82,12.0,5.0,41.7,1.0,0.0,0.0,4.0,3.0,0.0,0.0,10.0,77.0,0.0,0.0,2.0,23.0,12.0,3.0,4.0,213.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,27.0,34.0,25:46,15.0,3.0,10.0,2.0,65.0,230.0,3.5,2.0,19.0,51.0,2.7,0.0,42.0,24.0,179.0,2.0,0.0,4.3,7.5,57.1,83.33,16.0,5.0,31.2,3.0,1.0,33.3,1.0,1.0,0.0,0.0,5.0,30.0,0.0,0.0,4.0,21.0,4.0,2.0,4.0,187.0,46.8,0.0,0.0,0.0,75.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,38.0,17.0,4.0,21.0,8.0,0.0,0.0,31.0,28.0,2.0,23.0,3.0,0.0,0.0,Sunday,993005197,12,8,19083.0,-3.0,0,0.0,0.417,0.0,0.0464244795978764,0.4941176470588235,0.2397121934950258,-0.0488383285197509,-0.0695829321051532,0.4418604651162791,-0.1109532562451692,-0.0653063165597044,27.0,15.5,11.5,335.0,238.0,0.5,0.408,1.0,54.0,31.0,2.0,0.115605781375239,0.4970588235294118,0.3571028787878649,-0.04050938001546935,-0.06175664127780241,0.4377977024376576,-0.03280618456651315,-0.17219127414660962,0.115605781375239,-0.06175664127780241
202510409.0,2025-09-28T20:20:00,1,2025,4,GB,DAL,AWAY,40.0,40.0,80.0,AT&T Stadium,7.0,6.0,7.0,17.0,3.0,34.0,14.0,35:33,14.0,4.0,8.0,2.0,61.0,230.0,3.8,1.0,31.0,81.0,2.6,0.0,25.0,18.0,149.0,1.0,1.0,6.0,8.3,72.0,83.58,18.0,10.0,55.6,0.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,75.0,1.0,0.0,5.0,34.0,10.0,5.0,5.0,265.0,53.0,1.0,1.0,0.0,0.0,16.0,7.0,14.0,3.0,25.0,46.0,34:27,15.0,5.0,7.0,3.0,57.0,221.0,3.9,1.0,19.0,96.0,5.1,1.0,36.0,21.0,125.0,0.0,1.0,3.5,6.0,58.3,53.59,13.0,4.0,30.8,2.0,1.0,50.0,2.0,1.0,0.0,0.0,8.0,90.0,0.0,0.0,2.0,17.0,7.0,6.0,6.0,291.0,48.5,1.0,1.0,0.0,50.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,27.0,2.0,17.0,3.0,0.0,0.0,38.0,33.0,5.0,34.0,2.0,1.0,0.0,Sunday,993005239,12,9,19101.0,0.0,0,0.0,0.556,0.0,-0.0944787535526381,0.3975903614457831,0.0379510636022618,-0.1298064580318934,-0.0927710168395504,0.4050632911392405,-0.1731296841248782,-0.0880967770026472,21.3,14.7,6.7,300.0,232.33333333333334,0.333,0.457,0.667,64.0,44.0,2.0,0.04557760306594663,0.4639026695015355,0.25071894039266385,-0.0702750726876107,-0.07209476646505174,0.4268862320048519,-0.0795806844193015,-0.14415977509862213,0.04557760306594663,-0.07209476646505174
202510612.0,2025-10-12T16:25:00,1,2025,6,GB,CIN,HOME,27.0,18.0,45.0,Lambeau Field,0.0,10.0,0.0,17.0,0.0,35.0,33.0,32:44,32.0,11.0,16.0,5.0,79.0,489.0,6.2,5.0,35.0,164.0,4.7,2.0,43.0,31.0,325.0,3.0,0.0,7.6,10.5,72.1,116.91,14.0,10.0,71.4,1.0,1.0,100.0,6.0,5.0,0.0,0.0,7.0,53.0,1.0,1.0,1.0,12.0,4.0,1.0,2.0,83.0,41.5,1.0,0.0,-1.0,0.0,0.0,7.0,11.0,0.0,34.0,27.0,27:16,26.0,8.0,17.0,1.0,67.0,436.0,6.5,5.0,26.0,117.0,4.5,2.0,40.0,31.0,319.0,3.0,0.0,8.0,10.3,77.5,124.9,11.0,4.0,36.4,1.0,1.0,100.0,5.0,4.0,0.0,0.0,11.0,95.0,0.0,0.0,1.0,0.0,4.0,5.0,4.0,190.0,47.5,0.0,1.0,1.0,83.3,0.0,80.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,33.0,1.0,0.0,4.0,0.0,0.0,49.0,29.0,1.0,12.0,1.0,1.0,1.0,Sunday,993005294,12,7,19127.0,9.0,1,-1.0,0.714,0.0,0.2440639852374451,0.5238095238095238,0.5416845955361372,0.0768219894289359,0.2310242143183795,0.5280898876404494,0.514042579289708,0.0579579237124157,25.7,23.7,2.0,374.3333333333333,295.6666666666667,-0.333,0.562,0.5,104.0,84.0,2.0,0.06533657042756114,0.4718391774380435,0.27311595087780827,-0.03394093237423614,0.022890088457891967,0.4583378812986563,0.0766532129732202,-0.0318150566166453,0.09519919860882126,0.003684978730806074
202510701.0,2025-10-19T16:25:00,1,2025,7,GB,ARI,AWAY,27.0,23.0,50.0,State Farm Stadium,0.0,6.0,7.0,14.0,0.0,32.0,44.0,25:50,24.0,12.0,11.0,1.0,60.0,409.0,6.8,3.0,33.0,153.0,4.6,2.0,26.0,19.0,256.0,1.0,1.0,9.8,13.5,73.1,100.8,11.0,5.0,45.5,1.0,1.0,100.0,4.0,3.0,0.0,0.0,5.0,40.0,0.0,0.0,1.0,3.0,5.0,5.0,2.0,91.0,45.5,1.0,0.0,-1.0,3.0,10.0,7.0,3.0,0.0,27.0,16.0,34:10,20.0,5.0,12.0,3.0,62.0,268.0,4.3,2.0,16.0,55.0,3.4,0.0,45.0,29.0,213.0,2.0,0.0,4.7,7.3,64.4,90.32,15.0,6.0,40.0,2.0,2.0,100.0,2.0,2.0,0.0,0.0,3.0,17.0,0.0,0.0,1.0,6.0,4.0,4.0,4.0,211.0,52.8,0.0,1.0,1.0,75.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,27.0,32.0,1.0,6.0,3.0,0.0,0.0,38.0,22.0,1.0,3.0,6.0,0.0,0.0,Sunday,993005325,12,1,19152.0,4.0,1,-1.0,0.455,0.0,0.2191490634705384,0.5945945945945946,0.2994460379021403,0.1082957065362413,0.0964690068572189,0.5308641975308642,0.162677034872671,-0.0524034646696236,25.7,23.7,2.0,376.0,308.3333333333333,-0.667,0.575,0.6,131.0,102.0,3.0,0.12291143171844847,0.5053314932833005,0.2930272323468464,0.0184370793110946,0.07824073477868267,0.48800579210351797,0.1678633100125003,-0.02751410598661837,0.11998917158116469,0.02224178435608864
202510828.0,2025-10-26T20:20:00,1,2025,8,GB,PIT,AWAY,35.0,25.0,60.0,Acrisure Stadium,7.0,0.0,7.0,21.0,0.0,25.0,50.0,31:48,19.0,5.0,10.0,4.0,53.0,262.0,4.9,3.0,23.0,94.0,4.1,2.0,29.0,19.0,168.0,1.0,0.0,5.8,8.8,65.5,92.31,10.0,3.0,30.0,3.0,2.0,66.7,4.0,3.0,0.0,0.0,10.0,94.0,2.0,0.0,1.0,11.0,12.0,9.0,3.0,174.0,58.0,0.0,1.0,1.0,3.0,13.0,3.0,6.0,0.0,34.0,10.0,28:12,23.0,5.0,13.0,5.0,70.0,330.0,4.7,2.0,28.0,94.0,3.4,0.0,36.0,25.0,236.0,2.0,0.0,6.6,9.4,69.4,105.79,14.0,7.0,50.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,55.0,1.0,1.0,6.0,43.0,2.0,5.0,1.0,42.0,42.0,1.0,0.0,-1.0,75.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,40.0,6.0,43.0,4.0,1.0,1.0,28.0,22.0,1.0,11.0,3.0,1.0,0.0,Sunday,993005355,12,28,19166.0,10.0,1,1.0,0.3,0.0,0.1245773609870844,0.5416666666666666,0.2605705381084792,-0.1125796245423293,0.0392488501630052,0.4886363636363636,0.1232142793439953,-0.2592352460790424,31.3,27.0,4.3,386.6666666666667,344.6666666666667,-0.333,0.49,0.6,158.0,125.0,4.0,0.19593013656502264,0.5533569283569284,0.3672337238489189,0.024179357140949296,0.12224735711286788,0.5158634829358925,0.2666446311687914,-0.08456026234541676,0.10794722714806124,0.04087762447878
202510912.0,2025-11-02T13:00:00,1,2025,9,GB,CAR,HOME,13.0,16.0,29.0,Lambeau Field,0.0,6.0,0.0,7.0,0.0,31.0,48.0,30:10,22.0,5.0,16.0,1.0,63.0,454.0,7.2,4.0,26.0,94.0,3.6,1.0,37.0,29.0,360.0,3.0,0.0,9.7,12.4,78.4,134.23,12.0,5.0,41.7,1.0,1.0,100.0,5.0,3.0,0.0,0.0,5.0,47.0,2.0,0.0,0.0,0.0,5.0,5.0,3.0,152.0,50.7,0.0,1.0,1.0,0.0,7.0,6.0,3.0,0.0,28.0,12.0,29:50,16.0,4.0,10.0,2.0,57.0,295.0,5.2,2.0,18.0,93.0,5.2,0.0,36.0,24.0,202.0,2.0,0.0,5.6,8.4,66.7,99.54,10.0,1.0,10.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,6.0,65.0,1.0,1.0,3.0,17.0,5.0,1.0,4.0,194.0,48.5,1.0,0.0,-1.0,60.0,0.0,100.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,35.0,14.0,3.0,17.0,5.0,1.0,1.0,35.0,29.0,0.0,0.0,1.0,1.0,0.0,Sunday,993005368,12,5,19182.0,-3.0,0,1.0,0.417,0.0,0.1712627053928644,0.4939759036144578,0.5882107241384066,-0.06375303639099,0.0168364177425328,0.4375,-0.1326863245363057,-0.069487453646919,29.7,22.0,7.7,375.0,297.6666666666667,0.333,0.39,0.6,193.0,150.0,5.0,0.17166304328349571,0.5434123882919063,0.3827424333830087,-0.022678984799026,0.05085142492091898,0.4856668537224093,0.051068329893453536,-0.12704205479852834,0.13291487230705884,0.05816149444831721
202511012.0,2025-11-10T20:15:00,1,2025,10,GB,PHI,HOME,7.0,10.0,17.0,Lambeau Field,0.0,0.0,0.0,7.0,0.0,30.0,10.0,27:55,20.0,7.0,13.0,0.0,63.0,369.0,5.9,1.0,25.0,104.0,4.2,1.0,37.0,26.0,265.0,0.0,1.0,7.2,10.2,70.3,79.22,13.0,7.0,53.8,3.0,2.0,66.7,5.0,1.0,0.0,0.0,7.0,42.0,1.0,1.0,1.0,8.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,0.0,3.0,7.0,0.0,29.0,50.0,32:05,19.0,11.0,6.0,2.0,54.0,265.0,4.9,2.0,33.0,163.0,4.9,2.0,20.0,11.0,102.0,0.0,1.0,5.1,9.3,55.0,48.33,10.0,4.0,40.0,2.0,2.0,100.0,3.0,2.0,0.0,0.0,5.0,39.0,1.0,0.0,1.0,0.0,6.0,4.0,3.0,134.0,44.7,1.0,2.0,1.0,20.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,45.0,1.0,0.0,1.0,1.0,0.0,34.0,35.0,1.0,8.0,4.0,1.0,1.0,Monday,993005414,12,26,19072.0,-3.0,0,-1.0,0.538,0.0,-0.0004518630217767707,0.5066666666666667,0.1552631176842357,-0.1944976947475138,0.0663770337115715,0.4929577464788732,0.1037787184794433,0.0917594171071731,25.0,21.3,3.7,361.6666666666667,296.6666666666667,0.333,0.418,0.6,206.0,166.0,5.0,0.09846273445272402,0.514103078982597,0.33468145997704046,-0.1236101185602777,0.04082076720570318,0.4730313700384123,0.03143555776237764,-0.07898776087292946,0.15172025041323112,0.08999110455854158
202511123.0,2025-11-16T13:00:00,1,2025,11,GB,NYG,AWAY,27.0,20.0,47.0,MetLife Stadium,0.0,13.0,6.0,8.0,0.0,27.0,55.0,24:04,18.0,7.0,10.0,1.0,66.0,261.0,4.0,1.0,27.0,104.0,3.9,1.0,36.0,20.0,157.0,0.0,0.0,4.4,7.8,55.6,66.55,13.0,5.0,38.5,3.0,1.0,33.3,1.0,1.0,0.0,0.0,4.0,20.0,3.0,2.0,3.0,19.0,0.0,6.0,5.0,239.0,47.8,2.0,1.0,-1.0,7.0,6.0,0.0,7.0,0.0,32.0,5.0,35:56,13.0,4.0,8.0,1.0,60.0,294.0,4.9,1.0,34.0,111.0,3.3,0.0,26.0,15.0,183.0,1.0,0.0,7.0,12.2,57.7,92.31,16.0,7.0,43.8,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,61.0,1.0,1.0,0.0,0.0,8.0,5.0,5.0,238.0,47.6,1.0,2.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,25.0,0.0,0.0,2.0,1.0,1.0,38.0,20.0,3.0,19.0,5.0,2.0,2.0,Sunday,993005425,12,23,19044.0,7.0,1,-1.0,0.385,0.0,-0.1562518792671566,0.3780487804878049,-0.1472750354400633,-0.1627710480606765,-0.0955391924818016,0.3376623376623376,0.2994316614970255,-0.4044941846257842,18.3,17.0,1.3,361.3333333333333,284.6666666666667,-0.333,0.447,0.6,213.0,176.0,5.0,0.004852987701310346,0.4595637835896431,0.19873293546085966,-0.14034059306639343,-0.004108580342565754,0.42270669471373695,0.09017468514672104,-0.1274074070551767,0.07165707751231076,0.024678423198505363
