gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510114.0,2025-09-07T13:00:00,1,2025,1,IND,MIA,HOME,33.0,8.0,41.0,Lucas Oil Stadium,3.0,17.0,3.0,10.0,0.0,,,38:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.0,0.0,,,21:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005124,14,19,,25.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510214.0,2025-09-14T16:05:00,1,2025,2,IND,DEN,HOME,29.0,28.0,57.0,Lucas Oil Stadium,6.0,14.0,3.0,6.0,0.0,38.0,43.0,32:07,27.0,11.0,14.0,2.0,70.0,418.0,6.0,3.0,40.0,156.0,3.9,2.0,29.0,22.0,262.0,1.0,0.0,9.0,11.9,75.9,114.44,15.0,7.0,46.7,3.0,3.0,100.0,6.0,3.0,0.0,0.0,4.0,45.0,0.0,0.0,1.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,14.0,7.0,0.0,0.0,21.0,17.0,27:53,12.0,3.0,9.0,0.0,46.0,211.0,4.6,1.0,12.0,78.0,6.5,0.0,31.0,19.0,133.0,1.0,2.0,4.3,7.0,61.3,54.91,10.0,5.0,50.0,2.0,1.0,50.0,1.0,1.0,0.0,0.0,3.0,15.0,1.0,1.0,3.0,13.0,2.0,4.0,1.0,42.0,42.0,3.0,0.0,-3.0,50.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,25.0,20.0,3.0,13.0,5.0,1.0,1.0,46.0,35.0,1.0,10.0,4.0,0.0,0.0,Sunday,993005172,14,10,19057.0,1.0,1,3.0,0.467,0.0,0.2513866281498552,0.5529411764705883,0.3602587765104818,0.0821269299404575,-0.1589336444857098,0.4821428571428571,-0.4309401173161065,0.3874053147854283,33.0,8.0,25.0,418.0,211.0,3.0,0.467,1.0,33.0,8.0,1.0,0.2513866281498552,0.5529411764705883,0.3602587765104818,0.0821269299404575,-0.1589336444857098,0.4821428571428571,-0.4309401173161065,0.3874053147854283,0.2513866281498552,-0.1589336444857098
202510334.0,2025-09-21T13:00:00,1,2025,3,IND,TEN,AWAY,41.0,20.0,61.0,Nissan Stadium,17.0,3.0,14.0,7.0,0.0,32.0,7.0,28:41,26.0,6.0,16.0,4.0,67.0,473.0,7.1,2.0,32.0,167.0,5.2,1.0,34.0,23.0,306.0,1.0,0.0,9.0,13.3,67.6,105.76,13.0,6.0,46.2,2.0,0.0,0.0,6.0,2.0,0.0,0.0,11.0,68.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,7.0,7.0,0.0,27.0,53.0,31:19,23.0,7.0,11.0,5.0,54.0,324.0,6.0,4.0,24.0,118.0,4.9,1.0,30.0,22.0,206.0,3.0,1.0,6.9,9.4,73.3,111.25,9.0,4.0,44.4,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,83.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,134.0,44.7,1.0,0.0,-1.0,33.3,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,17.0,0.0,0.0,4.0,0.0,0.0,39.0,33.0,1.0,10.0,5.0,0.0,0.0,Sunday,993005189,14,34,19094.0,21.0,1,1.0,0.462,0.0,0.1552927074634176,0.5287356321839081,0.3082920275888707,-0.0949207132498136,0.1661971543631682,0.5466666666666666,0.4146832313843668,-0.0626086537098593,31.0,18.0,13.0,445.5,267.5,2.0,0.464,1.0,62.0,36.0,2.0,0.2033396678066364,0.5408384043272482,0.33427540204967626,-0.00639689165467805,0.0036317549387292064,0.5144047619047618,-0.008128442965869842,0.1623983305377845,0.2033396678066364,0.0036317549387292064
202510432.0,2025-09-28T16:05:00,1,2025,4,IND,LAR,AWAY,20.0,27.0,47.0,SoFi Stadium,3.0,7.0,0.0,10.0,0.0,28.0,41.0,28:16,22.0,9.0,10.0,3.0,53.0,365.0,6.9,5.0,28.0,137.0,4.9,3.0,25.0,18.0,228.0,1.0,0.0,9.1,12.7,72.0,113.42,8.0,2.0,25.0,2.0,2.0,100.0,4.0,2.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,7.0,8.0,1.0,46.0,46.0,0.0,1.0,1.0,3.0,10.0,0.0,14.0,0.0,31.0,19.0,31:44,21.0,8.0,11.0,2.0,65.0,282.0,4.3,2.0,23.0,86.0,3.7,1.0,38.0,23.0,196.0,1.0,1.0,5.2,8.5,60.5,71.82,14.0,5.0,35.7,2.0,1.0,50.0,2.0,2.0,0.0,0.0,8.0,68.0,0.0,0.0,4.0,23.0,2.0,0.0,1.0,52.0,52.0,1.0,0.0,-1.0,50.0,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,41.0,18.0,4.0,23.0,4.0,0.0,0.0,32.0,15.0,0.0,0.0,3.0,0.0,0.0,Sunday,993005233,14,32,19107.0,-7.0,0,1.0,0.25,0.0,0.2662427980970872,0.6056338028169014,0.5692453805266655,0.2565237219471831,-0.0797126753793363,0.4772727272727273,-0.1772071703757123,0.0056364743504673,34.3,18.7,15.7,418.6666666666667,272.3333333333333,1.667,0.393,1.0,103.0,56.0,3.0,0.22430737790345331,0.5624368704904659,0.41259872820867266,0.08124331287927566,-0.024149721833959293,0.502027417027417,-0.06448801876915065,0.11014437847534543,0.22430737790345331,-0.024149721833959293
202510514.0,2025-10-05T13:00:00,1,2025,5,IND,LV,HOME,40.0,6.0,46.0,Lucas Oil Stadium,0.0,20.0,20.0,0.0,0.0,28.0,16.0,26:35,17.0,4.0,11.0,2.0,56.0,333.0,5.9,2.0,21.0,85.0,4.0,1.0,33.0,24.0,248.0,1.0,2.0,7.5,10.3,72.7,78.85,12.0,4.0,33.3,1.0,1.0,100.0,3.0,2.0,0.0,0.0,11.0,88.0,2.0,1.0,2.0,14.0,9.0,4.0,4.0,209.0,52.2,3.0,1.0,-2.0,3.0,0.0,0.0,3.0,0.0,31.0,44.0,33:25,24.0,7.0,15.0,2.0,70.0,462.0,6.6,3.0,26.0,102.0,3.9,0.0,41.0,29.0,360.0,3.0,0.0,8.8,12.4,70.7,122.0,12.0,4.0,33.3,2.0,1.0,50.0,3.0,2.0,0.0,0.0,7.0,63.0,1.0,1.0,3.0,15.0,7.0,4.0,4.0,211.0,52.8,1.0,3.0,2.0,66.7,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,42.0,3.0,15.0,4.0,1.0,1.0,30.0,26.0,2.0,14.0,5.0,1.0,0.0,Sunday,993005250,14,25,19123.0,34.0,1,-2.0,0.333,0.0,-0.0638913075834059,0.4683544303797468,-0.1722369912767035,-0.0744221715840005,0.0006222581809393644,0.5280898876404494,0.2434565749759076,-0.4278615584283124,30.0,25.0,5.0,390.3333333333333,356.0,0.0,0.348,0.75,123.0,83.0,3.0,0.11921473265903297,0.5342412884601854,0.23510013894627754,0.029060279037789665,0.029035579054923755,0.5173430938599477,0.16031087866152072,-0.1616112459292348,0.1522577065317385,-0.01795672683023463
202510614.0,2025-10-12T13:00:00,1,2025,6,IND,ARI,HOME,31.0,27.0,58.0,Lucas Oil Stadium,7.0,7.0,3.0,14.0,0.0,26.0,35.0,27:55,24.0,9.0,12.0,3.0,57.0,317.0,5.6,6.0,25.0,96.0,3.8,4.0,32.0,21.0,221.0,2.0,0.0,6.9,10.5,65.6,106.38,10.0,8.0,80.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,9.0,77.0,1.0,0.0,0.0,0.0,5.0,6.0,2.0,101.0,50.5,0.0,2.0,2.0,7.0,3.0,14.0,3.0,0.0,33.0,25.0,32:05,22.0,6.0,12.0,4.0,65.0,296.0,4.6,0.0,25.0,106.0,4.2,0.0,36.0,25.0,190.0,0.0,2.0,5.3,7.6,69.4,58.8,14.0,8.0,57.1,2.0,1.0,50.0,4.0,0.0,0.0,0.0,6.0,65.0,0.0,0.0,4.0,38.0,3.0,2.0,1.0,30.0,30.0,2.0,0.0,-2.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,37.0,35.0,4.0,38.0,8.0,0.0,0.0,32.0,18.0,0.0,0.0,3.0,0.0,0.0,Sunday,993005284,14,1,19133.0,4.0,1,2.0,0.8,0.0,0.2424103822343506,0.5066666666666667,0.3622980369695426,0.1960136685442496,-0.2258175435105199,0.5061728395061729,-0.184882965232058,-0.2157811054820195,33.7,17.7,16.0,338.3333333333333,346.6666666666667,0.333,0.461,0.8,163.0,89.0,4.0,0.1482539575826773,0.526884966621105,0.2531021420731682,0.1260384063024774,-0.10163598690297228,0.5038451514731165,-0.03954452021062089,-0.2126687298532882,0.17028824167226092,-0.05952889016629168
202510729.0,2025-10-19T16:05:00,1,2025,7,IND,LAC,AWAY,38.0,24.0,62.0,SoFi Stadium,6.0,17.0,15.0,0.0,0.0,27.0,55.0,25:33,25.0,11.0,13.0,1.0,58.0,355.0,6.1,4.0,27.0,150.0,5.6,2.0,30.0,22.0,205.0,2.0,1.0,6.8,9.3,73.3,100.0,8.0,4.0,50.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,40.0,0.0,0.0,1.0,7.0,12.0,6.0,3.0,165.0,55.0,1.0,1.0,0.0,3.0,0.0,14.0,7.0,0.0,32.0,5.0,34:27,25.0,7.0,17.0,1.0,70.0,400.0,5.7,3.0,24.0,88.0,3.7,1.0,44.0,27.0,312.0,2.0,1.0,7.1,11.6,61.4,88.45,14.0,9.0,64.3,1.0,0.0,0.0,6.0,3.0,0.0,0.0,7.0,65.0,0.0,0.0,2.0,8.0,6.0,3.0,2.0,92.0,46.0,1.0,1.0,0.0,100.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,43.0,16.0,2.0,8.0,3.0,0.0,0.0,31.0,27.0,1.0,7.0,4.0,0.0,0.0,Sunday,993005319,14,29,19146.0,14.0,1,0.0,0.5,0.0,0.1665656401693675,0.5733333333333334,0.1545624092855856,0.1790181493937173,0.1173949707569916,0.5111111111111111,0.1263885898974251,-0.0298251178452198,30.3,20.0,10.3,335.0,386.0,0.0,0.544,0.8,194.0,116.0,5.0,0.1150282382734374,0.5161181434599156,0.11487448499280824,0.10020321545132212,-0.03593343819086298,0.5151246127525777,0.061654066547091574,-0.22448926058518393,0.15332404407616337,-0.004263167117751409
202510814.0,2025-10-26T16:25:00,1,2025,8,IND,TEN,HOME,38.0,14.0,52.0,Lucas Oil Stadium,10.0,7.0,14.0,7.0,0.0,25.0,33.0,25:39,24.0,9.0,14.0,1.0,58.0,401.0,6.9,5.0,23.0,120.0,5.2,3.0,34.0,23.0,281.0,2.0,0.0,8.3,12.2,67.6,112.5,11.0,5.0,45.5,3.0,3.0,100.0,5.0,4.0,0.0,0.0,3.0,42.0,1.0,0.0,1.0,7.0,15.0,4.0,2.0,87.0,43.5,0.0,2.0,2.0,0.0,7.0,0.0,7.0,0.0,34.0,27.0,34:21,25.0,4.0,19.0,2.0,74.0,445.0,6.0,3.0,16.0,54.0,3.4,0.0,55.0,37.0,391.0,3.0,2.0,7.1,10.6,67.3,90.8,16.0,8.0,50.0,4.0,3.0,75.0,4.0,3.0,0.0,0.0,6.0,35.0,0.0,0.0,3.0,29.0,5.0,3.0,1.0,53.0,53.0,2.0,0.0,-2.0,80.0,0.0,75.0,0.0,4.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,26.0,3.0,29.0,6.0,0.0,0.0,29.0,20.0,1.0,7.0,4.0,0.0,0.0,Sunday,993005352,14,34,19165.0,24.0,1,2.0,0.455,0.0,0.3721989465115835,0.5616438356164384,0.4119862643496598,0.50375152064953,0.0897467031945239,0.4782608695652174,0.1637310080339045,-0.1084866417133106,36.3,19.0,17.3,357.6666666666667,380.3333333333333,1.333,0.585,0.8,232.0,140.0,6.0,0.2603916563051005,0.5472146118721462,0.309615570201596,0.2929277795291656,-0.006225289853001474,0.4985149400608338,0.03507887756642387,-0.11803095501351664,0.19670529188579658,-0.019553257351480273
202510928.0,2025-11-02T13:00:00,1,2025,9,IND,PIT,AWAY,20.0,27.0,47.0,Acrisure Stadium,7.0,0.0,0.0,13.0,0.0,25.0,39.0,31:55,21.0,7.0,14.0,0.0,52.0,420.0,8.1,5.0,18.0,164.0,9.1,2.0,31.0,21.0,256.0,3.0,0.0,8.3,12.2,67.7,125.2,9.0,3.0,33.3,1.0,1.0,100.0,4.0,3.0,0.0,0.0,3.0,32.0,0.0,0.0,3.0,16.0,7.0,8.0,4.0,189.0,47.2,0.0,1.0,1.0,0.0,17.0,0.0,10.0,0.0,34.0,21.0,28:05,20.0,5.0,13.0,2.0,67.0,341.0,5.1,2.0,25.0,113.0,4.5,1.0,38.0,22.0,228.0,1.0,1.0,6.0,10.4,57.9,73.14,15.0,6.0,40.0,3.0,1.0,33.3,3.0,2.0,0.0,0.0,3.0,34.0,0.0,0.0,4.0,31.0,5.0,5.0,5.0,215.0,43.0,1.0,0.0,-1.0,75.0,0.0,66.7,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,23.0,4.0,31.0,4.0,0.0,0.0,32.0,10.0,3.0,16.0,4.0,0.0,0.0,Sunday,993005363,14,28,19181.0,-7.0,0,1.0,0.333,0.0,0.2969749257769735,0.4776119402985074,0.3266254990734064,0.3825675314809713,-0.0900289972495998,0.4367816091954023,-0.100664210652568,0.0883502530778059,35.7,21.7,14.0,392.0,395.3333333333333,1.0,0.429,0.8,270.0,154.0,7.0,0.2785798374859748,0.5375297030827597,0.29772472423621726,0.3551124005080728,0.03903755890063857,0.4753845299572436,0.0631517957595872,-0.01665383549357483,0.2028517174217738,-0.021616521725532974
202511014.0,2025-11-09T09:30:00,1,2025,10,IND,ATL,HOME,31.0,25.0,56.0,Olympiastadion,13.0,0.0,0.0,12.0,6.0,31.0,55.0,40:20,26.0,6.0,17.0,3.0,74.0,368.0,5.0,2.0,19.0,55.0,2.9,1.0,50.0,31.0,313.0,1.0,3.0,6.3,10.1,62.0,61.5,14.0,6.0,42.9,5.0,5.0,100.0,2.0,2.0,0.0,0.0,5.0,53.0,4.0,3.0,5.0,29.0,4.0,6.0,2.0,110.0,55.0,6.0,1.0,-5.0,7.0,7.0,3.0,8.0,0.0,28.0,5.0,26:09,17.0,5.0,10.0,2.0,61.0,225.0,3.7,3.0,23.0,38.0,1.7,2.0,35.0,25.0,187.0,1.0,0.0,5.3,7.5,71.4,93.39,12.0,4.0,33.3,2.0,1.0,50.0,6.0,3.0,0.0,0.0,8.0,46.0,1.0,1.0,3.0,16.0,6.0,5.0,5.0,252.0,50.4,1.0,6.0,5.0,100.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,32.0,3.0,16.0,3.0,1.0,1.0,38.0,28.0,5.0,29.0,13.0,3.0,3.0,Sunday,993005390,14,2,19076.0,6.0,1,-5.0,0.429,0.0,-0.0415730919722356,0.5217391304347826,-0.2684752293316421,0.4264721365858956,0.0470289413375411,0.4625,-0.0791399792299991,-0.1330767430744822,32.0,21.7,10.3,396.3333333333333,337.0,-0.667,0.405,0.8,290.0,181.0,7.0,0.20920026010544046,0.5203316354499096,0.15671217803047469,0.4375970629054656,0.015582215760821735,0.4591808262535399,-0.005357727282887535,-0.05107104390332896,0.2073153605440079,-0.012335185094212626
