gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510129.0,2025-09-05T20:00:00,1,2025,1,KC,LAC,AWAY,21.0,27.0,48.0,Arena Corinthians,0.0,6.0,6.0,9.0,0.0,,,27:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,7.0,7.0,0.0,,,32:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,993005119,16,29,,-6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510216.0,2025-09-14T16:25:00,1,2025,2,KC,PHI,HOME,17.0,20.0,37.0,Arrowhead Stadium,0.0,10.0,0.0,7.0,0.0,27.0,16.0,27:26,18.0,8.0,9.0,1.0,58.0,347.0,6.0,2.0,17.0,98.0,5.8,1.0,39.0,24.0,249.0,1.0,0.0,6.4,10.4,61.5,88.51,14.0,5.0,35.7,3.0,3.0,100.0,3.0,1.0,0.0,0.0,10.0,71.0,1.0,0.0,2.0,9.0,4.0,6.0,3.0,116.0,38.7,0.0,0.0,0.0,7.0,3.0,3.0,7.0,0.0,32.0,44.0,32:34,22.0,6.0,16.0,0.0,62.0,394.0,6.4,3.0,25.0,90.0,3.6,0.0,34.0,25.0,304.0,3.0,0.0,8.9,12.2,73.5,130.02,13.0,7.0,53.8,1.0,1.0,100.0,4.0,2.0,0.0,0.0,6.0,49.0,1.0,0.0,3.0,14.0,8.0,3.0,2.0,106.0,53.0,0.0,0.0,0.0,33.3,0.0,50.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,14.0,3.0,14.0,2.0,1.0,0.0,33.0,16.0,2.0,9.0,4.0,0.0,0.0,Sunday,993005174,16,26,19054.0,-3.0,0,0.0,0.357,0.0,0.1312531668372949,0.4556962025316455,0.2023466848854601,0.0543878789224739,0.2137136805261034,0.575,0.4380612356331639,-0.0700785018395195,21.0,27.0,-6.0,347.0,394.0,0.0,0.357,0.0,21.0,27.0,0.0,0.1312531668372949,0.4556962025316455,0.2023466848854601,0.0543878789224739,0.2137136805261034,0.575,0.4380612356331639,-0.0700785018395195,0.1312531668372949,0.2137136805261034
202510323.0,2025-09-21T20:20:00,1,2025,3,KC,NYG,AWAY,22.0,9.0,31.0,MetLife Stadium,3.0,6.0,7.0,6.0,0.0,27.0,26.0,31:50,17.0,9.0,7.0,1.0,57.0,294.0,5.2,2.0,26.0,121.0,4.7,1.0,29.0,16.0,173.0,1.0,1.0,6.0,10.8,55.2,70.04,12.0,4.0,33.3,3.0,2.0,66.7,2.0,1.0,0.0,0.0,6.0,45.0,1.0,0.0,2.0,14.0,3.0,5.0,3.0,178.0,59.3,1.0,0.0,-1.0,0.0,6.0,0.0,3.0,0.0,32.0,34.0,28:10,16.0,9.0,4.0,3.0,58.0,216.0,3.7,2.0,34.0,122.0,3.6,2.0,22.0,15.0,94.0,0.0,0.0,4.3,6.3,68.2,76.7,14.0,5.0,35.7,1.0,1.0,100.0,2.0,2.0,0.0,0.0,6.0,48.0,1.0,0.0,2.0,7.0,10.0,4.0,5.0,274.0,54.8,0.0,1.0,1.0,50.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,30.0,2.0,7.0,4.0,0.0,0.0,36.0,20.0,2.0,14.0,4.0,1.0,0.0,Sunday,993005209,16,23,19095.0,13.0,1,-1.0,0.333,0.0,-0.0359337658710112,0.4594594594594595,0.0133539034177086,-0.3666921112394172,0.0302450687826884,0.4358974358974359,-0.2213019333359344,0.2083985209083039,19.0,23.5,-4.5,320.5,305.0,-0.5,0.345,0.0,38.0,47.0,0.0,0.04765970048314185,0.4575778309955525,0.10785029415158434,-0.15615211615847163,0.1219793746543959,0.5054487179487179,0.10837965114861475,0.0691600095343922,0.04765970048314185,0.1219793746543959
202510416.0,2025-09-28T16:25:00,1,2025,4,KC,BAL,HOME,37.0,20.0,57.0,Arrowhead Stadium,3.0,17.0,10.0,7.0,0.0,31.0,50.0,34:45,22.0,6.0,13.0,3.0,67.0,306.0,4.6,2.0,28.0,105.0,3.8,1.0,37.0,22.0,201.0,1.0,0.0,5.4,9.1,59.5,83.28,15.0,8.0,53.3,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,85.0,2.0,0.0,2.0,23.0,9.0,6.0,3.0,139.0,46.3,0.0,2.0,2.0,7.0,3.0,3.0,7.0,0.0,28.0,10.0,25:15,19.0,8.0,7.0,4.0,61.0,281.0,4.6,1.0,27.0,130.0,4.8,1.0,32.0,18.0,151.0,0.0,2.0,4.7,8.4,56.2,42.58,10.0,1.0,10.0,4.0,1.0,25.0,3.0,1.0,0.0,0.0,7.0,82.0,0.0,0.0,2.0,9.0,7.0,4.0,2.0,61.0,30.5,2.0,0.0,-2.0,66.7,0.0,33.3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,31.0,2.0,9.0,6.0,0.0,0.0,39.0,18.0,2.0,23.0,6.0,1.0,0.0,Sunday,993005238,16,3,19113.0,17.0,1,2.0,0.533,0.0,0.0825868865502859,0.4705882352941176,0.2182658083867862,0.0775525591541182,-0.1177276697389202,0.4230769230769231,-0.2357071387509461,0.0360295390460534,20.0,18.7,1.3,315.6666666666667,297.0,0.333,0.408,0.333,60.0,56.0,1.0,0.05930209583885654,0.4619146324284075,0.1446554655633183,-0.07825055772094171,0.04207702652329054,0.477991452991453,-0.006315945484572196,0.05811651937161261,0.05930209583885654,0.04207702652329054
202510515.0,2025-10-06T20:15:00,1,2025,5,KC,JAX,AWAY,28.0,31.0,59.0,EverBank Stadium,7.0,7.0,0.0,14.0,0.0,34.0,45.0,31:59,24.0,8.0,15.0,1.0,70.0,382.0,5.5,4.0,32.0,118.0,3.7,0.0,37.0,25.0,264.0,4.0,0.0,7.1,10.6,67.6,124.16,15.0,5.0,33.3,4.0,4.0,100.0,6.0,4.0,0.0,0.0,5.0,40.0,0.0,0.0,1.0,6.0,8.0,3.0,1.0,37.0,37.0,0.0,2.0,2.0,0.0,7.0,14.0,10.0,0.0,25.0,15.0,28:01,18.0,7.0,10.0,1.0,53.0,360.0,6.8,2.0,17.0,166.0,9.8,1.0,33.0,23.0,194.0,1.0,1.0,5.9,8.4,69.7,82.13,10.0,3.0,30.0,4.0,1.0,25.0,2.0,1.0,0.0,0.0,6.0,56.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,50.0,50.0,2.0,0.0,-2.0,66.7,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,37.0,11.0,3.0,5.0,4.0,0.0,1.0,37.0,30.0,1.0,6.0,2.0,0.0,0.0,Monday,993005271,16,15,19125.0,-3.0,0,2.0,0.333,0.0,0.1844871809128274,0.4712643678160919,0.3385510152839096,0.0129863725970998,-0.0428570985337273,0.4929577464788732,-0.2255224719749625,0.4076846438200356,25.3,16.3,9.0,327.3333333333333,285.6666666666667,1.0,0.4,0.5,97.0,76.0,2.0,0.07704676719736737,0.4671040208565563,0.19005690902946815,-0.09205105982939975,-0.04344656649665304,0.45064403515107737,-0.22751051468728098,0.21737090125813097,0.09059836710734925,0.020843495259036074
202510616.0,2025-10-12T20:20:00,1,2025,6,KC,DET,HOME,30.0,17.0,47.0,Arrowhead Stadium,6.0,7.0,7.0,10.0,0.0,31.0,59.0,30:37,26.0,11.0,15.0,0.0,63.0,476.0,7.6,4.0,22.0,158.0,7.2,3.0,41.0,29.0,318.0,1.0,1.0,7.8,11.0,70.7,91.31,9.0,5.0,55.6,0.0,0.0,0.0,5.0,4.0,0.0,0.0,13.0,109.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,164.0,41.0,1.0,2.0,1.0,3.0,7.0,0.0,7.0,0.0,28.0,1.0,29:23,21.0,9.0,8.0,4.0,54.0,319.0,5.9,4.0,26.0,109.0,4.2,2.0,25.0,18.0,210.0,1.0,1.0,8.4,11.7,72.0,93.75,9.0,5.0,55.6,1.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,25.0,1.0,1.0,3.0,11.0,4.0,1.0,2.0,105.0,52.5,2.0,1.0,-1.0,80.0,0.0,75.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,27.0,3.0,11.0,5.0,1.0,1.0,33.0,24.0,0.0,0.0,6.0,0.0,0.0,Sunday,993005298,16,11,19142.0,13.0,1,1.0,0.556,0.0,0.1291640345488916,0.6172839506172839,0.1182990169390508,0.3199486672367332,0.1618882712935492,0.5616438356164384,0.2693429611963033,-0.1892770075202477,29.0,20.0,9.0,388.0,320.0,1.667,0.474,0.4,125.0,107.0,2.0,0.13207936733733497,0.5197121845758311,0.2250386135365822,0.13682919966265042,0.00043450100696723615,0.49255950172407825,-0.06396221650986843,0.0848123917819471,0.09831150059565771,0.0490524504659387
202510716.0,2025-10-19T13:00:00,1,2025,7,KC,LV,HOME,31.0,0.0,31.0,Arrowhead Stadium,7.0,14.0,10.0,0.0,0.0,30.0,37.0,42:08,26.0,8.0,16.0,2.0,62.0,355.0,5.7,4.0,29.0,112.0,3.9,1.0,30.0,22.0,243.0,3.0,0.0,8.1,11.0,73.3,130.28,10.0,4.0,40.0,3.0,2.0,66.7,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,14.0,4.0,3.0,1.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,17:52,18.0,5.0,13.0,0.0,53.0,297.0,5.6,2.0,23.0,98.0,4.3,0.0,29.0,23.0,199.0,2.0,0.0,6.9,8.7,79.3,118.25,11.0,5.0,45.5,2.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,38.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,138.0,46.0,0.0,0.0,0.0,66.7,0.0,50.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,22.0,1.0,4.0,0.0,1.0,0.0,30.0,30.0,3.0,14.0,1.0,1.0,0.0,Sunday,993005316,16,25,19154.0,31.0,1,0.0,0.4,0.0,0.2296754398267073,0.5675675675675675,0.446262963166688,0.0397403715876862,0.0669397687631563,0.5652173913043478,0.2007851601319998,-0.0876602690206543,31.7,22.7,9.0,404.3333333333333,325.3333333333333,1.0,0.43,0.6,155.0,124.0,3.0,0.1811088850961421,0.5520386286669812,0.3010376651298828,0.12422513714050643,0.06199031384099274,0.5399396577998864,0.08153521645111354,0.04358245575971121,0.1179959551935402,0.019697668113349283
202510816.0,2025-10-27T20:15:00,1,2025,8,KC,WAS,HOME,28.0,7.0,35.0,Arrowhead Stadium,0.0,7.0,14.0,7.0,0.0,42.0,8.0,34:03,30.0,12.0,16.0,2.0,77.0,434.0,5.6,4.0,41.0,152.0,3.7,1.0,35.0,26.0,282.0,3.0,0.0,8.1,10.8,74.3,126.13,15.0,9.0,60.0,2.0,1.0,50.0,5.0,4.0,0.0,0.0,5.0,38.0,2.0,0.0,1.0,4.0,2.0,1.0,3.0,106.0,35.3,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,17.0,52.0,25:57,3.0,0.0,2.0,1.0,30.0,95.0,3.2,0.0,11.0,25.0,2.3,0.0,18.0,12.0,70.0,0.0,0.0,3.9,5.8,66.7,73.84,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,58.0,2.0,1.0,1.0,5.0,3.0,6.0,6.0,283.0,47.2,1.0,0.0,-1.0,80.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,1.0,5.0,1.0,0.0,1.0,43.0,42.0,1.0,4.0,2.0,1.0,0.0,Monday,993005358,16,35,19160.0,21.0,1,1.0,0.6,0.0,0.1942831147379731,0.5,0.5527184534722978,-0.154987673542243,-0.3390653628906722,0.3404255319148936,-0.5428014292543674,-0.7955576516178553,29.7,16.0,13.7,421.6666666666667,237.0,0.667,0.519,0.8,186.0,124.0,4.0,0.18437419637119068,0.5616171727282838,0.3724268111926789,0.06823378842739214,-0.03674577427798889,0.4890955862785599,-0.024224435975354747,-0.35749830938625243,0.16403933131533707,-0.05416441822132283
202510904.0,2025-11-02T16:25:00,1,2025,9,KC,BUF,AWAY,21.0,28.0,49.0,Highmark Stadium,0.0,13.0,0.0,8.0,0.0,34.0,3.0,25:15,26.0,8.0,16.0,2.0,67.0,432.0,6.4,4.0,30.0,148.0,4.9,1.0,34.0,25.0,284.0,3.0,2.0,8.4,11.4,73.5,103.06,10.0,4.0,40.0,2.0,2.0,100.0,4.0,4.0,0.0,0.0,9.0,95.0,2.0,0.0,3.0,15.0,4.0,3.0,1.0,56.0,56.0,2.0,2.0,0.0,7.0,14.0,7.0,0.0,0.0,25.0,57.0,34:45,14.0,4.0,9.0,1.0,52.0,260.0,5.0,1.0,20.0,60.0,3.0,0.0,30.0,21.0,200.0,1.0,2.0,6.7,9.5,70.0,71.53,12.0,7.0,58.3,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,35.0,1.0,0.0,2.0,13.0,7.0,4.0,3.0,142.0,47.3,2.0,2.0,0.0,100.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,32.0,2.0,13.0,3.0,1.0,0.0,43.0,21.0,3.0,15.0,3.0,2.0,0.0,Sunday,993005381,16,4,19183.0,-7.0,0,0.0,0.4,0.0,0.2184265889295703,0.5064935064935064,0.3605849442052811,0.1026849406659423,-0.1084238324440237,0.46875,-0.2029044083917849,-0.0684242068331085,29.7,8.0,21.7,407.0,217.33333333333334,0.333,0.467,0.8,214.0,131.0,5.0,0.21412838116475022,0.5246870246870247,0.453188786948089,-0.004187453762871496,-0.12684980885717986,0.45813097440641376,-0.1816402258380508,-0.31721404249053936,0.19120727179119396,-0.05230365076234354
202511110.0,2025-11-16T16:25:00,1,2025,11,KC,DEN,AWAY,19.0,22.0,41.0,Empower Field at Mile High,3.0,3.0,7.0,6.0,0.0,25.0,15.0,30:31,16.0,5.0,10.0,1.0,57.0,305.0,5.4,2.0,20.0,79.0,4.0,2.0,34.0,15.0,226.0,0.0,1.0,6.6,15.1,44.1,54.29,13.0,3.0,23.1,3.0,2.0,66.7,3.0,2.0,0.0,0.0,3.0,25.0,0.0,0.0,3.0,24.0,6.0,3.0,3.0,146.0,48.7,1.0,0.0,-1.0,6.0,0.0,7.0,9.0,0.0,34.0,45.0,29:29,23.0,9.0,13.0,1.0,64.0,404.0,6.3,4.0,35.0,141.0,4.0,3.0,26.0,23.0,263.0,1.0,0.0,10.1,11.4,88.5,121.63,12.0,7.0,58.3,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,40.0,0.0,0.0,3.0,10.0,15.0,5.0,3.0,126.0,42.0,0.0,1.0,1.0,66.7,0.0,100.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,42.0,3.0,10.0,1.0,0.0,0.0,24.0,22.0,3.0,24.0,5.0,0.0,0.0,Sunday,993005439,16,10,19080.0,-3.0,0,-1.0,0.231,0.0,0.066654116105479,0.4794520547945205,-0.0195848005646712,0.0847231768886559,0.1505106248579235,0.5822784810126582,0.3481503208102132,0.1025156462338291,26.7,11.7,15.0,390.3333333333333,253.0,0.0,0.41,0.6,235.0,159.0,5.0,0.1597879399243408,0.495315187096009,0.2979061990376359,0.01080681467078507,-0.0989928568255908,0.46381800430918396,-0.13251850561197967,-0.2538220707390449,0.16764065882972426,-0.013630106084013383
