gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202510132,2025-09-07T16:25:00,1,2025,1,LAR,HOU,HOME,14,9,23,SoFi Stadium,0,7,7,0,0,28,35,28:35,18,3,13,2,57,296,5.2,2,25,72,2.9,1,29,21,224,1,0,7.7,10.7,72.4,106.11,13,7,53.8,1,1,100.0,3,2,0,0,7,60,2,1,3,21,7,3,5,220,44.0,1,2,1,3,6,0,0,0,31,25,31:25,18,8,7,3,57,265,4.6,0,27,114,4.2,0,27,19,151,0,1,5.6,7.9,70.4,68.6,9,2,22.2,1,1,100.0,1,0,0,0,11,80,1,1,3,37,6,5,4,208,52.0,2,1,-1,66.7,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,38,24,3,37,4,1,1,35,23,3,21,1,1,1,Sunday,993005142,32,13,19066,5,1,1,0.538,0,,,,,,,,,,,,14.0
202510234,2025-09-14T13:00:00,1,2025,2,LAR,TEN,AWAY,33,19,52,Nissan Stadium,7,3,10,13,0,29,53,29:53,22,8,12,2,59,439,7.4,4,25,149,6.0,2,33,23,290,2,1,8.8,12.6,69.7,104.36,12,5,41.7,1,1,100.0,6,3,0,0,4,29,1,0,1,8,8,6,3,145,48.3,1,1,0,0,13,3,3,0,30,7,30:07,18,7,10,1,64,252,3.9,1,26,109,4.2,0,33,19,143,1,0,4.3,7.5,57.6,78.22,15,6,40.0,1,1,100.0,3,1,0,0,10,62,2,1,5,32,6,2,5,250,50.0,1,1,0,50.0,0,33.3,0,4,3,1,0,0,0,0,2,2,1,1,0,0,0,0,0,4,4,41,23,5,32,4,1,1,35,24,1,8,4,0,0,Sunday,993005164,32,34,19092,14,1,0,0.417,0,,,,,,,,,14.0,9.0,1.0,-7.0
202510326,2025-09-21T13:00:00,1,2025,3,LAR,PHI,AWAY,26,33,59,Lincoln Financial Field,10,9,7,0,0,29,25,29:25,22,11,10,1,66,356,5.4,2,31,160,5.2,0,34,19,196,2,1,5.8,10.3,55.9,80.02,10,3,30.0,1,0,0.0,4,1,0,0,4,41,0,0,1,0,4,7,1,36,36.0,1,1,0,7,0,14,12,0,30,35,30:35,19,8,9,2,63,288,4.6,5,27,86,3.2,1,32,21,202,3,0,6.3,9.6,65.6,114.32,14,5,35.7,5,4,80.0,3,3,0,0,5,50,1,1,4,24,7,2,4,222,55.5,1,1,0,25.0,0,100.0,0,2,2,0,0,0,0,0,6,4,3,3,0,2,0,0,0,0,0,35,25,4,24,6,1,1,37,29,1,0,4,0,0,Sunday,993005185,32,26,19105,-7,0,0,0.3,0,,,,,,,,,47.0,28.0,2.0,7.0
202510432,2025-09-28T16:05:00,1,2025,4,LAR,IND,HOME,27,20,47,SoFi Stadium,3,10,0,14,0,31,44,31:44,24,7,15,2,70,462,6.6,3,26,102,3.9,0,41,29,360,3,0,8.8,12.4,70.7,122.0,12,4,33.3,2,1,50.0,3,2,0,0,7,63,1,1,3,15,7,4,4,211,52.8,1,3,2,3,7,0,10,0,28,16,28:16,17,4,11,2,56,333,5.9,2,21,85,4.0,1,33,24,248,1,2,7.5,10.3,72.7,78.85,12,4,33.3,1,1,100.0,3,2,0,0,11,88,2,1,2,14,9,4,4,209,52.2,3,1,-2,66.7,0,66.7,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,30,26,2,14,5,1,0,35,42,3,15,4,1,1,Sunday,993005234,32,14,19123,7,1,2,0.333,0,24.3,20.3,4.0,363.6666666666667,268.3333333333333,0.333,0.418,,73.0,61.0,2.0,-3.0
202510532,2025-10-02T20:15:00,1,2025,5,LAR,SF,HOME,23,26,49,SoFi Stadium,0,7,7,9,0,26,20,26:20,27,5,18,4,64,456,7.1,3,16,78,4.9,0,47,30,378,3,0,8.0,12.6,63.8,110.06,10,4,40.0,3,2,66.7,5,3,0,0,5,36,2,2,1,11,10,3,2,110,55.0,2,0,-2,7,10,3,3,3,40,4,40:04,27,6,19,2,83,407,4.9,2,33,74,2.2,0,49,33,333,2,0,6.8,10.1,67.3,100.13,18,7,38.9,3,3,100.0,5,2,0,0,8,44,0,0,1,9,2,1,4,168,42.0,0,2,2,60.0,0,40.0,0,3,2,1,0,0,0,0,2,1,2,2,0,0,0,0,0,4,4,48,34,1,9,5,0,0,30,26,1,11,4,1,2,Thursday,993005246,32,31,19130,-3,0,-2,0.4,0,28.7,24.0,4.7,419.0,291.0,0.667,0.35,,100.0,81.0,3.0,14.0
202510603,2025-10-12T13:00:00,1,2025,6,LAR,BAL,AWAY,17,3,20,M&T Bank Stadium,0,3,14,0,0,22,5,22:05,15,4,10,1,51,241,4.7,2,23,74,3.2,1,26,17,167,1,0,6.4,9.8,65.4,96.15,10,4,40.0,2,1,50.0,5,2,0,0,6,40,2,1,2,14,11,7,2,113,56.5,1,3,2,3,0,0,0,0,37,55,37:55,19,11,6,2,75,296,3.9,0,37,179,4.8,0,34,21,117,0,1,3.4,5.6,61.8,55.64,17,7,41.2,6,2,33.3,3,0,0,0,7,80,3,2,4,23,3,4,1,53,53.0,3,1,-2,40.0,0,0.0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,42,40,4,23,4,2,2,26,24,2,14,2,1,1,Sunday,993005285,32,3,19144,14,1,2,0.4,0,25.3,26.3,-1.0,424.6666666666667,342.6666666666667,0.0,0.344,0.6,123.0,107.0,3.0,28.0
202510715,2025-10-19T09:30:00,1,2025,7,LAR,JAX,AWAY,35,7,42,Wembley Stadium,14,7,0,14,0,31,46,31:46,26,4,14,8,62,271,4.4,5,29,89,3.1,0,33,21,182,5,0,5.5,8.7,63.6,117.68,10,2,20.0,2,2,100.0,4,4,0,0,5,45,0,0,0,0,11,5,5,242,48.4,0,0,0,0,0,0,7,0,28,14,28:14,21,5,13,3,74,358,4.8,1,19,94,4.9,0,48,23,264,1,0,5.5,11.5,47.9,71.88,15,3,20.0,6,2,33.3,2,0,0,0,13,119,1,0,7,32,4,1,5,207,41.4,0,0,0,100.0,0,0.0,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,39,18,7,32,10,1,0,33,18,0,0,4,0,0,Sunday,993005305,32,15,19049,28,1,0,0.2,0,22.3,16.3,6.0,386.3333333333333,345.3333333333333,0.667,0.378,0.6,140.0,110.0,4.0,24.0
202510932,2025-11-02T16:05:00,1,2025,9,LAR,NO,HOME,34,10,44,SoFi Stadium,7,13,7,7,0,43,53,43:53,30,13,14,3,77,438,5.7,5,43,171,4.0,1,32,24,267,4,0,8.3,11.1,75.0,138.93,14,7,50.0,2,2,100.0,5,4,0,0,3,32,0,0,2,14,2,2,2,100,50.0,0,2,2,0,10,0,0,0,16,7,16:07,10,1,8,1,40,224,5.6,1,14,57,4.1,0,25,15,167,1,1,6.7,11.1,60.0,76.58,9,2,22.2,2,0,0.0,3,1,0,0,5,33,1,1,1,9,4,4,4,184,46.0,2,0,-2,80.0,0,33.3,0,5,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,19,19,1,9,5,1,1,34,53,2,14,4,0,0,Sunday,993005378,32,22,19078,24,1,2,0.5,0,25.0,12.0,13.0,322.6666666666667,353.6666666666667,0.0,0.333,0.6,175.0,117.0,5.0,16.0
202511031,2025-11-09T16:25:00,1,2025,10,LAR,SF,AWAY,42,26,68,Levi's Stadium,14,7,7,14,0,32,32,32:32,31,9,20,2,67,401,6.0,6,30,126,4.2,2,36,24,275,4,0,7.6,11.5,66.7,126.5,9,5,55.6,1,1,100.0,6,5,0,0,0,0,0,0,1,5,1,2,2,73,36.5,0,2,2,0,7,7,12,0,27,28,27:28,24,8,16,0,60,393,6.6,4,21,74,3.5,1,39,33,319,3,1,8.2,9.7,84.6,115.71,8,3,37.5,3,1,33.3,5,4,0,0,7,45,1,1,0,0,8,3,2,87,43.5,2,0,-2,83.3,0,80.0,0,6,6,0,0,0,0,0,0,0,3,2,1,2,0,0,0,0,0,35,32,0,0,5,1,1,29,36,1,5,3,0,0,Sunday,993005407,32,31,19193,16,1,2,0.556,0,28.7,6.7,22.0,316.6666666666667,292.6666666666667,1.333,0.367,0.8,209.0,127.0,6.0,2.0
202511132,2025-11-16T16:05:00,1,2025,11,LAR,SEA,HOME,21,19,40,SoFi Stadium,14,0,0,7,0,22,11,22:11,12,5,6,1,50,249,5.0,3,22,119,5.4,1,28,15,130,2,0,4.6,8.7,53.6,89.88,11,2,18.2,3,2,66.7,4,3,0,0,6,43,1,1,0,0,3,0,6,253,42.2,1,4,3,3,6,3,7,0,37,49,37:49,26,9,15,2,79,414,5.2,1,35,135,3.9,1,44,29,279,0,4,6.3,9.6,65.9,45.55,16,7,43.8,1,1,100.0,4,1,0,0,6,47,1,0,0,0,3,3,2,103,51.5,4,1,-3,75.0,0,25.0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,4,50,24,0,0,8,1,0,24,21,0,0,4,1,1,Sunday,993005436,32,30,19205,2,1,3,0.182,0,37.0,14.3,22.7,370.0,325.0,1.333,0.419,0.8,251.0,153.0,7.0,27.0
