gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510106.0,2025-09-08T20:15:00,1,2025,1,MIN,CHI,AWAY,27.0,24.0,51.0,Soldier Field,0.0,6.0,0.0,21.0,0.0,,,27:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,7.0,7.0,0.0,,,32:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,993005147,20,6,,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510220.0,2025-09-14T20:20:00,1,2025,2,MIN,ATL,HOME,6.0,22.0,28.0,U.S. Bank Stadium,0.0,6.0,0.0,0.0,0.0,27.0,7.0,23:28,14.0,6.0,5.0,3.0,49.0,254.0,5.2,3.0,26.0,120.0,4.6,1.0,20.0,13.0,134.0,2.0,1.0,6.7,10.3,65.0,96.67,12.0,3.0,25.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,50.0,0.0,0.0,3.0,9.0,3.0,6.0,7.0,333.0,47.6,1.0,1.0,0.0,6.0,3.0,3.0,10.0,0.0,32.0,53.0,36:32,20.0,7.0,10.0,3.0,63.0,317.0,5.0,3.0,26.0,119.0,4.6,1.0,35.0,21.0,198.0,1.0,0.0,5.7,9.4,60.0,85.18,12.0,3.0,25.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,127.0,1.0,1.0,2.0,12.0,5.0,6.0,6.0,266.0,44.3,1.0,1.0,0.0,66.7,0.0,100.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,38.0,21.0,2.0,12.0,3.0,1.0,1.0,33.0,14.0,3.0,9.0,5.0,0.0,0.0,Sunday,993005176,20,2,19068.0,-16.0,0,0.0,0.25,0.0,-0.0642966416873158,0.4459459459459459,-0.1317065480258614,-0.025951986866018,-0.1106152289567866,0.3777777777777777,0.0129176890372677,-0.1986266478045201,27.0,24.0,3.0,254.0,317.0,0.0,0.25,1.0,27.0,24.0,1.0,-0.0642966416873158,0.4459459459459459,-0.1317065480258614,-0.025951986866018,-0.1106152289567866,0.3777777777777777,0.0129176890372677,-0.1986266478045201,-0.0642966416873158,-0.1106152289567866
202510320.0,2025-09-21T13:00:00,1,2025,3,MIN,CIN,HOME,48.0,10.0,58.0,U.S. Bank Stadium,14.0,20.0,14.0,0.0,0.0,23.0,28.0,30:56,10.0,3.0,7.0,0.0,46.0,198.0,4.3,0.0,19.0,78.0,4.1,0.0,21.0,11.0,120.0,0.0,2.0,5.7,10.9,52.4,29.96,11.0,4.0,36.4,2.0,1.0,50.0,1.0,0.0,0.0,0.0,8.0,50.0,4.0,2.0,6.0,38.0,5.0,6.0,4.0,204.0,51.0,4.0,1.0,-3.0,0.0,3.0,0.0,7.0,0.0,36.0,32.0,29:04,19.0,12.0,5.0,2.0,63.0,326.0,5.2,1.0,39.0,218.0,5.6,1.0,21.0,13.0,108.0,0.0,0.0,5.1,8.3,61.9,75.1,15.0,6.0,40.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,29.0,1.0,1.0,3.0,27.0,11.0,5.0,3.0,137.0,45.7,1.0,4.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,40.0,32.0,3.0,27.0,1.0,1.0,1.0,29.0,28.0,6.0,38.0,4.0,1.0,2.0,Sunday,993005192,20,7,19096.0,38.0,1,-3.0,0.364,0.0,-0.3688922837752705,0.3846153846153846,-0.6061799763949279,-0.1970728614833206,0.0119476400013608,0.4756097560975609,-0.3471439891980694,0.1742421003618377,16.5,23.0,-6.5,226.0,321.5,-1.5,0.307,0.5,33.0,46.0,1.0,-0.21659446273129315,0.4152806652806652,-0.36894326221039464,-0.11151242417466929,-0.049333794477712904,0.4266937669376693,-0.16711315008040084,-0.012192273721341199,-0.21659446273129315,-0.049333794477712904
202510428.0,2025-09-28T09:30:00,1,2025,4,MIN,PIT,AWAY,21.0,24.0,45.0,Croke Park,3.0,3.0,0.0,15.0,0.0,30.0,56.0,33:34,22.0,10.0,10.0,2.0,58.0,352.0,6.1,6.0,31.0,169.0,5.5,2.0,24.0,16.0,183.0,2.0,0.0,7.6,11.4,66.7,117.19,12.0,4.0,33.3,1.0,1.0,100.0,5.0,4.0,0.0,0.0,13.0,105.0,1.0,0.0,3.0,19.0,9.0,7.0,5.0,220.0,44.0,0.0,5.0,5.0,7.0,7.0,7.0,3.0,0.0,29.0,4.0,26:26,12.0,3.0,6.0,3.0,52.0,171.0,3.3,1.0,21.0,53.0,2.5,0.0,27.0,19.0,118.0,1.0,2.0,4.4,6.2,70.4,60.42,11.0,3.0,27.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,45.0,5.0,3.0,4.0,22.0,5.0,3.0,6.0,328.0,54.7,5.0,0.0,-5.0,80.0,0.0,100.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,12.0,4.0,22.0,5.0,5.0,3.0,38.0,25.0,3.0,19.0,1.0,1.0,0.0,Sunday,993005215,20,28,19103.0,-3.0,0,5.0,0.333,0.0,0.0421135154019575,0.5061728395061729,0.0926330548559678,0.0873839865981911,-0.5131050496633524,0.3333333333333333,-0.9743000542602144,-0.2291551972871688,27.0,18.7,8.3,268.0,271.3333333333333,0.667,0.316,0.667,81.0,56.0,2.0,-0.1303584700202096,0.4455780566891678,-0.21508448985494052,-0.04521362058371583,-0.20392421287292606,0.3955736224028907,-0.43617545147367204,-0.08451324824328373,-0.1303584700202096,-0.20392421287292606
202510508.0,2025-10-05T09:30:00,1,2025,5,MIN,CLE,AWAY,21.0,17.0,38.0,Tottenham Hotspur Stadium,7.0,0.0,7.0,7.0,0.0,33.0,34.0,29:31,23.0,6.0,15.0,2.0,72.0,372.0,5.2,2.0,20.0,70.0,3.5,0.0,46.0,30.0,302.0,2.0,2.0,6.6,10.1,65.2,80.16,14.0,4.0,28.6,3.0,2.0,66.7,4.0,2.0,0.0,0.0,8.0,82.0,2.0,0.0,6.0,48.0,3.0,0.0,3.0,136.0,45.3,2.0,0.0,-2.0,7.0,3.0,7.0,0.0,0.0,26.0,26.0,30:29,19.0,11.0,6.0,2.0,53.0,313.0,5.9,3.0,29.0,131.0,4.5,2.0,22.0,18.0,182.0,1.0,0.0,8.3,10.1,81.8,116.29,10.0,4.0,40.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,35.0,1.0,0.0,2.0,18.0,14.0,0.0,3.0,146.0,48.7,0.0,2.0,2.0,50.0,0.0,40.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,31.0,28.0,2.0,18.0,0.0,1.0,0.0,42.0,24.0,6.0,48.0,8.0,2.0,0.0,Sunday,993005247,20,8,19047.0,4.0,1,-2.0,0.286,0.0,0.0556900117704383,0.4725274725274725,0.075734592844467,-0.0912810043260429,0.1407130011685022,0.5882352941176471,0.2394406827681792,0.1595662673621868,25.0,18.7,6.3,307.3333333333333,270.0,0.0,0.328,0.5,102.0,80.0,2.0,-0.09036291886762489,0.4544385655496767,-0.14593744289816438,-0.06698995973705746,-0.12014813616449645,0.4657261278495137,-0.3606677868967016,0.03488439014561857,-0.08384634957254762,-0.117764909362569
202510720.0,2025-10-19T13:00:00,1,2025,7,MIN,PHI,HOME,22.0,28.0,50.0,U.S. Bank Stadium,3.0,3.0,10.0,6.0,0.0,29.0,31.0,34:02,20.0,4.0,14.0,2.0,61.0,349.0,5.7,3.0,23.0,97.0,4.2,1.0,35.0,26.0,252.0,2.0,0.0,7.2,9.7,74.3,113.04,9.0,3.0,33.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,50.0,2.0,2.0,3.0,16.0,3.0,5.0,5.0,286.0,57.2,2.0,0.0,-2.0,7.0,7.0,7.0,7.0,0.0,30.0,29.0,25:58,17.0,8.0,9.0,0.0,67.0,322.0,4.8,2.0,32.0,140.0,4.4,0.0,33.0,19.0,182.0,2.0,0.0,5.5,9.6,57.6,93.24,15.0,3.0,20.0,3.0,3.0,100.0,3.0,2.0,0.0,0.0,10.0,78.0,0.0,0.0,2.0,8.0,3.0,6.0,8.0,360.0,45.0,0.0,2.0,2.0,100.0,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,37.0,2.0,8.0,5.0,0.0,0.0,35.0,27.0,3.0,16.0,3.0,2.0,2.0,Sunday,993005308,20,26,19045.0,-6.0,0,-2.0,0.333,0.0,0.0435270003079789,0.4683544303797468,0.2976772291517132,-0.4291213035834708,-0.0081321479333315,0.4157303370786517,-0.0745642582586618,-0.0164313136586262,30.0,17.0,13.0,357.6666666666667,268.6666666666667,0.333,0.317,0.6,123.0,97.0,3.0,0.04711017582679156,0.48235158080446405,0.1553482922840493,-0.14433944043710753,-0.12684139880939388,0.44576632150987733,-0.26980787658356564,-0.0286734145278694,-0.058371679596442315,-0.09583835707672149
202510829.0,2025-10-23T20:15:00,1,2025,8,MIN,LAC,AWAY,10.0,37.0,47.0,SoFi Stadium,0.0,3.0,7.0,0.0,0.0,34.0,2.0,20:56,21.0,7.0,13.0,1.0,67.0,387.0,5.8,1.0,23.0,89.0,3.9,1.0,42.0,26.0,298.0,0.0,2.0,7.1,11.5,61.9,63.39,15.0,7.0,46.7,1.0,1.0,100.0,6.0,1.0,0.0,0.0,3.0,30.0,2.0,0.0,2.0,15.0,4.0,8.0,1.0,34.0,34.0,2.0,0.0,-2.0,7.0,14.0,3.0,13.0,0.0,25.0,58.0,39:04,13.0,4.0,9.0,0.0,49.0,361.0,7.4,4.0,23.0,45.0,2.0,0.0,23.0,19.0,316.0,3.0,0.0,13.7,16.6,82.6,158.33,10.0,3.0,30.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,8.0,64.0,0.0,0.0,3.0,10.0,8.0,6.0,3.0,146.0,48.7,0.0,2.0,2.0,16.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,25.0,3.0,10.0,1.0,0.0,0.0,39.0,18.0,2.0,15.0,3.0,0.0,0.0,Thursday,993005333,20,29,19161.0,-27.0,0,-2.0,0.467,0.0,-0.0187351717471427,0.5487804878048781,0.0360790341834555,-0.3732364409703579,0.0645393771266099,0.4264705882352941,0.7271797762995658,-0.2798086772412815,21.3,23.0,-1.7,369.3333333333333,332.0,-2.0,0.362,0.4,145.0,125.0,3.0,0.026827280110424834,0.4965541302373658,0.13649695205987852,-0.2978795829599572,0.06570674345392687,0.4768120731438643,0.29735206693636107,-0.045557907845906964,-0.0492593856084077,-0.060807435860042204
202510911.0,2025-11-02T13:00:00,1,2025,9,MIN,DET,AWAY,27.0,24.0,51.0,Ford Field,14.0,3.0,7.0,3.0,0.0,20.0,56.0,28:52,12.0,1.0,9.0,2.0,47.0,164.0,3.5,1.0,11.0,34.0,3.1,0.0,31.0,18.0,130.0,1.0,1.0,4.2,7.2,58.1,65.26,11.0,3.0,27.3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,66.0,1.0,0.0,5.0,27.0,8.0,10.0,4.0,184.0,46.0,1.0,1.0,0.0,7.0,7.0,3.0,7.0,0.0,39.0,4.0,31:08,29.0,14.0,13.0,2.0,70.0,419.0,6.0,4.0,43.0,207.0,4.8,1.0,25.0,18.0,212.0,3.0,1.0,8.5,11.8,72.0,120.33,13.0,9.0,69.2,0.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,46.0,0.0,0.0,2.0,15.0,8.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,0.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,44.0,29.0,2.0,15.0,2.0,0.0,0.0,27.0,13.0,5.0,27.0,7.0,1.0,0.0,Sunday,993005375,20,11,19171.0,3.0,1,0.0,0.273,0.0,-0.2587679615870143,0.3787878787878788,-0.2575910481575917,-0.6795445200065539,0.1704312400193104,0.5454545454545454,0.4575897119443612,0.0208127999627286,17.7,27.3,-9.7,300.0,367.3333333333333,-1.333,0.358,0.4,155.0,162.0,3.0,-0.07799204434205938,0.46530759899083457,0.025388405059192303,-0.4939674215201275,0.07561282307086294,0.46255182358949704,0.3700684099950884,-0.09180906364572637,-0.027234521170756466,-0.029110715856452272
202511020.0,2025-11-09T13:00:00,1,2025,10,MIN,BAL,HOME,19.0,27.0,46.0,U.S. Bank Stadium,7.0,3.0,3.0,6.0,0.0,28.0,52.0,27:25,20.0,7.0,8.0,5.0,59.0,258.0,4.4,3.0,29.0,142.0,4.9,1.0,25.0,14.0,116.0,2.0,1.0,4.6,8.3,56.0,78.08,12.0,4.0,33.3,0.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,56.0,1.0,0.0,5.0,27.0,11.0,10.0,4.0,176.0,44.0,1.0,1.0,0.0,3.0,6.0,10.0,8.0,0.0,31.0,8.0,32:35,15.0,3.0,11.0,1.0,62.0,305.0,4.9,3.0,20.0,65.0,3.2,1.0,37.0,25.0,240.0,2.0,0.0,6.5,9.6,67.6,103.43,17.0,5.0,29.4,3.0,3.0,100.0,3.0,1.0,0.0,0.0,10.0,76.0,1.0,1.0,5.0,44.0,9.0,7.0,5.0,238.0,47.6,1.0,1.0,0.0,60.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,28.0,41.0,5.0,44.0,1.0,1.0,1.0,32.0,19.0,5.0,27.0,3.0,0.0,0.0,Sunday,993005402,20,3,19071.0,-8.0,0,0.0,0.333,0.0,0.0168699479386136,0.425,-0.1223347864436309,0.1591323875403031,-0.0623770957726034,0.4404761904761904,0.0756123463538069,-0.2804340197139286,19.7,29.7,-10.0,269.6666666666667,361.6666666666667,-0.667,0.358,0.4,182.0,186.0,4.0,-0.08687772846518112,0.4508561221975856,-0.11461560013925574,-0.29788285781220286,0.05753117379110564,0.4708004413886766,0.42012727819924467,-0.17980996566416052,-0.032283234663425246,0.06103487492169751
202511120.0,2025-11-16T13:00:00,1,2025,11,MIN,CHI,HOME,17.0,19.0,36.0,U.S. Bank Stadium,3.0,0.0,0.0,14.0,0.0,27.0,25.0,23:01,18.0,6.0,9.0,3.0,61.0,365.0,6.0,2.0,18.0,120.0,6.7,1.0,42.0,20.0,245.0,1.0,2.0,5.8,12.2,47.6,54.17,14.0,3.0,21.4,5.0,2.0,40.0,3.0,2.0,0.0,0.0,13.0,102.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,102.0,51.0,3.0,0.0,-3.0,0.0,10.0,6.0,3.0,0.0,32.0,35.0,36:59,23.0,11.0,9.0,3.0,66.0,321.0,4.9,2.0,36.0,152.0,4.2,1.0,29.0,17.0,169.0,1.0,0.0,5.8,9.9,58.6,86.71,15.0,6.0,40.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,62.0,3.0,0.0,1.0,7.0,12.0,3.0,5.0,248.0,49.6,0.0,3.0,3.0,66.7,0.0,40.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,40.0,23.0,1.0,7.0,4.0,1.0,0.0,30.0,12.0,1.0,3.0,13.0,0.0,1.0,Sunday,993005430,20,6,19189.0,-2.0,0,-3.0,0.214,0.0,-0.162141649248499,0.388235294117647,-0.1034660408295313,-0.0145680818448974,-0.0262059171886924,0.5056179775280899,0.0344935332108432,0.014834623213293,18.7,29.3,-10.7,262.3333333333333,348.3333333333333,-1.0,0.273,0.4,201.0,213.0,4.0,-0.1346798876322999,0.39734105763517524,-0.16113062514358467,-0.17832673810371605,0.027282742352671533,0.4971829044862752,0.18923186383633708,-0.08159553217930234,-0.0758495668672127,0.027651091250258598
