gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510121.0,2025-09-07T13:00:00,1,2025,1,NE,LV,HOME,13.0,20.0,33.0,Gillette Stadium,7.0,3.0,0.0,3.0,0.0,,,30:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,10.0,3.0,0.0,,,29:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005128,21,25,,-7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510219.0,2025-09-14T13:00:00,1,2025,2,NE,MIA,AWAY,33.0,27.0,60.0,Hard Rock Stadium,12.0,3.0,8.0,10.0,0.0,30.0,5.0,33:45,18.0,2.0,15.0,1.0,68.0,336.0,4.9,1.0,18.0,60.0,3.3,0.0,46.0,30.0,276.0,1.0,1.0,6.0,9.2,65.2,79.62,14.0,4.0,28.6,1.0,1.0,100.0,3.0,1.0,0.0,0.0,8.0,70.0,1.0,0.0,4.0,11.0,9.0,10.0,6.0,244.0,40.7,1.0,1.0,0.0,0.0,14.0,6.0,7.0,0.0,29.0,55.0,26:15,21.0,3.0,17.0,1.0,62.0,389.0,6.3,2.0,24.0,56.0,2.3,1.0,34.0,24.0,333.0,1.0,1.0,9.8,13.9,70.6,99.26,13.0,5.0,38.5,1.0,1.0,100.0,1.0,1.0,0.0,0.0,9.0,77.0,0.0,0.0,4.0,29.0,9.0,6.0,5.0,249.0,49.8,1.0,1.0,0.0,33.3,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,38.0,27.0,4.0,29.0,5.0,0.0,0.0,39.0,31.0,4.0,11.0,4.0,1.0,0.0,Sunday,993005155,21,19,19059.0,6.0,1,0.0,0.286,0.0,-0.0494709201958189,0.4395604395604395,0.0441267920397912,-0.3313442153020707,0.0816863440271978,0.45,0.3780759793938614,-0.3574988553719205,13.0,20.0,-7.0,336.0,389.0,0.0,0.286,0.0,13.0,20.0,0.0,-0.0494709201958189,0.4395604395604395,0.0441267920397912,-0.3313442153020707,0.0816863440271978,0.45,0.3780759793938614,-0.3574988553719205,-0.0494709201958189,0.0816863440271978
202510321.0,2025-09-21T13:00:00,1,2025,3,NE,PIT,HOME,14.0,21.0,35.0,Gillette Stadium,0.0,7.0,0.0,7.0,0.0,33.0,45.0,33:20,18.0,8.0,9.0,1.0,55.0,333.0,6.1,4.0,29.0,122.0,4.2,1.0,23.0,19.0,211.0,2.0,0.0,9.2,11.1,82.6,133.88,12.0,7.0,58.3,1.0,1.0,100.0,4.0,3.0,0.0,0.0,12.0,75.0,2.0,0.0,3.0,19.0,5.0,6.0,2.0,136.0,68.0,0.0,1.0,1.0,7.0,7.0,0.0,7.0,0.0,26.0,15.0,26:40,16.0,1.0,15.0,0.0,52.0,358.0,6.9,3.0,15.0,61.0,4.1,0.0,32.0,26.0,297.0,2.0,1.0,9.3,11.4,81.2,113.15,10.0,4.0,40.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,65.0,1.0,0.0,5.0,18.0,3.0,4.0,2.0,88.0,44.0,1.0,0.0,-1.0,75.0,0.0,50.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,37.0,15.0,5.0,18.0,2.0,0.0,0.0,31.0,29.0,3.0,19.0,2.0,0.0,0.0,Sunday,993005184,21,28,19088.0,-7.0,0,1.0,0.583,0.0,0.1853821477106731,0.4487179487179487,0.6023075025874087,-0.1127923330786823,0.0726206263991867,0.4615384615384615,0.1589173194424027,-0.0732152097237606,23.0,23.5,-0.5,334.5,373.5,0.5,0.435,0.5,46.0,47.0,1.0,0.0679556137574271,0.4441391941391941,0.32321714731359996,-0.2220682741903765,0.07715348521319225,0.45576923076923076,0.26849664941813206,-0.21535703254784055,0.0679556137574271,0.07715348521319225
202510421.0,2025-09-28T13:00:00,1,2025,4,NE,CAR,HOME,42.0,13.0,55.0,Gillette Stadium,7.0,21.0,7.0,7.0,0.0,33.0,20.0,24:46,26.0,10.0,13.0,3.0,71.0,369.0,5.2,2.0,29.0,119.0,4.1,0.0,37.0,28.0,250.0,2.0,1.0,6.8,8.9,75.7,100.06,13.0,6.0,46.2,5.0,4.0,80.0,4.0,2.0,0.0,0.0,7.0,54.0,4.0,4.0,5.0,18.0,3.0,6.0,1.0,59.0,59.0,5.0,1.0,-4.0,6.0,0.0,0.0,7.0,0.0,26.0,40.0,35:14,17.0,7.0,5.0,5.0,49.0,203.0,4.1,3.0,26.0,64.0,2.5,1.0,23.0,16.0,139.0,2.0,1.0,6.0,8.7,69.6,96.11,9.0,4.0,44.4,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,59.0,1.0,0.0,0.0,0.0,8.0,6.0,4.0,169.0,42.2,1.0,5.0,4.0,50.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,0.0,0.0,1.0,1.0,0.0,46.0,31.0,5.0,18.0,5.0,4.0,4.0,Sunday,993005218,21,5,19104.0,29.0,1,-4.0,0.462,0.0,-0.082759773514027,0.5060240963855421,0.1625649457919644,-0.6778136323846411,0.037468084264718,0.5223880597014925,0.1912562068329727,-0.1121740564691815,20.0,22.7,-2.7,346.0,316.6666666666667,-1.0,0.444,0.333,60.0,68.0,1.0,0.01771715133360907,0.46476749488797675,0.2696664134730548,-0.3739833935884647,0.0639250182303675,0.47797550707998465,0.24274983522307894,-0.18096270718828752,0.01771715133360907,0.0639250182303675
202510504.0,2025-10-05T20:20:00,1,2025,5,NE,BUF,AWAY,23.0,20.0,43.0,Highmark Stadium,3.0,3.0,7.0,10.0,0.0,24.0,46.0,25:29,16.0,7.0,8.0,1.0,48.0,307.0,6.4,6.0,29.0,104.0,3.6,3.0,18.0,14.0,203.0,2.0,0.0,11.3,14.5,77.8,150.69,9.0,3.0,33.3,1.0,1.0,100.0,4.0,4.0,0.0,0.0,7.0,54.0,0.0,0.0,1.0,0.0,4.0,5.0,4.0,205.0,51.2,0.0,0.0,0.0,0.0,3.0,7.0,10.0,0.0,35.0,14.0,34:31,21.0,8.0,11.0,2.0,65.0,326.0,5.0,2.0,28.0,129.0,4.6,0.0,36.0,23.0,197.0,2.0,0.0,5.5,8.6,63.9,96.64,14.0,5.0,35.7,3.0,1.0,33.3,2.0,2.0,0.0,0.0,5.0,29.0,1.0,0.0,1.0,11.0,1.0,1.0,5.0,231.0,46.2,0.0,0.0,0.0,100.0,0.0,100.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,26.0,1.0,11.0,2.0,1.0,0.0,21.0,31.0,1.0,0.0,2.0,0.0,0.0,Sunday,993005269,21,4,19120.0,3.0,1,0.0,0.333,0.0,0.2501910423578362,0.4307692307692308,0.7873112049786395,-0.0773985518772742,-0.1789418814048697,0.4712643678160919,0.0493319048621389,-0.14705433384058,29.7,20.3,9.3,336.3333333333333,295.6666666666667,-1.0,0.459,0.5,102.0,81.0,2.0,0.11760447218482743,0.46183709195757383,0.5173945511193375,-0.2893348391135325,-0.022951056913654993,0.4850636296853486,0.1331684770458381,-0.11081453334450736,0.07583562408966585,0.0032082933215582046
202510622.0,2025-10-12T13:00:00,1,2025,6,NE,NO,AWAY,25.0,19.0,44.0,Caesars Superdome,14.0,8.0,3.0,0.0,0.0,25.0,29.0,31:44,21.0,5.0,13.0,3.0,56.0,338.0,6.0,2.0,22.0,71.0,3.2,2.0,30.0,22.0,267.0,0.0,0.0,8.9,12.1,73.3,100.28,9.0,3.0,33.3,0.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,93.0,2.0,1.0,4.0,6.0,5.0,2.0,4.0,191.0,47.8,1.0,3.0,2.0,6.0,10.0,0.0,3.0,0.0,34.0,31.0,28:16,25.0,5.0,16.0,4.0,61.0,363.0,6.0,2.0,29.0,118.0,4.1,0.0,31.0,22.0,245.0,2.0,1.0,7.9,11.1,71.0,102.22,9.0,5.0,55.6,0.0,0.0,0.0,4.0,2.0,0.0,0.0,11.0,90.0,2.0,2.0,1.0,8.0,8.0,6.0,2.0,70.0,35.0,3.0,1.0,-2.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,37.0,25.0,1.0,8.0,3.0,1.0,2.0,39.0,11.0,4.0,6.0,1.0,1.0,1.0,Sunday,993005281,21,22,19141.0,6.0,1,2.0,0.333,0.0,0.0688105593840036,0.5194805194805194,0.1734146269089847,-0.150852276518708,0.0196428380235192,0.5121951219512195,0.2119478542421374,-0.3582631949894129,26.3,18.0,8.3,338.0,297.3333333333333,-0.667,0.376,0.6,125.0,101.0,3.0,0.0787472760759376,0.4854246155450974,0.37443025922652956,-0.3020214869268744,-0.040610319705544164,0.501949183156268,0.15084532197908299,-0.20583052843305813,0.0744306111485334,0.006495202261950403
202510734.0,2025-10-19T13:00:00,1,2025,7,NE,TEN,AWAY,31.0,13.0,44.0,Nissan Stadium,3.0,14.0,14.0,0.0,0.0,31.0,44.0,37:12,19.0,5.0,12.0,2.0,58.0,333.0,5.7,3.0,31.0,73.0,2.4,0.0,26.0,18.0,260.0,3.0,0.0,10.0,14.4,69.2,139.9,13.0,6.0,46.2,2.0,1.0,50.0,1.0,0.0,0.0,0.0,11.0,65.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,144.0,48.0,0.0,1.0,1.0,10.0,3.0,0.0,0.0,0.0,28.0,16.0,22:48,17.0,7.0,7.0,3.0,51.0,296.0,5.8,1.0,23.0,73.0,3.2,1.0,26.0,20.0,223.0,0.0,0.0,8.6,11.2,76.9,101.92,9.0,3.0,33.3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,67.0,1.0,1.0,2.0,4.0,4.0,7.0,2.0,70.0,35.0,1.0,0.0,-1.0,0.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,27.0,36.0,2.0,4.0,5.0,0.0,1.0,37.0,13.0,1.0,1.0,2.0,1.0,0.0,Sunday,993005313,21,34,19153.0,18.0,1,1.0,0.462,0.0,0.0925806380232243,0.4875,0.5512003261765789,-0.381451962498357,0.0066098958855892,0.4929577464788732,-0.0606923773568019,-0.0595552092667535,30.0,17.3,12.7,326.0,328.3333333333333,1.0,0.376,0.8,150.0,120.0,4.0,0.13719407992168803,0.47924991674991674,0.503975386021401,-0.2032342636314464,-0.0508963824985871,0.49213907874872814,0.06686246058249146,-0.18829091269891549,0.10284092279234205,-0.008520087366371314
202510821.0,2025-10-26T13:00:00,1,2025,8,NE,CLE,HOME,32.0,13.0,45.0,Gillette Stadium,3.0,6.0,21.0,2.0,0.0,37.0,12.0,36:12,22.0,9.0,13.0,0.0,64.0,387.0,6.0,4.0,36.0,175.0,4.9,1.0,24.0,22.0,212.0,2.0,0.0,8.8,9.6,91.7,131.25,12.0,5.0,41.7,2.0,2.0,100.0,3.0,2.0,0.0,0.0,5.0,36.0,0.0,0.0,4.0,22.0,5.0,6.0,4.0,150.0,37.5,0.0,2.0,2.0,7.0,0.0,0.0,6.0,0.0,22.0,48.0,23:48,16.0,1.0,14.0,1.0,51.0,255.0,5.0,1.0,12.0,39.0,3.2,0.0,34.0,25.0,216.0,1.0,1.0,6.4,8.6,73.5,87.38,10.0,3.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,1.0,1.0,5.0,39.0,4.0,6.0,3.0,122.0,40.7,2.0,0.0,-2.0,66.7,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0,18.0,5.0,39.0,2.0,0.0,1.0,40.0,33.0,4.0,22.0,0.0,0.0,0.0,Sunday,993005348,21,8,19163.0,19.0,1,2.0,0.417,0.0,0.1632467702543049,0.4691358024691358,0.4136999455574916,0.0650145132318497,-0.1310703891380212,0.4776119402985074,-0.2839021644188865,-0.2674717542742236,26.3,17.3,9.0,352.6666666666667,304.6666666666667,1.667,0.404,0.8,181.0,133.0,5.0,0.1082126558871776,0.4920387739832184,0.37943829954768504,-0.1557632419284051,-0.03493921840963759,0.4942549362428667,-0.044215562511183665,-0.22843005284346332,0.0984138473010684,-0.049258290473812895
202510921.0,2025-11-02T13:00:00,1,2025,9,NE,ATL,HOME,24.0,23.0,47.0,Gillette Stadium,7.0,14.0,3.0,0.0,0.0,36.0,12.0,34:05,23.0,10.0,11.0,2.0,65.0,422.0,6.5,3.0,35.0,177.0,5.1,0.0,24.0,18.0,245.0,3.0,1.0,10.2,13.6,75.0,129.34,11.0,3.0,27.3,0.0,0.0,0.0,6.0,2.0,0.0,0.0,7.0,54.0,2.0,1.0,6.0,37.0,2.0,7.0,3.0,124.0,41.3,2.0,2.0,0.0,7.0,7.0,0.0,9.0,0.0,23.0,48.0,25:55,12.0,4.0,7.0,1.0,52.0,213.0,4.1,2.0,16.0,68.0,4.2,0.0,35.0,21.0,145.0,2.0,2.0,4.1,6.9,60.0,64.58,11.0,2.0,18.2,3.0,1.0,33.3,3.0,2.0,0.0,0.0,5.0,31.0,0.0,0.0,1.0,11.0,8.0,11.0,4.0,161.0,40.2,2.0,2.0,0.0,33.3,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,22.0,29.0,1.0,11.0,8.0,0.0,0.0,39.0,26.0,6.0,37.0,3.0,2.0,1.0,Sunday,993005374,21,2,19177.0,1.0,1,0.0,0.273,0.0,-0.008562385525024,0.4880952380952381,0.3050323029383667,-0.1862410835144275,-0.3062783590160893,0.3382352941176471,-0.4600360090634427,0.1002923640854922,29.3,15.0,14.3,380.6666666666667,254.66666666666666,1.0,0.384,1.0,213.0,146.0,6.0,0.08242167425083506,0.48157701352145793,0.42331085822414577,-0.16755951092697827,-0.14357961742284042,0.43626832696500917,-0.2682101836130437,-0.07557819981849496,0.113253324898869,-0.11800757912997435
202511033.0,2025-11-09T13:00:00,1,2025,10,NE,TB,AWAY,28.0,23.0,51.0,Raymond James Stadium,7.0,7.0,7.0,7.0,0.0,34.0,5.0,27:35,23.0,9.0,14.0,0.0,68.0,331.0,4.9,3.0,33.0,110.0,3.3,1.0,29.0,19.0,221.0,2.0,1.0,7.6,11.6,65.5,97.05,12.0,8.0,66.7,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,15.0,2.0,1.0,6.0,38.0,4.0,2.0,3.0,150.0,50.0,2.0,0.0,-2.0,7.0,3.0,6.0,7.0,0.0,25.0,55.0,32:25,17.0,3.0,13.0,1.0,54.0,288.0,5.3,3.0,16.0,71.0,4.4,0.0,37.0,22.0,217.0,3.0,0.0,5.9,9.9,59.5,103.1,10.0,1.0,10.0,3.0,2.0,66.7,3.0,3.0,0.0,0.0,5.0,40.0,1.0,0.0,1.0,4.0,6.0,7.0,5.0,217.0,43.4,0.0,2.0,2.0,75.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,16.0,1.0,4.0,5.0,1.0,0.0,43.0,18.0,6.0,38.0,3.0,2.0,1.0,Sunday,993005399,21,33,19074.0,5.0,1,-2.0,0.667,0.0,0.0221800265033039,0.4567901234567901,0.0188292858972058,0.0047635696432553,0.0161182568618076,0.4383561643835616,0.1182759937291829,-0.1243160724531792,29.0,16.3,12.7,380.0,252.0,0.0,0.452,1.0,237.0,169.0,7.0,0.05895480374419493,0.47134038800705463,0.24585384479768804,-0.0388210002131075,-0.14041016376410095,0.4180677995999053,-0.20855405991771545,-0.0971651542139702,0.06765112172796253,-0.07899555147663889
