gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510122.0,2025-09-07T13:00:00,1,2025,1,NO,ARI,HOME,13.0,20.0,33.0,Caesars Superdome,0.0,10.0,0.0,3.0,0.0,,,26:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,14.0,3.0,0.0,0.0,,,33:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005126,22,1,,-7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510222.0,2025-09-14T13:00:00,1,2025,2,NO,SF,HOME,21.0,26.0,47.0,Caesars Superdome,0.0,7.0,7.0,7.0,0.0,26.0,14.0,29:15,21.0,5.0,12.0,4.0,69.0,315.0,4.6,1.0,22.0,107.0,4.9,1.0,46.0,27.0,208.0,0.0,0.0,4.5,7.7,58.7,69.84,14.0,5.0,35.7,2.0,1.0,50.0,4.0,1.0,0.0,0.0,13.0,89.0,0.0,0.0,1.0,6.0,5.0,7.0,4.0,202.0,50.5,0.0,0.0,0.0,6.0,10.0,3.0,7.0,0.0,33.0,46.0,30:45,19.0,5.0,11.0,3.0,61.0,276.0,4.5,2.0,27.0,146.0,5.4,0.0,29.0,21.0,130.0,2.0,0.0,4.5,6.2,72.4,104.09,13.0,6.0,46.2,0.0,0.0,0.0,3.0,2.0,0.0,0.0,9.0,54.0,0.0,0.0,5.0,33.0,2.0,3.0,4.0,188.0,47.0,0.0,0.0,0.0,25.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,40.0,26.0,5.0,33.0,5.0,0.0,0.0,38.0,33.0,1.0,6.0,10.0,0.0,0.0,Sunday,993005162,22,31,19060.0,-5.0,0,0.0,0.357,0.0,-0.0909473130031967,0.4210526315789473,-0.01403391334745,-0.1570668678627539,0.0160250306607102,0.4444444444444444,0.1315303328874778,-0.0526296751679004,13.0,20.0,-7.0,315.0,276.0,0.0,0.357,0.0,13.0,20.0,0.0,-0.0909473130031967,0.4210526315789473,-0.01403391334745,-0.1570668678627539,0.0160250306607102,0.4444444444444444,0.1315303328874778,-0.0526296751679004,-0.0909473130031967,0.0160250306607102
202510330.0,2025-09-21T16:05:00,1,2025,3,NO,SEA,AWAY,13.0,44.0,57.0,Lumen Field,0.0,6.0,0.0,7.0,0.0,29.0,15.0,32:16,21.0,6.0,12.0,3.0,67.0,307.0,4.6,3.0,30.0,121.0,4.0,0.0,34.0,25.0,186.0,3.0,0.0,5.5,7.4,73.5,115.56,11.0,4.0,36.4,2.0,1.0,50.0,3.0,3.0,0.0,0.0,7.0,45.0,2.0,1.0,3.0,21.0,6.0,7.0,4.0,171.0,42.8,1.0,1.0,0.0,21.0,17.0,6.0,0.0,0.0,30.0,45.0,27:44,23.0,5.0,15.0,3.0,68.0,344.0,5.1,3.0,26.0,77.0,3.0,0.0,39.0,26.0,267.0,3.0,0.0,6.8,10.3,66.7,111.81,15.0,8.0,53.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,40.0,2.0,1.0,3.0,12.0,5.0,7.0,4.0,173.0,43.2,1.0,1.0,0.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,20.0,3.0,12.0,6.0,1.0,1.0,44.0,25.0,3.0,21.0,3.0,2.0,1.0,Sunday,993005202,22,30,19089.0,-31.0,0,0.0,0.364,0.0,-0.0816673332290463,0.4823529411764706,-0.0386703373258223,-0.0732939455580587,0.0273315603263426,0.4712643678160919,0.1967970473347339,-0.1128040537081213,17.0,23.0,-6.0,311.0,310.0,0.0,0.36,0.0,34.0,46.0,0.0,-0.08630732311612149,0.45170278637770894,-0.02635212533663615,-0.1151804067104063,0.0216782954935264,0.4578544061302682,0.16416369011110588,-0.08271686443801085,-0.08630732311612149,0.0216782954935264
202510404.0,2025-09-28T13:00:00,1,2025,4,NO,BUF,AWAY,19.0,31.0,50.0,Highmark Stadium,7.0,3.0,6.0,3.0,0.0,32.0,16.0,28:39,21.0,4.0,12.0,5.0,70.0,284.0,4.1,1.0,27.0,79.0,2.9,0.0,41.0,28.0,205.0,1.0,1.0,5.0,7.3,68.3,77.79,15.0,5.0,33.3,2.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0,77.0,0.0,0.0,2.0,13.0,2.0,3.0,5.0,243.0,48.6,1.0,1.0,0.0,14.0,0.0,7.0,10.0,0.0,27.0,44.0,31:21,22.0,7.0,11.0,4.0,54.0,320.0,5.9,5.0,33.0,87.0,2.6,2.0,21.0,16.0,233.0,2.0,0.0,11.1,14.6,76.2,143.55,9.0,3.0,33.3,0.0,0.0,0.0,5.0,4.0,0.0,0.0,8.0,70.0,1.0,1.0,0.0,0.0,8.0,4.0,2.0,92.0,46.0,1.0,1.0,0.0,33.3,0.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,32.0,32.0,0.0,0.0,2.0,1.0,1.0,48.0,23.0,2.0,13.0,7.0,0.0,0.0,Sunday,993005227,22,4,19110.0,-12.0,0,0.0,0.333,0.0,-0.2395394607181692,0.4242424242424242,0.0006647332436537183,-0.3204097343888133,0.1643441505057494,0.5277777777777778,0.7654291571159629,-0.2800175726413727,15.7,30.0,-14.3,302.0,313.3333333333333,0.0,0.351,0.0,47.0,90.0,0.0,-0.13738470231680408,0.442549332332614,-0.01734650580987286,-0.1835901826032086,0.06923358049760074,0.481162196679438,0.36458551244605825,-0.1484837671724648,-0.13738470231680408,0.06923358049760074
202510522.0,2025-10-05T13:00:00,1,2025,5,NO,NYG,HOME,26.0,14.0,40.0,Caesars Superdome,3.0,13.0,3.0,7.0,0.0,28.0,39.0,28:10,22.0,14.0,7.0,1.0,65.0,298.0,4.6,2.0,34.0,189.0,5.6,1.0,28.0,18.0,109.0,1.0,1.0,3.9,6.1,64.3,68.9,13.0,5.0,38.5,2.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,41.0,1.0,0.0,3.0,17.0,7.0,5.0,3.0,142.0,47.3,1.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,31.0,21.0,31:50,20.0,9.0,10.0,1.0,57.0,356.0,6.2,4.0,32.0,165.0,5.2,2.0,22.0,16.0,191.0,2.0,1.0,8.7,11.9,72.7,110.23,10.0,3.0,30.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,11.0,55.0,0.0,0.0,3.0,18.0,4.0,5.0,2.0,83.0,41.5,1.0,1.0,0.0,50.0,0.0,66.7,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,13.0,3.0,18.0,4.0,0.0,0.0,45.0,15.0,3.0,17.0,2.0,1.0,0.0,Sunday,993005253,22,23,19117.0,12.0,1,0.0,0.385,0.0,-0.027740165248898,0.4875,-0.1960726231810929,0.0370264983039678,0.1240790922130508,0.4736842105263157,0.2508259843222716,0.0686669659787892,17.7,33.7,-16.0,296.3333333333333,340.0,0.0,0.361,0.0,66.0,121.0,0.0,-0.11631565306537117,0.4646984551396316,-0.07802607575442048,-0.11889239388096806,0.1052516010150476,0.4909087853733951,0.40435072959098944,-0.10805155345690161,-0.10997356804982755,0.08294495842646325
202510622.0,2025-10-12T13:00:00,1,2025,6,NO,NE,HOME,19.0,25.0,44.0,Caesars Superdome,6.0,10.0,0.0,3.0,0.0,28.0,10.0,28:16,18.0,5.0,10.0,3.0,62.0,332.0,5.4,2.0,30.0,88.0,2.9,0.0,32.0,22.0,244.0,1.0,0.0,7.6,11.1,68.8,101.56,15.0,7.0,46.7,1.0,1.0,100.0,3.0,0.0,0.0,0.0,7.0,43.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,83.0,41.5,0.0,5.0,5.0,14.0,8.0,3.0,0.0,0.0,31.0,50.0,31:44,23.0,11.0,10.0,2.0,70.0,335.0,4.8,2.0,29.0,136.0,4.7,0.0,40.0,26.0,199.0,2.0,2.0,5.0,7.7,65.0,72.81,10.0,3.0,30.0,5.0,3.0,60.0,4.0,2.0,0.0,0.0,8.0,95.0,3.0,3.0,1.0,3.0,1.0,7.0,2.0,75.0,37.5,5.0,0.0,-5.0,0.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,25.0,1.0,3.0,7.0,2.0,3.0,40.0,19.0,0.0,0.0,3.0,0.0,0.0,Sunday,993005282,22,21,19134.0,-6.0,0,5.0,0.467,0.0,-0.043219339434457,0.4691358024691358,0.4089778490415843,-0.2388704775957776,-0.21047960958842,0.4831460674157303,-0.2499871376858209,-0.3072910059854621,19.3,29.7,-10.3,304.6666666666667,337.0,1.667,0.395,0.2,92.0,135.0,1.0,-0.1034996551338414,0.4602927422371867,0.07118998636804837,-0.17408457122687437,0.025981211043460073,0.49486935190660786,0.25542266791747126,-0.17288053754934854,-0.09662272232675344,0.024260044823486603
202510706.0,2025-10-19T13:00:00,1,2025,7,NO,CHI,AWAY,14.0,26.0,40.0,Soldier Field,0.0,7.0,7.0,0.0,0.0,28.0,16.0,23:41,17.0,7.0,7.0,3.0,51.0,296.0,5.8,1.0,23.0,73.0,3.2,1.0,26.0,20.0,223.0,0.0,0.0,8.6,11.2,76.9,101.92,9.0,3.0,33.3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,67.0,1.0,1.0,2.0,4.0,4.0,7.0,2.0,70.0,35.0,1.0,0.0,-1.0,3.0,17.0,3.0,3.0,0.0,31.0,44.0,36:19,19.0,5.0,12.0,2.0,58.0,333.0,5.7,3.0,31.0,73.0,2.4,0.0,26.0,18.0,260.0,3.0,0.0,10.0,14.4,69.2,139.9,13.0,6.0,46.2,2.0,1.0,50.0,1.0,0.0,0.0,0.0,11.0,65.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,144.0,48.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,37.0,13.0,1.0,1.0,2.0,1.0,0.0,27.0,36.0,2.0,4.0,5.0,0.0,1.0,Sunday,993005309,22,6,19153.0,-12.0,0,-1.0,0.333,0.0,0.0066098958855892,0.4929577464788732,-0.0606923773568019,-0.0595552092667535,0.0925806380232243,0.4875,0.5512003261765789,-0.381451962498357,21.3,23.3,-2.0,308.6666666666667,341.3333333333333,1.333,0.395,0.2,111.0,160.0,1.0,-0.021449869599255267,0.4831978496493363,0.050737616167896495,-0.08713306285285444,0.002060040215951705,0.48144342598068196,0.1840130576043432,-0.20669200083500996,-0.07711128054899627,0.039571166295989425
202510822.0,2025-10-26T16:05:00,1,2025,8,NO,TB,HOME,3.0,23.0,26.0,Caesars Superdome,0.0,3.0,0.0,0.0,0.0,23.0,41.0,27:04,16.0,3.0,9.0,4.0,53.0,253.0,4.8,2.0,17.0,44.0,2.6,0.0,32.0,20.0,209.0,2.0,3.0,6.5,10.4,62.5,63.15,10.0,3.0,30.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,30.0,1.0,1.0,4.0,24.0,5.0,2.0,3.0,127.0,42.3,4.0,1.0,-3.0,0.0,7.0,10.0,6.0,0.0,36.0,19.0,32:56,23.0,13.0,10.0,0.0,67.0,386.0,5.8,2.0,40.0,222.0,5.6,2.0,26.0,15.0,164.0,0.0,1.0,6.3,10.9,57.7,60.42,12.0,3.0,25.0,1.0,1.0,100.0,6.0,2.0,0.0,0.0,10.0,92.0,2.0,0.0,1.0,8.0,7.0,7.0,3.0,129.0,43.0,1.0,4.0,3.0,100.0,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,35.0,32.0,1.0,8.0,5.0,0.0,0.0,33.0,11.0,4.0,24.0,9.0,1.0,1.0,Sunday,993005350,22,33,19158.0,-20.0,0,-3.0,0.3,0.0,-0.231342674380602,0.4285714285714285,-0.1993982881998154,-0.2418150232474813,-0.0100883762699309,0.4431818181818182,0.0372183318829855,0.1038717980574143,19.7,21.7,-2.0,293.6666666666667,351.3333333333333,0.333,0.367,0.2,125.0,186.0,1.0,-0.0893173726431566,0.4635549925064792,0.049629061161655684,-0.18008023670333748,-0.04266244927837553,0.4712759618658495,0.11281050679124784,-0.1949570568088016,-0.10704634877930741,0.03208717897673473
202510932.0,2025-11-02T16:05:00,1,2025,9,NO,LAR,AWAY,10.0,34.0,44.0,SoFi Stadium,0.0,10.0,0.0,0.0,0.0,27.0,4.0,16:07,17.0,4.0,13.0,0.0,71.0,275.0,3.9,0.0,15.0,48.0,3.2,0.0,51.0,32.0,227.0,0.0,2.0,4.5,7.1,62.7,56.58,16.0,8.0,50.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,8.0,40.0,2.0,2.0,5.0,37.0,4.0,2.0,3.0,121.0,40.3,4.0,1.0,-3.0,7.0,13.0,7.0,7.0,0.0,32.0,56.0,43:53,14.0,5.0,8.0,1.0,56.0,212.0,3.8,2.0,29.0,88.0,3.0,1.0,24.0,15.0,124.0,0.0,0.0,5.2,8.3,62.5,75.69,13.0,3.0,23.1,2.0,1.0,50.0,2.0,1.0,0.0,0.0,4.0,25.0,2.0,1.0,3.0,28.0,8.0,5.0,3.0,151.0,50.3,1.0,4.0,3.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,30.0,32.0,3.0,28.0,4.0,2.0,1.0,34.0,30.0,5.0,37.0,7.0,2.0,2.0,Sunday,993005377,22,32,19179.0,-24.0,0,-3.0,0.5,0.0,-0.3981356865137486,0.388235294117647,-0.5213890787718188,-0.2417235082713887,-0.0778750956679107,0.3561643835616438,-0.0655689801463158,-0.2495474269169409,12.0,24.7,-12.7,274.6666666666667,310.3333333333333,-2.333,0.378,0.2,128.0,209.0,1.0,-0.20762282166958712,0.4365881563893163,-0.26049324810947866,-0.1810312469285412,0.0015390553617942355,0.42894873391448735,0.17428322597108284,-0.17570919711929456,-0.13876559393842328,-0.016356670257997297
202511005.0,2025-11-09T13:00:00,1,2025,10,NO,CAR,AWAY,17.0,7.0,24.0,Bank of America Stadium,3.0,7.0,0.0,7.0,0.0,16.0,7.0,33:21,10.0,1.0,8.0,1.0,40.0,224.0,5.6,1.0,14.0,57.0,4.1,0.0,25.0,15.0,167.0,1.0,1.0,6.7,11.1,60.0,76.58,9.0,2.0,22.2,2.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,33.0,1.0,1.0,1.0,9.0,4.0,4.0,4.0,184.0,46.0,2.0,0.0,-2.0,7.0,0.0,0.0,0.0,0.0,43.0,53.0,26:39,30.0,13.0,14.0,3.0,77.0,438.0,5.7,5.0,43.0,171.0,4.0,1.0,32.0,24.0,267.0,4.0,0.0,8.3,11.1,75.0,138.93,14.0,7.0,50.0,2.0,2.0,100.0,5.0,4.0,0.0,0.0,3.0,32.0,0.0,0.0,2.0,14.0,2.0,2.0,2.0,100.0,50.0,0.0,2.0,2.0,33.3,0.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,53.0,2.0,14.0,4.0,0.0,0.0,19.0,19.0,1.0,9.0,5.0,1.0,1.0,Sunday,993005397,22,5,19078.0,10.0,1,-2.0,0.222,0.0,-0.2108981998774926,0.4074074074074074,-0.0017115295385549,-0.8474132314191334,0.1735083761586556,0.5368421052631579,0.4095770441875879,0.2211705734473071,9.0,27.7,-18.7,250.66666666666666,345.3333333333333,-2.667,0.341,0.2,138.0,243.0,1.0,-0.28012552025728105,0.4080713766988276,-0.2408329655033964,-0.4436505876460011,0.02851496807360467,0.44539610233553995,0.12707546530808586,0.025164981529260156,-0.17539720086414218,-0.006470813468876335
