gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202510124.0,2025-09-07T13:00:00,,2025,1,NYJ,PIT,HOME,32.0,34.0,66.0,MetLife Stadium,9.0,10.0,7.0,6.0,0.0,,,34:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,0.0,17.0,0.0,,,25:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005135,24,28,,-2.0,0,,,,,,,,,,,,,,
202510224.0,2025-09-14T13:00:00,1.0,2025,2,NYJ,BUF,HOME,10.0,30.0,40.0,MetLife Stadium,0.0,3.0,0.0,7.0,0.0,34.0,43.0,21:39,23.0,13.0,9.0,1.0,62.0,394.0,6.4,4.0,39.0,182.0,4.7,3.0,22.0,16.0,212.0,1.0,0.0,9.6,13.2,72.7,117.99,14.0,7.0,50.0,2.0,1.0,50.0,4.0,3.0,0.0,0.0,7.0,74.0,1.0,1.0,1.0,6.0,7.0,7.0,2.0,94.0,47.0,1.0,0.0,-1.0,10.0,10.0,3.0,7.0,0.0,25.0,17.0,38:21,19.0,2.0,14.0,3.0,54.0,271.0,5.0,4.0,20.0,53.0,2.6,0.0,30.0,22.0,218.0,4.0,0.0,7.3,9.9,73.3,133.06,10.0,4.0,40.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,26.0,2.0,0.0,4.0,26.0,6.0,6.0,4.0,190.0,47.5,0.0,1.0,1.0,75.0,0.0,100.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,24.0,4.0,26.0,4.0,2.0,0.0,45.0,21.0,1.0,6.0,4.0,1.0,1.0,Sunday,993005165,24,4,19061.0,-20.0,0,-1.0,0.5,0.0,,,,,,,,,32.0,34.0,0.0
202510333.0,2025-09-21T13:00:00,1.0,2025,3,NYJ,TB,AWAY,27.0,29.0,56.0,Raymond James Stadium,3.0,3.0,0.0,21.0,0.0,21.0,39.0,27:49,11.0,5.0,5.0,1.0,47.0,154.0,3.3,1.0,21.0,100.0,4.8,0.0,22.0,10.0,54.0,1.0,0.0,2.5,5.4,45.5,67.61,11.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,0.0,5.0,35.0,3.0,1.0,4.0,29.0,2.0,4.0,7.0,340.0,48.6,1.0,0.0,-1.0,3.0,17.0,3.0,6.0,0.0,38.0,21.0,32:11,25.0,12.0,9.0,4.0,71.0,403.0,5.7,3.0,43.0,224.0,5.2,3.0,27.0,15.0,179.0,0.0,0.0,6.6,11.9,55.6,76.0,14.0,5.0,35.7,2.0,2.0,100.0,4.0,2.0,0.0,0.0,6.0,69.0,1.0,0.0,1.0,1.0,7.0,5.0,3.0,130.0,43.3,0.0,1.0,1.0,100.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,38.0,32.0,1.0,1.0,6.0,1.0,0.0,28.0,16.0,4.0,29.0,4.0,3.0,1.0,Sunday,993005187,24,33,19090.0,-2.0,0,-1.0,0.0,0.0,,,,,,,,,42.0,64.0,0.0
202510419.0,2025-09-29T19:15:00,1.0,2025,4,NYJ,MIA,AWAY,21.0,27.0,48.0,Hard Rock Stadium,0.0,3.0,7.0,11.0,0.0,27.0,49.0,29:12,21.0,5.0,13.0,3.0,63.0,267.0,4.2,3.0,23.0,99.0,4.3,0.0,36.0,26.0,168.0,2.0,1.0,4.7,6.5,72.2,88.66,11.0,3.0,27.3,3.0,1.0,33.3,3.0,2.0,0.0,0.0,7.0,81.0,1.0,1.0,4.0,29.0,2.0,7.0,2.0,97.0,48.5,2.0,0.0,-2.0,3.0,7.0,14.0,3.0,0.0,32.0,11.0,30:48,19.0,4.0,12.0,3.0,64.0,347.0,5.4,2.0,34.0,122.0,3.6,0.0,29.0,19.0,225.0,1.0,0.0,7.8,11.8,65.5,100.5,13.0,4.0,30.8,0.0,0.0,0.0,5.0,1.0,0.0,0.0,14.0,124.0,1.0,0.0,1.0,8.0,10.0,9.0,4.0,162.0,40.5,0.0,2.0,2.0,66.7,0.0,20.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,39.0,35.0,1.0,8.0,2.0,1.0,0.0,40.0,18.0,4.0,29.0,4.0,1.0,1.0,Monday,993005241,24,19,19106.0,-6.0,0,-2.0,0.273,0.0,23.0,31.0,-8.0,271.6666666666667,340.3333333333333,-1.333,0.258,,69.0,93.0,0.0
202510524.0,2025-10-05T13:00:00,1.0,2025,5,NYJ,DAL,HOME,22.0,37.0,59.0,MetLife Stadium,3.0,0.0,3.0,16.0,0.0,29.0,12.0,34:36,23.0,9.0,12.0,2.0,57.0,404.0,7.1,2.0,28.0,197.0,7.0,1.0,27.0,20.0,207.0,1.0,0.0,7.7,10.4,74.1,108.1,9.0,4.0,44.4,2.0,1.0,50.0,2.0,0.0,0.0,0.0,13.0,101.0,3.0,3.0,2.0,19.0,0.0,2.0,2.0,84.0,42.0,3.0,0.0,-3.0,3.0,20.0,7.0,7.0,0.0,30.0,48.0,25:24,19.0,5.0,12.0,2.0,56.0,300.0,5.4,3.0,31.0,123.0,4.0,1.0,25.0,17.0,177.0,2.0,0.0,7.1,10.4,68.0,114.92,12.0,4.0,33.3,1.0,1.0,100.0,4.0,3.0,0.0,0.0,6.0,40.0,2.0,0.0,0.0,0.0,3.0,5.0,4.0,192.0,48.0,0.0,3.0,3.0,0.0,0.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,31.0,0.0,0.0,3.0,1.0,0.0,38.0,18.0,2.0,19.0,3.0,2.0,3.0,Sunday,993005260,24,9,19128.0,-15.0,0,-3.0,0.444,0.0,19.3,28.7,-9.3,275.0,350.0,-2.0,0.239,,90.0,120.0,0.0
202510624.0,2025-10-12T09:30:00,1.0,2025,6,NYJ,DEN,HOME,11.0,13.0,24.0,Tottenham Hotspur Stadium,6.0,0.0,5.0,0.0,0.0,34.0,36.0,28:52,25.0,9.0,14.0,2.0,73.0,378.0,5.2,2.0,22.0,144.0,6.5,0.0,46.0,32.0,234.0,2.0,0.0,5.1,7.3,69.6,95.74,16.0,7.0,43.8,3.0,1.0,33.3,3.0,2.0,0.0,0.0,10.0,61.0,1.0,1.0,5.0,49.0,3.0,3.0,4.0,176.0,44.0,1.0,0.0,-1.0,10.0,0.0,0.0,3.0,0.0,25.0,24.0,31:08,22.0,9.0,12.0,1.0,59.0,416.0,7.1,5.0,29.0,180.0,6.2,1.0,29.0,18.0,236.0,4.0,0.0,8.1,13.1,62.1,127.3,13.0,6.0,46.2,0.0,0.0,0.0,4.0,3.0,0.0,0.0,11.0,91.0,0.0,0.0,1.0,1.0,14.0,6.0,5.0,228.0,45.6,0.0,1.0,1.0,66.7,0.0,75.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,17.0,1.0,1.0,4.0,0.0,0.0,38.0,35.0,5.0,49.0,3.0,1.0,1.0,Sunday,993005276,24,10,19135.0,-2.0,0,-1.0,0.438,0.0,23.3,31.0,-7.7,349.6666666666667,354.3333333333333,-2.0,0.385,0.0,112.0,157.0,0.0
202510724.0,2025-10-19T13:00:00,1.0,2025,7,NYJ,CAR,HOME,6.0,13.0,19.0,MetLife Stadium,0.0,3.0,0.0,3.0,0.0,28.0,52.0,24:55,8.0,6.0,2.0,0.0,57.0,82.0,1.4,0.0,31.0,92.0,3.0,0.0,17.0,9.0,-10.0,0.0,0.0,-0.6,-1.1,52.9,58.7,15.0,2.0,13.3,2.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,15.0,1.0,0.0,9.0,55.0,3.0,3.0,7.0,355.0,50.7,0.0,1.0,1.0,3.0,7.0,3.0,0.0,0.0,31.0,8.0,35:05,12.0,3.0,9.0,0.0,57.0,246.0,4.3,1.0,26.0,78.0,3.0,0.0,30.0,19.0,168.0,1.0,0.0,5.6,8.8,63.3,89.31,15.0,5.0,33.3,1.0,1.0,100.0,2.0,1.0,0.0,0.0,6.0,37.0,2.0,1.0,1.0,6.0,15.0,7.0,6.0,291.0,48.5,1.0,0.0,-1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,31.0,1.0,6.0,2.0,2.0,1.0,36.0,27.0,9.0,55.0,4.0,0.0,0.0,Sunday,993005312,24,5,19048.0,-7.0,0,1.0,0.133,0.0,18.0,25.7,-7.7,288.0,320.6666666666667,-1.0,0.338,0.0,123.0,170.0,0.0
202510807.0,2025-10-26T13:00:00,1.0,2025,8,NYJ,CIN,AWAY,39.0,38.0,77.0,Paycor Stadium,0.0,13.0,3.0,23.0,0.0,24.0,55.0,33:40,12.0,3.0,8.0,1.0,60.0,220.0,3.7,0.0,20.0,81.0,4.0,0.0,34.0,16.0,139.0,0.0,2.0,4.1,8.7,47.1,33.82,15.0,7.0,46.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,26.0,0.0,0.0,6.0,33.0,7.0,6.0,5.0,243.0,48.6,2.0,0.0,-2.0,10.0,14.0,7.0,7.0,0.0,35.0,5.0,26:20,17.0,7.0,10.0,0.0,70.0,302.0,4.3,1.0,36.0,125.0,3.5,0.0,32.0,19.0,177.0,1.0,0.0,5.5,9.3,59.4,85.03,17.0,5.0,29.4,4.0,3.0,75.0,3.0,1.0,0.0,0.0,6.0,45.0,1.0,0.0,2.0,21.0,11.0,3.0,6.0,276.0,46.0,0.0,2.0,2.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,29.0,2.0,21.0,7.0,0.0,0.0,28.0,25.0,6.0,33.0,9.0,0.0,0.0,Sunday,993005335,24,7,19162.0,1.0,1,-2.0,0.467,0.0,13.0,21.0,-8.0,226.66666666666666,321.3333333333333,-0.667,0.346,0.0,129.0,183.0,0.0
202511024.0,2025-11-09T13:00:00,1.0,2025,10,NYJ,CLE,HOME,27.0,20.0,47.0,MetLife Stadium,14.0,3.0,0.0,10.0,0.0,33.0,40.0,25:56,25.0,11.0,13.0,1.0,70.0,502.0,7.2,4.0,37.0,254.0,6.9,2.0,33.0,22.0,248.0,2.0,0.0,7.5,11.3,66.7,109.15,15.0,7.0,46.7,3.0,2.0,66.7,5.0,3.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,81.0,40.5,0.0,0.0,0.0,7.0,10.0,0.0,3.0,0.0,26.0,20.0,34:04,24.0,12.0,11.0,1.0,58.0,398.0,6.9,5.0,23.0,181.0,7.9,3.0,34.0,21.0,217.0,2.0,0.0,6.4,10.3,61.8,99.75,9.0,4.0,44.4,1.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,15.0,0.0,0.0,1.0,6.0,1.0,3.0,3.0,174.0,58.0,0.0,0.0,0.0,60.0,0.0,75.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,26.0,1.0,6.0,7.0,0.0,0.0,38.0,33.0,0.0,0.0,4.0,0.0,0.0,Sunday,993005394,24,8,19175.0,7.0,1,0.0,0.467,0.0,18.7,21.3,-2.7,268.0,315.3333333333333,-0.333,0.356,0.2,168.0,221.0,1.0
202511121.0,2025-11-13T20:15:00,1.0,2025,11,NYJ,NE,AWAY,14.0,27.0,41.0,Gillette Stadium,7.0,0.0,7.0,0.0,0.0,25.0,56.0,28:04,12.0,8.0,1.0,3.0,47.0,169.0,3.6,3.0,33.0,127.0,3.8,0.0,11.0,6.0,42.0,1.0,1.0,3.8,7.0,54.5,55.87,11.0,3.0,27.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,61.0,0.0,0.0,3.0,12.0,7.0,10.0,5.0,249.0,49.8,1.0,0.0,-1.0,0.0,14.0,7.0,6.0,0.0,34.0,4.0,31:56,23.0,10.0,8.0,5.0,70.0,278.0,4.0,2.0,32.0,158.0,4.9,0.0,32.0,17.0,120.0,2.0,0.0,3.8,7.1,53.1,82.81,16.0,6.0,37.5,1.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,78.0,0.0,0.0,6.0,47.0,8.0,10.0,7.0,351.0,50.1,0.0,1.0,1.0,0.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,43.0,22.0,6.0,47.0,3.0,0.0,0.0,29.0,23.0,3.0,12.0,5.0,0.0,0.0,Thursday,993005415,24,21,19190.0,-13.0,0,-1.0,0.273,0.0,24.0,23.7,0.3,297.0,326.0,-1.0,0.402,0.4,195.0,241.0,2.0
