gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202510124.0,2025-09-07T13:00:00,,2025,1,PIT,NYJ,AWAY,34.0,32.0,66.0,MetLife Stadium,7.0,10.0,0.0,17.0,0.0,,,25:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,7.0,6.0,0.0,,,34:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005133,28,24,,2.0,1,,,,,,,,,,,,,,
202510228.0,2025-09-14T13:00:00,1.0,2025,2,PIT,SEA,HOME,17.0,31.0,48.0,Acrisure Stadium,6.0,8.0,0.0,3.0,0.0,25.0,17.0,28:43,19.0,2.0,14.0,3.0,54.0,271.0,5.0,4.0,20.0,53.0,2.6,0.0,30.0,22.0,218.0,4.0,0.0,7.3,9.9,73.3,133.06,10.0,4.0,40.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,26.0,2.0,0.0,4.0,26.0,6.0,6.0,4.0,190.0,47.5,0.0,1.0,1.0,7.0,0.0,7.0,17.0,0.0,34.0,43.0,31:17,23.0,13.0,9.0,1.0,62.0,394.0,6.4,4.0,39.0,182.0,4.7,3.0,22.0,16.0,212.0,1.0,0.0,9.6,13.2,72.7,117.99,14.0,7.0,50.0,2.0,1.0,50.0,4.0,3.0,0.0,0.0,7.0,74.0,1.0,1.0,1.0,6.0,7.0,7.0,2.0,94.0,47.0,1.0,0.0,-1.0,100.0,0.0,75.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,45.0,21.0,1.0,6.0,4.0,1.0,1.0,31.0,24.0,4.0,26.0,4.0,2.0,0.0,Sunday,993005160,28,30,19061.0,-14.0,0,1.0,0.4,0.0,,,,,,,,,34.0,32.0,1.0
202510321.0,2025-09-21T13:00:00,1.0,2025,3,PIT,NE,AWAY,21.0,14.0,35.0,Gillette Stadium,7.0,7.0,0.0,7.0,0.0,28.0,43.0,26:40,13.0,6.0,6.0,1.0,59.0,267.0,4.5,1.0,21.0,72.0,3.4,0.0,35.0,20.0,195.0,1.0,2.0,5.6,9.8,57.1,58.63,15.0,5.0,33.3,2.0,1.0,50.0,2.0,1.0,0.0,0.0,2.0,15.0,1.0,0.0,3.0,20.0,8.0,6.0,4.0,221.0,55.2,2.0,2.0,0.0,0.0,7.0,0.0,7.0,0.0,31.0,17.0,33:20,21.0,8.0,13.0,0.0,64.0,395.0,6.2,5.0,29.0,117.0,4.0,1.0,33.0,22.0,278.0,2.0,2.0,8.4,12.6,66.7,87.69,14.0,6.0,42.9,2.0,1.0,50.0,3.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,17.0,8.0,2.0,4.0,175.0,43.8,2.0,2.0,0.0,50.0,0.0,66.7,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,42.0,24.0,2.0,17.0,6.0,0.0,0.0,39.0,22.0,3.0,20.0,5.0,0.0,1.0,Sunday,993005183,28,21,19091.0,7.0,1,0.0,0.333,0.0,,,,,,,,,51.0,63.0,1.0
202510428.0,2025-09-28T09:30:00,1.0,2025,4,PIT,MIN,HOME,24.0,21.0,45.0,Croke Park,7.0,7.0,7.0,3.0,0.0,26.0,40.0,26:26,17.0,7.0,5.0,5.0,49.0,203.0,4.1,3.0,26.0,64.0,2.5,1.0,23.0,16.0,139.0,2.0,1.0,6.0,8.7,69.6,96.11,9.0,4.0,44.4,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,59.0,1.0,0.0,0.0,0.0,8.0,6.0,4.0,169.0,42.2,1.0,5.0,4.0,3.0,3.0,0.0,15.0,0.0,33.0,20.0,33:34,26.0,10.0,13.0,3.0,71.0,369.0,5.2,2.0,29.0,119.0,4.1,0.0,37.0,28.0,250.0,2.0,1.0,6.8,8.9,75.7,100.06,13.0,6.0,46.2,5.0,4.0,80.0,4.0,2.0,0.0,0.0,7.0,54.0,4.0,4.0,5.0,18.0,3.0,6.0,1.0,59.0,59.0,5.0,1.0,-4.0,100.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,31.0,5.0,18.0,5.0,4.0,4.0,30.0,21.0,0.0,0.0,1.0,1.0,0.0,Sunday,993005216,28,20,19104.0,3.0,1,4.0,0.444,0.0,24.0,25.7,-1.7,247.0,386.0,1.667,0.393,,72.0,77.0,2.0
202510628.0,2025-10-12T13:00:00,1.0,2025,6,PIT,CLE,HOME,23.0,9.0,32.0,Acrisure Stadium,3.0,6.0,7.0,7.0,0.0,26.0,26.0,31:52,19.0,11.0,6.0,2.0,53.0,313.0,5.9,3.0,29.0,131.0,4.5,2.0,22.0,18.0,182.0,1.0,0.0,8.3,10.1,81.8,116.29,10.0,4.0,40.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,35.0,1.0,0.0,2.0,18.0,14.0,0.0,3.0,146.0,48.7,0.0,2.0,2.0,0.0,3.0,3.0,3.0,0.0,33.0,34.0,28:08,23.0,6.0,15.0,2.0,72.0,372.0,5.2,2.0,20.0,70.0,3.5,0.0,46.0,30.0,302.0,2.0,2.0,6.6,10.1,65.2,80.16,14.0,4.0,28.6,3.0,2.0,66.7,4.0,2.0,0.0,0.0,8.0,82.0,2.0,0.0,6.0,48.0,3.0,0.0,3.0,136.0,45.3,2.0,0.0,-2.0,40.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,42.0,24.0,6.0,48.0,8.0,2.0,0.0,31.0,28.0,2.0,18.0,0.0,1.0,0.0,Sunday,993005288,28,8,19047.0,14.0,1,2.0,0.4,0.0,20.7,22.0,-1.3,261.0,378.6666666666667,2.0,0.393,,96.0,98.0,3.0
202510707.0,2025-10-16T20:15:00,1.0,2025,7,PIT,CIN,AWAY,31.0,33.0,64.0,Paycor Stadium,7.0,3.0,7.0,14.0,0.0,31.0,52.0,25:28,19.0,7.0,11.0,1.0,58.0,335.0,5.8,2.0,28.0,100.0,3.6,0.0,30.0,21.0,235.0,2.0,0.0,7.8,11.2,70.0,115.28,13.0,5.0,38.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,59.0,1.0,0.0,0.0,0.0,17.0,6.0,2.0,84.0,42.0,0.0,0.0,0.0,0.0,17.0,3.0,13.0,0.0,28.0,8.0,34:32,20.0,6.0,10.0,4.0,75.0,248.0,3.3,0.0,17.0,65.0,3.8,0.0,52.0,29.0,183.0,0.0,0.0,3.5,6.3,55.8,63.22,17.0,6.0,35.3,4.0,2.0,50.0,3.0,0.0,0.0,0.0,6.0,44.0,0.0,0.0,6.0,38.0,3.0,6.0,4.0,198.0,49.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,32.0,40.0,6.0,38.0,8.0,0.0,0.0,33.0,26.0,0.0,0.0,3.0,1.0,0.0,Thursday,993005303,28,7,19149.0,-2.0,0,0.0,0.385,0.0,22.7,14.7,8.0,283.6666666666667,329.6666666666667,2.0,0.41,0.8,119.0,107.0,4.0
202510828.0,2025-10-26T20:20:00,1.0,2025,8,PIT,GB,HOME,25.0,35.0,60.0,Acrisure Stadium,3.0,13.0,3.0,6.0,0.0,25.0,28.0,28:12,19.0,7.0,12.0,0.0,54.0,396.0,7.3,4.0,20.0,147.0,7.4,0.0,34.0,23.0,249.0,4.0,2.0,7.3,10.8,67.6,103.68,10.0,7.0,70.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,59.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,84.0,42.0,2.0,0.0,-2.0,7.0,0.0,7.0,21.0,0.0,34.0,32.0,31:48,27.0,8.0,16.0,3.0,72.0,470.0,6.5,3.0,23.0,142.0,6.2,0.0,47.0,31.0,328.0,3.0,0.0,7.0,10.6,66.0,107.4,14.0,7.0,50.0,1.0,1.0,100.0,5.0,2.0,0.0,0.0,4.0,35.0,0.0,0.0,2.0,14.0,2.0,2.0,3.0,135.0,45.0,0.0,2.0,2.0,75.0,0.0,40.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,38.0,24.0,2.0,14.0,6.0,0.0,0.0,29.0,20.0,0.0,0.0,6.0,0.0,0.0,Sunday,993005356,28,12,19157.0,-10.0,0,-2.0,0.7,0.0,26.0,21.0,5.0,348.0,363.3333333333333,0.0,0.495,0.6,150.0,140.0,4.0
202510928.0,2025-11-02T13:00:00,1.0,2025,9,PIT,IND,HOME,27.0,20.0,47.0,Acrisure Stadium,0.0,17.0,0.0,10.0,0.0,28.0,12.0,28:05,16.0,4.0,10.0,2.0,57.0,295.0,5.2,2.0,18.0,93.0,5.2,0.0,36.0,24.0,202.0,2.0,0.0,5.6,8.4,66.7,99.54,10.0,1.0,10.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,6.0,65.0,1.0,1.0,3.0,17.0,5.0,1.0,4.0,194.0,48.5,1.0,0.0,-1.0,7.0,0.0,0.0,13.0,0.0,31.0,48.0,31:55,22.0,5.0,16.0,1.0,63.0,454.0,7.2,4.0,26.0,94.0,3.6,1.0,37.0,29.0,360.0,3.0,0.0,9.7,12.4,78.4,134.23,12.0,5.0,41.7,1.0,1.0,100.0,5.0,3.0,0.0,0.0,5.0,47.0,2.0,0.0,0.0,0.0,5.0,5.0,3.0,152.0,50.7,0.0,1.0,1.0,100.0,0.0,60.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,35.0,29.0,0.0,0.0,1.0,1.0,0.0,35.0,14.0,3.0,17.0,5.0,1.0,1.0,Sunday,993005364,28,14,19182.0,7.0,1,-1.0,0.1,0.0,26.3,25.7,0.7,342.0,390.6666666666667,-1.0,0.395,0.6,175.0,175.0,4.0
202511029.0,2025-11-09T20:20:00,1.0,2025,10,PIT,LAC,AWAY,10.0,25.0,35.0,SoFi Stadium,3.0,0.0,0.0,7.0,0.0,28.0,5.0,22:25,17.0,5.0,10.0,2.0,61.0,225.0,3.7,3.0,23.0,38.0,1.7,2.0,35.0,25.0,187.0,1.0,0.0,5.3,7.5,71.4,93.39,12.0,4.0,33.3,2.0,1.0,50.0,6.0,3.0,0.0,0.0,8.0,46.0,1.0,1.0,3.0,16.0,6.0,5.0,5.0,252.0,50.4,1.0,6.0,5.0,2.0,10.0,3.0,10.0,0.0,31.0,55.0,37:35,26.0,6.0,17.0,3.0,74.0,368.0,5.0,2.0,19.0,55.0,2.9,1.0,50.0,31.0,313.0,1.0,3.0,6.3,10.1,62.0,61.5,14.0,6.0,42.9,5.0,5.0,100.0,2.0,2.0,0.0,0.0,5.0,53.0,4.0,3.0,5.0,29.0,4.0,6.0,2.0,110.0,55.0,6.0,1.0,-5.0,50.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,38.0,28.0,5.0,29.0,13.0,3.0,3.0,30.0,32.0,3.0,16.0,3.0,1.0,1.0,Sunday,993005411,28,29,19076.0,-15.0,0,5.0,0.333,0.0,27.7,29.3,-1.7,305.3333333333333,430.6666666666667,0.667,0.378,0.6,202.0,195.0,5.0
202511128.0,2025-11-16T13:00:00,1.0,2025,11,PIT,CIN,HOME,34.0,12.0,46.0,Acrisure Stadium,7.0,3.0,10.0,14.0,0.0,22.0,25.0,30:05,11.0,4.0,6.0,1.0,50.0,221.0,4.4,1.0,16.0,73.0,4.6,0.0,31.0,16.0,148.0,1.0,2.0,4.8,9.2,51.6,48.86,11.0,2.0,18.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,29.0,2.0,1.0,3.0,13.0,9.0,11.0,4.0,183.0,45.8,3.0,0.0,-3.0,6.0,0.0,3.0,3.0,0.0,37.0,35.0,29:55,18.0,11.0,7.0,0.0,69.0,314.0,4.6,2.0,31.0,115.0,3.7,1.0,33.0,20.0,199.0,1.0,0.0,6.0,10.0,60.6,87.82,17.0,6.0,35.3,1.0,1.0,100.0,3.0,2.0,0.0,0.0,8.0,55.0,0.0,0.0,5.0,21.0,5.0,4.0,6.0,263.0,43.8,0.0,3.0,3.0,0.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,31.0,44.0,5.0,21.0,5.0,0.0,0.0,26.0,17.0,3.0,13.0,5.0,1.0,1.0,Sunday,993005424,28,7,19195.0,22.0,1,-3.0,0.182,0.0,20.7,26.7,-6.0,247.0,378.6666666666667,0.333,0.205,0.4,212.0,220.0,5.0
