gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210101.0,2022-09-11T16:25:00,1,2022,1,ARI,KC,HOME,21.0,44.0,65.0,State Farm Stadium,0.0,7.0,0.0,14.0,0.0,,,25:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,9.0,14.0,7.0,0.0,,,34:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003132,1,16,,-23.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210225.0,2022-09-18T16:25:00,1,2022,2,ARI,LV,AWAY,29.0,23.0,52.0,Allegiant Stadium,0.0,0.0,7.0,16.0,6.0,25.0,18.0,36:22,18.0,6.0,12.0,0.0,63.0,282.0,4.5,3.0,22.0,103.0,4.7,1.0,38.0,24.0,179.0,2.0,0.0,4.7,7.5,63.2,91.89,12.0,3.0,25.0,4.0,3.0,75.0,3.0,3.0,0.0,0.0,5.0,49.0,3.0,0.0,3.0,26.0,6.0,3.0,5.0,255.0,51.0,0.0,1.0,1.0,7.0,13.0,3.0,0.0,0.0,34.0,42.0,29:47,33.0,7.0,22.0,4.0,66.0,488.0,7.4,6.0,27.0,128.0,4.7,1.0,39.0,30.0,360.0,5.0,0.0,9.2,12.0,76.9,144.23,8.0,5.0,62.5,1.0,1.0,100.0,6.0,6.0,0.0,0.0,3.0,25.0,5.0,1.0,0.0,0.0,6.0,4.0,2.0,108.0,54.0,1.0,0.0,-1.0,100.0,0.0,100.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,18.0,0.0,0.0,2.0,3.0,1.0,40.0,10.0,3.0,26.0,7.0,1.0,0.0,Sunday,993003161,1,25,18018.0,6.0,1,1.0,0.25,0.0,0.0116993806285923,0.3780487804878049,0.0253498577633063,-0.0397204593173228,0.365710862561331,0.5903614457831325,0.6984040436798679,-0.010893305558756,21.0,44.0,-23.0,282.0,488.0,1.0,0.25,0.0,21.0,44.0,0.0,0.0116993806285923,0.3780487804878049,0.0253498577633063,-0.0397204593173228,0.365710862561331,0.5903614457831325,0.6984040436798679,-0.010893305558756,0.0116993806285923,0.365710862561331
202210301.0,2022-09-25T16:25:00,1,2022,3,ARI,LAR,HOME,12.0,20.0,32.0,State Farm Stadium,0.0,6.0,3.0,3.0,0.0,36.0,22.0,33:56,28.0,11.0,13.0,4.0,78.0,413.0,5.3,4.0,28.0,143.0,5.1,2.0,49.0,31.0,270.0,1.0,1.0,5.5,8.7,63.3,76.06,13.0,3.0,23.1,5.0,3.0,60.0,4.0,3.0,0.0,0.0,12.0,120.0,0.0,0.0,1.0,7.0,5.0,3.0,3.0,136.0,45.3,1.0,1.0,0.0,10.0,3.0,7.0,0.0,0.0,29.0,47.0,26:04,20.0,4.0,14.0,2.0,61.0,324.0,5.3,2.0,21.0,80.0,3.8,0.0,39.0,25.0,244.0,2.0,0.0,6.3,9.8,64.1,98.66,11.0,6.0,54.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,10.0,68.0,2.0,1.0,1.0,8.0,5.0,1.0,3.0,161.0,53.7,1.0,1.0,0.0,75.0,0.0,50.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,35.0,22.0,1.0,8.0,4.0,2.0,1.0,41.0,33.0,1.0,7.0,7.0,0.0,0.0,Sunday,993003198,1,32,18030.0,-8.0,0,0.0,0.231,0.0,0.0373770667324647,0.47,0.0519366980916582,0.1345808781225101,-0.0229227635185548,0.4634146341463415,0.0089599338464669,-0.1574784645851215,25.0,33.5,-8.5,347.5,406.0,0.5,0.24,0.5,50.0,67.0,1.0,0.0245382236805285,0.4240243902439024,0.03864327792748225,0.047430209402593654,0.1713940495213881,0.526888039964737,0.35368198876316737,-0.08418588507193875,0.0245382236805285,0.1713940495213881
202210405.0,2022-10-02T16:05:00,1,2022,4,ARI,CAR,AWAY,26.0,16.0,42.0,Bank of America Stadium,0.0,3.0,7.0,16.0,0.0,33.0,56.0,38:35,23.0,8.0,15.0,0.0,81.0,365.0,4.5,0.0,21.0,70.0,3.3,0.0,58.0,37.0,295.0,0.0,0.0,5.1,8.0,63.8,76.44,18.0,6.0,33.3,5.0,4.0,80.0,2.0,0.0,0.0,0.0,6.0,50.0,1.0,0.0,2.0,19.0,5.0,3.0,4.0,160.0,40.0,0.0,1.0,1.0,0.0,10.0,0.0,6.0,0.0,26.0,4.0,21:25,15.0,5.0,10.0,0.0,46.0,339.0,7.4,2.0,20.0,100.0,5.0,2.0,25.0,18.0,239.0,0.0,0.0,9.6,13.3,72.0,101.92,8.0,3.0,37.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,35.0,1.0,1.0,1.0,10.0,5.0,5.0,3.0,135.0,45.0,1.0,0.0,-1.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,16.0,1.0,10.0,0.0,1.0,1.0,55.0,16.0,2.0,19.0,3.0,0.0,0.0,Sunday,993003227,1,5,18059.0,10.0,1,1.0,0.333,0.0,-0.0774381541825757,0.3737373737373737,-0.1102472569665319,0.104732304882782,0.0658116854321729,0.453125,0.4056915716533633,-0.1694792926795536,20.7,29.0,-8.3,353.3333333333333,383.6666666666667,0.667,0.271,0.333,62.0,87.0,1.0,-0.009453902273839567,0.4072620514083929,-0.010986900370522468,0.06653090789598977,0.13619992815831636,0.5023003599764914,0.3710185163932327,-0.11261702094114372,-0.009453902273839567,0.13619992815831636
202210501.0,2022-10-09T16:25:00,1,2022,5,ARI,PHI,HOME,17.0,20.0,37.0,State Farm Stadium,0.0,10.0,0.0,7.0,0.0,38.0,35.0,25:21,20.0,8.0,10.0,2.0,70.0,338.0,4.8,3.0,37.0,132.0,3.6,1.0,32.0,23.0,206.0,2.0,1.0,6.4,9.0,71.9,96.61,15.0,6.0,40.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,61.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,170.0,56.7,1.0,3.0,2.0,7.0,7.0,3.0,3.0,0.0,21.0,25.0,34:39,11.0,3.0,8.0,0.0,51.0,220.0,4.3,2.0,13.0,40.0,3.1,0.0,36.0,22.0,180.0,1.0,2.0,5.0,8.2,61.1,59.95,10.0,2.0,20.0,3.0,1.0,33.3,1.0,1.0,0.0,0.0,6.0,76.0,4.0,1.0,2.0,17.0,1.0,5.0,4.0,209.0,52.2,3.0,1.0,-2.0,40.0,0.0,100.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,25.0,22.0,2.0,17.0,8.0,1.0,1.0,41.0,29.0,1.0,1.0,3.0,1.0,1.0,Sunday,993003264,1,26,18271.0,-3.0,0,2.0,0.4,0.0,-0.0708560630627654,0.4382022471910112,0.0013618941230726,-0.1537015870245258,-0.3263297223121669,0.4090909090909091,-0.3427133523472827,-0.857205999468883,22.3,19.7,2.7,372.0,294.3333333333333,1.0,0.321,0.5,88.0,103.0,2.0,-0.03697238350429213,0.4273132069761283,-0.018982888250600367,0.028537198660255437,-0.09448026679951627,0.4418768477457502,0.02397938438418251,-0.39472125224451937,-0.024804442471071025,0.020567515540695552
202210630.0,2022-10-16T16:05:00,1,2022,6,ARI,SEA,AWAY,9.0,19.0,28.0,Lumen Field,3.0,0.0,6.0,0.0,0.0,25.0,21.0,30:44,23.0,7.0,16.0,0.0,69.0,363.0,5.3,2.0,26.0,124.0,4.8,1.0,42.0,28.0,239.0,1.0,1.0,5.7,8.5,66.7,79.37,14.0,8.0,57.1,1.0,1.0,100.0,2.0,1.0,0.0,0.0,2.0,15.0,0.0,0.0,1.0,11.0,6.0,6.0,4.0,196.0,49.0,1.0,0.0,-1.0,3.0,6.0,3.0,7.0,0.0,34.0,39.0,29:16,24.0,12.0,12.0,0.0,71.0,357.0,5.0,2.0,33.0,139.0,4.2,2.0,36.0,26.0,218.0,0.0,0.0,6.1,8.4,72.2,87.5,13.0,6.0,46.2,1.0,1.0,100.0,4.0,2.0,0.0,0.0,3.0,30.0,1.0,0.0,2.0,21.0,2.0,8.0,4.0,188.0,47.0,0.0,1.0,1.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,46.0,31.0,2.0,21.0,4.0,0.0,0.0,47.0,13.0,1.0,11.0,3.0,0.0,0.0,Sunday,993003289,1,30,18176.0,-10.0,0,-1.0,0.571,0.0,0.0151613887024239,0.4235294117647059,0.1655451769360374,-0.0510392735797303,0.0998954326429423,0.5529411764705883,0.1247531187528214,0.0885232561568339,18.3,18.7,-0.3,355.3333333333333,305.3333333333333,0.667,0.435,0.4,105.0,123.0,2.0,-0.04437760951430573,0.41182301089769696,0.018886604697526038,-0.03333618524049136,-0.05354086807901722,0.47171902852049913,0.06257711268630067,-0.3127206786638676,-0.01681127623637204,0.036433098961144904
202210701.0,2022-10-20T20:15:00,1,2022,7,ARI,NO,HOME,42.0,34.0,76.0,State Farm Stadium,3.0,25.0,7.0,7.0,0.0,30.0,44.0,30:58,15.0,5.0,10.0,0.0,71.0,315.0,4.4,1.0,28.0,144.0,5.1,0.0,37.0,23.0,171.0,0.0,1.0,4.6,7.4,62.2,61.88,16.0,4.0,25.0,5.0,1.0,20.0,2.0,0.0,0.0,0.0,6.0,53.0,3.0,1.0,6.0,51.0,7.0,9.0,4.0,162.0,40.5,2.0,1.0,-1.0,7.0,7.0,3.0,17.0,0.0,29.0,16.0,29:02,19.0,7.0,10.0,2.0,66.0,296.0,4.5,1.0,30.0,136.0,4.5,1.0,31.0,20.0,160.0,0.0,0.0,5.2,8.0,64.5,77.35,14.0,4.0,28.6,1.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,44.0,2.0,1.0,5.0,37.0,7.0,10.0,6.0,293.0,48.8,1.0,2.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,45.0,25.0,5.0,37.0,6.0,1.0,1.0,51.0,22.0,6.0,51.0,4.0,3.0,1.0,Thursday,993003298,1,22,18189.0,8.0,1,-1.0,0.25,0.0,-0.2161759396783794,0.2823529411764706,-0.2594098184809499,-0.0933856290891222,-0.1031240347959107,0.4367816091954023,-0.0468092395715714,-0.2921126926343755,17.3,18.3,-1.0,338.6666666666667,291.0,0.0,0.407,0.4,114.0,142.0,2.0,-0.09062353801290697,0.38136153337739587,-0.030834249140613296,-0.09937549656445943,-0.10985277482171175,0.4662712315856332,-0.08825649105534422,-0.35359847864880817,-0.06238634029776637,-0.057333880510303435
202210820.0,2022-10-30T13:00:00,1,2022,8,ARI,MIN,AWAY,26.0,34.0,60.0,U.S. Bank Stadium,3.0,7.0,13.0,3.0,0.0,30.0,58.0,30:33,21.0,9.0,9.0,3.0,60.0,326.0,5.4,5.0,29.0,137.0,4.7,2.0,29.0,20.0,189.0,1.0,0.0,6.5,9.4,69.0,98.2,10.0,3.0,30.0,1.0,1.0,100.0,4.0,3.0,0.0,0.0,4.0,20.0,2.0,0.0,2.0,15.0,3.0,4.0,4.0,177.0,44.2,0.0,3.0,3.0,7.0,7.0,14.0,6.0,0.0,29.0,2.0,29:27,25.0,7.0,17.0,1.0,71.0,494.0,7.0,4.0,22.0,85.0,3.9,0.0,49.0,32.0,409.0,4.0,3.0,8.3,12.8,65.3,92.98,13.0,6.0,46.2,1.0,1.0,100.0,5.0,3.0,0.0,0.0,8.0,49.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,94.0,47.0,3.0,0.0,-3.0,75.0,0.0,60.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,44.0,17.0,0.0,0.0,9.0,0.0,0.0,38.0,22.0,2.0,15.0,2.0,1.0,0.0,Sunday,993003331,1,20,18035.0,-8.0,0,3.0,0.3,0.0,0.097902647489627,0.4470588235294118,0.1949479252131499,0.14564269554467,0.0233913657464392,0.5,0.1046403876089874,-0.129717921854333,22.7,24.3,-1.7,334.6666666666667,382.3333333333333,0.333,0.374,0.4,156.0,176.0,3.0,-0.03437063449544283,0.38431372549019605,0.03369442788941247,0.00040593095860584166,0.0067209211978236,0.4965742618886635,0.06086142226341248,-0.11110245277729153,-0.050281224146333924,-0.048071054657304636
202210901.0,2022-11-06T16:05:00,1,2022,9,ARI,SEA,HOME,21.0,31.0,52.0,State Farm Stadium,7.0,0.0,7.0,7.0,0.0,30.0,33.0,25:29,25.0,5.0,17.0,3.0,70.0,375.0,5.4,3.0,22.0,78.0,3.5,0.0,44.0,31.0,297.0,3.0,2.0,6.8,9.6,70.5,92.71,11.0,4.0,36.4,1.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,67.0,2.0,1.0,4.0,29.0,9.0,4.0,3.0,139.0,46.3,3.0,1.0,-2.0,3.0,7.0,7.0,14.0,0.0,29.0,27.0,34:31,25.0,11.0,11.0,3.0,68.0,381.0,5.6,5.0,29.0,173.0,6.0,3.0,36.0,24.0,208.0,2.0,0.0,5.8,8.7,66.7,100.23,13.0,6.0,46.2,1.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,86.0,1.0,1.0,3.0,24.0,6.0,8.0,5.0,233.0,46.6,1.0,3.0,2.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,15.0,3.0,24.0,3.0,1.0,1.0,54.0,6.0,4.0,29.0,9.0,0.0,1.0,Sunday,993003374,1,30,18123.0,-10.0,0,-2.0,0.364,0.0,-0.0313931634834551,0.4631578947368421,-0.0073255511885826,-0.1623402647636051,0.0261831045216531,0.4888888888888889,-0.0334049906790966,0.035271530917035,25.7,29.0,-3.3,338.6666666666667,390.3333333333333,0.0,0.305,0.4,182.0,210.0,3.0,-0.049888818557402494,0.3975232198142415,-0.023929148152127527,-0.03669439943601909,-0.017849854842606133,0.4752234993614304,0.008142052452773142,-0.1288530278572245,-0.041072226006509796,-0.05599677083940859
202211032.0,2022-11-13T16:25:00,1,2022,10,ARI,LAR,AWAY,27.0,17.0,44.0,SoFi Stadium,3.0,14.0,0.0,10.0,0.0,25.0,29.0,32:01,15.0,5.0,8.0,2.0,61.0,262.0,4.3,3.0,21.0,122.0,5.8,0.0,35.0,25.0,140.0,2.0,0.0,4.0,5.6,71.4,97.32,14.0,6.0,42.9,2.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,77.0,3.0,1.0,5.0,35.0,8.0,5.0,6.0,288.0,48.0,1.0,1.0,0.0,3.0,0.0,7.0,7.0,0.0,34.0,31.0,27:59,27.0,10.0,14.0,3.0,70.0,421.0,6.0,4.0,34.0,158.0,4.6,2.0,34.0,26.0,263.0,2.0,1.0,7.7,10.1,76.5,105.39,15.0,10.0,66.7,1.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,34.0,1.0,0.0,2.0,12.0,5.0,8.0,3.0,162.0,54.0,1.0,1.0,0.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,25.0,2.0,12.0,4.0,0.0,0.0,48.0,10.0,5.0,35.0,4.0,1.0,1.0,Sunday,993003401,1,32,18142.0,10.0,1,0.0,0.429,0.0,-0.1388593820663656,0.3571428571428571,-0.0790998627063043,-0.1907089532566411,0.0439409719680814,0.4831460674157303,0.0395523645005788,0.1488018415460828,29.7,33.0,-3.3,321.0,432.0,0.333,0.364,0.2,203.0,241.0,3.0,-0.024116632686731237,0.422453191803037,0.03617417043942101,-0.06913550749185873,0.031171814078724564,0.4906783187682064,0.03692925381015654,0.01811848353626162,-0.05467288980722984,0.01805736801664106
