gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210105.0,2022-09-11T13:00:00,1,2022,1,CAR,CLE,HOME,24.0,26.0,50.0,Bank of America Stadium,0.0,7.0,0.0,17.0,0.0,,,21:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.0,3.0,6.0,0.0,,,38:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003124,5,8,,-2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210223.0,2022-09-18T13:00:00,1,2022,2,CAR,NYG,AWAY,16.0,19.0,35.0,MetLife Stadium,0.0,6.0,7.0,3.0,0.0,21.0,34.0,24:03,15.0,5.0,7.0,3.0,50.0,261.0,5.2,3.0,19.0,54.0,2.8,2.0,27.0,16.0,207.0,1.0,1.0,7.7,12.9,59.3,80.32,11.0,4.0,36.4,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,96.0,5.0,0.0,4.0,28.0,5.0,4.0,5.0,250.0,50.0,1.0,0.0,-1.0,6.0,0.0,7.0,6.0,0.0,38.0,26.0,35:57,23.0,11.0,7.0,5.0,74.0,355.0,4.8,2.0,39.0,217.0,5.6,1.0,34.0,18.0,138.0,1.0,0.0,4.1,7.7,52.9,72.92,18.0,8.0,44.4,2.0,1.0,50.0,4.0,1.0,0.0,0.0,9.0,71.0,1.0,0.0,1.0,9.0,6.0,5.0,4.0,187.0,46.8,0.0,1.0,1.0,66.7,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,39.0,36.0,1.0,9.0,4.0,0.0,0.0,26.0,18.0,4.0,28.0,7.0,1.0,1.0,Sunday,993003155,5,23,18014.0,-3.0,0,-1.0,0.364,0.0,0.023642027582588,0.3698630136986301,0.0836428745525022,-0.0134765558934727,0.0810438727420194,0.4489795918367347,-0.0496908837553096,0.2275487356189384,24.0,26.0,-2.0,261.0,355.0,-1.0,0.364,0.0,24.0,26.0,0.0,0.023642027582588,0.3698630136986301,0.0836428745525022,-0.0134765558934727,0.0810438727420194,0.4489795918367347,-0.0496908837553096,0.2275487356189384,0.023642027582588,0.0810438727420194
202210305.0,2022-09-25T13:00:00,1,2022,3,CAR,NO,HOME,22.0,14.0,36.0,Bank of America Stadium,7.0,6.0,0.0,9.0,0.0,24.0,3.0,30:10,18.0,7.0,7.0,4.0,54.0,275.0,5.1,1.0,23.0,146.0,6.3,0.0,29.0,14.0,129.0,1.0,0.0,4.4,9.2,48.3,72.34,12.0,2.0,16.7,1.0,1.0,100.0,4.0,1.0,0.0,0.0,5.0,38.0,3.0,2.0,2.0,16.0,9.0,9.0,5.0,212.0,42.4,2.0,0.0,-2.0,0.0,0.0,0.0,14.0,0.0,35.0,57.0,29:50,18.0,8.0,8.0,2.0,70.0,265.0,3.8,1.0,33.0,103.0,3.1,0.0,34.0,22.0,162.0,1.0,0.0,4.8,7.4,64.7,85.66,18.0,6.0,33.3,1.0,1.0,100.0,3.0,1.0,0.0,0.0,8.0,62.0,0.0,0.0,3.0,14.0,4.0,5.0,5.0,253.0,50.6,0.0,2.0,2.0,25.0,0.0,33.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,45.0,28.0,3.0,14.0,2.0,0.0,0.0,32.0,15.0,2.0,16.0,4.0,3.0,2.0,Sunday,993003192,5,22,18024.0,8.0,1,-2.0,0.167,0.0,-0.1014343299454705,0.4666666666666667,-0.3020524714501086,0.4782439830693571,-0.0618797440114077,0.3626373626373626,-0.0293276117202007,-0.3206052171858028,20.0,22.5,-2.5,268.0,310.0,-1.5,0.265,0.0,40.0,45.0,0.0,-0.03889615118144125,0.4182648401826484,-0.10920479844880321,0.23238371358794221,0.009582064365305846,0.40580847723704866,-0.039509247737755146,-0.046528240783432206,-0.03889615118144125,0.009582064365305846
202210405.0,2022-10-02T16:05:00,1,2022,4,CAR,ARI,HOME,16.0,26.0,42.0,Bank of America Stadium,0.0,10.0,0.0,6.0,0.0,30.0,10.0,21:25,12.0,7.0,5.0,0.0,59.0,293.0,5.0,2.0,31.0,145.0,4.7,0.0,25.0,12.0,148.0,1.0,0.0,5.9,12.3,48.0,80.08,14.0,4.0,28.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,40.0,0.0,0.0,3.0,22.0,6.0,3.0,6.0,281.0,46.8,0.0,3.0,3.0,0.0,3.0,7.0,16.0,0.0,29.0,50.0,38:35,19.0,4.0,14.0,1.0,64.0,426.0,6.7,2.0,22.0,84.0,3.8,1.0,41.0,25.0,342.0,1.0,2.0,8.3,13.7,61.0,75.46,13.0,5.0,38.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,7.0,58.0,4.0,1.0,1.0,11.0,6.0,4.0,6.0,285.0,47.5,3.0,0.0,-3.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.0,12.0,1.0,11.0,8.0,1.0,1.0,32.0,28.0,3.0,22.0,4.0,0.0,0.0,Sunday,993003228,5,1,18056.0,-10.0,0,3.0,0.286,0.0,-0.0653422799552582,0.3947368421052631,-0.170876383563994,-0.122461061062946,-0.1866881169017482,0.4090909090909091,0.1334517557702318,-0.5856692392616936,20.7,19.7,1.0,276.3333333333333,348.6666666666667,0.0,0.272,0.333,62.0,59.0,1.0,-0.04771152743938023,0.4104221741568533,-0.12976199348720016,0.11410212203764614,-0.055841329390378835,0.4069026211883355,0.018144420098240504,-0.22624190694285265,-0.04771152743938023,-0.055841329390378835
202210505.0,2022-10-09T16:05:00,1,2022,5,CAR,SF,HOME,15.0,37.0,52.0,Bank of America Stadium,0.0,3.0,9.0,3.0,0.0,21.0,25.0,29:42,11.0,3.0,8.0,0.0,51.0,220.0,4.3,2.0,13.0,40.0,3.1,0.0,36.0,22.0,180.0,1.0,2.0,5.0,8.2,61.1,59.95,10.0,2.0,20.0,3.0,1.0,33.3,1.0,1.0,0.0,0.0,6.0,76.0,4.0,1.0,2.0,17.0,1.0,5.0,4.0,209.0,52.2,3.0,1.0,-2.0,7.0,10.0,7.0,13.0,0.0,38.0,35.0,30:18,20.0,8.0,10.0,2.0,70.0,338.0,4.8,3.0,37.0,132.0,3.6,1.0,32.0,23.0,206.0,2.0,1.0,6.4,9.0,71.9,96.61,15.0,6.0,40.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,61.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,170.0,56.7,1.0,3.0,2.0,100.0,0.0,40.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,41.0,29.0,1.0,1.0,3.0,1.0,1.0,25.0,22.0,2.0,17.0,8.0,1.0,1.0,Sunday,993003260,5,31,18271.0,-22.0,0,-2.0,0.2,0.0,-0.3263297223121669,0.4090909090909091,-0.3427133523472827,-0.857205999468883,-0.0708560630627654,0.4382022471910112,0.0013618941230726,-0.1537015870245258,18.0,19.7,-1.7,262.6666666666667,343.0,-0.333,0.217,0.25,78.0,85.0,1.0,-0.16436877740429853,0.423498139287613,-0.2718807357871284,-0.167141025820824,-0.10647464132530711,0.4033101729730943,0.0351620127243679,-0.35332534782400743,-0.1173660761575769,-0.05959501280847548
202210632.0,2022-10-16T16:05:00,1,2022,6,CAR,LAR,AWAY,10.0,24.0,34.0,SoFi Stadium,3.0,7.0,0.0,0.0,0.0,29.0,42.0,22:55,15.0,4.0,10.0,1.0,65.0,308.0,4.7,1.0,17.0,64.0,3.8,1.0,42.0,25.0,244.0,0.0,1.0,5.8,9.8,59.5,65.97,15.0,3.0,20.0,5.0,3.0,60.0,3.0,1.0,0.0,0.0,5.0,33.0,2.0,0.0,6.0,31.0,5.0,6.0,3.0,154.0,51.3,1.0,1.0,0.0,0.0,7.0,10.0,7.0,0.0,30.0,18.0,37:05,22.0,9.0,12.0,1.0,61.0,397.0,6.5,5.0,29.0,153.0,5.3,2.0,30.0,18.0,244.0,2.0,0.0,8.1,13.6,60.0,108.19,12.0,7.0,58.3,0.0,0.0,0.0,4.0,4.0,0.0,0.0,9.0,50.0,2.0,1.0,2.0,9.0,11.0,7.0,2.0,75.0,37.5,1.0,1.0,0.0,33.3,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,34.0,21.0,2.0,9.0,5.0,1.0,1.0,36.0,30.0,6.0,31.0,8.0,1.0,0.0,Sunday,993003287,5,32,18174.0,-14.0,0,0.0,0.2,0.0,-0.1548732204436352,0.4,-0.2625874582993506,-0.0449444560868616,0.1560356786931827,0.4235294117647059,0.455297264209381,0.0446313742244715,17.7,25.7,-8.0,273.6666666666667,387.0,0.333,0.229,0.2,93.0,122.0,1.0,-0.18218174090368677,0.40127591706539073,-0.25872573140354244,-0.3415371722062302,-0.03383616709044363,0.4236075226822087,0.1967036380342285,-0.23157981735391595,-0.12486750501478856,-0.016468874508143844
202210705.0,2022-10-23T13:00:00,1,2022,7,CAR,TB,HOME,21.0,3.0,24.0,Bank of America Stadium,0.0,7.0,7.0,7.0,0.0,22.0,55.0,29:24,8.0,3.0,5.0,0.0,44.0,203.0,4.6,1.0,21.0,93.0,4.4,0.0,21.0,13.0,110.0,0.0,1.0,5.2,8.5,61.9,55.65,10.0,2.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,2.0,9.0,3.0,3.0,7.0,362.0,51.7,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,5.0,30:36,22.0,5.0,16.0,1.0,63.0,360.0,5.7,3.0,29.0,111.0,3.8,2.0,33.0,26.0,249.0,1.0,1.0,7.5,9.6,78.8,95.58,12.0,6.0,50.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,49.0,0.0,0.0,1.0,4.0,3.0,2.0,5.0,240.0,48.0,1.0,1.0,0.0,0.0,0.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,25.0,1.0,4.0,3.0,0.0,0.0,25.0,28.0,2.0,9.0,4.0,0.0,0.0,Sunday,993003310,5,33,18188.0,18.0,1,0.0,0.2,0.0,-0.2813714003277379,0.3166666666666666,-0.5629362244995187,-0.1087469472899101,-0.0192011926903109,0.4268292682926829,0.0864559122639752,-0.1265086721208977,13.7,29.0,-15.3,243.66666666666666,365.0,-0.667,0.2,0.2,103.0,146.0,1.0,-0.25419144769451335,0.3752525252525252,-0.3894123450487173,-0.3369658009485516,0.02199280764670213,0.4295203090828,0.18103835686547623,-0.07852629497365067,-0.18587019059685375,-0.0365178875946099
202210802.0,2022-10-30T13:00:00,1,2022,8,CAR,ATL,AWAY,34.0,37.0,71.0,Mercedes-Benz Stadium,3.0,7.0,3.0,21.0,0.0,29.0,24.0,31:31,14.0,5.0,8.0,1.0,50.0,343.0,6.9,3.0,27.0,173.0,6.4,1.0,22.0,16.0,170.0,2.0,0.0,7.7,10.6,72.7,125.19,12.0,4.0,33.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,1.0,7.0,3.0,3.0,7.0,360.0,51.4,0.0,0.0,0.0,0.0,14.0,7.0,13.0,3.0,30.0,36.0,36:34,17.0,3.0,14.0,0.0,66.0,322.0,4.9,0.0,16.0,46.0,2.9,0.0,49.0,32.0,276.0,0.0,0.0,5.6,8.6,65.3,79.97,12.0,2.0,16.7,3.0,1.0,33.3,1.0,0.0,0.0,0.0,4.0,30.0,1.0,0.0,1.0,14.0,3.0,5.0,6.0,279.0,46.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,19.0,1.0,14.0,1.0,0.0,0.0,30.0,23.0,1.0,7.0,1.0,0.0,0.0,Sunday,993003337,5,2,18040.0,-3.0,0,0.0,0.333,0.0,0.1155907279403265,0.3939393939393939,0.2290815000027498,0.056122385217653,-0.1416962773790413,0.3780487804878049,-0.0715477572820305,-0.4848257333350678,15.3,21.3,-6.0,284.6666666666667,359.6666666666667,0.0,0.244,0.4,124.0,149.0,2.0,-0.10688463094368221,0.37020202020202014,-0.19881406093203982,-0.0325230060530396,-0.0016205971253898388,0.4094691535150645,0.15673513973044192,-0.188901010410498,-0.14246517901969433,-0.05248119426813662
202210907.0,2022-11-06T13:00:00,1,2022,9,CAR,CIN,AWAY,21.0,42.0,63.0,Paycor Stadium,0.0,0.0,7.0,14.0,0.0,31.0,31.0,20:39,23.0,10.0,12.0,1.0,73.0,478.0,6.5,4.0,36.0,169.0,4.7,3.0,36.0,19.0,309.0,1.0,1.0,8.6,16.3,52.8,79.51,13.0,5.0,38.5,2.0,1.0,50.0,5.0,3.0,0.0,0.0,9.0,74.0,0.0,0.0,1.0,8.0,8.0,6.0,3.0,141.0,47.0,1.0,2.0,1.0,7.0,28.0,7.0,0.0,0.0,36.0,34.0,39:21,21.0,7.0,14.0,0.0,67.0,406.0,6.1,4.0,37.0,167.0,4.5,0.0,28.0,20.0,239.0,3.0,2.0,8.5,12.0,71.4,103.12,12.0,6.0,50.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,64.0,1.0,0.0,2.0,14.0,2.0,4.0,4.0,210.0,52.5,2.0,1.0,-1.0,60.0,0.0,33.3,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,47.0,28.0,2.0,14.0,6.0,1.0,0.0,43.0,24.0,1.0,8.0,7.0,0.0,0.0,Sunday,993003365,5,7,18120.0,-21.0,0,1.0,0.385,0.0,0.0038536598375629,0.404040404040404,0.0024256060036369,0.1248058186148697,0.0014501649239107,0.4444444444444444,0.2023218210809168,-0.1131167239738857,21.7,21.3,0.3,341.3333333333333,362.6666666666667,0.333,0.306,0.2,158.0,186.0,2.0,-0.0539756708499495,0.37154882154882146,-0.11047637283104401,0.024060418847537495,-0.05314910171514717,0.4164408310749774,0.07240999202095384,-0.24148370980995038,-0.12862599106113012,-0.014853537903004843
202211005.0,2022-11-10T20:15:00,1,2022,10,CAR,ATL,HOME,25.0,15.0,40.0,Bank of America Stadium,3.0,10.0,6.0,6.0,0.0,20.0,39.0,34:12,13.0,4.0,8.0,1.0,48.0,228.0,4.8,3.0,18.0,64.0,3.6,1.0,30.0,17.0,164.0,2.0,2.0,5.5,9.6,56.7,66.53,8.0,2.0,25.0,1.0,1.0,100.0,3.0,3.0,0.0,0.0,7.0,50.0,1.0,1.0,0.0,0.0,3.0,2.0,5.0,270.0,54.0,3.0,0.0,-3.0,0.0,3.0,6.0,6.0,0.0,39.0,21.0,25:48,30.0,19.0,10.0,1.0,72.0,464.0,6.4,6.0,39.0,241.0,6.2,5.0,31.0,25.0,223.0,1.0,0.0,7.2,8.9,80.6,107.39,10.0,6.0,60.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,35.0,1.0,0.0,2.0,5.0,1.0,1.0,3.0,120.0,40.0,0.0,3.0,3.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,30.0,2.0,5.0,3.0,1.0,0.0,25.0,22.0,0.0,0.0,4.0,1.0,1.0,Thursday,993003382,5,2,18136.0,10.0,1,-3.0,0.25,0.0,-0.0151352014621232,0.3787878787878788,-0.0330317125344663,0.0209280077439923,0.2259500681403384,0.5869565217391305,0.3222910033090687,0.4589805105910323,25.3,27.3,-2.0,349.6666666666667,397.3333333333333,-0.667,0.323,0.2,179.0,228.0,2.0,0.03476972877192206,0.39225589225589225,0.06615846449064013,0.0672854038588383,0.028567985228402603,0.46981658222379324,0.151021689035985,-0.046320648905973726,-0.06638708689112138,0.04450768833761592
