gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210120.0,2022-09-11T16:25:00,1,2022,1,GB,MIN,AWAY,7.0,23.0,30.0,U.S. Bank Stadium,0.0,0.0,7.0,0.0,0.0,,,28:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,3.0,3.0,0.0,,,31:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003129,12,20,,-16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210212.0,2022-09-18T20:20:00,1,2022,2,GB,CHI,HOME,27.0,10.0,37.0,Lambeau Field,3.0,21.0,0.0,3.0,0.0,28.0,37.0,37:15,21.0,8.0,13.0,0.0,61.0,338.0,5.5,1.0,18.0,111.0,6.2,1.0,39.0,26.0,227.0,0.0,1.0,5.8,8.7,66.7,71.21,9.0,3.0,33.3,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,10.0,1.0,1.0,4.0,33.0,8.0,4.0,4.0,179.0,44.8,2.0,0.0,-2.0,7.0,0.0,3.0,0.0,0.0,31.0,23.0,22:45,19.0,7.0,12.0,0.0,61.0,395.0,6.5,2.0,28.0,126.0,4.5,0.0,32.0,23.0,269.0,2.0,0.0,8.4,11.7,71.9,117.84,13.0,4.0,30.8,1.0,1.0,100.0,3.0,1.0,0.0,0.0,3.0,20.0,0.0,0.0,1.0,8.0,5.0,3.0,5.0,232.0,46.4,0.0,2.0,2.0,33.3,0.0,33.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,44.0,20.0,1.0,8.0,1.0,0.0,0.0,37.0,24.0,4.0,33.0,3.0,1.0,1.0,Sunday,993003168,12,6,18017.0,17.0,1,-2.0,0.333,0.0,-0.170876773292128,0.4189189189189189,-0.2844756793215526,0.0380738979369839,0.0817531679185818,0.4102564102564102,0.2174615271697104,-0.0510464061870671,7.0,23.0,-16.0,338.0,395.0,-2.0,0.333,0.0,7.0,23.0,0.0,-0.170876773292128,0.4189189189189189,-0.2844756793215526,0.0380738979369839,0.0817531679185818,0.4102564102564102,0.2174615271697104,-0.0510464061870671,-0.170876773292128,0.0817531679185818
202210333.0,2022-09-25T16:25:00,1,2022,3,GB,TB,AWAY,14.0,12.0,26.0,Raymond James Stadium,7.0,7.0,0.0,0.0,0.0,37.0,15.0,33:25,26.0,13.0,10.0,3.0,66.0,414.0,6.3,3.0,38.0,203.0,5.3,1.0,25.0,19.0,211.0,2.0,0.0,8.4,11.1,76.0,127.25,9.0,5.0,55.6,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,25.0,3.0,1.0,3.0,23.0,5.0,6.0,2.0,122.0,61.0,1.0,1.0,0.0,3.0,0.0,3.0,6.0,0.0,22.0,45.0,26:35,11.0,9.0,2.0,0.0,41.0,228.0,5.6,1.0,27.0,180.0,6.7,1.0,11.0,7.0,48.0,0.0,1.0,4.4,6.9,63.6,35.42,7.0,1.0,14.3,1.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,50.0,1.0,0.0,3.0,22.0,4.0,8.0,4.0,198.0,49.5,1.0,1.0,0.0,60.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,14.0,3.0,22.0,2.0,0.0,0.0,44.0,29.0,3.0,23.0,1.0,0.0,1.0,Sunday,993003195,12,33,18031.0,2.0,1,0.0,0.556,0.0,0.1592595232616701,0.5432098765432098,0.4797039867949313,-0.0097753009271203,-0.0893329348576432,0.4,-0.4713227876563906,0.1761309485697482,17.0,16.5,0.5,376.0,311.5,-1.0,0.444,0.5,34.0,33.0,1.0,-0.005808625015228955,0.48106439773106435,0.09761415373668936,0.014149298504931802,-0.0037898834695307,0.40512820512820513,-0.1269306302433401,0.06254227119134055,-0.005808625015228955,-0.0037898834695307
202210412.0,2022-10-02T16:25:00,1,2022,4,GB,NE,HOME,27.0,24.0,51.0,Lambeau Field,0.0,7.0,10.0,7.0,3.0,33.0,25.0,36:49,14.0,3.0,11.0,0.0,61.0,315.0,5.2,2.0,25.0,67.0,2.7,0.0,35.0,27.0,248.0,2.0,1.0,7.1,9.2,77.1,103.04,15.0,6.0,40.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,65.0,2.0,1.0,1.0,7.0,4.0,5.0,7.0,339.0,48.4,2.0,2.0,0.0,3.0,7.0,7.0,7.0,0.0,26.0,35.0,33:11,19.0,1.0,15.0,3.0,59.0,285.0,4.8,1.0,14.0,34.0,2.4,0.0,42.0,31.0,251.0,1.0,0.0,6.0,8.1,73.8,96.43,11.0,2.0,18.2,1.0,1.0,100.0,1.0,1.0,0.0,0.0,6.0,40.0,3.0,2.0,3.0,20.0,6.0,5.0,6.0,297.0,49.5,2.0,2.0,0.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,34.0,15.0,3.0,20.0,3.0,2.0,2.0,43.0,19.0,1.0,7.0,1.0,2.0,1.0,Sunday,993003230,12,21,18034.0,3.0,1,0.0,0.4,0.0,-0.0745836713333265,0.3974358974358974,0.0313647661619265,-0.2805409962505413,-0.1159525433651638,0.4125,-0.1371731949054339,-0.3772639725669121,16.0,15.0,1.0,355.6666666666667,302.6666666666667,-0.667,0.43,0.667,48.0,45.0,2.0,-0.0287336404545948,0.4531882309660087,0.07553102454510174,-0.08408079974689257,-0.04117743676807507,0.40758547008547,-0.13034481846403803,-0.08405981006141032,-0.0287336404545948,-0.04117743676807507
202210512.0,2022-10-09T09:30:00,1,2022,5,GB,NYG,HOME,22.0,27.0,49.0,Tottenham Hotspur Stadium,10.0,10.0,0.0,2.0,0.0,36.0,49.0,27:49,24.0,10.0,12.0,2.0,71.0,443.0,6.2,3.0,35.0,199.0,5.7,1.0,35.0,21.0,244.0,2.0,1.0,7.0,11.6,60.0,88.27,14.0,6.0,42.9,1.0,1.0,100.0,4.0,3.0,0.0,0.0,4.0,40.0,2.0,1.0,1.0,7.0,6.0,6.0,5.0,210.0,42.0,2.0,1.0,-1.0,3.0,7.0,3.0,14.0,0.0,33.0,11.0,32:11,17.0,10.0,6.0,1.0,58.0,271.0,4.7,3.0,33.0,167.0,5.1,1.0,21.0,15.0,104.0,1.0,0.0,5.0,6.9,71.4,98.12,11.0,3.0,27.3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,75.0,1.0,1.0,4.0,32.0,3.0,1.0,7.0,314.0,44.9,1.0,2.0,1.0,75.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,23.0,4.0,32.0,0.0,1.0,1.0,42.0,34.0,1.0,7.0,2.0,1.0,1.0,Sunday,993003240,12,23,18272.0,-5.0,0,-1.0,0.429,0.0,-0.0134331179988217,0.4615384615384615,-0.0869773475131044,0.1273834673927188,-0.0248399103291096,0.4935064935064935,-0.2754214748052314,0.2482504079869779,22.7,15.3,7.3,390.6666666666667,261.3333333333333,-0.333,0.461,0.75,75.0,69.0,3.0,0.023747577976507298,0.4673947451725229,0.14136380181458447,-0.0543109432616476,-0.07670846285063886,0.4353354978354978,-0.2946391524556853,0.015705794663271332,-0.024908509840651526,-0.0370930551583337
202210612.0,2022-10-16T13:00:00,1,2022,6,GB,NYJ,HOME,10.0,27.0,37.0,Lambeau Field,0.0,3.0,7.0,0.0,0.0,27.0,49.0,31:12,22.0,5.0,15.0,2.0,61.0,301.0,4.9,2.0,20.0,94.0,4.7,0.0,39.0,25.0,207.0,2.0,0.0,5.3,8.3,64.1,94.71,10.0,4.0,40.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,37.0,2.0,0.0,2.0,15.0,4.0,5.0,3.0,124.0,41.3,0.0,0.0,0.0,0.0,3.0,14.0,10.0,0.0,32.0,11.0,28:48,24.0,8.0,12.0,4.0,59.0,338.0,5.7,3.0,31.0,125.0,4.0,3.0,27.0,21.0,213.0,0.0,0.0,7.9,10.1,77.8,99.54,11.0,6.0,54.5,1.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,63.0,1.0,0.0,1.0,4.0,6.0,5.0,2.0,100.0,50.0,0.0,0.0,0.0,66.7,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,11.0,1.0,4.0,1.0,0.0,0.0,37.0,22.0,2.0,15.0,7.0,2.0,0.0,Sunday,993003274,12,24,17997.0,-17.0,0,0.0,0.4,0.0,0.1219546853539347,0.5,0.1631869209869365,0.0575755429512355,0.2094576202425473,0.5,0.4827567854141769,-0.0020289624305476,21.0,21.0,0.0,353.0,298.0,-0.333,0.41,0.6,97.0,96.0,3.0,0.011312632007262166,0.452991452991453,0.03585811321191953,-0.03186066196886233,0.022888388849424634,0.4686688311688312,0.023387371901170535,-0.043680842336827265,0.004464129198265718,0.0122170799218425
202210735.0,2022-10-23T13:00:00,1,2022,7,GB,WAS,AWAY,21.0,23.0,44.0,FedEx Field,7.0,7.0,0.0,7.0,0.0,31.0,12.0,22:53,15.0,3.0,9.0,3.0,69.0,278.0,4.0,1.0,20.0,60.0,3.0,0.0,45.0,28.0,218.0,1.0,0.0,4.8,7.8,62.2,81.53,16.0,4.0,25.0,4.0,1.0,25.0,1.0,0.0,0.0,0.0,7.0,42.0,2.0,1.0,4.0,36.0,2.0,4.0,5.0,244.0,48.8,1.0,0.0,-1.0,3.0,7.0,10.0,3.0,0.0,28.0,48.0,37:07,14.0,9.0,4.0,1.0,53.0,278.0,5.2,3.0,33.0,179.0,5.4,2.0,18.0,10.0,99.0,0.0,0.0,5.5,9.9,55.6,71.3,11.0,1.0,9.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,79.0,0.0,0.0,2.0,11.0,9.0,5.0,6.0,268.0,44.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,36.0,17.0,2.0,11.0,5.0,0.0,0.0,42.0,22.0,4.0,36.0,6.0,1.0,1.0,Sunday,993003301,12,35,18182.0,-2.0,0,-1.0,0.25,0.0,-0.3088198259383559,0.4285714285714285,-0.2425647495925081,-0.3618071616810787,-0.0687902195321115,0.4225352112676056,-0.2764790720006464,0.2108133640664163,19.7,26.0,-6.3,340.6666666666667,295.6666666666667,-0.667,0.36,0.6,107.0,123.0,3.0,-0.0667660861944143,0.46336996336996333,-0.055451725372892,-0.058949383779041464,0.03860916346044207,0.4720139015913664,-0.023047920463900307,0.15234493654094886,-0.023124481330979864,-0.01789159756829616
202210804.0,2022-10-30T20:20:00,1,2022,8,GB,BUF,AWAY,17.0,27.0,44.0,Highmark Stadium,0.0,7.0,3.0,7.0,0.0,22.0,53.0,33:48,16.0,2.0,10.0,4.0,47.0,232.0,4.9,3.0,12.0,38.0,3.2,0.0,35.0,23.0,194.0,2.0,0.0,5.5,8.4,65.7,98.99,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,69.0,3.0,1.0,0.0,0.0,9.0,6.0,5.0,208.0,41.6,1.0,1.0,0.0,7.0,17.0,3.0,0.0,0.0,37.0,7.0,26:12,22.0,8.0,11.0,3.0,72.0,364.0,5.1,2.0,38.0,166.0,4.4,0.0,33.0,20.0,198.0,2.0,1.0,6.0,9.9,60.6,85.16,16.0,7.0,43.8,0.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,54.0,0.0,0.0,1.0,3.0,1.0,3.0,4.0,192.0,48.0,1.0,1.0,0.0,100.0,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,37.0,45.0,1.0,3.0,6.0,0.0,0.0,21.0,24.0,0.0,0.0,3.0,0.0,1.0,Sunday,993003351,12,4,18039.0,-10.0,0,0.0,0.0,0.0,-0.0578046549221554,0.3714285714285714,0.0044674621371086,-0.1770111127631166,-0.0175708189925093,0.3956043956043956,-0.0057434097511015,-0.0618949522077423,17.7,25.7,-8.0,270.3333333333333,326.6666666666667,-0.333,0.217,0.4,128.0,146.0,3.0,-0.0815565985021922,0.4333333333333333,-0.024970122156154347,-0.1604142438309866,0.041032193905975504,0.4393798689573338,0.06684476788747633,0.04896314980937546,-0.06653731696774495,-0.003539174395269379
202210911.0,2022-11-06T13:00:00,1,2022,9,GB,DET,AWAY,9.0,15.0,24.0,Ford Field,0.0,0.0,6.0,3.0,0.0,33.0,48.0,34:42,21.0,12.0,8.0,1.0,63.0,398.0,6.3,2.0,31.0,208.0,6.7,0.0,30.0,19.0,190.0,2.0,1.0,6.3,10.0,63.3,89.58,12.0,6.0,50.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,58.0,0.0,0.0,2.0,13.0,3.0,4.0,2.0,89.0,44.5,1.0,2.0,1.0,0.0,8.0,0.0,7.0,0.0,26.0,12.0,25:18,20.0,9.0,8.0,3.0,54.0,369.0,6.8,3.0,27.0,153.0,5.7,1.0,25.0,13.0,216.0,2.0,2.0,8.6,16.6,52.0,74.75,7.0,2.0,28.6,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,35.0,1.0,0.0,2.0,2.0,4.0,4.0,2.0,73.0,36.5,2.0,1.0,-1.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,15.0,2.0,2.0,6.0,1.0,0.0,48.0,22.0,2.0,13.0,6.0,0.0,0.0,Sunday,993003367,12,11,18131.0,-6.0,0,1.0,0.5,0.0,-0.0159521058877305,0.4430379746835443,-0.0137997113181621,0.1355537774099502,0.1212215845804954,0.5211267605633803,0.224199095033925,0.0173625561292283,16.0,25.7,-9.7,302.6666666666667,337.0,0.0,0.25,0.2,145.0,173.0,3.0,-0.1275255289160806,0.4143459915611814,-0.08396566625785389,-0.134421499011415,0.011620182018624872,0.4464221224784605,-0.019341128905940974,0.055426989329300756,-0.05481100387862575,0.04389565119386246
202211012.0,2022-11-13T16:25:00,1,2022,10,GB,DAL,HOME,31.0,28.0,59.0,Lambeau Field,0.0,14.0,0.0,14.0,3.0,34.0,42.0,35:55,19.0,6.0,11.0,2.0,69.0,389.0,5.6,1.0,25.0,106.0,4.2,0.0,43.0,23.0,283.0,1.0,3.0,6.6,12.3,53.5,52.76,15.0,8.0,53.3,4.0,1.0,25.0,4.0,0.0,0.0,0.0,8.0,81.0,2.0,0.0,1.0,8.0,3.0,2.0,1.0,31.0,31.0,3.0,1.0,-2.0,0.0,14.0,14.0,0.0,0.0,25.0,18.0,30:59,19.0,5.0,10.0,4.0,57.0,254.0,4.5,2.0,31.0,117.0,3.8,0.0,26.0,14.0,137.0,2.0,1.0,5.3,9.8,53.8,78.53,11.0,6.0,54.5,2.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,62.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,136.0,45.3,1.0,3.0,2.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,23.0,0.0,0.0,4.0,0.0,0.0,38.0,36.0,1.0,8.0,9.0,2.0,0.0,Sunday,993003404,12,9,18137.0,3.0,1,-2.0,0.533,0.0,-0.1215156250667845,0.3875,-0.1363059145981762,-0.122537067232077,-0.0836164571700588,0.4383561643835616,0.0504236597074034,-0.2113309714300121,15.7,21.7,-6.0,339.6666666666667,329.0,-0.333,0.344,0.0,154.0,188.0,3.0,-0.06509079529222347,0.4006555153707052,-0.048546054593076586,-0.0546648008617478,0.006678102805975768,0.45169577351711254,0.08962644833007564,-0.0852877891695087,-0.07642750529221831,0.032140341825672616
