gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202210119.0,2022-09-11T13:00:00,1,2022,1,MIA,NE,HOME,20.0,7.0,27.0,Hard Rock Stadium,3.0,14.0,3.0,0.0,0.0,,,32:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,0.0,0.0,,,27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003114,19,21,,13.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210203.0,2022-09-18T13:00:00,1,2022,2,MIA,BAL,AWAY,42.0,38.0,80.0,M&T Bank Stadium,0.0,7.0,7.0,28.0,0.0,32.0,30.0,34:47,18.0,3.0,13.0,2.0,59.0,307.0,5.2,2.0,23.0,65.0,2.8,0.0,33.0,23.0,242.0,1.0,0.0,7.3,10.5,69.7,100.82,14.0,6.0,42.9,1.0,1.0,100.0,2.0,0.0,0.0,0.0,4.0,20.0,2.0,0.0,3.0,28.0,3.0,4.0,4.0,183.0,45.8,0.0,3.0,3.0,7.0,21.0,7.0,3.0,0.0,27.0,30.0,25:13,17.0,5.0,10.0,2.0,54.0,271.0,5.0,1.0,22.0,78.0,3.5,0.0,30.0,21.0,193.0,1.0,1.0,6.4,9.2,70.0,84.44,9.0,4.0,44.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,15.0,2.0,2.0,2.0,20.0,7.0,6.0,3.0,118.0,39.3,3.0,0.0,-3.0,0.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,22.0,2.0,20.0,6.0,2.0,2.0,38.0,15.0,3.0,28.0,0.0,2.0,0.0,Sunday,993003153,19,3,18011.0,4.0,1,3.0,0.429,0.0,0.0288376291454055,0.4931506849315068,0.16267586745634,-0.1306785194504878,-0.1628409252901385,0.4347826086956521,-0.2107134743826464,-0.1853586251381784,20.0,7.0,13.0,307.0,271.0,3.0,0.429,1.0,20.0,7.0,1.0,0.0288376291454055,0.4931506849315068,0.16267586745634,-0.1306785194504878,-0.1628409252901385,0.4347826086956521,-0.2107134743826464,-0.1853586251381784,0.0288376291454055,-0.1628409252901385
202210319.0,2022-09-25T13:00:00,1,2022,3,MIA,BUF,HOME,21.0,19.0,40.0,Hard Rock Stadium,7.0,7.0,0.0,7.0,0.0,34.0,47.0,19:20,27.0,5.0,22.0,0.0,69.0,547.0,7.9,6.0,18.0,86.0,4.8,0.0,50.0,36.0,461.0,6.0,2.0,9.2,12.8,72.0,123.42,11.0,7.0,63.6,2.0,2.0,100.0,4.0,4.0,0.0,0.0,8.0,51.0,0.0,0.0,1.0,8.0,0.0,4.0,2.0,82.0,41.0,2.0,0.0,-2.0,7.0,7.0,3.0,2.0,0.0,25.0,13.0,40:40,23.0,6.0,13.0,4.0,54.0,473.0,8.8,5.0,25.0,155.0,6.2,1.0,29.0,21.0,318.0,3.0,0.0,11.0,15.1,72.4,142.6,10.0,3.0,30.0,3.0,1.0,33.3,3.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,81.0,40.5,0.0,2.0,2.0,100.0,0.0,66.7,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,21.0,0.0,0.0,2.0,0.0,0.0,39.0,21.0,1.0,8.0,7.0,0.0,0.0,Sunday,993003176,19,4,18027.0,2.0,1,-2.0,0.636,0.0,0.3416804262124848,0.5172413793103449,0.472888316474262,0.2244122524457957,0.2964070068270942,0.4736842105263157,0.6646073285809312,-0.2574865778284826,31.0,22.5,8.5,427.0,372.0,0.5,0.532,1.0,62.0,45.0,2.0,0.18525902767894514,0.5051960321209259,0.317782091965301,0.04686686649765395,0.06678304076847785,0.4542334096109839,0.22694692709914238,-0.2214226014833305,0.18525902767894514,0.06678304076847785
202210407.0,2022-09-29T20:15:00,1,2022,4,MIA,CIN,AWAY,15.0,27.0,42.0,Paycor Stadium,3.0,9.0,3.0,0.0,0.0,19.0,20.0,28:25,15.0,4.0,8.0,3.0,39.0,212.0,5.4,3.0,17.0,41.0,2.4,2.0,20.0,13.0,171.0,1.0,0.0,8.6,13.2,65.0,108.54,8.0,3.0,37.5,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,20.0,0.0,0.0,2.0,15.0,11.0,4.0,5.0,218.0,43.6,0.0,1.0,1.0,7.0,7.0,0.0,13.0,0.0,40.0,40.0,31:35,31.0,9.0,21.0,1.0,90.0,497.0,5.5,2.0,23.0,115.0,5.0,0.0,63.0,42.0,382.0,2.0,0.0,6.1,9.1,66.7,93.49,18.0,11.0,61.1,3.0,2.0,66.7,4.0,2.0,0.0,0.0,7.0,52.0,4.0,1.0,4.0,18.0,3.0,3.0,1.0,31.0,31.0,1.0,0.0,-1.0,100.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,57.0,26.0,4.0,18.0,9.0,2.0,1.0,22.0,17.0,2.0,15.0,3.0,0.0,0.0,Thursday,993003205,19,7,18052.0,-12.0,0,1.0,0.375,0.0,0.0975174580237918,0.4464285714285714,0.3533397780824453,-0.0876740100437826,0.0420269816263037,0.4857142857142857,0.1693272464451376,-0.1521196158627342,27.7,21.3,6.3,355.3333333333333,413.6666666666667,0.667,0.48,1.0,83.0,64.0,3.0,0.15601183779389402,0.4856068785568077,0.3296346540043491,0.0020199076505084354,0.0585310210544198,0.4647270349787512,0.2077403668811408,-0.19832160627646508,0.15601183779389402,0.0585310210544198
202210524.0,2022-10-09T13:00:00,1,2022,5,MIA,NYJ,AWAY,17.0,40.0,57.0,MetLife Stadium,0.0,14.0,3.0,0.0,0.0,28.0,25.0,29:02,20.0,3.0,13.0,4.0,60.0,378.0,6.3,1.0,22.0,85.0,3.9,0.0,37.0,22.0,293.0,1.0,2.0,7.9,13.3,59.5,71.11,10.0,2.0,20.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,41.0,0.0,0.0,1.0,10.0,3.0,2.0,3.0,150.0,50.0,2.0,0.0,-2.0,5.0,14.0,0.0,21.0,0.0,31.0,35.0,30:58,16.0,4.0,11.0,1.0,63.0,371.0,5.9,3.0,30.0,67.0,2.2,1.0,32.0,21.0,304.0,2.0,0.0,9.5,14.5,65.6,117.19,15.0,8.0,53.3,1.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,74.0,0.0,0.0,1.0,6.0,9.0,4.0,4.0,159.0,39.8,0.0,2.0,2.0,33.3,0.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,23.0,1.0,6.0,1.0,0.0,0.0,37.0,16.0,1.0,10.0,5.0,0.0,0.0,Sunday,993003245,19,24,18261.0,-23.0,0,-2.0,0.2,0.0,-0.0738839837891579,0.3875,0.0778412388591076,-0.2034611722946548,0.09006430367709,0.4146341463414634,0.4140136604582327,-0.3688859878423052,26.0,28.0,-2.0,379.0,447.0,-1.0,0.404,0.75,98.0,91.0,3.0,0.12177130014903957,0.4503899835796388,0.3013564444719383,-0.022240976630880566,0.14283276404349596,0.45801088086068825,0.4159827451614338,-0.2594973938445073,0.09853788239813105,0.06641434171008735
202210619.0,2022-10-16T13:00:00,1,2022,6,MIA,MIN,HOME,16.0,24.0,40.0,Hard Rock Stadium,0.0,3.0,0.0,13.0,0.0,29.0,2.0,35:29,19.0,8.0,8.0,3.0,62.0,295.0,4.8,2.0,26.0,137.0,5.3,2.0,34.0,19.0,158.0,0.0,1.0,4.6,8.3,55.9,55.76,11.0,4.0,36.4,2.0,0.0,0.0,3.0,2.0,0.0,0.0,11.0,102.0,1.0,1.0,2.0,8.0,3.0,5.0,3.0,131.0,43.7,2.0,0.0,-2.0,0.0,10.0,0.0,14.0,0.0,30.0,58.0,24:31,21.0,8.0,9.0,4.0,56.0,322.0,5.8,5.0,33.0,135.0,4.1,5.0,21.0,14.0,187.0,0.0,0.0,8.9,13.4,66.7,94.74,11.0,5.0,45.5,1.0,0.0,0.0,6.0,5.0,0.0,0.0,5.0,105.0,0.0,0.0,2.0,23.0,16.0,2.0,4.0,185.0,46.2,0.0,2.0,2.0,66.7,0.0,83.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,20.0,2.0,23.0,2.0,0.0,0.0,37.0,20.0,2.0,8.0,4.0,1.0,1.0,Sunday,993003284,19,20,18170.0,-8.0,0,-2.0,0.364,0.0,-0.123331729158777,0.4523809523809524,-0.2786282766904644,0.1450261359870501,0.1588934281425119,0.4935064935064935,0.2183431953006439,0.1450258174348467,17.7,28.7,-11.0,295.0,396.6666666666667,-1.0,0.313,0.6,115.0,131.0,3.0,-0.033232751641381036,0.4287698412698413,0.0508509134170295,-0.04870301545046243,0.09699490448196853,0.46461830852074754,0.2672280340680047,-0.12532659542339755,0.05416396008674944,0.08491015899657225
202210719.0,2022-10-23T20:20:00,1,2022,7,MIA,PIT,HOME,16.0,10.0,26.0,Hard Rock Stadium,13.0,3.0,0.0,0.0,0.0,35.0,29.0,26:44,23.0,5.0,18.0,0.0,73.0,458.0,6.3,2.0,20.0,73.0,3.6,0.0,47.0,30.0,385.0,2.0,2.0,8.2,12.8,63.8,85.86,14.0,4.0,28.6,2.0,1.0,50.0,2.0,2.0,0.0,0.0,10.0,97.0,2.0,1.0,6.0,33.0,7.0,4.0,6.0,307.0,51.2,3.0,0.0,-3.0,0.0,10.0,0.0,0.0,0.0,24.0,31.0,33:16,11.0,2.0,7.0,2.0,50.0,234.0,4.7,3.0,17.0,78.0,4.6,1.0,30.0,20.0,156.0,2.0,0.0,5.2,7.8,66.7,101.53,12.0,2.0,16.7,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,20.0,1.0,0.0,3.0,19.0,13.0,8.0,10.0,441.0,44.1,0.0,3.0,3.0,100.0,0.0,66.7,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,29.0,22.0,3.0,19.0,5.0,1.0,0.0,47.0,18.0,6.0,33.0,9.0,1.0,1.0,Sunday,993003322,19,28,18184.0,6.0,1,-3.0,0.286,0.0,-0.151690511431936,0.4086021505376344,-0.0767588053816178,-0.4745129852886556,-0.0647508746411846,0.3472222222222222,-0.0928781012530929,-0.0570074769086203,16.0,30.3,-14.3,377.0,309.0,-2.333,0.283,0.4,131.0,155.0,3.0,-0.1163020747932903,0.4161610343061956,-0.09251528107099154,-0.17764934053208678,0.061402285726139094,0.41845428735672635,0.17982625150192788,-0.09362254910535961,0.01805833197128114,0.10452816912636305
202210811.0,2022-10-30T13:00:00,1,2022,8,MIA,DET,AWAY,31.0,27.0,58.0,Ford Field,7.0,10.0,14.0,0.0,0.0,26.0,44.0,34:22,17.0,5.0,12.0,0.0,62.0,372.0,6.0,1.0,27.0,111.0,4.1,0.0,35.0,21.0,261.0,1.0,0.0,7.5,12.4,60.0,92.68,14.0,4.0,28.6,1.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,30.0,1.0,0.0,0.0,0.0,6.0,4.0,6.0,256.0,42.7,0.0,3.0,3.0,14.0,13.0,0.0,0.0,0.0,33.0,16.0,25:38,19.0,4.0,14.0,1.0,69.0,341.0,4.9,1.0,23.0,95.0,4.1,0.0,44.0,32.0,246.0,1.0,3.0,5.6,7.7,72.7,65.15,14.0,4.0,28.6,2.0,2.0,100.0,2.0,1.0,0.0,0.0,5.0,40.0,0.0,0.0,2.0,11.0,1.0,4.0,6.0,251.0,41.8,3.0,0.0,-3.0,33.3,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,28.0,2.0,11.0,4.0,0.0,0.0,40.0,21.0,0.0,0.0,5.0,0.0,0.0,Sunday,993003335,19,11,18047.0,4.0,1,3.0,0.286,0.0,-0.0521602087860441,0.4102564102564102,0.1304597621459383,-0.3016885591660748,-0.1268837455897727,0.3777777777777777,-0.1393765398195728,-0.1654281341629526,16.3,24.7,-8.3,375.0,299.0,-0.667,0.312,0.4,147.0,165.0,4.0,-0.10906081645891903,0.42374650439166567,-0.07497577330871465,-0.21039180282256012,-0.010913730696148463,0.4061688311688312,-0.004637148590673934,-0.0258032645455754,-0.06070979502842464,0.01987001864298966
202210906.0,2022-11-06T13:00:00,1,2022,9,MIA,CHI,AWAY,35.0,32.0,67.0,Soldier Field,7.0,14.0,14.0,0.0,0.0,34.0,22.0,25:14,27.0,8.0,18.0,1.0,64.0,476.0,7.4,4.0,26.0,107.0,4.1,1.0,36.0,29.0,369.0,3.0,0.0,10.2,12.7,80.6,137.15,12.0,8.0,66.7,1.0,1.0,100.0,3.0,3.0,0.0,0.0,7.0,55.0,1.0,1.0,2.0,13.0,4.0,3.0,1.0,38.0,38.0,1.0,0.0,-1.0,3.0,14.0,8.0,7.0,0.0,25.0,38.0,34:46,22.0,7.0,13.0,2.0,57.0,393.0,6.9,3.0,19.0,82.0,4.3,2.0,37.0,27.0,311.0,1.0,0.0,8.4,11.5,73.0,106.93,9.0,4.0,44.4,2.0,1.0,50.0,4.0,3.0,0.0,0.0,6.0,30.0,0.0,0.0,1.0,10.0,2.0,5.0,2.0,117.0,58.5,0.0,1.0,1.0,100.0,0.0,75.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,39.0,18.0,1.0,10.0,3.0,0.0,0.0,45.0,16.0,2.0,13.0,2.0,1.0,1.0,Sunday,993003369,19,6,18122.0,3.0,1,-1.0,0.667,0.0,0.2366222631455445,0.4683544303797468,0.5322534875529101,-0.063040441172906,0.1457334700582084,0.5189873417721519,0.2358608548268055,0.084488495954582,21.0,20.3,0.7,435.3333333333333,322.6666666666667,-0.333,0.413,0.4,178.0,192.0,5.0,0.010923847642521467,0.42907099705793045,0.19531814810574355,-0.27974732854254547,-0.0153003833909163,0.41466244725738394,0.0012020712513799343,-0.04598237170566363,-0.0328888340040741,0.0406113163293706
202211019.0,2022-11-13T13:00:00,1,2022,10,MIA,CLE,HOME,39.0,17.0,56.0,Hard Rock Stadium,7.0,10.0,13.0,9.0,0.0,25.0,14.0,33:14,21.0,3.0,15.0,3.0,53.0,379.0,7.2,5.0,23.0,77.0,3.3,1.0,30.0,21.0,302.0,3.0,0.0,10.1,14.4,70.0,135.69,10.0,5.0,50.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,3.0,38.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,51.0,51.0,0.0,0.0,0.0,7.0,0.0,3.0,7.0,0.0,34.0,46.0,26:46,23.0,15.0,7.0,1.0,70.0,368.0,5.3,4.0,40.0,252.0,6.3,1.0,28.0,17.0,116.0,3.0,0.0,4.1,6.8,60.7,105.65,16.0,10.0,62.5,2.0,1.0,50.0,4.0,3.0,0.0,0.0,4.0,92.0,0.0,0.0,2.0,7.0,3.0,1.0,2.0,83.0,41.5,0.0,0.0,0.0,66.7,0.0,75.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,46.0,23.0,2.0,7.0,1.0,0.0,0.0,36.0,7.0,0.0,0.0,2.0,0.0,0.0,Sunday,993003392,19,8,18135.0,22.0,1,0.0,0.5,0.0,0.2068961663244791,0.4428571428571428,0.7190732193493303,-0.1967574113207917,0.0875049955407979,0.4269662921348314,0.2754608065524659,0.0851935500195395,27.3,23.0,4.3,409.0,367.3333333333333,0.667,0.484,0.6,213.0,224.0,6.0,0.13045274022799316,0.44048932783109995,0.4605954896827263,-0.18716213721992414,0.0354515733364112,0.4412438038949203,0.1239817071865662,0.001417970603722965,0.023267196018653298,0.04009945470211218
