gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310102.0,2023-09-10T13:00:00,1,2023,1,ATL,CAR,HOME,24.0,10.0,34.0,Mercedes-Benz Stadium,0.0,7.0,3.0,14.0,0.0,,,25:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,3.0,0.0,0.0,,,34:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003782,2,5,,14.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310202.0,2023-09-17T13:00:00,1,2023,2,ATL,GB,HOME,25.0,24.0,49.0,Mercedes-Benz Stadium,3.0,6.0,3.0,13.0,0.0,25.0,19.0,36:15,13.0,7.0,6.0,0.0,48.0,221.0,4.6,3.0,26.0,130.0,5.0,2.0,18.0,15.0,91.0,1.0,0.0,5.1,6.1,83.3,106.25,10.0,2.0,20.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,43.0,1.0,0.0,4.0,24.0,8.0,4.0,7.0,337.0,48.1,0.0,3.0,3.0,0.0,10.0,14.0,0.0,0.0,34.0,41.0,23:45,20.0,9.0,9.0,2.0,72.0,281.0,3.9,1.0,32.0,154.0,4.8,0.0,38.0,20.0,127.0,1.0,2.0,3.3,6.4,52.6,46.71,14.0,5.0,35.7,2.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,66.0,2.0,1.0,2.0,19.0,5.0,6.0,5.0,266.0,53.2,3.0,0.0,-3.0,100.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,40.0,2.0,19.0,4.0,1.0,1.0,38.0,19.0,4.0,24.0,0.0,1.0,0.0,Sunday,993003820,2,12,18486.0,1.0,1,3.0,0.2,0.0,-0.0644881308554415,0.4057971014492754,-0.2333084801030054,-0.051822554008084,-0.2132978357177623,0.3736263736263736,-0.2339643543509785,-0.2953337398019709,24.0,10.0,14.0,221.0,281.0,3.0,0.2,1.0,24.0,10.0,1.0,-0.0644881308554415,0.4057971014492754,-0.2333084801030054,-0.051822554008084,-0.2132978357177623,0.3736263736263736,-0.2339643543509785,-0.2953337398019709,-0.0644881308554415,-0.2132978357177623
202310311.0,2023-09-24T13:00:00,1,2023,3,ATL,DET,AWAY,6.0,20.0,26.0,Ford Field,0.0,3.0,0.0,3.0,0.0,36.0,15.0,27:03,27.0,15.0,10.0,2.0,78.0,446.0,5.7,2.0,45.0,211.0,4.7,1.0,32.0,19.0,235.0,1.0,1.0,7.3,12.4,59.4,79.56,15.0,6.0,40.0,4.0,3.0,75.0,5.0,2.0,0.0,0.0,6.0,110.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,45.0,45.0,1.0,0.0,-1.0,3.0,10.0,0.0,7.0,0.0,23.0,45.0,32:57,17.0,4.0,10.0,3.0,47.0,224.0,4.8,3.0,21.0,84.0,4.0,0.0,25.0,14.0,140.0,3.0,0.0,5.6,10.0,56.0,111.67,9.0,3.0,33.3,1.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,40.0,0.0,0.0,1.0,11.0,6.0,2.0,4.0,199.0,49.8,0.0,1.0,1.0,40.0,0.0,66.7,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,12.0,1.0,11.0,5.0,0.0,0.0,48.0,39.0,1.0,2.0,4.0,0.0,0.0,Sunday,993003843,2,11,18557.0,-14.0,0,-1.0,0.4,0.0,0.039019505339849,0.4845360824742268,0.070870003019284,0.1247281963578874,0.0585088733838587,0.4202898550724637,0.4050686564082509,-0.1182095779338851,24.5,17.0,7.5,333.5,252.5,1.0,0.3,1.0,49.0,34.0,2.0,-0.01273431275779625,0.4451665919617511,-0.0812192385418607,0.0364528211749017,-0.0773944811669518,0.39695811434941863,0.0855521510286362,-0.206771658867928,-0.01273431275779625,-0.0773944811669518
202310415.0,2023-10-01T09:30:00,1,2023,4,ATL,JAX,AWAY,7.0,23.0,30.0,Wembley Stadium,0.0,0.0,7.0,0.0,0.0,27.0,3.0,27:09,16.0,3.0,9.0,4.0,65.0,183.0,2.8,0.0,20.0,44.0,2.2,0.0,38.0,21.0,139.0,0.0,0.0,3.7,6.6,55.3,63.38,14.0,4.0,28.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,24.0,1.0,1.0,7.0,62.0,9.0,4.0,6.0,295.0,49.2,1.0,1.0,0.0,7.0,10.0,0.0,6.0,0.0,32.0,57.0,32:51,18.0,5.0,11.0,2.0,64.0,358.0,5.6,2.0,31.0,115.0,3.7,1.0,33.0,22.0,243.0,1.0,1.0,7.4,11.0,66.7,85.8,14.0,4.0,28.6,0.0,0.0,0.0,4.0,1.0,0.0,0.0,10.0,119.0,0.0,0.0,0.0,0.0,8.0,11.0,6.0,274.0,45.7,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,38.0,0.0,0.0,4.0,0.0,0.0,45.0,19.0,7.0,62.0,7.0,1.0,1.0,Sunday,993003875,2,15,18456.0,-16.0,0,0.0,0.286,0.0,-0.2840376367980968,0.3095238095238095,-0.2574441130646043,-0.3451905644845528,-0.1037715141806859,0.3734939759036144,0.0600437837727955,-0.1943492142570903,18.3,18.0,0.3,283.3333333333333,287.6666666666667,0.667,0.295,0.667,55.0,54.0,2.0,-0.1031687541045631,0.39995233114910383,-0.13996086338277522,-0.09076164071158314,-0.08618682550486317,0.3891367348674839,0.07704936194335597,-0.20263084399764877,-0.1031687541045631,-0.08618682550486317
202310502.0,2023-10-08T13:00:00,1,2023,5,ATL,HOU,HOME,21.0,19.0,40.0,Mercedes-Benz Stadium,7.0,0.0,0.0,14.0,0.0,27.0,9.0,35:32,17.0,6.0,11.0,0.0,57.0,287.0,5.0,1.0,22.0,127.0,5.8,0.0,31.0,19.0,160.0,1.0,2.0,5.2,8.4,61.3,58.53,12.0,6.0,50.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,50.0,1.0,1.0,4.0,31.0,7.0,3.0,5.0,271.0,54.2,3.0,0.0,-3.0,3.0,6.0,3.0,7.0,0.0,32.0,51.0,24:28,16.0,4.0,11.0,1.0,64.0,300.0,4.7,2.0,32.0,105.0,3.3,0.0,30.0,23.0,195.0,1.0,0.0,6.5,8.5,76.7,104.17,14.0,5.0,35.7,2.0,1.0,50.0,1.0,0.0,0.0,0.0,3.0,25.0,2.0,0.0,2.0,12.0,7.0,6.0,3.0,160.0,53.3,0.0,3.0,3.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,40.0,36.0,2.0,12.0,0.0,2.0,0.0,40.0,11.0,4.0,31.0,9.0,1.0,1.0,Sunday,993003916,2,13,18332.0,2.0,1,-3.0,0.5,0.0,-0.178429739999662,0.4246575342465753,-0.510413531810234,0.085057703747658,0.095179999670705,0.4102564102564102,0.2600438419751388,-0.2979719074101859,12.7,22.3,-9.7,305.3333333333333,294.0,-1.333,0.395,0.5,62.0,77.0,2.0,-0.1411492904859699,0.4062391420815372,-0.23232921395185144,-0.04513488812633581,0.01663911962462593,0.40134674707749607,0.24171876071872841,-0.2035102332003871,-0.12198400057833782,-0.04084511921097113
202310602.0,2023-10-15T13:00:00,1,2023,6,ATL,WAS,HOME,16.0,24.0,40.0,Mercedes-Benz Stadium,7.0,3.0,0.0,6.0,0.0,35.0,32.0,36:23,26.0,8.0,18.0,0.0,74.0,447.0,6.0,2.0,36.0,96.0,2.7,1.0,38.0,29.0,351.0,1.0,0.0,9.2,12.1,76.3,112.94,14.0,7.0,50.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,7.0,55.0,3.0,2.0,0.0,0.0,2.0,4.0,5.0,200.0,40.0,2.0,0.0,-2.0,3.0,14.0,7.0,0.0,0.0,24.0,28.0,23:37,17.0,3.0,13.0,1.0,58.0,313.0,5.4,1.0,23.0,64.0,2.8,0.0,35.0,20.0,249.0,1.0,0.0,7.1,12.4,57.1,88.87,13.0,4.0,30.8,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,234.0,39.0,0.0,2.0,2.0,50.0,0.0,33.3,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,36.0,16.0,0.0,0.0,5.0,0.0,0.0,54.0,29.0,0.0,0.0,3.0,2.0,2.0,Sunday,993003946,2,35,18347.0,-8.0,0,-2.0,0.5,0.0,-0.0522874130364001,0.4387755102040816,0.2576494013261715,-0.3624092517900006,-0.060028030293679,0.3733333333333333,0.0947877519545746,-0.3107630858429595,11.3,20.7,-9.3,305.6666666666667,323.6666666666667,-1.667,0.429,0.6,83.0,96.0,3.0,-0.17158492994471963,0.3909856179914888,-0.17006941451622226,-0.20751403750896513,-0.022873181601219966,0.3856945731644526,0.13829179256750299,-0.26769473583674525,-0.10804468306995027,-0.0446817014275127
202310733.0,2023-10-22T13:00:00,1,2023,7,ATL,TB,AWAY,16.0,13.0,29.0,Raymond James Stadium,7.0,3.0,3.0,3.0,0.0,36.0,23.0,29:59,25.0,5.0,18.0,2.0,79.0,402.0,5.1,2.0,29.0,106.0,3.7,0.0,47.0,28.0,296.0,2.0,3.0,6.3,10.6,59.6,65.56,15.0,5.0,33.3,3.0,1.0,33.3,3.0,2.0,0.0,0.0,4.0,31.0,0.0,0.0,3.0,11.0,10.0,4.0,3.0,140.0,46.7,3.0,0.0,-3.0,7.0,3.0,0.0,3.0,0.0,23.0,37.0,30:01,13.0,3.0,9.0,1.0,50.0,193.0,3.9,3.0,22.0,72.0,3.3,0.0,23.0,14.0,121.0,3.0,0.0,5.3,8.6,60.9,114.31,10.0,2.0,20.0,1.0,1.0,100.0,3.0,2.0,0.0,0.0,6.0,40.0,0.0,0.0,5.0,30.0,6.0,2.0,6.0,260.0,43.3,0.0,3.0,3.0,66.7,0.0,66.7,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,20.0,5.0,30.0,2.0,0.0,0.0,51.0,26.0,3.0,11.0,9.0,0.0,0.0,Sunday,993003965,2,33,18359.0,3.0,1,-3.0,0.333,0.0,-0.1328617816640672,0.3737373737373737,-0.0390617389941757,-0.2779154028815183,-0.0371384707612487,0.3692307692307692,-0.0286372220799744,-0.0292005418695657,14.7,22.0,-7.3,378.6666666666667,268.6666666666667,-2.667,0.444,0.4,99.0,120.0,3.0,-0.12119297823337642,0.41239013939601027,-0.0972752898260794,-0.18508898364128698,-0.0006621671280742323,0.3842735042735042,0.10873145728324633,-0.21264517837423702,-0.12171941323167541,-0.009449828436209982
202310834.0,2023-10-29T13:00:00,1,2023,8,ATL,TEN,AWAY,23.0,28.0,51.0,Nissan Stadium,3.0,0.0,6.0,14.0,0.0,29.0,59.0,27:01,20.0,10.0,9.0,1.0,64.0,401.0,6.3,1.0,38.0,156.0,4.1,1.0,25.0,19.0,245.0,0.0,0.0,9.8,12.9,76.0,106.25,13.0,7.0,53.8,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,60.0,3.0,3.0,1.0,5.0,6.0,5.0,3.0,134.0,44.7,3.0,2.0,-1.0,7.0,7.0,7.0,7.0,0.0,30.0,1.0,32:59,21.0,2.0,13.0,6.0,65.0,329.0,5.1,1.0,20.0,73.0,3.6,0.0,42.0,27.0,256.0,1.0,1.0,6.1,9.5,64.3,79.07,12.0,6.0,50.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,66.0,2.0,1.0,3.0,19.0,1.0,2.0,3.0,144.0,48.0,2.0,3.0,1.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,39.0,27.0,3.0,19.0,7.0,2.0,1.0,48.0,28.0,1.0,5.0,3.0,2.0,2.0,Sunday,993003991,2,34,18520.0,-5.0,0,-1.0,0.538,0.0,-0.0110324586218061,0.4487179487179487,0.3623797005883113,-0.342844715483195,-0.0701722887116019,0.3820224719101123,0.0646922969518178,-0.4079265151667641,17.7,18.7,-1.0,416.6666666666667,278.3333333333333,-2.0,0.457,0.4,115.0,133.0,4.0,-0.06539388444075779,0.42041027755313465,0.19365578764010238,-0.32772312338490467,-0.055779596588843204,0.37486219149140493,0.04361427560880601,-0.2492967142930964,-0.13172980602400644,-0.035186060855302105
202310902.0,2023-11-05T13:00:00,1,2023,9,ATL,MIN,HOME,28.0,31.0,59.0,Mercedes-Benz Stadium,0.0,0.0,0.0,0.0,28.0,27.0,1.0,28:28,17.0,4.0,12.0,1.0,66.0,342.0,5.2,2.0,26.0,140.0,5.4,1.0,34.0,20.0,202.0,1.0,0.0,5.9,10.1,58.8,85.66,15.0,4.0,26.7,2.0,1.0,50.0,3.0,2.0,0.0,0.0,3.0,15.0,1.0,1.0,6.0,44.0,11.0,4.0,6.0,305.0,50.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,59.0,31:32,17.0,9.0,7.0,1.0,67.0,375.0,5.6,4.0,36.0,149.0,4.1,0.0,29.0,19.0,226.0,4.0,0.0,7.8,11.9,65.5,128.74,15.0,5.0,33.3,1.0,1.0,100.0,1.0,1.0,0.0,0.0,6.0,53.0,1.0,1.0,2.0,12.0,9.0,7.0,8.0,420.0,52.5,1.0,1.0,0.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,24.0,2.0,12.0,2.0,0.0,1.0,42.0,24.0,6.0,44.0,4.0,1.0,1.0,Sunday,993004026,2,20,18575.0,-3.0,0,0.0,0.267,0.0,-0.0148689106374927,0.425287356321839,-0.1271319438256515,0.1060983882211571,0.0071519231642257,0.4090909090909091,0.1265516958476784,-0.0520953057366568,18.3,21.7,-3.3,381.6666666666667,299.0,-1.333,0.379,0.4,138.0,161.0,4.0,-0.05292105030778866,0.4159142262590538,0.06539533925616138,-0.17155391004785206,-0.03338627876954164,0.38678138341059687,0.05420225690650726,-0.16307412092432885,-0.07789606079188563,-0.013001373386319782
202311001.0,2023-11-12T16:05:00,1,2023,10,ATL,ARI,AWAY,23.0,25.0,48.0,State Farm Stadium,0.0,14.0,3.0,6.0,0.0,28.0,28.0,31:42,18.0,6.0,12.0,0.0,67.0,370.0,5.5,2.0,28.0,110.0,3.9,1.0,38.0,21.0,260.0,1.0,1.0,6.8,12.4,55.3,74.45,18.0,10.0,55.6,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,62.0,1.0,1.0,1.0,8.0,4.0,9.0,4.0,175.0,43.8,2.0,2.0,0.0,3.0,9.0,10.0,3.0,0.0,31.0,32.0,28:18,23.0,8.0,13.0,2.0,73.0,363.0,5.0,3.0,33.0,146.0,4.4,1.0,36.0,25.0,217.0,2.0,0.0,6.0,8.7,69.4,103.59,16.0,7.0,43.8,1.0,1.0,100.0,6.0,3.0,0.0,0.0,1.0,4.0,3.0,2.0,4.0,19.0,3.0,6.0,3.0,133.0,44.3,2.0,2.0,0.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,50.0,31.0,4.0,19.0,6.0,2.0,2.0,43.0,24.0,1.0,8.0,4.0,1.0,1.0,Sunday,993004065,2,1,18373.0,-2.0,0,0.0,0.556,0.0,-0.0729451193003133,0.3516483516483517,-0.0334221213192316,-0.3311560881206203,-0.0194698750960964,0.4021739130434782,0.1533590692669632,-0.3369127832096409,22.3,24.0,-1.7,371.0,355.6666666666667,-0.333,0.454,0.4,166.0,192.0,4.0,-0.032948829519870694,0.40855121889604645,0.06727521181447609,-0.18930080512755273,-0.027496746881157535,0.3977624313481665,0.11486768735548647,-0.2656448680376873,-0.05679913665201588,-0.03593134833968006
