gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310103.0,2023-09-10T13:00:00,1,2023,1,HOU,BAL,AWAY,9.0,25.0,34.0,M&T Bank Stadium,0.0,6.0,0.0,3.0,0.0,,,29:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,15.0,3.0,0.0,,,30:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003793,13,3,,-16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310213.0,2023-09-17T13:00:00,1,2023,2,HOU,IND,HOME,20.0,31.0,51.0,NRG Stadium,7.0,3.0,0.0,10.0,0.0,29.0,5.0,34:58,18.0,1.0,13.0,4.0,72.0,268.0,3.7,0.0,23.0,72.0,3.1,0.0,44.0,28.0,196.0,0.0,0.0,4.5,7.0,63.6,73.67,18.0,7.0,38.9,4.0,1.0,25.0,2.0,0.0,0.0,0.0,9.0,88.0,1.0,1.0,5.0,46.0,6.0,5.0,4.0,176.0,44.0,1.0,2.0,1.0,14.0,14.0,3.0,0.0,0.0,30.0,55.0,25:02,18.0,7.0,8.0,3.0,58.0,265.0,4.6,3.0,32.0,110.0,3.4,3.0,22.0,17.0,155.0,0.0,1.0,7.0,9.1,77.3,76.89,15.0,8.0,53.3,0.0,0.0,0.0,5.0,3.0,0.0,0.0,13.0,106.0,2.0,1.0,4.0,14.0,10.0,6.0,5.0,249.0,49.8,2.0,1.0,-1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,40.0,23.0,4.0,14.0,1.0,1.0,1.0,45.0,32.0,5.0,46.0,4.0,1.0,1.0,Sunday,993003816,13,14,18493.0,-11.0,0,1.0,0.389,0.0,-0.233128669510235,0.3118279569892473,-0.2582356137293518,-0.3966693962769655,-0.052737514392415,0.4050632911392405,-0.0571111775230639,-0.0197792631350136,9.0,25.0,-16.0,268.0,265.0,1.0,0.389,0.0,9.0,25.0,0.0,-0.233128669510235,0.3118279569892473,-0.2582356137293518,-0.3966693962769655,-0.052737514392415,0.4050632911392405,-0.0571111775230639,-0.0197792631350136,-0.233128669510235,-0.052737514392415
202310315.0,2023-09-24T13:00:00,1,2023,3,HOU,JAX,AWAY,37.0,17.0,54.0,EverBank Stadium,7.0,10.0,7.0,13.0,0.0,34.0,58.0,27:57,24.0,3.0,18.0,3.0,79.0,389.0,4.9,2.0,26.0,52.0,2.0,0.0,47.0,30.0,337.0,2.0,0.0,7.2,11.2,63.8,99.34,19.0,9.0,47.4,2.0,2.0,100.0,4.0,1.0,0.0,0.0,3.0,20.0,3.0,1.0,6.0,47.0,1.0,0.0,3.0,127.0,42.3,1.0,0.0,-1.0,0.0,0.0,10.0,7.0,0.0,25.0,2.0,32:03,19.0,6.0,13.0,0.0,56.0,353.0,6.3,4.0,23.0,126.0,5.5,3.0,33.0,25.0,227.0,1.0,0.0,6.9,9.1,75.8,103.98,12.0,6.0,50.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,42.0,1.0,0.0,0.0,0.0,9.0,10.0,5.0,220.0,44.0,0.0,1.0,1.0,25.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,19.0,0.0,0.0,1.0,1.0,0.0,53.0,17.0,6.0,47.0,2.0,1.0,1.0,Sunday,993003859,13,15,18564.0,20.0,1,-1.0,0.474,0.0,-0.0353731248981952,0.392156862745098,0.0816778609680005,-0.1728406777428636,0.1365886976534356,0.4666666666666667,0.2360880013979983,0.2210717199320372,14.5,28.0,-13.5,328.5,309.0,0.0,0.431,0.0,29.0,56.0,0.0,-0.1342508972042151,0.3519924098671726,-0.08827887638067564,-0.28475503700991456,0.041925591630510295,0.4358649789029536,0.0894884119374672,0.1006462283985118,-0.1342508972042151,0.041925591630510295
202310413.0,2023-10-01T13:00:00,1,2023,4,HOU,PIT,HOME,30.0,6.0,36.0,NRG Stadium,10.0,6.0,0.0,14.0,0.0,27.0,57.0,32:35,15.0,4.0,11.0,0.0,56.0,366.0,6.5,4.0,26.0,86.0,3.3,1.0,30.0,20.0,280.0,2.0,0.0,9.3,14.0,66.7,118.75,15.0,9.0,60.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,8.0,75.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,173.0,43.2,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,32.0,3.0,27:25,22.0,8.0,13.0,1.0,69.0,404.0,5.9,2.0,27.0,116.0,4.3,1.0,42.0,29.0,288.0,1.0,1.0,6.9,9.9,69.0,86.21,13.0,5.0,38.5,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,49.0,1.0,1.0,0.0,0.0,4.0,5.0,2.0,94.0,47.0,2.0,0.0,-2.0,40.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,47.0,22.0,0.0,0.0,5.0,1.0,1.0,38.0,25.0,0.0,0.0,2.0,0.0,0.0,Sunday,993003892,13,28,18462.0,24.0,1,2.0,0.6,0.0,0.2008314602581759,0.48,0.4939723708154467,-0.1194372215742421,-0.1197373613530943,0.4347826086956521,-0.0058490647495273,-0.0506861594400834,22.0,24.3,-2.3,341.0,340.6666666666667,0.667,0.488,0.333,66.0,73.0,1.0,-0.02255677805008477,0.39466160657811505,0.10580487268469847,-0.22964909853135707,-0.011962059364024571,0.4355041888338531,0.057709253041802376,0.05020209911898007,-0.02255677805008477,-0.011962059364024571
202310502.0,2023-10-08T13:00:00,1,2023,5,HOU,ATL,AWAY,19.0,21.0,40.0,Mercedes-Benz Stadium,3.0,6.0,3.0,7.0,0.0,32.0,35.0,24:28,24.0,9.0,14.0,1.0,69.0,451.0,6.5,3.0,38.0,139.0,3.7,0.0,31.0,17.0,312.0,3.0,0.0,10.1,18.4,54.8,121.98,12.0,6.0,50.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,63.0,2.0,0.0,0.0,0.0,6.0,7.0,3.0,114.0,38.0,0.0,1.0,1.0,7.0,0.0,0.0,14.0,0.0,27.0,25.0,35:32,12.0,7.0,4.0,1.0,56.0,225.0,4.0,0.0,25.0,114.0,4.6,0.0,28.0,18.0,111.0,0.0,1.0,4.0,6.2,64.3,57.29,14.0,6.0,42.9,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18.0,2.0,0.0,3.0,21.0,6.0,3.0,5.0,238.0,47.6,1.0,0.0,-1.0,66.7,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,27.0,3.0,21.0,5.0,2.0,0.0,40.0,31.0,0.0,0.0,4.0,1.0,0.0,Sunday,993003915,13,2,18509.0,-2.0,0,1.0,0.5,0.0,0.0997632320068518,0.4482758620689655,0.4643022423078191,-0.1387066871571328,-0.2389687438310468,0.3287671232876712,-0.3357868243881445,-0.1212580041482473,29.0,18.0,11.0,402.0,327.3333333333333,0.667,0.525,0.5,96.0,79.0,2.0,0.0884071891222775,0.44014424160468785,0.34665082469708874,-0.14366152882474617,-0.07403913584356851,0.41007213288333005,-0.03518262924655783,0.016375852114568833,0.008023224464149374,-0.06871373048078012
202310613.0,2023-10-15T13:00:00,1,2023,6,HOU,NO,HOME,20.0,13.0,33.0,NRG Stadium,7.0,10.0,3.0,0.0,0.0,24.0,28.0,28:27,17.0,3.0,13.0,1.0,58.0,313.0,5.4,1.0,23.0,64.0,2.8,0.0,35.0,20.0,249.0,1.0,0.0,7.1,12.4,57.1,88.87,13.0,4.0,30.8,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,234.0,39.0,0.0,2.0,2.0,7.0,3.0,3.0,0.0,0.0,35.0,32.0,31:33,26.0,8.0,18.0,0.0,74.0,447.0,6.0,2.0,36.0,96.0,2.7,1.0,38.0,29.0,351.0,1.0,0.0,9.2,12.1,76.3,112.94,14.0,7.0,50.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,7.0,55.0,3.0,2.0,0.0,0.0,2.0,4.0,5.0,200.0,40.0,2.0,0.0,-2.0,33.3,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,54.0,29.0,0.0,0.0,3.0,2.0,2.0,36.0,16.0,0.0,0.0,5.0,0.0,0.0,Sunday,993003950,13,22,18347.0,7.0,1,2.0,0.308,0.0,-0.060028030293679,0.3733333333333333,0.0947877519545746,-0.3107630858429595,-0.0522874130364001,0.4387755102040816,0.2576494013261715,-0.3624092517900006,28.7,14.7,14.0,376.6666666666667,358.6666666666667,1.667,0.469,0.4,115.0,100.0,2.0,0.0801888873237829,0.43386973180076627,0.35102078835928013,-0.18963566485811145,-0.13699783940684707,0.400775080729135,-0.02799549593716677,-0.17811780512611045,-0.005587026487416301,-0.06542846699190412
202310805.0,2023-10-29T13:00:00,1,2023,8,HOU,CAR,AWAY,13.0,15.0,28.0,Bank of America Stadium,0.0,7.0,6.0,0.0,0.0,28.0,27.0,29:31,19.0,7.0,9.0,3.0,60.0,297.0,5.0,2.0,31.0,120.0,3.9,0.0,27.0,13.0,177.0,2.0,1.0,6.6,13.6,48.1,78.78,11.0,4.0,36.4,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,29.0,0.0,0.0,2.0,22.0,8.0,5.0,5.0,237.0,47.4,1.0,2.0,1.0,0.0,6.0,6.0,3.0,0.0,31.0,33.0,30:29,24.0,9.0,13.0,2.0,78.0,430.0,5.5,1.0,25.0,89.0,3.6,0.0,51.0,33.0,341.0,1.0,1.0,6.7,10.3,64.7,82.23,15.0,6.0,40.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,83.0,1.0,1.0,2.0,16.0,3.0,6.0,3.0,126.0,42.0,2.0,1.0,-1.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,52.0,24.0,2.0,16.0,3.0,1.0,1.0,35.0,22.0,2.0,22.0,3.0,0.0,0.0,Sunday,993004001,13,5,18366.0,-2.0,0,1.0,0.364,0.0,0.0249903241420462,0.4415584415584415,0.125365628905316,-0.0443278941253585,-0.0585747321916366,0.4536082474226804,0.0852814758580282,-0.101197380980011,23.0,13.3,9.7,353.6666666666667,367.3333333333333,1.333,0.39,0.6,135.0,113.0,3.0,0.021575175285073,0.42105587898691343,0.22815187438923656,-0.16459922237515026,-0.11661029635302783,0.4070502936381444,0.0023813509320183973,-0.19495487897275296,0.04603677224303994,-0.06659591055174843
202310913.0,2023-11-05T13:00:00,1,2023,9,HOU,TB,HOME,39.0,37.0,76.0,NRG Stadium,0.0,0.0,0.0,0.0,39.0,29.0,31.0,28:40,16.0,6.0,10.0,0.0,56.0,229.0,4.1,2.0,30.0,110.0,3.7,2.0,24.0,16.0,119.0,0.0,0.0,5.0,7.4,66.7,78.3,12.0,5.0,41.7,1.0,1.0,100.0,2.0,2.0,0.0,0.0,10.0,70.0,1.0,1.0,2.0,21.0,10.0,10.0,6.0,287.0,47.8,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,37.0,30.0,29.0,31:20,20.0,3.0,11.0,6.0,61.0,224.0,3.7,1.0,24.0,44.0,1.8,0.0,31.0,22.0,180.0,1.0,0.0,5.8,8.2,71.0,96.17,14.0,5.0,35.7,2.0,1.0,50.0,4.0,1.0,0.0,0.0,3.0,20.0,0.0,0.0,6.0,55.0,3.0,5.0,4.0,203.0,50.8,0.0,1.0,1.0,100.0,0.0,25.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,42.0,27.0,6.0,55.0,3.0,0.0,0.0,34.0,30.0,2.0,21.0,4.0,1.0,1.0,Sunday,993004034,13,33,18581.0,2.0,1,-1.0,0.417,0.0,-0.043239996777953,0.3943661971830985,-0.1357969903584794,0.0441085071852912,-0.0207760314325376,0.4146341463414634,0.0997212629236129,-0.4959558831107354,17.3,16.3,1.0,279.6666666666667,367.0,0.667,0.363,0.6,148.0,128.0,3.0,-0.02609256764319527,0.40308599069162443,0.02811879683380374,-0.10366082426100892,-0.04387939222019143,0.4356726346560751,0.14755071336927086,-0.319854171960249,0.04446339786708838,-0.09806885636894308
202311007.0,2023-11-12T13:00:00,1,2023,10,HOU,CIN,AWAY,30.0,27.0,57.0,Paycor Stadium,0.0,10.0,10.0,10.0,0.0,28.0,40.0,31:30,26.0,2.0,22.0,2.0,62.0,496.0,8.0,5.0,17.0,53.0,3.1,0.0,42.0,30.0,443.0,5.0,0.0,10.5,14.8,71.4,145.14,11.0,3.0,27.3,1.0,1.0,100.0,4.0,3.0,0.0,0.0,9.0,115.0,2.0,1.0,3.0,27.0,5.0,6.0,3.0,174.0,58.0,1.0,1.0,0.0,7.0,0.0,10.0,10.0,0.0,31.0,20.0,28:30,21.0,8.0,10.0,3.0,63.0,332.0,5.3,4.0,31.0,81.0,2.6,2.0,30.0,21.0,251.0,2.0,0.0,8.4,12.0,70.0,117.5,13.0,3.0,23.1,2.0,2.0,100.0,5.0,4.0,0.0,0.0,9.0,90.0,2.0,1.0,2.0,14.0,6.0,9.0,4.0,202.0,50.5,1.0,1.0,0.0,75.0,0.0,80.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,42.0,28.0,2.0,14.0,3.0,2.0,1.0,42.0,14.0,3.0,27.0,1.0,2.0,1.0,Sunday,993004055,13,7,18379.0,3.0,1,0.0,0.273,0.0,0.1493914411632186,0.4090909090909091,0.4226610607105562,-0.3668541815291857,0.1704907205551415,0.425287356321839,0.3744392816685152,-0.0927670109537349,24.0,21.7,2.3,340.6666666666667,328.6666666666667,0.0,0.351,0.6,187.0,165.0,4.0,0.04371392284243727,0.41500518261081637,0.1374098997524643,-0.12235785615641766,0.030379985643655776,0.43117658336199427,0.1864806734833854,-0.2299734250148271,0.03417539404809691,-0.04002323998729592
202311113.0,2023-11-19T13:00:00,1,2023,11,HOU,ARI,HOME,21.0,16.0,37.0,NRG Stadium,7.0,14.0,0.0,0.0,0.0,31.0,30.0,31:15,28.0,10.0,16.0,2.0,74.0,544.0,7.4,3.0,34.0,188.0,5.5,2.0,39.0,23.0,356.0,1.0,1.0,9.1,15.5,59.0,87.13,13.0,4.0,30.8,1.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,50.0,2.0,2.0,1.0,0.0,9.0,6.0,4.0,169.0,42.2,3.0,2.0,-1.0,10.0,0.0,6.0,0.0,0.0,28.0,30.0,28:45,20.0,5.0,11.0,4.0,60.0,380.0,6.3,3.0,16.0,66.0,4.1,1.0,40.0,27.0,314.0,2.0,2.0,7.8,11.6,67.5,86.88,14.0,6.0,42.9,1.0,1.0,100.0,3.0,1.0,0.0,0.0,4.0,63.0,1.0,0.0,4.0,33.0,4.0,1.0,5.0,259.0,51.8,2.0,3.0,1.0,60.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,38.0,22.0,4.0,33.0,2.0,1.0,0.0,44.0,30.0,1.0,0.0,7.0,1.0,2.0,Sunday,993004090,13,1,18386.0,5.0,1,-1.0,0.308,0.0,0.0948263420192558,0.4361702127659574,0.2313372140569505,0.0203837367571947,0.0522176838377557,0.4146341463414634,0.0875881870434604,-0.2160272038575688,27.3,26.3,1.0,423.0,312.0,-0.667,0.332,0.6,217.0,192.0,5.0,0.06699259546817381,0.41320910634665503,0.17273376146967578,-0.10078731252889994,0.06731079098678654,0.41818521633492195,0.18724957721186283,-0.26825003264067976,0.03318801605057771,0.018214045546464573
