gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310114.0,2023-09-10T13:00:00,1,2023,1,IND,JAX,HOME,21.0,31.0,52.0,Lucas Oil Stadium,0.0,7.0,14.0,0.0,0.0,,,26:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,3.0,14.0,0.0,,,33:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003790,14,15,,-10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310213.0,2023-09-17T13:00:00,1,2023,2,IND,HOU,AWAY,31.0,20.0,51.0,NRG Stadium,14.0,14.0,3.0,0.0,0.0,26.0,23.0,25:02,18.0,4.0,12.0,2.0,69.0,280.0,4.1,3.0,26.0,65.0,2.5,1.0,39.0,24.0,215.0,1.0,1.0,5.5,9.0,61.5,74.2,12.0,2.0,16.7,5.0,1.0,20.0,3.0,1.0,0.0,0.0,4.0,35.0,2.0,2.0,4.0,8.0,4.0,7.0,5.0,208.0,41.6,3.0,2.0,-1.0,7.0,3.0,0.0,10.0,0.0,33.0,37.0,34:58,20.0,9.0,10.0,1.0,69.0,342.0,5.0,4.0,35.0,105.0,3.0,2.0,32.0,24.0,237.0,2.0,1.0,7.4,9.9,75.0,103.26,12.0,3.0,25.0,3.0,1.0,33.3,3.0,3.0,0.0,0.0,4.0,45.0,3.0,1.0,2.0,4.0,6.0,6.0,5.0,223.0,44.6,2.0,3.0,1.0,33.3,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,27.0,2.0,4.0,3.0,3.0,1.0,45.0,21.0,4.0,8.0,5.0,2.0,2.0,Sunday,993003815,14,13,18488.0,11.0,1,-1.0,0.167,0.0,-0.3559789680360367,0.3146067415730337,-0.1930591597278811,-0.7566043188765079,-0.2179446787199056,0.4880952380952381,-0.2579004388777925,-0.2282090549210754,21.0,31.0,-10.0,280.0,342.0,-1.0,0.167,0.0,21.0,31.0,0.0,-0.3559789680360367,0.3146067415730337,-0.1930591597278811,-0.7566043188765079,-0.2179446787199056,0.4880952380952381,-0.2579004388777925,-0.2282090549210754,-0.3559789680360367,-0.2179446787199056
202310303.0,2023-09-24T13:00:00,1,2023,3,IND,BAL,AWAY,22.0,19.0,41.0,M&T Bank Stadium,0.0,10.0,3.0,6.0,3.0,25.0,2.0,36:33,19.0,6.0,13.0,0.0,56.0,353.0,6.3,4.0,23.0,126.0,5.5,3.0,33.0,25.0,227.0,1.0,0.0,6.9,9.1,75.8,103.98,12.0,6.0,50.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,42.0,1.0,0.0,0.0,0.0,9.0,10.0,5.0,220.0,44.0,0.0,1.0,1.0,7.0,0.0,7.0,5.0,0.0,34.0,58.0,32:18,24.0,3.0,18.0,3.0,79.0,389.0,4.9,2.0,26.0,52.0,2.0,0.0,47.0,30.0,337.0,2.0,0.0,7.2,11.2,63.8,99.34,19.0,9.0,47.4,2.0,2.0,100.0,4.0,1.0,0.0,0.0,3.0,20.0,3.0,1.0,6.0,47.0,1.0,0.0,3.0,127.0,42.3,1.0,0.0,-1.0,100.0,0.0,25.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,53.0,17.0,6.0,47.0,2.0,1.0,1.0,37.0,19.0,0.0,0.0,1.0,1.0,0.0,Sunday,993003855,14,3,18564.0,3.0,1,1.0,0.5,0.0,0.1365886976534356,0.4666666666666667,0.2360880013979983,0.2210717199320372,-0.0353731248981952,0.392156862745098,0.0816778609680005,-0.1728406777428636,26.0,25.5,0.5,316.5,365.5,0.0,0.333,0.5,52.0,51.0,1.0,-0.10969513519130054,0.3906367041198502,0.021514420835058598,-0.26776629947223535,-0.1266589018090504,0.44012605042016806,-0.088111288954896,-0.2005248663319695,-0.10969513519130054,-0.1266589018090504
202310414.0,2023-10-01T13:00:00,1,2023,4,IND,LAR,HOME,23.0,29.0,52.0,Lucas Oil Stadium,0.0,0.0,8.0,15.0,0.0,36.0,33.0,24:25,19.0,10.0,9.0,0.0,84.0,327.0,3.9,1.0,35.0,139.0,4.0,0.0,44.0,27.0,188.0,1.0,0.0,4.3,7.0,61.4,78.6,22.0,8.0,36.4,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,31.0,1.0,0.0,5.0,39.0,4.0,6.0,7.0,325.0,46.4,0.0,2.0,2.0,14.0,6.0,3.0,0.0,6.0,32.0,18.0,39:46,20.0,12.0,7.0,1.0,72.0,364.0,5.1,2.0,37.0,186.0,5.0,2.0,31.0,22.0,178.0,0.0,0.0,5.7,8.1,71.0,85.15,16.0,6.0,37.5,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,4.0,2.0,4.0,24.0,7.0,4.0,7.0,329.0,47.0,2.0,0.0,-2.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,52.0,24.0,4.0,24.0,1.0,3.0,2.0,53.0,34.0,5.0,39.0,5.0,1.0,0.0,Sunday,993003894,14,32,18463.0,-6.0,0,2.0,0.364,0.0,-0.0650676138542976,0.4074074074074074,-0.1718029638610162,-0.1296759629784155,-0.1361581552866345,0.4505494505494505,-0.2092937369146703,-0.0641711208099877,24.7,23.3,1.3,320.0,365.0,0.667,0.343,0.667,74.0,70.0,2.0,-0.09481929474563289,0.39622693854903596,-0.042924707396966334,-0.22173618730762876,-0.12982531963491176,0.4436005171299289,-0.12850543827482078,-0.15507361782464224,-0.09481929474563289,-0.12982531963491176
202310514.0,2023-10-08T13:00:00,1,2023,5,IND,TEN,HOME,23.0,16.0,39.0,Lucas Oil Stadium,7.0,3.0,7.0,6.0,0.0,24.0,25.0,31:03,19.0,6.0,10.0,3.0,58.0,329.0,5.7,3.0,31.0,133.0,4.3,1.0,25.0,11.0,196.0,2.0,0.0,7.8,17.8,44.0,98.08,10.0,3.0,30.0,2.0,1.0,50.0,2.0,2.0,0.0,0.0,8.0,80.0,2.0,1.0,2.0,4.0,9.0,4.0,4.0,193.0,48.2,1.0,1.0,0.0,3.0,3.0,10.0,0.0,0.0,39.0,46.0,28:57,27.0,8.0,16.0,3.0,78.0,467.0,6.0,3.0,36.0,164.0,4.6,2.0,40.0,27.0,303.0,1.0,1.0,7.6,11.2,67.5,87.81,15.0,6.0,40.0,1.0,1.0,100.0,3.0,2.0,0.0,0.0,8.0,85.0,1.0,0.0,2.0,16.0,3.0,7.0,3.0,123.0,41.0,1.0,1.0,0.0,100.0,0.0,66.7,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,52.0,23.0,2.0,16.0,7.0,1.0,0.0,33.0,29.0,2.0,4.0,4.0,2.0,1.0,Sunday,993003918,14,34,18505.0,7.0,1,0.0,0.3,0.0,-0.0128212852159428,0.3717948717948718,0.3198394288308984,-0.3028229167591364,0.0926599215525265,0.43,0.3185064219169791,-0.0624987641561466,25.3,22.7,2.7,336.3333333333333,406.6666666666667,1.0,0.388,0.5,97.0,99.0,2.0,0.01956659952773173,0.41528964862298196,0.12804148878929347,-0.07047571993517159,-0.026290452877434395,0.42423543776484945,0.0636301819901031,-0.09983685423633264,-0.07431979236321037,-0.0742040093380522
202310615.0,2023-10-15T13:00:00,1,2023,6,IND,JAX,AWAY,20.0,37.0,57.0,EverBank Stadium,3.0,3.0,0.0,14.0,0.0,31.0,3.0,31:19,21.0,7.0,12.0,2.0,61.0,429.0,7.0,2.0,34.0,193.0,5.7,2.0,26.0,20.0,236.0,0.0,0.0,9.1,11.8,76.9,104.01,13.0,8.0,61.5,1.0,0.0,0.0,5.0,1.0,0.0,0.0,8.0,55.0,1.0,0.0,1.0,17.0,8.0,1.0,1.0,50.0,50.0,0.0,1.0,1.0,0.0,21.0,10.0,6.0,0.0,28.0,57.0,28:41,19.0,4.0,14.0,1.0,58.0,348.0,6.0,1.0,22.0,89.0,4.0,1.0,35.0,23.0,259.0,0.0,1.0,7.4,11.3,65.7,75.77,12.0,5.0,41.7,2.0,1.0,50.0,4.0,1.0,0.0,0.0,4.0,58.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,43.0,43.0,1.0,0.0,-1.0,20.0,0.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,34.0,25.0,1.0,5.0,5.0,0.0,0.0,43.0,36.0,1.0,17.0,1.0,1.0,0.0,Sunday,993003947,14,15,18349.0,-17.0,0,1.0,0.615,0.0,0.1566371336908273,0.4,0.3313050097465636,0.0905737026173406,0.0916771134781081,0.410958904109589,0.2391962300801086,-0.1697895066740568,22.7,21.3,1.3,361.6666666666667,393.0,1.0,0.426,0.6,120.0,115.0,3.0,0.026249411540195628,0.3930674264007597,0.1597804915721486,-0.11397505904007045,0.01605962658133337,0.43050278488634647,0.11613630502747246,-0.09881979721339702,-0.02812840715240284,-0.04102778477482014
202310714.0,2023-10-22T13:00:00,1,2023,7,IND,CLE,HOME,38.0,39.0,77.0,Lucas Oil Stadium,14.0,7.0,7.0,10.0,0.0,31.0,19.0,32:31,18.0,4.0,14.0,0.0,75.0,354.0,4.7,2.0,17.0,44.0,2.6,1.0,55.0,33.0,310.0,1.0,3.0,5.6,9.4,60.0,58.9,17.0,6.0,35.3,6.0,3.0,50.0,4.0,2.0,0.0,0.0,6.0,46.0,1.0,1.0,3.0,19.0,5.0,11.0,3.0,143.0,47.7,4.0,1.0,-3.0,7.0,20.0,3.0,9.0,0.0,28.0,41.0,27:29,17.0,7.0,6.0,4.0,62.0,233.0,3.8,4.0,29.0,85.0,2.9,2.0,30.0,20.0,148.0,2.0,1.0,4.9,7.4,66.7,86.53,14.0,4.0,28.6,1.0,1.0,100.0,3.0,2.0,0.0,0.0,5.0,25.0,0.0,0.0,3.0,33.0,8.0,3.0,4.0,203.0,50.8,1.0,4.0,3.0,50.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,40.0,14.0,3.0,33.0,2.0,0.0,0.0,43.0,27.0,3.0,19.0,9.0,1.0,1.0,Sunday,993003976,14,8,18365.0,-1.0,0,-3.0,0.353,0.0,-0.1455114096340466,0.3723404255319149,-0.196202413855946,-0.1898143285575012,0.0683301924139184,0.4588235294117647,-0.0027545140337869,-0.0805135249474237,22.0,27.3,-5.3,370.6666666666667,349.3333333333333,-0.667,0.423,0.6,140.0,152.0,3.0,-0.0005651870530540374,0.3813784324422622,0.15164734157383866,-0.13402118089976567,0.08422240914818434,0.43326081117378457,0.18498271265443358,-0.10426726525920903,0.013965104527995176,0.016227189451944662
202310814.0,2023-10-29T13:00:00,1,2023,8,IND,NO,HOME,27.0,38.0,65.0,Lucas Oil Stadium,7.0,13.0,0.0,7.0,0.0,32.0,31.0,29:51,20.0,8.0,11.0,1.0,67.0,456.0,6.8,5.0,40.0,168.0,4.2,3.0,23.0,15.0,288.0,2.0,1.0,12.5,19.2,65.2,119.38,15.0,7.0,46.7,0.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,67.0,4.0,3.0,4.0,17.0,8.0,9.0,5.0,260.0,52.0,4.0,2.0,-2.0,7.0,14.0,7.0,10.0,0.0,27.0,29.0,30:09,18.0,6.0,9.0,3.0,72.0,316.0,4.4,4.0,33.0,150.0,4.5,3.0,37.0,16.0,166.0,0.0,2.0,4.5,10.4,43.2,34.29,16.0,4.0,25.0,2.0,1.0,50.0,2.0,2.0,0.0,0.0,4.0,20.0,1.0,0.0,2.0,17.0,5.0,5.0,5.0,272.0,54.4,2.0,4.0,2.0,75.0,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,43.0,23.0,2.0,17.0,7.0,0.0,0.0,50.0,27.0,4.0,17.0,3.0,4.0,3.0,Sunday,993003998,14,22,18517.0,-11.0,0,-2.0,0.467,0.0,-0.1033359001791554,0.4105263157894737,0.1184173025919191,-0.2288102684259365,-0.0666598614233905,0.3854166666666667,-0.1740540863292073,-0.0741776603576872,27.0,30.7,-3.7,413.0,299.0,-1.333,0.478,0.4,178.0,191.0,3.0,-0.0307367253741249,0.39428891377379616,0.08450663282751225,-0.10935029812203238,0.03111581482287867,0.4183997000626734,0.020795876572371464,-0.10816023065972256,-0.03401981503852302,0.0099698421469056
202310905.0,2023-11-05T16:05:00,1,2023,9,IND,CAR,AWAY,27.0,13.0,40.0,Bank of America Stadium,0.0,0.0,0.0,0.0,27.0,29.0,51.0,28:51,19.0,6.0,10.0,3.0,67.0,371.0,5.5,3.0,24.0,164.0,6.8,1.0,41.0,23.0,207.0,2.0,1.0,5.0,9.0,56.1,75.97,16.0,7.0,43.8,1.0,1.0,100.0,3.0,2.0,0.0,0.0,6.0,30.0,0.0,0.0,2.0,6.0,2.0,3.0,5.0,258.0,51.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,30.0,9.0,31:09,24.0,10.0,12.0,2.0,66.0,511.0,7.7,5.0,36.0,161.0,4.5,3.0,29.0,20.0,350.0,2.0,0.0,12.1,17.5,69.0,132.83,12.0,6.0,50.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,73.0,1.0,1.0,1.0,4.0,7.0,3.0,4.0,158.0,39.5,1.0,1.0,0.0,66.7,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,31.0,1.0,4.0,2.0,1.0,1.0,36.0,27.0,2.0,6.0,10.0,0.0,0.0,Sunday,993004039,14,5,18576.0,14.0,1,0.0,0.438,0.0,0.0345747732176008,0.3723404255319149,0.0053120543664018,0.2090665927268371,0.2067224599372472,0.4651162790697674,0.5771676331191444,0.1104221919896645,28.3,38.0,-9.7,393.6666666666667,353.3333333333333,-1.667,0.419,0.2,205.0,229.0,3.0,-0.0714241788652004,0.38506905561776783,-0.024157685632541684,-0.06985266808553353,0.0694642636425917,0.43645215838273294,0.13345301091871675,-0.014756331105148799,-0.01409133762414334,0.07854596519168193
202311021.0,2023-11-12T09:30:00,1,2023,10,IND,NE,AWAY,10.0,6.0,16.0,Deutsche Bank Park,7.0,0.0,0.0,3.0,0.0,28.0,51.0,25:35,17.0,5.0,7.0,5.0,57.0,198.0,3.5,3.0,30.0,78.0,2.6,0.0,26.0,17.0,120.0,1.0,0.0,4.6,7.1,65.4,88.62,13.0,4.0,30.8,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,25.0,1.0,1.0,1.0,7.0,7.0,4.0,5.0,241.0,48.2,1.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,31.0,9.0,34:25,17.0,10.0,7.0,0.0,71.0,275.0,3.9,1.0,28.0,138.0,4.9,0.0,39.0,24.0,137.0,1.0,3.0,3.5,5.7,61.5,44.5,16.0,7.0,43.8,3.0,2.0,66.7,2.0,1.0,0.0,0.0,10.0,81.0,1.0,0.0,4.0,36.0,4.0,4.0,4.0,174.0,43.5,3.0,1.0,-2.0,50.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,51.0,14.0,4.0,36.0,8.0,1.0,0.0,33.0,33.0,1.0,7.0,3.0,0.0,1.0,Sunday,993004051,14,21,18380.0,4.0,1,2.0,0.308,0.0,-0.0018960560386203,0.4125,0.1581154434458169,-0.2824010557154766,-0.1781571002592328,0.3707865168539326,-0.4375468850729277,-0.0085101912694011,30.7,30.0,0.7,341.6666666666667,367.3333333333333,0.0,0.404,0.4,232.0,242.0,4.0,-0.023552394333391628,0.39845558044046286,0.09394826680137928,-0.10071491047152532,-0.01269816724845869,0.40710648753012224,-0.011477779427663518,0.009244780120858734,-0.01190629178867884,0.02438256082933008
