gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310121.0,2023-09-10T16:25:00,1,2023,1,NE,PHI,HOME,20.0,25.0,45.0,Gillette Stadium,0.0,14.0,0.0,6.0,0.0,,,29:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,3.0,6.0,0.0,,,30:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003804,21,26,,-5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310221.0,2023-09-17T20:20:00,1,2023,2,NE,MIA,HOME,17.0,24.0,41.0,Gillette Stadium,0.0,3.0,0.0,14.0,0.0,29.0,12.0,29:41,24.0,5.0,18.0,1.0,78.0,382.0,4.9,3.0,22.0,76.0,3.5,0.0,54.0,35.0,306.0,3.0,1.0,5.7,8.7,64.8,90.51,15.0,5.0,33.3,4.0,1.0,25.0,5.0,3.0,0.0,0.0,7.0,50.0,2.0,1.0,2.0,10.0,4.0,3.0,5.0,226.0,45.2,2.0,1.0,-1.0,3.0,14.0,0.0,7.0,0.0,30.0,48.0,30:19,17.0,6.0,8.0,3.0,61.0,251.0,4.1,2.0,25.0,97.0,3.9,0.0,33.0,22.0,154.0,1.0,0.0,4.7,7.0,66.7,87.18,13.0,4.0,30.8,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,49.0,1.0,1.0,3.0,16.0,7.0,5.0,4.0,197.0,49.2,1.0,2.0,1.0,60.0,0.0,50.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,35.0,27.0,3.0,16.0,4.0,1.0,1.0,42.0,32.0,2.0,10.0,10.0,2.0,1.0,Sunday,993003836,21,19,18496.0,-7.0,0,-1.0,0.333,0.0,-0.166458925257593,0.3854166666666667,-0.2065092058296362,-0.1865643130676332,-0.0559542785785649,0.3734939759036144,-0.0907363645041957,-0.2140939135881132,20.0,25.0,-5.0,382.0,251.0,-1.0,0.333,0.0,20.0,25.0,0.0,-0.166458925257593,0.3854166666666667,-0.2065092058296362,-0.1865643130676332,-0.0559542785785649,0.3734939759036144,-0.0907363645041957,-0.2140939135881132,-0.166458925257593,-0.0559542785785649
202310324.0,2023-09-24T13:00:00,1,2023,3,NE,NYJ,AWAY,15.0,10.0,25.0,MetLife Stadium,3.0,7.0,3.0,2.0,0.0,29.0,41.0,31:52,23.0,10.0,10.0,3.0,71.0,288.0,4.1,2.0,25.0,88.0,3.5,1.0,42.0,31.0,200.0,1.0,1.0,4.8,6.5,73.8,81.45,15.0,7.0,46.7,2.0,1.0,50.0,2.0,2.0,0.0,0.0,5.0,45.0,1.0,1.0,4.0,31.0,2.0,5.0,4.0,192.0,48.0,2.0,1.0,-1.0,0.0,3.0,0.0,7.0,0.0,30.0,19.0,28:08,22.0,6.0,15.0,1.0,61.0,389.0,6.4,3.0,30.0,145.0,4.8,2.0,30.0,21.0,244.0,1.0,1.0,8.1,11.6,70.0,91.53,10.0,4.0,40.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,46.0,2.0,0.0,1.0,5.0,8.0,8.0,3.0,144.0,48.0,1.0,2.0,1.0,100.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,41.0,18.0,1.0,5.0,3.0,0.0,0.0,49.0,27.0,4.0,31.0,6.0,1.0,1.0,Sunday,993003845,21,24,18569.0,5.0,1,-1.0,0.467,0.0,-0.0348943720120631,0.5172413793103449,-0.0826602860198365,-0.0561558724439237,0.06738920044027,0.5316455696202531,0.371669636456706,-0.0194344480233213,18.5,24.5,-6.0,335.0,320.0,-1.0,0.4,0.0,37.0,49.0,0.0,-0.10067664863482806,0.45132902298850575,-0.14458474592473636,-0.12136009275577844,0.005717460930852548,0.4525697727619338,0.14046663597625514,-0.11676418080571725,-0.10067664863482806,0.005717460930852548
202310409.0,2023-10-01T16:25:00,1,2023,4,NE,DAL,AWAY,3.0,38.0,41.0,AT&T Stadium,3.0,0.0,0.0,0.0,0.0,31.0,52.0,24:51,17.0,8.0,9.0,0.0,69.0,358.0,5.2,1.0,40.0,157.0,3.9,0.0,29.0,15.0,201.0,1.0,0.0,6.9,13.4,51.7,85.56,19.0,8.0,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,322.0,40.2,0.0,0.0,0.0,10.0,18.0,3.0,7.0,0.0,28.0,8.0,35:09,12.0,5.0,6.0,1.0,61.0,171.0,2.8,1.0,22.0,38.0,1.7,1.0,36.0,18.0,133.0,0.0,0.0,3.7,7.4,50.0,59.14,14.0,2.0,14.3,2.0,1.0,50.0,1.0,1.0,0.0,0.0,3.0,15.0,1.0,0.0,3.0,24.0,5.0,2.0,8.0,410.0,51.2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,18.0,3.0,24.0,5.0,1.0,0.0,51.0,14.0,0.0,0.0,4.0,0.0,0.0,Sunday,993003897,21,9,18460.0,-35.0,0,0.0,0.421,0.0,-0.1211069703952074,0.3152173913043478,0.1473571306778177,-0.1800650566023783,-0.2355376793295297,0.3125,-0.349781967881393,-0.2778082351280664,17.3,19.7,-2.3,342.6666666666667,270.3333333333333,-0.667,0.407,0.333,52.0,59.0,1.0,-0.10748675588828784,0.40595847909378646,-0.04727078705721834,-0.1409284140379784,-0.07470091915594153,0.40587984850795583,-0.02294956530962757,-0.1704455322465003,-0.10748675588828784,-0.07470091915594153
202310521.0,2023-10-08T13:00:00,1,2023,5,NE,NO,HOME,0.0,34.0,34.0,Gillette Stadium,0.0,0.0,0.0,0.0,0.0,24.0,51.0,20:26,10.0,2.0,8.0,0.0,55.0,253.0,4.6,0.0,23.0,53.0,2.3,0.0,30.0,16.0,200.0,0.0,2.0,6.7,12.5,53.3,46.53,13.0,4.0,30.8,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,50.0,1.0,1.0,2.0,7.0,7.0,6.0,5.0,225.0,45.0,3.0,0.0,-3.0,7.0,14.0,3.0,10.0,0.0,35.0,9.0,39:34,22.0,6.0,15.0,1.0,69.0,377.0,5.5,4.0,30.0,124.0,4.1,1.0,36.0,30.0,253.0,1.0,0.0,7.0,8.4,83.3,105.21,15.0,8.0,53.3,1.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,32.0,2.0,0.0,3.0,28.0,2.0,4.0,2.0,112.0,56.0,0.0,3.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,49.0,25.0,3.0,28.0,2.0,2.0,0.0,35.0,18.0,2.0,7.0,5.0,1.0,1.0,Sunday,993003910,21,22,18511.0,-34.0,0,-3.0,0.308,0.0,-0.4678932854880553,0.2567567567567567,-0.500047057698005,-0.4424004487837443,0.0590951960503507,0.4705882352941176,0.1640807207750091,0.0103434342157761,11.7,24.0,-12.3,299.6666666666667,312.3333333333333,-1.333,0.398,0.25,55.0,97.0,1.0,-0.2079648759651086,0.3630718424571498,-0.1451167376800079,-0.22620712594334877,-0.03635109427963635,0.43824460163812357,0.06198946311677403,-0.09563308297853722,-0.19758838828822972,-0.04125189035436848
202310625.0,2023-10-15T16:05:00,1,2023,6,NE,LV,AWAY,17.0,21.0,38.0,Allegiant Stadium,0.0,3.0,7.0,7.0,0.0,20.0,26.0,27:48,8.0,1.0,4.0,3.0,51.0,156.0,3.1,0.0,18.0,45.0,2.5,0.0,31.0,15.0,111.0,0.0,2.0,3.6,7.4,48.4,30.44,14.0,1.0,7.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,2.0,1.0,2.0,21.0,2.0,2.0,8.0,353.0,44.1,3.0,0.0,-3.0,3.0,10.0,3.0,5.0,0.0,39.0,34.0,32:12,17.0,6.0,11.0,0.0,70.0,304.0,4.3,4.0,42.0,136.0,3.2,1.0,26.0,18.0,168.0,2.0,0.0,6.5,9.3,69.2,112.34,15.0,5.0,33.3,0.0,0.0,0.0,4.0,3.0,0.0,0.0,12.0,86.0,0.0,0.0,2.0,15.0,4.0,3.0,7.0,307.0,43.9,0.0,3.0,3.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,45.0,32.0,2.0,15.0,1.0,0.0,0.0,26.0,18.0,2.0,21.0,8.0,0.0,1.0,Sunday,993003951,21,25,18351.0,-4.0,0,-3.0,0.071,0.0,-0.6236966279231839,0.2083333333333333,-0.6980108464854771,-0.7499545543197248,-0.0284764348941459,0.3723404255319149,0.1509541828483052,-0.1019924792451906,6.0,27.3,-21.3,255.66666666666666,284.0,-2.0,0.267,0.2,55.0,131.0,1.0,-0.4042322946021488,0.26010249379814593,-0.3502335911685548,-0.45747335323528243,-0.06830630605777498,0.3851428869420108,-0.011582354752692897,-0.12315242671916032,-0.28281003621522055,-0.038696799262323965
202310721.0,2023-10-22T13:00:00,1,2023,7,NE,BUF,HOME,29.0,25.0,54.0,Gillette Stadium,10.0,3.0,3.0,13.0,0.0,27.0,48.0,27:46,17.0,8.0,7.0,2.0,56.0,259.0,4.6,2.0,19.0,83.0,4.4,2.0,33.0,24.0,176.0,0.0,1.0,5.3,7.3,72.7,72.29,12.0,6.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,79.0,0.0,0.0,4.0,24.0,3.0,2.0,3.0,138.0,46.0,1.0,1.0,0.0,0.0,3.0,7.0,15.0,0.0,32.0,12.0,32:14,19.0,4.0,12.0,3.0,65.0,348.0,5.4,1.0,33.0,84.0,2.5,0.0,32.0,20.0,264.0,1.0,1.0,8.2,13.2,62.5,85.94,16.0,8.0,50.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,103.0,51.5,1.0,1.0,0.0,100.0,0.0,16.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,42.0,22.0,0.0,0.0,5.0,0.0,0.0,39.0,20.0,4.0,24.0,3.0,0.0,0.0,Sunday,993003974,21,4,18367.0,4.0,1,0.0,0.5,0.0,-0.0292194810819594,0.4533333333333333,-0.086717995429907,0.1841233095314237,0.0107434207183431,0.3764705882352941,0.292394763463386,-0.3705225158013372,6.7,31.0,-24.3,222.66666666666666,343.0,-2.0,0.293,0.2,72.0,152.0,1.0,-0.37360313149773283,0.30614114114114116,-0.42825863320446306,-0.33607723119068184,0.013787393958182627,0.4064664163537755,0.20247655569556677,-0.15405718694358392,-0.2553621473800939,-0.025357259402942367
202310819.0,2023-10-29T13:00:00,1,2023,8,NE,MIA,AWAY,17.0,31.0,48.0,Hard Rock Stadium,7.0,0.0,3.0,7.0,0.0,27.0,46.0,24:05,21.0,6.0,13.0,2.0,55.0,364.0,6.6,3.0,24.0,96.0,4.0,1.0,30.0,25.0,268.0,2.0,0.0,8.9,10.7,83.3,126.11,9.0,4.0,44.4,0.0,0.0,0.0,5.0,3.0,0.0,0.0,8.0,59.0,1.0,1.0,1.0,4.0,6.0,3.0,2.0,110.0,55.0,1.0,2.0,1.0,7.0,10.0,7.0,7.0,0.0,32.0,14.0,35:55,24.0,7.0,14.0,3.0,66.0,339.0,5.1,3.0,24.0,81.0,3.4,1.0,41.0,27.0,258.0,2.0,1.0,6.3,9.6,65.9,89.28,12.0,5.0,41.7,3.0,2.0,66.7,4.0,2.0,0.0,0.0,9.0,46.0,1.0,1.0,1.0,7.0,4.0,5.0,1.0,55.0,55.0,2.0,1.0,-1.0,60.0,0.0,50.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,42.0,23.0,1.0,7.0,3.0,1.0,1.0,44.0,19.0,1.0,4.0,2.0,1.0,1.0,Sunday,993003995,21,19,18518.0,-14.0,0,1.0,0.444,0.0,0.0779150823018811,0.4933333333333333,0.2772437733710891,-0.0269867345486104,0.0683284931036114,0.4772727272727273,0.2389208617186998,-0.0222685021886025,15.3,26.7,-11.3,259.6666666666667,330.3333333333333,-0.667,0.339,0.4,101.0,177.0,2.0,-0.19166700890108743,0.385,-0.16916168951476498,-0.19760599311230384,0.01686515964260286,0.40869458034664546,0.22742326934346369,-0.16492783241171013,-0.232800256517305,-0.025169400870274083
202310921.0,2023-11-05T13:00:00,1,2023,9,NE,WAS,HOME,17.0,20.0,37.0,Gillette Stadium,0.0,0.0,0.0,0.0,17.0,24.0,5.0,22:50,13.0,6.0,7.0,0.0,51.0,218.0,4.3,2.0,19.0,77.0,4.1,0.0,29.0,19.0,141.0,2.0,1.0,4.9,7.4,65.5,85.56,9.0,1.0,11.1,2.0,1.0,50.0,2.0,1.0,0.0,0.0,7.0,45.0,0.0,0.0,3.0,20.0,2.0,5.0,5.0,265.0,53.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,35.0,55.0,37:10,24.0,5.0,17.0,2.0,73.0,390.0,5.3,4.0,26.0,78.0,3.0,1.0,45.0,30.0,312.0,3.0,1.0,6.9,10.4,66.7,99.49,14.0,5.0,35.7,3.0,3.0,100.0,4.0,2.0,0.0,0.0,3.0,25.0,1.0,1.0,2.0,12.0,7.0,4.0,3.0,146.0,48.7,2.0,1.0,-1.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,18.0,2.0,12.0,6.0,0.0,1.0,36.0,15.0,3.0,20.0,4.0,0.0,0.0,Sunday,993004028,21,35,18577.0,-3.0,0,1.0,0.111,0.0,-0.1521214252923895,0.3571428571428571,-0.2922372099244589,-0.0716452616493609,0.0250667203723298,0.4395604395604395,0.3146588923627535,-0.4280946849473326,21.0,25.7,-4.7,280.3333333333333,359.0,0.667,0.352,0.2,118.0,208.0,2.0,-0.0344752746908226,0.43460317460317466,-0.03390381066109227,0.02849710444448413,0.03471287806476143,0.431101251689487,0.28199150584827976,-0.27362856764575744,-0.23900314749674142,0.02695147907009781
202311021.0,2023-11-12T09:30:00,1,2023,10,NE,IND,HOME,6.0,10.0,16.0,Deutsche Bank Park,3.0,0.0,0.0,3.0,0.0,22.0,50.0,34:25,18.0,4.0,13.0,1.0,63.0,327.0,5.2,2.0,19.0,107.0,5.6,1.0,44.0,24.0,220.0,1.0,1.0,5.0,9.2,54.5,66.48,12.0,3.0,25.0,2.0,1.0,50.0,1.0,1.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,326.0,54.3,1.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,37.0,10.0,25:35,23.0,8.0,14.0,1.0,77.0,432.0,5.6,2.0,29.0,124.0,4.3,1.0,45.0,29.0,308.0,1.0,1.0,6.8,10.6,64.4,82.45,17.0,9.0,52.9,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,30.0,1.0,1.0,3.0,17.0,1.0,1.0,5.0,239.0,47.8,2.0,1.0,-1.0,100.0,0.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,48.0,31.0,3.0,17.0,6.0,1.0,1.0,37.0,15.0,0.0,0.0,10.0,0.0,0.0,Sunday,993004052,21,14,18376.0,-4.0,0,1.0,0.25,0.0,-0.0110570638933337,0.379746835443038,-0.0839571617866224,0.0530813169716566,0.057103195016846,0.4468085106382978,0.1552820834017471,-0.1840340150520127,21.0,25.3,-4.3,303.0,387.0,1.0,0.269,0.2,135.0,228.0,2.0,-0.02842113562794737,0.4100743419730762,-0.0329835327799974,-0.015183559742104903,0.05016613616426239,0.4545472258238215,0.23628727916106682,-0.21146573406264926,-0.1476359031777971,0.026553078863396872
