gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310123.0,2023-09-10T20:20:00,1,2023,1,NYG,DAL,HOME,0.0,40.0,40.0,MetLife Stadium,0.0,0.0,0.0,0.0,0.0,,,33:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,10.0,7.0,7.0,0.0,,,26:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003806,23,9,,-40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310201.0,2023-09-17T16:05:00,1,2023,2,NYG,ARI,AWAY,31.0,28.0,59.0,State Farm Stadium,0.0,0.0,14.0,17.0,0.0,33.0,28.0,29:23,14.0,6.0,5.0,3.0,65.0,171.0,2.6,0.0,28.0,108.0,3.9,0.0,30.0,17.0,63.0,0.0,2.0,2.1,3.7,56.7,34.03,16.0,5.0,31.2,5.0,3.0,60.0,2.0,0.0,0.0,0.0,6.0,72.0,5.0,1.0,7.0,47.0,3.0,2.0,3.0,160.0,53.3,3.0,0.0,-3.0,7.0,13.0,8.0,0.0,0.0,26.0,32.0,30:37,18.0,7.0,8.0,3.0,55.0,265.0,4.8,5.0,30.0,122.0,4.1,3.0,25.0,13.0,143.0,0.0,0.0,5.7,11.0,52.0,69.25,13.0,6.0,46.2,2.0,1.0,50.0,4.0,3.0,0.0,0.0,5.0,35.0,1.0,0.0,0.0,0.0,12.0,10.0,3.0,146.0,48.7,0.0,3.0,3.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,30.0,0.0,0.0,4.0,1.0,0.0,44.0,21.0,7.0,47.0,8.0,3.0,1.0,Sunday,993003827,23,1,18499.0,3.0,1,-3.0,0.312,0.0,-0.5010444056325859,0.3095238095238095,-0.507376173903424,-0.239766669625258,0.1020610071919151,0.4583333333333333,0.2398637718824258,0.0572735565229474,0.0,40.0,-40.0,171.0,265.0,-3.0,0.312,0.0,0.0,40.0,0.0,-0.5010444056325859,0.3095238095238095,-0.507376173903424,-0.239766669625258,0.1020610071919151,0.4583333333333333,0.2398637718824258,0.0572735565229474,-0.5010444056325859,0.1020610071919151
202310331.0,2023-09-21T20:15:00,1,2023,3,NYG,SF,AWAY,12.0,30.0,42.0,Levi's Stadium,3.0,3.0,6.0,0.0,0.0,29.0,23.0,20:50,26.0,10.0,15.0,1.0,67.0,439.0,6.6,4.0,27.0,127.0,4.7,2.0,37.0,26.0,312.0,2.0,1.0,8.4,12.0,70.3,102.53,12.0,7.0,58.3,1.0,1.0,100.0,5.0,4.0,0.0,0.0,9.0,75.0,0.0,0.0,3.0,9.0,6.0,7.0,3.0,111.0,37.0,1.0,0.0,-1.0,3.0,14.0,3.0,10.0,0.0,30.0,37.0,39:10,24.0,10.0,11.0,3.0,60.0,379.0,6.3,3.0,29.0,151.0,5.2,2.0,31.0,21.0,228.0,1.0,0.0,7.4,10.9,67.7,99.93,10.0,4.0,40.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,57.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,146.0,48.7,0.0,1.0,1.0,80.0,0.0,66.7,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,44.0,14.0,0.0,0.0,2.0,0.0,0.0,46.0,15.0,3.0,9.0,7.0,0.0,0.0,Thursday,993003841,23,31,18566.0,-18.0,0,-1.0,0.583,0.0,0.1437653642928595,0.4941176470588235,0.2195137257816816,0.160645446711088,0.0892356953814882,0.4069767441860465,0.3201689920312395,0.0369475760864023,15.5,34.0,-18.5,305.0,322.0,-2.0,0.448,0.5,31.0,68.0,1.0,-0.17863952066986322,0.4018207282913165,-0.14393122406087122,-0.039560611457085004,0.09564835128670165,0.4326550387596899,0.28001638195683265,0.04711056630467485,-0.17863952066986322,0.09564835128670165
202310423.0,2023-10-02T20:15:00,1,2023,4,NYG,SEA,HOME,3.0,24.0,27.0,MetLife Stadium,0.0,3.0,0.0,0.0,0.0,20.0,50.0,36:00,10.0,2.0,6.0,2.0,46.0,150.0,3.3,1.0,11.0,29.0,2.6,1.0,33.0,22.0,121.0,0.0,1.0,3.7,5.5,66.7,60.29,12.0,3.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,37.0,0.0,0.0,2.0,16.0,6.0,6.0,6.0,316.0,52.7,1.0,0.0,-1.0,7.0,7.0,7.0,3.0,0.0,39.0,10.0,24:00,26.0,9.0,13.0,4.0,78.0,441.0,5.7,3.0,39.0,141.0,3.6,1.0,37.0,25.0,300.0,2.0,0.0,8.1,12.0,67.6,110.19,16.0,9.0,56.2,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,71.0,1.0,0.0,2.0,10.0,6.0,4.0,3.0,128.0,42.7,0.0,1.0,1.0,100.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,49.0,26.0,2.0,10.0,4.0,0.0,0.0,31.0,11.0,2.0,16.0,3.0,0.0,0.0,Monday,993003904,23,30,18454.0,-21.0,0,-1.0,0.25,0.0,-0.0987791096161313,0.373134328358209,-0.2427696614514852,-0.0925863472104538,0.1445242352815349,0.4536082474226804,0.4406586299777822,-0.067918275622179,14.3,32.7,-18.3,253.33333333333334,361.6666666666667,-1.667,0.382,0.333,43.0,98.0,1.0,-0.15201938365195258,0.39225859498028065,-0.17687736985774252,-0.05723585670820794,0.11194031261831273,0.4396394416473534,0.3335637979638158,0.008767618995723564,-0.15201938365195258,0.11194031261831273
202310519.0,2023-10-08T13:00:00,1,2023,5,NYG,MIA,AWAY,16.0,31.0,47.0,Hard Rock Stadium,0.0,10.0,3.0,3.0,0.0,36.0,0.0,35:59,17.0,7.0,9.0,1.0,74.0,248.0,3.4,0.0,29.0,112.0,3.9,0.0,34.0,27.0,136.0,0.0,2.0,4.0,5.0,79.4,58.82,16.0,6.0,37.5,4.0,2.0,50.0,1.0,0.0,0.0,0.0,6.0,45.0,3.0,1.0,11.0,67.0,3.0,6.0,5.0,268.0,53.6,3.0,0.0,-3.0,7.0,10.0,14.0,0.0,0.0,24.0,0.0,24:01,13.0,6.0,6.0,1.0,51.0,281.0,5.5,3.0,23.0,121.0,5.3,1.0,26.0,15.0,160.0,1.0,0.0,6.2,10.7,57.7,88.62,12.0,3.0,25.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,74.0,0.0,0.0,2.0,13.0,14.0,10.0,4.0,214.0,53.5,0.0,3.0,3.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,35.0,15.0,2.0,13.0,4.0,0.0,0.0,54.0,33.0,11.0,67.0,4.0,2.0,1.0,Sunday,993003913,23,19,18514.0,-15.0,0,-3.0,0.375,0.0,-0.389882336188748,0.3295454545454545,-0.5167130252538708,-0.3303806661405479,-0.1338223392374336,0.4492753623188406,-0.2225121987638074,-0.0710320765344174,15.3,27.3,-12.0,279.0,367.0,-1.667,0.403,0.25,46.0,122.0,1.0,-0.11496536050400662,0.39893247665416226,-0.17998965364122477,-0.08744052221330456,0.0333125304751965,0.4366201179758558,0.17943847441507144,-0.03400092535673137,-0.21148512178615142,0.05049964965437615
202310604.0,2023-10-15T20:20:00,1,2023,6,NYG,BUF,AWAY,9.0,14.0,23.0,Highmark Stadium,3.0,3.0,0.0,3.0,0.0,35.0,59.0,31:24,15.0,3.0,10.0,2.0,68.0,268.0,3.9,1.0,29.0,85.0,2.9,0.0,32.0,23.0,183.0,0.0,0.0,5.7,8.0,71.9,85.81,17.0,5.0,29.4,2.0,1.0,50.0,2.0,0.0,0.0,0.0,6.0,43.0,1.0,0.0,7.0,22.0,2.0,1.0,4.0,161.0,40.2,0.0,3.0,3.0,0.0,0.0,0.0,14.0,0.0,24.0,1.0,28:36,22.0,8.0,14.0,0.0,54.0,524.0,9.7,4.0,23.0,222.0,9.7,2.0,30.0,22.0,302.0,2.0,2.0,10.1,13.7,73.3,99.58,8.0,3.0,37.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,43.0,2.0,1.0,1.0,6.0,14.0,8.0,2.0,69.0,34.5,3.0,0.0,-3.0,0.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,14.0,1.0,6.0,6.0,2.0,1.0,52.0,23.0,7.0,22.0,4.0,1.0,0.0,Sunday,993003959,23,4,18350.0,-5.0,0,3.0,0.294,0.0,-0.1011782203316592,0.3804347826086957,0.066683704751085,-0.387686506441915,0.0600812541253473,0.5671641791044776,-0.0653194214992841,0.3377870256399979,10.3,28.3,-18.0,222.0,415.3333333333333,-0.333,0.306,0.2,62.0,153.0,1.0,-0.19661322204551288,0.3610381885041197,-0.23093299398475697,-0.27021783993097226,0.0235943833898162,0.49001592961533286,0.05094233657156357,0.06627889116113383,-0.18942374149525298,0.052415970548570376
202310723.0,2023-10-22T13:00:00,1,2023,7,NYG,WAS,HOME,14.0,7.0,21.0,MetLife Stadium,0.0,14.0,0.0,0.0,0.0,31.0,24.0,28:46,20.0,5.0,11.0,4.0,73.0,317.0,4.3,0.0,34.0,132.0,3.9,0.0,36.0,24.0,185.0,0.0,0.0,5.1,7.7,66.7,79.05,19.0,10.0,52.6,2.0,1.0,50.0,5.0,0.0,0.0,0.0,9.0,65.0,1.0,0.0,3.0,15.0,1.0,2.0,4.0,202.0,50.5,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0,28.0,36.0,31:14,22.0,7.0,12.0,3.0,59.0,297.0,5.0,2.0,29.0,128.0,4.4,0.0,30.0,19.0,169.0,2.0,1.0,5.6,8.9,63.3,86.67,12.0,6.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,51.0,1.0,1.0,0.0,0.0,5.0,8.0,3.0,127.0,42.3,2.0,0.0,-2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,16.0,0.0,0.0,3.0,1.0,1.0,50.0,23.0,3.0,15.0,2.0,0.0,0.0,Sunday,993003968,23,35,18370.0,7.0,1,2.0,0.526,0.0,-0.099176506126403,0.4444444444444444,-0.0016104216334026,-0.311589488242793,-0.0832888831760747,0.4533333333333333,-0.0458971541988026,0.0310357551142159,9.3,23.0,-13.7,277.6666666666667,367.3333333333333,0.667,0.398,0.2,71.0,167.0,1.0,-0.19674568754893673,0.3848082271995315,-0.15054658071206276,-0.343218886941752,-0.052343322762720336,0.48992429158555056,-0.11124292482063136,0.09926356807326547,-0.10905016159401641,0.01534599247497242
202310823.0,2023-10-29T13:00:00,1,2023,8,NYG,NYJ,HOME,10.0,13.0,23.0,MetLife Stadium,3.0,0.0,7.0,0.0,0.0,28.0,46.0,38:13,16.0,5.0,10.0,1.0,65.0,356.0,5.5,2.0,32.0,106.0,3.3,0.0,29.0,18.0,250.0,2.0,0.0,8.6,13.9,62.1,112.72,16.0,5.0,31.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,40.0,3.0,2.0,4.0,29.0,12.0,4.0,8.0,395.0,49.4,2.0,1.0,-1.0,7.0,0.0,0.0,3.0,3.0,31.0,14.0,25:38,14.0,3.0,9.0,2.0,67.0,273.0,4.1,1.0,19.0,76.0,4.0,1.0,42.0,22.0,197.0,0.0,1.0,4.7,9.0,52.4,55.36,15.0,1.0,6.7,3.0,2.0,66.7,3.0,1.0,0.0,0.0,10.0,75.0,1.0,0.0,6.0,52.0,4.0,8.0,10.0,513.0,51.3,1.0,2.0,1.0,50.0,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,28.0,6.0,52.0,6.0,0.0,0.0,38.0,27.0,4.0,29.0,5.0,1.0,2.0,Sunday,993003994,23,24,18519.0,-3.0,0,-1.0,0.312,0.0,-0.0740854761484317,0.4390243902439024,0.12303472464028,-0.3060721970037916,-0.1425776902311435,0.3846153846153846,-0.2527323492230057,-0.1574988387414794,13.0,17.3,-4.3,313.6666666666667,364.6666666666667,1.333,0.378,0.2,85.0,174.0,2.0,-0.09148006753549796,0.4213012057656808,0.06270266925265415,-0.33511606389616655,-0.05526177309395697,0.46837096568439857,-0.12131630830703079,0.0704413140042448,-0.15262032968227462,-0.031016684647553923
202310925.0,2023-11-05T16:25:00,1,2023,9,NYG,LV,AWAY,6.0,30.0,36.0,Allegiant Stadium,0.0,0.0,0.0,0.0,6.0,38.0,13.0,31:04,12.0,7.0,0.0,5.0,70.0,194.0,2.8,1.0,52.0,203.0,3.9,1.0,14.0,6.0,-9.0,0.0,0.0,-0.6,-1.5,42.9,50.3,19.0,2.0,10.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,73.0,2.0,0.0,4.0,16.0,9.0,8.0,13.0,549.0,42.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,30.0,25.0,38.0,28:56,12.0,2.0,8.0,2.0,62.0,251.0,4.0,1.0,22.0,58.0,2.6,0.0,36.0,17.0,193.0,1.0,0.0,5.4,11.4,47.2,73.03,15.0,2.0,13.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,85.0,2.0,2.0,4.0,47.0,8.0,13.0,11.0,529.0,48.1,2.0,0.0,-2.0,33.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,34.0,18.0,4.0,47.0,8.0,1.0,2.0,51.0,37.0,4.0,16.0,4.0,1.0,0.0,Sunday,993004043,23,25,18578.0,-24.0,0,2.0,0.105,0.0,-0.3067699067303069,0.2727272727272727,-0.7158574029892979,-0.084663541886196,-0.3090342545947286,0.3452380952380952,-0.2806601274698079,-0.5581296988376907,11.0,11.3,-0.3,289.0,273.6666666666667,1.0,0.315,0.2,95.0,187.0,2.0,-0.16001062966838053,0.3853987024718732,-0.19814436666080681,-0.2341084090442602,-0.17830027600064893,0.39439560439560434,-0.19309654363053874,-0.22819759415498475,-0.19421848910510978,-0.12172838262280661
202311009.0,2023-11-12T16:25:00,1,2023,10,NYG,DAL,AWAY,17.0,49.0,66.0,AT&T Stadium,0.0,0.0,7.0,10.0,0.0,31.0,4.0,22:39,15.0,5.0,10.0,0.0,62.0,277.0,4.5,1.0,25.0,123.0,4.9,0.0,29.0,19.0,154.0,1.0,2.0,5.3,8.1,65.5,61.57,12.0,3.0,25.0,5.0,1.0,20.0,1.0,1.0,0.0,0.0,3.0,8.0,1.0,0.0,8.0,46.0,1.0,5.0,4.0,169.0,42.2,2.0,0.0,-2.0,7.0,21.0,14.0,7.0,0.0,28.0,56.0,37:21,15.0,6.0,9.0,0.0,59.0,334.0,5.7,3.0,34.0,125.0,3.7,3.0,25.0,16.0,209.0,0.0,0.0,8.4,13.1,64.0,90.25,14.0,5.0,35.7,1.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,9.0,8.0,5.0,318.0,63.6,0.0,2.0,2.0,100.0,0.0,75.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,27.0,0.0,0.0,2.0,0.0,0.0,46.0,24.0,8.0,46.0,5.0,1.0,0.0,Sunday,993004071,23,9,18381.0,-32.0,0,-2.0,0.25,0.0,-0.3614795582926031,0.3461538461538461,-0.4688751562298817,-0.2209030594880459,-0.0031693450810839,0.4666666666666667,0.3041219455867243,-0.2481081074035632,10.0,16.7,-6.7,275.6666666666667,286.0,-0.333,0.223,0.2,101.0,217.0,2.0,-0.24744498039044724,0.35263516970834036,-0.35389927819296646,-0.20387959945934453,-0.15159376330231866,0.39884004884004876,-0.07642351036869643,-0.3212455483275778,-0.18853793352588077,-0.09559778379153669
