gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202410106.0,2024-09-08T13:00:00,1,2024,1,CHI,TEN,HOME,24.0,17.0,41.0,Soldier Field,0.0,3.0,7.0,14.0,0.0,,,25:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,0.0,0.0,0.0,,,34:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004454,6,34,,7.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202410213.0,2024-09-15T20:20:00,1,2024,2,CHI,HOU,AWAY,13.0,19.0,32.0,NRG Stadium,3.0,7.0,0.0,3.0,0.0,25.0,6.0,31:13,11.0,6.0,5.0,0.0,53.0,148.0,2.8,2.0,22.0,84.0,3.8,0.0,29.0,14.0,64.0,0.0,0.0,2.2,4.6,48.3,54.81,13.0,2.0,15.4,2.0,2.0,100.0,1.0,0.0,0.0,0.0,7.0,55.0,3.0,1.0,2.0,29.0,10.0,8.0,6.0,270.0,45.0,1.0,3.0,2.0,3.0,13.0,0.0,3.0,0.0,34.0,54.0,28:47,16.0,9.0,6.0,1.0,61.0,244.0,4.0,2.0,26.0,140.0,5.4,1.0,32.0,19.0,104.0,1.0,2.0,3.2,5.5,59.4,49.48,14.0,3.0,21.4,2.0,1.0,50.0,2.0,1.0,0.0,0.0,8.0,50.0,1.0,1.0,3.0,23.0,4.0,8.0,5.0,268.0,53.6,3.0,1.0,-2.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,21.0,3.0,23.0,4.0,1.0,1.0,34.0,17.0,2.0,29.0,5.0,1.0,1.0,Sunday,993004507,6,13,18677.0,-6.0,0,2.0,0.154,0.0,-0.2012001051284132,0.4133333333333333,-0.2818663537104028,-0.2026929001195209,-0.2782829253775002,0.3975903614457831,-0.389225807603645,-0.0604311305785086,24.0,17.0,7.0,148.0,244.0,2.0,0.154,1.0,24.0,17.0,1.0,-0.2012001051284132,0.4133333333333333,-0.2818663537104028,-0.2026929001195209,-0.2782829253775002,0.3975903614457831,-0.389225807603645,-0.0604311305785086,-0.2012001051284132,-0.2782829253775002
202410314.0,2024-09-22T13:00:00,1,2024,3,CHI,IND,AWAY,16.0,21.0,37.0,Lucas Oil Stadium,0.0,0.0,3.0,13.0,0.0,31.0,13.0,35:01,15.0,3.0,7.0,5.0,66.0,205.0,3.1,1.0,22.0,71.0,3.2,1.0,37.0,23.0,134.0,0.0,2.0,3.6,5.8,62.2,46.45,17.0,6.0,35.3,2.0,1.0,50.0,1.0,1.0,0.0,0.0,9.0,60.0,0.0,0.0,7.0,40.0,4.0,6.0,6.0,284.0,47.3,2.0,1.0,-1.0,0.0,7.0,7.0,7.0,0.0,28.0,47.0,24:59,15.0,4.0,11.0,0.0,61.0,310.0,5.1,1.0,22.0,75.0,3.4,0.0,36.0,23.0,235.0,1.0,0.0,6.5,10.2,63.9,91.78,14.0,4.0,28.6,1.0,1.0,100.0,2.0,1.0,0.0,0.0,12.0,115.0,1.0,1.0,3.0,25.0,11.0,9.0,6.0,267.0,44.5,1.0,2.0,1.0,100.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,43.0,17.0,3.0,25.0,5.0,1.0,1.0,46.0,18.0,7.0,40.0,3.0,0.0,0.0,Sunday,993004513,6,14,18686.0,-5.0,0,-1.0,0.353,0.0,-0.1298716733441652,0.4,-0.2222483834724035,-0.1371496618456957,-0.0613280481863275,0.3902439024390244,0.0242536433428515,-0.5042689467747031,18.5,18.0,0.5,176.5,277.0,0.5,0.253,0.5,37.0,36.0,1.0,-0.1655358892362892,0.4066666666666666,-0.25205736859140315,-0.16992128098260828,-0.16980548678191384,0.39391713194240374,-0.18248608213039674,-0.28235003867660585,-0.1655358892362892,-0.16980548678191384
202410406.0,2024-09-29T13:00:00,1,2024,4,CHI,LAR,HOME,24.0,18.0,42.0,Soldier Field,0.0,10.0,7.0,7.0,0.0,35.0,1.0,28:58,26.0,4.0,18.0,4.0,84.0,395.0,4.7,2.0,28.0,63.0,2.2,0.0,52.0,33.0,332.0,2.0,2.0,6.4,10.1,63.5,78.37,21.0,9.0,42.9,5.0,4.0,80.0,3.0,2.0,0.0,0.0,4.0,25.0,1.0,1.0,4.0,31.0,3.0,3.0,3.0,127.0,42.3,3.0,2.0,-1.0,3.0,3.0,3.0,9.0,0.0,24.0,59.0,31:02,15.0,9.0,4.0,2.0,54.0,306.0,5.7,3.0,33.0,150.0,4.5,3.0,20.0,10.0,156.0,0.0,2.0,7.8,15.6,50.0,36.67,12.0,3.0,25.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,9.0,78.0,0.0,0.0,1.0,11.0,6.0,7.0,5.0,245.0,49.0,2.0,3.0,1.0,66.7,0.0,66.7,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,23.0,1.0,11.0,5.0,0.0,0.0,49.0,39.0,4.0,31.0,5.0,1.0,1.0,Sunday,993004552,6,32,18710.0,6.0,1,-1.0,0.429,0.0,-0.1240894714594484,0.3942307692307692,-0.0628501295897242,-0.3331735500692517,-0.1238949186996325,0.4027777777777778,-0.4617844573753562,-0.0507602942525409,17.7,19.0,-1.3,249.33333333333334,286.6666666666667,0.0,0.312,0.333,53.0,57.0,1.0,-0.15172041664400893,0.4025213675213675,-0.18898828892417685,-0.22433870401148945,-0.15450196408782005,0.39687068055419505,-0.27558554054538326,-0.20515345720191755,-0.15172041664400893,-0.15450196408782005
202410506.0,2024-10-06T13:00:00,1,2024,5,CHI,CAR,HOME,36.0,10.0,46.0,Soldier Field,7.0,20.0,3.0,6.0,0.0,28.0,58.0,33:48,17.0,7.0,7.0,3.0,54.0,264.0,4.9,3.0,28.0,131.0,4.7,2.0,23.0,17.0,133.0,1.0,0.0,5.8,7.8,73.9,102.26,9.0,3.0,33.3,0.0,0.0,0.0,4.0,2.0,0.0,0.0,10.0,84.0,1.0,0.0,3.0,24.0,6.0,7.0,5.0,277.0,55.4,0.0,2.0,2.0,7.0,0.0,3.0,0.0,0.0,31.0,2.0,26:12,21.0,8.0,11.0,2.0,58.0,322.0,5.6,1.0,26.0,119.0,4.6,1.0,29.0,20.0,203.0,0.0,1.0,7.0,10.2,69.0,74.35,11.0,5.0,45.5,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,44.0,1.0,1.0,3.0,21.0,3.0,4.0,1.0,67.0,67.0,2.0,0.0,-2.0,50.0,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,40.0,20.0,3.0,21.0,3.0,1.0,1.0,32.0,28.0,3.0,24.0,0.0,1.0,0.0,Sunday,993004584,6,5,18726.0,26.0,1,2.0,0.333,0.0,0.057077074472892,0.5256410256410257,0.1190367841493872,0.0863833224676244,0.0432661779592132,0.5263157894736842,-0.0608343336931443,0.17981728352913,17.7,19.3,-1.7,288.0,312.6666666666667,0.0,0.372,0.5,77.0,75.0,2.0,-0.06562802344357387,0.43995726495726495,-0.05535390963758017,-0.12797996314910767,-0.04731892964224893,0.4397791565634955,-0.16612171590854966,-0.12507065249937135,-0.09952104386478369,-0.10505992857606175
202410606.0,2024-10-13T09:30:00,1,2024,6,CHI,JAX,HOME,35.0,16.0,51.0,Tottenham Hotspur Stadium,0.0,14.0,7.0,14.0,0.0,33.0,48.0,30:40,24.0,11.0,12.0,1.0,69.0,424.0,6.1,5.0,39.0,128.0,3.3,3.0,29.0,20.0,296.0,2.0,0.0,10.2,14.8,69.0,125.07,11.0,4.0,36.4,1.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,46.0,0.0,0.0,1.0,8.0,10.0,3.0,4.0,178.0,44.5,0.0,3.0,3.0,3.0,0.0,7.0,6.0,0.0,26.0,12.0,29:20,14.0,4.0,9.0,1.0,58.0,292.0,5.0,1.0,19.0,120.0,6.3,1.0,35.0,22.0,172.0,0.0,1.0,4.9,7.8,62.9,63.04,12.0,3.0,25.0,3.0,1.0,33.3,2.0,0.0,0.0,0.0,4.0,18.0,4.0,2.0,4.0,22.0,2.0,2.0,4.0,206.0,51.5,3.0,0.0,-3.0,75.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,36.0,18.0,4.0,22.0,6.0,2.0,2.0,40.0,34.0,1.0,8.0,2.0,0.0,0.0,Sunday,993004606,6,15,18739.0,19.0,1,3.0,0.364,0.0,0.1379914713068529,0.449438202247191,0.4160099860704822,-0.1146806586066304,-0.1947345212310572,0.4210526315789473,-0.4410028013390489,0.3022077394827433,25.3,16.3,9.0,361.0,306.6666666666667,1.333,0.375,0.6,113.0,85.0,3.0,0.02365969144009884,0.4564366657063286,0.1573988802100484,-0.12049029540275258,-0.09178775399049216,0.45004873294346975,-0.32120719746918314,0.14375490958644413,-0.05201854083045637,-0.12299484710706084
202410835.0,2024-10-27T16:25:00,1,2024,8,CHI,WAS,AWAY,15.0,18.0,33.0,Northwest Stadium,0.0,0.0,7.0,8.0,0.0,30.0,40.0,27:44,25.0,8.0,14.0,3.0,61.0,373.0,6.1,5.0,29.0,152.0,5.2,1.0,29.0,23.0,221.0,4.0,1.0,7.6,9.6,79.3,123.64,11.0,5.0,45.5,1.0,1.0,100.0,4.0,4.0,0.0,0.0,2.0,10.0,1.0,0.0,3.0,5.0,8.0,4.0,2.0,123.0,61.5,1.0,2.0,1.0,6.0,3.0,3.0,6.0,0.0,29.0,20.0,32:16,17.0,3.0,14.0,0.0,60.0,278.0,4.6,2.0,20.0,68.0,3.4,0.0,36.0,24.0,210.0,2.0,1.0,5.8,8.8,66.7,88.89,15.0,7.0,46.7,2.0,2.0,100.0,3.0,2.0,0.0,0.0,8.0,43.0,2.0,1.0,4.0,30.0,5.0,3.0,4.0,193.0,48.2,2.0,1.0,-1.0,100.0,0.0,66.7,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,42.0,23.0,4.0,30.0,6.0,2.0,1.0,38.0,25.0,3.0,5.0,2.0,1.0,0.0,Sunday,993004683,6,35,18759.0,-3.0,0,1.0,0.455,0.0,0.2704153548094967,0.5443037974683544,0.5284112511838501,-0.0183696260924191,0.0122995184774098,0.4358974358974359,0.0063392140698909,-0.1022597223362776,31.7,14.7,17.0,353.6666666666667,297.3333333333333,2.0,0.384,0.6,148.0,101.0,4.0,0.15516130019641386,0.5064610084521903,0.3544860071345732,-0.015555654077141712,-0.0463896082648114,0.4610886189833558,-0.16516597365410077,0.12658843355853192,0.0423045511571256,-0.06487835833607883
202410901.0,2024-11-03T16:05:00,1,2024,9,CHI,ARI,AWAY,9.0,29.0,38.0,State Farm Stadium,0.0,9.0,0.0,0.0,0.0,27.0,44.0,31:01,15.0,8.0,6.0,1.0,60.0,307.0,5.1,2.0,33.0,202.0,6.1,2.0,24.0,10.0,105.0,0.0,0.0,4.4,10.5,41.7,55.03,12.0,2.0,16.7,1.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,60.0,1.0,1.0,3.0,26.0,7.0,6.0,7.0,341.0,48.7,1.0,0.0,-1.0,7.0,14.0,3.0,5.0,0.0,32.0,16.0,28:59,23.0,6.0,15.0,2.0,72.0,481.0,6.7,1.0,32.0,168.0,5.2,0.0,38.0,21.0,313.0,1.0,0.0,8.2,14.9,55.3,91.23,15.0,5.0,33.3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,30.0,1.0,0.0,2.0,13.0,8.0,5.0,5.0,214.0,42.8,0.0,1.0,1.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,45.0,28.0,2.0,13.0,2.0,1.0,0.0,38.0,16.0,3.0,26.0,1.0,0.0,1.0,Sunday,993004711,6,1,18790.0,-20.0,0,-1.0,0.167,0.0,-0.0806153902211175,0.4320987654320987,-0.1630861012053009,0.0113954646970211,-0.0056688468449155,0.4175824175824176,0.2164388936146767,-0.2550513498023904,28.7,14.7,14.0,368.0,350.3333333333333,1.0,0.328,0.6,163.0,119.0,4.0,0.10926381196507735,0.47528025504921473,0.2604450453496771,-0.04055160666734281,-0.06270128319952097,0.424844161686267,-0.07274156455149376,-0.0183677775519749,0.05215580778173514,-0.05374651806779644
202411006.0,2024-11-10T13:00:00,1,2024,10,CHI,NE,HOME,3.0,19.0,22.0,Soldier Field,0.0,3.0,0.0,0.0,0.0,31.0,1.0,27:32,16.0,5.0,10.0,1.0,70.0,241.0,3.4,0.0,23.0,69.0,3.0,0.0,41.0,22.0,172.0,0.0,0.0,4.2,7.8,53.7,64.28,14.0,3.0,21.4,4.0,2.0,50.0,1.0,0.0,0.0,0.0,6.0,33.0,1.0,0.0,6.0,45.0,3.0,5.0,4.0,218.0,54.5,0.0,2.0,2.0,3.0,10.0,0.0,6.0,0.0,28.0,59.0,32:28,18.0,10.0,7.0,1.0,57.0,350.0,6.1,3.0,34.0,213.0,6.3,3.0,20.0,13.0,137.0,0.0,0.0,6.8,10.5,65.0,84.79,13.0,5.0,38.5,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,15.0,2.0,2.0,3.0,17.0,12.0,5.0,4.0,187.0,46.8,2.0,0.0,-2.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,27.0,3.0,17.0,3.0,1.0,2.0,43.0,21.0,6.0,45.0,4.0,1.0,0.0,Sunday,993004728,6,21,18796.0,-16.0,0,2.0,0.214,0.0,-0.1788727152641034,0.3186813186813186,-0.2785241992192008,-0.1420883831298468,0.0428039614055495,0.5068493150684932,-0.3174178347044611,0.0649663676855485,19.7,21.0,-1.3,307.0,369.6666666666667,0.667,0.278,0.6,172.0,148.0,4.0,0.003642416441425267,0.43169462719392393,0.028933650253116155,-0.04968751484174828,0.016478211012681265,0.4534430561827822,-0.031546575673297834,-0.09744823481770652,0.04119915902080414,-0.02040674204676004
202411106.0,2024-11-17T13:00:00,1,2024,11,CHI,GB,HOME,19.0,20.0,39.0,Soldier Field,3.0,7.0,9.0,0.0,0.0,27.0,32.0,36:21,11.0,4.0,6.0,1.0,59.0,142.0,2.4,0.0,20.0,73.0,3.6,0.0,30.0,16.0,69.0,0.0,0.0,2.3,4.3,53.3,59.03,14.0,1.0,7.1,4.0,2.0,50.0,1.0,0.0,0.0,0.0,5.0,25.0,0.0,0.0,9.0,51.0,7.0,0.0,8.0,335.0,41.9,0.0,1.0,1.0,7.0,0.0,7.0,6.0,0.0,32.0,28.0,23:39,16.0,7.0,9.0,0.0,61.0,328.0,5.4,1.0,35.0,144.0,4.1,0.0,25.0,15.0,184.0,1.0,1.0,7.4,12.3,60.0,79.42,14.0,5.0,35.7,1.0,1.0,100.0,5.0,1.0,0.0,0.0,7.0,40.0,2.0,0.0,1.0,0.0,13.0,13.0,5.0,285.0,57.0,1.0,0.0,-1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,39.0,28.0,1.0,0.0,4.0,0.0,0.0,38.0,12.0,9.0,51.0,5.0,0.0,0.0,Sunday,993004756,6,12,18812.0,-1.0,0,1.0,0.071,0.0,-0.2970076327932475,0.35,-0.4341983530733816,-0.2312363524397369,-0.0363305588381502,0.4871794871794871,-0.0878054658960788,0.0260806287724812,9.0,22.0,-13.0,230.0,386.3333333333333,0.667,0.151,0.4,175.0,167.0,4.0,-0.1854985794261561,0.3669266947044724,-0.29193621783262774,-0.12064309029085422,0.00026818524082793116,0.4705370732767993,-0.06292813566195439,-0.054668117781453564,-0.029617782432423755,-0.03632608940623272
