gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202410108.0,2024-09-08T16:25:00,1,2024,1,DAL,CLE,AWAY,33.0,17.0,50.0,Huntington Bank Field,7.0,13.0,10.0,3.0,0.0,,,29:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,7.0,7.0,0.0,,,30:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004473,9,8,,16.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202410209.0,2024-09-15T13:00:00,1,2024,2,DAL,NO,HOME,19.0,44.0,63.0,AT&T Stadium,3.0,13.0,3.0,0.0,0.0,29.0,6.0,29:29,15.0,7.0,8.0,0.0,60.0,265.0,4.4,3.0,25.0,102.0,4.1,1.0,32.0,19.0,163.0,1.0,0.0,5.1,8.6,59.4,83.2,14.0,4.0,28.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,85.0,1.0,0.0,3.0,16.0,17.0,6.0,6.0,294.0,49.0,0.0,2.0,2.0,14.0,21.0,6.0,3.0,0.0,30.0,54.0,30:31,15.0,5.0,8.0,2.0,70.0,230.0,3.3,2.0,19.0,93.0,4.9,1.0,45.0,24.0,137.0,1.0,2.0,3.0,5.7,53.3,48.1,15.0,2.0,13.3,5.0,3.0,60.0,2.0,2.0,0.0,0.0,11.0,64.0,1.0,0.0,6.0,32.0,4.0,6.0,7.0,357.0,51.0,2.0,0.0,-2.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,24.0,6.0,32.0,8.0,1.0,0.0,44.0,19.0,3.0,16.0,6.0,1.0,0.0,Sunday,993004482,9,22,18671.0,-25.0,0,2.0,0.286,0.0,-0.0377979124610196,0.4166666666666667,-0.1664456183058427,-0.0096782218147731,-0.24428348270978,0.2959183673469387,-0.3645758147055555,-0.0669410015998437,33.0,17.0,16.0,265.0,230.0,2.0,0.286,1.0,33.0,17.0,1.0,-0.0377979124610196,0.4166666666666667,-0.1664456183058427,-0.0096782218147731,-0.24428348270978,0.2959183673469387,-0.3645758147055555,-0.0669410015998437,-0.0377979124610196,-0.24428348270978
202410309.0,2024-09-22T16:25:00,1,2024,3,DAL,BAL,HOME,25.0,28.0,53.0,AT&T Stadium,3.0,3.0,0.0,19.0,0.0,29.0,29.0,25:15,20.0,5.0,13.0,2.0,66.0,353.0,5.3,1.0,21.0,68.0,3.2,0.0,42.0,28.0,285.0,1.0,2.0,6.8,10.2,66.7,74.01,13.0,6.0,46.2,3.0,1.0,33.3,3.0,0.0,0.0,0.0,4.0,26.0,1.0,0.0,3.0,14.0,1.0,2.0,1.0,53.0,53.0,2.0,1.0,-1.0,14.0,7.0,7.0,0.0,0.0,30.0,31.0,34:45,24.0,15.0,8.0,1.0,56.0,432.0,7.7,6.0,39.0,190.0,4.9,4.0,16.0,11.0,242.0,2.0,1.0,15.1,22.0,68.8,125.0,8.0,5.0,62.5,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,40.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,49.0,49.0,1.0,2.0,1.0,0.0,0.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,24.0,1.0,1.0,3.0,0.0,0.0,42.0,23.0,3.0,14.0,9.0,1.0,0.0,Sunday,993004534,9,3,18692.0,-3.0,0,-1.0,0.462,0.0,-0.0741754052942403,0.4597701149425287,-0.2094350251626607,-0.0465529844979755,0.337516378850327,0.5972222222222222,0.7835279257759747,0.2406582961549134,26.0,30.5,-4.5,309.0,331.0,0.5,0.374,0.5,52.0,61.0,1.0,-0.05598665887762995,0.4382183908045977,-0.18794032173425168,-0.0281156031563743,0.046616448070273486,0.44657029478458043,0.20947605553520962,0.08685864727753485,-0.05598665887762995,0.046616448070273486
202410423.0,2024-09-26T20:15:00,1,2024,4,DAL,NYG,AWAY,20.0,15.0,35.0,MetLife Stadium,7.0,7.0,3.0,3.0,0.0,25.0,15.0,24:23,26.0,2.0,18.0,6.0,70.0,412.0,5.9,3.0,16.0,51.0,3.2,1.0,51.0,28.0,361.0,2.0,0.0,7.1,12.9,54.9,90.4,13.0,7.0,53.8,1.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,44.0,2.0,1.0,3.0,18.0,1.0,0.0,4.0,209.0,52.2,1.0,0.0,-1.0,3.0,6.0,3.0,3.0,0.0,34.0,45.0,35:37,24.0,16.0,8.0,0.0,60.0,456.0,7.6,4.0,45.0,274.0,6.1,3.0,15.0,12.0,182.0,1.0,0.0,12.1,15.2,80.0,139.44,9.0,4.0,44.4,0.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,105.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,171.0,42.8,0.0,1.0,1.0,75.0,0.0,100.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,36.0,19.0,3.0,18.0,9.0,1.0,1.0,Thursday,993004543,9,23,18705.0,5.0,1,-1.0,0.538,0.0,0.062890779130471,0.4123711340206185,0.101567008251856,-0.1281455010212084,0.1252546001923637,0.4691358024691358,0.5152218353533599,0.2296002481910122,25.7,29.7,-4.0,343.3333333333333,372.6666666666667,0.0,0.429,0.333,77.0,89.0,1.0,-0.016360846208262964,0.42960263854327124,-0.09143787840554914,-0.06145890244465233,0.07282916544430355,0.45409213067943227,0.31139131547459303,0.13443918091536064,-0.016360846208262964,0.07282916544430355
202410528.0,2024-10-06T20:20:00,1,2024,5,DAL,PIT,AWAY,20.0,17.0,37.0,Acrisure Stadium,3.0,3.0,0.0,14.0,0.0,24.0,23.0,32:29,14.0,5.0,9.0,0.0,51.0,293.0,5.7,2.0,23.0,80.0,3.5,0.0,27.0,22.0,213.0,2.0,0.0,7.9,9.7,81.5,124.23,10.0,3.0,30.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,11.0,89.0,1.0,0.0,1.0,8.0,3.0,6.0,3.0,165.0,55.0,0.0,1.0,1.0,3.0,0.0,7.0,7.0,0.0,35.0,37.0,27:31,16.0,4.0,12.0,0.0,65.0,303.0,4.7,0.0,24.0,26.0,1.1,0.0,40.0,29.0,277.0,0.0,1.0,6.9,9.6,72.5,80.94,16.0,5.0,31.2,4.0,3.0,75.0,2.0,0.0,0.0,0.0,4.0,35.0,1.0,0.0,1.0,4.0,3.0,5.0,1.0,44.0,44.0,1.0,0.0,-1.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,48.0,18.0,1.0,4.0,6.0,0.0,0.0,37.0,16.0,1.0,8.0,3.0,1.0,0.0,Sunday,993004599,9,28,18732.0,3.0,1,1.0,0.3,0.0,0.1096981231904171,0.5211267605633803,0.2025341919711878,-0.063849025804828,0.0182998208686743,0.4216867469879518,0.0796829046404856,-0.3180793348659315,21.3,29.0,-7.7,352.6666666666667,397.0,-0.333,0.433,0.5,97.0,104.0,2.0,0.0328044990088826,0.4644226698421758,0.031555391686794367,-0.07951583710800396,0.16035693330378833,0.49601492389310325,0.4594775552566068,0.05072640315999807,0.01515389614140705,0.05919682930039624
202410609.0,2024-10-13T16:25:00,1,2024,6,DAL,DET,HOME,9.0,47.0,56.0,AT&T Stadium,3.0,3.0,3.0,0.0,0.0,32.0,29.0,25:17,25.0,9.0,14.0,2.0,75.0,445.0,5.9,2.0,31.0,109.0,3.5,0.0,42.0,29.0,336.0,2.0,2.0,8.0,11.6,69.0,88.99,15.0,9.0,60.0,1.0,1.0,100.0,4.0,1.0,0.0,0.0,11.0,87.0,2.0,1.0,2.0,16.0,8.0,4.0,1.0,45.0,45.0,3.0,1.0,-2.0,7.0,20.0,10.0,10.0,0.0,27.0,31.0,34:43,17.0,6.0,7.0,4.0,57.0,226.0,4.0,2.0,26.0,92.0,3.5,0.0,28.0,16.0,134.0,2.0,0.0,4.8,8.4,57.1,93.45,12.0,3.0,25.0,2.0,2.0,100.0,2.0,2.0,0.0,0.0,8.0,50.0,2.0,1.0,3.0,16.0,6.0,3.0,5.0,222.0,44.4,1.0,3.0,2.0,25.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,21.0,3.0,16.0,5.0,2.0,1.0,51.0,22.0,2.0,16.0,6.0,2.0,1.0,Sunday,993004624,9,11,18734.0,-38.0,0,-2.0,0.6,0.0,0.0969022684768775,0.4946236559139785,0.275569870273006,-0.0816351674716403,0.0313688242765033,0.5064935064935064,-0.028727086303661,0.1756143927559078,21.7,20.0,1.7,383.3333333333333,328.3333333333333,-0.667,0.479,0.6,117.0,121.0,3.0,0.08983039026592186,0.4760405168326591,0.1932236901653499,-0.09120989809922557,0.058307748445847095,0.46577201865019807,0.1887258845633948,0.029045102026996183,0.03150357060850114,0.05363122829561766
202410831.0,2024-10-27T20:20:00,1,2024,8,DAL,SF,AWAY,24.0,30.0,54.0,Levi's Stadium,0.0,10.0,0.0,14.0,0.0,25.0,17.0,26:48,16.0,2.0,10.0,4.0,65.0,251.0,3.9,0.0,17.0,53.0,3.1,0.0,44.0,25.0,198.0,0.0,3.0,4.5,7.9,56.8,39.77,13.0,3.0,23.1,4.0,1.0,25.0,3.0,0.0,0.0,0.0,4.0,30.0,2.0,2.0,4.0,26.0,7.0,4.0,2.0,93.0,46.5,5.0,0.0,-5.0,3.0,3.0,21.0,3.0,0.0,34.0,43.0,33:12,27.0,12.0,14.0,1.0,66.0,492.0,7.5,5.0,36.0,184.0,5.1,2.0,27.0,19.0,308.0,3.0,0.0,11.4,16.2,70.4,145.29,10.0,4.0,40.0,2.0,1.0,50.0,5.0,3.0,0.0,0.0,8.0,63.0,1.0,0.0,3.0,26.0,11.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,41.0,27.0,3.0,26.0,2.0,1.0,0.0,37.0,21.0,4.0,26.0,10.0,2.0,2.0,Sunday,993004689,9,31,18750.0,-6.0,0,-5.0,0.231,0.0,-0.2744935855310521,0.4352941176470588,-0.5361657009918949,-0.1424703977791068,0.3009704890133418,0.5058823529411764,0.4167276217744524,0.2580517181459072,16.3,26.3,-10.0,329.6666666666667,340.3333333333333,-2.0,0.377,0.4,126.0,168.0,3.0,-0.02263106462125249,0.48368151137480586,-0.019353879582566996,-0.0959848636851917,0.1168797113861731,0.4780208688075449,0.15589448003709233,0.038528925345294514,-0.015835564005505353,0.16268202264024204
202410902.0,2024-11-03T13:00:00,1,2024,9,DAL,ATL,AWAY,21.0,27.0,48.0,Mercedes-Benz Stadium,3.0,7.0,3.0,8.0,0.0,26.0,48.0,30:40,18.0,3.0,13.0,2.0,59.0,292.0,4.9,3.0,19.0,56.0,2.9,1.0,38.0,25.0,236.0,2.0,2.0,6.2,9.4,65.8,78.4,12.0,4.0,33.3,2.0,1.0,50.0,3.0,2.0,0.0,0.0,6.0,30.0,3.0,0.0,2.0,7.0,2.0,1.0,4.0,194.0,48.5,2.0,0.0,-2.0,7.0,7.0,7.0,6.0,0.0,33.0,12.0,29:20,19.0,10.0,9.0,0.0,64.0,469.0,7.3,3.0,36.0,223.0,6.2,2.0,26.0,18.0,246.0,1.0,0.0,9.5,13.7,69.2,112.02,16.0,8.0,50.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,9.0,73.0,1.0,0.0,2.0,14.0,8.0,3.0,4.0,172.0,43.0,0.0,2.0,2.0,66.7,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,38.0,37.0,2.0,14.0,1.0,0.0,0.0,33.0,20.0,2.0,7.0,4.0,2.0,0.0,Sunday,993004703,9,2,18777.0,-6.0,0,-2.0,0.333,0.0,0.0250846132146532,0.4691358024691358,0.0787845175458266,-0.1093693799032028,0.107843413293676,0.5238095238095238,0.2884214515031656,0.0568118386950495,17.7,31.3,-13.7,329.3333333333333,395.6666666666667,-3.0,0.388,0.4,150.0,198.0,3.0,-0.05083556794650713,0.46635119201005765,-0.060603771057687404,-0.11115831505131664,0.14672757552784033,0.5120617944147356,0.22547399565798565,0.16349264986562154,0.004016439696273346,0.11674742952891182
202411009.0,2024-11-10T16:25:00,1,2024,10,DAL,PHI,HOME,6.0,34.0,40.0,AT&T Stadium,3.0,3.0,0.0,0.0,0.0,30.0,40.0,25:59,23.0,9.0,13.0,1.0,74.0,378.0,5.1,2.0,21.0,137.0,6.5,0.0,50.0,31.0,241.0,2.0,0.0,4.8,7.8,62.0,87.17,13.0,3.0,23.1,5.0,1.0,20.0,3.0,2.0,0.0,0.0,9.0,55.0,1.0,0.0,3.0,7.0,4.0,7.0,3.0,139.0,46.3,0.0,1.0,1.0,7.0,7.0,14.0,6.0,0.0,29.0,20.0,34:01,17.0,5.0,12.0,0.0,56.0,310.0,5.5,4.0,30.0,100.0,3.3,1.0,24.0,19.0,210.0,3.0,0.0,8.8,11.1,79.2,142.71,13.0,4.0,30.8,2.0,2.0,100.0,3.0,3.0,0.0,0.0,4.0,26.0,3.0,1.0,2.0,12.0,8.0,5.0,5.0,245.0,49.0,1.0,0.0,-1.0,66.7,0.0,100.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,26.0,2.0,12.0,3.0,2.0,1.0,42.0,26.0,3.0,7.0,4.0,0.0,0.0,Sunday,993004744,9,26,18797.0,-28.0,0,1.0,0.231,0.0,-0.0388280890305156,0.4361702127659574,-0.0855357939433446,0.1348449821878029,0.0180391959930718,0.4459459459459459,0.276086371471243,-0.1091293201274571,18.0,34.7,-16.7,307.0,423.6666666666667,-2.0,0.265,0.4,171.0,225.0,3.0,-0.09607902044897149,0.44686671096071734,-0.18097232579647093,-0.038998265164835566,0.14228436610002984,0.4918792742322154,0.32707848158295366,0.06857807890449986,-0.016327333935923973,0.09530434868905344
202411109.0,2024-11-18T20:15:00,1,2024,11,DAL,HOU,HOME,10.0,34.0,44.0,AT&T Stadium,0.0,10.0,0.0,0.0,0.0,25.0,59.0,29:23,11.0,5.0,4.0,2.0,56.0,146.0,2.6,0.0,24.0,97.0,4.0,0.0,29.0,17.0,49.0,0.0,1.0,1.7,2.9,58.6,49.07,14.0,3.0,21.4,2.0,2.0,100.0,2.0,0.0,0.0,0.0,5.0,40.0,4.0,4.0,3.0,17.0,8.0,4.0,6.0,304.0,50.7,5.0,2.0,-3.0,14.0,3.0,3.0,14.0,0.0,34.0,1.0,30:37,24.0,11.0,9.0,4.0,65.0,348.0,5.4,4.0,38.0,187.0,4.9,2.0,22.0,15.0,161.0,2.0,1.0,7.3,10.7,68.2,100.76,11.0,4.0,36.4,1.0,1.0,100.0,5.0,4.0,0.0,0.0,7.0,49.0,1.0,1.0,5.0,46.0,6.0,5.0,4.0,208.0,52.0,2.0,5.0,3.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,43.0,25.0,5.0,46.0,3.0,1.0,1.0,34.0,19.0,3.0,17.0,7.0,3.0,4.0,Monday,993004778,9,13,18810.0,-24.0,0,-3.0,0.214,0.0,-0.4866688933246768,0.44,-0.745105191848048,-0.5080091070927603,-0.0220568775655282,0.4823529411764706,-0.0366481312738901,-0.0219675659492334,17.0,30.3,-13.3,272.0,375.6666666666667,-1.333,0.259,0.2,177.0,259.0,3.0,-0.16680412304684636,0.4484353384116977,-0.250618822748522,-0.16084450160272004,0.034608577240406516,0.48403613697731346,0.1759532305668395,-0.024761682460547007,-0.13560073723894275,0.08723300900221295
