gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202410130.0,2024-09-08T16:05:00,1,2024,1,DEN,SEA,AWAY,20.0,26.0,46.0,Lumen Field,3.0,10.0,0.0,7.0,0.0,,,31:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,10.0,7.0,0.0,,,28:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004469,10,30,,-6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202410210.0,2024-09-15T16:25:00,1,2024,2,DEN,PIT,HOME,6.0,13.0,19.0,Empower Field at Mile High,0.0,0.0,0.0,6.0,0.0,31.0,14.0,27:41,13.0,7.0,6.0,0.0,69.0,231.0,3.3,1.0,25.0,99.0,4.0,1.0,42.0,26.0,132.0,0.0,2.0,3.1,5.1,61.9,46.92,18.0,5.0,27.8,1.0,1.0,100.0,4.0,1.0,0.0,0.0,8.0,60.0,2.0,1.0,2.0,6.0,7.0,9.0,8.0,389.0,48.6,3.0,2.0,-1.0,7.0,3.0,3.0,0.0,0.0,28.0,46.0,32:19,19.0,5.0,11.0,3.0,60.0,304.0,5.1,3.0,33.0,146.0,4.4,2.0,25.0,18.0,158.0,1.0,1.0,6.3,8.8,72.0,85.08,12.0,4.0,33.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,41.0,1.0,1.0,2.0,13.0,8.0,6.0,5.0,241.0,48.2,2.0,3.0,1.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,40.0,28.0,2.0,13.0,2.0,0.0,1.0,53.0,15.0,2.0,6.0,6.0,2.0,1.0,Sunday,993004504,10,28,18674.0,-7.0,0,-1.0,0.278,0.0,-0.1329954274536005,0.3763440860215054,-0.3585417883181375,-0.1947893719770945,-0.0476145802724706,0.4705882352941176,-0.0553010868186667,-0.0798000224669271,20.0,26.0,-6.0,231.0,304.0,-1.0,0.278,0.0,20.0,26.0,0.0,-0.1329954274536005,0.3763440860215054,-0.3585417883181375,-0.1947893719770945,-0.0476145802724706,0.4705882352941176,-0.0553010868186667,-0.0798000224669271,-0.1329954274536005,-0.0476145802724706
202410333.0,2024-09-22T13:00:00,1,2024,3,DEN,TB,AWAY,26.0,7.0,33.0,Raymond James Stadium,14.0,6.0,0.0,6.0,0.0,27.0,41.0,32:08,13.0,5.0,8.0,0.0,56.0,295.0,5.3,0.0,19.0,64.0,3.4,0.0,35.0,20.0,231.0,0.0,2.0,6.6,11.6,57.1,53.39,12.0,2.0,16.7,2.0,1.0,50.0,3.0,0.0,0.0,0.0,9.0,124.0,0.0,0.0,2.0,15.0,6.0,4.0,6.0,315.0,52.5,2.0,0.0,-2.0,0.0,7.0,0.0,0.0,0.0,32.0,19.0,27:52,16.0,4.0,7.0,5.0,58.0,251.0,4.3,1.0,36.0,141.0,3.9,0.0,20.0,13.0,110.0,1.0,0.0,5.5,8.5,65.0,95.83,13.0,4.0,30.8,0.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,78.0,1.0,0.0,2.0,7.0,7.0,6.0,8.0,424.0,53.0,0.0,2.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,38.0,30.0,2.0,7.0,1.0,0.0,0.0,36.0,20.0,2.0,15.0,6.0,0.0,0.0,Sunday,993004521,10,33,18687.0,19.0,1,-2.0,0.167,0.0,-0.1199667746914201,0.4473684210526316,-0.2336595847361268,-0.2546594585668679,-0.0094508793893157,0.3780487804878049,0.146751124924501,-0.3005504179774992,13.0,19.5,-6.5,263.0,277.5,-1.5,0.222,0.0,26.0,39.0,0.0,-0.1264811010725103,0.41185625353706845,-0.2961006865271322,-0.2247244152719812,-0.02853272983089315,0.42431850789096126,0.04572501905291714,-0.19017522022221317,-0.1264811010725103,-0.02853272983089315
202410424.0,2024-09-29T13:00:00,1,2024,4,DEN,NYJ,AWAY,10.0,9.0,19.0,MetLife Stadium,0.0,0.0,7.0,3.0,0.0,32.0,8.0,28:16,18.0,10.0,8.0,0.0,64.0,352.0,5.5,2.0,28.0,136.0,4.9,2.0,36.0,25.0,216.0,0.0,0.0,6.0,8.6,69.4,84.95,13.0,4.0,30.8,3.0,2.0,66.7,4.0,2.0,0.0,0.0,5.0,51.0,1.0,1.0,0.0,0.0,9.0,5.0,2.0,96.0,48.0,1.0,2.0,1.0,0.0,6.0,0.0,3.0,0.0,27.0,52.0,31:44,17.0,4.0,11.0,2.0,56.0,223.0,4.0,1.0,16.0,91.0,5.7,0.0,33.0,25.0,132.0,1.0,1.0,4.0,5.3,75.8,79.36,11.0,3.0,27.3,2.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,19.0,1.0,1.0,7.0,31.0,2.0,2.0,4.0,189.0,47.2,2.0,1.0,-1.0,50.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,7.0,31.0,3.0,1.0,1.0,38.0,32.0,0.0,0.0,5.0,1.0,1.0,Sunday,993004545,10,24,18714.0,1.0,1,1.0,0.308,0.0,0.089273108994058,0.5679012345679012,0.1538597302761041,-0.0200884696629752,-0.2679405097876616,0.4857142857142857,-0.5258381088348049,0.1262806437516701,17.3,15.3,2.0,292.6666666666667,259.3333333333333,-0.667,0.251,0.333,52.0,46.0,1.0,-0.054563031050320863,0.46387124721401274,-0.1461138809260534,-0.15651243340231255,-0.10833532314981596,0.44478376716540274,-0.1447960235763235,-0.08468993223091874,-0.054563031050320863,-0.10833532314981596
202410510.0,2024-10-06T16:05:00,1,2024,5,DEN,LV,HOME,34.0,18.0,52.0,Empower Field at Mile High,0.0,13.0,7.0,14.0,0.0,28.0,16.0,28:37,12.0,8.0,3.0,1.0,56.0,186.0,3.3,1.0,31.0,126.0,4.1,0.0,25.0,12.0,60.0,1.0,0.0,2.4,5.0,48.0,67.92,14.0,3.0,21.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,74.0,1.0,1.0,0.0,0.0,14.0,8.0,8.0,339.0,42.4,1.0,1.0,0.0,10.0,0.0,0.0,8.0,0.0,31.0,44.0,31:23,16.0,4.0,10.0,2.0,70.0,248.0,3.5,0.0,23.0,64.0,2.8,0.0,42.0,24.0,184.0,0.0,0.0,4.4,7.7,57.1,67.96,17.0,4.0,23.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,90.0,1.0,1.0,5.0,41.0,2.0,7.0,7.0,316.0,45.1,1.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,46.0,27.0,5.0,41.0,4.0,1.0,1.0,31.0,26.0,0.0,0.0,2.0,1.0,1.0,Sunday,993004592,10,25,18730.0,16.0,1,0.0,0.214,0.0,-0.2361808836677937,0.3684210526315789,-0.5443497407470896,0.024999502925424,-0.2204511427142852,0.3473684210526316,-0.213879009453213,-0.2909266988904841,14.0,9.7,4.3,277.6666666666667,240.66666666666666,-0.333,0.23,0.5,62.0,55.0,2.0,-0.08895818312171859,0.4612302360840373,-0.20804986506903744,-0.08324947510147303,-0.16594751063042082,0.4037104957515741,-0.19765533112117228,-0.15506549103877107,-0.09996749420468906,-0.13636427804093326
202410610.0,2024-10-13T16:05:00,1,2024,6,DEN,LAC,HOME,16.0,23.0,39.0,Empower Field at Mile High,0.0,0.0,0.0,16.0,0.0,28.0,37.0,22:37,18.0,6.0,9.0,3.0,58.0,289.0,5.0,4.0,28.0,109.0,3.9,1.0,27.0,19.0,180.0,2.0,0.0,6.7,9.5,70.4,113.19,12.0,3.0,25.0,1.0,1.0,100.0,4.0,3.0,0.0,0.0,9.0,44.0,1.0,0.0,3.0,26.0,6.0,5.0,6.0,259.0,43.2,0.0,3.0,3.0,10.0,10.0,3.0,0.0,0.0,31.0,23.0,37:23,20.0,5.0,13.0,2.0,65.0,330.0,5.1,2.0,25.0,115.0,4.6,1.0,37.0,22.0,215.0,1.0,3.0,5.8,9.8,59.5,51.07,15.0,7.0,46.7,1.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,79.0,0.0,0.0,3.0,16.0,4.0,8.0,5.0,267.0,53.4,3.0,0.0,-3.0,75.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,40.0,22.0,3.0,16.0,6.0,0.0,0.0,36.0,25.0,3.0,26.0,3.0,0.0,0.0,Sunday,993004622,10,29,18737.0,-7.0,0,3.0,0.25,0.0,0.031868466712313,0.4705882352941176,-0.001396583903792,0.0457627485399522,-0.1735046259863636,0.4,-0.2716769873682555,-0.0799611180706609,23.3,11.3,12.0,275.6666666666667,267.0,1.333,0.257,0.6,96.0,73.0,3.0,-0.0383464359871409,0.4689701741645326,-0.1306288647915925,0.016891260600800335,-0.22063209282943683,0.41102756892230574,-0.3371313685520911,-0.0815357244031583,-0.07360030202128866,-0.14379234763001933
202410722.0,2024-10-17T20:15:00,1,2024,7,DEN,NO,AWAY,33.0,10.0,43.0,Caesars Superdome,3.0,13.0,10.0,7.0,0.0,22.0,37.0,33:16,17.0,7.0,10.0,0.0,53.0,316.0,6.0,2.0,18.0,110.0,6.1,0.0,33.0,19.0,206.0,2.0,1.0,6.2,10.8,57.6,83.65,11.0,3.0,27.3,2.0,2.0,100.0,2.0,2.0,0.0,0.0,7.0,37.0,1.0,1.0,2.0,10.0,6.0,5.0,5.0,233.0,46.6,2.0,0.0,-2.0,0.0,3.0,0.0,7.0,0.0,37.0,23.0,26:44,22.0,10.0,10.0,2.0,75.0,350.0,4.7,2.0,38.0,128.0,3.4,1.0,34.0,21.0,222.0,1.0,0.0,6.5,10.6,61.8,90.56,18.0,11.0,61.1,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,20.0,1.0,0.0,3.0,15.0,5.0,2.0,4.0,159.0,39.8,0.0,2.0,2.0,100.0,0.0,33.3,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,45.0,31.0,3.0,15.0,6.0,1.0,0.0,31.0,17.0,2.0,10.0,6.0,1.0,1.0,Thursday,993004631,10,22,18751.0,23.0,1,-2.0,0.273,0.0,-0.048362734822242,0.4929577464788732,0.0486975211629556,-0.5076919107135229,0.087366135473264,0.4631578947368421,0.2096066994763939,-0.0367241083491962,20.0,16.7,3.3,263.6666666666667,309.3333333333333,0.333,0.246,0.6,112.0,96.0,3.0,-0.08422505059257424,0.4439890114681899,-0.16568293449597532,-0.14564321974938224,-0.10219654440912827,0.40350877192982454,-0.09198309911502489,-0.13587064177011374,-0.05667376349501696,-0.11679620448087243
202410810.0,2024-10-27T16:25:00,1,2024,8,DEN,CAR,HOME,28.0,14.0,42.0,Empower Field at Mile High,0.0,21.0,7.0,0.0,0.0,33.0,16.0,33:10,22.0,13.0,8.0,1.0,61.0,389.0,6.4,3.0,35.0,225.0,6.4,2.0,26.0,16.0,164.0,0.0,0.0,6.3,10.2,61.5,79.65,11.0,4.0,36.4,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,47.0,1.0,1.0,0.0,0.0,11.0,6.0,3.0,129.0,43.0,1.0,2.0,1.0,7.0,0.0,0.0,7.0,0.0,26.0,44.0,26:50,15.0,6.0,7.0,2.0,66.0,271.0,4.1,1.0,21.0,97.0,4.6,0.0,39.0,28.0,174.0,1.0,0.0,4.5,6.2,71.8,89.05,17.0,5.0,29.4,4.0,3.0,75.0,2.0,1.0,0.0,0.0,5.0,35.0,2.0,2.0,6.0,36.0,0.0,3.0,6.0,267.0,44.5,2.0,1.0,-1.0,66.7,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,26.0,6.0,36.0,3.0,2.0,2.0,39.0,23.0,0.0,0.0,2.0,1.0,1.0,Sunday,993004688,10,5,18775.0,14.0,1,1.0,0.364,0.0,0.0652446480156771,0.5432098765432098,-0.0453073538712886,0.2451118698421246,-0.2893397714810179,0.4090909090909091,-0.4397581394185449,-0.0028957003617987,27.7,17.0,10.7,331.3333333333333,317.0,0.667,0.295,0.8,145.0,106.0,4.0,0.016250126635249367,0.5022519527720669,0.0006645277959583529,-0.07227243077714872,-0.12515942066470584,0.42408293460925045,-0.1672761424368022,-0.039860308927218584,-0.01963147895359752,-0.17277398289921284
202410903.0,2024-11-03T13:00:00,1,2024,9,DEN,BAL,AWAY,10.0,41.0,51.0,M&T Bank Stadium,0.0,10.0,0.0,0.0,0.0,33.0,10.0,28:09,23.0,6.0,16.0,1.0,73.0,400.0,5.5,4.0,32.0,102.0,3.2,1.0,39.0,30.0,298.0,3.0,0.0,7.6,9.9,76.9,123.66,17.0,11.0,64.7,2.0,1.0,50.0,5.0,4.0,0.0,0.0,4.0,43.0,2.0,2.0,2.0,17.0,5.0,6.0,3.0,153.0,51.0,2.0,2.0,0.0,7.0,17.0,14.0,3.0,0.0,26.0,50.0,31:51,16.0,3.0,11.0,2.0,60.0,284.0,4.7,2.0,20.0,69.0,3.4,0.0,38.0,24.0,215.0,2.0,2.0,5.7,9.0,63.2,73.9,14.0,5.0,35.7,4.0,1.0,25.0,3.0,2.0,0.0,0.0,8.0,49.0,0.0,0.0,2.0,9.0,2.0,5.0,5.0,247.0,49.4,2.0,2.0,0.0,80.0,0.0,66.7,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,2.0,9.0,2.0,0.0,0.0,48.0,28.0,2.0,17.0,2.0,2.0,2.0,Sunday,993004699,10,3,18779.0,-31.0,0,0.0,0.647,0.0,0.0594435746840662,0.4767441860465116,0.0889466914328901,0.0050412397754067,-0.1226298271149158,0.4487179487179487,-0.1823876247892094,-0.1722707918153093,25.7,15.7,10.0,368.3333333333333,301.6666666666667,-0.333,0.428,0.8,173.0,120.0,5.0,0.02544182929250043,0.5043039363561982,0.03077895290818572,-0.08584626703199721,-0.10820115437422324,0.44032225084856663,-0.13751302157712014,-0.07063020017543471,-0.02559738581559588,-0.14371184636466372
202411016.0,2024-11-10T13:00:00,1,2024,10,DEN,KC,AWAY,14.0,16.0,30.0,Arrowhead Stadium,0.0,14.0,0.0,0.0,0.0,28.0,9.0,26:39,20.0,6.0,10.0,4.0,68.0,319.0,4.7,1.0,30.0,122.0,4.1,0.0,34.0,20.0,197.0,1.0,1.0,5.8,9.8,58.8,72.79,14.0,6.0,42.9,5.0,1.0,20.0,4.0,1.0,0.0,0.0,9.0,71.0,0.0,0.0,4.0,28.0,1.0,4.0,2.0,96.0,48.0,1.0,0.0,-1.0,0.0,10.0,3.0,3.0,0.0,31.0,51.0,33:21,25.0,8.0,12.0,5.0,54.0,396.0,7.3,5.0,34.0,127.0,3.7,2.0,19.0,16.0,269.0,3.0,0.0,14.2,16.8,84.2,158.33,8.0,3.0,37.5,0.0,0.0,0.0,6.0,4.0,0.0,0.0,6.0,53.0,2.0,0.0,1.0,11.0,5.0,5.0,2.0,98.0,49.0,0.0,1.0,1.0,25.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,29.0,1.0,11.0,1.0,1.0,0.0,43.0,24.0,4.0,28.0,7.0,0.0,0.0,Sunday,993004733,10,16,18798.0,-2.0,0,-1.0,0.429,0.0,-0.1184959706505441,0.3604651162790697,-0.0545345612415157,-0.3200139280175789,0.3380568411026582,0.5972222222222222,0.8409964802884742,0.0313487624143817,23.7,21.7,2.0,369.3333333333333,317.0,0.0,0.48,0.6,183.0,161.0,5.0,0.0020640840163997317,0.46013972628959704,-0.0036317412266380473,-0.023286939466682532,-0.02463758583109184,0.48501036001035996,0.07295023869357327,-0.047939243254242085,-0.0020604032121459615,-0.032010249601275034
